	TCGA.BH.A1EU.01A.11R.A137.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A0B7.11A.34R.A115.07	GTEX.WYVS.1726.SM.3NMAY	TCGA.KM.8639.01A.11R.2403.07	TCGA.KL.8324.01A.11R.2315.07	TCGA.KM.8439.01A.11R.2315.07	TCGA.KN.8431.01A.11R.2315.07	TCGA.KO.8414.01A.11R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.N7MS.1626.SM.3LK5F	GTEX.13OVL.1826.SM.5KLZR	TCGA.A3.3328.01A.01R.0864.07	TCGA.AK.3427.01A.01R.0864.07	TCGA.AK.3440.01A.02R.1277.07	TCGA.6D.AA2E.01A.11R.A37O.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.A4.8311.01A.11R.2404.07	TCGA.MH.A857.01A.11R.A355.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.1497J.0726.SM.5Q5D1	TCGA.EM.A2OV.01A.11R.A206.07	GTEX.OIZI.0726.SM.2XCEI
ZFP14	186.4	175.07	144.01	194.36	74.58	36.53	78.89	40.07	71.5	96.01	50.27	128.79	64.8	52.82	52.08	63.0	13.42	66.18	88.88	8.38	18.16	108.14	149.12
ZKSCAN3	76.71	90.14	117.6	130.6	102.25	16.39	52.08	44.57	37.05	59.13	28.24	75.64	113.56	37.85	19.68	60.39	14.35	102.97	84.63	20.71	19.25	106.63	152.28
ZMYM1	221.86	361.04	197.09	314.17	42.71	33.06	47.17	44.57	29.7	121.79	48.18	167.9	52.82	69.52	59.55	48.87	22.26	147.06	75.11	7.28	40.07	121.79	249.73
ZMYM4	713.11	954.43	753.83	988.12	201.25	110.43	249.73	123.5	116.78	283.05	206.94	412.0	161.02	89.51	124.37	229.72	39.79	329.84	232.94	49.91	90.14	476.71	595.34
ZMYM5	287.01	497.0	336.79	417.77	109.66	75.11	139.07	68.55	85.22	167.9	148.09	262.2	194.36	244.57	169.07	122.64	108.9	236.21	128.79	25.35	63.89	135.24	438.59
ZNF107	361.04	264.03	332.14	242.88	21.47	32.82	32.59	56.28	53.57	37.32	17.13	54.72	58.71	82.29	66.65	31.0	40.93	190.34	46.84	3.29	38.12	86.43	279.14
ZNF148	780.44	612.11	480.04	500.46	150.17	59.97	115.16	100.13	72.52	275.28	249.73	470.14	178.77	141.02	186.4	140.04	70.01	297.17	153.34	34.26	68.55	316.37	674.59
ZNF211	341.51	363.56	336.79	507.46	186.4	84.04	356.05	102.25	157.68	166.73	81.14	223.41	229.72	88.26	175.07	234.57	35.0	329.84	341.51	28.04	98.04	289.02	532.74
ZNF225	142.01	84.04	102.25	215.77	45.85	22.26	50.63	24.63	38.95	26.67	40.64	70.51	57.89	18.03	27.84	46.18	3.11	63.45	80.57	8.58	14.35	59.97	131.51
ZNF230	129.69	96.68	82.87	140.04	31.67	22.75	40.07	26.86	31.67	43.32	21.32	65.72	48.52	34.26	41.81	34.75	13.93	49.91	57.89	10.16	8.06	55.1	94.01
ZNF302	974.5	842.36	860.08	1001.93	379.04	204.07	409.15	236.21	389.72	392.44	224.97	791.35	237.86	220.32	406.31	361.04	32.59	543.96	579.04	53.95	170.25	536.45	1167.14
ZNF33A	1030.12	693.58	642.59	813.63	287.01	217.27	209.84	209.84	111.21	237.86	490.14	532.74	189.02	110.43	194.36	283.05	92.05	320.8	318.57	94.67	150.17	384.34	624.99
ZNF354A	256.78	325.29	281.09	223.41	215.77	60.39	271.48	37.32	107.38	122.64	102.97	191.67	151.22	191.67	113.56	169.07	40.93	307.69	275.28	5.73	92.7	215.77	236.21
ZNF432	307.69	258.57	237.86	202.66	229.72	90.77	214.27	159.9	136.19	157.68	175.07	341.51	220.32	191.67	162.14	167.9	62.56	241.19	265.87	12.27	8.13	172.65	334.46
ZNF461	181.28	164.42	134.3	169.07	79.45	60.39	110.43	87.65	62.12	108.14	31.22	142.01	126.12	145.02	127.0	88.88	53.19	105.89	108.14	7.46	23.76	100.83	255.0
ZNF486	189.02	180.02	141.02	825.0	503.95	8.92	246.28	37.32	47.5	629.35	141.02	603.67	163.28	102.25	45.53	246.28	32.82	1216.75	312.0	1.58	13.93	769.69	1883.54
ZNF585B	258.57	265.87	226.54	295.11	127.0	84.04	163.28	131.51	100.83	182.55	218.79	371.22	202.66	130.6	147.06	143.01	39.5	155.5	187.71	16.63	55.49	215.77	381.68
ZNF594	165.57	172.65	199.85	181.28	49.91	17.64	73.03	15.8	29.27	92.7	35.25	182.55	52.45	10.08	31.22	40.36	3.14	164.42	58.71	1.13	13.83	70.01	234.57
ZNF641	412.0	297.17	269.6	295.11	146.03	82.87	122.64	70.51	88.26	164.42	101.54	241.19	146.03	97.36	105.89	162.14	35.0	205.5	202.66	55.49	102.25	248.0	379.04
ZNF678	197.09	140.04	108.9	120.1	31.9	18.7	21.78	18.84	26.28	49.91	32.82	73.03	69.03	20.71	22.75	19.53	14.45	53.95	28.86	2.03	15.22	60.39	122.64
ZRANB2	1685.71	3212.66	2255.7	2090.03	460.44	307.69	361.04	307.69	403.5	743.43	253.23	1008.9	698.41	780.44	656.11	603.67	361.04	1044.52	551.56	123.5	228.13	981.29	2224.63
ZXDC	473.41	540.19	497.0	493.56	366.09	183.82	368.65	201.25	193.01	299.25	224.97	389.72	287.01	76.71	215.77	285.03	31.9	371.22	299.25	228.13	172.65	312.0	480.04
