	TCGA.KN.8435.11A.01R.2315.07	TCGA.KN.8434.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.UPIC.1126.SM.4IHLO	GTEX.XPVG.0526.SM.4B65N	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CW.5589.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.B9.4115.11A.01R.1758.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACE.01A.11R.A41C.07	TCGA.G3.A5SI.01A.31R.A27V.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZAB5.0426.SM.5CVMI	GTEX.ZF2S.3026.SM.4WWCH	GTEX.12WSD.1426.SM.5GCN9	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.14753.1626.SM.5NQ9L	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
HIST1H2AA	0.0	0.0	1.35	4.1	4.46	1.71	0.0	0.0	3.11	0.0	4.7	4.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.66	0.0	0.0	0.0	0.0	6.73	0.0	0.0	0.0
HOXB1	4.28	1.69	0.34	10.71	3.59	4.17	2.56	3.69	4.21	7.57	3.44	7.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HOXB4	69.52	67.12	50.98	112.77	64.34	50.63	51.71	46.84	44.25	72.52	36.79	72.01	5.15	4.1	4.43	15.11	6.16	10.24	40.36	10.63	12.64	12.09	11.55	10.47	17.77	4.24	21.16	2.05	0.0	0.61
HSD11B2	10440.2	21172.91	14765.09	39237.98	5076.84	5831.91	12160.22	11504.21	12415.75	15934.98	12415.75	21768.19	94.67	53.95	110.43	170.25	249.73	39.22	100.83	138.1	167.9	108.9	65.72	389.72	159.9	120.1	201.25	42.71	0.0	0.0
HSD3B2	7.22	8.92	13.32	33.54	22.75	20.56	12.55	21.63	7.75	9.06	21.63	21.47	5.73	0.0	9.34	5.59	90.77	0.0	2.97	3.47	12.55	3.89	9.27	1.93	7.17	11.47	14.56	2.86	0.0	0.14
IGF2BP2	165.57	129.69	136.19	381.68	339.14	155.5	164.42	206.94	158.79	98.04	218.79	197.09	3.44	6.52	13.93	78.34	20.41	10.08	27.44	12.74	18.43	22.59	54.72	42.71	51.35	96.68	28.24	7.75	0.0	1.06
IL17B	18.56	15.22	18.56	53.95	29.7	33.78	14.03	24.11	25.17	31.9	6.57	24.99	4.74	3.82	0.0	0.0	11.38	0.0	3.26	0.0	0.0	3.89	0.0	4.5	0.0	0.0	0.0	0.0	0.0	0.1
ILDR2	96.68	70.01	55.1	59.97	167.9	127.89	83.45	136.19	73.03	42.11	185.11	105.89	0.0	102.25	11.3	3.59	4.66	212.78	7.28	18.43	11.73	18.16	1.23	0.0	4.86	2.56	20.86	2.27	1.5	39.5
INPP5K	647.07	769.69	651.58	1427.22	753.83	514.56	647.07	718.08	665.29	688.78	620.67	733.19	246.28	206.94	241.19	395.18	287.01	181.28	392.44	343.89	575.03	269.6	400.71	316.37	507.46	281.09	295.11	371.22	0.0	0.33
INSRR	66.18	139.07	46.84	82.29	44.89	10.08	47.17	69.52	14.67	37.05	77.25	129.69	0.0	0.0	4.58	0.3	0.0	0.0	2.14	0.36	0.3	0.0	0.39	0.0	0.3	0.26	0.26	0.38	0.0	0.12
ITGB8	679.29	454.09	395.18	1225.22	2591.27	995.0	1143.1	1259.69	830.75	579.04	915.51	896.64	1.3	0.0	0.48	80.57	0.09	17.0	104.42	2.34	4.62	5.45	2.61	181.28	35.25	52.82	10.0	1.64	358.54	429.54
KATNA1	327.56	356.05	334.46	389.72	457.25	305.55	373.81	432.53	329.84	406.31	305.55	320.8	141.02	120.94	265.87	130.6	141.02	172.65	159.9	152.28	109.66	150.17	183.82	83.45	123.5	108.9	139.07	65.26	0.0	0.68
KCNJ15	7433.4	5403.7	6121.9	7280.4	22225.61	10808.41	7485.11	7537.18	5403.7	3303.0	10733.74	6121.9	2.58	14.89	2.03	70.51	19.53	64.8	153.34	31.67	20.41	37.85	187.71	62.56	69.03	144.01	68.07	24.11	0.0	0.06
KCNJ16	4937.99	4836.35	4152.18	20310.37	9740.98	5147.73	6294.04	4575.41	4869.99	4010.71	5112.16	4152.18	0.0	0.0	0.0	21.94	1.01	46.18	120.94	4.28	15.68	16.88	21.01	16.88	28.45	27.25	19.11	2.81	0.0	0.0
KCTD4	5.28	0.67	7.75	20.26	9.41	7.75	8.25	10.47	3.76	5.23	6.01	5.77	0.0	0.0	0.0	0.27	0.6	0.65	0.67	0.0	0.0	0.66	1.45	0.0	0.61	0.0	0.0	0.0	0.0	0.0
