	TCGA.AA.3489.11A.01R.1839.07	GTEX.12WSJ.0826.SM.5PNWV	GTEX.13O61.1226.SM.5KM21	TCGA.35.4122.01A.01R.1107.07	TCGA.50.5066.01A.01R.1628.07	GTEX.ZDYS.0426.SM.5IJEQ	TCGA.33.4589.01A.01R.1443.07	TCGA.18.3421.01A.01R.0980.07	TCGA.37.4133.01A.01R.1100.07	TCGA.66.2778.01A.02R.0851.07	TCGA.37.4133.01A.01R.1100.07.1	TCGA.34.5234.01A.01R.1635.07	TCGA.37.3783.01A.01R.1201.07	TCGA.AG.3725.11A.01R.1736.07	TCGA.VQ.A8PD.01A.11R.A414.31	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.BR.8367.01A.11R.2343.13	TCGA.HF.7132.01A.11R.2055.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.4267.01A.01R.1131.13	TCGA.CD.8530.01A.11R.2343.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.BR.8373.01A.11R.2343.13	TCGA.KB.A93G.01A.11R.A39E.31	TCGA.BR.8687.01A.11R.2402.13	TCGA.BR.7716.11A.01R.2055.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.BR.6852.11A.01R.1884.13	TCGA.BR.6802.11A.01R.1884.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13
KIAA0195	674.59	796.86	1259.69	301.33	187.71	1295.13	127.0	547.75	490.14	454.09	490.14	429.54	579.04	575.03	1572.76	1242.34	1529.73	1844.76	1199.98	1378.57	791.35	651.58	1183.45	1397.83	1159.07	1498.22	1467.37	1832.01	1447.15	1295.13	836.53	1583.71	928.3	285.03	1066.48	802.41
KIAA0556	119.26	101.54	244.57	69.03	40.64	285.03	34.26	59.13	56.28	59.55	56.28	70.51	34.02	89.51	438.59	316.37	389.72	283.05	246.28	363.56	226.54	214.27	389.72	379.04	379.04	327.56	305.55	329.84	339.14	264.03	161.02	189.02	165.57	108.9	175.07	129.69
KIAA1024	2.68	1.81	1.87	1.81	2.73	6.52	0.0	2.43	2.27	1.28	2.27	8.78	4.06	2.81	18.03	17.9	10.39	11.91	10.55	9.78	25.35	5.73	19.82	35.5	24.11	4.28	3.76	8.38	6.46	10.71	7.69	7.82	10.71	4.17	3.89	5.96
KIAA1147	162.14	55.89	316.37	87.03	70.51	242.88	35.5	66.65	229.72	57.08	229.72	115.16	68.55	170.25	684.02	563.18	476.71	518.15	417.77	409.15	246.28	339.14	866.07	703.28	743.43	305.55	287.01	743.43	518.15	231.32	275.28	441.64	309.83	191.67	327.56	195.72
KIAA1244	27.25	6.26	51.71	17.51	20.11	559.28	0.39	25.91	16.88	21.94	16.88	14.78	8.85	20.26	353.59	392.44	473.41	571.05	376.41	392.44	206.94	373.81	366.09	575.03	854.13	265.87	239.52	525.39	684.02	212.78	149.12	226.54	185.11	70.01	327.56	86.43
KMT2D	195.72	157.68	532.74	35.0	56.68	1001.93	22.26	102.97	69.03	108.9	69.03	78.34	98.73	127.0	988.12	896.64	1127.35	759.08	791.35	884.29	759.08	595.34	1457.23	1073.91	1295.13	384.34	759.08	884.29	748.61	656.11	373.81	624.99	327.56	39.79	412.0	316.37
LARP4B	316.37	191.67	447.82	295.11	206.94	1143.1	163.28	208.38	358.54	480.04	358.54	228.13	248.0	260.38	1331.57	866.07	1191.69	1051.79	954.43	521.76	921.88	748.61	1268.46	890.44	1369.04	738.29	836.53	981.29	878.17	651.58	503.95	543.96	642.59	237.86	647.07	438.59
LRP6	119.26	68.07	185.11	43.02	18.97	232.94	24.28	53.19	46.84	39.79	46.84	46.84	45.85	79.45	325.29	336.79	454.09	251.48	256.78	297.17	444.72	255.0	718.08	395.18	320.8	187.71	167.9	346.29	234.57	201.25	108.14	180.02	142.01	121.79	246.28	127.0
MCF2L	258.57	197.09	376.41	41.52	71.0	283.05	6.36	44.89	34.02	30.12	34.02	101.54	81.71	271.48	825.0	571.05	981.29	743.43	529.06	384.34	693.58	579.04	1757.34	1304.15	2133.97	500.46	409.15	529.06	583.07	351.14	309.83	271.48	267.73	157.68	314.17	234.57
MGAT5	142.01	123.5	226.54	91.41	70.01	785.88	38.4	107.38	82.29	141.02	82.29	131.51	71.0	120.94	1059.11	591.22	1268.46	376.41	866.07	543.96	343.89	379.04	928.3	796.86	743.43	323.03	486.75	743.43	575.03	559.28	397.93	463.65	314.17	177.53	463.65	305.55
MTF1	76.71	38.67	72.01	29.27	28.24	115.97	55.1	40.36	36.01	36.79	36.01	56.28	66.18	45.85	139.07	115.97	131.51	108.9	133.36	65.72	105.15	93.35	165.57	180.02	130.6	77.25	93.35	119.26	111.21	142.01	68.55	79.45	90.77	39.5	112.77	76.17
MTMR4	269.6	111.21	329.84	181.28	163.28	521.76	88.26	318.57	246.28	178.77	246.28	151.22	197.09	208.38	633.73	438.59	460.44	438.59	480.04	595.34	343.89	450.94	503.95	397.93	529.06	318.57	329.84	348.71	389.72	450.94	303.44	232.94	389.72	117.6	244.57	202.66
MYO18A	381.68	258.57	808.0	76.17	82.29	785.88	111.21	106.63	63.0	143.01	63.0	181.28	130.6	368.65	995.0	825.0	902.89	830.75	1088.92	624.99	543.96	665.29	860.08	780.44	1331.57	603.67	808.0	954.43	878.17	967.76	647.07	759.08	444.72	183.82	748.61	447.82
