	TCGA.BH.A209.01A.11R.A157.07	GTEX.ZVZQ.0826.SM.51MRF	GTEX.ZVT2.1826.SM.5NQ8W	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.14E7W.1326.SM.5RQIV	GTEX.131YS.0926.SM.5IJB9	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FLV.0426.SM.5KLZA	GTEX.11NUK.0826.SM.5HL4U	GTEX.SIU8.0926.SM.5SI87	GTEX.PLZ6.0426.SM.5IFK2	GTEX.ZYT6.0526.SM.5GIEA	GTEX.11P81.0226.SM.5HL5M	GTEX.VJYA.0326.SM.3GAEX	GTEX.XOT4.1426.SM.4B65T	GTEX.13G51.0426.SM.5K7Z5	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ
UBXN2A	279.14	500.46	432.53	237.86	66.18	221.86	169.07	199.85	376.41	202.66	136.19	180.02	126.12	144.01	260.38	249.73	269.6	253.23	169.07	209.84	124.37	158.79	138.1
UROD	1487.87	2701.35	3467.27	0.0	0.51	1745.2	1519.15	1233.75	2032.85	536.45	1143.1	1167.14	2271.4	1286.18	2609.3	2351.53	2090.03	2720.15	947.83	967.76	1519.15	1159.07	1051.79
USF2	4419.52	3491.39	3235.01	0.0	1.04	3395.89	3146.52	1819.35	2367.9	3081.75	2434.5	2701.35	4481.23	5041.77	3325.99	4066.71	4010.71	2664.15	2895.31	1883.54	5329.3	3018.3	2682.69
VKORC1L1	514.56	934.76	693.58	563.18	1551.09	473.41	543.96	212.78	808.0	366.09	177.53	223.41	395.18	332.14	595.34	688.78	607.87	1023.0	332.14	612.11	334.46	332.14	381.68
WDR41	854.13	981.29	679.29	0.0	0.58	603.67	836.53	432.53	1088.92	521.76	387.02	336.79	603.67	599.49	738.29	848.22	988.12	954.43	684.02	629.35	373.81	583.07	656.11
WSB2	2240.11	1015.93	1151.06	1081.39	435.55	866.07	1378.57	796.86	802.41	587.13	974.5	728.11	733.19	728.11	1225.22	1023.0	1225.22	1540.37	915.51	988.12	476.71	981.29	813.63
YIPF3	5711.87	2609.3	3419.52	2835.7	363.56	2573.36	1745.2	1745.2	4152.18	1277.29	1674.06	1721.16	2209.26	1794.29	4869.99	3768.09	4152.18	5329.3	1447.15	1963.57	2061.24	2018.8	1857.6
ZBED5	1250.98	703.28	583.07	0.0	0.69	624.99	642.59	450.94	1143.1	339.14	231.32	463.65	1066.48	441.64	603.67	836.53	718.08	603.67	583.07	255.0	454.09	406.31	353.59
ZNF229	75.64	93.35	56.28	0.0	0.37	6.67	31.22	30.56	303.44	0.0	24.46	27.44	11.04	20.11	15.91	165.57	36.53	17.25	28.45	6.31	11.82	24.28	7.34
ZNF232	314.17	162.14	167.9	0.0	0.04	189.02	171.45	41.52	119.26	75.64	53.57	38.67	114.36	78.34	159.9	223.41	154.42	125.24	256.78	63.0	103.69	79.45	228.13
ZNF285	98.73	25.17	72.52	0.0	0.16	8.38	9.13	0.71	29.48	3.86	1.45	0.22	13.32	4.46	20.41	58.71	22.59	42.11	4.78	3.76	2.86	21.47	2.03
ZNF839	275.28	336.79	249.73	0.0	0.36	201.25	144.01	120.1	412.0	82.29	32.82	161.02	373.81	251.48	323.03	271.48	291.04	275.28	110.43	76.17	249.73	108.9	96.68
