	TCGA.VS.A959.01A.11R.A42T.07	TCGA.W5.AA30.01A.31R.A41I.07	TCGA.W5.AA2X.01A.11R.A41I.07	TCGA.W5.AA2U.11A.11R.A41I.07	TCGA.L5.A8NG.01A.11R.A37I.31	TCGA.L5.A4OM.01A.11R.A260.31	TCGA.5C.A9VH.01A.11R.A37K.07	TCGA.WJ.A86L.01A.12R.A39D.07	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.CC.A8HS.01A.11R.A36F.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.2Y.A9H6.01A.11R.A39D.07	TCGA.ED.A66Y.01A.11R.A311.07	TCGA.2Y.A9H5.01A.11R.A38B.07	TCGA.ZP.A9D4.01A.11R.A37K.07	TCGA.G3.A7M6.01A.11R.A33R.07	TCGA.BC.A216.01A.11R.A155.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.RC.A7SF.01A.11R.A352.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A118.11A.11R.A131.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.RM2N.1926.SM.48FCU	GTEX.13FTZ.0726.SM.5IFFY	GTEX.X4EO.1126.SM.4QARQ	GTEX.147F4.1426.SM.5LUA8	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.12WSM.0726.SM.5GCOW	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.XBEC.1526.SM.4AT68	GTEX.RU72.1426.SM.46MUF	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.13O3O.1826.SM.5IFGW	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	GTEX.REY6.1226.SM.48FDR	TCGA.90.A4ED.01A.31R.A24Z.07	TCGA.37.A5EN.01A.21R.A26W.07	TCGA.58.8388.01A.11R.2326.07
NPIPA1	1208.34	1857.6	1806.78	733.19	4239.45	6652.97	1397.83	1268.46	1322.37	3491.39	1151.06	1447.15	1268.46	2935.74	1407.55	775.05	2104.58	1896.65	1001.93	1191.69	133.36	161.02	293.07	137.14	400.71	348.71	728.11	587.13	599.49	825.0	173.85	435.55	397.93	713.11	1001.93	507.46	713.11	275.28	708.18	376.41	543.96	400.71	460.44	441.64	633.73	928.3	356.05	343.89	429.54	620.67	361.04	303.44	493.56	733.19	974.5	356.05	429.54	316.37	518.15	532.74	104.42	289.02	253.23	785.88	507.46	332.14	2935.74	2384.37	2777.33
PAN2	848.22	981.29	1259.69	819.3	1745.2	3124.78	733.19	743.43	1259.69	1388.16	1191.69	1104.13	947.83	1721.16	620.67	961.07	1225.22	1268.46	1313.23	718.08	444.72	441.64	514.56	356.05	429.54	693.58	669.92	518.15	785.88	1477.58	466.88	620.67	363.56	813.63	1073.91	547.75	743.43	423.61	902.89	518.15	884.29	595.34	718.08	629.35	1268.46	1304.15	921.88	567.1	684.02	848.22	444.72	591.22	656.11	866.07	607.87	414.87	638.15	575.03	638.15	813.63	249.73	265.87	480.04	848.22	441.64	543.96	1119.56	981.29	1551.09
PAXIP1	205.5	307.69	314.17	96.01	283.05	208.38	142.01	150.17	171.45	208.38	117.6	120.94	122.64	490.14	173.85	157.68	211.31	155.5	165.57	82.29	49.91	67.59	64.8	57.89	55.49	71.5	104.42	90.14	80.01	116.78	44.89	94.01	77.79	57.49	146.03	74.06	117.6	73.54	112.77	46.18	122.64	77.79	71.0	94.01	123.5	199.85	88.26	91.41	98.04	105.15	59.55	77.25	108.9	122.64	76.71	54.33	85.22	70.01	129.69	75.11	22.26	61.68	57.49	110.43	93.35	36.53	299.25	305.55	205.5
PCED1A	1651.0	909.17	1508.65	518.15	896.64	612.11	1159.07	718.08	981.29	1457.23	1857.6	902.89	543.96	1023.0	941.27	490.14	1388.16	753.83	1151.06	981.29	332.14	239.52	329.84	406.31	395.18	414.87	483.38	633.73	483.38	769.69	329.84	381.68	412.0	343.89	878.17	403.5	743.43	283.05	651.58	470.14	403.5	363.56	507.46	665.29	651.58	1023.0	583.07	279.14	480.04	579.04	543.96	406.31	447.82	808.0	591.22	251.48	463.65	389.72	480.04	473.41	269.6	532.74	571.05	638.15	379.04	435.55	1388.16	890.44	1286.18
PHF12	713.11	587.13	791.35	209.84	660.68	764.36	435.55	698.41	454.09	780.44	361.04	587.13	356.05	718.08	293.07	532.74	723.08	454.09	476.71	312.0	127.89	150.17	137.14	175.07	164.42	147.06	149.12	264.03	156.59	381.68	241.19	120.94	134.3	271.48	327.56	140.04	209.84	177.53	241.19	90.14	265.87	251.48	108.9	177.53	212.78	316.37	198.47	120.1	180.02	218.79	133.36	138.1	265.87	287.01	161.02	127.0	139.07	208.38	167.9	183.82	54.33	197.09	175.07	241.19	148.09	123.5	693.58	555.41	1104.13
PI4KB	1639.59	2537.92	1477.58	521.76	1096.5	1359.57	1322.37	1781.89	915.51	1950.0	1529.73	665.29	1225.22	1397.83	1159.07	791.35	1508.65	1447.15	860.08	620.67	339.14	412.0	412.0	376.41	563.18	343.89	547.75	633.73	688.78	759.08	426.57	591.22	438.59	483.38	1111.82	587.13	624.99	334.46	713.11	400.71	674.59	497.0	305.55	633.73	842.36	884.29	381.68	285.03	389.72	759.08	395.18	351.14	567.1	1023.0	303.44	395.18	529.06	346.29	486.75	559.28	177.53	279.14	511.0	791.35	277.2	409.15	1369.04	1388.16	1936.53
POGZ	1143.1	1745.2	1066.48	353.59	1378.57	1819.35	642.59	1295.13	759.08	2319.15	595.34	769.69	693.58	1183.45	896.64	909.17	1359.57	1023.0	791.35	441.64	158.79	167.9	185.11	176.29	239.52	351.14	412.0	297.17	466.88	669.92	100.83	242.88	305.55	414.87	743.43	316.37	466.88	299.25	688.78	348.71	341.51	242.88	271.48	307.69	616.37	351.14	303.44	176.29	441.64	476.71	361.04	253.23	607.87	633.73	348.71	218.79	460.44	318.57	389.72	651.58	111.99	111.21	187.71	348.71	334.46	173.85	1191.69	808.0	1819.35
POLM	312.0	563.18	802.41	275.28	500.46	293.07	518.15	684.02	529.06	224.97	525.39	397.93	417.77	684.02	490.14	356.05	514.56	348.71	473.41	327.56	131.51	135.24	140.04	124.37	220.32	205.5	191.67	287.01	305.55	289.02	114.36	215.77	145.02	201.25	358.54	241.19	260.38	214.27	323.03	186.4	232.94	202.66	182.55	265.87	269.6	348.71	248.0	182.55	371.22	303.44	281.09	136.19	271.48	381.68	190.34	194.36	231.32	320.8	363.56	255.0	115.16	87.03	105.15	246.28	269.6	218.79	866.07	651.58	547.75
PPIL2	1104.13	1143.1	1277.29	473.41	1001.93	981.29	1044.52	1059.11	878.17	1322.37	1233.75	764.36	941.27	1001.93	1233.75	764.36	1135.2	872.1	921.88	769.69	503.95	368.65	285.03	389.72	435.55	406.31	684.02	567.1	669.92	624.99	379.04	616.37	607.87	733.19	540.19	438.59	665.29	480.04	915.51	563.18	483.38	507.46	412.0	802.41	591.22	775.05	389.72	387.02	450.94	703.28	438.59	351.14	693.58	764.36	483.38	603.67	447.82	595.34	703.28	733.19	400.71	392.44	329.84	595.34	497.0	579.04	819.3	1143.1	759.08
PPOX	1023.0	1519.15	961.07	269.6	470.14	571.05	595.34	656.11	353.59	825.0	753.83	447.82	813.63	466.88	414.87	563.18	1313.23	703.28	813.63	447.82	201.25	148.09	183.82	186.4	307.69	249.73	397.93	318.57	295.11	339.14	106.63	287.01	150.17	256.78	518.15	246.28	525.39	229.72	379.04	314.17	255.0	182.55	312.0	387.02	343.89	429.54	281.09	260.38	251.48	320.8	273.37	167.9	316.37	429.54	208.38	277.2	258.57	189.02	381.68	336.79	163.28	96.68	157.68	351.14	293.07	244.57	1286.18	521.76	890.44
PRPF3	1388.16	2209.26	2451.44	780.44	1794.29	1519.15	1359.57	1617.0	947.83	1388.16	1498.22	1096.5	1963.57	1674.06	1388.16	1313.23	1745.2	1417.35	1151.06	612.11	146.03	271.48	265.87	212.78	403.5	460.44	684.02	713.11	748.61	764.36	171.45	480.04	371.22	679.29	1023.0	521.76	738.29	356.05	974.5	460.44	476.71	403.5	400.71	733.19	947.83	703.28	435.55	392.44	444.72	775.05	540.19	246.28	738.29	1081.39	476.71	327.56	521.76	603.67	543.96	753.83	154.42	332.14	514.56	575.03	400.71	371.22	1936.53	1572.76	1896.65
RECQL5	1250.98	1119.56	1313.23	493.56	567.1	738.29	629.35	1001.93	860.08	1540.37	1104.13	1143.1	830.75	603.67	571.05	1331.57	1806.78	813.63	1498.22	536.45	297.17	273.37	248.0	208.38	283.05	285.03	503.95	384.34	490.14	669.92	153.34	363.56	265.87	381.68	825.0	305.55	483.38	269.6	638.15	275.28	346.29	314.17	336.79	599.49	591.22	825.0	366.09	325.29	348.71	518.15	454.09	316.37	454.09	743.43	351.14	299.25	318.57	299.25	384.34	454.09	137.14	223.41	267.73	429.54	289.02	432.53	1757.34	1268.46	1183.45
RP11-295P9.3	400.71	665.29	332.14	110.43	587.13	563.18	199.85	214.27	228.13	327.56	224.97	438.59	281.09	384.34	244.57	182.55	612.11	275.28	281.09	173.85	21.32	41.22	60.82	35.76	87.03	125.24	82.29	150.17	105.15	111.21	31.45	103.69	38.95	143.01	131.51	63.0	98.04	61.25	136.19	59.13	102.25	100.83	49.91	119.26	118.43	172.65	111.99	48.18	74.58	105.15	128.79	48.52	167.9	208.38	59.97	50.27	104.42	96.01	102.25	108.14	13.32	54.72	36.01	105.15	83.45	54.72	633.73	169.07	371.22
RTEL1	251.48	368.65	454.09	104.42	389.72	395.18	224.97	279.14	242.88	389.72	540.19	307.69	195.72	229.72	189.02	209.84	305.55	314.17	217.27	193.01	120.94	54.72	72.52	53.95	115.16	70.51	111.21	82.29	70.51	131.51	98.04	116.78	110.43	206.94	147.06	86.43	126.12	76.71	209.84	88.26	122.64	93.35	85.22	181.28	128.79	323.03	105.89	191.67	59.55	129.69	73.03	67.59	134.3	129.69	158.79	57.89	54.72	126.12	88.26	127.0	68.07	51.35	74.58	114.36	102.97	142.01	567.1	182.55	444.72
SAPCD1	125.24	309.83	406.31	39.5	444.72	392.44	112.77	131.51	199.85	249.73	108.9	129.69	55.49	131.51	211.31	80.57	209.84	281.09	303.44	99.43	0.0	12.36	5.23	15.45	18.03	18.84	79.45	27.44	42.71	39.79	6.57	27.44	8.58	19.11	75.64	31.0	118.43	9.63	64.34	17.64	27.64	17.0	26.1	88.26	52.45	38.4	25.17	24.11	35.25	26.1	33.54	7.22	51.35	106.63	40.07	15.22	28.65	18.56	65.72	62.56	10.47	15.34	21.47	59.55	28.86	30.78	547.75	137.14	172.65
SETD1A	234.57	251.48	217.27	124.37	363.56	500.46	161.02	267.73	251.48	206.94	199.85	175.07	176.29	246.28	212.78	208.38	309.83	244.57	185.11	180.02	90.77	111.99	81.14	87.65	68.07	73.03	111.99	123.5	105.89	167.9	96.01	84.63	128.79	111.21	162.14	105.89	171.45	71.5	114.36	62.12	118.43	115.16	68.55	108.9	110.43	228.13	107.38	170.25	111.21	141.02	96.01	92.05	133.36	151.22	96.68	59.97	78.34	119.26	101.54	142.01	37.59	126.12	129.69	129.69	81.71	102.97	366.09	279.14	426.57
SETDB1	896.64	1909.85	1199.98	323.03	928.3	872.1	796.86	775.05	642.59	1340.84	607.87	603.67	612.11	902.89	651.58	674.59	967.76	743.43	656.11	389.72	182.55	191.67	205.5	226.54	205.5	262.2	312.0	312.0	414.87	466.88	206.94	269.6	312.0	397.93	660.68	285.03	432.53	182.55	665.29	183.82	334.46	223.41	208.38	397.93	493.56	463.65	273.37	356.05	417.77	444.72	323.03	277.2	460.44	500.46	214.27	131.51	291.04	283.05	435.55	500.46	72.01	205.5	224.97	397.93	283.05	199.85	1322.37	890.44	1233.75
SGSM3	3395.89	2895.31	2855.44	808.0	1073.91	1199.98	1242.34	1340.84	1250.98	2047.0	1417.35	1127.35	1340.84	1304.15	1457.23	791.35	1651.0	1427.22	1242.34	1340.84	688.78	454.09	486.75	529.06	444.72	775.05	830.75	780.44	638.15	1467.37	473.41	733.19	559.28	1175.27	1051.79	507.46	909.17	563.18	759.08	679.29	842.36	679.29	878.17	723.08	954.43	1427.22	909.17	571.05	563.18	995.0	473.41	518.15	802.41	1051.79	743.43	769.69	723.08	624.99	718.08	688.78	384.34	563.18	438.59	819.3	629.35	733.19	1950.0	1378.57	2193.99
SH2B1	954.43	1242.34	1183.45	559.28	802.41	1037.29	775.05	1066.48	1001.93	1268.46	1216.75	1277.29	759.08	1583.71	785.88	764.36	1127.35	1277.29	1001.93	733.19	291.04	264.03	323.03	309.83	384.34	403.5	651.58	587.13	454.09	941.27	241.19	473.41	341.51	555.41	825.0	457.25	563.18	339.14	567.1	490.14	532.74	503.95	507.46	579.04	616.37	941.27	493.56	500.46	457.25	525.39	547.75	389.72	518.15	902.89	387.02	412.0	423.61	409.15	470.14	525.39	241.19	194.36	212.78	571.05	397.93	336.79	1508.65	1167.14	1508.65
SH3BP5L	748.61	921.88	579.04	201.25	480.04	842.36	500.46	718.08	470.14	638.15	854.13	429.54	547.75	599.49	579.04	457.25	902.89	830.75	638.15	246.28	228.13	206.94	177.53	204.07	279.14	161.02	258.57	204.07	246.28	470.14	95.34	285.03	195.72	264.03	341.51	191.67	248.0	140.04	217.27	170.25	269.6	279.14	265.87	281.09	204.07	420.68	334.46	176.29	202.66	275.28	180.02	189.02	223.41	309.83	183.82	194.36	187.71	171.45	231.32	220.32	105.89	115.16	73.54	224.97	191.67	173.85	403.5	647.07	796.86
SNRNP70	7537.18	7130.55	7966.99	3018.3	9215.48	7857.29	4298.64	3716.2	5479.15	10733.74	4639.29	3901.01	5555.65	6792.79	5076.84	3443.31	10440.2	4239.45	5633.22	4639.29	1498.22	1561.89	981.29	1081.39	2090.03	2485.67	2119.22	3081.75	2720.15	3794.3	1397.83	2075.59	2209.26	2915.45	4481.23	2351.53	3395.89	1617.0	3395.89	2119.22	2451.44	2047.0	2163.77	3235.01	3614.55	4736.79	2417.67	1697.45	2573.36	3103.19	2627.46	1572.76	3190.46	4903.87	1745.2	1757.34	2895.31	2682.69	2627.46	3467.27	1277.29	1709.26	2104.58	3018.3	2075.59	1909.85	5995.9	4802.93	7911.95
SOX13	848.22	2018.8	825.0	409.15	753.83	1159.07	1119.56	995.0	769.69	1745.2	890.44	529.06	607.87	1721.16	1208.34	551.56	878.17	866.07	708.18	525.39	279.14	271.48	108.9	348.71	301.33	518.15	341.51	332.14	525.39	579.04	208.38	229.72	164.42	307.69	688.78	518.15	454.09	336.79	808.0	231.32	356.05	387.02	267.73	417.77	420.68	463.65	361.04	246.28	679.29	363.56	429.54	341.51	567.1	591.22	258.57	241.19	432.53	309.83	409.15	450.94	177.53	65.72	115.16	450.94	400.71	258.57	4239.45	1331.57	961.07
SRCAP	684.02	733.19	587.13	193.01	902.89	1127.35	334.46	397.93	571.05	389.72	358.54	248.0	429.54	620.67	409.15	339.14	660.68	532.74	287.01	271.48	145.02	157.68	151.22	201.25	102.25	116.78	106.63	91.41	169.07	236.21	189.02	102.97	148.09	223.41	297.17	165.57	163.28	95.34	273.37	73.54	194.36	120.94	135.24	153.34	269.6	423.61	159.9	221.86	182.55	209.84	137.14	229.72	287.01	281.09	120.94	65.26	148.09	237.86	202.66	285.03	39.5	91.41	158.79	232.94	94.67	96.68	684.02	583.07	1359.57
STK36	769.69	1594.73	1322.37	198.47	934.76	995.0	373.81	373.81	429.54	2163.77	392.44	444.72	275.28	366.09	387.02	400.71	1617.0	295.11	532.74	271.48	107.38	55.49	143.01	107.38	105.15	92.7	167.9	80.57	186.4	293.07	75.64	121.79	54.33	97.36	406.31	146.03	318.57	137.14	223.41	97.36	155.5	134.3	164.42	256.78	299.25	307.69	155.5	98.73	116.78	158.79	163.28	127.0	229.72	262.2	110.43	152.28	145.02	145.02	264.03	267.73	44.25	28.24	80.57	239.52	162.14	143.01	1350.18	620.67	1268.46
STRADA	743.43	633.73	866.07	291.04	684.02	974.5	503.95	854.13	612.11	896.64	460.44	974.5	587.13	656.11	441.64	743.43	921.88	555.41	738.29	389.72	241.19	206.94	283.05	218.79	295.11	271.48	316.37	366.09	373.81	521.76	205.5	271.48	217.27	480.04	473.41	256.78	366.09	264.03	368.65	348.71	417.77	297.17	285.03	409.15	444.72	511.0	341.51	205.5	341.51	441.64	358.54	269.6	361.04	547.75	318.57	334.46	329.84	299.25	389.72	387.02	148.09	246.28	197.09	373.81	297.17	316.37	1268.46	785.88	1111.82
SUGP2	1081.39	1322.37	878.17	366.09	1417.35	1378.57	660.68	866.07	753.83	2163.77	860.08	780.44	802.41	1369.04	759.08	511.0	1437.15	1250.98	708.18	713.11	180.02	242.88	220.32	111.21	236.21	271.48	555.41	454.09	543.96	521.76	172.65	435.55	312.0	400.71	791.35	336.79	629.35	229.72	486.75	376.41	476.71	438.59	351.14	483.38	463.65	791.35	412.0	353.59	358.54	656.11	289.02	211.31	612.11	521.76	412.0	293.07	329.84	476.71	486.75	703.28	182.55	249.73	299.25	599.49	318.57	241.19	1313.23	961.07	764.36
THBS3	808.0	1950.0	723.08	293.07	1111.82	743.43	703.28	503.95	1008.9	251.48	660.68	808.0	629.35	327.56	595.34	507.46	1015.93	417.77	934.76	426.57	97.36	81.14	128.79	131.51	164.42	208.38	334.46	223.41	414.87	409.15	90.77	197.09	177.53	195.72	723.08	244.57	575.03	205.5	438.59	202.66	201.25	195.72	265.87	607.87	480.04	490.14	251.48	202.66	212.78	305.55	299.25	149.12	435.55	332.14	172.65	208.38	267.73	178.77	271.48	329.84	103.69	57.49	136.19	376.41	215.77	246.28	2018.8	921.88	1208.34
THOC5	753.83	1104.13	503.95	291.04	759.08	1233.75	368.65	309.83	395.18	575.03	595.34	450.94	438.59	384.34	473.41	295.11	599.49	638.15	346.29	432.53	218.79	166.73	154.42	229.72	251.48	214.27	283.05	193.01	239.52	246.28	126.12	293.07	162.14	241.19	384.34	163.28	389.72	229.72	289.02	258.57	237.86	138.1	255.0	351.14	146.03	303.44	329.84	186.4	224.97	351.14	217.27	208.38	363.56	327.56	297.17	255.0	348.71	314.17	178.77	373.81	111.99	146.03	111.99	237.86	204.07	217.27	624.99	665.29	791.35
TJAP1	595.34	1183.45	708.18	327.56	1628.26	1104.13	392.44	514.56	819.3	785.88	616.37	334.46	486.75	743.43	698.41	579.04	866.07	1167.14	607.87	457.25	209.84	258.57	209.84	197.09	309.83	258.57	295.11	291.04	384.34	423.61	182.55	217.27	277.2	314.17	679.29	212.78	373.81	191.67	470.14	202.66	256.78	253.23	334.46	307.69	348.71	493.56	267.73	258.57	249.73	256.78	279.14	237.86	444.72	507.46	339.14	218.79	249.73	299.25	395.18	392.44	119.26	165.57	194.36	339.14	232.94	283.05	802.41	1088.92	780.44
TMEM79	813.63	258.57	153.34	70.01	145.02	2758.13	209.84	341.51	133.36	165.57	204.07	135.24	176.29	150.17	175.07	208.38	305.55	127.89	211.31	59.55	59.13	31.0	49.21	58.71	59.55	61.25	76.71	85.22	54.33	102.97	27.84	62.56	30.34	57.08	127.89	55.49	81.71	50.98	77.25	61.25	72.01	67.12	85.82	64.34	100.13	113.56	62.12	61.25	72.01	71.0	73.54	53.95	79.45	102.25	55.49	50.63	53.19	52.08	64.34	72.01	25.91	18.29	26.47	94.01	80.01	62.12	599.49	493.56	309.83
TOP3B	651.58	1923.14	674.59	156.59	616.37	1051.79	343.89	325.29	361.04	1081.39	293.07	356.05	395.18	346.29	441.64	339.14	738.29	253.23	273.37	285.03	136.19	107.38	98.73	109.66	84.04	114.36	180.02	358.54	186.4	521.76	92.05	165.57	130.6	178.77	237.86	163.28	132.44	131.51	195.72	132.44	108.9	201.25	134.3	159.9	255.0	447.82	145.02	229.72	178.77	212.78	114.36	105.15	239.52	273.37	127.0	167.9	154.42	143.01	154.42	242.88	55.89	70.01	87.03	221.86	133.36	96.01	718.08	642.59	679.29
TRIOBP	967.76	1378.57	688.78	323.03	1175.27	1457.23	679.29	1081.39	1143.1	1250.98	934.76	575.03	769.69	1111.82	854.13	518.15	1119.56	624.99	563.18	525.39	395.18	269.6	287.01	273.37	351.14	435.55	476.71	429.54	463.65	384.34	295.11	316.37	281.09	348.71	480.04	204.07	329.84	332.14	305.55	341.51	226.54	1397.83	267.73	417.77	518.15	320.8	181.28	242.88	684.02	297.17	417.77	454.09	728.11	466.88	387.02	423.61	371.22	258.57	603.67	371.22	183.82	145.02	224.97	397.93	450.94	231.32	995.0	830.75	1322.37
TRMT2A	1594.73	2591.27	2119.22	1066.48	1250.98	1427.22	1183.45	1359.57	1540.37	2609.3	2367.9	2351.53	1508.65	2004.85	1295.13	1340.84	2061.24	1304.15	1572.76	1242.34	738.29	571.05	624.99	567.1	780.44	583.07	947.83	1844.76	866.07	1757.34	420.68	684.02	1066.48	1159.07	1529.73	775.05	1088.92	665.29	1119.56	718.08	848.22	1378.57	890.44	1066.48	1397.83	1487.87	796.86	830.75	842.36	902.89	878.17	493.56	884.29	1427.22	728.11	599.49	780.44	808.0	769.69	860.08	583.07	708.18	693.58	1008.9	743.43	1059.11	1639.59	2075.59	2240.11
TRMU	860.08	1322.37	1340.84	273.37	1081.39	1709.26	507.46	551.56	483.38	1572.76	713.11	642.59	579.04	764.36	532.74	409.15	785.88	718.08	476.71	507.46	186.4	249.73	329.84	228.13	201.25	249.73	212.78	277.2	221.86	563.18	214.27	214.27	547.75	486.75	463.65	239.52	301.33	249.73	403.5	186.4	423.61	242.88	293.07	307.69	356.05	583.07	346.29	262.2	371.22	493.56	242.88	170.25	343.89	540.19	232.94	171.45	323.03	423.61	379.04	291.04	73.03	249.73	148.09	343.89	275.28	291.04	1191.69	1417.35	1191.69
TSC1	228.13	239.52	279.14	95.34	323.03	348.71	122.64	267.73	180.02	312.0	162.14	172.65	149.12	218.79	211.31	148.09	361.04	237.86	234.57	128.79	28.65	45.85	59.55	63.45	54.72	34.51	117.6	40.36	127.0	127.89	45.53	66.65	60.39	82.87	201.25	50.98	114.36	41.52	133.36	62.56	67.12	69.03	38.12	93.35	169.07	123.5	55.1	57.08	63.0	75.64	76.71	53.19	119.26	102.25	76.17	43.63	85.82	52.08	107.38	113.56	15.45	30.12	47.5	96.01	46.84	69.03	381.68	295.11	384.34
TTC13	320.8	575.03	518.15	99.43	392.44	341.51	409.15	297.17	209.84	559.28	151.22	295.11	234.57	343.89	432.53	167.9	406.31	343.89	287.01	265.87	45.21	59.97	51.71	47.17	81.14	130.6	138.1	71.0	81.71	103.69	64.34	75.64	68.55	120.1	133.36	102.97	86.43	100.83	57.89	82.29	71.5	94.01	51.35	109.66	176.29	251.48	72.01	18.84	101.54	166.73	74.58	38.4	134.3	127.89	102.97	107.38	104.42	115.16	115.16	115.97	20.56	89.51	36.79	95.34	87.03	57.89	346.29	368.65	368.65
TTC23	334.46	753.83	260.38	163.28	303.44	529.06	176.29	384.34	273.37	251.48	397.93	470.14	318.57	447.82	389.72	291.04	532.74	142.01	214.27	204.07	129.69	100.83	136.19	123.5	131.51	206.94	237.86	152.28	215.77	206.94	98.04	198.47	71.0	157.68	171.45	159.9	303.44	141.02	241.19	221.86	191.67	156.59	102.97	267.73	248.0	353.59	146.03	88.88	173.85	343.89	279.14	178.77	217.27	204.07	176.29	164.42	129.69	115.97	194.36	212.78	70.01	33.78	37.85	181.28	180.02	187.71	255.0	197.09	318.57
TUBGCP6	947.83	1073.91	1199.98	358.54	713.11	796.86	511.0	521.76	808.0	1023.0	540.19	698.41	620.67	426.57	536.45	392.44	1208.34	718.08	656.11	616.37	175.07	189.02	193.01	151.22	258.57	234.57	414.87	341.51	314.17	470.14	191.67	221.86	341.51	395.18	629.35	312.0	400.71	177.53	497.0	283.05	251.48	325.29	248.0	389.72	473.41	587.13	303.44	262.2	301.33	371.22	289.02	151.22	463.65	612.11	275.28	239.52	221.86	275.28	301.33	441.64	141.02	236.21	258.57	346.29	202.66	316.37	1151.06	728.11	1015.93
UBTF	1697.45	1639.59	1685.71	656.11	1295.13	1745.2	878.17	1331.57	1143.1	1685.71	1051.79	967.76	866.07	1757.34	921.88	1407.55	1617.0	1216.75	1023.0	718.08	563.18	647.07	493.56	620.67	543.96	713.11	591.22	688.78	866.07	791.35	447.82	703.28	480.04	397.93	1023.0	780.44	866.07	708.18	866.07	543.96	733.19	703.28	493.56	753.83	708.18	1119.56	642.59	540.19	674.59	981.29	808.0	921.88	819.3	988.12	728.11	599.49	665.29	466.88	743.43	775.05	466.88	447.82	703.28	902.89	551.56	490.14	1870.53	1427.22	1832.01
USP21	1008.9	1572.76	1088.92	244.57	854.13	1286.18	669.92	647.07	507.46	1183.45	551.56	343.89	595.34	796.86	525.39	480.04	1208.34	785.88	642.59	305.55	171.45	167.9	120.94	169.07	103.69	173.85	218.79	201.25	201.25	381.68	82.29	143.01	108.9	208.38	341.51	191.67	329.84	156.59	232.94	129.69	236.21	211.31	180.02	231.32	246.28	406.31	220.32	271.48	187.71	224.97	171.45	123.5	253.23	397.93	171.45	132.44	211.31	150.17	234.57	283.05	53.57	76.17	107.38	255.0	198.47	97.36	1277.29	967.76	1781.89
VMAC	85.82	125.24	96.01	26.1	142.01	108.14	89.51	136.19	108.14	98.04	55.89	36.79	101.54	127.89	76.71	71.0	111.99	96.01	112.77	73.03	36.53	17.64	23.42	24.63	41.22	65.26	27.64	34.51	43.63	43.32	23.08	38.12	24.46	42.71	68.55	46.5	48.52	35.76	74.06	40.36	46.5	42.71	24.99	40.07	72.52	58.71	26.67	43.32	47.5	49.56	51.71	35.76	88.26	63.89	19.11	42.41	47.5	30.34	53.19	56.68	42.41	14.14	15.0	38.67	50.63	32.13	154.42	81.14	85.22
VPS39	748.61	753.83	1233.75	255.0	988.12	884.29	423.61	708.18	583.07	466.88	769.69	599.49	571.05	536.45	514.56	555.41	866.07	543.96	536.45	473.41	260.38	187.71	234.57	218.79	215.77	228.13	279.14	234.57	341.51	363.56	201.25	231.32	191.67	363.56	497.0	273.37	316.37	139.07	400.71	248.0	314.17	269.6	209.84	285.03	507.46	579.04	251.48	299.25	269.6	289.02	358.54	267.73	406.31	507.46	226.54	166.73	201.25	231.32	447.82	351.14	116.78	109.66	134.3	269.6	244.57	201.25	764.36	743.43	1135.2
