	TCGA.BT.A20U.11A.11R.A14Y.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A4OE.01A.11R.A260.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.R55G.1026.SM.48FDI	GTEX.ZVP2.1326.SM.57WCE	GTEX.T6MO.0526.SM.4DM6R	GTEX.ZC5H.1326.SM.5HL7E	GTEX.14E6E.0726.SM.5S2R3	GTEX.13FTX.0526.SM.5IFGS	GTEX.WRHK.0526.SM.4MVOF	GTEX.ZXES.1126.SM.5GZXN	GTEX.QESD.0826.SM.47J4G	GTEX.14ICL.0526.SM.5RQJ6	GTEX.14H4A.1626.SM.5SI69	GTEX.Y5LM.1026.SM.4VDSQ	GTEX.ZPU1.1426.SM.4WWFU	GTEX.139T6.0626.SM.5IFF9	GTEX.13FH7.0526.SM.5IJF8	GTEX.1211K.0926.SM.5FQTL	GTEX.14BMU.0926.SM.5S2QB	GTEX.U4B1.0826.SM.4DXTW	GTEX.13OVI.2626.SM.5KM4T	GTEX.S95S.0426.SM.4B64I	GTEX.W5WG.1626.SM.4LMKG	GTEX.ZT9W.1326.SM.51MTB	GTEX.TML8.1526.SM.4DXUX	GTEX.ZG7Y.1126.SM.4WWEZ	GTEX.ZVT2.1326.SM.5E45H	GTEX.11P81.0826.SM.5P9GR	GTEX.131XG.1026.SM.5GCMX	GTEX.ZDYS.0826.SM.4WWCR	GTEX.1122O.1726.SM.5GICM	GTEX.QV44.1126.SM.4R1KO	GTEX.XMK1.1326.SM.4B65Q	GTEX.ZZ64.0226.SM.5E44X	GTEX.QLQ7.0926.SM.447BC	GTEX.YEC3.2526.SM.4YCDN	GTEX.PWCY.0726.SM.48TCS	GTEX.WFON.0826.SM.4LVMI	GTEX.P4PQ.0626.SM.3NMCU	GTEX.11DXX.1126.SM.5GZZK	GTEX.13RTK.0526.SM.5S2QF	GTEX.13PVR.1826.SM.5Q5CC	GTEX.1399S.1326.SM.5P9GH	TCGA.CV.7252.11A.01R.2016.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A2.11A.11R.A213.07	TCGA.FV.A3R2.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.DD.A1EH.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	GTEX.145LU.1326.SM.5LU9N	GTEX.139TS.1426.SM.5IFJD	GTEX.XBEC.1526.SM.4AT68	GTEX.13SLX.1226.SM.5S2Q6	GTEX.132NY.0926.SM.5P9G3	GTEX.REY6.1226.SM.48FDR	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.IN.8663.11A.01R.2402.13
GRIP1	44.25	109.66	74.06	108.9	126.12	138.1	59.55	140.04	111.21	142.01	97.36	71.0	78.89	127.89	84.04	70.51	44.25	33.78	77.25	90.14	53.95	37.85	92.05	70.51	55.49	84.63	97.36	191.67	140.04	89.51	55.89	43.02	82.29	30.12	57.89	37.59	112.77	75.64	92.7	94.01	153.34	183.82	57.08	74.06	48.87	95.34	61.25	128.79	199.85	148.09	63.89	64.34	138.1	30.34	31.22	103.69	36.27	27.44	0.44	0.0	0.64	2.14	5.36	1.0	1.6	1.66	0.6	8.38	4.1	3.2	1.5	3.72	0.0	42.41	171.45	15.11	105.89	50.98	67.59	53.19	108.14
HEATR1	112.77	63.45	231.32	249.73	336.79	463.65	283.05	229.72	373.81	361.04	190.34	198.47	220.32	164.42	161.02	226.54	127.0	119.26	275.28	191.67	157.68	121.79	316.37	231.32	185.11	165.57	237.86	236.21	277.2	248.0	339.14	283.05	151.22	170.25	224.97	132.44	180.02	206.94	177.53	253.23	180.02	343.89	154.42	202.66	142.01	255.0	229.72	224.97	201.25	244.57	199.85	309.83	214.27	129.69	159.9	262.2	105.15	28.86	51.35	37.85	53.19	48.18	50.63	32.13	48.87	45.85	37.05	57.49	31.22	39.22	30.56	55.49	43.63	173.85	153.34	246.28	190.34	135.24	190.34	105.15	164.42
KBTBD8	23.42	13.72	16.75	13.32	12.18	19.39	19.82	13.42	12.18	12.45	13.72	15.68	14.24	28.04	18.43	40.36	13.42	12.74	23.59	22.59	12.09	10.71	36.01	40.07	34.75	15.68	16.51	25.35	31.67	41.52	98.04	35.76	15.91	12.09	34.26	16.63	24.81	17.64	30.12	24.11	22.59	16.51	19.68	15.45	25.54	34.75	26.28	37.32	17.25	17.13	18.97	55.49	38.95	16.15	28.04	35.25	13.93	2.68	5.73	2.94	7.69	9.27	6.26	1.3	5.36	7.17	6.11	5.87	6.57	14.03	5.96	6.26	3.2	37.05	10.79	66.65	14.56	15.68	15.68	8.25	28.24
KIAA0368	769.69	591.22	896.64	1030.12	954.43	1183.45	947.83	825.0	1051.79	830.75	866.07	808.0	890.44	988.12	825.0	1066.48	713.11	728.11	1216.75	909.17	934.76	915.51	1159.07	1008.9	974.5	728.11	872.1	1216.75	1208.34	1030.12	947.83	1023.0	915.51	830.75	967.76	934.76	934.76	988.12	1088.92	1167.14	1151.06	1159.07	1175.27	890.44	669.92	1059.11	928.3	1030.12	909.17	830.75	890.44	1066.48	1008.9	718.08	909.17	902.89	299.25	131.51	348.71	397.93	392.44	414.87	490.14	226.54	409.15	406.31	325.29	318.57	275.28	323.03	332.14	616.37	224.97	595.34	713.11	647.07	909.17	748.61	830.75	629.35	1127.35
KIAA0947	99.43	72.01	185.11	181.28	205.5	299.25	267.73	140.04	325.29	289.02	134.3	169.07	204.07	130.6	157.68	161.02	139.07	94.01	214.27	171.45	181.28	114.36	212.78	201.25	173.85	134.3	195.72	182.55	215.77	239.52	251.48	218.79	139.07	132.44	175.07	139.07	150.17	140.04	145.02	178.77	211.31	209.84	115.97	167.9	117.6	205.5	183.82	193.01	172.65	208.38	186.4	187.71	190.34	158.79	136.19	221.86	78.34	92.05	50.63	104.42	69.52	74.58	66.18	29.7	69.03	63.45	63.45	66.18	47.84	81.14	57.49	55.49	33.3	176.29	99.43	226.54	143.01	94.01	119.26	89.51	142.01
KPNA1	500.46	587.13	595.34	785.88	860.08	743.43	819.3	764.36	860.08	785.88	728.11	698.41	723.08	708.18	629.35	819.3	633.73	334.46	796.86	785.88	1044.52	518.15	1073.91	954.43	872.1	791.35	825.0	825.0	836.53	808.0	759.08	813.63	738.29	665.29	753.83	718.08	547.75	674.59	791.35	878.17	947.83	909.17	547.75	575.03	490.14	848.22	703.28	825.0	684.02	775.05	633.73	890.44	954.43	665.29	698.41	836.53	490.14	94.67	329.84	289.02	251.48	348.71	387.02	647.07	376.41	366.09	414.87	320.8	400.71	381.68	497.0	444.72	341.51	974.5	1208.34	1059.11	536.45	1008.9	878.17	813.63	674.59
KPNB1	3257.52	3982.99	1936.53	2777.33	2935.74	2451.44	2875.3	2335.28	2758.13	2875.3	2485.67	2627.46	2609.3	2796.65	3372.43	3039.3	2119.22	2061.24	3847.29	2915.45	2303.12	2163.77	4123.49	2976.74	3794.3	2434.5	3467.27	3018.3	3639.7	3794.3	4543.8	4181.07	2573.36	2627.46	2835.7	2645.74	2319.15	3146.52	2777.33	3564.78	3103.19	3443.31	2758.13	2976.74	2335.28	3564.78	3303.0	2627.46	3280.18	2434.5	3168.41	3614.55	3303.0	2627.46	2664.15	3742.05	1697.45	126.12	872.1	819.3	988.12	954.43	1008.9	423.61	1111.82	1030.12	813.63	890.44	607.87	915.51	753.83	967.76	607.87	4181.07	4181.07	4239.45	2816.11	3874.05	3103.19	2573.36	2287.2
KRR1	591.22	733.19	860.08	603.67	629.35	961.07	961.07	599.49	1359.57	1096.5	660.68	764.36	890.44	540.19	656.11	769.69	633.73	674.59	1081.39	796.86	753.83	679.29	884.29	928.3	909.17	769.69	896.64	928.3	860.08	981.29	1286.18	890.44	713.11	660.68	599.49	890.44	563.18	813.63	836.53	866.07	1119.56	988.12	607.87	808.0	819.3	884.29	802.41	890.44	665.29	708.18	679.29	1111.82	1191.69	567.1	583.07	819.3	791.35	167.9	204.07	305.55	275.28	346.29	220.32	82.87	312.0	260.38	361.04	307.69	279.14	251.48	299.25	309.83	244.57	688.78	759.08	928.3	785.88	733.19	599.49	915.51	703.28
LARP1	1044.52	1313.23	872.1	1594.73	1572.76	1594.73	1259.69	1331.57	1322.37	1605.83	1104.13	1088.92	1175.27	1304.15	1561.89	1551.09	1111.82	1208.34	1721.16	1437.15	1331.57	1183.45	2119.22	2047.0	1757.34	1119.56	1870.53	1923.14	1936.53	1806.78	2287.2	1977.24	1340.84	1304.15	1369.04	1151.06	1286.18	1175.27	1427.22	1991.0	1572.76	2090.03	1313.23	1313.23	884.29	1870.53	1794.29	1540.37	1551.09	1605.83	1191.69	1883.54	1963.57	1044.52	1407.55	1540.37	329.84	109.66	429.54	299.25	395.18	473.41	473.41	444.72	414.87	432.53	376.41	500.46	281.09	543.96	373.81	457.25	251.48	713.11	1733.13	1322.37	1225.22	1487.87	1721.16	1388.16	1111.82
LSG1	353.59	223.41	543.96	532.74	507.46	764.36	629.35	738.29	733.19	819.3	463.65	688.78	540.19	423.61	490.14	928.3	392.44	291.04	559.28	638.15	514.56	429.54	854.13	540.19	529.06	497.0	521.76	595.34	791.35	507.46	603.67	651.58	571.05	395.18	480.04	429.54	607.87	480.04	514.56	830.75	521.76	633.73	473.41	409.15	438.59	728.11	674.59	483.38	583.07	514.56	392.44	738.29	629.35	435.55	638.15	470.14	303.44	92.7	202.66	575.03	283.05	229.72	283.05	175.07	195.72	312.0	271.48	273.37	211.31	412.0	185.11	232.94	180.02	285.03	563.18	759.08	563.18	251.48	316.37	327.56	395.18
LTV1	651.58	309.83	728.11	607.87	688.78	638.15	616.37	620.67	728.11	708.18	409.15	540.19	540.19	435.55	356.05	638.15	379.04	287.01	688.78	480.04	607.87	511.0	698.41	651.58	583.07	397.93	607.87	612.11	660.68	616.37	915.51	633.73	432.53	420.68	497.0	536.45	303.44	444.72	532.74	638.15	543.96	651.58	470.14	412.0	486.75	698.41	529.06	642.59	507.46	540.19	454.09	842.36	567.1	511.0	403.5	733.19	412.0	61.25	241.19	248.0	262.2	251.48	305.55	127.89	229.72	316.37	301.33	202.66	241.19	269.6	194.36	285.03	181.28	819.3	796.86	836.53	567.1	647.07	540.19	785.88	348.71
LUZP1	122.64	242.88	236.21	236.21	307.69	392.44	289.02	208.38	293.07	325.29	212.78	248.0	291.04	218.79	228.13	229.72	187.71	197.09	314.17	248.0	190.34	132.44	255.0	231.32	273.37	164.42	271.48	242.88	226.54	371.22	368.65	206.94	275.28	217.27	208.38	130.6	176.29	183.82	202.66	237.86	277.2	244.57	212.78	224.97	122.64	269.6	234.57	226.54	253.23	273.37	212.78	242.88	295.11	131.51	204.07	267.73	100.83	34.02	29.27	24.28	24.81	27.25	38.4	20.11	21.94	25.35	24.11	33.06	24.63	35.5	34.26	19.11	24.46	180.02	262.2	660.68	309.83	277.2	241.19	158.79	153.34
MAK16	141.02	82.87	142.01	153.34	212.78	186.4	131.51	156.59	251.48	158.79	107.38	169.07	138.1	150.17	113.56	256.78	85.22	99.43	242.88	133.36	148.09	112.77	262.2	206.94	253.23	145.02	223.41	171.45	260.38	249.73	511.0	212.78	114.36	157.68	113.56	127.89	105.15	141.02	128.79	244.57	138.1	198.47	102.25	123.5	165.57	273.37	228.13	191.67	159.9	169.07	159.9	392.44	325.29	128.79	108.9	271.48	123.5	55.49	34.75	33.78	76.71	84.04	85.22	26.67	70.01	90.77	81.14	75.64	67.12	88.88	63.45	86.43	87.65	329.84	158.79	258.57	182.55	125.24	127.0	127.89	161.02
MED1	204.07	228.13	246.28	387.02	293.07	397.93	387.02	269.6	323.03	307.69	265.87	314.17	406.31	256.78	236.21	277.2	190.34	180.02	387.02	301.33	277.2	169.07	403.5	325.29	397.93	221.86	379.04	358.54	432.53	400.71	493.56	320.8	253.23	186.4	273.37	180.02	185.11	234.57	287.01	392.44	381.68	392.44	201.25	223.41	159.9	351.14	299.25	387.02	260.38	343.89	293.07	417.77	454.09	158.79	172.65	432.53	102.97	13.52	89.51	62.56	118.43	120.1	108.14	81.14	113.56	113.56	102.25	119.26	117.6	164.42	87.65	108.9	57.08	361.04	361.04	299.25	348.71	255.0	271.48	218.79	221.86
MIEF1	228.13	189.02	251.48	320.8	323.03	312.0	228.13	287.01	267.73	307.69	221.86	299.25	256.78	253.23	265.87	336.79	316.37	236.21	343.89	316.37	329.84	305.55	346.29	384.34	381.68	248.0	397.93	343.89	403.5	379.04	368.65	363.56	314.17	251.48	309.83	303.44	258.57	256.78	279.14	376.41	332.14	483.38	258.57	264.03	236.21	426.57	325.29	356.05	376.41	351.14	307.69	511.0	351.14	248.0	299.25	283.05	158.79	131.51	183.82	281.09	206.94	237.86	305.55	258.57	297.17	182.55	217.27	190.34	232.94	249.73	177.53	260.38	228.13	379.04	208.38	320.8	275.28	277.2	299.25	277.2	226.54
NARS	2119.22	1378.57	2367.9	1350.18	1697.45	1781.89	1407.55	1111.82	1832.01	1529.73	1331.57	1605.83	1529.73	1350.18	1685.71	2400.97	1628.26	1030.12	2224.63	2796.65	2193.99	2047.0	2777.33	2739.08	2351.53	2133.97	2384.37	3190.46	3018.3	2701.35	2796.65	2163.77	1963.57	2193.99	2148.82	1896.65	1540.37	1909.85	2537.92	2502.97	2976.74	2855.44	2287.2	1857.6	1628.26	2915.45	2133.97	2835.7	2061.24	2287.2	2193.99	3325.99	2271.4	2178.83	1781.89	2004.85	1208.34	1096.5	1008.9	738.29	902.89	693.58	825.0	796.86	728.11	954.43	890.44	514.56	723.08	547.75	728.11	703.28	674.59	2178.83	2224.63	1781.89	2047.0	1540.37	1936.53	1883.54	1697.45
NOC3L	124.37	128.79	162.14	183.82	236.21	332.14	246.28	164.42	339.14	287.01	167.9	155.5	260.38	129.69	158.79	279.14	129.69	117.6	325.29	198.47	202.66	129.69	255.0	248.0	251.48	169.07	198.47	229.72	244.57	255.0	303.44	293.07	166.73	166.73	197.09	178.77	155.5	176.29	221.86	264.03	167.9	275.28	167.9	185.11	152.28	273.37	195.72	206.94	228.13	218.79	232.94	289.02	258.57	161.02	127.89	244.57	176.29	64.8	70.01	102.97	78.89	80.01	94.67	17.38	72.52	85.22	80.57	86.43	62.12	76.17	94.67	65.72	55.89	285.03	287.01	327.56	187.71	175.07	186.4	149.12	220.32
NOM1	152.28	127.89	205.5	224.97	202.66	318.57	329.84	205.5	248.0	353.59	182.55	271.48	201.25	189.02	198.47	361.04	147.06	155.5	265.87	226.54	236.21	132.44	323.03	283.05	212.78	120.94	231.32	293.07	303.44	285.03	351.14	258.57	201.25	166.73	239.52	190.34	255.0	201.25	305.55	249.73	236.21	332.14	165.57	221.86	142.01	267.73	289.02	244.57	229.72	265.87	221.86	237.86	332.14	145.02	146.03	265.87	63.89	70.51	82.29	82.29	110.43	100.13	121.79	97.36	92.7	86.43	94.67	158.79	56.68	125.24	121.79	81.14	77.25	53.19	164.42	316.37	180.02	135.24	115.16	80.57	116.78
NR2C2	69.03	98.04	152.28	195.72	145.02	234.57	173.85	178.77	186.4	189.02	167.9	165.57	182.55	199.85	201.25	183.82	150.17	197.09	297.17	221.86	145.02	92.7	163.28	165.57	234.57	199.85	187.71	303.44	305.55	251.48	175.07	176.29	273.37	159.9	211.31	153.34	217.27	285.03	260.38	189.02	371.22	242.88	194.36	149.12	102.97	248.0	249.73	175.07	224.97	185.11	150.17	215.77	255.0	135.24	177.53	206.94	82.29	10.16	28.04	34.26	33.78	28.65	33.54	19.25	28.24	28.24	37.59	90.77	32.59	116.78	68.07	33.3	28.45	75.11	131.51	96.68	130.6	87.65	133.36	47.17	211.31
NUP153	327.56	463.65	343.89	500.46	444.72	660.68	536.45	444.72	559.28	638.15	490.14	417.77	438.59	470.14	476.71	579.04	400.71	339.14	647.07	521.76	559.28	348.71	647.07	579.04	660.68	493.56	587.13	620.67	656.11	616.37	825.0	674.59	493.56	305.55	555.41	406.31	406.31	493.56	466.88	674.59	612.11	688.78	463.65	579.04	323.03	713.11	563.18	514.56	547.75	521.76	490.14	713.11	813.63	397.93	476.71	599.49	239.52	25.54	83.45	116.78	133.36	176.29	154.42	144.01	139.07	175.07	152.28	211.31	156.59	115.16	108.9	112.77	100.83	514.56	575.03	921.88	432.53	540.19	529.06	536.45	525.39
NUP160	237.86	242.88	348.71	400.71	400.71	688.78	521.76	348.71	473.41	447.82	312.0	346.29	444.72	293.07	267.73	329.84	255.0	182.55	567.1	381.68	343.89	178.77	371.22	420.68	307.69	301.33	406.31	423.61	551.56	447.82	490.14	379.04	279.14	220.32	316.37	248.0	320.8	351.14	336.79	381.68	368.65	507.46	271.48	366.09	299.25	423.61	397.93	371.22	351.14	371.22	314.17	559.28	373.81	281.09	269.6	384.34	264.03	144.01	79.45	232.94	142.01	154.42	148.09	115.16	170.25	140.04	136.19	212.78	81.14	93.35	103.69	135.24	118.43	246.28	277.2	232.94	229.72	136.19	185.11	148.09	301.33
OTUD6B	105.15	44.89	163.28	166.73	158.79	231.32	212.78	117.6	231.32	236.21	138.1	164.42	183.82	106.63	115.16	164.42	67.59	86.43	220.32	128.79	139.07	78.34	198.47	185.11	182.55	127.89	153.34	156.59	191.67	165.57	325.29	141.02	76.71	99.43	102.25	69.52	75.64	101.54	95.34	201.25	144.01	214.27	112.77	107.38	87.03	167.9	136.19	146.03	148.09	129.69	139.07	191.67	178.77	100.83	63.45	226.54	126.12	55.1	75.64	59.97	41.22	39.22	59.55	17.51	35.76	48.18	49.21	43.32	34.75	34.51	59.55	48.18	55.1	208.38	162.14	341.51	149.12	83.45	94.01	86.43	119.26
PAK1IP1	389.72	273.37	329.84	435.55	583.07	599.49	371.22	563.18	647.07	688.78	392.44	559.28	417.77	373.81	285.03	547.75	297.17	258.57	518.15	473.41	444.72	381.68	567.1	473.41	450.94	420.68	426.57	400.71	579.04	463.65	647.07	525.39	309.83	307.69	420.68	412.0	275.28	373.81	444.72	547.75	423.61	490.14	379.04	339.14	470.14	521.76	423.61	435.55	397.93	493.56	429.54	616.37	511.0	470.14	348.71	521.76	624.99	123.5	148.09	122.64	157.68	147.06	201.25	43.63	159.9	195.72	181.28	107.38	110.43	128.79	133.36	202.66	144.01	878.17	587.13	813.63	476.71	476.71	624.99	532.74	348.71
PAPD7	191.67	218.79	500.46	507.46	409.15	688.78	486.75	429.54	674.59	723.08	395.18	483.38	429.54	409.15	299.25	532.74	366.09	305.55	353.59	392.44	441.64	463.65	642.59	503.95	395.18	264.03	579.04	587.13	457.25	493.56	348.71	483.38	368.65	358.54	409.15	406.31	403.5	343.89	532.74	356.05	514.56	514.56	368.65	348.71	348.71	543.96	536.45	457.25	341.51	417.77	293.07	429.54	679.29	253.23	368.65	343.89	83.45	24.81	186.4	153.34	162.14	220.32	208.38	117.6	195.72	180.02	220.32	341.51	139.07	277.2	149.12	228.13	171.45	78.89	379.04	189.02	186.4	253.23	166.73	236.21	248.0
PDE12	195.72	178.77	178.77	229.72	163.28	212.78	281.09	151.22	151.22	170.25	185.11	186.4	172.65	224.97	256.78	289.02	175.07	191.67	320.8	299.25	248.0	153.34	339.14	318.57	384.34	220.32	361.04	289.02	366.09	301.33	476.71	397.93	202.66	162.14	295.11	204.07	185.11	255.0	242.88	426.57	297.17	346.29	228.13	260.38	176.29	366.09	343.89	309.83	281.09	285.03	291.04	429.54	366.09	212.78	194.36	307.69	234.57	181.28	85.22	69.03	88.26	87.03	96.01	98.73	83.45	115.97	109.66	69.03	111.21	100.13	97.36	115.16	106.63	346.29	318.57	441.64	275.28	320.8	275.28	255.0	232.94
PIP4K2C	629.35	693.58	486.75	713.11	878.17	651.58	902.89	674.59	684.02	529.06	540.19	684.02	748.61	525.39	791.35	718.08	748.61	665.29	796.86	802.41	928.3	884.29	947.83	1066.48	836.53	698.41	884.29	988.12	947.83	934.76	808.0	872.1	954.43	693.58	896.64	679.29	718.08	647.07	819.3	775.05	974.5	866.07	764.36	780.44	791.35	967.76	819.3	890.44	825.0	896.64	743.43	1104.13	995.0	764.36	921.88	854.13	444.72	463.65	258.57	242.88	201.25	212.78	214.27	307.69	223.41	204.07	220.32	138.1	154.42	214.27	231.32	186.4	201.25	802.41	802.41	688.78	764.36	708.18	813.63	616.37	647.07
PLAA	361.04	435.55	260.38	400.71	438.59	423.61	426.57	329.84	476.71	366.09	414.87	376.41	332.14	514.56	500.46	514.56	403.5	189.02	571.05	567.1	587.13	293.07	698.41	647.07	759.08	480.04	703.28	603.67	624.99	559.28	825.0	559.28	371.22	384.34	497.0	417.77	441.64	532.74	463.65	713.11	647.07	559.28	490.14	400.71	363.56	620.67	493.56	521.76	503.95	384.34	559.28	808.0	642.59	547.75	395.18	669.92	348.71	237.86	217.27	204.07	186.4	176.29	165.57	186.4	155.5	202.66	195.72	177.53	224.97	131.51	229.72	195.72	178.77	612.11	718.08	563.18	486.75	723.08	500.46	748.61	514.56
POLR1B	151.22	193.01	204.07	303.44	384.34	301.33	221.86	212.78	301.33	409.15	147.06	248.0	251.48	190.34	199.85	325.29	156.59	103.69	334.46	249.73	224.97	137.14	307.69	332.14	242.88	190.34	258.57	228.13	246.28	285.03	420.68	381.68	195.72	178.77	262.2	197.09	135.24	171.45	175.07	273.37	162.14	323.03	246.28	204.07	177.53	346.29	249.73	262.2	275.28	237.86	234.57	450.94	329.84	186.4	189.02	255.0	172.65	18.43	85.22	69.52	124.37	135.24	119.26	125.24	128.79	131.51	109.66	80.01	108.14	128.79	92.05	109.66	107.38	463.65	279.14	848.22	236.21	224.97	444.72	256.78	201.25
POM121	267.73	125.24	423.61	563.18	470.14	624.99	718.08	470.14	616.37	642.59	444.72	486.75	473.41	463.65	371.22	599.49	320.8	420.68	571.05	447.82	476.71	420.68	665.29	728.11	665.29	287.01	633.73	351.14	629.35	599.49	684.02	679.29	432.53	381.68	412.0	289.02	414.87	403.5	447.82	571.05	547.75	669.92	373.81	392.44	307.69	656.11	603.67	480.04	547.75	507.46	409.15	651.58	713.11	381.68	395.18	536.45	126.12	31.45	144.01	165.57	175.07	212.78	197.09	371.22	201.25	176.29	224.97	211.31	170.25	273.37	182.55	220.32	209.84	146.03	348.71	532.74	363.56	287.01	293.07	175.07	387.02
POM121C	346.29	195.72	500.46	660.68	543.96	842.36	947.83	591.22	802.41	791.35	603.67	563.18	669.92	543.96	412.0	587.13	389.72	493.56	521.76	444.72	384.34	412.0	791.35	490.14	629.35	307.69	684.02	669.92	665.29	656.11	738.29	591.22	511.0	368.65	536.45	356.05	441.64	463.65	460.44	633.73	486.75	629.35	351.14	358.54	293.07	718.08	647.07	463.65	503.95	563.18	438.59	642.59	785.88	406.31	423.61	579.04	154.42	68.55	170.25	185.11	214.27	220.32	228.13	285.03	194.36	204.07	209.84	242.88	237.86	265.87	211.31	195.72	187.71	154.42	384.34	559.28	336.79	299.25	236.21	246.28	473.41
PPAT	108.14	195.72	108.9	105.15	164.42	130.6	116.78	71.5	152.28	215.77	59.97	114.36	104.42	67.12	83.45	158.79	64.8	68.55	162.14	111.21	92.7	63.0	145.02	140.04	108.9	104.42	162.14	127.89	185.11	162.14	198.47	147.06	62.12	84.04	85.82	94.67	88.88	85.22	78.34	157.68	84.04	154.42	89.51	106.63	85.22	145.02	128.79	126.12	90.14	105.89	102.97	209.84	155.5	88.26	75.64	193.01	105.15	26.47	68.07	55.49	57.89	50.27	42.41	38.95	52.08	80.57	45.85	50.63	49.56	40.93	44.25	53.57	44.57	156.59	242.88	555.41	88.88	148.09	114.36	128.79	79.45
PPFIA1	320.8	318.57	616.37	642.59	603.67	1051.79	934.76	1350.18	1417.35	2193.99	559.28	688.78	808.0	447.82	438.59	297.17	293.07	258.57	500.46	271.48	441.64	291.04	1008.9	447.82	348.71	277.2	281.09	759.08	743.43	674.59	432.53	647.07	595.34	466.88	271.48	297.17	212.78	373.81	483.38	387.02	698.41	525.39	371.22	267.73	232.94	656.11	503.95	454.09	389.72	363.56	368.65	583.07	426.57	291.04	239.52	409.15	173.85	206.94	246.28	223.41	241.19	299.25	248.0	134.3	265.87	267.73	249.73	295.11	248.0	299.25	185.11	172.65	169.07	358.54	149.12	366.09	182.55	189.02	223.41	332.14	363.56
PUS7	121.79	197.09	204.07	239.52	358.54	532.74	285.03	206.94	575.03	507.46	150.17	170.25	206.94	173.85	185.11	279.14	167.9	180.02	353.59	239.52	182.55	170.25	480.04	366.09	204.07	186.4	295.11	237.86	403.5	320.8	457.25	387.02	172.65	164.42	228.13	189.02	120.94	211.31	228.13	291.04	198.47	312.0	172.65	231.32	181.28	223.41	211.31	231.32	248.0	231.32	208.38	363.56	329.84	167.9	183.82	358.54	127.0	15.11	57.89	26.86	67.59	48.52	63.45	34.26	59.13	98.04	66.18	34.26	53.57	111.99	57.89	48.87	50.98	229.72	287.01	376.41	171.45	229.72	152.28	291.04	155.5
QTRTD1	123.5	96.68	214.27	211.31	215.77	295.11	256.78	212.78	305.55	351.14	165.57	239.52	232.94	156.59	123.5	224.97	93.35	143.01	275.28	206.94	205.5	137.14	226.54	260.38	231.32	165.57	297.17	299.25	215.77	251.48	336.79	228.13	119.26	157.68	177.53	145.02	217.27	199.85	166.73	291.04	158.79	236.21	157.68	221.86	169.07	234.57	275.28	218.79	182.55	183.82	172.65	283.05	251.48	150.17	150.17	253.23	89.51	26.86	39.5	44.25	63.0	74.06	67.59	52.82	63.89	63.0	75.11	47.84	51.35	73.03	75.11	71.0	90.77	152.28	220.32	209.84	178.77	122.64	102.97	103.69	126.12
RANBP2	271.48	214.27	497.0	381.68	316.37	575.03	432.53	293.07	435.55	543.96	332.14	312.0	423.61	327.56	363.56	403.5	312.0	262.2	444.72	392.44	409.15	220.32	435.55	497.0	480.04	303.44	403.5	417.77	454.09	426.57	543.96	511.0	309.83	332.14	412.0	307.69	381.68	400.71	353.59	514.56	463.65	438.59	314.17	476.71	229.72	450.94	376.41	460.44	423.61	476.71	412.0	450.94	486.75	309.83	275.28	620.67	159.9	55.1	100.83	100.83	139.07	140.04	167.9	84.63	140.04	149.12	147.06	146.03	112.77	182.55	117.6	133.36	125.24	327.56	228.13	441.64	395.18	206.94	307.69	275.28	409.15
RBM15B	432.53	309.83	312.0	480.04	500.46	429.54	400.71	457.25	384.34	447.82	406.31	503.95	379.04	507.46	417.77	529.06	397.93	376.41	450.94	470.14	579.04	518.15	450.94	599.49	536.45	348.71	507.46	518.15	507.46	432.53	457.25	624.99	450.94	395.18	463.65	447.82	409.15	389.72	486.75	476.71	567.1	493.56	423.61	320.8	389.72	547.75	532.74	466.88	547.75	518.15	426.57	529.06	599.49	423.61	529.06	547.75	186.4	55.49	117.6	148.09	146.03	129.69	187.71	140.04	169.07	144.01	138.1	122.64	173.85	164.42	112.77	111.21	143.01	470.14	503.95	423.61	463.65	780.44	607.87	607.87	406.31
