	TCGA.KN.8435.11A.01R.2315.07	TCGA.KN.8434.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	TCGA.KL.8324.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.QDVN.1626.SM.48TZC	GTEX.ZC5H.1726.SM.5HL7X	GTEX.P4QS.1126.SM.3NMD5	GTEX.N7MS.1626.SM.3LK5F	GTEX.13OW6.1826.SM.5N9F9	GTEX.T5JC.1526.SM.4DM68	GTEX.1497J.0826.SM.5NQAJ	GTEX.145MN.0326.SM.5QGQI	GTEX.12WSG.0826.SM.5EQ5A	TCGA.B2.5641.01A.01R.1541.07	TCGA.BP.4787.01A.01R.1305.07	TCGA.B0.5088.01A.01R.1334.07	TCGA.B0.5075.01A.01R.1334.07	TCGA.T7.A92I.01A.11R.A37O.07	TCGA.B0.5102.01A.01R.1420.07	TCGA.CJ.4918.01A.01R.1426.07	TCGA.BP.4962.01A.01R.1334.07	TCGA.B0.5402.01A.01R.1503.07	TCGA.BP.5190.01A.01R.1426.07	TCGA.6D.AA2E.01A.11R.A37O.07	TCGA.B4.5838.01A.11R.1672.07	TCGA.CW.5581.01A.02R.1541.07	TCGA.CW.5587.01A.01R.1541.07	TCGA.CZ.5985.01A.11R.1672.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.CJ.4897.01A.03R.1426.07	TCGA.AK.3436.01A.02R.1325.07	TCGA.B0.4814.01A.01R.1277.07	TCGA.B0.5077.01A.01R.1334.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CZ.5984.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.5691.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.B0.5697.11A.01R.1541.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CZ.5988.11A.01R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.B0.5696.11A.01R.1541.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.B0.5699.11A.01R.1541.07	TCGA.CJ.5677.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.IA.A83W.01A.11R.A355.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.A4.A772.01A.11R.A33Z.07	TCGA.F9.A97G.01A.11R.A38C.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.5P.A9KC.01A.11R.A42S.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.BQ.7048.01A.11R.1965.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.BQ.7051.11A.02R.1965.07	TCGA.DZ.6133.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	GTEX.1497J.0726.SM.5Q5D1	GTEX.13YAN.1026.SM.5O9CF	GTEX.ZZPT.1326.SM.5E43H	TCGA.BJ.A191.01A.11R.A13Y.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.S4Q7.0326.SM.3K2B1	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.12WSK.0926.SM.5CVNQ	GTEX.11P81.0126.SM.5HL5Y	GTEX.1497J.0126.SM.5Q5BK	GTEX.QEL4.0726.SM.3GIJ5	GTEX.SE5C.0726.SM.4BRWY	GTEX.ZXG5.0926.SM.5NQ8H	GTEX.1399U.0326.SM.5P9G5	GTEX.11TTK.0826.SM.5N9EG	GTEX.VJYA.0426.SM.3GIJK	GTEX.ZGAY.1026.SM.4WWBR	GTEX.U3ZM.0126.SM.3DB8M	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11LCK.0526.SM.5A5M9	GTEX.ZTPG.0826.SM.5DUVC	GTEX.13OVI.0826.SM.5KLZ8	GTEX.12WSL.0626.SM.5GCOY	GTEX.1211K.0726.SM.5FQUW	GTEX.117YX.1226.SM.5H11S
LAIR1	224.97	72.52	27.44	191.67	119.26	134.3	13.83	175.07	120.94	137.14	7.46	15.56	11.47	90.14	182.55	57.08	1369.04	1781.89	1191.69	1651.0	336.79	435.55	1119.56	1073.91	543.96	490.14	397.93	426.57	301.33	1369.04	1857.6	759.08	198.47	307.69	412.0	633.73	84.63	24.28	111.99	103.69	316.37	111.21	132.44	47.5	214.27	239.52	60.39	84.04	121.79	64.34	170.25	72.52	96.68	103.69	69.52	100.13	146.03	125.24	58.71	336.79	146.03	285.03	202.66	232.94	1096.5	1359.57	3325.99	2240.11	633.73	693.58	1369.04	708.18	1417.35	587.13	78.34	49.91	579.04	102.25	34.75	116.78	85.82	87.03	57.89	110.43	70.51	111.99	373.81	106.63	74.06	500.46	5995.9	775.05	182.55	75.64	665.29	60.39	171.45	20.86	193.01	334.46	146.03	54.72	70.51	103.69	30.56	244.57	211.31	135.24	18.43	55.89	189.02	171.45	76.71	189.02	71.0	26.86
LAPTM5	1225.22	511.0	332.14	1378.57	884.29	769.69	183.82	1277.29	397.93	738.29	92.7	309.83	201.25	591.22	1721.16	371.22	11189.6	8778.97	5255.91	11112.3	1674.06	3168.41	5954.47	8963.45	2400.97	2835.7	1819.35	3372.43	2319.15	8718.32	8840.04	3955.48	3103.19	3060.45	2255.7	3742.05	679.29	297.17	629.35	532.74	1806.78	629.35	1023.0	289.02	1529.73	941.27	387.02	444.72	603.67	457.25	1340.84	323.03	571.05	567.1	450.94	547.75	718.08	693.58	379.04	3564.78	995.0	1857.6	1467.37	1111.82	3955.48	9740.98	20170.07	8479.89	3257.52	4328.55	10512.82	3768.09	8305.36	2701.35	529.06	379.04	3168.41	529.06	293.07	718.08	624.99	423.61	316.37	738.29	314.17	507.46	2178.83	629.35	470.14	3768.09	21320.18	5633.22	860.08	1397.83	7642.41	616.37	743.43	314.17	921.88	2255.7	454.09	346.29	307.69	1857.6	334.46	1073.91	2163.77	1030.12	239.52	872.1	1651.0	1733.13	571.05	1721.16	624.99	409.15
LAT2	145.02	71.5	33.78	90.14	90.77	91.41	13.42	86.43	100.13	63.45	16.27	26.86	11.38	63.0	116.78	43.02	713.11	684.02	346.29	674.59	273.37	169.07	414.87	551.56	177.53	265.87	224.97	180.02	170.25	540.19	406.31	450.94	173.85	97.36	232.94	267.73	69.52	16.15	63.45	63.0	133.36	62.56	84.04	21.16	133.36	105.15	46.5	40.36	64.8	40.07	80.57	23.25	45.21	64.34	44.57	55.1	84.04	92.05	43.94	285.03	76.17	122.64	143.01	130.6	612.11	429.54	1059.11	327.56	368.65	183.82	414.87	400.71	503.95	414.87	71.0	40.07	336.79	40.07	26.28	75.64	61.25	47.84	40.64	67.59	32.59	58.71	215.77	75.64	56.28	373.81	397.93	480.04	92.05	63.45	441.64	29.7	99.43	20.41	97.36	130.6	68.07	63.45	71.5	62.12	47.5	103.69	85.22	68.55	30.78	22.43	124.37	120.94	29.27	87.65	67.59	34.26
LILRA6	26.1	8.32	8.78	30.12	14.14	18.84	0.82	17.9	18.7	15.0	0.0	4.9	3.96	10.39	49.56	9.48	144.01	193.01	175.07	228.13	18.43	55.49	94.67	107.38	52.45	33.54	13.93	23.25	14.03	299.25	248.0	107.38	36.27	34.51	47.5	72.01	25.17	5.96	13.32	8.85	28.04	16.88	16.51	2.78	32.82	18.7	11.38	9.48	10.96	9.48	8.99	3.56	3.17	23.59	7.94	15.8	13.93	21.47	8.38	45.21	18.84	21.01	24.63	27.84	107.38	400.71	486.75	403.5	116.78	77.25	314.17	61.68	258.57	35.76	9.48	9.13	27.84	31.9	3.66	13.03	11.55	11.38	10.55	22.59	13.32	10.88	66.18	4.94	5.73	187.71	226.54	341.51	18.56	14.35	93.35	31.45	23.59	7.06	19.39	51.35	18.97	11.64	11.04	21.32	15.8	15.11	25.91	38.4	3.03	5.36	35.5	29.48	9.78	18.84	15.34	0.27
LILRB1	50.98	32.82	9.41	37.85	21.78	25.72	8.71	13.72	25.35	17.77	0.19	14.24	1.79	14.24	30.78	14.35	363.56	318.57	197.09	341.51	111.21	167.9	218.79	153.34	130.6	90.77	71.5	85.22	105.15	395.18	309.83	244.57	89.51	77.79	159.9	185.11	15.22	9.93	26.28	24.28	45.53	36.01	26.67	7.82	45.21	29.91	12.27	13.52	26.1	16.03	36.27	14.45	20.26	36.01	17.38	17.25	27.64	30.12	15.91	48.87	24.46	45.85	37.59	52.45	155.5	205.5	500.46	94.67	106.63	111.21	373.81	147.06	125.24	124.37	20.11	17.0	128.79	10.71	11.64	28.65	16.63	20.11	10.47	26.1	13.22	27.44	85.82	24.46	16.63	158.79	118.43	166.73	66.18	17.25	170.25	24.81	49.21	5.63	43.02	35.0	21.32	16.27	21.47	15.91	18.29	93.35	31.45	28.65	8.13	3.63	49.21	21.01	10.55	28.24	19.39	3.79
LILRB4	72.52	36.53	11.47	76.71	43.94	41.52	6.89	101.54	61.25	49.21	9.48	5.92	0.35	37.85	124.37	12.27	1259.69	1119.56	713.11	1721.16	409.15	262.2	409.15	1081.39	202.66	417.77	297.17	229.72	135.24	1096.5	1540.37	563.18	226.54	187.71	205.5	389.72	45.85	9.85	59.13	35.76	123.5	60.39	39.5	14.35	78.34	94.67	27.44	32.82	47.84	22.43	75.64	23.25	50.63	69.03	36.01	37.85	51.71	46.84	24.28	162.14	53.95	166.73	109.66	74.58	872.1	1950.0	3847.29	2417.67	791.35	854.13	1844.76	656.11	1313.23	444.72	36.27	18.97	366.09	31.0	15.91	41.81	39.22	31.9	31.45	63.89	29.91	47.84	198.47	37.59	40.64	400.71	209.84	127.0	118.43	42.71	327.56	13.93	87.65	13.72	85.22	218.79	100.83	24.11	60.82	69.52	13.93	44.57	161.02	129.69	30.12	13.22	73.54	158.79	27.64	84.63	13.22	37.85
LPXN	218.79	189.02	120.94	215.77	206.94	185.11	201.25	162.14	92.7	124.37	165.57	157.68	101.54	135.24	186.4	153.34	791.35	624.99	620.67	854.13	258.57	460.44	480.04	620.67	318.57	381.68	239.52	358.54	303.44	733.19	902.89	587.13	264.03	320.8	343.89	409.15	99.43	105.89	152.28	182.55	281.09	193.01	223.41	131.51	217.27	169.07	138.1	155.5	127.89	131.51	185.11	140.04	175.07	144.01	127.89	135.24	194.36	189.02	116.78	318.57	204.07	208.38	234.57	221.86	525.39	703.28	1427.22	753.83	591.22	395.18	1066.48	309.83	866.07	246.28	173.85	122.64	366.09	149.12	116.78	163.28	135.24	115.16	112.77	136.19	127.89	151.22	275.28	189.02	150.17	190.34	563.18	476.71	277.2	148.09	607.87	470.14	305.55	320.8	339.14	236.21	205.5	205.5	265.87	293.07	271.48	373.81	343.89	181.28	255.0	199.85	267.73	173.85	454.09	220.32	214.27	303.44
LST1	353.59	273.37	339.14	420.68	371.22	454.09	28.04	206.94	226.54	176.29	123.5	79.45	34.26	97.36	514.56	119.26	2119.22	1757.34	1781.89	1794.29	529.06	954.43	1088.92	2119.22	660.68	909.17	808.0	348.71	490.14	2032.85	1208.34	1721.16	633.73	575.03	743.43	967.76	267.73	55.89	153.34	140.04	476.71	221.86	493.56	89.51	409.15	262.2	215.77	132.44	187.71	178.77	532.74	78.34	189.02	224.97	162.14	152.28	273.37	647.07	145.02	1208.34	316.37	575.03	490.14	395.18	1991.0	1819.35	4736.79	1498.22	902.89	698.41	2255.7	769.69	2573.36	981.29	336.79	140.04	909.17	182.55	120.94	164.42	228.13	172.65	140.04	260.38	132.44	251.48	507.46	195.72	182.55	1508.65	1242.34	2178.83	177.53	89.51	591.22	109.66	332.14	22.26	236.21	435.55	490.14	31.67	132.44	237.86	78.89	802.41	351.14	229.72	16.75	52.82	176.29	132.44	92.7	124.37	37.59	58.71
LY86	122.64	46.5	27.25	106.63	77.25	92.7	6.36	120.94	65.26	75.64	16.63	15.68	0.0	64.8	140.04	43.94	769.69	836.53	961.07	1268.46	236.21	397.93	633.73	1030.12	193.01	497.0	368.65	249.73	164.42	738.29	981.29	518.15	205.5	305.55	221.86	403.5	60.39	16.75	65.26	62.56	152.28	60.82	95.34	21.32	164.42	84.63	28.65	37.85	62.12	32.36	129.69	20.56	46.18	69.52	36.79	43.02	83.45	115.16	40.64	356.05	104.42	195.72	142.01	96.01	587.13	1427.22	2997.45	1427.22	616.37	543.96	1427.22	633.73	1295.13	409.15	74.06	30.56	269.6	40.64	16.39	68.07	67.12	33.54	25.54	60.82	26.86	49.21	205.5	57.89	49.21	305.55	669.92	802.41	43.02	11.38	241.19	27.44	61.25	8.0	53.57	144.01	43.32	17.64	19.11	59.55	6.11	139.07	75.64	38.95	18.16	16.03	128.79	52.82	17.13	46.18	18.97	32.82
MS4A4A	220.32	31.22	77.79	161.02	148.09	204.07	4.66	293.07	117.6	197.09	19.97	25.35	7.88	166.73	299.25	87.65	616.37	1733.13	1044.52	1277.29	142.01	447.82	1208.34	1023.0	825.0	336.79	244.57	312.0	279.14	1088.92	1561.89	579.04	336.79	327.56	318.57	397.93	162.14	74.58	156.59	107.38	412.0	127.0	139.07	37.85	287.01	381.68	72.01	193.01	201.25	77.25	241.19	57.89	79.45	127.89	80.57	96.68	158.79	129.69	71.5	660.68	165.57	400.71	371.22	285.03	909.17	2555.58	2367.9	4704.07	525.39	703.28	1540.37	575.03	2367.9	223.41	118.43	63.0	525.39	133.36	31.22	113.56	108.14	53.57	79.45	221.86	63.0	88.26	387.02	76.17	88.88	403.5	1350.18	693.58	158.79	64.8	397.93	38.12	156.59	33.06	120.94	336.79	127.89	61.68	34.26	111.99	17.25	71.5	181.28	162.14	55.1	44.57	191.67	206.94	64.34	229.72	103.69	96.01
MS4A6A	909.17	312.0	293.07	733.19	693.58	713.11	44.25	988.12	454.09	444.72	45.21	112.77	21.16	466.88	1350.18	202.66	5329.3	6426.31	3212.66	5672.41	915.51	2193.99	5006.93	5112.16	2502.97	1721.16	884.29	1359.57	1331.57	6935.54	4869.99	3325.99	1857.6	1304.15	1359.57	2178.83	575.03	145.02	389.72	195.72	1794.29	500.46	612.11	170.25	1051.79	915.51	291.04	414.87	426.57	265.87	1191.69	269.6	423.61	587.13	269.6	403.5	665.29	842.36	265.87	3303.0	571.05	1467.37	1477.58	1088.92	2835.7	5441.3	6037.61	5995.9	1757.34	2047.0	5366.37	1909.85	3742.05	1857.6	463.65	248.0	2075.59	406.31	117.6	438.59	379.04	228.13	199.85	511.0	249.73	361.04	1417.35	285.03	387.02	2287.2	1896.65	2935.74	450.94	155.5	1199.98	144.01	595.34	93.35	529.06	1066.48	444.72	118.43	161.02	483.38	125.24	387.02	934.76	480.04	145.02	123.5	941.27	703.28	299.25	743.43	406.31	297.17
MYO1F	144.01	54.33	36.79	111.21	76.17	56.28	17.77	63.89	93.35	39.79	8.58	40.07	18.84	55.1	87.03	33.3	703.28	616.37	559.28	723.08	256.78	197.09	454.09	353.59	249.73	246.28	221.86	156.59	165.57	638.15	599.49	389.72	153.34	109.66	312.0	371.22	66.18	15.0	47.5	46.5	170.25	73.54	59.13	22.75	94.67	77.79	43.02	36.79	40.36	31.67	72.52	43.94	59.13	50.98	44.25	78.89	70.51	85.22	51.35	142.01	80.57	123.5	111.21	127.0	473.41	633.73	1208.34	723.08	420.68	226.54	780.44	325.29	514.56	295.11	81.14	65.26	368.65	48.52	27.44	64.34	88.26	63.0	43.63	57.89	64.34	92.7	229.72	55.1	46.84	878.17	559.28	1467.37	119.26	50.27	277.2	85.22	139.07	51.71	135.24	223.41	94.01	57.89	77.25	96.68	72.52	85.22	253.23	46.18	28.86	19.11	130.6	92.05	68.55	100.83	64.8	17.77
NCF1	78.34	45.53	42.11	100.13	51.35	54.33	10.55	48.18	41.81	23.42	3.47	20.56	14.24	46.18	103.69	26.1	318.57	389.72	525.39	679.29	117.6	167.9	209.84	273.37	113.56	165.57	138.1	135.24	109.66	460.44	395.18	293.07	144.01	118.43	264.03	173.85	79.45	9.48	39.79	22.92	113.56	63.0	60.39	13.62	82.29	67.59	46.84	29.06	35.0	35.5	81.14	19.53	37.05	51.35	45.21	41.81	59.55	81.71	38.95	142.01	67.12	96.01	90.14	70.01	466.88	967.76	1909.85	1119.56	454.09	205.5	902.89	346.29	656.11	201.25	42.11	28.04	293.07	75.64	32.36	58.71	53.57	26.86	33.06	78.34	37.32	42.71	143.01	52.45	46.84	2351.53	187.71	1340.84	59.97	19.82	303.44	23.08	71.5	28.45	86.43	318.57	35.25	55.1	47.5	48.18	21.47	82.87	191.67	38.4	1.08	27.25	65.72	134.3	26.67	57.49	31.9	30.34
NCF2	123.5	61.25	55.89	136.19	90.14	82.87	17.77	84.63	117.6	50.27	12.36	35.25	31.22	61.25	202.66	40.93	387.02	493.56	423.61	1167.14	94.67	172.65	301.33	567.1	205.5	164.42	122.64	120.1	123.5	743.43	802.41	603.67	190.34	152.28	189.02	237.86	105.89	47.17	94.67	46.5	199.85	68.07	94.67	21.63	123.5	104.42	57.89	73.03	61.68	62.12	120.94	39.22	54.33	77.79	54.33	84.04	108.14	102.97	70.01	281.09	116.78	149.12	186.4	137.14	381.68	890.44	1991.0	884.29	343.89	529.06	748.61	223.41	638.15	201.25	67.59	37.85	303.44	87.65	35.76	73.03	37.32	57.08	39.5	113.56	48.52	64.34	226.54	43.02	63.89	878.17	1844.76	1594.73	47.84	45.53	236.21	78.34	96.68	23.25	61.68	195.72	24.99	54.33	65.26	39.5	54.33	88.26	87.65	70.51	13.42	16.15	104.42	135.24	52.82	12.64	39.79	31.9
NCF4	162.14	60.39	55.49	88.26	100.13	105.89	11.3	77.79	70.51	46.18	8.85	30.78	27.64	49.91	116.78	55.49	363.56	438.59	633.73	426.57	140.04	185.11	341.51	312.0	155.5	167.9	234.57	141.02	95.34	329.84	285.03	303.44	133.36	100.83	167.9	153.34	102.25	22.59	110.43	46.84	123.5	81.71	56.68	18.84	110.43	72.52	30.78	42.41	71.5	42.11	108.14	33.3	39.22	47.5	34.02	48.52	69.03	147.06	37.05	208.38	74.06	150.17	100.13	125.24	432.53	854.13	1540.37	1037.29	281.09	215.77	575.03	265.87	599.49	194.36	85.22	41.52	249.73	56.28	27.05	63.0	63.89	44.25	43.32	63.45	26.47	73.03	220.32	42.41	59.13	547.75	480.04	1617.0	124.37	68.07	289.02	69.52	98.04	21.32	81.71	228.13	72.01	57.89	58.3	126.12	48.87	54.72	220.32	89.51	16.39	46.18	122.64	142.01	46.5	100.13	38.12	32.59
NCKAP1L	115.16	31.67	12.18	102.25	57.89	42.41	8.92	67.59	37.59	56.28	1.53	14.35	3.56	40.36	118.43	39.79	1066.48	713.11	371.22	660.68	120.1	206.94	454.09	500.46	248.0	142.01	123.5	189.02	199.85	941.27	796.86	406.31	202.66	108.14	158.79	258.57	41.52	18.29	49.91	71.0	217.27	67.12	77.79	12.27	124.37	87.03	31.67	37.05	49.56	32.36	93.35	35.76	55.49	78.34	30.56	48.18	61.68	54.33	38.12	242.88	98.04	142.01	125.24	153.34	262.2	447.82	1081.39	587.13	215.77	217.27	884.29	226.54	392.44	140.04	34.75	22.75	325.29	30.78	18.56	59.55	40.93	25.35	24.28	62.56	28.65	44.89	220.32	63.89	52.45	141.02	1498.22	85.82	67.12	40.07	400.71	37.85	77.25	13.03	55.89	157.68	42.71	15.34	37.05	45.85	24.81	64.8	82.29	64.34	5.63	5.73	117.6	60.82	60.82	111.99	33.54	9.41
NFAM1	34.75	10.79	8.58	30.34	26.28	15.11	4.17	30.78	27.84	23.08	2.76	5.77	7.34	23.76	49.56	9.78	194.36	150.17	151.22	346.29	90.14	47.5	112.77	138.1	100.13	54.72	63.45	46.5	40.07	151.22	109.66	92.05	55.49	50.27	76.17	75.64	26.67	7.17	24.28	13.22	47.17	19.97	20.86	9.27	25.72	16.63	15.68	13.32	17.38	11.73	18.84	9.27	15.34	25.72	10.63	23.25	23.25	15.91	13.72	31.0	21.01	40.36	27.25	45.21	201.25	363.56	426.57	327.56	100.13	96.01	297.17	76.17	211.31	60.82	14.24	12.45	88.88	17.0	10.71	18.16	19.39	25.91	8.85	18.7	10.71	26.28	69.52	24.11	19.97	109.66	361.04	88.26	63.45	23.93	198.47	10.47	31.0	6.06	17.13	36.79	8.38	15.45	10.0	9.78	8.06	25.54	20.56	15.8	19.53	3.69	14.67	26.67	9.34	25.35	12.55	3.08
OSCAR	21.47	16.63	9.78	38.95	22.59	18.56	2.46	26.47	17.64	18.7	3.2	1.83	1.5	12.55	43.02	10.24	139.07	169.07	120.1	366.09	69.52	112.77	72.52	111.21	29.91	65.72	81.14	38.95	31.9	144.01	182.55	161.02	62.56	65.26	81.14	65.72	20.86	2.27	16.75	11.64	36.53	15.11	22.75	7.75	26.67	13.42	11.3	8.58	12.27	8.58	26.67	5.06	4.28	13.03	6.62	15.68	12.27	16.88	9.48	42.11	19.39	33.54	29.06	26.47	267.73	420.68	1286.18	358.54	223.41	96.01	255.0	162.14	575.03	125.24	22.43	9.34	46.18	9.13	7.22	12.83	11.04	9.63	8.19	12.45	10.0	15.11	37.85	10.96	7.69	309.83	417.77	73.03	19.68	12.18	84.63	18.43	44.25	12.74	17.25	58.3	13.42	6.84	15.8	26.47	21.01	14.89	47.17	25.91	4.82	2.27	41.81	69.52	11.82	8.38	7.88	3.14
OTOA	3.14	0.67	0.36	1.03	2.27	0.97	0.0	3.2	0.0	0.0	0.0	0.0	0.0	1.66	3.2	3.14	25.35	24.46	72.01	54.72	20.26	18.56	9.7	53.57	6.62	15.68	21.63	2.16	8.0	18.16	23.93	14.78	10.79	8.92	7.0	24.28	1.6	0.0	1.6	2.03	3.14	1.48	3.2	0.0	3.03	3.29	0.88	1.46	2.92	1.2	2.48	1.14	2.27	2.25	1.2	0.77	2.18	1.17	1.16	4.43	5.19	2.36	3.47	1.57	56.68	170.25	283.05	149.12	56.68	40.93	175.07	36.01	155.5	6.31	2.94	1.06	6.26	2.23	1.17	1.91	2.16	1.17	0.0	3.14	1.51	2.16	8.78	2.78	2.36	6.52	32.13	9.34	3.86	0.52	1.83	0.49	0.95	2.73	1.33	5.32	0.0	1.31	3.11	0.93	0.0	0.0	1.38	0.92	0.51	0.0	0.0	3.63	0.0	0.0	0.51	1.33
PARVG	127.0	70.01	27.64	123.5	94.01	67.59	19.25	68.55	51.35	40.93	8.19	19.97	8.51	68.07	82.87	28.04	684.02	591.22	791.35	848.22	329.84	246.28	423.61	567.1	212.78	309.83	356.05	132.44	151.22	540.19	583.07	389.72	177.53	177.53	265.87	400.71	32.59	10.47	38.95	40.93	155.5	52.45	88.88	11.04	120.1	68.55	29.06	24.63	39.22	38.4	75.11	15.0	38.67	33.54	22.43	46.18	63.0	53.57	28.04	186.4	72.01	149.12	95.34	104.42	890.44	1199.98	1745.2	941.27	486.75	301.33	819.3	450.94	769.69	224.97	66.18	24.81	341.51	33.78	16.27	49.56	80.01	36.01	24.46	55.89	19.97	75.64	191.67	52.82	33.54	1242.34	376.41	327.56	134.3	122.64	679.29	50.98	115.97	22.26	83.45	473.41	81.71	40.07	53.19	67.12	95.34	68.55	251.48	100.83	21.94	9.13	152.28	108.14	64.34	139.07	48.87	29.7
PIK3R6	13.93	2.05	0.0	8.78	4.98	1.0	0.01	4.17	5.45	4.78	0.62	1.04	0.06	3.26	4.74	1.17	46.18	48.18	82.87	68.55	16.88	16.63	71.0	21.94	17.13	18.84	18.97	8.71	20.56	29.27	44.25	493.56	21.94	25.91	16.03	29.7	2.86	0.91	4.1	3.76	15.22	6.06	3.72	0.79	7.75	6.73	2.25	2.25	4.1	2.05	5.92	1.17	1.95	2.68	0.83	3.53	5.59	6.01	1.99	10.71	4.94	11.64	8.65	9.63	87.03	75.11	173.85	53.57	55.49	35.76	92.7	45.21	56.28	16.27	3.0	1.08	29.7	2.66	0.82	4.28	3.69	3.63	1.87	3.59	1.93	4.43	16.15	2.84	2.43	12.45	16.39	13.32	14.03	0.26	38.67	2.39	6.06	0.25	3.63	9.93	1.99	2.03	3.32	3.69	0.87	6.36	10.47	6.41	0.0	0.52	6.84	5.23	3.5	2.94	3.38	0.54
PLA2G2D	3.82	1.66	0.0	4.43	1.93	0.65	0.0	0.0	1.48	1.3	0.0	0.0	0.0	0.0	2.01	2.41	20.56	47.84	20.86	50.27	3.76	23.25	25.91	43.63	1.83	5.59	8.25	12.45	13.12	49.21	88.26	73.54	10.71	2.43	16.63	18.29	0.0	0.87	1.99	1.62	14.24	2.94	8.13	0.0	3.0	2.84	0.0	1.45	0.72	2.36	14.24	0.0	9.7	0.37	0.39	0.75	0.72	3.5	1.53	13.93	50.63	12.74	18.16	10.0	54.72	287.01	166.73	193.01	232.94	28.04	82.29	6.84	170.25	12.18	4.86	1.39	85.22	0.37	0.78	4.54	3.56	1.17	0.36	3.11	1.13	1.79	32.82	5.11	4.28	7.22	49.91	3.44	10.16	0.0	40.36	0.0	0.0	6.78	4.7	8.51	0.0	0.0	0.0	0.0	0.0	0.0	6.78	0.0	0.0	0.0	0.0	3.03	0.0	6.52	0.0	0.0
RAC2	307.69	180.02	77.25	318.57	229.72	165.57	59.13	229.72	170.25	161.02	17.38	116.78	73.03	92.7	295.11	128.79	2451.44	934.76	1167.14	928.3	277.2	473.41	1259.69	1268.46	532.74	540.19	423.61	373.81	591.22	1844.76	1233.75	669.92	480.04	967.76	429.54	791.35	129.69	40.64	99.43	271.48	412.0	137.14	341.51	33.54	387.02	190.34	66.65	81.14	153.34	81.71	371.22	60.82	147.06	156.59	85.22	146.03	150.17	176.29	94.01	674.59	327.56	571.05	397.93	384.34	1721.16	941.27	2133.97	1143.1	764.36	547.75	1467.37	316.37	1135.2	444.72	180.02	76.17	1151.06	111.99	67.59	171.45	130.6	112.77	63.0	181.28	59.55	189.02	1008.9	260.38	138.1	1733.13	1216.75	1397.83	279.14	156.59	1745.2	96.01	236.21	52.45	299.25	511.0	77.25	62.12	150.17	121.79	67.12	403.5	379.04	185.11	17.64	45.21	297.17	341.51	84.04	214.27	85.22	31.67
