	TCGA.A2.A0EM.01A.11R.A034.07	TCGA.BH.A0B2.01A.11R.A10J.07	TCGA.BH.A0B2.01A.11R.A10J.07.1	TCGA.A2.A0EM.01A.11R.A034.07.1	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.A7.A0DC.11A.41R.A089.07.1	TCGA.BH.A18N.11A.43R.A12D.07	TCGA.BH.A18M.11A.33R.A12D.07	GTEX.RWS6.1926.SM.47JXY	GTEX.ZLV1.1426.SM.4WWES	GTEX.X15G.1626.SM.3NMB3	GTEX.WYVS.1926.SM.4PQZ2	GTEX.S32W.1926.SM.4AD63	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.PX3G.0826.SM.48TZS	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZF2S.3026.SM.4WWCH	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.14E1K.0326.SM.5S2PE	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.R53T.0326.SM.48FEC
PTRF	2537.92	3303.0	3303.0	2537.92	9740.98	9740.98	8247.98	8363.13	13306.94	14765.09	8363.13	1977.24	813.63	1806.78	327.56	723.08	473.41	403.5	312.0	204.07	518.15	460.44	607.87	325.29	356.05	480.04	902.89	426.57	525.39	297.17	1225.22	229.72	341.51	182.55	228.13	379.04	638.15	293.07
PYGB	1745.2	2664.15	2664.15	1745.2	1896.65	1896.65	2075.59	1991.0	2468.49	3820.7	2720.15	303.44	651.58	1561.89	187.71	358.54	293.07	127.89	167.9	147.06	182.55	303.44	551.56	260.38	206.94	215.77	703.28	157.68	182.55	239.52	332.14	71.5	208.38	255.0	94.67	148.09	346.29	149.12
RAD51D	136.19	166.73	166.73	136.19	183.82	183.82	180.02	202.66	299.25	151.22	204.07	138.1	40.64	154.42	25.35	68.55	66.65	40.36	31.0	32.82	87.65	87.65	90.14	59.97	89.51	65.72	72.01	63.89	77.25	53.19	147.06	82.29	115.16	55.1	42.41	58.3	49.56	80.57
RERG	2351.53	473.41	473.41	2351.53	1870.53	1870.53	1781.89	967.76	1259.69	1030.12	2915.45	84.63	22.1	159.9	15.68	17.25	13.52	21.16	17.9	13.12	10.79	31.67	24.46	2.03	2.76	21.63	26.47	6.26	10.16	12.18	55.1	9.06	8.38	5.11	12.18	9.41	35.76	13.42
RTKN2	36.53	32.82	32.82	36.53	20.11	20.11	9.7	25.35	16.88	12.27	12.18	4.43	0.4	11.21	0.0	1.87	0.72	0.06	1.6	0.0	0.89	5.06	1.31	1.75	3.47	0.89	2.78	1.79	5.41	0.67	2.29	0.0	0.01	0.0	0.07	0.0	0.72	0.56
RTN2	583.07	764.36	764.36	583.07	334.46	334.46	540.19	417.77	896.64	638.15	1111.82	214.27	153.34	381.68	80.57	111.99	63.0	43.02	156.59	56.28	97.36	323.03	61.68	31.22	47.5	107.38	175.07	51.71	70.51	72.52	153.34	45.21	63.45	22.43	51.71	114.36	176.29	14.56
SH3PXD2B	775.05	579.04	579.04	775.05	723.08	723.08	486.75	1111.82	1151.06	836.53	616.37	96.68	134.3	253.23	24.99	84.04	32.82	52.45	24.11	9.27	23.59	122.64	55.1	34.75	38.12	47.84	102.25	44.89	43.02	59.55	63.45	79.45	58.71	32.59	41.52	36.53	62.56	21.16
SLC10A3	547.75	571.05	571.05	547.75	412.0	412.0	525.39	587.13	599.49	497.0	571.05	348.71	316.37	638.15	134.3	223.41	102.97	186.4	148.09	76.71	94.67	246.28	150.17	141.02	108.14	118.43	262.2	129.69	143.01	185.11	417.77	85.22	96.68	65.72	94.67	167.9	158.79	68.07
SLC25A24	1015.93	403.5	403.5	1015.93	698.41	698.41	638.15	514.56	607.87	500.46	412.0	329.84	178.77	684.02	47.84	125.24	38.4	34.75	90.14	79.45	52.45	118.43	55.89	23.76	17.64	24.99	162.14	40.07	46.84	55.1	353.59	7.57	39.5	10.39	7.06	59.13	48.52	72.52
SLC29A2	215.77	220.32	220.32	215.77	84.63	84.63	180.02	166.73	130.6	312.0	204.07	37.05	26.86	220.32	80.57	9.7	48.87	1.77	13.42	13.72	15.68	38.12	78.34	7.51	17.64	10.71	23.25	50.63	9.85	5.82	26.86	18.56	11.55	17.13	10.24	27.64	16.15	2.39
SLC41A3	819.3	785.88	785.88	819.3	775.05	775.05	1159.07	995.0	1561.89	1350.18	1268.46	476.71	483.38	674.59	279.14	429.54	232.94	307.69	309.83	229.72	283.05	334.46	493.56	320.8	202.66	348.71	400.71	381.68	231.32	373.81	289.02	256.78	256.78	265.87	201.25	251.48	414.87	500.46
SLC45A1	34.26	45.21	45.21	34.26	72.01	72.01	42.11	47.17	94.01	109.66	48.18	12.18	14.56	25.72	3.03	6.36	3.72	5.59	2.84	3.76	2.25	4.74	6.78	6.57	4.98	5.59	14.24	0.77	7.51	7.06	17.51	5.32	3.44	2.34	1.81	8.32	3.32	2.97
SLC6A8	679.29	748.61	748.61	679.29	571.05	571.05	389.72	599.49	493.56	470.14	457.25	41.22	43.94	511.0	4.98	105.89	16.75	30.12	26.1	24.99	13.22	100.83	73.54	15.45	29.27	92.05	120.1	19.97	26.28	16.15	532.74	15.8	20.11	16.27	27.05	16.88	126.12	10.96
SLMO1	45.21	90.14	90.14	45.21	58.3	58.3	69.52	84.04	52.82	77.79	138.1	42.11	28.65	105.89	5.45	3.2	2.89	6.31	3.17	1.6	8.58	31.0	18.56	3.44	3.11	18.29	7.94	6.21	8.85	4.54	26.1	0.21	3.79	8.19	3.47	4.17	5.5	0.54
SOD3	265.87	518.15	518.15	265.87	2758.13	2758.13	2061.24	1457.23	3928.15	4481.23	1111.82	1350.18	414.87	3349.13	47.84	819.3	59.13	75.11	65.72	14.35	82.29	540.19	403.5	17.25	70.51	373.81	575.03	124.37	332.14	52.08	819.3	46.84	46.18	84.63	44.25	123.5	258.57	116.78
SRRM3	91.41	88.88	88.88	91.41	97.36	97.36	92.7	98.04	305.55	63.45	242.88	17.64	10.47	123.5	0.0	26.1	10.08	7.17	2.61	0.0	4.7	16.75	25.72	0.36	12.0	1.41	13.12	0.0	49.21	0.65	56.28	2.34	0.0	2.46	4.1	0.27	1.14	4.98
SVEP1	60.39	172.65	172.65	60.39	1540.37	1540.37	2335.28	890.44	1909.85	483.38	2163.77	624.99	187.71	1233.75	10.47	123.5	11.55	63.89	22.43	9.63	70.51	96.68	151.22	21.01	16.27	40.64	236.21	19.25	57.89	34.75	178.77	5.73	18.29	25.72	16.27	30.34	114.36	27.05
TANC1	373.81	191.67	191.67	373.81	403.5	403.5	486.75	432.53	395.18	429.54	334.46	215.77	120.94	423.61	97.36	131.51	68.07	74.06	70.01	133.36	63.0	137.14	90.14	127.0	62.12	82.87	108.9	98.04	116.78	81.14	206.94	69.52	102.97	64.34	60.82	87.03	102.25	53.19
TEKT2	29.27	36.53	36.53	29.27	21.47	21.47	26.47	20.56	15.22	24.28	25.17	5.77	5.28	14.89	0.0	5.06	0.0	9.27	1.68	2.39	0.65	3.53	5.32	3.23	0.0	0.0	10.0	13.72	3.86	1.04	0.92	0.0	1.16	6.67	2.05	4.43	0.0	0.92
TGFB1I1	1397.83	860.08	860.08	1397.83	836.53	836.53	1477.58	1233.75	2193.99	1977.24	2855.44	403.5	206.94	780.44	81.71	137.14	105.89	117.6	76.17	47.84	60.82	144.01	92.7	66.18	76.17	117.6	156.59	77.79	96.68	59.55	438.59	75.64	84.04	55.1	251.48	128.79	143.01	68.07
TNS1	559.28	769.69	769.69	559.28	7382.04	7382.04	4639.29	4607.24	5872.48	4268.94	5366.37	555.41	198.47	1059.11	151.22	392.44	289.02	543.96	267.73	136.19	336.79	149.12	332.14	341.51	460.44	414.87	785.88	229.72	387.02	426.57	432.53	162.14	420.68	612.11	138.1	226.54	381.68	244.57
TPR	934.76	1081.39	1081.39	934.76	947.83	947.83	915.51	860.08	1159.07	780.44	693.58	638.15	473.41	836.53	397.93	289.02	417.77	323.03	397.93	536.45	476.71	441.64	432.53	376.41	412.0	358.54	466.88	387.02	417.77	447.82	547.75	264.03	293.07	265.87	133.36	356.05	341.51	334.46
VCL	1127.35	1081.39	1081.39	1127.35	2287.2	2287.2	2133.97	1977.24	2591.27	2104.58	2018.8	595.34	476.71	1617.0	239.52	616.37	153.34	483.38	189.02	197.09	236.21	180.02	269.6	466.88	218.79	239.52	571.05	162.14	181.28	466.88	607.87	134.3	559.28	125.24	218.79	226.54	273.37	271.48
XYLT1	71.0	61.68	61.68	71.0	215.77	215.77	120.1	178.77	283.05	336.79	91.41	39.22	2.32	71.0	4.06	17.38	2.68	20.26	5.45	4.39	2.56	7.57	3.66	26.1	4.31	12.74	24.99	7.34	32.36	6.01	10.96	1.85	4.62	2.03	3.26	3.66	10.39	2.29
ZNF347	106.63	86.43	86.43	106.63	108.14	108.14	139.07	151.22	172.65	128.79	172.65	72.52	38.67	85.82	26.28	5.5	5.73	19.11	17.13	7.22	32.59	30.34	29.91	11.13	4.06	5.28	16.27	5.23	4.35	8.92	29.06	4.82	8.78	8.65	7.17	24.11	21.94	14.67
ZNF496	339.14	486.75	486.75	339.14	217.27	217.27	314.17	381.68	466.88	264.03	334.46	327.56	40.64	339.14	56.28	35.0	154.42	30.78	80.01	81.71	114.36	45.85	102.97	74.06	25.17	49.91	59.97	87.65	113.56	70.01	128.79	24.81	113.56	56.28	13.52	49.56	19.25	23.08
