	TCGA.AR.A1AO.01A.11R.A12P.07	TCGA.A8.A08H.01A.21R.A00Z.07	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.13QJC.0726.SM.5RQJK	GTEX.1399R.1226.SM.5P9GF	GTEX.REY6.1226.SM.48FDR	GTEX.R53T.0326.SM.48FEC	TCGA.55.8208.01A.11R.2241.07	TCGA.69.8255.01A.11R.2287.07	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.38.4631.01A.01R.1755.07	TCGA.44.7660.01A.11R.2066.07	TCGA.95.7043.01A.11R.1949.07	TCGA.55.7995.01A.11R.2187.07	TCGA.38.4632.11A.01R.1755.07	GTEX.QV44.0926.SM.2S1RH	GTEX.PWOO.0726.SM.2I3EB	TCGA.60.2709.01A.21R.1820.07	TCGA.NC.A5HJ.01A.11R.A26W.07	TCGA.90.7964.01A.21R.2187.07	TCGA.66.2737.01A.01R.0980.07	TCGA.NC.A5HE.01A.11R.A26W.07	TCGA.77.8007.11A.01R.2187.07	TCGA.MX.A666.01A.11R.A31P.31	TCGA.D7.8570.01A.11R.2343.13
FANCD2	400.71	138.1	105.89	77.25	85.82	80.57	273.37	90.77	104.42	78.89	90.14	44.89	237.86	60.39	105.89	94.67	34.75	53.57	37.85	152.28	28.45	63.45	35.0	9.7	16.51	20.41	297.17	27.64	13.12	83.45	14.45	35.25	18.03	25.35	186.4	500.46	175.07	450.94	253.23	237.86	140.04	79.45	135.24	260.38	341.51	307.69	182.55	450.94	249.73	105.15	603.67	239.52
FBF1	99.43	67.59	246.28	94.67	63.45	31.9	143.01	18.7	15.34	80.57	59.55	25.54	102.25	134.3	78.89	90.14	40.07	51.71	47.84	46.84	103.69	63.89	17.38	34.51	28.04	13.72	96.68	36.27	22.92	52.82	14.03	22.26	15.34	16.75	161.02	457.25	148.09	105.15	151.22	275.28	202.66	36.79	212.78	376.41	166.73	208.38	320.8	178.77	231.32	59.55	267.73	195.72
FLJ00104	23.42	17.64	32.13	13.72	24.28	14.89	22.92	12.55	10.16	10.96	15.34	11.21	36.27	9.13	9.63	23.76	11.64	18.7	4.74	10.63	11.21	20.26	5.92	17.38	6.36	11.38	12.45	9.34	6.57	7.51	4.62	4.1	4.39	4.66	37.85	55.1	61.68	21.01	109.66	29.91	54.72	9.7	33.78	35.76	28.65	42.71	37.85	30.12	61.25	20.26	176.29	57.49
FTL	469249.9	539026.74	1422501.74	1355129.16	1123834.93	971597.0	2111737.85	1327240.99	1452391.55	1393227.06	875652.15	1055868.42	828417.36	1514068.5	985160.01	1100706.72	958220.73	741454.2	932018.1	1493223.86	992012.34	811368.76	472513.8	2294899.22	1179708.33	919186.72	1327240.99	1147449.11	1374046.07	1055868.42	573724.06	1131651.83	706337.4	2326934.84	358098.26	242898.5	998912.34	978355.0	411347.03	1273174.62	450134.56	1204496.53	1336472.68	1327240.99	558035.51	316094.29	645473.24	383800.28	405683.88	971597.0	88905.42	453265.5
FUNDC1	450.94	463.65	341.51	463.65	178.77	358.54	242.88	260.38	100.83	201.25	414.87	212.78	293.07	237.86	182.55	190.34	279.14	226.54	147.06	181.28	255.0	412.0	112.77	102.25	108.9	139.07	738.29	194.36	248.0	198.47	69.52	214.27	105.89	256.78	529.06	1277.29	256.78	1151.06	738.29	490.14	723.08	373.81	392.44	248.0	346.29	490.14	400.71	633.73	476.71	403.5	325.29	435.55
GCN1L1	583.07	728.11	547.75	470.14	454.09	334.46	629.35	379.04	738.29	343.89	363.56	403.5	669.92	423.61	457.25	297.17	327.56	271.48	353.59	441.64	403.5	341.51	285.03	248.0	258.57	239.52	507.46	262.2	194.36	262.2	167.9	316.37	156.59	303.44	860.08	1378.57	486.75	579.04	884.29	595.34	808.0	346.29	769.69	842.36	656.11	780.44	718.08	620.67	591.22	376.41	2163.77	1023.0
GGA3	497.0	417.77	583.07	435.55	307.69	205.5	395.18	217.27	279.14	432.53	281.09	249.73	441.64	361.04	283.05	356.05	246.28	320.8	358.54	283.05	536.45	327.56	194.36	299.25	206.94	193.01	336.79	111.21	126.12	295.11	133.36	201.25	126.12	189.02	703.28	1151.06	896.64	343.89	733.19	802.41	974.5	435.55	1508.65	674.59	563.18	825.0	563.18	457.25	612.11	579.04	1259.69	587.13
GINS4	226.54	195.72	25.72	21.94	29.48	87.03	199.85	50.63	31.45	48.87	71.5	10.88	211.31	39.79	120.1	42.41	54.33	25.54	12.74	19.25	23.25	18.43	28.45	11.21	6.46	8.06	88.26	37.59	5.28	47.17	1.57	12.83	6.16	9.27	139.07	503.95	59.13	177.53	181.28	253.23	148.09	39.22	182.55	79.45	346.29	167.9	111.99	178.77	102.25	57.49	190.34	195.72
GLB1L2	128.79	80.01	287.01	309.83	5.63	5.87	3.63	4.82	0.82	0.85	3.5	2.41	10.08	0.73	13.93	0.0	17.25	13.93	3.38	2.32	2.68	10.71	9.48	0.39	13.12	1.73	197.09	4.62	8.51	18.84	0.85	2.66	4.62	4.5	244.57	241.19	81.14	133.36	314.17	183.82	180.02	90.14	44.57	1073.91	68.07	71.5	371.22	94.67	175.07	126.12	323.03	10.71
GMPS	2119.22	1286.18	466.88	603.67	500.46	555.41	954.43	684.02	460.44	1477.58	447.82	536.45	575.03	366.09	1331.57	866.07	511.0	429.54	466.88	775.05	1030.12	493.56	312.0	307.69	285.03	299.25	825.0	339.14	281.09	503.95	269.6	395.18	287.01	417.77	1127.35	3325.99	457.25	1519.15	1923.14	878.17	2627.46	575.03	693.58	921.88	2032.85	1216.75	1487.87	3325.99	2271.4	638.15	1191.69	1331.57
GPC2	85.22	30.78	52.08	11.64	21.47	9.41	16.39	5.96	6.16	3.26	16.39	3.59	21.78	6.01	6.31	3.23	9.78	7.4	12.0	13.03	11.55	16.51	0.0	0.37	5.36	3.72	7.11	0.01	5.77	3.89	0.66	1.45	4.39	6.06	65.72	74.06	82.29	195.72	703.28	89.51	84.04	3.82	70.01	51.71	106.63	325.29	58.71	72.01	99.43	20.56	96.01	31.22
GPR63	6.52	7.82	3.66	5.82	2.46	1.06	2.1	0.93	0.0	0.62	2.27	0.0	7.11	0.52	0.99	0.95	0.55	1.06	0.56	0.45	0.52	1.97	0.0	0.78	0.38	0.51	1.11	0.0	0.38	1.85	0.0	2.41	0.0	1.31	3.86	13.42	6.16	18.29	21.01	4.78	12.64	3.11	59.13	3.35	27.44	27.05	1.36	23.76	49.56	4.54	48.18	9.34
GPRC5D	25.91	6.84	10.63	4.62	5.02	26.47	54.33	16.03	4.78	21.78	13.52	18.7	38.12	18.16	22.75	8.58	4.39	2.73	8.38	12.83	7.46	15.0	2.23	14.14	8.65	11.04	9.93	3.76	7.94	6.94	1.97	3.5	1.89	0.68	24.63	127.89	165.57	32.59	208.38	100.13	51.71	23.59	21.16	100.13	379.04	81.14	78.34	114.36	33.3	56.28	78.89	18.56
GRAMD2	209.84	68.55	45.21	7.22	1.14	0.0	2.97	0.58	0.64	0.0	0.61	0.0	3.66	0.0	0.6	0.59	1.0	0.0	0.0	1.45	0.55	0.0	0.0	0.48	0.53	4.03	1.07	12.93	0.0	0.0	0.55	2.73	6.67	0.89	56.28	13.22	381.68	22.75	81.14	125.24	104.42	277.2	208.38	318.57	31.22	289.02	61.25	23.93	42.41	221.86	113.56	5.68
GRIPAP1	559.28	450.94	612.11	575.03	532.74	547.75	551.56	423.61	336.79	607.87	753.83	551.56	890.44	743.43	420.68	521.76	543.96	497.0	493.56	281.09	733.19	669.92	397.93	559.28	529.06	389.72	543.96	406.31	511.0	583.07	334.46	563.18	406.31	599.49	902.89	1781.89	988.12	470.14	934.76	684.02	1199.98	353.59	575.03	785.88	718.08	1225.22	607.87	583.07	1037.29	518.15	764.36	599.49
GSG2	35.5	48.18	11.38	7.51	6.73	6.94	12.93	9.2	7.22	12.45	7.46	5.19	26.1	5.68	10.08	25.35	1.79	7.46	3.5	5.45	4.21	8.92	0.58	0.0	0.96	0.0	9.41	3.29	0.95	9.7	0.16	6.11	0.0	3.08	58.71	94.67	31.22	80.01	67.59	118.43	110.43	11.3	13.62	34.51	118.43	84.63	28.86	98.04	124.37	22.92	287.01	198.47
GTF3C2	842.36	759.08	738.29	703.28	536.45	387.02	703.28	764.36	514.56	684.02	525.39	567.1	842.36	684.02	547.75	629.35	575.03	420.68	532.74	551.56	612.11	400.71	346.29	414.87	460.44	356.05	518.15	246.28	295.11	366.09	301.33	197.09	400.71	211.31	1216.75	1794.29	974.5	1127.35	1674.06	1143.1	1259.69	713.11	967.76	934.76	1250.98	995.0	1378.57	941.27	1066.48	733.19	2956.17	1044.52
HDAC1	1909.85	1508.65	928.3	1127.35	1388.16	1073.91	1991.0	1388.16	1199.98	1277.29	1242.34	872.1	2061.24	1268.46	1104.13	1407.55	1104.13	981.29	1250.98	2224.63	1268.46	1427.22	915.51	854.13	629.35	791.35	1216.75	629.35	915.51	1304.15	718.08	974.5	1233.75	1233.75	2240.11	3794.3	1437.15	3018.3	1819.35	1950.0	2400.97	1340.84	1583.71	1662.49	2104.58	3928.15	3901.01	1794.29	1977.24	1519.15	3303.0	2645.74
HDDC2	1498.22	1685.71	2061.24	2485.67	780.44	536.45	896.64	567.1	599.49	536.45	543.96	575.03	785.88	629.35	1051.79	463.65	571.05	669.92	624.99	1651.0	559.28	684.02	343.89	703.28	551.56	470.14	1242.34	497.0	500.46	323.03	197.09	316.37	476.71	237.86	1259.69	2163.77	1733.13	4419.52	2502.97	2400.97	1572.76	1832.01	2178.83	2777.33	1572.76	2075.59	2061.24	1936.53	2997.45	1857.6	1540.37	1044.52
IKBKB	633.73	698.41	525.39	511.0	379.04	361.04	674.59	212.78	165.57	447.82	616.37	194.36	529.06	444.72	403.5	253.23	384.34	316.37	218.79	177.53	403.5	318.57	170.25	316.37	417.77	178.77	371.22	186.4	246.28	379.04	264.03	249.73	218.79	293.07	764.36	1572.76	1081.39	387.02	1044.52	409.15	1081.39	423.61	743.43	591.22	698.41	713.11	902.89	836.53	543.96	713.11	743.43	521.76
INCENP	348.71	323.03	135.24	147.06	116.78	105.15	215.77	113.56	155.5	148.09	63.0	33.06	231.32	87.65	105.15	115.16	90.77	97.36	78.34	100.13	95.34	78.89	56.68	24.28	17.51	29.27	130.6	43.02	40.64	120.94	31.9	113.56	40.64	72.01	285.03	620.67	172.65	234.57	567.1	417.77	507.46	124.37	295.11	242.88	454.09	567.1	376.41	454.09	232.94	122.64	1183.45	403.5
IQCB1	363.56	327.56	209.84	170.25	128.79	149.12	224.97	159.9	68.55	156.59	107.38	141.02	323.03	149.12	127.0	157.68	111.99	142.01	80.57	120.1	153.34	134.3	46.5	150.17	71.5	53.19	100.83	33.3	88.88	73.54	52.08	34.26	66.18	61.25	521.76	361.04	279.14	947.83	890.44	341.51	698.41	208.38	291.04	228.13	540.19	435.55	466.88	547.75	226.54	221.86	305.55	447.82
ITPRIPL1	64.34	43.32	22.59	35.76	10.79	3.32	4.43	4.82	1.97	3.53	8.38	5.45	32.59	0.56	3.89	4.13	2.61	6.36	6.57	12.64	4.13	19.53	5.54	3.96	6.41	5.11	5.96	6.89	4.7	8.32	2.32	6.26	1.08	15.0	60.82	181.28	19.82	7.75	45.21	5.63	36.01	18.29	22.26	46.18	41.81	34.75	13.12	44.25	41.81	28.86	70.51	47.17
KIF15	134.3	127.89	15.0	10.47	19.11	15.45	76.17	45.85	13.42	17.77	21.94	12.93	72.01	25.54	43.02	74.58	7.94	12.93	22.92	23.25	15.45	21.47	0.58	3.66	15.11	0.65	54.33	8.51	0.11	17.0	11.82	18.16	1.6	3.79	82.29	303.44	17.13	164.42	163.28	100.13	72.52	18.16	70.01	67.12	124.37	297.17	71.0	116.78	175.07	64.34	234.57	102.25
KIF23	260.38	323.03	20.71	59.55	47.5	43.32	104.42	53.57	92.05	36.27	43.94	31.67	127.0	41.52	93.35	57.08	8.92	40.93	20.56	66.65	15.56	32.13	1.11	4.9	18.29	0.22	95.34	7.34	1.27	70.01	5.59	35.25	0.78	5.82	211.31	616.37	56.68	277.2	417.77	295.11	400.71	39.5	229.72	249.73	432.53	743.43	423.61	329.84	785.88	109.66	780.44	269.6
KIN	536.45	339.14	190.34	237.86	165.57	221.86	356.05	206.94	106.63	267.73	251.48	158.79	194.36	171.45	204.07	397.93	197.09	149.12	172.65	185.11	248.0	262.2	81.14	102.97	113.56	135.24	271.48	128.79	199.85	153.34	129.69	127.0	212.78	92.7	323.03	450.94	267.73	346.29	307.69	307.69	260.38	260.38	320.8	215.77	209.84	409.15	262.2	208.38	275.28	327.56	279.14	161.02
KLHL42	205.5	176.29	148.09	110.43	125.24	63.0	80.01	67.59	68.55	120.94	92.7	89.51	114.36	76.17	89.51	75.11	66.18	32.36	61.68	56.28	53.95	101.54	36.79	75.11	49.91	58.71	83.45	63.45	38.67	156.59	110.43	76.17	47.84	124.37	181.28	323.03	197.09	212.78	323.03	96.68	417.77	147.06	74.06	67.12	371.22	217.27	178.77	341.51	146.03	154.42	169.07	214.27
KSR2	1.75	1.38	7.51	2.05	0.0	0.47	0.42	0.42	0.47	0.0	0.84	0.41	0.84	0.4	0.0	0.0	2.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.39	0.0	0.0	9.06	0.58	0.77	0.45	0.56	4.13	9.7	3.86	8.19	4.78	1.73	0.88	2.01	3.53	5.15	1.31	10.31	7.46	0.62	2.53	1.95	15.11	0.84
L3MBTL1	39.22	33.54	123.5	35.5	37.05	31.45	49.91	32.13	11.55	105.89	40.93	19.53	108.14	71.0	69.52	73.03	41.22	48.87	27.25	12.36	73.03	40.36	14.78	20.86	17.13	24.63	29.7	25.72	25.54	40.93	6.36	22.75	9.78	19.68	124.37	173.85	181.28	51.35	105.15	114.36	194.36	29.48	86.43	84.04	124.37	176.29	135.24	195.72	363.56	49.91	381.68	186.4
LMNB1	780.44	872.1	133.36	186.4	244.57	202.66	346.29	336.79	403.5	285.03	162.14	161.02	866.07	173.85	603.67	450.94	128.79	106.63	205.5	507.46	153.34	189.02	58.71	206.94	126.12	78.89	514.56	126.12	38.67	587.13	83.45	264.03	45.53	72.52	896.64	1561.89	182.55	432.53	1081.39	312.0	1066.48	264.03	329.84	301.33	718.08	2090.03	603.67	647.07	1096.5	267.73	1498.22	603.67
LMNB2	493.56	759.08	297.17	341.51	228.13	132.44	248.0	172.65	199.85	215.77	198.47	248.0	265.87	149.12	166.73	244.57	104.42	162.14	153.34	271.48	201.25	176.29	83.45	118.43	66.65	52.45	307.69	72.01	55.89	153.34	92.05	147.06	52.08	90.14	583.07	1191.69	348.71	312.0	785.88	423.61	819.3	260.38	718.08	713.11	1208.34	854.13	493.56	909.17	688.78	262.2	1199.98	967.76
LMO3	20.26	15.0	12.18	8.58	4.28	9.2	19.82	3.66	0.95	2.71	9.7	7.94	9.78	15.11	1.91	7.34	2.81	0.0	1.41	9.56	6.36	0.0	6.16	10.96	3.53	1.93	2.68	1.17	4.31	4.98	14.24	4.06	3.82	2.94	295.11	80.57	1397.83	9.7	555.41	379.04	679.29	1508.65	1359.57	5751.61	194.36	738.29	155.5	76.17	11.38	2148.82	21.47	23.76
LPCAT4	503.95	591.22	536.45	563.18	251.48	107.38	205.5	215.77	54.33	52.82	134.3	170.25	295.11	75.11	131.51	142.01	180.02	91.41	127.0	166.73	56.28	212.78	51.35	76.17	76.71	75.11	297.17	54.33	141.02	127.0	52.45	45.21	137.14	93.35	764.36	1268.46	708.18	738.29	656.11	490.14	1127.35	291.04	708.18	603.67	836.53	780.44	1030.12	633.73	1936.53	457.25	878.17	785.88
LRP8	148.09	72.01	38.95	47.84	14.78	10.08	46.5	7.34	4.62	1.41	4.9	3.29	32.82	4.28	28.45	3.79	1.68	5.63	3.06	34.75	13.22	17.13	7.17	3.06	0.99	5.63	23.76	1.11	17.25	9.41	1.46	13.12	1.01	0.97	178.77	262.2	58.71	87.03	2104.58	83.45	915.51	88.88	108.14	182.55	460.44	679.29	1498.22	429.54	356.05	120.1	325.29	155.5
MAK	5.45	4.66	2.58	0.84	0.0	0.49	0.8	1.17	0.91	0.52	0.88	0.42	5.23	0.0	1.25	0.82	0.82	0.49	0.0	0.0	0.4	0.49	0.0	5.02	3.63	0.0	1.81	0.0	2.56	1.6	1.14	0.84	0.15	0.2	13.32	7.51	2.61	3.82	15.8	3.41	6.94	9.48	2.2	28.04	3.82	5.54	1.46	2.39	8.58	10.79	7.4	10.63
MASTL	231.32	201.25	73.03	75.11	50.63	91.41	161.02	80.57	64.8	63.45	43.32	38.4	122.64	62.56	96.01	119.26	53.57	48.18	46.84	43.94	53.95	50.27	12.0	55.49	55.1	28.45	105.15	58.3	42.11	37.32	68.07	34.02	77.25	49.21	141.02	273.37	129.69	332.14	155.5	100.83	150.17	98.73	67.59	111.21	161.02	258.57	169.07	224.97	318.57	127.0	217.27	191.67
MCM10	120.94	94.67	3.29	7.51	13.72	18.97	84.63	21.47	37.05	14.14	18.03	6.89	70.01	10.79	40.36	37.05	6.36	3.69	10.16	28.65	12.18	7.75	2.94	1.2	0.39	0.95	66.18	8.19	3.86	29.91	6.21	4.17	4.98	2.97	74.06	187.71	10.71	86.43	91.41	106.63	50.27	10.88	58.3	78.34	111.99	149.12	81.14	125.24	120.1	24.63	277.2	44.57
MGME1	540.19	555.41	563.18	327.56	241.19	264.03	285.03	256.78	186.4	379.04	297.17	205.5	423.61	312.0	269.6	406.31	193.01	307.69	251.48	153.34	316.37	215.77	126.12	144.01	108.9	158.79	373.81	175.07	161.02	155.5	149.12	181.28	139.07	135.24	547.75	624.99	351.14	327.56	842.36	229.72	470.14	351.14	490.14	318.57	575.03	525.39	460.44	563.18	607.87	307.69	559.28	476.71
MMS22L	77.79	111.99	49.21	24.11	12.18	18.43	37.05	19.11	33.06	25.91	12.55	11.38	89.51	17.13	25.72	26.28	16.75	6.01	4.66	18.29	11.47	10.71	4.28	2.94	4.39	5.73	24.46	13.62	4.78	15.68	4.06	6.26	3.32	5.23	76.71	96.68	39.5	105.15	175.07	95.34	165.57	21.63	50.27	43.63	145.02	171.45	85.22	165.57	127.0	51.35	189.02	81.71
MTA2	1583.71	1447.15	830.75	941.27	830.75	624.99	860.08	941.27	620.67	620.67	679.29	638.15	1015.93	708.18	633.73	521.76	796.86	518.15	603.67	902.89	624.99	698.41	356.05	669.92	708.18	511.0	860.08	307.69	426.57	651.58	423.61	450.94	346.29	460.44	1561.89	1583.71	1259.69	1159.07	1819.35	1008.9	1709.26	928.3	1628.26	1167.14	1519.15	2240.11	2061.24	1277.29	1208.34	1096.5	2485.67	1487.87
NAA25	177.53	189.02	113.56	75.11	111.21	75.11	161.02	67.59	105.15	94.01	64.8	88.26	143.01	82.29	75.64	77.25	62.12	63.0	48.87	86.43	62.56	88.88	29.06	77.79	139.07	63.89	105.15	43.94	41.81	60.82	46.84	32.13	47.84	46.5	189.02	327.56	151.22	236.21	348.71	244.57	190.34	101.54	116.78	85.82	177.53	305.55	218.79	229.72	190.34	121.79	447.82	236.21
NCAPD2	624.99	665.29	366.09	312.0	114.36	165.57	287.01	167.9	336.79	217.27	167.9	128.79	525.39	183.82	185.11	267.73	95.34	146.03	121.79	123.5	221.86	111.99	60.39	69.52	27.44	49.21	163.28	64.8	40.64	172.65	29.27	152.28	22.1	102.97	567.1	961.07	400.71	525.39	791.35	500.46	1286.18	256.78	854.13	878.17	1073.91	1378.57	1073.91	884.29	915.51	275.28	1508.65	819.3
NCAPD3	320.8	244.57	150.17	112.77	126.12	187.71	190.34	154.42	147.06	83.45	92.05	77.79	197.09	105.15	95.34	87.65	138.1	94.67	71.5	138.1	131.51	105.89	127.89	134.3	204.07	124.37	285.03	136.19	81.14	287.01	194.36	171.45	149.12	191.67	309.83	575.03	244.57	231.32	518.15	289.02	607.87	136.19	165.57	339.14	353.59	409.15	320.8	353.59	314.17	159.9	638.15	483.38
NCAPH	289.02	236.21	30.34	38.95	89.51	52.82	151.22	141.02	82.87	59.13	51.71	65.72	246.28	40.64	162.14	84.63	17.64	32.82	92.05	158.79	35.76	33.3	5.02	9.2	4.43	2.51	116.78	13.12	10.08	77.25	8.58	47.5	3.41	6.06	251.48	612.11	40.93	599.49	316.37	348.71	371.22	38.67	132.44	239.52	511.0	450.94	264.03	368.65	376.41	81.71	480.04	182.55
NDE1	813.63	808.0	265.87	343.89	115.16	195.72	291.04	138.1	229.72	69.03	98.04	80.01	303.44	127.89	218.79	93.35	77.25	121.79	90.77	98.04	186.4	128.79	39.22	88.26	68.55	60.39	110.43	87.03	102.25	119.26	45.85	108.9	57.49	69.03	567.1	429.54	323.03	791.35	454.09	379.04	1369.04	264.03	563.18	264.03	723.08	728.11	426.57	909.17	802.41	312.0	423.61	1143.1
NLRP2	96.68	109.66	7.34	180.02	13.12	23.25	2.92	13.83	5.06	3.47	1.28	6.06	140.04	0.0	8.51	0.77	4.21	6.11	10.88	0.67	4.66	4.31	6.21	7.0	27.64	0.0	4.21	0.0	8.32	6.11	3.32	8.51	3.76	6.89	1088.92	435.55	144.01	3.59	688.78	2351.53	620.67	136.19	246.28	92.05	195.72	88.26	1331.57	84.63	921.88	12.18	1250.98	31.45
NPY4R	7.28	2.53	3.26	0.42	0.51	0.0	2.2	0.0	0.0	0.0	0.0	0.43	0.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.91	0.0	1.27	0.0	1.06	0.0	7.17	0.65	0.0	0.91	0.0	0.0	37.32	12.74	115.16	0.52	24.46	3.06	19.11	32.13	361.04	21.94	11.73	23.08	13.93	6.89	1.38	110.43	26.28	25.17
NSUN7	39.5	23.93	42.11	31.45	1.81	0.79	1.16	3.59	0.0	0.83	0.77	1.55	2.16	54.33	0.75	4.46	36.01	2.73	2.51	0.0	0.69	1.79	7.06	7.17	16.63	8.45	2.86	7.82	0.6	4.28	0.0	0.83	6.52	0.0	67.59	205.5	44.57	120.1	143.01	1.13	88.26	63.0	19.53	170.25	14.03	135.24	38.95	41.22	44.89	69.52	136.19	10.47
NUP85	1030.12	1096.5	1051.79	1073.91	802.41	842.36	954.43	674.59	665.29	954.43	748.61	748.61	1322.37	954.43	988.12	1111.82	728.11	607.87	1059.11	1551.09	713.11	785.88	514.56	656.11	753.83	620.67	759.08	470.14	660.68	599.49	521.76	507.46	470.14	379.04	1572.76	3280.18	1572.76	1896.65	2351.53	2555.58	1674.06	629.35	769.69	1015.93	1277.29	2047.0	1151.06	1250.98	1487.87	819.3	1733.13	866.07
OBSCN	103.69	75.64	224.97	105.89	18.97	22.75	34.75	12.93	8.13	780.44	16.51	34.26	24.46	8.85	612.11	8.51	27.64	114.36	21.63	27.25	8.32	55.1	12.74	6.26	82.29	18.29	27.25	6.94	55.89	6.73	5.87	19.25	10.55	10.55	102.97	679.29	236.21	82.29	92.05	81.71	208.38	38.4	59.13	97.36	90.77	253.23	450.94	336.79	536.45	88.26	665.29	287.01
PCLO	59.97	15.22	127.89	15.91	0.59	5.45	12.55	0.53	0.0	6.94	0.0	0.0	45.21	0.0	0.0	0.53	7.88	0.0	0.0	1.91	0.0	0.0	0.0	0.0	4.74	8.25	18.29	0.0	2.36	1.19	4.9	96.68	3.76	0.0	31.67	85.22	28.45	25.54	105.89	236.21	47.84	9.78	37.59	30.78	33.78	31.22	25.72	43.32	49.91	22.26	53.95	0.78
PHF12	414.87	366.09	441.64	435.55	249.73	208.38	239.52	214.27	279.14	273.37	176.29	164.42	497.0	361.04	376.41	269.6	260.38	202.66	323.03	124.37	273.37	224.97	127.89	291.04	134.3	140.04	253.23	90.14	108.9	153.34	150.17	138.1	123.5	98.04	547.75	1111.82	595.34	547.75	595.34	591.22	967.76	346.29	242.88	540.19	607.87	587.13	728.11	454.09	470.14	358.54	1111.82	567.1
PIF1	55.1	46.84	36.01	31.67	36.79	28.45	90.77	49.56	67.59	31.22	48.18	21.01	138.1	63.89	50.98	68.07	6.52	29.7	21.47	40.07	10.47	33.06	3.35	3.56	0.84	2.07	52.45	5.92	7.34	37.85	2.89	30.34	16.88	2.56	126.12	414.87	71.0	98.04	325.29	64.8	185.11	10.79	255.0	115.16	131.51	497.0	175.07	121.79	656.11	69.03	813.63	147.06
PIGS	813.63	1037.29	1250.98	1359.57	301.33	267.73	511.0	267.73	248.0	351.14	202.66	193.01	536.45	307.69	486.75	450.94	283.05	224.97	366.09	198.47	299.25	346.29	271.48	205.5	99.43	194.36	336.79	113.56	136.19	180.02	141.02	318.57	123.5	91.41	1529.73	1268.46	1277.29	1508.65	1127.35	1508.65	1806.78	1175.27	1104.13	1794.29	1870.53	1388.16	1023.0	1397.83	878.17	1015.93	1467.37	974.5
PKP3	518.15	297.17	12.74	19.97	3.11	1.66	121.79	4.58	2.53	8.13	5.32	1.85	15.0	0.0	23.59	1.5	10.88	6.89	1.55	21.16	0.64	7.0	13.52	0.89	18.97	4.03	8.58	30.56	9.78	0.0	1.83	28.65	119.26	1.33	748.61	796.86	417.77	1023.0	890.44	733.19	1242.34	239.52	301.33	607.87	947.83	559.28	1572.76	1127.35	764.36	318.57	2119.22	642.59
PLK4	209.84	173.85	23.08	22.26	13.12	21.94	45.21	24.81	25.35	31.67	31.22	24.28	68.07	50.63	58.3	41.22	9.27	26.47	30.12	40.64	14.45	18.29	5.36	3.17	10.31	3.2	69.03	30.56	10.63	55.1	6.36	36.79	4.82	10.63	113.56	212.78	43.63	163.28	128.79	142.01	145.02	26.1	164.42	29.7	130.6	361.04	104.42	165.57	115.97	43.32	291.04	86.43
PM20D2	88.26	80.01	92.05	95.34	92.7	64.34	95.34	27.44	80.01	126.12	37.05	63.0	271.48	44.25	91.41	173.85	18.84	23.25	23.59	59.13	55.49	86.43	17.77	136.19	64.34	17.51	20.86	30.56	46.5	47.84	74.58	49.91	38.67	80.01	126.12	503.95	98.73	444.72	87.65	152.28	293.07	69.03	58.71	52.45	111.21	85.22	146.03	180.02	339.14	81.14	457.25	158.79
PPM1G	2075.59	1977.24	1508.65	1605.83	1135.2	890.44	1794.29	1977.24	1583.71	1081.39	1191.69	1295.13	1769.57	915.51	1572.76	1508.65	1447.15	842.36	941.27	1628.26	1977.24	941.27	808.0	1135.2	1104.13	703.28	1350.18	813.63	728.11	1191.69	860.08	854.13	884.29	1088.92	2520.38	4123.49	1407.55	2090.03	2895.31	2255.7	2271.4	1259.69	1572.76	1883.54	2796.65	2209.26	2004.85	1936.53	2468.49	1183.45	3982.99	2047.0
