	TCGA.BH.A1FU.11A.23R.A14D.07	GTEX.ZF2S.2026.SM.5E461	GTEX.YFC4.1426.SM.5IFJG	TCGA.W5.AA33.01A.11R.A41I.07	TCGA.FV.A23B.01A.11R.A16W.07	TCGA.CC.A9FV.01A.11R.A37K.07	TCGA.CC.5261.01A.01R.A131.07	TCGA.DD.AADW.01A.11R.A39D.07	TCGA.2Y.A9H5.01A.11R.A38B.07	TCGA.XR.A8TC.01A.11R.A36F.07	TCGA.DD.A1EH.01A.11R.A131.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.11GSP.0626.SM.5986T	GTEX.ZYT6.0626.SM.5E45V	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.139TU.0826.SM.5IJFG	GTEX.12WSD.1426.SM.5GCN9	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.14753.1626.SM.5NQ9L	TCGA.MX.A5UG.01A.21R.A31P.31	TCGA.BR.8367.01A.11R.2343.13	TCGA.BR.8683.01A.11R.2402.13
PIGG	915.51	1044.52	1167.14	947.83	830.75	587.13	813.63	802.41	718.08	651.58	967.76	303.44	669.92	366.09	309.83	251.48	223.41	698.41	400.71	414.87	543.96	339.14	253.23	507.46	314.17	376.41	438.59	215.77	836.53	842.36	1304.15
POLR2B	1467.37	1977.24	1639.59	1044.52	785.88	642.59	1135.2	961.07	713.11	656.11	1322.37	332.14	555.41	297.17	325.29	356.05	500.46	420.68	249.73	406.31	616.37	400.71	373.81	493.56	255.0	275.28	395.18	185.11	1572.76	1277.29	1127.35
PPARD	450.94	339.14	518.15	432.53	450.94	460.44	1268.46	525.39	830.75	728.11	743.43	186.4	307.69	105.15	205.5	185.11	170.25	187.71	269.6	323.03	251.48	124.37	137.14	137.14	320.8	154.42	153.34	255.0	733.19	432.53	921.88
PRPF4B	1167.14	1127.35	1037.29	713.11	521.76	497.0	1104.13	854.13	620.67	819.3	995.0	85.22	518.15	237.86	231.32	185.11	301.33	497.0	163.28	329.84	361.04	256.78	178.77	312.0	251.48	255.0	417.77	137.14	1127.35	974.5	669.92
RAB28	368.65	403.5	400.71	267.73	186.4	395.18	244.57	323.03	253.23	147.06	341.51	118.43	246.28	142.01	218.79	136.19	101.54	161.02	115.97	146.03	176.29	140.04	106.63	123.5	146.03	169.07	121.79	92.7	273.37	246.28	283.05
RALGAPB	629.35	684.02	791.35	348.71	309.83	211.31	555.41	351.14	249.73	226.54	373.81	63.45	301.33	72.52	186.4	59.55	104.42	127.0	57.49	139.07	180.02	110.43	66.18	85.82	74.58	130.6	204.07	37.32	665.29	555.41	1498.22
RCOR1	397.93	483.38	638.15	363.56	285.03	249.73	190.34	224.97	249.73	157.68	303.44	72.52	275.28	97.36	118.43	70.01	163.28	103.69	139.07	185.11	159.9	111.21	120.94	124.37	63.89	172.65	134.3	58.71	417.77	454.09	460.44
RFX3	87.03	96.01	100.83	50.63	32.59	18.7	49.21	48.87	18.16	38.12	50.27	6.52	38.12	7.22	13.32	9.56	7.94	20.26	7.63	17.64	24.28	17.77	6.84	10.71	11.82	19.39	16.15	9.27	77.79	76.71	56.68
RFX7	251.48	295.11	305.55	173.85	120.1	130.6	130.6	122.64	63.0	99.43	255.0	17.51	99.43	42.11	60.39	28.65	72.01	78.34	57.89	70.51	43.02	40.07	54.72	47.5	55.1	49.21	19.53	16.15	297.17	226.54	256.78
RNF169	211.31	273.37	221.86	157.68	69.03	46.18	122.64	121.79	77.25	77.79	133.36	21.63	91.41	21.01	41.52	21.01	63.89	43.94	48.52	53.19	50.27	59.55	38.12	63.89	27.64	92.05	63.45	52.82	220.32	208.38	186.4
SART3	791.35	769.69	723.08	708.18	493.56	426.57	583.07	665.29	423.61	583.07	500.46	178.77	420.68	167.9	255.0	141.02	195.72	237.86	146.03	275.28	256.78	236.21	209.84	251.48	197.09	231.32	293.07	82.87	775.05	647.07	633.73
SENP6	1477.58	1617.0	1304.15	616.37	381.68	656.11	796.86	921.88	995.0	718.08	500.46	83.45	1216.75	403.5	624.99	339.14	325.29	603.67	329.84	466.88	599.49	406.31	255.0	426.57	473.41	684.02	620.67	215.77	1143.1	1242.34	1331.57
SLC30A9	934.76	1151.06	830.75	684.02	366.09	571.05	947.83	813.63	444.72	473.41	703.28	223.41	318.57	334.46	454.09	409.15	460.44	293.07	242.88	414.87	346.29	323.03	438.59	473.41	236.21	373.81	325.29	392.44	813.63	1143.1	708.18
