	TCGA.BA.5556.01A.01R.1514.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.CR.7376.01A.11R.2132.07	TCGA.CN.6996.01A.11R.1915.07	TCGA.CV.6938.01A.11R.1915.07	TCGA.CN.4733.01A.02R.1873.07	TCGA.CN.6017.01A.11R.1686.07	TCGA.CN.5363.01A.01R.1436.07	TCGA.CN.6995.01A.31R.2016.07	TCGA.CR.7377.01A.11R.2016.07	TCGA.D6.6515.01A.21R.1873.07	TCGA.CQ.6219.01A.11R.1915.07	TCGA.CQ.5327.01A.01R.1686.07	GTEX.13U4I.1426.SM.5J2M3	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.12WSD.0826.SM.5GCNE	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.S7SE.0926.SM.2XCD6	GTEX.Y111.1026.SM.4TT22	GTEX.V1D1.0826.SM.3P5ZA	GTEX.X3Y1.0626.SM.3P5YS	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.13FTY.0126.SM.5J2NZ	GTEX.117YW.0526.SM.5H11C	GTEX.11NV4.1126.SM.5HL6J	GTEX.X4EO.0926.SM.3P5Z2	GTEX.13FLV.0426.SM.5KLZA	GTEX.11NUK.0826.SM.5HL4U	GTEX.SIU8.0926.SM.5SI87	GTEX.ZYT6.0526.SM.5GIEA	GTEX.SUCS.0626.SM.32PM5	GTEX.13G51.0426.SM.5K7Z5	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	TCGA.33.4589.01A.01R.1443.07
TTLL7	24.99	16.39	57.49	16.75	5.15	47.17	59.13	12.18	4.31	19.11	29.91	17.64	15.45	109.66	40.07	26.47	607.87	10.47	73.54	66.18	112.77	58.3	507.46	341.51	63.0	47.84	88.26	31.9	78.89	14.45	130.6	55.89	389.72	10.0	54.33	73.54	42.11
USHBP1	8.19	4.24	40.93	28.45	3.63	28.65	32.82	9.56	9.85	16.63	18.97	13.22	14.03	400.71	154.42	54.33	123.5	46.5	256.78	819.3	575.03	279.14	567.1	126.12	142.01	86.43	111.21	41.52	193.01	100.83	599.49	169.07	116.78	106.63	256.78	67.59	4.62
WDR93	0.0	2.23	1.39	0.0	0.0	1.89	0.58	0.48	0.48	0.53	0.92	0.0	2.41	12.18	82.29	17.0	82.29	36.01	63.0	36.01	59.55	100.83	23.76	55.89	6.94	2.94	5.59	26.86	24.63	9.48	73.54	35.0	4.78	5.11	5.23	3.06	1.6
YPEL1	25.72	1.69	25.91	16.75	3.59	20.11	51.71	8.25	6.11	21.78	23.42	7.4	13.72	84.63	123.5	52.82	128.79	97.36	146.03	231.32	135.24	432.53	473.41	107.38	86.43	47.84	164.42	98.73	113.56	81.71	201.25	169.07	105.89	120.1	205.5	135.24	5.32
ZCCHC11	373.81	150.17	384.34	320.8	303.44	381.68	366.09	1044.52	249.73	361.04	332.14	291.04	387.02	624.99	563.18	423.61	825.0	521.76	1407.55	460.44	476.71	1044.52	660.68	1001.93	860.08	713.11	1104.13	387.02	890.44	1135.2	540.19	368.65	500.46	860.08	708.18	836.53	100.13
ZMAT1	3.69	0.85	14.89	7.57	5.63	12.0	21.32	3.47	3.89	12.27	9.85	7.57	5.5	579.04	72.01	125.24	387.02	114.36	463.65	420.68	249.73	579.04	791.35	43.94	170.25	9.48	351.14	180.02	460.44	129.69	463.65	264.03	154.42	136.19	74.06	96.01	1.58
ZNF345	6.31	0.64	33.78	32.13	4.46	23.59	24.63	16.75	6.62	17.77	18.84	9.34	5.87	143.01	76.17	47.5	155.5	94.01	256.78	97.36	128.79	167.9	206.94	53.57	124.37	39.79	131.51	78.34	137.14	127.89	147.06	81.71	91.41	65.26	54.72	69.52	4.03
ZNF43	13.72	2.68	55.49	22.26	8.71	37.05	61.25	9.06	5.54	28.86	21.16	10.55	10.71	142.01	92.05	94.67	205.5	111.99	679.29	287.01	312.0	507.46	195.72	77.79	409.15	101.54	120.94	62.12	155.5	128.79	147.06	60.82	63.45	82.87	66.18	61.68	4.74
ZNF638	1059.11	642.59	1199.98	1313.23	1096.5	902.89	1015.93	1529.73	1183.45	1088.92	1250.98	1037.29	947.83	2018.8	1662.49	1896.65	1769.57	1651.0	1991.0	2075.59	1467.37	2645.74	2335.28	3540.14	3190.46	1175.27	2335.28	988.12	2075.59	2935.74	1870.53	1437.15	1059.11	2520.38	1397.83	1583.71	351.14
ZNF83	63.45	176.29	232.94	68.07	26.1	128.79	150.17	46.5	32.36	108.14	141.02	187.71	31.67	921.88	281.09	674.59	620.67	423.61	688.78	934.76	698.41	629.35	1183.45	1096.5	1467.37	256.78	1159.07	638.15	1388.16	713.11	718.08	493.56	555.41	638.15	629.35	555.41	26.1
ZSWIM5	14.89	1.35	12.64	8.65	6.16	24.46	12.45	3.96	5.02	8.0	23.42	25.72	7.28	101.54	100.83	4.94	75.11	15.11	89.51	107.38	52.45	120.1	114.36	16.88	49.56	7.46	22.26	13.03	77.25	11.21	76.17	71.5	15.45	31.9	29.27	19.39	9.34
