	TCGA.BT.A20O.01A.21R.A14Y.07	TCGA.K4.A5RJ.01A.11R.A28M.07	TCGA.BP.4173.01A.02R.1289.07	TCGA.CJ.4890.01A.01R.1305.07	TCGA.B8.5551.01A.01R.1541.07	TCGA.B8.5162.01A.01R.1420.07	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.DD.AAEE.01A.11R.A41C.07	TCGA.G3.AAV2.01A.11R.A37K.07	TCGA.DD.AADG.01A.11R.A41C.07	TCGA.MI.A75I.01A.11R.A32O.07	TCGA.CC.A9FV.01A.11R.A37K.07	TCGA.DD.A4NR.01A.11R.A311.07	TCGA.FV.A496.01A.11R.A266.07	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.RC.A7SK.01A.11R.A352.07	TCGA.DD.A73B.01A.12R.A32O.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.G3.A5SI.01A.31R.A27V.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.ED.A7XO.01A.11R.A352.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.MI.A75G.01A.11R.A32O.07	TCGA.ZS.A9CE.01A.11R.A37K.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11GSP.0626.SM.5986T	GTEX.ZAB5.0426.SM.5CVMI	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.139TU.0826.SM.5IJFG	GTEX.12WSD.1426.SM.5GCN9	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.Q734.0326.SM.48U15	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.14753.1626.SM.5NQ9L	TCGA.78.8648.01A.11R.2403.07	TCGA.L4.A4E6.01A.11R.A24H.07
CD83	551.56	204.07	1111.82	392.44	341.51	429.54	915.51	1551.09	28.04	34.02	17.13	59.13	81.71	281.09	9.63	32.82	12.27	28.45	31.0	36.79	22.1	162.14	26.1	16.27	6.78	236.21	532.74	466.88	104.42	122.64	57.49	103.69	107.38	825.0	102.25	251.48	111.99	89.51	86.43	242.88	137.14	206.94	198.47	55.89	616.37	1447.15
CD84	466.88	249.73	603.67	748.61	708.18	674.59	358.54	591.22	4.1	7.82	2.36	9.06	89.51	201.25	3.17	2.94	2.32	6.62	4.62	8.19	5.23	14.24	8.85	4.74	0.95	112.77	26.28	29.06	80.57	39.22	15.0	70.51	22.43	8.71	37.05	135.24	8.99	87.65	92.05	53.57	87.65	12.27	12.55	22.59	441.64	583.07
CD86	872.1	651.58	981.29	1066.48	1183.45	947.83	684.02	866.07	16.51	17.9	6.89	32.36	267.73	211.31	4.82	5.73	5.68	14.89	23.08	13.52	7.94	63.45	16.75	11.82	4.5	334.46	139.07	204.07	152.28	28.04	48.87	128.79	43.63	89.51	46.18	126.12	56.68	175.07	145.02	64.8	214.27	59.55	99.43	21.01	575.03	718.08
CD97	2664.15	1605.83	3325.99	2434.5	2682.69	2935.74	1233.75	2303.12	193.01	275.28	74.58	497.0	2701.35	1268.46	63.0	123.5	616.37	91.41	309.83	234.57	267.73	412.0	93.35	85.82	43.32	1936.53	1088.92	3349.13	503.95	656.11	307.69	356.05	872.1	529.06	514.56	1806.78	476.71	400.71	497.0	769.69	1191.69	665.29	629.35	928.3	2178.83	1936.53
CECR1	2875.3	1561.89	5112.16	4450.27	4575.41	5255.91	4639.29	6561.36	202.66	155.5	131.51	75.11	591.22	1175.27	81.14	56.68	47.84	575.03	60.39	37.85	33.78	171.45	124.37	45.53	165.57	1757.34	583.07	220.32	928.3	195.72	166.73	616.37	127.0	59.55	343.89	595.34	269.6	902.89	961.07	211.31	1008.9	329.84	267.73	116.78	3146.52	2835.7
CLEC4A	297.17	379.04	305.55	356.05	406.31	457.25	199.85	444.72	21.01	25.91	15.0	34.02	126.12	154.42	18.43	7.88	18.7	18.84	45.21	13.93	9.41	49.21	23.08	20.41	16.39	87.03	19.53	125.24	31.45	66.65	27.44	27.25	111.99	70.51	36.27	50.98	36.53	8.71	44.57	27.84	36.27	58.3	104.42	28.65	293.07	271.48
CLEC7A	808.0	748.61	1143.1	1175.27	753.83	830.75	466.88	620.67	11.21	29.7	6.67	19.53	130.6	291.04	9.63	4.39	6.94	11.64	9.13	20.86	6.21	48.52	10.31	9.2	3.2	400.71	189.02	148.09	194.36	50.98	19.11	55.1	35.25	60.82	55.89	86.43	32.82	76.17	102.97	16.03	70.51	82.87	191.67	74.58	563.18	1096.5
CLNK	20.86	9.63	50.98	20.56	29.48	19.82	2.97	5.92	0.36	0.0	0.0	0.37	9.2	7.22	0.43	0.35	0.0	0.0	0.0	0.0	0.0	0.77	0.0	0.0	0.0	3.14	5.77	2.73	1.27	6.46	5.92	10.08	4.54	0.0	2.23	12.83	5.73	1.27	0.0	1.38	3.53	0.0	2.25	0.64	10.24	12.18
COTL1	7081.29	5255.91	7589.61	6745.86	6381.92	6561.36	5995.9	7280.4	246.28	260.38	142.01	307.69	2193.99	2816.11	74.58	58.71	177.53	146.03	166.73	121.79	65.72	718.08	358.54	120.94	105.89	6745.86	1617.0	1295.13	1199.98	587.13	426.57	2351.53	500.46	796.86	532.74	1674.06	521.76	1674.06	2875.3	454.09	1662.49	954.43	684.02	420.68	4298.64	4639.29
CR1	70.51	153.34	33.3	140.04	155.5	118.43	139.07	99.43	0.75	0.78	0.77	0.39	48.18	58.71	0.46	0.39	0.39	1.19	0.85	0.42	0.0	6.06	5.32	0.74	0.85	90.77	6.84	5.73	21.63	9.78	4.17	49.56	4.7	13.22	15.56	5.06	6.21	42.11	33.78	3.44	38.12	11.47	12.93	5.06	163.28	78.89
