	TCGA.E9.A2JT.01A.22R.A18M.07	TCGA.AO.A0JC.01A.11R.A056.07	TCGA.R6.A6XG.01B.11R.A336.31	GTEX.13O61.1226.SM.5KM21	GTEX.11EQ9.0926.SM.5HL6I	TCGA.85.A4PA.01A.11R.A24Z.07	TCGA.HU.A4HB.01A.12R.A251.31	TCGA.CG.5732.01A.11R.1602.13	TCGA.HU.A4GJ.01A.11R.A251.31	TCGA.VQ.AA6A.01A.11R.A414.31	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.CG.5734.01A.11R.1602.13	TCGA.HF.7132.01A.11R.2055.13	TCGA.BR.6564.01A.12R.1884.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.4267.01A.01R.1131.13	TCGA.CD.8530.01A.11R.2343.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.IN.7808.01A.11R.2203.13	TCGA.VQ.A8PX.01A.12R.A414.31	TCGA.CG.4460.01A.01R.1157.13	TCGA.VQ.A8PU.01A.12R.A414.31	TCGA.VQ.A928.01A.11R.A414.31	TCGA.BR.8687.01A.11R.2402.13	TCGA.BR.6564.11A.01R.1884.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13
LPXN	2090.03	2555.58	77.79	209.84	136.19	2133.97	1073.91	444.72	2240.11	106.63	915.51	624.99	514.56	249.73	389.72	204.07	260.38	177.53	1104.13	241.19	183.82	78.89	183.82	166.73	447.82	447.82	1359.57	674.59	642.59	1259.69
LTA	303.44	400.71	3.47	1.0	0.0	476.71	126.12	35.5	214.27	3.59	59.97	46.18	39.22	27.44	27.25	8.45	13.22	18.43	170.25	10.55	5.32	4.46	12.55	3.32	31.22	14.35	125.24	59.13	3.89	146.03
LTB	6121.9	10225.32	47.17	21.78	10.39	14867.79	2468.49	796.86	3589.58	255.0	1697.45	514.56	511.0	438.59	575.03	133.36	336.79	173.85	5633.22	295.11	30.12	62.56	118.43	137.14	579.04	260.38	3168.41	878.17	285.03	1936.53
LY9	1001.93	1467.37	0.89	10.39	2.76	836.53	279.14	218.79	890.44	11.3	395.18	198.47	143.01	59.13	327.56	32.82	41.81	46.18	583.07	53.95	36.53	2.46	13.72	20.71	236.21	336.79	743.43	483.38	287.01	571.05
MAP4K1	1991.0	2468.49	13.32	85.82	27.05	4388.98	796.86	228.13	2163.77	41.22	808.0	291.04	332.14	187.71	343.89	51.71	119.26	164.42	1225.22	159.9	81.71	23.93	74.06	45.85	318.57	221.86	1159.07	361.04	341.51	884.29
MCOLN2	341.51	563.18	6.67	21.78	3.53	974.5	291.04	52.82	854.13	64.8	305.55	99.43	198.47	31.0	116.78	77.25	88.88	55.49	206.94	76.17	59.55	140.04	24.28	120.94	63.89	115.16	281.09	95.34	32.13	228.13
MEF2B	371.22	356.05	44.57	37.32	33.54	3325.99	521.76	157.68	1044.52	10.08	115.16	142.01	38.67	54.72	307.69	33.06	12.93	21.16	209.84	28.04	25.35	15.34	44.89	3.38	84.63	178.77	343.89	579.04	175.07	1096.5
MEF2C	1151.06	1286.18	86.43	275.28	297.17	1066.48	974.5	159.9	2119.22	58.3	1216.75	162.14	273.37	314.17	353.59	118.43	743.43	134.3	954.43	178.77	138.1	83.45	221.86	115.16	255.0	314.17	612.11	400.71	447.82	669.92
MS4A1	9945.68	17927.91	0.0	2.1	0.4	16045.82	4123.49	281.09	9215.48	4.43	3515.68	171.45	603.67	91.41	463.65	50.63	176.29	18.7	5076.84	72.52	37.85	4.39	28.86	3.69	314.17	189.02	3395.89	587.13	128.79	2720.15
MYO1G	961.07	1167.14	8.65	28.24	17.9	1388.16	397.93	138.1	866.07	43.32	329.84	204.07	258.57	119.26	253.23	52.08	90.14	66.65	607.87	92.05	43.32	26.47	106.63	31.0	164.42	150.17	563.18	229.72	146.03	343.89
NCF1	2133.97	2163.77	17.25	68.55	103.69	3614.55	915.51	532.74	1857.6	41.22	647.07	624.99	289.02	223.41	336.79	159.9	132.44	108.14	1295.13	122.64	105.15	29.91	67.12	43.63	529.06	209.84	2271.4	638.15	395.18	1183.45
NCKAP1L	1457.23	1583.71	11.91	148.09	59.13	1447.15	688.78	189.02	1369.04	54.33	616.37	267.73	368.65	173.85	242.88	158.79	152.28	103.69	759.08	114.36	139.07	42.11	103.69	96.68	303.44	260.38	642.59	275.28	165.57	476.71
NCR3	323.03	470.14	0.0	4.13	0.0	521.76	64.34	49.56	159.9	4.39	96.68	41.52	27.05	15.91	33.54	5.06	17.64	11.64	183.82	8.92	6.36	2.92	6.84	4.28	52.82	41.52	236.21	63.45	32.59	124.37
NETO1	43.02	99.43	0.0	5.63	0.0	52.45	72.52	0.95	68.55	0.0	6.31	12.83	3.59	16.88	7.75	2.48	1.57	0.0	37.59	0.0	2.68	0.0	2.03	1.57	1.07	1.23	4.74	1.25	0.0	25.72
NUGGC	140.04	113.56	0.0	0.84	0.84	490.14	154.42	34.51	426.57	8.45	83.45	54.33	26.47	4.21	67.59	1.95	7.57	5.77	66.65	23.42	5.45	2.86	1.79	1.62	50.63	81.14	76.71	84.63	85.82	173.85
P2RX5	2090.03	2303.12	0.0	10.63	2.43	5479.15	941.27	117.6	1857.6	17.0	441.64	297.17	162.14	98.73	177.53	14.14	114.36	14.67	1104.13	72.01	29.48	31.45	28.86	32.13	127.0	82.29	1081.39	151.22	96.68	723.08
P2RY10	981.29	1030.12	0.0	8.78	0.0	457.25	242.88	116.78	540.19	8.0	483.38	121.79	130.6	29.7	116.78	27.84	48.52	35.25	368.65	33.06	30.78	4.46	16.15	17.38	93.35	172.65	414.87	253.23	148.09	361.04
P2RY8	490.14	435.55	6.62	33.54	10.96	483.38	140.04	65.26	318.57	8.65	114.36	51.71	47.5	34.51	88.26	14.67	37.59	24.99	208.38	23.76	11.04	6.52	11.91	12.45	63.89	63.45	150.17	102.97	59.55	181.28
PARVG	1757.34	3081.75	36.01	141.02	98.73	3349.13	872.1	318.57	1651.0	77.25	808.0	441.64	473.41	325.29	336.79	202.66	277.2	131.51	1583.71	144.01	136.19	75.64	154.42	102.97	358.54	201.25	1286.18	406.31	309.83	878.17
PCED1B	819.3	988.12	40.64	44.57	20.56	1208.34	470.14	175.07	988.12	125.24	353.59	165.57	165.57	151.22	241.19	48.18	91.41	49.91	759.08	75.11	53.57	38.67	72.01	35.76	173.85	125.24	327.56	206.94	90.14	379.04
PDCD1	417.77	587.13	2.78	17.64	4.13	651.58	249.73	58.71	723.08	16.88	120.94	91.41	99.43	87.03	61.68	17.9	19.39	14.24	218.79	27.64	44.89	2.36	20.71	12.83	75.11	52.08	299.25	137.14	37.32	353.59
PGC	1.31	8.13	0.0	8046889.67	1634025.56	1685.71	229795.93	636586.81	506427.83	400098.69	2310861.52	1255646.43	2310861.52	1212874.47	2310861.52	3200796.55	1916442.45	1.011504819E7	10.55	1131651.83	1600397.78	805764.22	932018.1	5128124.01	672883.8	5690009.96	2025714.3	2126426.15	4885245.74	2654482.97
PIK3CD	1135.2	1295.13	26.28	189.02	159.9	2032.85	567.1	172.65	1295.13	92.7	483.38	169.07	299.25	178.77	185.11	55.49	131.51	62.12	872.1	115.97	70.01	35.0	117.6	102.25	256.78	129.69	441.64	169.07	111.99	332.14
PIK3CG	368.65	183.82	4.03	8.92	6.16	159.9	156.59	72.52	371.22	11.82	195.72	70.01	100.13	30.12	90.77	34.51	55.89	30.34	122.64	43.63	26.1	9.93	21.32	18.7	82.87	102.97	140.04	90.77	53.57	146.03
PLCG2	1572.76	1331.57	52.08	129.69	54.33	2335.28	921.88	265.87	2240.11	50.27	728.11	269.6	356.05	180.02	412.0	107.38	287.01	105.15	909.17	171.45	158.79	66.18	231.32	115.97	476.71	348.71	848.22	551.56	248.0	647.07
PNOC	417.77	403.5	0.0	18.43	0.0	733.19	142.01	109.66	387.02	5.96	194.36	137.14	57.49	48.18	151.22	9.41	7.57	25.17	211.31	17.38	12.93	2.97	6.84	4.78	99.43	161.02	414.87	373.81	211.31	420.68
POU2AF1	1896.65	1950.0	1.35	44.89	24.11	4639.29	2915.45	1073.91	7911.95	175.07	3103.19	2148.82	842.36	72.52	2573.36	57.89	232.94	242.88	3146.52	612.11	236.21	3.89	64.34	95.34	1268.46	1870.53	2956.17	4639.29	1561.89	3874.05
POU3F1	49.91	41.22	1.38	4.98	1.16	26.28	17.77	2.18	42.71	0.0	11.91	1.45	5.45	4.98	1.1	0.87	2.86	0.14	14.67	1.62	1.73	0.11	0.92	0.43	1.22	0.31	5.15	4.24	0.37	11.91
PPP1R16B	1286.18	599.49	11.47	59.97	58.3	836.53	264.03	156.59	703.28	31.45	532.74	131.51	211.31	105.15	262.2	55.49	153.34	47.17	486.75	74.06	58.71	15.68	66.65	35.76	165.57	180.02	529.06	289.02	197.09	323.03
PTK2B	2434.5	1857.6	212.78	303.44	167.9	3564.78	1487.87	669.92	2335.28	723.08	1030.12	684.02	854.13	356.05	1159.07	183.82	356.05	314.17	1369.04	688.78	287.01	289.02	387.02	320.8	1242.34	890.44	1427.22	1001.93	616.37	1037.29
PTPN7	1477.58	1437.15	12.45	54.72	21.63	2119.22	674.59	199.85	1233.75	40.07	511.0	327.56	387.02	152.28	246.28	64.34	136.19	94.67	688.78	141.02	57.08	34.26	75.64	41.22	236.21	172.65	769.69	303.44	208.38	616.37
PTPRC	5147.73	6561.36	21.16	115.16	47.5	3742.05	1721.16	525.39	4972.34	88.26	2287.2	785.88	974.5	249.73	660.68	371.22	285.03	172.65	2319.15	228.13	309.83	74.06	187.71	141.02	532.74	563.18	1651.0	921.88	547.75	2032.85
PTPRCAP	5672.41	5329.3	52.45	182.55	57.49	8247.98	1757.34	1286.18	3874.05	117.6	1662.49	1605.83	1023.0	872.1	1572.76	137.14	351.14	329.84	2796.65	249.73	150.17	158.79	155.5	91.41	1322.37	1081.39	5555.65	3168.41	2520.38	5517.27
PVRIG	665.29	1008.9	3.23	41.22	42.41	825.0	432.53	123.5	961.07	61.68	318.57	167.9	142.01	107.38	112.77	40.07	66.65	35.5	688.78	43.02	34.75	20.41	41.81	25.17	118.43	76.71	518.15	255.0	127.89	624.99
RAB33A	214.27	223.41	4.03	8.13	0.0	244.57	55.49	19.68	111.21	6.46	54.33	35.5	24.63	23.08	47.84	9.56	22.26	17.64	63.0	12.27	23.42	2.01	10.39	9.06	34.26	24.63	119.26	45.21	52.82	141.02
RAB8B	974.5	819.3	88.88	199.85	279.14	595.34	547.75	229.72	954.43	220.32	633.73	314.17	277.2	185.11	232.94	242.88	307.69	206.94	483.38	126.12	271.48	212.78	146.03	180.02	297.17	215.77	384.34	214.27	242.88	426.57
RAC2	8840.04	11112.3	379.04	329.84	162.14	10733.74	4066.71	2061.24	8840.04	303.44	3325.99	2835.7	1628.26	884.29	1709.26	896.64	616.37	679.29	5255.91	563.18	371.22	301.33	536.45	454.09	1883.54	1259.69	5995.9	3665.02	2133.97	5954.47
RASAL3	1388.16	1519.15	27.44	72.52	26.47	2720.15	543.96	204.07	1388.16	57.49	647.07	221.86	395.18	258.57	303.44	85.82	176.29	87.65	780.44	153.34	87.65	39.5	101.54	52.08	279.14	264.03	934.76	318.57	242.88	476.71
RCSD1	1685.71	2004.85	38.95	228.13	119.26	1651.0	728.11	212.78	1407.55	53.57	463.65	229.72	246.28	224.97	217.27	92.7	201.25	108.9	708.18	99.43	98.73	51.71	78.34	112.77	336.79	285.03	703.28	373.81	244.57	753.83
RHOH	2502.97	2645.74	7.88	108.14	32.82	2664.15	753.83	251.48	1427.22	48.18	551.56	412.0	301.33	129.69	224.97	82.29	110.43	88.26	981.29	66.18	47.5	20.26	88.26	45.53	279.14	258.57	878.17	432.53	228.13	1183.45
RP11-1070N10.3	61.68	44.25	0.0	5.68	4.62	100.83	75.11	29.27	99.43	1.62	36.79	57.08	8.45	1.97	38.12	1.1	2.61	6.26	52.45	5.28	5.36	0.0	1.79	0.0	16.75	22.75	99.43	56.28	24.63	211.31
S1PR4	647.07	748.61	6.52	38.67	23.59	934.76	202.66	142.01	587.13	16.51	293.07	208.38	125.24	93.35	194.36	121.79	68.07	78.89	466.88	51.71	11.64	20.11	43.63	56.68	142.01	141.02	651.58	253.23	215.77	463.65
SASH3	3325.99	3039.3	13.93	60.82	45.21	3235.01	1044.52	414.87	2335.28	55.89	866.07	493.56	511.0	303.44	518.15	126.12	190.34	167.9	1304.15	157.68	90.14	42.71	100.83	95.34	525.39	406.31	1583.71	674.59	400.71	1350.18
SCIMP	738.29	497.0	2.92	12.74	3.03	591.22	447.82	118.43	961.07	11.91	269.6	212.78	204.07	93.35	114.36	64.34	102.97	33.06	525.39	37.32	50.63	12.18	22.43	46.84	155.5	63.0	356.05	137.14	49.56	379.04
SELL	4481.23	8363.13	47.5	29.27	8.38	4358.66	921.88	177.53	1757.34	21.78	660.68	249.73	242.88	143.01	249.73	185.11	114.36	143.01	2520.38	85.82	242.88	26.67	48.87	27.25	205.5	137.14	995.0	220.32	93.35	1008.9
SEMA4D	2335.28	1561.89	88.88	246.28	158.79	2271.4	934.76	486.75	2163.77	571.05	947.83	466.88	775.05	376.41	693.58	154.42	343.89	255.0	1286.18	665.29	320.8	753.83	486.75	264.03	629.35	555.41	878.17	819.3	483.38	607.87
SEPT6	3589.58	5872.48	41.22	432.53	633.73	2777.33	1605.83	733.19	3742.05	305.55	1498.22	866.07	872.1	1096.5	872.1	171.45	547.75	353.59	1832.01	267.73	511.0	253.23	366.09	316.37	825.0	878.17	1781.89	1191.69	921.88	1397.83
SH2B2	231.32	182.55	71.0	98.73	93.35	1104.13	607.87	314.17	1030.12	45.21	297.17	291.04	144.01	159.9	265.87	94.67	251.48	164.42	624.99	155.5	96.01	115.97	195.72	89.51	182.55	124.37	599.49	339.14	76.71	500.46
SIRPG	612.11	1313.23	1.73	6.31	2.14	825.0	258.57	166.73	551.56	32.59	287.01	183.82	144.01	84.63	111.99	21.16	36.27	72.01	595.34	54.72	28.04	10.39	26.1	17.13	176.29	127.0	497.0	173.85	303.44	397.93
SKAP1	836.53	2090.03	48.52	58.3	28.04	1008.9	339.14	182.55	503.95	124.37	332.14	145.02	277.2	86.43	144.01	74.58	175.07	46.5	579.04	71.5	70.01	120.1	35.5	62.12	149.12	223.41	429.54	229.72	229.72	332.14
SLAMF6	988.12	1844.76	3.72	27.84	5.36	866.07	406.31	137.14	1008.9	29.91	486.75	148.09	211.31	60.39	191.67	45.85	60.39	40.64	674.59	59.97	50.98	29.06	22.26	21.16	133.36	223.41	463.65	267.73	154.42	486.75
SMAP2	3349.13	3794.3	277.2	842.36	325.29	4210.15	2384.37	854.13	4671.57	529.06	1359.57	1286.18	1191.69	629.35	1304.15	435.55	642.59	417.77	1806.78	796.86	713.11	733.19	420.68	791.35	1015.93	1757.34	2537.92	1437.15	1135.2	2537.92
SNX20	728.11	961.07	8.13	31.67	32.13	780.44	251.48	96.68	444.72	17.64	229.72	106.63	139.07	79.45	112.77	38.4	55.89	51.71	447.82	53.95	24.99	9.78	33.54	27.05	118.43	102.25	303.44	163.28	110.43	248.0
SP140	1313.23	1447.15	18.03	10.24	2.66	1407.55	642.59	129.69	1081.39	35.76	583.07	173.85	218.79	97.36	180.02	58.71	108.14	120.1	651.58	64.34	54.33	28.86	28.45	25.72	155.5	119.26	500.46	224.97	171.45	420.68
STK10	1369.04	1467.37	293.07	211.31	186.4	1870.53	708.18	379.04	1183.45	305.55	738.29	363.56	559.28	384.34	503.95	239.52	454.09	151.22	1268.46	320.8	279.14	289.02	406.31	567.1	450.94	339.14	563.18	379.04	248.0	392.44
SUSD3	981.29	1709.26	64.34	51.71	18.16	1757.34	429.54	217.27	642.59	24.11	397.93	224.97	197.09	129.69	242.88	54.72	182.55	67.12	423.61	56.28	73.54	21.01	47.17	47.84	208.38	119.26	563.18	279.14	177.53	674.59
TBC1D10C	2090.03	3190.46	10.16	41.81	33.78	3928.15	764.36	277.2	1709.26	52.45	743.43	236.21	423.61	215.77	363.56	60.39	145.02	85.22	1208.34	162.14	43.63	36.53	84.04	47.17	356.05	267.73	1369.04	466.88	264.03	1066.48
TCF7	2664.15	4328.55	61.68	52.45	40.07	2573.36	854.13	579.04	2976.74	255.0	995.0	579.04	507.46	563.18	579.04	723.08	503.95	323.03	2178.83	406.31	395.18	264.03	624.99	253.23	486.75	400.71	1127.35	490.14	366.09	1051.79
TESPA1	665.29	1151.06	3.2	40.93	22.75	620.67	186.4	66.65	463.65	14.24	239.52	70.51	86.43	61.68	112.77	18.03	56.68	29.7	332.14	20.26	16.51	14.89	16.88	24.28	110.43	78.89	258.57	110.43	95.34	202.66
THEMIS	205.5	255.0	0.52	2.03	4.13	91.41	54.33	19.68	133.36	5.59	105.15	24.99	54.72	14.78	21.94	11.55	10.96	9.48	98.73	15.8	9.93	3.38	5.59	6.62	35.25	51.35	76.17	36.27	69.03	53.95
TIGIT	728.11	1819.35	1.62	11.21	2.86	796.86	236.21	69.03	460.44	25.17	237.86	123.5	129.69	67.12	67.59	16.03	29.27	43.94	314.17	34.26	22.43	9.63	21.78	13.72	52.82	85.22	198.47	153.34	90.14	223.41
TLR6	293.07	212.78	8.51	8.13	15.8	171.45	88.88	20.86	209.84	3.26	134.3	17.0	48.87	15.91	15.91	20.86	18.16	13.72	125.24	9.06	22.92	16.27	7.11	6.62	38.12	23.08	84.04	35.76	26.86	48.18
TMC8	1950.0	2758.13	32.59	126.12	48.87	5329.3	1030.12	285.03	2591.27	58.71	1096.5	339.14	836.53	253.23	348.71	78.89	189.02	66.65	1832.01	214.27	231.32	46.84	112.77	63.89	368.65	318.57	1073.91	376.41	279.14	633.73
TMEM154	205.5	208.38	0.0	5.54	7.57	135.24	70.01	31.9	117.6	22.1	88.88	21.78	34.75	15.68	34.75	39.79	25.17	9.13	81.71	21.63	13.12	40.36	18.29	6.94	27.84	55.89	70.51	35.0	24.63	55.89
TMEM156	532.74	961.07	0.23	0.0	1.22	651.58	251.48	66.18	642.59	5.15	297.17	110.43	44.25	30.56	103.69	36.27	43.32	35.76	389.72	34.02	18.97	13.22	7.94	6.46	51.35	77.25	480.04	189.02	60.39	332.14
TNFAIP8	2758.13	3395.89	299.25	312.0	336.79	1977.24	961.07	555.41	1896.65	171.45	1322.37	312.0	529.06	525.39	497.0	563.18	387.02	146.03	1313.23	525.39	249.73	249.73	138.1	299.25	490.14	567.1	1551.09	633.73	583.07	1487.87
TNFRSF13B	764.36	547.75	0.0	0.0	1.91	629.35	158.79	151.22	563.18	1.07	395.18	177.53	106.63	41.22	281.09	6.06	37.85	7.63	497.0	16.03	4.28	0.89	6.16	4.46	155.5	67.59	738.29	329.84	301.33	432.53
TNFSF8	265.87	529.06	0.01	26.1	16.63	429.54	161.02	44.25	532.74	10.55	117.6	67.12	63.45	42.41	47.17	59.97	40.93	11.13	246.28	14.67	50.27	2.71	12.18	20.56	36.53	82.87	297.17	87.03	19.39	251.48
TNR	24.46	6.57	0.0	0.51	0.51	9.85	4.06	3.32	16.88	0.28	12.18	0.77	3.44	2.97	3.53	0.59	1.66	1.03	8.0	1.2	0.65	0.3	0.95	1.35	3.96	3.56	5.59	2.78	0.55	3.0
TRAF3IP3	2573.36	5292.48	67.59	119.26	63.45	4010.71	872.1	287.01	2061.24	84.04	1233.75	267.73	429.54	178.77	384.34	102.25	209.84	85.22	2104.58	183.82	163.28	74.06	90.14	97.36	297.17	299.25	1806.78	366.09	432.53	1015.93
TRAT1	403.5	808.0	0.48	0.0	0.0	256.78	74.58	40.64	251.48	4.62	169.07	23.25	77.25	33.06	20.41	11.91	14.35	10.96	248.0	16.03	16.63	6.06	6.52	7.28	46.5	38.67	215.77	35.76	57.89	97.36
TREML1	83.45	92.7	0.0	11.47	0.0	289.02	44.89	10.0	120.94	0.93	50.98	23.25	11.64	15.68	12.64	3.35	15.68	6.57	63.45	9.27	4.06	5.87	7.46	6.89	3.79	3.11	38.4	17.64	5.92	60.82
TSPAN32	131.51	348.71	3.23	83.45	10.0	361.04	129.69	16.39	249.73	10.47	102.25	31.9	18.43	35.25	34.51	5.06	58.71	25.17	111.21	18.97	9.7	7.22	7.88	11.64	26.67	32.59	58.71	85.82	77.79	100.13
TTC16	35.76	47.17	0.2	2.1	2.1	47.84	4.03	6.26	17.9	3.96	19.53	4.54	4.17	4.7	1.58	1.81	3.06	5.68	19.25	2.32	2.46	1.38	2.86	2.01	2.71	3.92	14.56	3.29	2.81	7.88
TXK	120.1	190.34	8.92	8.65	9.41	180.02	55.49	16.15	173.85	14.14	67.12	43.94	30.56	10.24	12.45	10.08	19.82	2.68	116.78	12.64	22.43	4.54	7.22	7.28	25.54	13.32	49.91	21.63	62.12	46.5
UBE2J1	1313.23	1427.22	293.07	457.25	551.56	1697.45	1331.57	674.59	1896.65	540.19	1909.85	967.76	988.12	389.72	1617.0	373.81	656.11	435.55	1073.91	842.36	579.04	397.93	543.96	753.83	1066.48	1594.73	1721.16	1639.59	1175.27	1594.73
VAV1	961.07	1286.18	12.36	95.34	38.67	1242.34	356.05	211.31	808.0	29.06	356.05	178.77	228.13	137.14	187.71	150.17	103.69	75.11	507.46	73.54	104.42	20.11	91.41	264.03	231.32	139.07	466.88	193.01	108.14	371.22
WAS	1844.76	2384.37	23.42	201.25	85.82	2855.44	909.17	346.29	1769.57	81.14	684.02	642.59	473.41	353.59	441.64	182.55	189.02	143.01	1167.14	171.45	140.04	70.01	152.28	98.04	466.88	297.17	1175.27	591.22	384.34	1073.91
WDFY4	1073.91	1378.57	4.28	46.5	11.82	1407.55	450.94	127.89	1030.12	13.32	339.14	125.24	157.68	76.17	129.69	53.95	48.87	43.02	624.99	45.21	31.0	21.63	37.85	39.5	169.07	78.34	332.14	186.4	40.07	262.2
WIPF1	3768.09	4481.23	75.64	612.11	808.0	3257.52	1794.29	688.78	3742.05	312.0	1977.24	1135.2	884.29	1096.5	684.02	356.05	791.35	320.8	1950.0	239.52	353.59	145.02	540.19	356.05	860.08	629.35	1662.49	967.76	733.19	1857.6
ZAP70	1119.56	2104.58	7.75	68.55	13.22	3419.52	529.06	143.01	1369.04	41.22	693.58	177.53	309.83	147.06	228.13	50.63	127.0	49.91	1167.14	149.12	50.63	18.29	73.03	40.36	231.32	182.55	884.29	231.32	193.01	483.38
ZBED2	237.86	111.21	0.0	3.11	0.87	91.41	21.32	3.23	40.64	0.99	14.89	4.66	12.83	0.96	1.89	1.27	3.2	3.47	25.91	3.53	3.56	0.08	2.97	1.46	2.18	3.0	13.52	4.1	7.63	21.16
ZBTB32	88.26	95.34	9.06	4.58	0.0	211.31	55.49	21.16	132.44	16.51	60.82	44.57	28.24	10.96	31.22	19.68	36.53	11.73	74.58	14.67	6.89	2.03	11.55	1.81	26.67	11.21	113.56	45.21	12.09	92.05
ZC3H12D	612.11	529.06	60.39	34.51	11.3	1119.56	441.64	176.29	915.51	138.1	273.37	85.22	182.55	85.22	80.01	12.0	43.02	34.75	473.41	65.72	19.39	193.01	19.82	99.43	151.22	60.82	193.01	84.63	14.45	175.07
ZNF804A	18.16	8.13	0.25	1.81	5.11	19.11	15.8	4.21	39.22	1.27	20.26	3.56	7.4	2.56	2.39	4.24	7.57	1.85	8.92	1.35	4.62	0.39	2.97	1.85	6.94	3.79	8.38	7.34	1.69	13.42
ZNF831	123.5	163.28	0.2	5.45	1.2	111.21	48.52	12.74	124.37	1.97	53.57	10.0	24.46	7.0	15.56	3.44	6.11	3.11	66.65	8.51	2.61	0.6	2.89	3.08	16.63	16.39	37.05	19.68	13.22	25.35
