	TCGA.B6.A0RO.01A.22R.A084.07	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.D8.A1X7.01A.11R.A14M.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.AN.A0XP.01A.11R.A109.07	TCGA.A2.A3KD.01A.12R.A213.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.AC.A3QQ.01B.06R.A22O.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.B6.A0IB.01A.11R.A034.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.55.7815.01A.11R.2170.07	TCGA.38.4625.01A.01R.1206.07.1
SYTL1	1151.06	629.35	591.22	244.57	567.1	314.17	1242.34	144.01	1388.16	400.71	153.34	915.51	454.09	974.5	563.18	884.29	107.38	96.68	47.84	0.77
TBCB	3564.78	2451.44	2240.11	1896.65	1628.26	1819.35	2485.67	2287.2	3146.52	1781.89	1617.0	2520.38	2502.97	2701.35	3794.3	3540.14	1119.56	1340.84	1745.2	0.93
TECR	3372.43	4268.94	2720.15	3874.05	3303.0	3742.05	7857.29	4869.99	7081.29	4903.87	1685.71	5751.61	3395.89	6652.97	4419.52	6121.9	2956.17	1745.2	1250.98	0.58
TIGD5	142.01	95.34	58.3	38.12	48.87	75.64	178.77	84.63	88.26	53.57	27.64	135.24	111.99	94.67	221.86	127.0	11.73	35.25	4.1	0.27
TM9SF1	3491.39	1417.35	1721.16	1487.87	1427.22	2520.38	4010.71	1819.35	2367.9	1936.53	836.53	2090.03	2591.27	1447.15	2178.83	1857.6	1066.48	1250.98	1733.13	0.53
TMED1	934.76	723.08	473.41	454.09	521.76	733.19	909.17	796.86	1127.35	579.04	141.02	679.29	1023.0	759.08	607.87	728.11	185.11	532.74	226.54	0.4
TMEM134	2004.85	974.5	1340.84	1059.11	1331.57	1350.18	2224.63	1540.37	2875.3	1540.37	329.84	1674.06	1721.16	1794.29	3874.05	3124.78	665.29	679.29	202.66	0.83
TMEM164	961.07	381.68	547.75	277.2	395.18	187.71	429.54	267.73	567.1	221.86	400.71	435.55	265.87	224.97	583.07	713.11	339.14	373.81	128.79	0.0
TRAPPC12	1216.75	1151.06	1369.04	1594.73	1286.18	1250.98	1477.58	1175.27	2090.03	1540.37	1378.57	1697.45	1457.23	1950.0	1883.54	1529.73	934.76	612.11	860.08	0.58
TRMT12	373.81	269.6	277.2	303.44	316.37	228.13	358.54	269.6	336.79	297.17	202.66	273.37	239.52	260.38	353.59	309.83	267.73	204.07	178.77	167.9
TTC39A	2255.7	915.51	4450.27	1909.85	3820.7	1697.45	10440.2	1883.54	9151.82	2224.63	1561.89	1572.76	361.04	1447.15	1594.73	3639.7	819.3	500.46	2271.4	0.0
TUBGCP2	1781.89	961.07	1233.75	995.0	1008.9	1111.82	1159.07	974.5	1617.0	1088.92	708.18	1369.04	1143.1	921.88	1769.57	1498.22	698.41	693.58	493.56	0.87
UBE2J2	1467.37	1044.52	860.08	1001.93	1015.93	928.3	1322.37	1051.79	1594.73	1023.0	616.37	1313.23	802.41	954.43	1015.93	1277.29	647.07	514.56	583.07	0.85
VPS51	1936.53	1008.9	647.07	974.5	934.76	1111.82	2573.36	1662.49	2061.24	1066.48	1286.18	1331.57	1407.55	1340.84	2434.5	1427.22	1008.9	934.76	525.39	0.79
YIF1A	2468.49	1477.58	1709.26	1023.0	1427.22	2061.24	3982.99	1583.71	3081.75	1427.22	785.88	2075.59	2502.97	1991.0	3564.78	1819.35	808.0	753.83	860.08	2133.97
ZMYND19	309.83	409.15	307.69	293.07	389.72	351.14	414.87	429.54	555.41	356.05	226.54	466.88	409.15	543.96	514.56	579.04	102.97	156.59	133.36	0.82
ZNF511	1832.01	463.65	511.0	470.14	450.94	470.14	1127.35	493.56	988.12	454.09	218.79	791.35	674.59	1030.12	915.51	759.08	305.55	412.0	480.04	293.07
ZNF593	305.55	281.09	208.38	214.27	138.1	307.69	417.77	285.03	406.31	150.17	28.45	339.14	267.73	289.02	518.15	303.44	94.67	98.73	44.89	0.0
ZNHIT2	674.59	183.82	209.84	162.14	140.04	429.54	669.92	348.71	463.65	234.57	99.43	356.05	507.46	351.14	521.76	435.55	73.03	62.12	12.0	0.0
