	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.DK.A3X1.01A.12R.A22U.07	TCGA.AC.A2BM.01A.11R.A21T.07	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.E9.A228.01A.31R.A157.07	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.EW.A1OY.01A.11R.A144.07	TCGA.AN.A049.01A.21R.A00Z.07	TCGA.A8.A08O.01A.21R.A056.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.PE.A5DC.01A.12R.A27Q.07	TCGA.OL.A5D8.01A.11R.A27Q.07	TCGA.BH.A0HB.01A.11R.A056.07	TCGA.S3.A6ZH.01A.22R.A32P.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.E9.A22D.01A.11R.A157.07	TCGA.C8.A12U.01A.11R.A115.07	TCGA.AN.A0XT.01A.11R.A109.07	TCGA.E2.A1IE.01A.11R.A13Q.07	TCGA.A2.A1FX.01A.11R.A13Q.07	TCGA.OL.A66H.01A.11R.A29R.07	TCGA.5T.A9QA.01A.11R.A41B.07	TCGA.B6.A0WT.01A.11R.A109.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.AO.A12H.01A.11R.A115.07	TCGA.A8.A092.01A.11R.A00Z.07	TCGA.E9.A1RD.01A.11R.A157.07	TCGA.E9.A22A.01A.11R.A157.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.D8.A1XS.01A.11R.A14M.07	TCGA.AR.A0TZ.01A.12R.A084.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.AR.A2LO.01A.31R.A18M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.A8.A09T.01A.11R.A00Z.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.AR.A0TV.01A.21R.A084.07	TCGA.AN.A046.01A.21R.A034.07	TCGA.BH.A6R8.01A.21R.A33J.07	TCGA.EW.A1PD.01A.11R.A144.07	TCGA.A1.A0SD.01A.11R.A115.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.E2.A106.01A.11R.A10J.07	TCGA.C8.A12N.01A.11R.A115.07	TCGA.E2.A10A.01A.21R.A115.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.AQ.A1H2.01A.11R.A13Q.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.A2.A0YC.01A.11R.A109.07	TCGA.E2.A14T.01A.11R.A115.07	TCGA.E9.A1R5.01A.11R.A14M.07	TCGA.EW.A1P6.01A.11R.A144.07	TCGA.E2.A1IU.01A.11R.A14D.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.AR.A24L.01A.11R.A169.07	TCGA.AO.A1KS.01A.11R.A13Q.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.A7.A3IZ.01A.11R.A213.07	TCGA.A8.A09R.01A.11R.A00Z.07	TCGA.BH.A0B8.01A.21R.A056.07	TCGA.A8.A08G.01A.11R.A00Z.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.E2.A15D.01A.11R.A115.07	TCGA.3C.AAAU.01A.11R.A41B.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.E9.A295.01A.11R.A16F.07	TCGA.E2.A14S.01A.11R.A12D.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.OL.A66J.01A.11R.A29R.07	TCGA.AR.A24K.01A.11R.A169.07	TCGA.D8.A27R.01A.11R.A16F.07	TCGA.E9.A22B.01A.11R.A157.07	TCGA.A8.A09E.01A.11R.A00Z.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.A2.A0CP.01A.11R.A034.07	TCGA.JL.A3YX.01A.11R.A22U.07	TCGA.C8.A1HO.01A.11R.A13Q.07	TCGA.A2.A04V.01A.21R.A034.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.E9.A2JS.01A.11R.A180.07	TCGA.A2.A4S0.01A.21R.A266.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.EW.A2FV.01A.11R.A17B.07	TCGA.D8.A1JC.01A.11R.A13Q.07	TCGA.A8.A09B.01A.11R.A00Z.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.A8.A06T.01A.11R.A00Z.07	TCGA.D8.A1XV.01A.11R.A14M.07	TCGA.BH.A0E2.01A.11R.A056.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.C8.A1HI.01A.11R.A137.07	TCGA.S3.AA12.01A.11R.A41B.07	TCGA.A7.A3RF.01A.11R.A22K.07	TCGA.C8.A1HG.01A.11R.A137.07	TCGA.BH.A0HO.01A.11R.A034.07	TCGA.BH.A18N.01A.11R.A12D.07	TCGA.A8.A07P.01A.11R.A00Z.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E9.A5UO.01A.11R.A28M.07	TCGA.B6.A0RL.01A.11R.A084.07	TCGA.E2.A15H.01A.11R.A12D.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.A8.A07W.01A.11R.A00Z.07	TCGA.B6.A0X4.01A.11R.A109.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.D8.A1X5.01A.11R.A14D.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.E9.A1NI.01A.11R.A14D.07	GTEX.14AS3.1626.SM.5S2OY	TCGA.AK.3447.01A.01R.1766.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.ZS.A9CG.01A.11R.A37K.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.AAVR.01A.11R.A41C.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.DD.AAEG.01A.11R.A39D.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.MI.A75H.01A.11R.A32O.07	TCGA.G3.A5SJ.01A.11R.A27V.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.DD.AACY.01A.11R.A41C.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.RC.A7SF.01A.11R.A352.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A1EH.11A.11R.A131.07	TCGA.BC.A10Z.11A.11R.A131.07	TCGA.BC.A10W.11A.11R.A131.07	GTEX.145MO.2326.SM.5NQ9K	GTEX.14753.1626.SM.5NQ9L	GTEX.13O3O.1826.SM.5IFGW	GTEX.REY6.1226.SM.48FDR
IQCE	98.73	53.57	363.56	312.0	121.79	708.18	301.33	242.88	283.05	420.68	466.88	376.41	312.0	204.07	182.55	162.14	147.06	201.25	540.19	796.86	234.57	314.17	172.65	454.09	387.02	325.29	170.25	194.36	279.14	202.66	193.01	400.71	318.57	483.38	297.17	426.57	177.53	223.41	323.03	373.81	409.15	169.07	303.44	256.78	348.71	277.2	239.52	400.71	205.5	447.82	169.07	269.6	220.32	279.14	486.75	215.77	366.09	295.11	239.52	244.57	228.13	267.73	295.11	332.14	220.32	669.92	176.29	532.74	480.04	387.02	318.57	299.25	237.86	540.19	361.04	339.14	379.04	117.6	91.41	267.73	291.04	283.05	341.51	198.47	244.57	412.0	412.0	361.04	258.57	323.03	429.54	314.17	133.36	185.11	289.02	197.09	679.29	193.01	262.2	301.33	204.07	271.48	283.05	220.32	255.0	289.02	406.31	309.83	543.96	228.13	327.56	299.25	206.94	265.87	185.11	205.5	226.54	28.04	140.04	43.02	84.04	136.19	66.65	76.17	74.58	191.67	141.02	53.95	111.21	75.64	172.65	77.79	77.79	89.51	85.82	154.42	150.17	78.34	140.04	81.14	170.25	85.82	136.19	89.51	52.45	34.75	22.26	47.84	50.98	36.27	42.41	30.34	33.3	35.76
IREB2	139.07	166.73	412.0	361.04	656.11	277.2	246.28	205.5	297.17	480.04	743.43	253.23	224.97	180.02	325.29	267.73	258.57	297.17	351.14	318.57	384.34	189.02	190.34	457.25	190.34	503.95	493.56	223.41	299.25	301.33	275.28	466.88	457.25	693.58	218.79	444.72	403.5	305.55	417.77	208.38	312.0	189.02	258.57	136.19	460.44	486.75	312.0	348.71	186.4	603.67	435.55	231.32	417.77	351.14	279.14	371.22	260.38	353.59	332.14	733.19	1030.12	514.56	403.5	595.34	186.4	236.21	387.02	429.54	361.04	454.09	217.27	293.07	896.64	381.68	201.25	555.41	291.04	237.86	271.48	277.2	177.53	197.09	239.52	287.01	133.36	329.84	285.03	198.47	341.51	624.99	226.54	417.77	343.89	392.44	334.46	395.18	384.34	395.18	249.73	181.28	251.48	305.55	426.57	409.15	303.44	902.89	356.05	242.88	559.28	346.29	212.78	191.67	480.04	142.01	376.41	277.2	102.97	148.09	143.01	126.12	99.43	133.36	152.28	80.57	209.84	106.63	149.12	149.12	124.37	134.3	144.01	87.03	90.77	124.37	152.28	147.06	74.06	141.02	146.03	161.02	64.34	153.34	181.28	109.66	115.16	158.79	172.65	158.79	156.59	170.25	118.43	127.0	138.1	137.14
KCTD7	41.81	53.57	301.33	175.07	208.38	309.83	113.56	102.25	74.58	224.97	346.29	125.24	133.36	120.94	114.36	80.57	163.28	88.88	132.44	204.07	154.42	111.99	59.13	256.78	164.42	289.02	91.41	96.68	140.04	212.78	89.51	165.57	232.94	325.29	114.36	180.02	99.43	112.77	137.14	109.66	169.07	69.03	115.16	121.79	180.02	177.53	166.73	83.45	115.97	173.85	281.09	73.03	119.26	178.77	107.38	176.29	141.02	167.9	169.07	271.48	139.07	144.01	132.44	329.84	149.12	232.94	121.79	239.52	273.37	244.57	92.05	148.09	218.79	215.77	126.12	236.21	126.12	62.56	90.14	111.99	108.14	109.66	171.45	88.88	49.91	120.1	157.68	96.01	180.02	197.09	248.0	136.19	197.09	205.5	150.17	127.0	166.73	106.63	139.07	99.43	99.43	130.6	176.29	175.07	161.02	99.43	198.47	131.51	450.94	182.55	153.34	171.45	144.01	92.7	82.29	103.69	164.42	16.75	73.54	28.04	32.59	43.32	43.63	59.97	35.0	45.21	33.06	43.02	67.59	44.89	53.19	44.25	27.44	35.76	33.54	62.56	53.95	22.75	68.55	78.34	56.68	36.53	116.78	23.59	23.59	33.54	22.26	23.25	20.26	26.28	29.7	14.14	4.28	22.43
KDM3B	267.73	267.73	753.83	934.76	1015.93	638.15	748.61	612.11	759.08	1073.91	928.3	559.28	616.37	555.41	830.75	620.67	616.37	521.76	848.22	674.59	915.51	371.22	463.65	866.07	567.1	718.08	1001.93	674.59	769.69	954.43	395.18	775.05	748.61	1313.23	934.76	848.22	764.36	669.92	703.28	733.19	866.07	371.22	595.34	571.05	753.83	954.43	633.73	769.69	559.28	915.51	738.29	599.49	842.36	884.29	941.27	884.29	708.18	1030.12	854.13	555.41	1295.13	571.05	830.75	1037.29	813.63	909.17	703.28	813.63	791.35	909.17	698.41	723.08	1225.22	733.19	429.54	825.0	743.43	624.99	620.67	708.18	583.07	575.03	902.89	759.08	423.61	651.58	575.03	733.19	708.18	1073.91	981.29	866.07	860.08	902.89	780.44	830.75	728.11	780.44	759.08	473.41	591.22	587.13	1175.27	624.99	688.78	473.41	878.17	791.35	1111.82	954.43	660.68	796.86	624.99	633.73	612.11	651.58	497.0	89.51	316.37	155.5	121.79	229.72	154.42	165.57	226.54	177.53	194.36	246.28	163.28	186.4	334.46	167.9	148.09	255.0	177.53	373.81	248.0	191.67	258.57	281.09	221.86	236.21	336.79	373.81	136.19	138.1	137.14	164.42	183.82	134.3	75.64	82.87	108.9	112.77
KIAA1109	194.36	193.01	1175.27	679.29	723.08	1030.12	414.87	463.65	511.0	1135.2	981.29	435.55	348.71	217.27	395.18	371.22	285.03	258.57	392.44	878.17	842.36	356.05	361.04	785.88	567.1	813.63	896.64	796.86	497.0	753.83	220.32	420.68	808.0	974.5	420.68	759.08	540.19	532.74	642.59	287.01	713.11	514.56	395.18	221.86	718.08	780.44	518.15	397.93	441.64	860.08	738.29	334.46	603.67	713.11	429.54	651.58	532.74	842.36	629.35	1030.12	872.1	693.58	1259.69	567.1	616.37	743.43	341.51	612.11	438.59	1081.39	387.02	974.5	909.17	1350.18	529.06	693.58	412.0	353.59	318.57	511.0	318.57	244.57	1135.2	529.06	403.5	373.81	693.58	356.05	450.94	872.1	748.61	547.75	518.15	376.41	785.88	409.15	480.04	356.05	595.34	356.05	289.02	575.03	872.1	346.29	674.59	532.74	575.03	420.68	1066.48	435.55	647.07	713.11	633.73	397.93	417.77	325.29	327.56	54.33	218.79	156.59	97.36	152.28	260.38	75.64	281.09	135.24	156.59	161.02	163.28	162.14	147.06	152.28	134.3	128.79	187.71	177.53	81.14	173.85	392.44	209.84	120.1	136.19	221.86	212.78	84.04	154.42	178.77	177.53	218.79	237.86	202.66	96.68	82.29	133.36
KIAA1147	92.7	70.01	387.02	173.85	218.79	170.25	156.59	253.23	212.78	414.87	521.76	136.19	133.36	123.5	64.8	138.1	172.65	167.9	463.65	511.0	341.51	536.45	162.14	329.84	351.14	217.27	293.07	291.04	221.86	454.09	114.36	181.28	327.56	343.89	206.94	518.15	189.02	112.77	204.07	423.61	438.59	291.04	197.09	125.24	486.75	361.04	67.12	293.07	161.02	435.55	244.57	201.25	178.77	323.03	460.44	373.81	167.9	441.64	255.0	314.17	376.41	334.46	267.73	409.15	217.27	414.87	178.77	366.09	435.55	255.0	132.44	301.33	836.53	603.67	181.28	429.54	358.54	105.89	198.47	336.79	162.14	139.07	176.29	176.29	289.02	195.72	299.25	314.17	212.78	348.71	316.37	264.03	205.5	305.55	346.29	172.65	389.72	249.73	159.9	334.46	88.88	529.06	205.5	412.0	217.27	379.04	363.56	212.78	400.71	409.15	497.0	198.47	204.07	457.25	236.21	108.9	120.1	17.51	420.68	63.45	241.19	209.84	198.47	70.51	107.38	242.88	232.94	54.33	197.09	175.07	226.54	150.17	151.22	139.07	289.02	94.67	305.55	111.21	90.77	220.32	214.27	104.42	208.38	163.28	122.64	98.04	59.13	92.05	92.05	84.04	81.14	63.89	29.91	171.45
KLHDC10	128.79	156.59	902.89	409.15	457.25	633.73	583.07	295.11	78.34	791.35	974.5	353.59	343.89	297.17	450.94	299.25	229.72	307.69	698.41	536.45	379.04	314.17	248.0	624.99	336.79	642.59	1073.91	518.15	348.71	420.68	656.11	563.18	463.65	909.17	395.18	723.08	607.87	361.04	400.71	406.31	536.45	366.09	305.55	656.11	595.34	629.35	466.88	305.55	341.51	738.29	409.15	366.09	371.22	450.94	571.05	409.15	336.79	432.53	371.22	748.61	796.86	493.56	616.37	651.58	651.58	493.56	373.81	902.89	457.25	796.86	316.37	423.61	1023.0	620.67	353.59	1051.79	473.41	231.32	392.44	361.04	329.84	293.07	353.59	403.5	373.81	363.56	371.22	363.56	182.55	878.17	476.71	466.88	514.56	665.29	409.15	460.44	379.04	392.44	514.56	320.8	265.87	409.15	368.65	660.68	490.14	334.46	503.95	287.01	1167.14	368.65	493.56	403.5	583.07	325.29	287.01	244.57	232.94	122.64	412.0	127.0	177.53	199.85	214.27	111.99	323.03	329.84	351.14	314.17	262.2	229.72	318.57	346.29	215.77	241.19	206.94	334.46	241.19	301.33	209.84	283.05	258.57	242.88	232.94	234.57	236.21	173.85	136.19	241.19	162.14	197.09	169.07	220.32	91.41	209.84
KMT2C	244.57	118.43	713.11	497.0	412.0	525.39	223.41	314.17	218.79	693.58	808.0	395.18	486.75	400.71	454.09	366.09	343.89	387.02	579.04	291.04	463.65	473.41	199.85	595.34	395.18	480.04	529.06	426.57	412.0	587.13	291.04	447.82	529.06	854.13	307.69	547.75	457.25	316.37	412.0	511.0	460.44	231.32	476.71	291.04	318.57	624.99	447.82	351.14	381.68	575.03	466.88	150.17	432.53	638.15	525.39	444.72	466.88	490.14	450.94	555.41	872.1	441.64	353.59	476.71	397.93	500.46	438.59	647.07	660.68	642.59	392.44	438.59	921.88	813.63	320.8	884.29	334.46	214.27	426.57	346.29	351.14	343.89	780.44	373.81	264.03	351.14	435.55	432.53	356.05	665.29	567.1	460.44	466.88	674.59	473.41	454.09	379.04	406.31	353.59	438.59	387.02	409.15	387.02	327.56	567.1	420.68	503.95	387.02	848.22	432.53	400.71	547.75	406.31	329.84	525.39	353.59	175.07	63.45	267.73	143.01	123.5	150.17	150.17	127.0	161.02	154.42	142.01	162.14	148.09	155.5	204.07	152.28	111.21	111.99	159.9	206.94	96.01	134.3	171.45	187.71	139.07	134.3	214.27	175.07	88.26	149.12	183.82	199.85	206.94	181.28	117.6	105.15	125.24	189.02
KMT2E	165.57	246.28	723.08	723.08	480.04	679.29	348.71	457.25	289.02	743.43	947.83	209.84	312.0	376.41	532.74	301.33	397.93	283.05	1044.52	713.11	599.49	205.5	182.55	703.28	392.44	909.17	591.22	490.14	441.64	708.18	409.15	559.28	728.11	819.3	316.37	819.3	559.28	376.41	563.18	595.34	607.87	281.09	708.18	303.44	607.87	743.43	525.39	341.51	483.38	599.49	269.6	368.65	379.04	753.83	571.05	651.58	473.41	665.29	647.07	651.58	890.44	473.41	435.55	733.19	500.46	518.15	450.94	825.0	651.58	555.41	551.56	647.07	738.29	791.35	197.09	1225.22	264.03	241.19	409.15	417.77	341.51	251.48	348.71	559.28	215.77	366.09	599.49	599.49	476.71	647.07	802.41	444.72	507.46	780.44	656.11	403.5	361.04	392.44	441.64	287.01	231.32	490.14	579.04	473.41	684.02	392.44	463.65	486.75	802.41	551.56	536.45	674.59	616.37	303.44	860.08	361.04	329.84	33.3	211.31	105.15	94.67	143.01	84.04	105.15	167.9	91.41	94.01	133.36	56.28	116.78	169.07	105.89	82.29	70.51	115.97	120.1	87.03	118.43	191.67	173.85	108.14	136.19	231.32	162.14	46.18	132.44	133.36	158.79	127.0	112.77	115.16	44.25	73.03	108.9
KRIT1	309.83	244.57	1088.92	612.11	571.05	665.29	470.14	348.71	291.04	660.68	713.11	457.25	463.65	220.32	759.08	450.94	392.44	397.93	490.14	540.19	713.11	463.65	244.57	660.68	450.94	674.59	521.76	412.0	423.61	540.19	279.14	387.02	629.35	836.53	633.73	854.13	373.81	463.65	624.99	429.54	603.67	283.05	379.04	493.56	603.67	567.1	450.94	314.17	361.04	647.07	497.0	277.2	438.59	529.06	503.95	587.13	587.13	665.29	423.61	551.56	796.86	497.0	392.44	521.76	343.89	507.46	223.41	674.59	642.59	629.35	400.71	603.67	866.07	842.36	351.14	1259.69	329.84	271.48	447.82	400.71	395.18	460.44	532.74	438.59	275.28	358.54	629.35	447.82	417.77	647.07	503.95	684.02	444.72	551.56	647.07	441.64	571.05	363.56	473.41	295.11	403.5	392.44	633.73	346.29	507.46	511.0	543.96	373.81	1008.9	571.05	551.56	457.25	371.22	363.56	423.61	493.56	312.0	146.03	246.28	246.28	156.59	172.65	224.97	242.88	201.25	161.02	144.01	162.14	163.28	131.51	175.07	205.5	114.36	180.02	177.53	212.78	117.6	185.11	303.44	214.27	176.29	163.28	271.48	193.01	57.89	145.02	173.85	190.34	195.72	163.28	186.4	78.89	96.68	147.06
LCMT2	79.45	191.67	309.83	208.38	346.29	154.42	267.73	182.55	224.97	214.27	389.72	217.27	166.73	232.94	363.56	285.03	255.0	167.9	206.94	281.09	291.04	204.07	154.42	329.84	291.04	239.52	417.77	232.94	159.9	297.17	193.01	209.84	251.48	295.11	325.29	256.78	262.2	223.41	316.37	265.87	351.14	214.27	249.73	191.67	132.44	258.57	334.46	353.59	189.02	441.64	368.65	334.46	180.02	251.48	260.38	285.03	262.2	275.28	299.25	314.17	232.94	181.28	277.2	301.33	251.48	241.19	205.5	325.29	351.14	237.86	164.42	237.86	202.66	273.37	226.54	307.69	244.57	244.57	397.93	265.87	199.85	120.94	281.09	229.72	215.77	228.13	275.28	163.28	223.41	281.09	236.21	265.87	297.17	379.04	373.81	204.07	242.88	466.88	177.53	169.07	251.48	212.78	358.54	323.03	231.32	138.1	518.15	229.72	234.57	180.02	248.0	400.71	201.25	236.21	249.73	220.32	209.84	91.41	75.11	92.7	62.56	70.51	94.01	31.67	115.16	66.18	95.34	73.54	71.5	63.45	108.14	68.07	45.85	53.19	98.73	121.79	42.41	94.01	102.97	70.51	52.45	61.25	64.8	71.0	65.26	94.01	85.82	90.14	105.89	86.43	77.79	37.59	146.03	46.18
LEO1	285.03	420.68	1059.11	476.71	988.12	327.56	1233.75	376.41	603.67	796.86	921.88	511.0	381.68	1081.39	1277.29	476.71	896.64	753.83	612.11	769.69	514.56	974.5	764.36	896.64	921.88	785.88	607.87	1044.52	525.39	860.08	836.53	981.29	503.95	1059.11	703.28	575.03	1225.22	775.05	836.53	718.08	915.51	633.73	656.11	684.02	536.45	780.44	860.08	748.61	529.06	1870.53	647.07	872.1	1183.45	579.04	595.34	1143.1	633.73	1059.11	693.58	974.5	500.46	651.58	1037.29	961.07	470.14	575.03	551.56	884.29	748.61	1143.1	480.04	669.92	438.59	1167.14	748.61	796.86	878.17	775.05	967.76	941.27	423.61	400.71	1242.34	878.17	769.69	591.22	693.58	463.65	941.27	860.08	656.11	848.22	728.11	1037.29	1088.92	1111.82	532.74	3212.66	1259.69	753.83	476.71	1081.39	633.73	688.78	796.86	1594.73	1001.93	679.29	796.86	583.07	878.17	896.64	1216.75	497.0	780.44	638.15	551.56	31.0	361.04	260.38	409.15	473.41	323.03	361.04	305.55	332.14	473.41	447.82	389.72	371.22	813.63	281.09	314.17	457.25	258.57	595.34	384.34	320.8	563.18	397.93	291.04	400.71	320.8	607.87	115.97	239.52	262.2	260.38	305.55	237.86	435.55	198.47	214.27	239.52
LRRC57	148.09	104.42	441.64	432.53	412.0	500.46	332.14	206.94	312.0	320.8	500.46	334.46	305.55	214.27	518.15	309.83	295.11	241.19	320.8	511.0	450.94	221.86	293.07	417.77	264.03	429.54	264.03	258.57	228.13	341.51	348.71	256.78	384.34	368.65	244.57	435.55	262.2	325.29	305.55	277.2	450.94	409.15	198.47	273.37	320.8	395.18	420.68	414.87	217.27	603.67	432.53	341.51	351.14	275.28	409.15	262.2	368.65	277.2	312.0	400.71	384.34	198.47	500.46	392.44	169.07	348.71	237.86	490.14	426.57	497.0	215.77	381.68	363.56	341.51	297.17	638.15	356.05	273.37	327.56	239.52	202.66	161.02	363.56	271.48	214.27	204.07	341.51	246.28	229.72	450.94	291.04	255.0	363.56	547.75	307.69	406.31	450.94	339.14	199.85	197.09	366.09	267.73	329.84	273.37	327.56	271.48	323.03	260.38	447.82	409.15	249.73	262.2	283.05	253.23	327.56	215.77	244.57	172.65	110.43	59.97	89.51	121.79	83.45	51.35	133.36	89.51	112.77	69.52	94.01	108.9	147.06	58.71	88.26	105.15	115.97	105.15	80.57	61.25	132.44	140.04	63.0	112.77	159.9	108.14	59.55	95.34	60.39	58.71	71.5	67.12	69.03	115.97	69.52	85.82
LTN1	50.63	101.54	171.45	163.28	339.14	197.09	117.6	123.5	133.36	281.09	237.86	115.97	105.15	95.34	205.5	157.68	102.97	53.95	137.14	190.34	183.82	105.15	83.45	318.57	120.1	314.17	217.27	102.97	237.86	249.73	166.73	212.78	281.09	262.2	96.68	305.55	167.9	105.89	217.27	125.24	189.02	112.77	118.43	63.89	293.07	229.72	150.17	44.89	130.6	258.57	149.12	121.79	172.65	224.97	204.07	303.44	152.28	206.94	189.02	297.17	503.95	171.45	287.01	236.21	285.03	253.23	129.69	229.72	275.28	258.57	91.41	164.42	376.41	264.03	158.79	379.04	85.22	169.07	152.28	151.22	81.14	100.83	199.85	141.02	89.51	182.55	180.02	214.27	193.01	177.53	167.9	161.02	141.02	224.97	277.2	187.71	182.55	87.03	156.59	86.43	70.51	171.45	201.25	215.77	158.79	140.04	142.01	134.3	218.79	208.38	166.73	89.51	301.33	135.24	173.85	135.24	75.11	55.49	75.11	57.08	44.25	38.67	57.49	39.22	82.87	32.82	42.41	48.87	47.84	50.98	68.07	38.67	45.53	29.7	41.52	55.49	19.68	48.87	99.43	63.0	41.22	36.53	84.63	31.45	33.54	66.18	83.45	75.64	73.03	67.59	45.85	29.91	57.49	53.95
MAPKBP1	53.95	86.43	212.78	195.72	140.04	92.05	96.01	85.82	197.09	162.14	291.04	152.28	143.01	77.79	76.17	60.39	85.82	99.43	161.02	161.02	150.17	87.03	100.13	153.34	150.17	167.9	185.11	111.99	82.87	156.59	78.89	131.51	122.64	223.41	109.66	325.29	121.79	119.26	112.77	109.66	154.42	108.14	125.24	110.43	135.24	177.53	145.02	155.5	112.77	279.14	154.42	118.43	104.42	138.1	113.56	126.12	124.37	141.02	152.28	153.34	90.14	125.24	218.79	211.31	117.6	156.59	96.68	217.27	237.86	98.04	154.42	129.69	67.12	137.14	124.37	143.01	105.89	70.51	128.79	118.43	149.12	90.14	95.34	95.34	52.08	144.01	146.03	86.43	95.34	180.02	189.02	253.23	134.3	173.85	88.26	100.13	170.25	117.6	105.15	112.77	94.01	105.15	182.55	89.51	100.83	84.04	218.79	118.43	234.57	115.16	89.51	126.12	121.79	120.1	134.3	90.77	135.24	27.05	67.59	31.45	33.78	49.91	49.91	30.34	41.52	50.98	57.49	38.12	43.32	35.76	72.52	55.89	33.78	40.36	52.08	59.13	34.26	35.0	59.97	94.67	45.53	72.52	74.06	93.35	29.7	18.16	31.22	27.05	40.64	30.56	18.29	8.25	18.16	27.44
MEF2A	98.73	124.37	454.09	521.76	470.14	211.31	221.86	323.03	358.54	483.38	878.17	251.48	346.29	265.87	158.79	336.79	246.28	279.14	309.83	476.71	412.0	381.68	52.82	808.0	323.03	698.41	490.14	551.56	241.19	417.77	511.0	341.51	414.87	629.35	429.54	547.75	493.56	389.72	438.59	289.02	447.82	381.68	368.65	154.42	723.08	651.58	341.51	500.46	429.54	819.3	426.57	348.71	426.57	384.34	363.56	473.41	395.18	356.05	334.46	836.53	941.27	591.22	392.44	536.45	234.57	395.18	647.07	348.71	438.59	376.41	343.89	669.92	1088.92	387.02	361.04	435.55	289.02	480.04	299.25	417.77	381.68	217.27	518.15	470.14	256.78	591.22	466.88	314.17	476.71	476.71	339.14	483.38	297.17	320.8	642.59	441.64	346.29	555.41	246.28	249.73	406.31	518.15	339.14	423.61	595.34	493.56	325.29	295.11	486.75	559.28	490.14	366.09	514.56	77.79	397.93	309.83	190.34	244.57	305.55	283.05	140.04	234.57	220.32	137.14	260.38	183.82	186.4	195.72	131.51	221.86	241.19	85.22	152.28	236.21	231.32	214.27	111.21	119.26	287.01	334.46	167.9	229.72	307.69	351.14	110.43	237.86	239.52	241.19	249.73	180.02	148.09	158.79	103.69	186.4
