	TCGA.K4.A3WV.11A.21R.A22U.07	TCGA.BH.A1EU.01A.11R.A137.07	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.D8.A1JA.01A.11R.A13Q.07	TCGA.BH.A1FU.01A.11R.A14D.07	TCGA.AC.A3OD.01A.11R.A21T.07.1	TCGA.D8.A4Z1.01A.21R.A266.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.LL.A7T0.01A.31R.A352.07	TCGA.A7.A4SA.01A.11R.A266.07	TCGA.D8.A3Z5.01A.41R.A24H.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.E2.A14U.01A.11R.A22K.07	TCGA.A7.A5ZX.01A.12R.A29R.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.AN.A0FD.01A.11R.A034.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.E2.A15T.01A.11R.A115.07	TCGA.PE.A5DD.01A.12R.A27Q.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.D8.A1Y2.01A.11R.A157.07	TCGA.A2.A1G6.01A.11R.A13Q.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.B6.A0IO.01A.11R.A034.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A0DZ.11A.22R.A089.07	TCGA.BH.A0H7.11A.13R.A089.07	TCGA.BH.A0HK.11A.11R.A089.07	TCGA.BH.A1EW.11B.33R.A137.07	TCGA.AC.A2FB.11A.13R.A17B.07	TCGA.BH.A1F8.11B.21R.A13Q.07	TCGA.BH.A0DT.11A.12R.A12D.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A0BM.11A.12R.A089.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A208.11A.51R.A157.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0DH.11A.31R.A089.07	TCGA.BH.A0BC.11A.22R.A089.07	TCGA.BH.A1FH.11B.42R.A13Q.07	TCGA.BH.A1FB.11A.33R.A13Q.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.BH.A0DV.11A.22R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.A7.A0CE.11A.21R.A089.07	GTEX.WYBS.0926.SM.3NM94	GTEX.ZZPU.0626.SM.5E43T	GTEX.13N11.1726.SM.5J1OJ	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.Y5V5.2126.SM.4WWFO	GTEX.1399U.1826.SM.5PNZ1	GTEX.131YS.0626.SM.5EGKL	GTEX.S341.1526.SM.4AD6K	GTEX.Y5LM.1726.SM.4VDSX	GTEX.ZF29.1926.SM.5S2P1	GTEX.S4P3.1326.SM.4AD6V	GTEX.X15G.1626.SM.3NMB3	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.Y3IK.2326.SM.4WWDT	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13D11.1026.SM.5IJFB	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	GTEX.S4UY.1426.SM.4AD6Y	TCGA.V1.A9ZR.01A.11R.A41O.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.FL.A1YT.11A.12R.A32Y.07	TCGA.FL.A1YL.11A.11R.A16F.07	TCGA.FL.A1YN.11A.11R.A32Y.07	TCGA.FL.A1YV.11A.12R.A32Y.07	TCGA.AJ.A3NH.11A.11R.A22K.07	TCGA.N5.A4RF.01A.11R.A28V.07	GTEX.13N11.1126.SM.5KM41	GTEX.UPIC.1526.SM.4IHLU	GTEX.13U4I.1926.SM.5LU39	GTEX.1117F.2426.SM.5EGGH	GTEX.12WSK.2026.SM.5CVNB	GTEX.Q734.1626.SM.48U1B	GTEX.XYKS.1626.SM.4BRUQ
G3BP1	995.0	2303.12	1030.12	688.78	2209.26	2664.15	1519.15	1259.69	2875.3	1883.54	1651.0	3018.3	1551.09	1037.29	1467.37	1151.06	1487.87	1268.46	1111.82	2502.97	1923.14	1769.57	1388.16	1628.26	915.51	2287.2	1111.82	3018.3	2335.28	2047.0	1721.16	5403.7	1844.76	1757.34	1322.37	603.67	1583.71	1519.15	1561.89	480.04	2367.9	1857.6	1199.98	1991.0	1127.35	1277.29	1350.18	2335.28	1551.09	1617.0	2032.85	2303.12	1781.89	1844.76	1628.26	1709.26	1104.13	1540.37	1175.27	2004.85	2032.85	2434.5	1806.78	1250.98	1030.12	1936.53	1487.87	1909.85	1104.13	1662.49	1001.93	693.58	1594.73	1583.71	1870.53	1963.57	1617.0	1467.37	2591.27	1477.58	2816.11	2075.59	1378.57	1066.48	1088.92	1936.53	1286.18	902.89	511.0	1001.93	1127.35	1135.2	1104.13	1135.2	1508.65	1044.52	819.3	1183.45	878.17	624.99	1447.15	1685.71
G3BP2	1081.39	1457.23	693.58	642.59	4066.71	3257.52	1427.22	1721.16	1030.12	2451.44	1350.18	2335.28	693.58	1529.73	1322.37	1015.93	1923.14	1008.9	1044.52	2090.03	1322.37	1529.73	1159.07	2384.37	813.63	1561.89	1081.39	1519.15	2835.7	1259.69	1628.26	1508.65	1088.92	1487.87	2720.15	808.0	1498.22	1806.78	1427.22	490.14	2319.15	819.3	1030.12	1628.26	1119.56	1639.59	1551.09	2976.74	1295.13	1617.0	1963.57	2319.15	1208.34	1551.09	2018.8	1781.89	684.02	1427.22	1529.73	1832.01	1950.0	2451.44	2434.5	934.76	1639.59	2119.22	1216.75	2627.46	2061.24	2090.03	1268.46	808.0	1286.18	1081.39	2915.45	1709.26	1135.2	872.1	1268.46	2004.85	1159.07	2682.69	802.41	1407.55	1540.37	2163.77	1331.57	934.76	551.56	928.3	934.76	954.43	836.53	1037.29	599.49	1127.35	1208.34	1073.91	718.08	1001.93	830.75	854.13
GAPVD1	205.5	728.11	253.23	153.34	507.46	373.81	414.87	379.04	435.55	320.8	483.38	547.75	255.0	201.25	417.77	269.6	267.73	301.33	234.57	486.75	271.48	432.53	679.29	620.67	406.31	551.56	244.57	426.57	813.63	217.27	305.55	353.59	265.87	351.14	189.02	147.06	320.8	389.72	320.8	135.24	303.44	361.04	148.09	490.14	170.25	236.21	265.87	703.28	314.17	303.44	429.54	490.14	248.0	346.29	381.68	406.31	178.77	341.51	277.2	400.71	397.93	397.93	438.59	246.28	651.58	320.8	476.71	651.58	738.29	356.05	244.57	423.61	420.68	231.32	563.18	438.59	277.2	540.19	351.14	470.14	83.45	543.96	193.01	791.35	208.38	525.39	267.73	206.94	154.42	239.52	256.78	226.54	204.07	220.32	185.11	204.07	171.45	267.73	334.46	167.9	157.68	157.68
GATC	204.07	417.77	105.89	182.55	426.57	277.2	293.07	366.09	329.84	336.79	316.37	309.83	368.65	312.0	163.28	244.57	559.28	246.28	234.57	267.73	239.52	329.84	346.29	579.04	334.46	348.71	228.13	336.79	633.73	223.41	256.78	420.68	264.03	258.57	201.25	251.48	285.03	279.14	361.04	130.6	303.44	120.94	316.37	327.56	189.02	301.33	201.25	376.41	209.84	320.8	387.02	473.41	271.48	281.09	470.14	366.09	156.59	295.11	220.32	361.04	325.29	376.41	412.0	198.47	199.85	409.15	253.23	420.68	392.44	332.14	392.44	169.07	295.11	265.87	435.55	265.87	249.73	127.89	339.14	307.69	348.71	253.23	241.19	190.34	368.65	463.65	180.02	221.86	143.01	195.72	201.25	177.53	165.57	175.07	217.27	189.02	156.59	143.01	154.42	114.36	178.77	206.94
GIGYF2	444.72	974.5	438.59	463.65	529.06	915.51	759.08	733.19	529.06	753.83	466.88	599.49	473.41	447.82	521.76	733.19	511.0	624.99	603.67	967.76	547.75	698.41	1225.22	1340.84	476.71	941.27	525.39	693.58	1015.93	547.75	669.92	525.39	551.56	769.69	486.75	301.33	647.07	934.76	825.0	325.29	848.22	612.11	217.27	974.5	532.74	674.59	595.34	1037.29	638.15	633.73	884.29	1277.29	679.29	713.11	961.07	860.08	559.28	684.02	567.1	866.07	748.61	1073.91	854.13	551.56	1183.45	947.83	802.41	1340.84	1259.69	860.08	559.28	698.41	1044.52	603.67	1250.98	872.1	813.63	1175.27	612.11	947.83	299.25	1073.91	583.07	1119.56	559.28	1037.29	567.1	595.34	279.14	559.28	575.03	575.03	507.46	447.82	397.93	409.15	490.14	555.41	423.61	373.81	457.25	329.84
GOLPH3	1208.34	2555.58	1605.83	928.3	2739.08	4639.29	1819.35	1617.0	2075.59	3303.0	2240.11	2163.77	2915.45	1208.34	1745.2	1457.23	2061.24	1594.73	1794.29	2875.3	1561.89	2434.5	2255.7	1447.15	1617.0	2468.49	1832.01	2104.58	1662.49	1857.6	1350.18	1977.24	1605.83	1991.0	1674.06	1104.13	1832.01	2032.85	1639.59	559.28	1819.35	2119.22	2485.67	1794.29	1359.57	1628.26	1662.49	2915.45	1529.73	1745.2	1857.6	2303.12	1529.73	1806.78	1844.76	1794.29	1081.39	1572.76	1806.78	1651.0	1709.26	1896.65	2645.74	1268.46	2133.97	2004.85	1199.98	1639.59	1662.49	2018.8	1378.57	988.12	1313.23	1628.26	2032.85	1857.6	796.86	1199.98	1977.24	1359.57	1407.55	4210.15	872.1	1191.69	2133.97	2434.5	1295.13	2163.77	825.0	1191.69	1313.23	1350.18	1127.35	1119.56	961.07	921.88	902.89	1044.52	1388.16	1583.71	836.53	708.18
GOSR1	483.38	842.36	389.72	275.28	1159.07	830.75	753.83	595.34	954.43	848.22	748.61	1037.29	587.13	603.67	559.28	493.56	1088.92	503.95	486.75	954.43	563.18	688.78	679.29	1378.57	379.04	591.22	583.07	775.05	1572.76	536.45	1001.93	872.1	684.02	708.18	532.74	438.59	723.08	780.44	599.49	275.28	748.61	540.19	376.41	909.17	417.77	708.18	642.59	1250.98	571.05	693.58	791.35	1119.56	642.59	764.36	961.07	819.3	514.56	780.44	651.58	802.41	775.05	854.13	1001.93	507.46	665.29	1037.29	674.59	1127.35	688.78	947.83	698.41	753.83	785.88	669.92	890.44	780.44	728.11	974.5	454.09	947.83	412.0	738.29	353.59	1119.56	392.44	928.3	476.71	480.04	273.37	563.18	575.03	466.88	486.75	473.41	514.56	457.25	507.46	928.3	454.09	406.31	341.51	406.31
GTF2H3	353.59	748.61	189.02	170.25	1015.93	403.5	423.61	327.56	441.64	420.68	808.0	567.1	297.17	348.71	246.28	287.01	417.77	346.29	392.44	703.28	291.04	316.37	327.56	624.99	228.13	674.59	312.0	384.34	890.44	336.79	444.72	429.54	426.57	575.03	281.09	190.34	441.64	417.77	361.04	166.73	507.46	305.55	329.84	503.95	281.09	406.31	363.56	633.73	387.02	575.03	500.46	896.64	289.02	532.74	656.11	612.11	201.25	514.56	476.71	457.25	423.61	567.1	872.1	334.46	536.45	363.56	529.06	660.68	738.29	551.56	417.77	299.25	426.57	209.84	555.41	403.5	457.25	441.64	547.75	890.44	379.04	1487.87	151.22	295.11	420.68	934.76	336.79	312.0	180.02	226.54	339.14	251.48	309.83	397.93	182.55	320.8	239.52	281.09	234.57	260.38	253.23	303.44
HEATR5A	140.04	447.82	191.67	273.37	525.39	529.06	277.2	236.21	260.38	339.14	463.65	314.17	447.82	155.5	358.54	158.79	400.71	182.55	185.11	273.37	332.14	279.14	351.14	353.59	231.32	466.88	202.66	265.87	559.28	126.12	297.17	346.29	285.03	285.03	379.04	190.34	214.27	323.03	325.29	72.52	423.61	87.65	239.52	460.44	195.72	220.32	205.5	480.04	258.57	323.03	325.29	457.25	229.72	348.71	279.14	395.18	147.06	327.56	253.23	323.03	251.48	387.02	473.41	173.85	229.72	343.89	392.44	406.31	336.79	389.72	239.52	264.03	283.05	283.05	368.65	384.34	172.65	392.44	624.99	277.2	438.59	162.14	285.03	271.48	607.87	271.48	248.0	229.72	104.42	125.24	153.34	166.73	156.59	260.38	251.48	318.57	105.89	154.42	182.55	142.01	99.43	124.37
HIPK2	72.01	497.0	182.55	73.03	356.05	206.94	231.32	241.19	463.65	232.94	271.48	234.57	71.5	93.35	228.13	147.06	273.37	228.13	167.9	53.57	124.37	316.37	358.54	483.38	136.19	228.13	77.79	73.54	432.53	112.77	96.68	775.05	49.21	269.6	191.67	162.14	307.69	503.95	165.57	34.75	208.38	438.59	49.56	518.15	134.3	155.5	183.82	463.65	255.0	279.14	384.34	332.14	204.07	258.57	339.14	329.84	148.09	287.01	175.07	363.56	273.37	346.29	301.33	173.85	265.87	363.56	273.37	249.73	228.13	356.05	223.41	117.6	381.68	206.94	563.18	223.41	205.5	191.67	348.71	363.56	61.25	325.29	197.09	303.44	181.28	299.25	51.35	205.5	100.13	133.36	108.9	148.09	100.83	175.07	53.19	136.19	32.36	57.08	170.25	55.1	59.55	114.36
HSPA14	454.09	603.67	389.72	303.44	764.36	743.43	633.73	511.0	450.94	563.18	1832.01	540.19	476.71	493.56	624.99	476.71	703.28	400.71	423.61	713.11	432.53	525.39	1199.98	642.59	698.41	1059.11	486.75	454.09	830.75	497.0	571.05	532.74	444.72	532.74	961.07	1143.1	518.15	529.06	384.34	232.94	466.88	358.54	559.28	575.03	346.29	432.53	400.71	842.36	379.04	536.45	567.1	723.08	397.93	412.0	629.35	638.15	234.57	493.56	587.13	612.11	571.05	591.22	679.29	384.34	400.71	497.0	651.58	480.04	493.56	423.61	551.56	343.89	497.0	334.46	769.69	336.79	285.03	486.75	624.99	483.38	346.29	842.36	412.0	368.65	674.59	490.14	332.14	348.71	193.01	356.05	432.53	332.14	376.41	329.84	384.34	289.02	293.07	432.53	327.56	293.07	255.0	366.09
IMPAD1	314.17	1295.13	417.77	420.68	1135.2	1331.57	575.03	493.56	1721.16	4836.35	1331.57	2777.33	1594.73	633.73	620.67	312.0	769.69	470.14	389.72	728.11	547.75	669.92	511.0	974.5	356.05	1073.91	536.45	656.11	1991.0	412.0	551.56	813.63	884.29	638.15	555.41	583.07	591.22	878.17	896.64	204.07	612.11	457.25	507.46	902.89	414.87	825.0	514.56	1350.18	723.08	669.92	759.08	902.89	429.54	642.59	603.67	660.68	438.59	674.59	629.35	599.49	587.13	764.36	1143.1	483.38	718.08	961.07	723.08	688.78	679.29	1407.55	612.11	329.84	693.58	915.51	1143.1	728.11	525.39	480.04	967.76	941.27	373.81	1030.12	457.25	414.87	769.69	665.29	591.22	441.64	265.87	409.15	450.94	417.77	334.46	348.71	417.77	583.07	432.53	389.72	339.14	417.77	312.0	463.65
ITCH	301.33	954.43	215.77	198.47	1088.92	547.75	414.87	316.37	314.17	595.34	536.45	540.19	307.69	218.79	441.64	218.79	414.87	220.32	289.02	567.1	299.25	392.44	532.74	688.78	253.23	571.05	231.32	444.72	921.88	242.88	309.83	483.38	242.88	441.64	460.44	334.46	356.05	583.07	511.0	111.99	555.41	320.8	320.8	679.29	205.5	269.6	283.05	860.08	412.0	497.0	503.95	785.88	325.29	575.03	651.58	497.0	189.02	412.0	368.65	497.0	387.02	620.67	693.58	242.88	753.83	603.67	480.04	444.72	753.83	693.58	289.02	341.51	708.18	312.0	848.22	669.92	341.51	314.17	633.73	423.61	241.19	1388.16	204.07	358.54	271.48	753.83	320.8	295.11	146.03	287.01	339.14	320.8	269.6	221.86	244.57	217.27	197.09	217.27	309.83	271.48	303.44	195.72
KDM5A	221.86	738.29	139.07	165.57	447.82	429.54	371.22	297.17	307.69	599.49	941.27	441.64	470.14	146.03	220.32	275.28	351.14	223.41	241.19	447.82	150.17	307.69	417.77	563.18	204.07	435.55	220.32	301.33	444.72	253.23	387.02	363.56	269.6	343.89	753.83	258.57	249.73	406.31	320.8	161.02	435.55	204.07	444.72	500.46	187.71	279.14	299.25	698.41	297.17	351.14	414.87	612.11	307.69	358.54	603.67	454.09	198.47	353.59	271.48	450.94	373.81	483.38	412.0	249.73	603.67	514.56	329.84	571.05	334.46	555.41	283.05	287.01	483.38	384.34	656.11	483.38	447.82	371.22	208.38	536.45	88.26	529.06	150.17	603.67	151.22	518.15	246.28	226.54	91.41	212.78	195.72	226.54	199.85	194.36	111.99	275.28	277.2	193.01	149.12	130.6	169.07	159.9
KIAA1715	113.56	579.04	133.36	146.03	1096.5	651.58	199.85	189.02	246.28	417.77	559.28	358.54	279.14	102.25	178.77	116.78	206.94	166.73	164.42	332.14	251.48	249.73	242.88	507.46	106.63	366.09	151.22	435.55	470.14	123.5	316.37	137.14	218.79	271.48	307.69	122.64	305.55	293.07	256.78	87.65	397.93	120.1	258.57	417.77	128.79	189.02	220.32	444.72	281.09	262.2	271.48	460.44	353.59	389.72	323.03	293.07	128.79	231.32	275.28	314.17	262.2	299.25	406.31	191.67	358.54	339.14	397.93	376.41	346.29	379.04	189.02	265.87	318.57	314.17	376.41	293.07	165.57	208.38	156.59	414.87	156.59	674.59	113.56	228.13	152.28	376.41	180.02	134.3	53.19	182.55	171.45	144.01	176.29	114.36	187.71	83.45	41.22	120.94	164.42	125.24	112.77	164.42
KPNA1	329.84	1242.34	336.79	208.38	1583.71	1037.29	988.12	612.11	947.83	1286.18	825.0	1551.09	842.36	423.61	612.11	417.77	947.83	476.71	307.69	1073.91	651.58	928.3	1081.39	1340.84	616.37	1529.73	547.75	878.17	808.0	555.41	921.88	1008.9	1143.1	603.67	612.11	563.18	571.05	743.43	791.35	228.13	1359.57	555.41	651.58	890.44	514.56	633.73	438.59	890.44	575.03	674.59	848.22	769.69	579.04	693.58	647.07	825.0	373.81	785.88	444.72	624.99	669.92	1059.11	890.44	514.56	698.41	775.05	698.41	1066.48	819.3	866.07	500.46	435.55	796.86	660.68	1322.37	665.29	490.14	607.87	1331.57	651.58	450.94	1457.23	511.0	525.39	563.18	638.15	368.65	297.17	215.77	289.02	351.14	297.17	255.0	329.84	323.03	514.56	287.01	336.79	320.8	312.0	295.11	395.18
LRRC8B	64.34	220.32	94.01	35.25	693.58	379.04	105.15	120.94	125.24	232.94	295.11	239.52	88.88	111.99	154.42	76.17	121.79	85.22	69.03	154.42	82.87	103.69	84.04	267.73	52.82	80.01	66.18	96.01	336.79	66.65	224.97	71.0	44.89	115.97	201.25	128.79	176.29	158.79	271.48	41.22	204.07	85.22	124.37	212.78	116.78	106.63	113.56	249.73	113.56	158.79	234.57	226.54	134.3	153.34	155.5	221.86	44.57	228.13	121.79	204.07	183.82	214.27	281.09	92.05	241.19	299.25	241.19	128.79	351.14	127.89	150.17	138.1	132.44	387.02	275.28	237.86	109.66	180.02	120.1	289.02	61.25	346.29	79.45	182.55	67.12	217.27	50.98	98.73	30.78	31.0	32.13	43.63	39.5	66.65	43.94	48.87	56.28	44.25	22.59	25.91	24.63	51.71
LTN1	129.69	417.77	155.5	35.76	547.75	279.14	218.79	215.77	157.68	221.86	220.32	307.69	181.28	118.43	162.14	167.9	175.07	127.0	158.79	299.25	163.28	199.85	195.72	348.71	108.9	289.02	145.02	224.97	376.41	128.79	170.25	232.94	106.63	241.19	154.42	101.54	187.71	260.38	209.84	37.85	232.94	129.69	177.53	381.68	94.67	156.59	153.34	486.75	151.22	258.57	285.03	599.49	204.07	253.23	371.22	299.25	91.41	190.34	182.55	299.25	202.66	366.09	406.31	139.07	285.03	341.51	368.65	490.14	435.55	412.0	164.42	220.32	253.23	281.09	543.96	301.33	246.28	325.29	167.9	289.02	75.11	358.54	97.36	409.15	124.37	490.14	112.77	126.12	39.5	115.97	147.06	147.06	135.24	123.5	57.49	105.15	105.15	172.65	127.89	127.89	141.02	102.25
MED13	171.45	571.05	169.07	115.16	738.29	466.88	348.71	244.57	303.44	547.75	384.34	438.59	483.38	194.36	293.07	164.42	438.59	190.34	201.25	423.61	708.18	318.57	775.05	759.08	114.36	318.57	197.09	299.25	567.1	161.02	339.14	299.25	206.94	299.25	295.11	144.01	283.05	395.18	348.71	111.99	356.05	201.25	329.84	547.75	199.85	205.5	232.94	780.44	287.01	323.03	429.54	693.58	271.48	397.93	460.44	409.15	125.24	289.02	269.6	395.18	316.37	473.41	500.46	185.11	802.41	529.06	301.33	444.72	329.84	470.14	140.04	246.28	299.25	426.57	780.44	447.82	204.07	279.14	373.81	371.22	48.52	2133.97	104.42	518.15	156.59	629.35	224.97	171.45	105.89	237.86	260.38	215.77	208.38	178.77	150.17	144.01	123.5	220.32	208.38	124.37	159.9	117.6
MGP	4903.87	229795.93	469249.9	275175.93	131982.68	40904.3	485798.0	286861.53	998912.34	1139523.1	659036.03	343510.77	593956.43	329517.51	431797.89	368165.8	502929.67	386469.83	256748.15	736332.6	288856.81	623486.02	577714.63	425853.18	282912.21	716197.51	462789.59	546551.29	466008.55	489177.0	569761.05	1196176.45	411347.03	414208.18	539026.74	443937.41	623486.02	434801.29	706337.4	21768.19	459592.86	687022.54	417089.23	343510.77	301123.38	251464.33	425853.18	80683.28	292889.12	358098.26	275175.93	110983.6	318292.9	453265.5	93974.69	462789.59	294926.33	331809.5	214407.12	277089.94	800198.39	269512.87	397335.0	509950.32	598087.73	378516.38	236256.4	585779.24	1524599.69	131982.68	282912.21	338781.54	400098.69	422911.59	334117.42	341137.96	370726.6	565825.41	869603.57	331809.5	1100706.72	845824.19	267651.2	496005.67	1308968.45	614902.29	46662.28	69753.56	19892.37	5112.16	6607.01	12943.04	6561.36	9673.69	200048.85	301123.38	34158.52	7382.04	296977.71	21026.65	10440.2	73730.83
MKL2	170.25	1008.9	228.13	138.1	490.14	463.65	373.81	429.54	603.67	764.36	291.04	343.89	316.37	1159.07	305.55	432.53	525.39	392.44	212.78	587.13	287.01	339.14	633.73	884.29	283.05	551.56	264.03	395.18	1088.92	187.71	255.0	301.33	166.73	444.72	215.77	125.24	358.54	684.02	271.48	103.69	603.67	193.01	214.27	947.83	163.28	351.14	363.56	954.43	511.0	551.56	684.02	813.63	323.03	638.15	603.67	647.07	220.32	599.49	325.29	483.38	463.65	629.35	836.53	316.37	583.07	1037.29	708.18	830.75	480.04	466.88	190.34	460.44	665.29	161.02	915.51	555.41	318.57	540.19	780.44	1008.9	45.85	463.65	165.57	1437.15	224.97	995.0	255.0	476.71	79.45	293.07	251.48	301.33	164.42	149.12	38.67	277.2	208.38	115.97	339.14	106.63	71.5	123.5
MTDH	559.28	1697.45	476.71	493.56	1963.57	2701.35	1143.1	1015.93	2591.27	4903.87	3614.55	6516.03	2400.97	988.12	934.76	633.73	1322.37	780.44	738.29	1540.37	819.3	921.88	1397.83	2895.31	426.57	1540.37	791.35	785.88	3847.29	738.29	2090.03	1015.93	1977.24	1295.13	1936.53	1242.34	775.05	1242.34	1437.15	283.05	1268.46	1242.34	884.29	1340.84	514.56	1757.34	1015.93	1709.26	1023.0	1119.56	1159.07	1870.53	780.44	1199.98	1529.73	1225.22	603.67	1167.14	1127.35	1304.15	878.17	1417.35	1697.45	684.02	842.36	2047.0	753.83	1397.83	988.12	2367.9	1216.75	825.0	1119.56	1001.93	1991.0	1268.46	743.43	656.11	941.27	1551.09	571.05	1477.58	392.44	624.99	718.08	1457.23	860.08	679.29	314.17	688.78	703.28	665.29	651.58	651.58	688.78	718.08	540.19	703.28	587.13	947.83	603.67	708.18
MYO5A	78.89	432.53	88.88	96.68	647.07	182.55	211.31	134.3	73.03	285.03	551.56	255.0	145.02	114.36	190.34	82.87	239.52	103.69	86.43	136.19	90.14	223.41	197.09	146.03	111.21	220.32	92.7	138.1	193.01	94.01	172.65	78.89	246.28	145.02	212.78	95.34	115.16	269.6	239.52	103.69	166.73	33.78	162.14	242.88	104.42	112.77	161.02	299.25	158.79	204.07	190.34	218.79	104.42	159.9	181.28	198.47	80.01	178.77	204.07	167.9	115.97	167.9	249.73	130.6	194.36	318.57	228.13	163.28	224.97	283.05	57.49	147.06	251.48	100.83	204.07	158.79	141.02	201.25	231.32	182.55	36.79	318.57	158.79	224.97	80.01	273.37	90.77	132.44	46.84	82.29	87.65	60.82	64.8	57.08	54.33	185.11	19.53	71.5	128.79	18.43	144.01	115.16
MYO9A	103.69	371.22	114.36	29.7	483.38	363.56	120.1	224.97	82.29	217.27	231.32	246.28	46.5	41.52	127.89	112.77	134.3	152.28	122.64	169.07	63.0	136.19	154.42	221.86	93.35	183.82	143.01	130.6	234.57	75.64	198.47	74.06	109.66	226.54	158.79	148.09	285.03	346.29	183.82	52.45	197.09	36.53	248.0	656.11	92.7	141.02	215.77	483.38	255.0	264.03	381.68	607.87	209.84	417.77	525.39	387.02	91.41	241.19	242.88	329.84	271.48	466.88	356.05	167.9	669.92	591.22	223.41	429.54	353.59	417.77	140.04	309.83	325.29	206.94	718.08	279.14	409.15	395.18	198.47	353.59	50.98	723.08	111.99	551.56	172.65	460.44	116.78	124.37	52.45	157.68	164.42	167.9	144.01	92.7	25.35	49.91	73.03	112.77	135.24	112.77	124.37	131.51
NCOA2	224.97	599.49	183.82	92.7	381.68	559.28	371.22	323.03	684.02	1832.01	543.96	599.49	1023.0	185.11	273.37	289.02	579.04	305.55	249.73	563.18	309.83	267.73	314.17	540.19	146.03	457.25	262.2	339.14	571.05	241.19	267.73	603.67	224.97	343.89	260.38	346.29	262.2	423.61	309.83	70.51	480.04	156.59	447.82	500.46	165.57	435.55	221.86	612.11	303.44	400.71	476.71	708.18	318.57	438.59	567.1	483.38	110.43	287.01	251.48	500.46	400.71	633.73	463.65	202.66	723.08	775.05	423.61	802.41	884.29	629.35	193.01	438.59	583.07	281.09	703.28	612.11	429.54	511.0	175.07	591.22	170.25	595.34	159.9	954.43	273.37	698.41	218.79	258.57	70.01	220.32	248.0	217.27	226.54	211.31	91.41	98.73	151.22	156.59	191.67	167.9	113.56	107.38
NCOA3	366.09	583.07	171.45	246.28	497.0	454.09	325.29	262.2	297.17	651.58	223.41	457.25	460.44	244.57	435.55	165.57	607.87	197.09	178.77	358.54	244.57	275.28	289.02	339.14	158.79	420.68	214.27	275.28	503.95	231.32	348.71	373.81	262.2	277.2	231.32	258.57	237.86	275.28	307.69	159.9	237.86	195.72	262.2	412.0	141.02	279.14	198.47	547.75	248.0	262.2	325.29	547.75	224.97	361.04	384.34	358.54	122.64	251.48	224.97	343.89	281.09	412.0	395.18	180.02	395.18	473.41	303.44	320.8	242.88	327.56	164.42	173.85	460.44	166.73	599.49	341.51	239.52	202.66	158.79	285.03	51.35	351.14	164.42	258.57	148.09	361.04	211.31	193.01	89.51	246.28	236.21	267.73	206.94	242.88	189.02	183.82	161.02	129.69	149.12	129.69	220.32	142.01
