	TCGA.G4.6321.01A.11R.1723.07	TCGA.AZ.4323.01A.21R.1839.07	TCGA.A6.2679.11A.01R.A32Z.07	TCGA.A6.2684.11A.01R.A32Z.07	GTEX.11P7K.1526.SM.5EGI7	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.S7SF.1926.SM.4AT5B	GTEX.ZP4G.1726.SM.4WWCM	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.147F3.1926.SM.5SIB9	GTEX.11P82.1026.SM.5BC5J	GTEX.Y9LG.1526.SM.4WWDR	GTEX.Q2AI.0926.SM.48U1F	GTEX.PWN1.1426.SM.48TDF	GTEX.WQUQ.2526.SM.4MVNO	GTEX.R55G.1226.SM.48FDC	GTEX.14E6E.1526.SM.5RQIG	GTEX.X3Y1.1726.SM.4PQZL	GTEX.S3XE.1126.SM.4AD4N	GTEX.11DXX.1826.SM.5H126	GTEX.XUJ4.2026.SM.4BOOW	GTEX.145MN.1726.SM.5SIA6	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.WQUQ.2626.SM.4MVNP	GTEX.1399S.1926.SM.5J2M5	GTEX.13D11.0826.SM.5KLZJ	GTEX.XBEW.1926.SM.4SOJO	GTEX.1128S.1626.SM.5H12O	GTEX.145LT.0926.SM.5LU9C	GTEX.P4PP.1426.SM.3NM9L	GTEX.UJHI.1126.SM.4IHLN	GTEX.Y5LM.1526.SM.4VDTA	GTEX.13O21.2426.SM.5MR4A	GTEX.WHWD.1226.SM.4OOS1	GTEX.13FHP.2426.SM.5KLZ5	GTEX.R55D.1826.SM.48FEF	GTEX.PWCY.1026.SM.48TD4	GTEX.139YR.2126.SM.5KM11	GTEX.11EQ9.1526.SM.5PNY7	GTEX.1122O.1526.SM.5N9CL	GTEX.Y8E4.2426.SM.4WWDN	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XBED.1526.SM.4AT5W	GTEX.ZZ64.0726.SM.5GZX4	GTEX.131XG.1826.SM.5LZV4	GTEX.VJYA.2026.SM.4KL1K	GTEX.XUZC.1326.SM.4BRV2	GTEX.13OVJ.1726.SM.5IJDZ	GTEX.11I78.1226.SM.5A5K6	GTEX.TKQ2.1326.SM.4DXT9	GTEX.RM2N.0926.SM.48FD1	GTEX.T5JW.1126.SM.4DM5V	GTEX.11NSD.1626.SM.5986U	GTEX.12KS4.2426.SM.5LU8P	GTEX.14DAR.1526.SM.5RQIX	GTEX.ZTSS.1126.SM.5985O	GTEX.Y3IK.1826.SM.4WWDS	GTEX.PX3G.1426.SM.48U1J	GTEX.P78B.1726.SM.3P5ZV	GTEX.QEL4.1926.SM.4R1JI	GTEX.XUW1.1926.SM.4BOP1	GTEX.V955.1626.SM.4JBHJ	GTEX.ZLV1.1226.SM.4WWBX	GTEX.ZT9W.1826.SM.51MQX	GTEX.13NYB.1326.SM.5K7Y1	GTEX.11DYG.1926.SM.5H12I	GTEX.13OW6.1626.SM.5IJD5	GTEX.11O72.1926.SM.5PNW1
ERO1LB	22.59	351.14	58.3	39.22	49.21	26.67	5.92	33.54	30.56	66.65	32.82	37.85	66.65	36.01	34.51	19.11	37.05	98.73	24.28	9.85	85.22	105.89	19.25	25.54	48.87	35.76	49.91	18.56	25.17	21.16	107.38	18.03	48.52	43.63	46.18	49.21	63.45	22.75	20.26	17.64	59.97	129.69	40.93	47.84	78.34	82.87	19.25	52.82	37.05	59.55	94.67	31.67	63.45	29.7	145.02	25.91	53.57	49.21	29.91	97.36	183.82	26.86	65.26	34.02	55.89	105.15	76.17	84.63	140.04	62.12	19.97	191.67	299.25	307.69	291.04
ESR1	4.43	27.44	17.25	5.06	8.51	13.12	1.01	5.23	10.71	8.06	4.54	3.92	10.24	16.75	5.96	3.72	3.53	9.13	3.03	1.91	14.14	14.56	1.81	5.36	10.79	8.19	5.02	2.73	7.28	6.41	10.71	5.23	8.45	14.14	13.22	5.11	14.67	4.06	2.23	6.16	17.51	62.12	5.87	5.82	23.08	18.7	3.41	33.78	11.64	5.68	12.27	4.5	14.03	5.11	31.22	3.5	20.26	11.82	3.79	29.48	68.07	4.21	9.93	12.64	17.77	27.25	24.11	11.47	8.51	6.84	2.32	72.01	78.34	136.19	57.49
FAM126A	24.99	269.6	72.01	38.12	36.53	25.35	13.93	26.86	38.12	63.45	24.11	22.1	58.3	22.92	32.82	36.27	33.78	109.66	28.65	12.74	87.65	117.6	30.12	16.75	34.26	20.56	43.94	28.04	32.36	36.79	120.94	21.94	36.53	51.71	118.43	41.81	49.91	25.17	20.41	24.81	42.41	217.27	35.5	49.21	60.82	131.51	16.03	92.7	28.45	36.53	120.1	21.63	66.18	20.11	178.77	16.39	41.52	45.21	19.39	87.65	170.25	21.63	74.06	31.0	72.01	132.44	99.43	77.79	152.28	30.34	13.32	587.13	486.75	397.93	555.41
FAM65A	432.53	1844.76	563.18	376.41	314.17	291.04	180.02	229.72	353.59	447.82	275.28	211.31	373.81	214.27	346.29	237.86	323.03	713.11	194.36	84.63	532.74	595.34	217.27	241.19	193.01	269.6	368.65	214.27	202.66	351.14	738.29	244.57	279.14	587.13	603.67	397.93	406.31	277.2	157.68	128.79	353.59	921.88	255.0	423.61	403.5	915.51	212.78	651.58	318.57	305.55	656.11	234.57	406.31	244.57	738.29	255.0	525.39	343.89	220.32	656.11	698.41	256.78	532.74	289.02	555.41	802.41	620.67	525.39	796.86	361.04	198.47	1359.57	1447.15	1388.16	1697.45
HDAC7	463.65	2451.44	775.05	400.71	353.59	334.46	291.04	323.03	490.14	591.22	420.68	329.84	521.76	248.0	412.0	392.44	450.94	733.19	325.29	206.94	909.17	728.11	285.03	356.05	256.78	320.8	525.39	255.0	289.02	334.46	825.0	379.04	389.72	638.15	718.08	450.94	470.14	373.81	299.25	224.97	435.55	1015.93	429.54	511.0	457.25	1030.12	275.28	651.58	392.44	500.46	620.67	295.11	595.34	343.89	921.88	316.37	567.1	414.87	312.0	728.11	780.44	366.09	536.45	368.65	656.11	928.3	642.59	693.58	967.76	412.0	295.11	1617.0	1950.0	1519.15	2701.35
HERC5	15.45	137.14	84.04	52.82	47.5	69.03	10.16	88.26	71.0	46.84	43.63	60.39	99.43	33.78	42.71	8.85	26.86	117.6	19.82	6.41	49.56	84.04	36.79	19.68	49.56	50.27	60.82	10.0	27.84	21.47	119.26	32.13	47.84	54.72	53.57	36.01	84.63	25.72	18.16	12.93	72.52	150.17	24.28	22.75	46.84	67.12	17.77	95.34	41.52	95.34	65.26	20.11	72.01	11.73	94.01	17.13	89.51	55.49	23.93	71.5	164.42	47.5	69.52	35.5	75.64	120.94	94.67	41.52	71.0	38.95	21.63	183.82	78.34	237.86	94.01
HSF1	1617.0	2119.22	1651.0	1870.53	995.0	1199.98	1304.15	1304.15	1407.55	1143.1	1233.75	1096.5	1277.29	896.64	1447.15	1096.5	1605.83	2193.99	1044.52	909.17	1617.0	1639.59	1127.35	1487.87	1008.9	1250.98	1259.69	1159.07	1096.5	1037.29	2090.03	1216.75	1104.13	1508.65	1651.0	1242.34	1059.11	1183.45	1008.9	1044.52	1143.1	1923.14	1208.34	1583.71	1183.45	1628.26	1037.29	1467.37	1268.46	1594.73	1617.0	1111.82	1540.37	1167.14	2061.24	1216.75	1277.29	1397.83	1331.57	1561.89	1923.14	1322.37	1529.73	1225.22	1259.69	1350.18	1417.35	1745.2	1977.24	1208.34	1059.11	3103.19	2777.33	2047.0	3280.18
HUWE1	909.17	2502.97	1277.29	860.08	836.53	753.83	587.13	1119.56	1015.93	1242.34	947.83	909.17	1001.93	836.53	1001.93	723.08	890.44	1143.1	665.29	309.83	1225.22	1388.16	808.0	884.29	791.35	743.43	674.59	791.35	954.43	1001.93	1350.18	854.13	791.35	1127.35	1208.34	1044.52	947.83	819.3	679.29	981.29	974.5	1216.75	981.29	1008.9	1015.93	1322.37	854.13	1268.46	890.44	934.76	1183.45	743.43	1268.46	796.86	1331.57	1111.82	1081.39	1001.93	1008.9	1467.37	1498.22	860.08	1119.56	575.03	1286.18	1313.23	1159.07	1277.29	1350.18	1030.12	738.29	1561.89	1697.45	2193.99	1896.65
IGLON5	4.24	651.58	6.62	1.19	0.0	0.83	0.64	0.12	2.89	5.82	3.2	2.46	4.03	0.19	1.77	2.56	2.89	12.36	2.03	0.0	9.48	9.34	1.5	2.25	1.68	0.56	2.46	1.36	0.53	0.09	8.32	0.42	0.87	5.36	1.91	2.97	2.43	1.68	0.74	0.4	0.31	19.11	0.99	6.41	3.14	11.55	1.41	7.11	1.75	2.25	15.8	1.69	5.59	2.27	25.35	2.34	3.56	2.51	0.91	7.82	8.78	0.91	5.32	1.85	6.78	6.78	3.44	9.34	11.21	2.25	3.2	19.25	11.55	5.19	16.03
ILKAP	738.29	1551.09	759.08	738.29	575.03	521.76	708.18	612.11	723.08	728.11	660.68	591.22	718.08	620.67	738.29	575.03	559.28	988.12	521.76	500.46	902.89	748.61	532.74	665.29	587.13	587.13	808.0	607.87	511.0	579.04	1001.93	624.99	529.06	854.13	842.36	629.35	638.15	665.29	463.65	493.56	567.1	1001.93	703.28	775.05	633.73	995.0	507.46	733.19	500.46	713.11	769.69	454.09	860.08	583.07	836.53	698.41	743.43	629.35	563.18	884.29	866.07	583.07	813.63	620.67	780.44	974.5	866.07	808.0	1096.5	642.59	540.19	1167.14	1295.13	1242.34	1104.13
IQSEC3	11.82	264.03	33.3	15.68	21.78	3.35	7.75	10.63	36.01	15.45	4.1	11.47	29.7	3.0	6.57	7.63	7.88	67.59	5.82	21.47	29.06	33.54	4.86	7.4	4.21	8.58	32.82	1.81	11.55	8.51	35.76	4.13	12.09	20.56	29.91	56.28	32.13	1.66	2.32	5.19	40.64	69.52	8.19	3.59	30.34	34.02	1.14	33.3	23.08	20.86	61.25	11.13	20.86	15.11	75.64	3.2	50.98	46.84	8.0	36.01	42.11	0.8	10.24	21.78	27.25	44.57	23.76	10.47	37.59	6.06	6.21	93.35	47.5	93.35	87.03
KCNQ3	0.88	42.11	4.35	0.89	4.39	0.42	0.09	1.41	1.99	3.08	1.89	1.77	1.97	1.6	4.78	1.41	4.13	5.63	1.11	0.17	6.21	8.0	1.48	0.87	1.95	2.23	2.36	1.85	0.62	0.84	4.17	1.31	1.55	3.32	2.48	2.66	3.92	1.17	2.39	0.45	0.38	14.03	3.5	2.03	3.41	15.68	1.66	4.35	1.07	2.63	10.39	0.82	2.29	2.14	11.38	1.57	4.66	3.72	1.08	2.56	3.53	1.03	3.72	1.01	5.15	8.25	3.2	8.85	9.13	1.77	1.04	40.64	18.56	21.47	12.27
LIX1L	91.41	769.69	217.27	118.43	126.12	90.14	56.68	77.79	156.59	237.86	98.04	74.06	126.12	90.77	90.77	89.51	79.45	246.28	92.7	35.5	265.87	297.17	74.06	48.52	73.03	64.8	147.06	53.57	98.73	83.45	332.14	61.68	100.13	153.34	236.21	102.97	194.36	74.58	67.12	47.5	127.0	486.75	88.88	129.69	146.03	426.57	52.45	255.0	89.51	121.79	273.37	80.57	169.07	55.89	217.27	73.03	173.85	99.43	73.03	297.17	379.04	76.71	159.9	98.04	334.46	373.81	224.97	269.6	423.61	90.14	51.71	688.78	551.56	647.07	620.67
LPHN2	32.59	457.25	176.29	78.34	145.02	122.64	24.81	69.03	185.11	262.2	111.99	94.67	293.07	130.6	103.69	63.45	111.99	305.55	105.15	38.67	265.87	348.71	78.34	50.98	72.01	47.5	159.9	75.64	139.07	73.03	358.54	55.89	114.36	169.07	339.14	103.69	202.66	53.57	106.63	53.19	127.0	660.68	57.49	149.12	166.73	406.31	49.56	273.37	80.01	118.43	325.29	125.24	193.01	78.34	525.39	63.89	140.04	108.9	127.89	239.52	500.46	62.56	138.1	82.87	199.85	275.28	265.87	269.6	381.68	90.14	38.67	738.29	651.58	1397.83	808.0
LTBP2	47.17	616.37	155.5	79.45	125.24	57.08	39.22	59.55	42.41	36.53	27.64	49.56	51.71	21.94	117.6	42.41	48.18	244.57	18.43	23.42	124.37	120.94	88.26	30.78	25.35	31.9	47.17	24.28	46.84	71.5	163.28	33.3	61.25	141.02	223.41	41.81	178.77	56.28	38.12	17.64	100.13	206.94	93.35	75.11	223.41	135.24	36.27	211.31	84.04	57.89	165.57	20.71	59.13	27.64	417.77	23.25	72.01	153.34	29.48	180.02	450.94	27.25	224.97	35.5	162.14	218.79	92.05	95.34	269.6	62.12	22.1	638.15	339.14	426.57	884.29
MAP3K3	144.01	607.87	351.14	264.03	255.0	201.25	93.35	191.67	279.14	303.44	246.28	169.07	287.01	134.3	193.01	166.73	262.2	420.68	155.5	74.58	507.46	521.76	157.68	172.65	145.02	152.28	224.97	133.36	183.82	173.85	403.5	164.42	186.4	299.25	387.02	175.07	239.52	144.01	157.68	127.0	204.07	497.0	199.85	232.94	262.2	555.41	143.01	303.44	173.85	283.05	460.44	181.28	226.54	167.9	283.05	181.28	251.48	269.6	143.01	351.14	447.82	180.02	301.33	178.77	361.04	555.41	400.71	486.75	629.35	241.19	132.44	599.49	713.11	571.05	785.88
NCKAP5L	36.27	713.11	130.6	75.11	52.45	49.56	38.4	62.56	71.5	83.45	77.79	35.5	55.49	31.22	52.82	47.17	56.28	133.36	43.63	25.91	128.79	130.6	32.82	42.41	29.27	38.95	78.89	40.93	49.56	60.39	154.42	48.87	50.27	85.82	112.77	58.71	55.1	45.53	39.22	30.78	54.72	249.73	55.1	64.8	75.64	178.77	31.67	96.01	62.12	71.0	102.25	39.22	78.89	45.53	123.5	42.71	94.67	67.12	33.54	102.25	156.59	40.64	84.04	50.98	110.43	185.11	120.94	115.16	181.28	55.89	32.59	366.09	529.06	423.61	555.41
NGDN	536.45	1359.57	791.35	759.08	607.87	603.67	688.78	708.18	718.08	854.13	825.0	599.49	836.53	466.88	796.86	555.41	830.75	1015.93	532.74	312.0	941.27	769.69	738.29	607.87	629.35	567.1	780.44	813.63	591.22	629.35	1081.39	521.76	607.87	665.29	848.22	703.28	647.07	563.18	497.0	651.58	764.36	872.1	500.46	612.11	780.44	1096.5	555.41	890.44	638.15	759.08	947.83	567.1	674.59	563.18	836.53	665.29	656.11	651.58	693.58	866.07	1096.5	620.67	825.0	764.36	764.36	934.76	1030.12	748.61	1081.39	642.59	567.1	915.51	896.64	1088.92	860.08
NIN	83.45	343.89	190.34	128.79	146.03	66.65	38.95	135.24	133.36	99.43	119.26	114.36	119.26	159.9	158.79	165.57	76.71	164.42	146.03	82.29	181.28	242.88	78.89	105.15	187.71	78.34	82.87	111.99	140.04	118.43	189.02	110.43	106.63	116.78	164.42	85.22	165.57	71.5	56.28	52.08	159.9	249.73	147.06	84.04	141.02	217.27	78.34	173.85	149.12	117.6	166.73	138.1	220.32	94.67	275.28	158.79	138.1	244.57	122.64	297.17	392.44	156.59	159.9	77.25	223.41	244.57	183.82	186.4	265.87	146.03	81.14	211.31	309.83	507.46	253.23
NUP188	281.09	813.63	426.57	242.88	262.2	242.88	212.78	368.65	353.59	323.03	353.59	262.2	269.6	163.28	283.05	307.69	323.03	470.14	234.57	125.24	470.14	426.57	241.19	318.57	220.32	265.87	241.19	277.2	277.2	275.28	463.65	307.69	242.88	346.29	409.15	285.03	253.23	223.41	187.71	253.23	389.72	379.04	303.44	403.5	371.22	432.53	208.38	361.04	269.6	283.05	426.57	255.0	500.46	262.2	587.13	363.56	325.29	353.59	239.52	412.0	536.45	271.48	392.44	232.94	397.93	470.14	470.14	389.72	497.0	289.02	271.48	748.61	660.68	703.28	718.08
ODF2	236.21	1832.01	457.25	318.57	301.33	287.01	223.41	312.0	368.65	305.55	279.14	249.73	356.05	186.4	287.01	327.56	289.02	503.95	260.38	140.04	536.45	532.74	241.19	301.33	239.52	341.51	327.56	303.44	289.02	307.69	532.74	214.27	236.21	312.0	441.64	316.37	264.03	287.01	198.47	253.23	356.05	441.64	303.44	420.68	379.04	426.57	195.72	379.04	301.33	351.14	483.38	264.03	389.72	264.03	591.22	287.01	368.65	301.33	260.38	460.44	518.15	241.19	466.88	231.32	376.41	540.19	511.0	514.56	607.87	301.33	197.09	366.09	529.06	507.46	559.28
OLFM2	39.79	563.18	145.02	32.82	40.64	39.22	33.06	23.59	27.44	59.55	39.79	50.27	57.89	50.98	43.63	23.93	49.91	100.83	17.9	8.32	81.14	77.25	23.25	27.64	27.84	21.94	57.08	27.44	18.43	35.25	83.45	24.99	29.48	51.35	67.59	54.72	47.5	39.79	15.22	8.25	47.17	299.25	37.32	37.05	77.25	146.03	14.67	88.26	26.47	43.02	125.24	24.28	82.29	23.59	224.97	29.7	97.36	37.85	38.95	135.24	93.35	24.63	71.5	45.85	92.7	122.64	64.34	139.07	90.77	10.88	13.83	414.87	131.51	126.12	212.78
OSBPL8	232.94	320.8	141.02	95.34	154.42	72.52	44.57	94.67	114.36	151.22	101.54	84.04	147.06	137.14	109.66	92.7	146.03	185.11	101.54	61.68	201.25	198.47	75.64	72.01	107.38	127.0	84.63	108.14	93.35	102.97	181.28	90.77	96.68	115.16	171.45	111.99	155.5	78.89	92.05	79.45	131.51	289.02	148.09	96.01	202.66	258.57	125.24	170.25	115.97	105.89	223.41	79.45	122.64	92.05	316.37	116.78	129.69	117.6	75.64	172.65	277.2	96.68	123.5	81.71	186.4	178.77	197.09	171.45	258.57	110.43	50.27	307.69	307.69	379.04	281.09
PDZD2	13.12	106.63	42.11	12.45	26.1	14.67	3.23	10.08	24.11	24.63	17.77	10.79	30.56	11.91	23.59	17.77	19.68	47.17	21.32	6.01	31.9	80.57	12.64	13.42	14.14	7.63	18.97	14.67	21.16	8.25	39.5	13.93	12.55	28.65	51.71	18.16	20.86	6.41	11.55	11.04	18.29	65.72	18.56	20.71	29.7	66.18	14.78	23.42	11.73	21.94	55.49	13.22	26.86	10.47	73.54	13.83	26.67	26.67	8.78	29.48	54.72	13.42	28.45	13.52	27.25	59.13	41.22	34.26	54.33	18.16	11.13	145.02	119.26	204.07	217.27
PHF20	101.54	480.04	177.53	127.0	127.0	96.68	74.58	111.21	135.24	159.9	107.38	97.36	113.56	82.87	128.79	100.13	142.01	194.36	109.66	55.49	218.79	253.23	98.04	93.35	105.15	76.17	141.02	95.34	117.6	123.5	234.57	90.14	112.77	167.9	175.07	129.69	170.25	79.45	77.25	81.71	135.24	236.21	93.35	141.02	156.59	229.72	90.77	189.02	109.66	118.43	255.0	82.29	187.71	99.43	166.73	111.99	130.6	131.51	118.43	231.32	229.72	100.13	197.09	104.42	193.01	167.9	148.09	206.94	314.17	137.14	64.8	285.03	309.83	336.79	264.03
PHGR1	783730.52	295.11	172949.54	472513.8	386469.83	313910.86	492579.5	329517.51	273275.14	233003.78	338781.54	348306.01	171754.88	355624.68	307450.64	301123.38	271387.49	133825.1	288856.81	509950.32	126606.21	138544.47	320506.81	299043.36	253213.41	437825.58	414208.18	311742.51	341137.96	267651.2	37639.55	279017.26	301123.38	226632.25	107948.72	290865.98	239554.43	249727.34	279017.26	313910.86	271387.49	70238.75	338781.54	311742.51	241220.67	47313.67	307450.64	140478.49	284880.02	303217.87	148488.36	378516.38	244588.0	370726.6	76330.98	322736.12	389157.95	269512.87	400098.69	117311.73	53230.77	290865.98	184082.4	419990.32	135693.24	81244.48	253213.41	134755.94	40062.48	288856.81	294926.33	0.0	7857.29	0.0	0.0
PIP4K2A	231.32	703.28	397.93	206.94	221.86	182.55	131.51	253.23	170.25	193.01	156.59	214.27	256.78	193.01	226.54	134.3	165.57	299.25	131.51	84.63	236.21	351.14	158.79	107.38	165.57	133.36	232.94	126.12	173.85	187.71	373.81	161.02	201.25	264.03	358.54	159.9	208.38	164.42	114.36	92.05	269.6	511.0	183.82	170.25	325.29	307.69	132.44	242.88	154.42	199.85	267.73	127.0	191.67	182.55	483.38	142.01	187.71	221.86	167.9	336.79	514.56	159.9	229.72	112.77	241.19	420.68	323.03	295.11	356.05	193.01	135.24	480.04	409.15	521.76	476.71
PLXDC1	43.94	603.67	220.32	133.36	111.99	108.14	97.36	133.36	209.84	88.88	75.64	90.14	159.9	44.25	110.43	93.35	115.16	414.87	59.13	61.25	226.54	186.4	102.97	86.43	84.04	80.01	96.68	100.83	59.97	90.77	277.2	92.7	82.87	126.12	353.59	66.18	97.36	91.41	103.69	50.98	151.22	612.11	83.45	72.52	181.28	189.02	124.37	248.0	175.07	151.22	212.78	58.71	289.02	68.55	417.77	34.75	283.05	209.84	66.18	392.44	423.61	75.64	118.43	92.05	190.34	275.28	163.28	140.04	140.04	154.42	44.89	1111.82	1159.07	1936.53	2485.67
PNMA2	19.39	186.4	33.06	10.08	9.78	2.14	0.84	13.42	13.22	17.51	13.22	1.87	16.39	3.44	9.7	8.45	13.62	21.32	2.12	2.97	29.7	65.72	4.21	1.64	2.23	8.58	15.0	3.06	7.63	6.73	28.24	4.94	1.46	34.75	41.81	6.41	17.13	3.79	3.11	3.66	12.74	102.25	12.45	8.32	22.92	35.5	5.92	18.84	22.43	30.56	41.52	1.51	21.16	5.28	67.59	5.15	21.94	16.75	3.72	26.86	46.5	2.58	12.93	6.46	19.25	22.43	14.24	44.25	66.65	11.13	0.59	68.55	92.05	61.25	120.94
PODXL	356.05	884.29	287.01	130.6	291.04	206.94	102.25	214.27	198.47	255.0	111.21	128.79	271.48	246.28	264.03	136.19	234.57	301.33	141.02	78.34	358.54	295.11	146.03	123.5	143.01	228.13	164.42	161.02	120.1	138.1	376.41	169.07	189.02	260.38	409.15	267.73	316.37	171.45	135.24	130.6	173.85	830.75	141.02	301.33	297.17	463.65	169.07	307.69	124.37	193.01	325.29	133.36	271.48	152.28	595.34	198.47	206.94	165.57	146.03	279.14	435.55	214.27	323.03	162.14	248.0	273.37	208.38	295.11	323.03	208.38	88.26	1594.73	395.18	665.29	660.68
POLR1E	105.15	591.22	228.13	295.11	175.07	199.85	138.1	157.68	236.21	212.78	164.42	172.65	221.86	141.02	228.13	182.55	172.65	248.0	135.24	96.68	371.22	267.73	173.85	224.97	147.06	153.34	226.54	169.07	171.45	208.38	260.38	149.12	177.53	231.32	327.56	217.27	269.6	124.37	176.29	170.25	201.25	301.33	152.28	248.0	190.34	351.14	134.3	327.56	189.02	262.2	329.84	133.36	231.32	175.07	518.15	172.65	231.32	172.65	161.02	305.55	403.5	194.36	260.38	236.21	264.03	277.2	241.19	291.04	341.51	190.34	151.22	334.46	361.04	303.44	395.18
POLR3E	547.75	1359.57	587.13	497.0	435.55	432.53	387.02	547.75	473.41	536.45	470.14	438.59	591.22	387.02	529.06	470.14	536.45	698.41	351.14	220.32	764.36	638.15	466.88	473.41	493.56	503.95	444.72	450.94	587.13	447.82	688.78	450.94	432.53	674.59	587.13	620.67	507.46	432.53	368.65	616.37	507.46	559.28	536.45	583.07	607.87	612.11	406.31	591.22	559.28	555.41	684.02	441.64	698.41	403.5	909.17	638.15	463.65	603.67	518.15	693.58	813.63	460.44	684.02	381.68	665.29	688.78	624.99	620.67	669.92	563.18	420.68	748.61	825.0	981.29	1059.11
POM121C	277.2	928.3	460.44	371.22	303.44	291.04	198.47	283.05	363.56	387.02	343.89	269.6	361.04	231.32	366.09	327.56	457.25	444.72	260.38	132.44	435.55	543.96	309.83	273.37	334.46	293.07	249.73	325.29	293.07	273.37	447.82	368.65	295.11	358.54	420.68	336.79	336.79	269.6	236.21	307.69	432.53	417.77	301.33	400.71	417.77	518.15	301.33	444.72	281.09	343.89	591.22	314.17	429.54	285.03	629.35	483.38	356.05	376.41	285.03	470.14	563.18	348.71	392.44	241.19	490.14	480.04	521.76	470.14	507.46	346.29	273.37	470.14	642.59	813.63	579.04
PREX2	5.36	51.35	25.91	16.15	21.78	10.16	5.92	7.69	21.32	20.26	10.96	18.43	20.56	19.97	15.8	9.85	15.45	31.9	12.27	6.62	21.78	24.46	9.93	10.79	11.47	8.92	23.42	7.0	25.72	12.93	37.85	10.24	16.39	22.59	51.71	16.51	25.54	11.64	9.41	9.56	12.55	94.67	18.56	18.16	28.86	50.63	8.51	25.54	20.56	13.62	42.41	13.32	28.24	12.64	50.98	11.91	29.27	28.86	7.28	20.56	86.43	9.27	34.75	13.83	26.47	29.91	36.53	27.25	29.7	13.52	9.56	236.21	148.09	178.77	251.48
PTPN12	780.44	629.35	567.1	466.88	454.09	332.14	277.2	379.04	497.0	543.96	371.22	368.65	603.67	389.72	395.18	348.71	441.64	733.19	435.55	325.29	595.34	1008.9	334.46	305.55	334.46	309.83	432.53	412.0	532.74	507.46	878.17	379.04	432.53	525.39	708.18	444.72	633.73	262.2	444.72	329.84	348.71	954.43	343.89	454.09	493.56	723.08	363.56	543.96	417.77	532.74	738.29	387.02	480.04	358.54	743.43	361.04	457.25	457.25	371.22	607.87	759.08	368.65	551.56	384.34	486.75	723.08	633.73	642.59	1259.69	457.25	334.46	1340.84	1216.75	1340.84	1936.53
QKI	71.5	525.39	343.89	202.66	248.0	126.12	41.52	111.99	157.68	264.03	126.12	95.34	208.38	138.1	122.64	120.1	120.94	392.44	133.36	31.22	371.22	603.67	108.14	86.43	116.78	76.71	186.4	82.29	201.25	105.15	547.75	95.34	143.01	236.21	339.14	150.17	273.37	63.45	63.45	57.89	140.04	728.11	123.5	173.85	275.28	693.58	80.01	353.59	72.52	154.42	612.11	100.83	258.57	71.5	417.77	124.37	206.94	150.17	77.25	466.88	490.14	87.65	285.03	116.78	356.05	518.15	351.14	423.61	656.11	121.79	62.56	1350.18	860.08	890.44	1159.07
RASGRF2	59.55	99.43	21.94	13.62	22.43	18.43	11.82	19.25	19.97	31.9	19.68	12.36	30.78	22.75	23.08	9.78	29.48	70.01	17.38	8.38	35.5	39.79	12.93	9.2	12.64	16.03	21.78	14.45	13.03	15.0	80.57	13.72	18.03	39.79	53.57	30.78	27.44	22.1	12.0	12.93	20.26	113.56	18.16	23.76	37.59	49.91	12.18	31.22	12.55	20.41	41.81	20.11	50.27	12.74	72.01	21.16	31.67	26.86	15.45	45.53	69.03	17.64	35.25	18.56	24.46	36.01	29.91	47.5	49.21	16.15	9.93	186.4	108.14	98.73	214.27
RBM28	177.53	808.0	339.14	226.54	241.19	211.31	150.17	195.72	283.05	281.09	258.57	244.57	234.57	161.02	221.86	237.86	164.42	463.65	170.25	157.68	303.44	305.55	178.77	291.04	187.71	198.47	258.57	193.01	189.02	199.85	412.0	205.5	215.77	376.41	361.04	218.79	279.14	177.53	133.36	190.34	212.78	420.68	182.55	363.56	239.52	432.53	191.67	256.78	223.41	236.21	287.01	198.47	332.14	226.54	473.41	226.54	239.52	287.01	208.38	329.84	447.82	237.86	303.44	171.45	329.84	381.68	356.05	389.72	334.46	180.02	143.01	518.15	728.11	708.18	642.59
RBMS1	95.34	981.29	332.14	156.59	211.31	87.65	53.57	114.36	181.28	260.38	139.07	100.83	258.57	141.02	158.79	108.14	124.37	470.14	112.77	41.52	414.87	532.74	90.77	70.01	92.05	74.06	209.84	117.6	185.11	127.89	567.1	74.58	141.02	260.38	392.44	148.09	244.57	67.59	79.45	48.18	131.51	808.0	124.37	265.87	264.03	563.18	71.5	476.71	78.89	158.79	638.15	101.54	341.51	106.63	624.99	92.05	221.86	162.14	118.43	525.39	718.08	76.17	361.04	143.01	361.04	575.03	316.37	379.04	518.15	142.01	54.72	1745.2	1794.29	2047.0	2271.4
