	TCGA.BT.A20R.11A.11R.A16R.07	GTEX.12WSK.2226.SM.5GCO5	TCGA.B8.5552.11A.01R.1672.07	TCGA.CZ.5987.11A.01R.1672.07	GTEX.OHPM.0526.SM.2YUMJ	GTEX.P4QT.1526.SM.3NMCT	TCGA.EL.A3CZ.01A.11R.A19O.07	TCGA.EM.A3AI.01A.11R.A206.07	GTEX.Y111.1926.SM.4SOIS	GTEX.W5X1.0426.SM.3GILB	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.13FLV.0226.SM.5J2OF	GTEX.13FHP.0926.SM.5L3EC	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZVT3.0726.SM.5GICN	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZQG8.0926.SM.57WFF	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.WL46.0126.SM.3TW8I	GTEX.RN64.0626.SM.2TC5V	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.13113.0126.SM.5LZVX	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.WY7C.0226.SM.3NB37	GTEX.YEC3.0826.SM.4WWFP	GTEX.ZAK1.0726.SM.5HL8Q	GTEX.139T6.0326.SM.5J2LY	GTEX.12WSN.0726.SM.5GCMS	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.OHPK.2626.SM.2HMK9	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13FTY.0726.SM.5J2OH	GTEX.ZVZQ.0626.SM.59HJU	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.11NUK.1026.SM.5HL5J	GTEX.13112.0326.SM.5P9IW	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.ZYT6.0426.SM.5GID3	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1	GTEX.13FTW.0626.SM.5IFEX
CUL9	339.14	137.14	212.78	289.02	86.43	220.32	629.35	819.3	1044.52	813.63	703.28	555.41	909.17	708.18	1143.1	1119.56	759.08	638.15	483.38	1242.34	414.87	547.75	836.53	1066.48	764.36	941.27	591.22	713.11	679.29	813.63	607.87	728.11	802.41	540.19	1001.93	1268.46	1259.69	909.17	808.0	909.17	884.29	941.27	599.49	1088.92	825.0	890.44	1233.75	748.61	802.41	780.44	769.69	1175.27	775.05	571.05	890.44	808.0	563.18	775.05	743.43	713.11	988.12	1378.57	540.19	1088.92	1015.93	1111.82	753.83	954.43	1088.92	723.08	718.08	1023.0	599.49	1151.06	587.13
CXXC1	460.44	389.72	346.29	429.54	555.41	483.38	961.07	1639.59	1977.24	2018.8	1277.29	1001.93	1519.15	1340.84	2163.77	2224.63	1191.69	764.36	1159.07	2133.97	1015.93	860.08	1617.0	1857.6	1685.71	1617.0	1104.13	1388.16	1208.34	1104.13	995.0	1340.84	1628.26	974.5	2018.8	2796.65	2537.92	1617.0	1721.16	1498.22	1378.57	2240.11	1151.06	2004.85	1388.16	1540.37	1977.24	1159.07	1572.76	1350.18	1340.84	2400.97	1397.83	1001.93	1508.65	1561.89	866.07	1277.29	1151.06	1242.34	2133.97	2682.69	1259.69	1304.15	1896.65	2148.82	1427.22	1639.59	1769.57	1322.37	1427.22	2335.28	1151.06	1721.16	1037.29
DENND6B	64.34	77.25	83.45	164.42	92.7	152.28	285.03	371.22	417.77	251.48	221.86	293.07	334.46	211.31	454.09	493.56	244.57	271.48	334.46	486.75	158.79	176.29	218.79	420.68	281.09	358.54	256.78	241.19	249.73	412.0	211.31	246.28	215.77	156.59	368.65	486.75	389.72	389.72	299.25	339.14	234.57	389.72	231.32	466.88	307.69	381.68	447.82	242.88	314.17	329.84	215.77	595.34	275.28	256.78	303.44	206.94	190.34	293.07	241.19	271.48	395.18	463.65	209.84	265.87	406.31	463.65	183.82	373.81	346.29	389.72	228.13	432.53	248.0	353.59	189.02
DHX34	163.28	74.58	73.54	112.77	118.43	176.29	178.77	305.55	307.69	314.17	264.03	260.38	273.37	231.32	379.04	392.44	223.41	277.2	193.01	500.46	167.9	180.02	265.87	346.29	221.86	316.37	253.23	325.29	237.86	244.57	199.85	209.84	260.38	236.21	476.71	423.61	400.71	336.79	307.69	303.44	251.48	389.72	201.25	381.68	258.57	269.6	371.22	206.94	269.6	220.32	283.05	373.81	244.57	209.84	339.14	260.38	209.84	224.97	237.86	229.72	406.31	403.5	277.2	295.11	387.02	376.41	218.79	693.58	334.46	249.73	231.32	358.54	220.32	358.54	201.25
DPH7	172.65	197.09	151.22	127.0	248.0	206.94	426.57	819.3	769.69	753.83	463.65	397.93	454.09	420.68	884.29	698.41	384.34	595.34	483.38	866.07	426.57	358.54	591.22	890.44	575.03	688.78	429.54	470.14	400.71	511.0	426.57	490.14	486.75	368.65	825.0	878.17	947.83	769.69	555.41	563.18	551.56	902.89	400.71	872.1	466.88	473.41	842.36	460.44	575.03	373.81	392.44	928.3	473.41	406.31	769.69	555.41	351.14	497.0	358.54	441.64	842.36	1059.11	395.18	454.09	848.22	808.0	423.61	540.19	698.41	599.49	679.29	836.53	466.88	743.43	341.51
DTX3	890.44	412.0	423.61	503.95	175.07	1066.48	836.53	1794.29	1313.23	1467.37	1175.27	896.64	1111.82	941.27	1467.37	1709.26	915.51	808.0	1151.06	1844.76	802.41	813.63	1350.18	1467.37	1225.22	1167.14	802.41	1242.34	769.69	1216.75	921.88	1119.56	854.13	748.61	1551.09	1662.49	1437.15	1870.53	1096.5	1191.69	1111.82	1963.57	890.44	1369.04	1216.75	1008.9	1674.06	1151.06	1111.82	1119.56	884.29	1721.16	1225.22	866.07	1674.06	848.22	733.19	902.89	909.17	1030.12	1757.34	1963.57	902.89	1268.46	1378.57	1417.35	1081.39	1594.73	1331.57	1397.83	1151.06	1733.13	785.88	1216.75	825.0
EFCAB8	0.89	0.0	0.39	0.0	0.0	0.0	3.2	27.84	2.41	9.13	2.2	8.58	13.93	3.44	6.46	15.11	13.03	5.11	2.61	21.01	0.53	11.38	7.57	3.89	4.17	8.99	4.21	5.92	3.66	8.0	1.97	4.06	1.33	2.39	4.46	9.7	7.75	12.55	0.75	1.97	2.16	10.63	0.96	14.56	1.71	4.13	16.63	6.84	10.16	2.53	8.78	4.39	0.57	1.69	23.08	7.69	4.31	5.59	0.66	3.41	13.32	10.96	1.28	7.94	8.85	6.52	4.24	2.61	9.2	2.16	1.27	10.88	2.61	19.82	0.17
EGFL8	305.55	214.27	85.82	81.71	87.65	173.85	92.05	450.94	412.0	217.27	166.73	93.35	149.12	157.68	253.23	285.03	138.1	291.04	173.85	384.34	78.89	107.38	152.28	497.0	171.45	181.28	211.31	191.67	136.19	156.59	123.5	236.21	193.01	59.55	368.65	414.87	301.33	358.54	242.88	175.07	178.77	269.6	111.99	368.65	137.14	217.27	376.41	122.64	172.65	258.57	186.4	389.72	115.16	120.94	291.04	163.28	96.01	151.22	182.55	112.77	323.03	463.65	127.89	206.94	368.65	432.53	118.43	236.21	199.85	244.57	229.72	316.37	125.24	351.14	69.52
EME2	70.01	16.03	28.45	38.4	22.59	47.5	115.16	226.54	232.94	198.47	215.77	156.59	297.17	155.5	244.57	381.68	211.31	114.36	281.09	435.55	43.94	92.05	205.5	325.29	269.6	189.02	126.12	185.11	195.72	153.34	146.03	117.6	159.9	74.58	187.71	224.97	289.02	228.13	143.01	126.12	190.34	348.71	167.9	277.2	195.72	208.38	291.04	205.5	264.03	125.24	195.72	239.52	94.01	90.77	248.0	161.02	75.11	193.01	137.14	176.29	186.4	295.11	105.89	226.54	239.52	173.85	258.57	295.11	229.72	147.06	84.04	366.09	136.19	202.66	111.99
ENDOV	232.94	170.25	125.24	318.57	224.97	190.34	441.64	878.17	583.07	536.45	412.0	497.0	514.56	423.61	486.75	638.15	529.06	514.56	595.34	713.11	348.71	447.82	500.46	718.08	555.41	480.04	389.72	518.15	389.72	444.72	420.68	493.56	507.46	406.31	660.68	684.02	624.99	607.87	466.88	587.13	575.03	656.11	356.05	688.78	486.75	460.44	638.15	480.04	595.34	497.0	432.53	785.88	559.28	470.14	575.03	412.0	429.54	486.75	599.49	426.57	638.15	753.83	406.31	514.56	616.37	607.87	420.68	460.44	607.87	395.18	285.03	532.74	400.71	536.45	392.44
EXOC3	1233.75	890.44	507.46	753.83	432.53	511.0	921.88	1322.37	1437.15	1498.22	1208.34	1066.48	1286.18	1167.14	1369.04	1407.55	1015.93	947.83	1447.15	1594.73	728.11	981.29	1216.75	1259.69	1295.13	1397.83	854.13	1175.27	1001.93	1143.1	947.83	1081.39	1216.75	780.44	1437.15	1662.49	1407.55	1340.84	1111.82	1191.69	1340.84	1561.89	941.27	1242.34	1008.9	1030.12	1447.15	1331.57	1208.34	1008.9	1191.69	1662.49	1233.75	1044.52	1191.69	1277.29	954.43	1104.13	1183.45	1015.93	1331.57	1551.09	1066.48	1051.79	1417.35	1378.57	1073.91	1417.35	1268.46	915.51	1081.39	1350.18	1008.9	1119.56	947.83
FAM156A	106.63	77.25	29.91	68.55	28.24	23.25	73.54	738.29	669.92	379.04	271.48	187.71	327.56	209.84	341.51	669.92	229.72	301.33	119.26	718.08	122.64	163.28	447.82	575.03	143.01	262.2	228.13	236.21	140.04	202.66	232.94	248.0	226.54	150.17	543.96	555.41	406.31	417.77	197.09	314.17	339.14	429.54	178.77	536.45	139.07	323.03	660.68	253.23	473.41	182.55	241.19	674.59	332.14	118.43	358.54	241.19	156.59	189.02	162.14	218.79	285.03	1030.12	69.52	267.73	563.18	476.71	258.57	231.32	417.77	529.06	267.73	412.0	217.27	460.44	171.45
FASTK	878.17	547.75	392.44	679.29	693.58	967.76	981.29	3349.13	1950.0	1175.27	1697.45	1378.57	1583.71	1268.46	1781.89	2434.5	1733.13	1233.75	1044.52	2148.82	1159.07	1259.69	1143.1	2004.85	1745.2	1844.76	1540.37	1639.59	1883.54	1437.15	1340.84	1183.45	1417.35	1159.07	1685.71	2224.63	1870.53	1498.22	1617.0	1605.83	1639.59	1936.53	1378.57	2720.15	1605.83	2537.92	2090.03	1369.04	1757.34	1936.53	1936.53	1745.2	1457.23	1104.13	1417.35	1561.89	947.83	1685.71	1639.59	1331.57	1963.57	2417.67	1519.15	1709.26	1870.53	1651.0	1397.83	2104.58	1628.26	1594.73	1059.11	2075.59	1457.23	2400.97	1388.16
GALT	417.77	318.57	332.14	595.34	457.25	567.1	1250.98	1923.14	1437.15	1819.35	1143.1	1051.79	1268.46	1037.29	2090.03	2018.8	1096.5	830.75	1397.83	2255.7	796.86	796.86	1498.22	1963.57	1313.23	1487.87	921.88	1183.45	1051.79	1277.29	909.17	1259.69	1208.34	728.11	1745.2	2303.12	2255.7	1685.71	1651.0	1467.37	1015.93	2119.22	1073.91	1923.14	1250.98	1295.13	2075.59	1111.82	1304.15	1268.46	1167.14	2193.99	1304.15	813.63	1551.09	1066.48	753.83	1143.1	1199.98	1008.9	1909.85	2240.11	1015.93	1225.22	1794.29	1733.13	1104.13	1572.76	1685.71	1233.75	1051.79	2032.85	1208.34	1540.37	902.89
GGA1	638.15	426.57	525.39	571.05	547.75	493.56	1225.22	1407.55	1447.15	1397.83	1127.35	981.29	1313.23	961.07	1745.2	1639.59	1304.15	1175.27	1135.2	1745.2	753.83	909.17	1111.82	1662.49	1051.79	1572.76	915.51	1407.55	1167.14	1277.29	878.17	967.76	1066.48	878.17	1529.73	1662.49	1794.29	1628.26	1242.34	1508.65	1081.39	1977.24	928.3	1508.65	1225.22	1191.69	1540.37	1096.5	1304.15	1059.11	1073.91	1806.78	1135.2	947.83	1721.16	1259.69	941.27	995.0	896.64	995.0	1628.26	1594.73	1037.29	1096.5	1447.15	1662.49	1143.1	1295.13	1487.87	1208.34	1159.07	1651.0	934.76	1397.83	848.22
HDAC10	120.1	129.69	129.69	185.11	147.06	211.31	454.09	1037.29	1111.82	713.11	476.71	460.44	616.37	441.64	884.29	1059.11	480.04	551.56	361.04	1037.29	307.69	420.68	579.04	947.83	688.78	660.68	395.18	583.07	447.82	536.45	387.02	497.0	591.22	305.55	1015.93	1259.69	1151.06	961.07	642.59	785.88	529.06	1066.48	432.53	941.27	708.18	547.75	947.83	486.75	703.28	511.0	579.04	1023.0	638.15	392.44	813.63	571.05	291.04	392.44	500.46	450.94	1023.0	1151.06	540.19	708.18	825.0	819.3	438.59	728.11	791.35	575.03	366.09	896.64	414.87	780.44	277.2
HECTD4	497.0	336.79	341.51	256.78	170.25	343.89	551.56	1250.98	928.3	884.29	896.64	713.11	981.29	457.25	1233.75	995.0	1059.11	819.3	974.5	1191.69	366.09	599.49	1037.29	1096.5	884.29	1096.5	536.45	753.83	638.15	791.35	603.67	759.08	723.08	595.34	915.51	1407.55	733.19	909.17	748.61	1119.56	974.5	1216.75	511.0	902.89	713.11	860.08	1023.0	769.69	995.0	703.28	656.11	866.07	684.02	647.07	785.88	1008.9	679.29	825.0	587.13	738.29	775.05	1175.27	366.09	866.07	1037.29	884.29	733.19	1199.98	890.44	825.0	603.67	909.17	733.19	1183.45	579.04
HEXDC	236.21	217.27	150.17	258.57	226.54	202.66	460.44	921.88	1167.14	921.88	981.29	642.59	981.29	638.15	1023.0	878.17	457.25	1104.13	607.87	1037.29	738.29	368.65	1183.45	1467.37	543.96	941.27	743.43	1350.18	579.04	866.07	607.87	612.11	547.75	525.39	1313.23	1023.0	1427.22	921.88	1023.0	688.78	743.43	1745.2	718.08	1159.07	872.1	651.58	1277.29	860.08	764.36	915.51	629.35	1135.2	629.35	587.13	1051.79	647.07	463.65	830.75	848.22	507.46	1233.75	1119.56	791.35	647.07	896.64	928.3	884.29	1008.9	915.51	1066.48	866.07	1268.46	961.07	1250.98	486.75
KAT2A	211.31	166.73	190.34	209.84	223.41	417.77	400.71	2240.11	1167.14	679.29	497.0	376.41	414.87	454.09	1051.79	1127.35	529.06	836.53	684.02	1331.57	567.1	346.29	738.29	1199.98	463.65	633.73	420.68	595.34	438.59	555.41	283.05	547.75	547.75	339.14	1073.91	1008.9	1151.06	1059.11	808.0	764.36	454.09	1127.35	412.0	1191.69	540.19	540.19	1111.82	414.87	575.03	603.67	536.45	941.27	460.44	376.41	884.29	460.44	299.25	547.75	403.5	341.51	1359.57	1322.37	473.41	493.56	1096.5	947.83	476.71	616.37	1044.52	769.69	796.86	1008.9	529.06	1104.13	318.57
KIAA0195	493.56	583.07	656.11	1066.48	651.58	480.04	1340.84	2178.83	2018.8	1447.15	1397.83	1081.39	1572.76	1286.18	1447.15	2032.85	1030.12	1286.18	1183.45	1781.89	1397.83	1051.79	1208.34	2090.03	1304.15	1313.23	1322.37	1508.65	1286.18	1639.59	1066.48	1143.1	1175.27	974.5	1639.59	1781.89	1923.14	1369.04	1417.35	1781.89	1359.57	1572.76	1216.75	1733.13	1540.37	1551.09	2018.8	1359.57	1277.29	1447.15	1277.29	1594.73	1183.45	1167.14	1519.15	1286.18	921.88	1199.98	1191.69	1233.75	1628.26	1651.0	1359.57	1331.57	1721.16	1572.76	1378.57	1529.73	1551.09	1250.98	1175.27	1806.78	1277.29	1745.2	1037.29
KIAA1984	7.57	8.85	12.45	12.27	11.64	9.13	52.45	212.78	131.51	208.38	60.82	63.89	105.89	57.08	197.09	143.01	81.71	127.89	171.45	187.71	16.51	57.89	111.99	197.09	96.68	88.88	45.85	114.36	55.89	123.5	59.55	72.01	87.03	29.7	171.45	241.19	181.28	206.94	94.67	131.51	91.41	151.22	60.82	127.0	80.01	85.82	214.27	91.41	65.72	66.65	50.27	218.79	75.11	92.05	154.42	57.08	27.25	81.71	54.33	76.71	153.34	183.82	51.71	135.24	180.02	130.6	89.51	70.01	176.29	132.44	336.79	193.01	53.19	132.44	34.26
LAT	65.26	61.68	50.63	84.04	85.82	120.1	100.13	232.94	723.08	363.56	223.41	139.07	262.2	141.02	438.59	441.64	212.78	271.48	149.12	447.82	98.04	115.16	206.94	529.06	182.55	339.14	139.07	173.85	89.51	204.07	98.73	234.57	185.11	92.05	679.29	656.11	1066.48	387.02	297.17	244.57	228.13	473.41	107.38	599.49	195.72	201.25	555.41	181.28	417.77	228.13	211.31	583.07	265.87	123.5	246.28	172.65	104.42	111.99	137.14	185.11	511.0	921.88	139.07	181.28	447.82	525.39	112.77	341.51	334.46	271.48	199.85	514.56	137.14	575.03	63.0
LIG1	94.67	199.85	231.32	264.03	96.68	96.01	363.56	529.06	647.07	525.39	395.18	289.02	312.0	242.88	854.13	547.75	447.82	460.44	559.28	884.29	373.81	323.03	503.95	728.11	423.61	563.18	253.23	417.77	267.73	595.34	303.44	400.71	336.79	314.17	785.88	785.88	842.36	599.49	579.04	607.87	476.71	708.18	312.0	476.71	435.55	371.22	743.43	269.6	642.59	334.46	318.57	723.08	575.03	277.2	733.19	318.57	237.86	346.29	309.83	435.55	902.89	890.44	279.14	423.61	669.92	669.92	346.29	507.46	543.96	497.0	532.74	684.02	334.46	567.1	291.04
LPAR2	16.63	76.71	127.89	154.42	220.32	55.89	249.73	314.17	507.46	423.61	426.57	373.81	486.75	373.81	540.19	438.59	271.48	368.65	432.53	551.56	379.04	264.03	444.72	435.55	366.09	387.02	417.77	403.5	346.29	379.04	256.78	392.44	376.41	255.0	579.04	703.28	656.11	532.74	397.93	470.14	379.04	854.13	332.14	547.75	435.55	358.54	532.74	417.77	412.0	503.95	521.76	723.08	400.71	392.44	444.72	285.03	273.37	348.71	454.09	373.81	571.05	607.87	460.44	403.5	373.81	457.25	348.71	417.77	420.68	483.38	457.25	507.46	307.69	420.68	279.14
LRP5L	26.1	48.18	13.32	52.82	40.64	28.04	320.8	738.29	507.46	674.59	435.55	361.04	1037.29	158.79	579.04	521.76	267.73	258.57	525.39	551.56	92.05	151.22	226.54	587.13	454.09	327.56	204.07	262.2	269.6	197.09	172.65	220.32	251.48	124.37	260.38	438.59	379.04	242.88	356.05	172.65	178.77	447.82	117.6	679.29	109.66	1216.75	884.29	267.73	336.79	242.88	371.22	543.96	215.77	246.28	571.05	373.81	98.73	500.46	185.11	231.32	339.14	759.08	156.59	205.5	447.82	599.49	178.77	457.25	497.0	358.54	341.51	507.46	228.13	397.93	138.1
LRRC14	289.02	208.38	141.02	214.27	218.79	275.28	260.38	1037.29	842.36	429.54	603.67	457.25	547.75	507.46	738.29	915.51	460.44	409.15	358.54	733.19	575.03	373.81	483.38	651.58	603.67	808.0	620.67	616.37	521.76	507.46	366.09	457.25	463.65	320.8	555.41	718.08	679.29	547.75	620.67	514.56	417.77	808.0	529.06	775.05	616.37	612.11	679.29	486.75	708.18	543.96	708.18	693.58	412.0	406.31	579.04	476.71	392.44	660.68	567.1	429.54	624.99	708.18	733.19	441.64	642.59	620.67	454.09	759.08	493.56	603.67	466.88	656.11	583.07	775.05	351.14
LRRC45	76.17	55.89	84.63	88.26	88.88	64.8	197.09	780.44	463.65	260.38	343.89	131.51	327.56	269.6	366.09	450.94	151.22	244.57	105.15	387.02	293.07	172.65	234.57	432.53	283.05	312.0	406.31	406.31	260.38	285.03	136.19	242.88	279.14	100.13	351.14	371.22	392.44	265.87	444.72	258.57	178.77	376.41	228.13	368.65	397.93	343.89	325.29	180.02	379.04	305.55	497.0	384.34	260.38	201.25	264.03	205.5	139.07	327.56	305.55	283.05	490.14	466.88	332.14	289.02	285.03	371.22	289.02	470.14	346.29	289.02	224.97	353.59	376.41	412.0	209.84
MAN1B1	373.81	759.08	595.34	764.36	454.09	323.03	1175.27	1417.35	1340.84	1242.34	1088.92	878.17	1127.35	1030.12	1208.34	1369.04	1001.93	872.1	934.76	1561.89	872.1	1023.0	1073.91	1199.98	1242.34	1359.57	988.12	1487.87	1135.2	1191.69	1008.9	941.27	1073.91	825.0	1340.84	1397.83	1378.57	1175.27	1111.82	1417.35	915.51	1388.16	896.64	1199.98	1268.46	1259.69	1259.69	988.12	1104.13	1159.07	1015.93	1286.18	1191.69	890.44	1175.27	995.0	780.44	1066.48	1477.58	1030.12	1208.34	1199.98	1359.57	1073.91	1407.55	1233.75	1015.93	1551.09	1096.5	1044.52	780.44	1030.12	1059.11	1175.27	981.29
MAPK15	4.9	9.06	40.36	65.72	61.68	7.17	170.25	624.99	775.05	842.36	187.71	226.54	246.28	103.69	836.53	759.08	57.08	343.89	476.71	825.0	54.33	241.19	476.71	921.88	264.03	194.36	129.69	217.27	101.54	348.71	275.28	236.21	305.55	138.1	599.49	1096.5	669.92	1359.57	110.43	540.19	255.0	1551.09	351.14	1225.22	336.79	127.0	836.53	493.56	155.5	327.56	120.94	2004.85	368.65	241.19	866.07	161.02	214.27	142.01	343.89	339.14	1662.49	866.07	253.23	332.14	473.41	1008.9	195.72	384.34	947.83	567.1	490.14	1225.22	151.22	177.53	65.26
MBD6	486.75	406.31	343.89	525.39	361.04	507.46	1208.34	2303.12	2976.74	2133.97	3395.89	2976.74	3768.09	2895.31	3564.78	4607.24	2758.13	2816.11	1651.0	3235.01	1605.83	2209.26	1923.14	3103.19	3467.27	3124.78	2255.7	2400.97	2119.22	2895.31	2255.7	2075.59	2335.28	1350.18	3589.58	4543.8	2997.45	2816.11	2434.5	2816.11	3039.3	3168.41	2104.58	2796.65	2287.2	3419.52	2720.15	2835.7	2976.74	2739.08	2645.74	4298.64	4388.98	2018.8	2875.3	2319.15	1685.71	2664.15	2976.74	2777.33	2997.45	3614.55	2209.26	2664.15	2758.13	3168.41	3257.52	5219.6	2956.17	2739.08	1407.55	3639.7	2303.12	4095.0	2287.2
MFSD12	387.02	256.78	703.28	1096.5	961.07	642.59	633.73	1023.0	1135.2	1104.13	656.11	665.29	796.86	723.08	961.07	1030.12	896.64	769.69	563.18	941.27	543.96	780.44	813.63	1167.14	1407.55	1427.22	629.35	830.75	791.35	723.08	624.99	603.67	753.83	791.35	1081.39	1457.23	1397.83	1175.27	703.28	928.3	848.22	1447.15	688.78	915.51	884.29	791.35	954.43	796.86	909.17	669.92	890.44	1594.73	1015.93	466.88	1015.93	825.0	579.04	780.44	651.58	684.02	1397.83	1359.57	872.1	703.28	764.36	836.53	854.13	1216.75	738.29	660.68	470.14	1167.14	579.04	1167.14	825.0
MUTYH	150.17	121.79	94.67	170.25	134.3	199.85	371.22	796.86	679.29	753.83	435.55	470.14	529.06	447.82	890.44	753.83	559.28	503.95	426.57	995.0	323.03	412.0	507.46	728.11	583.07	684.02	406.31	412.0	507.46	567.1	438.59	563.18	454.09	368.65	579.04	854.13	693.58	703.28	620.67	432.53	642.59	642.59	389.72	642.59	450.94	607.87	842.36	529.06	575.03	595.34	450.94	684.02	518.15	426.57	616.37	587.13	356.05	441.64	423.61	389.72	733.19	890.44	381.68	583.07	796.86	785.88	444.72	759.08	669.92	447.82	387.02	733.19	397.93	551.56	432.53
MYH7B	10.96	10.24	0.4	3.0	12.45	1.2	35.76	76.71	152.28	75.11	54.33	19.68	25.91	30.78	143.01	90.77	27.25	49.56	50.63	187.71	23.59	30.56	71.0	113.56	51.71	58.71	31.9	40.64	40.64	40.93	24.81	55.89	37.32	21.32	113.56	156.59	100.83	125.24	70.51	76.71	31.0	64.8	30.78	64.8	52.08	34.51	109.66	28.65	39.79	55.49	30.78	102.25	45.21	28.65	96.68	46.18	24.46	41.52	23.59	33.54	185.11	195.72	28.65	47.84	147.06	131.51	23.59	75.64	80.01	43.02	76.17	100.13	34.26	86.43	16.63
MYL5	177.53	258.57	92.05	199.85	62.56	102.25	151.22	346.29	713.11	559.28	384.34	379.04	363.56	299.25	547.75	587.13	312.0	287.01	363.56	848.22	127.0	376.41	395.18	808.0	529.06	329.84	197.09	376.41	287.01	420.68	341.51	409.15	366.09	291.04	759.08	878.17	624.99	785.88	291.04	616.37	463.65	656.11	351.14	567.1	303.44	412.0	718.08	353.59	753.83	463.65	503.95	764.36	551.56	325.29	490.14	371.22	361.04	387.02	361.04	264.03	447.82	854.13	244.57	521.76	713.11	486.75	392.44	454.09	1242.34	336.79	289.02	825.0	242.88	583.07	258.57
NOXA1	28.24	42.71	33.06	81.14	25.72	83.45	170.25	156.59	612.11	334.46	291.04	194.36	287.01	202.66	371.22	414.87	125.24	249.73	197.09	447.82	125.24	212.78	287.01	514.56	273.37	392.44	164.42	223.41	151.22	301.33	209.84	234.57	156.59	137.14	563.18	679.29	409.15	525.39	162.14	503.95	287.01	363.56	182.55	329.84	267.73	277.2	325.29	244.57	353.59	279.14	229.72	642.59	249.73	204.07	283.05	190.34	189.02	167.9	246.28	185.11	356.05	507.46	215.77	299.25	389.72	366.09	178.77	371.22	341.51	420.68	161.02	381.68	173.85	435.55	215.77
NPEPL1	802.41	353.59	217.27	346.29	249.73	607.87	525.39	1498.22	1233.75	915.51	1073.91	708.18	884.29	738.29	1340.84	1304.15	791.35	848.22	947.83	1628.26	444.72	738.29	1051.79	1268.46	1037.29	1225.22	571.05	825.0	656.11	785.88	698.41	764.36	738.29	483.38	1277.29	1437.15	1159.07	1519.15	728.11	1199.98	1059.11	1350.18	674.59	1073.91	796.86	954.43	1359.57	915.51	961.07	884.29	723.08	1572.76	974.5	723.08	988.12	791.35	511.0	764.36	890.44	748.61	1088.92	1508.65	684.02	1015.93	1340.84	961.07	848.22	1030.12	1111.82	941.27	842.36	1119.56	612.11	1151.06	525.39
NT5C3B	1081.39	2520.38	780.44	1259.69	1066.48	1277.29	2047.0	4095.0	4358.66	2303.12	2915.45	2075.59	1870.53	1397.83	3081.75	2004.85	3018.3	2004.85	4298.64	4607.24	1896.65	1721.16	2664.15	3665.02	2701.35	2645.74	1781.89	2384.37	1819.35	2240.11	1769.57	1628.26	1963.57	1909.85	6699.25	3665.02	1745.2	3349.13	2682.69	2895.31	1936.53	2997.45	1397.83	2875.3	2451.44	2835.7	2591.27	2303.12	2555.58	2701.35	2434.5	4210.15	2997.45	1437.15	2701.35	1551.09	1427.22	2018.8	2090.03	2520.38	2855.44	3168.41	2434.5	3491.39	3419.52	2835.7	2434.5	2335.28	4512.4	3325.99	2720.15	4869.99	2133.97	4543.8	2061.24
