	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.DK.A3IQ.01A.31R.A32Y.07	TCGA.XF.AAN7.01A.11R.A42T.07	TCGA.XF.AAMJ.01A.11R.A42T.07	TCGA.E2.A1L9.01A.11R.A13Q.07	TCGA.D8.A27L.01A.11R.A16F.07	TCGA.HN.A2OB.01A.21R.A27Q.07	TCGA.EW.A1IX.01A.12R.A144.07	TCGA.A2.A0T7.01A.21R.A084.07	TCGA.BH.A0AZ.01A.21R.A12P.07	TCGA.A8.A08Z.01A.21R.A00Z.07	TCGA.A2.A0YD.01A.11R.A109.07	TCGA.4H.AAAK.01A.12R.A41B.07	TCGA.BH.A1FH.01A.12R.A13Q.07	TCGA.A2.A0CZ.01A.11R.A034.07	TCGA.BH.A18M.01A.11R.A12D.07	TCGA.EW.A1OW.01A.21R.A144.07	TCGA.A7.A26E.01A.11R.A169.07	TCGA.BH.A0EI.01A.11R.A115.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.AC.A3W6.01A.12R.A22K.07	TCGA.A7.A6VV.01A.22R.A33J.07	TCGA.D8.A1JE.01A.11R.A13Q.07	TCGA.D8.A27I.01A.11R.A16F.07	TCGA.C8.A12N.01A.11R.A115.07	TCGA.D8.A1JU.01A.11R.A13Q.07	TCGA.AO.A0J5.01A.11R.A034.07	TCGA.AC.A23G.01A.11R.A213.07	TCGA.BH.A0BF.01A.21R.A12P.07	TCGA.A8.A09V.01A.11R.A034.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.AC.A7VC.01A.11R.A352.07	TCGA.AR.A24T.01A.11R.A169.07	TCGA.BH.A0DV.01A.21R.A12P.07	TCGA.E9.A229.01A.31R.A157.07	TCGA.AN.A0XN.01A.21R.A109.07	TCGA.AC.A23E.01A.11R.A157.07	TCGA.BH.A1EO.01A.11R.A137.07	TCGA.E2.A15L.01A.11R.A12D.07	TCGA.EW.A2FR.01A.11R.A21T.07	TCGA.BH.A6R9.01A.21R.A32P.07	TCGA.D8.A1XB.01A.11R.A14D.07	TCGA.D8.A27T.01A.11R.A16F.07	TCGA.E2.A10F.01A.11R.A10J.07	TCGA.E9.A22E.01A.11R.A157.07	TCGA.AR.A2LN.01A.21R.A18M.07	TCGA.E9.A1R3.01A.31R.A14M.07	TCGA.E9.A1RI.01A.11R.A169.07	TCGA.E9.A1NF.01A.11R.A14D.07	TCGA.A2.A0T6.01A.11R.A084.07	TCGA.BH.A0AV.01A.31R.A115.07	TCGA.D8.A141.01A.11R.A115.07	TCGA.AR.A2LQ.01A.22R.A18M.07	TCGA.BH.A0DI.01A.21R.A12P.07	TCGA.BH.A18I.01A.11R.A12D.07	TCGA.OL.A97C.01A.32R.A41B.07	TCGA.AN.A0FN.01A.11R.A034.07	GTEX.ZF2S.2026.SM.5E461	GTEX.T5JW.2026.SM.4DM63	GTEX.TML8.0726.SM.4DXTT	TCGA.WS.AB45.01A.11R.A41B.07	TCGA.AZ.6607.01A.11R.1839.07	TCGA.CN.6016.01A.11R.1686.07	TCGA.UF.A7JD.01A.11R.A34R.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CQ.6221.01A.11R.2081.07	TCGA.IQ.A61O.01A.11R.A30B.07	TCGA.HD.7831.01A.11R.2132.07	TCGA.CQ.7072.01A.21R.A30B.07	TCGA.CV.7433.01A.11R.2132.07	TCGA.B0.4696.01A.01R.1277.07	TCGA.BP.4345.01A.01R.1289.07	TCGA.44.6774.01A.21R.1858.07	GTEX.QV44.0926.SM.2S1RH	GTEX.XQ3S.0926.SM.4BOPI	TCGA.85.6175.01A.11R.1820.07	TCGA.56.6545.01A.11R.1820.07	TCGA.N5.A4RF.01A.11R.A28V.07	TCGA.QN.A5NN.01A.11R.A28V.07	GTEX.POMQ.1226.SM.3P61F
COL4A3BP	221.86	229.72	178.77	232.94	277.2	497.0	414.87	423.61	447.82	325.29	486.75	460.44	285.03	540.19	285.03	460.44	152.28	638.15	379.04	371.22	303.44	277.2	507.46	567.1	223.41	629.35	525.39	366.09	323.03	518.15	403.5	129.69	536.45	450.94	376.41	414.87	432.53	647.07	743.43	395.18	379.04	423.61	395.18	392.44	236.21	595.34	395.18	395.18	273.37	563.18	241.19	348.71	651.58	435.55	392.44	273.37	356.05	651.58	358.54	316.37	423.61	529.06	334.46	223.41	161.02	162.14	130.6	289.02	318.57	211.31	215.77	309.83	318.57	723.08	142.01	480.04	348.71	172.65	211.31	277.2
COPS4	616.37	536.45	660.68	493.56	902.89	921.88	743.43	866.07	866.07	967.76	954.43	961.07	909.17	1119.56	830.75	1119.56	466.88	1242.34	1135.2	674.59	713.11	503.95	1008.9	928.3	796.86	842.36	890.44	698.41	703.28	796.86	902.89	612.11	1242.34	1250.98	1030.12	961.07	1111.82	1088.92	954.43	738.29	769.69	967.76	679.29	947.83	819.3	890.44	842.36	915.51	595.34	1151.06	723.08	775.05	808.0	981.29	1008.9	1001.93	890.44	1191.69	1437.15	1605.83	723.08	738.29	785.88	579.04	457.25	543.96	642.59	629.35	376.41	748.61	1350.18	836.53	651.58	1111.82	599.49	660.68	638.15	819.3	1037.29	954.43
DCAF10	176.29	289.02	303.44	325.29	848.22	1096.5	480.04	1832.01	1037.29	438.59	988.12	902.89	669.92	780.44	363.56	854.13	480.04	2537.92	733.19	373.81	1397.83	507.46	1721.16	603.67	486.75	785.88	3303.0	842.36	429.54	753.83	473.41	251.48	738.29	493.56	1896.65	507.46	842.36	1001.93	854.13	356.05	309.83	1059.11	896.64	1572.76	511.0	1143.1	457.25	1295.13	381.68	921.88	738.29	2047.0	540.19	366.09	1088.92	435.55	674.59	500.46	164.42	202.66	567.1	316.37	356.05	205.5	144.01	161.02	312.0	389.72	293.07	220.32	507.46	226.54	412.0	323.03	120.1	373.81	301.33	228.13	218.79	241.19
DCAF11	387.02	624.99	743.43	830.75	1111.82	1628.26	1427.22	1639.59	1073.91	825.0	1044.52	1242.34	1477.58	1561.89	1359.57	1350.18	603.67	1457.23	1467.37	642.59	1199.98	1030.12	967.76	995.0	1175.27	1447.15	1447.15	878.17	896.64	1519.15	1331.57	412.0	1233.75	1119.56	1674.06	629.35	1359.57	1001.93	1286.18	934.76	660.68	878.17	1322.37	1268.46	1250.98	1350.18	941.27	1250.98	607.87	1295.13	688.78	1551.09	878.17	1044.52	1268.46	1225.22	866.07	1896.65	1378.57	769.69	660.68	507.46	1008.9	967.76	629.35	420.68	400.71	647.07	466.88	854.13	1417.35	743.43	860.08	1111.82	1159.07	896.64	825.0	563.18	629.35	819.3
DDI2	105.89	129.69	98.04	185.11	214.27	447.82	273.37	361.04	253.23	231.32	353.59	309.83	277.2	444.72	211.31	293.07	141.02	551.56	476.71	262.2	166.73	205.5	209.84	281.09	205.5	237.86	341.51	186.4	211.31	624.99	162.14	87.03	182.55	208.38	271.48	244.57	295.11	397.93	346.29	202.66	155.5	327.56	299.25	267.73	171.45	339.14	231.32	368.65	269.6	334.46	173.85	285.03	303.44	220.32	341.51	147.06	209.84	318.57	275.28	74.58	248.0	218.79	237.86	137.14	139.07	71.0	119.26	183.82	262.2	120.94	110.43	186.4	228.13	155.5	99.43	253.23	182.55	85.22	87.03	84.04
DHX15	1519.15	1183.45	1322.37	1259.69	1781.89	2502.97	1745.2	1378.57	1721.16	1369.04	2287.2	1896.65	2104.58	1806.78	1457.23	2287.2	1651.0	3742.05	1551.09	974.5	1572.76	1001.93	1498.22	2303.12	1467.37	1769.57	1991.0	1175.27	1923.14	2502.97	1457.23	1388.16	1870.53	1437.15	2664.15	1639.59	1963.57	2178.83	2148.82	1977.24	1561.89	2573.36	1340.84	2075.59	1628.26	2075.59	1295.13	2502.97	1225.22	2319.15	2163.77	1857.6	1857.6	1037.29	2555.58	1417.35	1487.87	2119.22	1963.57	1191.69	1685.71	1081.39	921.88	1313.23	1073.91	842.36	1030.12	1397.83	1183.45	934.76	1167.14	1208.34	1572.76	1127.35	1519.15	1685.71	1628.26	1350.18	1322.37	915.51
DMXL1	195.72	205.5	264.03	169.07	269.6	406.31	332.14	389.72	356.05	368.65	332.14	287.01	246.28	356.05	211.31	303.44	140.04	529.06	307.69	258.57	267.73	178.77	583.07	435.55	283.05	414.87	314.17	307.69	241.19	454.09	255.0	181.28	432.53	275.28	314.17	262.2	334.46	514.56	438.59	299.25	202.66	429.54	341.51	275.28	253.23	435.55	316.37	514.56	191.67	490.14	169.07	232.94	353.59	441.64	373.81	444.72	346.29	759.08	567.1	248.0	211.31	267.73	171.45	149.12	177.53	98.73	141.02	134.3	232.94	117.6	305.55	414.87	255.0	277.2	244.57	241.19	194.36	153.34	265.87	129.69
DNAJB14	123.5	176.29	116.78	146.03	309.83	368.65	279.14	444.72	260.38	281.09	339.14	361.04	191.67	441.64	205.5	332.14	153.34	555.41	381.68	287.01	172.65	124.37	332.14	305.55	242.88	373.81	373.81	242.88	283.05	457.25	301.33	91.41	435.55	255.0	426.57	309.83	293.07	403.5	323.03	341.51	271.48	397.93	244.57	289.02	242.88	320.8	339.14	450.94	208.38	400.71	251.48	289.02	327.56	248.0	397.93	248.0	358.54	429.54	177.53	180.02	291.04	334.46	178.77	127.0	135.24	158.79	162.14	185.11	228.13	242.88	183.82	267.73	218.79	285.03	191.67	293.07	217.27	85.82	141.02	115.16
DNAJC16	75.64	126.12	78.89	152.28	255.0	400.71	256.78	320.8	193.01	229.72	320.8	353.59	248.0	305.55	239.52	303.44	115.16	470.14	329.84	175.07	178.77	170.25	339.14	299.25	281.09	287.01	277.2	215.77	229.72	587.13	180.02	108.14	232.94	237.86	253.23	234.57	281.09	295.11	277.2	134.3	127.0	303.44	299.25	339.14	162.14	325.29	239.52	348.71	199.85	332.14	108.9	237.86	323.03	217.27	336.79	155.5	221.86	470.14	127.0	113.56	201.25	107.38	134.3	120.1	118.43	112.77	90.14	169.07	111.21	121.79	131.51	186.4	190.34	151.22	90.77	201.25	127.89	97.36	81.14	111.99
DNAJC27	26.28	63.0	32.36	32.59	49.91	102.97	76.71	87.03	65.72	54.72	88.88	70.51	33.06	144.01	50.63	81.71	41.22	97.36	73.03	47.17	39.79	24.46	98.73	81.14	37.05	77.25	90.14	57.89	55.49	140.04	54.33	18.03	114.36	75.11	94.01	48.52	62.12	68.07	89.51	60.82	36.01	71.0	62.12	80.01	29.7	131.51	57.89	65.72	58.3	83.45	51.71	71.0	74.58	57.89	71.5	68.07	51.71	140.04	57.49	104.42	67.59	48.87	24.11	28.86	31.9	29.27	32.36	28.24	69.52	21.32	39.79	48.18	58.3	102.25	33.3	61.68	48.18	22.75	29.27	52.45
DZIP3	60.82	70.51	75.64	76.71	214.27	470.14	122.64	127.89	141.02	126.12	163.28	140.04	130.6	185.11	96.68	89.51	115.97	153.34	212.78	69.52	283.05	85.22	195.72	187.71	124.37	128.79	152.28	91.41	152.28	242.88	125.24	69.52	291.04	149.12	129.69	135.24	131.51	190.34	170.25	435.55	78.89	166.73	149.12	86.43	78.34	212.78	64.34	264.03	126.12	129.69	61.25	117.6	142.01	127.0	189.02	109.66	146.03	454.09	124.37	133.36	77.25	81.71	52.82	81.71	44.57	72.01	72.01	65.72	60.82	46.18	74.06	76.71	59.55	115.16	69.52	90.14	99.43	68.55	137.14	102.97
EFCAB11	221.86	180.02	173.85	206.94	536.45	518.15	301.33	277.2	366.09	258.57	435.55	366.09	379.04	232.94	221.86	460.44	154.42	642.59	356.05	332.14	351.14	180.02	457.25	271.48	511.0	470.14	220.32	305.55	163.28	368.65	323.03	265.87	497.0	432.53	289.02	253.23	532.74	397.93	460.44	490.14	198.47	381.68	563.18	293.07	351.14	336.79	316.37	532.74	708.18	457.25	199.85	429.54	303.44	329.84	486.75	314.17	353.59	616.37	312.0	309.83	159.9	199.85	126.12	312.0	148.09	220.32	241.19	134.3	256.78	248.0	493.56	169.07	95.34	191.67	45.21	181.28	133.36	348.71	242.88	157.68
FAM13B	68.55	293.07	135.24	140.04	260.38	441.64	395.18	356.05	379.04	351.14	371.22	316.37	309.83	547.75	162.14	371.22	141.02	507.46	348.71	283.05	253.23	148.09	518.15	518.15	279.14	466.88	195.72	186.4	267.73	547.75	343.89	88.88	325.29	152.28	463.65	201.25	297.17	466.88	229.72	289.02	209.84	381.68	371.22	348.71	248.0	403.5	267.73	403.5	279.14	332.14	156.59	273.37	318.57	339.14	397.93	239.52	291.04	967.76	417.77	435.55	205.5	167.9	120.94	94.67	115.97	75.11	65.26	111.21	102.97	84.04	231.32	246.28	186.4	170.25	78.89	220.32	177.53	63.89	236.21	301.33
FAM21C	138.1	334.46	204.07	291.04	253.23	579.04	297.17	511.0	381.68	293.07	532.74	426.57	555.41	551.56	291.04	417.77	189.02	591.22	599.49	346.29	343.89	373.81	400.71	395.18	346.29	642.59	543.96	400.71	525.39	1015.93	301.33	159.9	493.56	406.31	473.41	295.11	473.41	387.02	341.51	384.34	392.44	738.29	417.77	358.54	237.86	543.96	277.2	693.58	332.14	708.18	291.04	414.87	503.95	438.59	429.54	463.65	371.22	1407.55	314.17	273.37	432.53	301.33	269.6	256.78	176.29	267.73	246.28	363.56	195.72	234.57	229.72	293.07	363.56	872.1	124.37	438.59	384.34	125.24	221.86	289.02
FBXO8	175.07	420.68	271.48	221.86	493.56	473.41	417.77	473.41	343.89	507.46	432.53	409.15	366.09	518.15	457.25	435.55	215.77	521.76	400.71	438.59	262.2	295.11	395.18	497.0	409.15	518.15	532.74	332.14	403.5	493.56	406.31	189.02	414.87	616.37	463.65	353.59	414.87	486.75	363.56	332.14	307.69	389.72	358.54	397.93	555.41	486.75	420.68	629.35	429.54	480.04	371.22	341.51	429.54	293.07	376.41	293.07	483.38	583.07	320.8	607.87	373.81	412.0	339.14	351.14	269.6	447.82	379.04	312.0	336.79	265.87	353.59	435.55	269.6	223.41	265.87	320.8	299.25	115.97	178.77	473.41
FECH	191.67	264.03	361.04	246.28	305.55	693.58	336.79	591.22	660.68	275.28	579.04	503.95	507.46	514.56	336.79	603.67	718.08	764.36	470.14	332.14	341.51	262.2	447.82	708.18	334.46	444.72	373.81	476.71	395.18	483.38	563.18	173.85	503.95	406.31	595.34	723.08	466.88	444.72	532.74	384.34	285.03	591.22	518.15	438.59	224.97	368.65	389.72	463.65	325.29	642.59	426.57	435.55	457.25	376.41	571.05	500.46	381.68	1008.9	753.83	353.59	384.34	231.32	285.03	195.72	173.85	169.07	108.14	165.57	183.82	224.97	412.0	209.84	429.54	325.29	111.99	423.61	361.04	267.73	283.05	351.14
FOXA1	0.45	0.49	1950.0	563.18	4181.07	3820.7	3982.99	5006.93	4210.15	3491.39	3491.39	4328.55	4181.07	2303.12	2520.38	3540.14	25.35	6840.04	4903.87	819.3	2976.74	98.04	6426.31	2133.97	4152.18	3665.02	3419.52	2075.59	2119.22	6935.54	3443.31	20.11	5479.15	2645.74	3665.02	1844.76	4543.8	3060.45	3690.52	1529.73	50.27	4268.94	4802.93	4937.99	1583.71	4419.52	4095.0	4836.35	2004.85	4671.57	43.32	3639.7	2502.97	2384.37	4450.27	1857.6	2627.46	6840.04	2351.53	4.43	0.52	83.45	1.6	10.0	156.59	1.08	0.68	2.97	143.01	26.67	80.57	15.45	1378.57	114.36	409.15	100.83	107.38	49.91	2.66	1.22
FSD1L	23.25	25.17	32.82	12.09	58.3	120.94	52.08	107.38	52.45	44.89	100.83	115.16	55.49	66.65	33.06	76.17	26.86	64.34	81.71	15.8	23.76	23.59	92.7	71.0	59.55	60.39	72.52	61.25	81.14	77.25	27.25	51.71	48.87	22.43	61.68	106.63	22.43	55.49	20.41	42.41	53.19	105.89	100.13	100.83	25.91	63.0	63.0	82.87	27.44	76.71	63.45	48.18	24.11	38.95	77.25	44.89	44.57	76.17	31.67	16.75	53.95	44.89	52.45	33.06	11.38	15.22	39.5	22.59	35.76	15.91	30.12	31.45	30.78	97.36	27.84	33.54	18.7	11.21	29.27	22.1
FYCO1	186.4	587.13	152.28	249.73	543.96	629.35	511.0	708.18	559.28	420.68	454.09	529.06	476.71	483.38	490.14	579.04	189.02	583.07	511.0	444.72	273.37	139.07	674.59	460.44	441.64	591.22	289.02	389.72	262.2	642.59	381.68	94.01	368.65	567.1	336.79	395.18	466.88	575.03	403.5	480.04	198.47	698.41	529.06	638.15	323.03	698.41	403.5	507.46	260.38	555.41	406.31	490.14	503.95	346.29	500.46	228.13	389.72	684.02	195.72	559.28	389.72	500.46	571.05	199.85	325.29	90.77	58.3	231.32	119.26	194.36	78.34	327.56	361.04	158.79	483.38	409.15	209.84	112.77	232.94	872.1
GALNT7	120.1	532.74	118.43	214.27	848.22	854.13	1030.12	1477.58	412.0	1044.52	684.02	941.27	575.03	1417.35	555.41	420.68	271.48	2739.08	902.89	579.04	642.59	150.17	1397.83	571.05	607.87	669.92	2047.0	295.11	764.36	1685.71	1350.18	64.34	1350.18	1001.93	1111.82	753.83	1551.09	503.95	3589.58	1135.2	269.6	1073.91	486.75	567.1	420.68	1135.2	878.17	1685.71	866.07	813.63	277.2	988.12	3190.46	438.59	1175.27	473.41	848.22	1572.76	483.38	221.86	728.11	507.46	264.03	279.14	120.94	236.21	358.54	327.56	1286.18	293.07	830.75	206.94	688.78	309.83	90.77	336.79	583.07	139.07	158.79	209.84
GSTCD	21.32	40.93	221.86	31.67	126.12	403.5	197.09	371.22	132.44	145.02	447.82	291.04	135.24	148.09	50.98	384.34	70.01	457.25	251.48	96.01	135.24	65.72	346.29	223.41	212.78	356.05	142.01	220.32	102.25	684.02	162.14	38.67	323.03	175.07	285.03	109.66	323.03	339.14	281.09	120.1	68.07	529.06	264.03	271.48	77.25	441.64	109.66	239.52	63.45	348.71	78.34	154.42	180.02	149.12	236.21	108.9	142.01	312.0	118.43	59.55	119.26	105.15	36.79	76.71	36.27	57.08	46.84	98.73	57.89	125.24	86.43	82.87	128.79	80.01	58.3	116.78	75.64	69.03	52.08	51.71
HAUS3	113.56	144.01	123.5	116.78	189.02	209.84	205.5	123.5	204.07	130.6	265.87	190.34	204.07	244.57	127.0	191.67	159.9	339.14	244.57	209.84	223.41	100.83	229.72	242.88	166.73	204.07	166.73	145.02	193.01	361.04	147.06	130.6	301.33	121.79	237.86	133.36	166.73	221.86	265.87	162.14	146.03	273.37	181.28	232.94	164.42	206.94	138.1	346.29	164.42	229.72	246.28	201.25	158.79	111.21	253.23	167.9	234.57	348.71	281.09	121.79	211.31	124.37	88.88	163.28	109.66	194.36	144.01	172.65	201.25	98.73	214.27	161.02	163.28	132.44	96.68	170.25	121.79	111.99	171.45	71.0
HEATR5B	68.55	129.69	115.97	116.78	232.94	301.33	279.14	366.09	226.54	224.97	223.41	303.44	191.67	348.71	145.02	269.6	194.36	483.38	269.6	189.02	171.45	109.66	327.56	305.55	209.84	241.19	353.59	221.86	264.03	466.88	237.86	98.04	297.17	246.28	277.2	211.31	275.28	301.33	353.59	231.32	121.79	332.14	260.38	253.23	162.14	529.06	275.28	309.83	202.66	353.59	82.29	251.48	299.25	241.19	265.87	193.01	226.54	656.11	215.77	131.51	217.27	173.85	81.71	122.64	142.01	84.04	80.57	123.5	218.79	96.01	79.45	132.44	172.65	138.1	134.3	220.32	175.07	55.49	75.64	139.07
HERC4	283.05	397.93	159.9	251.48	463.65	656.11	486.75	529.06	373.81	381.68	532.74	470.14	412.0	438.59	297.17	441.64	244.57	563.18	612.11	341.51	299.25	325.29	476.71	346.29	438.59	547.75	420.68	226.54	412.0	665.29	457.25	229.72	563.18	409.15	579.04	376.41	497.0	575.03	438.59	547.75	483.38	511.0	376.41	463.65	307.69	559.28	463.65	660.68	366.09	511.0	400.71	540.19	500.46	325.29	376.41	414.87	460.44	728.11	507.46	376.41	507.46	444.72	244.57	525.39	201.25	316.37	343.89	412.0	285.03	279.14	154.42	323.03	400.71	356.05	226.54	480.04	346.29	202.66	397.93	205.5
IKZF5	85.22	134.3	106.63	85.22	199.85	314.17	293.07	379.04	314.17	224.97	400.71	325.29	246.28	371.22	187.71	312.0	175.07	412.0	486.75	193.01	141.02	149.12	441.64	258.57	212.78	327.56	353.59	206.94	239.52	638.15	208.38	74.58	363.56	237.86	258.57	260.38	301.33	281.09	329.84	171.45	136.19	258.57	291.04	303.44	167.9	435.55	195.72	423.61	170.25	343.89	189.02	181.28	269.6	215.77	412.0	198.47	264.03	525.39	237.86	195.72	173.85	140.04	142.01	135.24	98.73	211.31	96.68	175.07	107.38	151.22	161.02	221.86	182.55	133.36	141.02	215.77	154.42	57.49	106.63	90.77
INADL	34.51	176.29	96.01	346.29	299.25	1023.0	470.14	1745.2	791.35	277.2	595.34	1709.26	638.15	358.54	332.14	1037.29	329.84	1437.15	723.08	127.89	334.46	253.23	559.28	500.46	728.11	909.17	444.72	463.65	376.41	1697.45	275.28	41.81	273.37	764.36	884.29	503.95	684.02	536.45	825.0	148.09	53.57	884.29	780.44	616.37	236.21	1923.14	642.59	854.13	171.45	884.29	651.58	334.46	476.71	177.53	1617.0	356.05	221.86	656.11	228.13	54.72	90.14	283.05	145.02	299.25	155.5	27.25	115.16	264.03	189.02	177.53	2.58	108.9	204.07	111.21	389.72	182.55	189.02	68.07	145.02	95.34
INTS12	232.94	256.78	723.08	287.01	684.02	738.29	567.1	825.0	483.38	563.18	780.44	571.05	669.92	563.18	441.64	620.67	293.07	842.36	693.58	454.09	559.28	301.33	591.22	599.49	878.17	674.59	429.54	466.88	470.14	884.29	432.53	273.37	616.37	463.65	775.05	403.5	559.28	616.37	738.29	521.76	379.04	775.05	620.67	743.43	559.28	860.08	536.45	708.18	389.72	802.41	358.54	470.14	457.25	551.56	738.29	361.04	521.76	703.28	397.93	414.87	299.25	392.44	406.31	356.05	301.33	226.54	356.05	283.05	262.2	400.71	301.33	423.61	368.65	392.44	368.65	336.79	327.56	312.0	387.02	429.54
IRAK4	172.65	201.25	177.53	166.73	312.0	381.68	234.57	285.03	325.29	220.32	334.46	265.87	208.38	368.65	232.94	289.02	136.19	379.04	387.02	201.25	221.86	262.2	412.0	295.11	253.23	373.81	229.72	178.77	291.04	334.46	297.17	144.01	287.01	249.73	316.37	169.07	283.05	525.39	320.8	325.29	236.21	320.8	309.83	320.8	239.52	297.17	358.54	409.15	262.2	271.48	215.77	312.0	293.07	228.13	343.89	170.25	295.11	447.82	231.32	173.85	275.28	277.2	99.43	194.36	205.5	224.97	183.82	173.85	447.82	142.01	267.73	253.23	253.23	271.48	180.02	291.04	309.83	90.77	86.43	131.51
KANSL3	273.37	423.61	480.04	366.09	476.71	769.69	633.73	848.22	490.14	490.14	616.37	579.04	583.07	967.76	536.45	780.44	348.71	1096.5	738.29	438.59	583.07	536.45	647.07	872.1	665.29	802.41	860.08	466.88	698.41	896.64	607.87	297.17	902.89	497.0	878.17	395.18	518.15	595.34	563.18	323.03	329.84	638.15	775.05	624.99	466.88	808.0	470.14	679.29	341.51	728.11	571.05	607.87	595.34	607.87	674.59	599.49	587.13	1104.13	718.08	656.11	540.19	435.55	395.18	447.82	343.89	291.04	239.52	312.0	381.68	271.48	559.28	429.54	460.44	490.14	454.09	567.1	607.87	384.34	303.44	441.64
KIAA0895	7.88	26.67	30.12	10.31	126.12	289.02	80.57	155.5	132.44	159.9	175.07	116.78	96.68	141.02	116.78	149.12	116.78	145.02	108.9	59.55	33.3	13.22	141.02	137.14	110.43	145.02	124.37	87.65	139.07	366.09	121.79	10.31	150.17	94.67	181.28	111.99	115.97	201.25	139.07	113.56	47.84	256.78	128.79	112.77	35.0	127.89	115.16	172.65	44.25	115.97	115.97	78.34	58.3	50.63	123.5	118.43	66.65	161.02	108.14	27.25	100.83	85.22	20.71	69.52	22.92	50.27	65.26	28.86	90.14	41.22	10.71	39.79	48.87	34.02	60.39	45.53	85.22	36.27	13.03	57.49
KIAA1109	212.78	327.56	323.03	341.51	423.61	866.07	587.13	884.29	563.18	497.0	759.08	612.11	532.74	1008.9	457.25	638.15	473.41	1350.18	1191.69	406.31	336.79	301.33	854.13	791.35	441.64	620.67	902.89	470.14	500.46	1159.07	607.87	118.43	830.75	503.95	759.08	521.76	473.41	629.35	642.59	379.04	432.53	860.08	532.74	563.18	301.33	988.12	480.04	915.51	291.04	733.19	346.29	511.0	703.28	878.17	733.19	660.68	497.0	1757.34	466.88	511.0	480.04	457.25	301.33	246.28	246.28	231.32	287.01	249.73	493.56	246.28	242.88	329.84	420.68	186.4	389.72	575.03	320.8	103.69	199.85	356.05
KIAA1279	376.41	417.77	279.14	223.41	638.15	669.92	435.55	693.58	540.19	603.67	633.73	688.78	460.44	466.88	420.68	629.35	303.44	769.69	693.58	432.53	470.14	316.37	947.83	395.18	638.15	647.07	688.78	441.64	457.25	679.29	493.56	258.57	555.41	575.03	624.99	470.14	679.29	460.44	669.92	595.34	420.68	518.15	567.1	595.34	540.19	555.41	620.67	753.83	521.76	579.04	373.81	511.0	536.45	493.56	579.04	406.31	612.11	583.07	607.87	460.44	490.14	417.77	417.77	429.54	291.04	325.29	336.79	529.06	267.73	297.17	246.28	429.54	463.65	400.71	156.59	450.94	301.33	327.56	521.76	460.44
KIAA1430	151.22	293.07	169.07	209.84	403.5	785.88	414.87	733.19	441.64	507.46	753.83	642.59	409.15	825.0	334.46	688.78	348.71	941.27	669.92	454.09	193.01	186.4	532.74	647.07	361.04	616.37	521.76	529.06	441.64	915.51	620.67	105.15	738.29	507.46	693.58	954.43	638.15	708.18	693.58	444.72	379.04	928.3	444.72	684.02	366.09	603.67	497.0	743.43	417.77	813.63	447.82	532.74	607.87	403.5	660.68	473.41	575.03	961.07	366.09	318.57	470.14	563.18	231.32	217.27	134.3	514.56	212.78	273.37	191.67	215.77	387.02	376.41	403.5	249.73	208.38	466.88	387.02	72.01	97.36	454.09
KIF3B	234.57	358.54	214.27	251.48	420.68	1175.27	480.04	723.08	764.36	551.56	642.59	595.34	483.38	583.07	450.94	607.87	389.72	759.08	1066.48	511.0	384.34	212.78	1001.93	808.0	346.29	638.15	543.96	567.1	547.75	703.28	599.49	217.27	759.08	486.75	679.29	555.41	718.08	748.61	647.07	476.71	387.02	995.0	698.41	583.07	571.05	563.18	708.18	555.41	305.55	723.08	323.03	493.56	575.03	486.75	457.25	583.07	409.15	1073.91	529.06	521.76	384.34	353.59	283.05	314.17	309.83	518.15	228.13	463.65	363.56	287.01	289.02	447.82	470.14	463.65	297.17	417.77	420.68	228.13	249.73	400.71
KRBA2	17.0	38.95	34.02	35.0	37.85	98.04	47.84	104.42	36.27	42.11	82.87	39.5	28.86	75.64	36.79	46.84	29.91	92.05	80.01	27.25	24.11	24.28	43.94	78.34	41.52	59.13	64.34	35.0	22.92	137.14	36.27	25.54	84.04	29.91	56.68	42.71	44.57	62.12	49.91	36.53	36.53	87.03	47.5	36.01	21.63	66.65	52.08	46.84	18.03	73.54	27.25	40.64	57.49	37.59	77.25	46.5	43.02	193.01	38.67	36.53	50.27	15.0	24.11	17.64	18.84	31.0	19.25	64.8	33.78	11.82	34.02	31.0	29.27	40.93	15.11	32.59	34.75	3.86	24.28	31.22
LCA5L	15.91	22.26	3.44	23.25	180.02	206.94	73.03	149.12	90.14	76.71	137.14	100.13	57.49	87.65	82.29	108.14	72.01	123.5	54.72	36.27	63.45	24.99	214.27	115.16	142.01	73.54	32.59	77.25	64.8	209.84	47.84	18.56	124.37	55.1	88.26	55.1	130.6	83.45	94.67	100.83	25.35	81.71	120.1	108.9	50.27	157.68	111.21	138.1	279.14	74.58	20.71	88.88	60.39	68.07	102.25	78.34	55.49	180.02	104.42	29.27	40.64	10.71	12.09	16.27	17.9	48.52	33.06	6.41	13.42	10.71	95.34	24.28	57.89	53.19	40.36	33.3	12.83	20.86	18.84	40.64
