	TCGA.BT.A2LA.01A.11R.A18C.07	TCGA.D8.A13Y.01A.11R.A115.07	TCGA.AZ.4323.01A.21R.1839.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.J9.A52D.01A.11R.A29R.07	TCGA.J9.A52B.01A.11R.A26U.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.VP.A879.01A.11R.A352.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.J9.A8CK.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.YL.A9WL.01A.11R.A41O.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.YL.A8SP.01B.11R.A37L.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.J4.A83J.11A.11R.A36G.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.N5.A4RD.01A.11R.A28V.07
NSMF	1001.93	981.29	3419.52	0.0	1.14	397.93	293.07	2485.67	493.56	1216.75	941.27	915.51	684.02	406.31	764.36	954.43	395.18	1369.04	688.78	327.56	500.46	1963.57	934.76	1388.16	723.08	366.09	656.11	500.46	688.78	1388.16	802.41	708.18	665.29	708.18	854.13	1051.79	759.08	988.12	1088.92	728.11	638.15	3060.45
NTN3	12.45	13.42	183.82	0.0	0.0	0.0	0.0	9.34	0.0	1.04	0.33	0.67	1.03	0.32	1.08	0.32	0.0	0.69	0.0	0.0	0.0	0.3	0.36	0.29	0.65	0.0	0.73	0.36	0.0	2.81	0.65	0.32	1.33	0.0	0.32	0.71	0.33	0.0	3.26	0.65	1.01	9.78
NYAP1	151.22	54.72	96.68	0.0	0.32	1.38	3.23	92.7	2.43	31.22	17.38	10.71	8.19	7.63	18.7	22.26	4.21	15.11	7.22	7.57	13.12	6.78	19.25	2.05	12.64	8.38	3.26	13.22	5.63	11.82	10.16	10.79	11.64	3.2	7.17	24.63	15.11	10.55	37.59	24.99	21.47	169.07
PAPPA2	2.23	1.5	4.9	0.0	0.07	0.27	0.0	34.26	0.59	0.31	0.3	2.48	0.67	0.65	3.06	0.65	0.34	1.06	0.29	0.0	0.66	4.39	1.87	0.0	0.0	0.72	0.33	0.71	0.29	0.67	0.29	1.33	0.99	0.32	0.99	0.32	0.3	0.32	0.99	3.0	3.08	51.35
PGBD5	420.68	540.19	149.12	0.0	0.3	14.35	27.25	253.23	13.93	30.34	30.34	36.27	19.68	16.63	37.85	41.52	8.92	34.26	30.12	31.0	20.41	23.59	39.79	10.88	30.12	31.0	15.11	47.5	18.16	30.78	57.08	30.34	36.79	9.48	26.67	33.3	16.03	28.45	40.36	50.27	43.02	217.27
PHF19	1417.35	2816.11	1427.22	0.0	0.74	145.02	162.14	591.22	77.79	356.05	253.23	289.02	249.73	127.89	273.37	231.32	71.0	497.0	158.79	107.38	102.25	476.71	279.14	241.19	229.72	162.14	161.02	224.97	90.14	361.04	132.44	133.36	256.78	191.67	224.97	332.14	183.82	195.72	457.25	371.22	351.14	1008.9
PLCG1	2240.11	2104.58	2018.8	0.0	0.85	521.76	381.68	1225.22	406.31	1073.91	967.76	1183.45	813.63	470.14	785.88	896.64	312.0	1208.34	503.95	457.25	503.95	1313.23	1135.2	339.14	688.78	521.76	733.19	703.28	547.75	1457.23	941.27	1159.07	728.11	638.15	1331.57	1216.75	775.05	1175.27	1151.06	866.07	785.88	1769.57
PLCXD2	27.25	423.61	162.14	0.0	0.27	189.02	0.25	1447.15	132.44	63.0	161.02	162.14	57.89	16.03	54.72	295.11	53.57	131.51	236.21	11.13	31.0	323.03	536.45	9.56	138.1	212.78	88.26	120.1	42.41	470.14	22.75	34.51	226.54	55.89	21.32	195.72	33.78	146.03	161.02	69.03	139.07	267.73
PROCR	656.11	567.1	921.88	0.0	0.23	100.13	60.39	571.05	32.36	220.32	127.0	279.14	215.77	61.68	172.65	323.03	108.14	309.83	92.7	80.01	78.89	139.07	183.82	40.36	255.0	214.27	26.1	120.1	89.51	253.23	124.37	85.82	173.85	201.25	107.38	256.78	103.69	157.68	256.78	253.23	275.28	1175.27
PSD	473.41	309.83	1208.34	0.0	0.39	119.26	44.57	507.46	94.01	108.9	95.34	85.82	90.77	62.12	120.94	114.36	69.52	112.77	38.12	78.34	88.26	52.82	150.17	75.11	114.36	87.65	48.18	109.66	31.0	159.9	61.25	104.42	74.58	72.01	99.43	125.24	110.43	77.25	134.3	117.6	58.3	307.69
RADIL	153.34	244.57	242.88	0.0	0.35	22.1	25.72	111.99	1.14	54.33	29.27	31.22	23.93	13.03	29.06	36.27	21.47	64.34	19.25	13.32	8.13	43.32	31.9	22.59	30.56	42.41	2.23	15.91	7.06	32.13	16.03	23.59	33.06	21.32	11.21	73.54	21.32	18.7	53.19	45.85	34.02	120.94
RP1-27O5.3	33.06	19.25	7.75	0.0	0.11	1.53	0.0	15.0	0.0	1.0	1.66	2.32	1.68	0.28	0.0	0.61	0.0	0.0	1.64	0.0	0.0	0.57	0.67	0.0	0.27	0.0	0.0	0.68	0.0	8.19	0.28	0.0	0.28	0.0	0.95	3.89	0.0	2.48	6.46	0.27	0.95	10.0
SGSM1	39.22	90.77	41.81	0.0	0.15	19.97	3.41	206.94	11.82	43.02	17.77	74.06	13.12	4.7	16.27	35.25	8.32	30.78	7.11	11.38	4.82	66.18	20.26	4.62	23.08	11.47	8.85	6.62	5.32	40.36	32.82	22.43	57.89	8.25	59.55	48.18	19.11	11.13	63.0	64.34	33.06	47.84
SIAH3	7.22	8.45	13.42	0.0	0.0	0.0	0.0	12.0	0.0	0.87	0.23	0.53	0.23	0.83	0.57	0.83	0.0	0.24	0.22	0.0	0.0	3.82	0.25	0.0	0.82	0.0	0.0	0.58	0.52	1.79	0.52	0.0	1.41	0.25	0.0	0.88	0.23	0.0	0.58	0.84	0.55	16.39
SLC18A3	87.65	2.34	82.87	0.0	0.0	0.0	0.0	353.59	0.0	0.36	0.0	5.63	0.0	0.0	0.0	34.26	0.0	18.97	0.0	0.0	0.0	33.78	0.0	0.0	0.0	0.0	0.0	0.0	1.85	31.0	0.34	3.82	0.65	0.0	0.34	0.0	0.36	1.35	0.0	0.0	0.0	98.73
SLC2A6	158.79	381.68	217.27	122.64	176.29	5.54	7.22	490.14	8.92	25.91	28.45	30.12	26.47	24.99	28.65	18.84	17.77	45.85	11.13	8.45	13.22	70.01	35.76	9.85	25.17	13.83	4.24	14.45	7.63	62.12	13.93	15.56	22.92	18.43	12.83	33.3	25.54	17.38	41.81	34.26	21.32	143.01
SLC45A1	58.71	80.01	180.02	0.0	0.39	77.25	16.39	624.99	34.75	190.34	64.34	143.01	74.06	26.47	69.52	165.57	14.45	169.07	90.14	49.91	66.65	193.01	45.85	22.43	118.43	44.89	43.94	57.49	60.82	171.45	75.11	46.5	85.82	46.5	44.57	112.77	88.88	136.19	68.07	112.77	84.63	70.51
SLC6A4	7.94	1.0	40.93	0.0	0.0	3.82	0.32	111.21	0.35	3.29	0.71	4.66	1.35	0.37	1.07	1.93	0.77	0.72	1.0	0.68	1.03	13.93	0.74	0.34	0.67	0.4	0.39	0.74	0.99	1.36	0.68	1.28	1.3	0.73	2.2	2.03	1.66	0.73	6.06	8.92	4.58	2.46
SNN	1685.71	1015.93	1467.37	0.0	0.38	143.01	172.65	713.11	239.52	476.71	293.07	403.5	255.0	220.32	346.29	473.41	281.09	343.89	223.41	180.02	217.27	476.71	314.17	140.04	275.28	209.84	403.5	297.17	191.67	708.18	348.71	249.73	351.14	191.67	273.37	389.72	279.14	366.09	473.41	555.41	547.75	633.73
SRRM4	43.63	35.25	175.07	0.0	0.0	0.0	0.0	30.56	0.0	1.04	0.0	0.67	0.34	0.33	2.92	0.33	0.38	4.28	0.0	0.0	0.34	5.06	0.36	0.0	0.0	0.0	0.0	0.0	1.31	0.0	1.99	0.0	0.66	0.71	0.0	0.35	0.0	0.36	2.14	1.66	0.67	1.91
ST6GAL2	105.89	108.9	16.03	0.0	0.01	2.94	0.78	106.63	0.0	14.24	5.96	4.03	7.88	6.46	12.45	11.55	0.34	13.72	1.23	0.92	1.91	28.24	3.69	5.87	5.45	1.38	27.44	2.71	6.67	8.58	2.76	23.59	4.28	4.28	1.53	6.16	2.23	6.57	14.24	10.79	9.56	2.27
STX1A	1066.48	2855.44	1651.0	0.0	0.79	94.01	74.06	674.59	92.05	154.42	88.26	170.25	118.43	46.84	71.0	101.54	89.51	143.01	64.34	66.65	50.27	149.12	132.44	72.52	96.68	56.28	57.49	58.71	46.5	143.01	115.97	139.07	117.6	84.63	167.9	123.5	75.11	95.34	217.27	149.12	96.68	571.05
SYN1	371.22	215.77	218.79	0.0	0.37	7.28	1.75	299.25	0.51	12.27	11.64	10.0	10.96	3.56	11.91	9.2	5.68	24.46	6.21	4.28	7.06	18.43	15.56	4.62	9.78	17.51	1.81	10.0	3.89	26.1	4.98	3.86	12.0	8.99	6.11	20.26	4.82	8.19	19.82	14.45	10.24	108.14
SYNGR4	4.13	1286.18	320.8	0.0	0.12	5.41	0.0	244.57	0.0	0.0	0.0	3.08	4.17	0.49	1.91	5.73	0.57	3.56	0.0	0.8	0.0	2.25	2.27	4.54	0.0	5.23	2.29	0.0	0.0	2.51	2.05	0.47	3.35	0.0	1.73	2.89	0.51	0.0	6.21	6.73	3.32	228.13
TMCC2	165.57	595.34	796.86	0.0	0.33	4.5	2.73	33.78	3.0	24.63	12.83	18.7	11.38	6.62	18.7	13.32	5.28	34.26	9.27	8.06	10.16	10.39	16.88	1.57	17.77	11.38	2.27	10.08	2.43	16.51	7.63	4.62	18.7	12.18	12.09	17.64	12.55	13.03	43.02	26.28	22.59	341.51
TMEM151B	417.77	58.71	121.79	0.0	0.33	0.65	0.0	29.7	3.56	8.78	1.91	7.75	10.63	1.87	4.94	3.06	1.62	4.82	1.07	1.87	2.32	7.57	11.21	3.14	1.45	4.21	4.17	3.32	1.06	6.78	3.03	6.01	1.85	6.57	12.09	8.51	4.74	6.16	9.41	5.36	5.92	96.68
TMEM198	620.67	470.14	381.68	0.0	0.49	77.79	75.64	854.13	145.02	173.85	113.56	108.9	123.5	73.54	73.03	149.12	88.88	137.14	90.77	77.79	145.02	208.38	117.6	108.9	158.79	82.29	109.66	129.69	68.07	197.09	106.63	83.45	107.38	76.17	199.85	165.57	122.64	109.66	108.9	85.82	87.65	323.03
TMEM59L	1350.18	212.78	902.89	0.0	0.51	26.67	18.97	1457.23	5.59	58.3	12.55	50.98	24.99	9.34	116.78	88.26	15.0	303.44	25.72	14.45	11.04	177.53	41.22	13.22	78.89	19.11	13.03	14.14	51.35	204.07	16.88	21.63	15.11	24.28	26.47	39.5	17.13	33.54	38.67	28.86	31.67	688.78
TTYH2	176.29	165.57	269.6	0.0	0.47	25.91	12.0	77.79	21.78	63.45	70.01	61.68	71.0	24.99	55.49	56.68	39.5	61.68	28.04	21.63	26.67	36.53	56.68	22.1	38.95	25.17	24.46	34.02	31.22	60.82	31.67	24.46	46.5	48.18	43.32	76.17	35.5	42.71	103.69	91.41	55.49	420.68
TUBA1A	23169.48	11189.6	11424.74	0.0	0.42	392.44	791.35	10154.69	262.2	2895.31	2303.12	1733.13	1844.76	728.11	2935.74	2335.28	1111.82	4869.99	1639.59	1175.27	1304.15	5711.87	1457.23	490.14	2367.9	1322.37	157.68	1477.58	796.86	2090.03	1745.2	426.57	2075.59	1745.2	915.51	1498.22	1111.82	1378.57	3768.09	4038.61	4268.94	10440.2
VASH1	493.56	281.09	353.59	0.0	0.23	28.65	13.72	183.82	16.51	126.12	110.43	105.89	42.41	20.26	86.43	77.25	36.01	127.0	50.63	30.12	38.67	155.5	108.9	32.82	61.68	35.5	29.06	54.72	9.56	134.3	37.32	35.76	112.77	30.12	111.99	88.26	78.34	74.58	186.4	112.77	78.34	220.32
VWA7	13.42	122.64	65.72	0.0	0.0	6.84	2.53	305.55	11.38	24.11	13.93	32.13	28.86	4.74	14.67	48.87	5.32	44.57	11.3	5.77	3.41	65.26	11.82	2.73	16.03	12.45	3.26	7.46	2.27	61.68	10.16	24.46	31.9	10.96	12.18	37.32	13.62	10.24	53.19	50.63	12.45	49.21
