	TCGA.44.2668.11A.01R.1758.07	TCGA.50.5933.11A.01R.1755.07	TCGA.44.6145.11A.01R.1858.07	TCGA.44.6147.11A.01R.1858.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.YF7O.0626.SM.4W21R	GTEX.OOBK.0526.SM.2HMJJ	GTEX.11DXX.0626.SM.5Q5AG	GTEX.13O3O.0726.SM.5J1N7	GTEX.O5YW.0526.SM.2YUMX	GTEX.12584.1426.SM.5EGJ9	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.13OVH.1026.SM.5J2NP	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.ZYY3.0926.SM.5E454	GTEX.11P7K.0326.SM.59871	GTEX.147F4.0926.SM.5Q5EO	GTEX.P4QT.0526.SM.2I3EX	GTEX.U8XE.1426.SM.3DB8Q	GTEX.ZLV1.0426.SM.4WWC2	GTEX.WFJO.0326.SM.3GIL3	GTEX.P4PQ.0526.SM.2HMKR	GTEX.117YX.1326.SM.5H125	GTEX.11GSP.0726.SM.5986L	GTEX.WOFM.0126.SM.3MJFE	GTEX.YEC3.0226.SM.5IFJO	GTEX.12BJ1.1026.SM.5EGJA	GTEX.11EMC.0126.SM.5EGKV	GTEX.WFON.0426.SM.3GIL4	GTEX.145MN.0926.SM.5NQBT	GTEX.13O21.3026.SM.5J2NI	GTEX.13FLV.0426.SM.5KLZA	GTEX.13N2G.0826.SM.5IJE6	GTEX.WHPG.1426.SM.3NMBB	GTEX.13VXT.1426.SM.5LU4B	GTEX.13N1W.0726.SM.5MR57	GTEX.13QBU.0726.SM.5J2OA	GTEX.WRHU.0226.SM.3MJFV	GTEX.QESD.0626.SM.2I5G4	GTEX.Q2AH.0426.SM.2I3EP	GTEX.13PL7.1726.SM.5J2NX	GTEX.ZDTT.0926.SM.5J2MS	GTEX.OIZI.1026.SM.3NB1K	GTEX.13OW6.0826.SM.5L3GA	GTEX.1399S.1726.SM.5L3DI	GTEX.Y3IK.0626.SM.4WWE4	GTEX.XPVG.1026.SM.4B64Y	GTEX.145MF.0726.SM.5Q5BT	GTEX.X4LF.0526.SM.3NMB6	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.PLZ6.0426.SM.5IFK2	GTEX.XQ8I.1126.SM.4BOO2	GTEX.OXRL.0526.SM.2I3EZ	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.OXRK.0926.SM.2HMKP	GTEX.145LS.1226.SM.5Q5D9	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.RM2N.0426.SM.2TF4T	GTEX.OHPM.0526.SM.2YUMJ	GTEX.131XH.0426.SM.5DUWU	TCGA.60.2709.11A.01R.1820.07	TCGA.56.8082.11A.01R.2247.07	TCGA.43.6771.11A.01R.1820.07	TCGA.56.7731.11A.01R.2125.07
HDC	150.17	260.38	289.02	208.38	68.07	30.56	48.18	275.28	133.36	890.44	47.17	314.17	329.84	149.12	19.39	400.71	50.27	46.84	967.76	87.65	981.29	24.46	186.4	141.02	91.41	20.41	72.52	1015.93	68.55	103.69	85.22	358.54	55.89	74.06	47.84	713.11	105.89	511.0	113.56	688.78	77.79	172.65	753.83	208.38	88.88	17.0	115.16	283.05	164.42	103.69	64.8	397.93	108.14	50.63	52.45	60.82	14.35	44.89	108.14	63.89	1208.34	88.88	101.54	493.56	118.43	57.89	223.41	159.9	748.61	423.61	303.44
HIF1A	2875.3	3901.01	2004.85	4152.18	2573.36	1369.04	1216.75	1909.85	1167.14	5555.65	1159.07	3716.2	3349.13	1685.71	813.63	3124.78	591.22	1088.92	3564.78	559.28	4639.29	995.0	5076.84	1199.98	785.88	723.08	967.76	3124.78	954.43	981.29	2061.24	2417.67	1111.82	743.43	595.34	4038.61	974.5	2240.11	981.29	2240.11	1832.01	1417.35	4181.07	1277.29	988.12	830.75	967.76	3060.45	753.83	1870.53	1350.18	2627.46	954.43	1030.12	890.44	902.89	1369.04	796.86	1617.0	866.07	6840.04	808.0	1111.82	934.76	1963.57	1909.85	3589.58	2591.27	3349.13	3716.2	4639.29
HILPDA	395.18	638.15	287.01	211.31	161.02	156.59	127.89	103.69	114.36	1551.09	158.79	738.29	151.22	111.21	116.78	303.44	171.45	141.02	2178.83	61.25	2935.74	108.9	156.59	156.59	149.12	84.63	97.36	536.45	88.26	114.36	136.19	231.32	110.43	105.15	108.9	555.41	169.07	140.04	121.79	114.36	126.12	255.0	94.67	176.29	178.77	96.68	65.72	176.29	101.54	312.0	118.43	325.29	111.21	145.02	121.79	143.01	536.45	81.71	138.1	164.42	183.82	99.43	169.07	112.77	102.25	183.82	575.03	2502.97	2303.12	1923.14	1304.15
IFITM2	17437.64	18689.27	20030.74	24490.61	14461.21	9474.59	8363.13	19214.73	10733.74	92680.9	7081.29	58250.19	16843.62	8963.45	10585.95	61571.56	8479.89	6037.61	32994.92	9474.59	36106.23	11504.21	31215.04	10084.54	4903.87	17681.08	10440.2	15285.81	4181.07	9540.5	56265.94	40621.74	9279.58	7331.05	7749.1	35363.15	8421.31	20737.16	9945.68	32994.92	12415.75	6164.49	16727.26	17078.76	6745.86	14065.74	5555.65	14163.58	9808.75	19618.49	13215.02	9151.82	4066.71	7911.95	12853.63	15715.58	7911.95	8078.22	11035.54	5791.62	12853.63	6561.36	7032.37	5292.48	10585.95	30999.42	17078.76	22225.61	23330.64	26800.01	36610.26
IGLON5	7.88	6.52	5.63	2.97	9.85	12.64	3.03	2.2	0.0	22.92	0.21	1.07	20.86	3.0	0.13	9.56	0.0	2.56	7.82	1.27	2.66	0.92	9.27	0.1	0.0	0.36	0.0	14.89	0.0	0.75	3.44	64.8	0.0	4.24	0.0	13.72	4.7	0.85	0.14	8.71	0.79	4.62	6.94	0.16	1.81	0.33	0.54	4.98	1.45	1.57	0.72	12.36	0.0	0.75	0.15	0.19	0.0	0.0	1.16	0.25	11.21	1.33	2.41	0.47	1.14	4.28	2.76	4.9	7.63	6.31	7.94
IL4R	2935.74	4038.61	2451.44	4038.61	1963.57	775.05	642.59	1427.22	1167.14	6471.02	1651.0	4268.94	3146.52	1051.79	934.76	4972.34	1008.9	703.28	3146.52	1757.34	5366.37	1457.23	3039.3	3039.3	1208.34	1781.89	1870.53	4298.64	1709.26	780.44	3928.15	3639.7	819.3	1477.58	713.11	4802.93	1015.93	1991.0	974.5	1135.2	1963.57	967.76	3443.31	1175.27	2271.4	1407.55	967.76	2816.11	1151.06	1135.2	1088.92	1733.13	684.02	1757.34	1551.09	429.54	1191.69	830.75	753.83	909.17	1697.45	890.44	842.36	1417.35	2609.3	3742.05	3395.89	3212.66	4937.99	4450.27	4181.07
IL6	4972.34	10014.87	15285.81	15180.22	5366.37	351.14	6037.61	13123.73	314.17	23009.42	3081.75	80683.28	1427.22	7485.11	217.27	20310.37	1551.09	2720.15	15607.02	638.15	28923.41	420.68	18304.63	620.67	314.17	688.78	713.11	33224.42	201.25	5041.77	5441.3	2682.69	429.54	403.5	185.11	18052.61	185.11	4419.52	651.58	759.08	1417.35	140.04	36864.92	75.64	819.3	647.07	80.57	5006.93	316.37	3928.15	579.04	1199.98	133.36	384.34	177.53	249.73	1233.75	248.0	480.04	1806.78	1651.0	376.41	665.29	947.83	1159.07	1191.69	20881.4	18304.63	46986.85	35118.87	25354.3
IL8	1167.14	5594.3	1498.22	3257.52	346.29	61.68	232.94	2451.44	61.68	23009.42	161.02	19348.38	748.61	1617.0	199.85	9740.98	341.51	620.67	5831.91	108.14	17078.76	65.26	15934.98	262.2	77.79	61.25	187.71	4937.99	92.7	186.4	2148.82	4937.99	289.02	115.16	52.45	4736.79	327.56	500.46	480.04	1936.53	497.0	493.56	2855.44	18.84	136.19	133.36	46.18	1685.71	94.01	2520.38	175.07	2777.33	38.4	135.24	99.43	120.94	902.89	24.99	236.21	146.03	3081.75	165.57	248.0	105.89	211.31	229.72	17197.56	16611.71	9025.81	6121.9	4972.34
IRAK2	211.31	423.61	116.78	518.15	129.69	59.97	77.79	99.43	49.56	432.53	44.25	591.22	97.36	61.68	84.63	595.34	98.04	44.89	201.25	48.87	432.53	114.36	486.75	100.13	33.06	35.25	87.03	258.57	47.5	33.3	205.5	327.56	84.04	64.8	49.21	172.65	141.02	120.94	54.33	269.6	187.71	190.34	389.72	45.21	67.59	93.35	29.06	283.05	71.5	111.21	71.5	251.48	40.93	81.14	107.38	32.13	44.57	42.11	59.97	47.84	389.72	31.9	108.14	71.0	88.88	123.5	599.49	336.79	1199.98	457.25	435.55
LIF	872.1	1104.13	620.67	2367.9	1191.69	38.4	336.79	1159.07	70.01	1936.53	146.03	7081.29	785.88	297.17	33.06	3235.01	71.0	120.1	2119.22	33.06	2384.37	36.27	2255.7	199.85	76.17	57.08	65.72	2855.44	81.14	223.41	239.52	836.53	55.49	96.68	94.01	1001.93	96.01	813.63	46.84	291.04	441.64	53.19	5633.22	68.07	127.0	41.22	40.64	314.17	67.59	934.76	100.83	366.09	87.65	77.25	35.25	48.52	285.03	57.49	119.26	118.43	693.58	100.83	164.42	73.54	68.55	187.71	2287.2	2895.31	4268.94	9088.59	4152.18
LITAF	8778.97	7966.99	6471.02	6792.79	10154.69	2895.31	4066.71	6294.04	3039.3	13586.57	3564.78	18304.63	6983.79	3443.31	2609.3	9215.48	3467.27	3235.01	11035.54	2485.67	15607.02	3491.39	8479.89	5219.6	3018.3	2537.92	2976.74	9606.86	2758.13	2591.27	6164.49	7911.95	3103.19	2303.12	2271.4	13586.57	4736.79	6935.54	3212.66	6840.04	5147.73	4123.49	12329.98	2796.65	4038.61	2720.15	2739.08	7032.37	2682.69	6426.31	3443.31	7032.37	2520.38	3742.05	3847.29	2400.97	2573.36	2555.58	3419.52	4937.99	10084.54	3124.78	4450.27	3103.19	4512.4	8718.32	9088.59	8247.98	10014.87	8134.41	7589.61
LRRC42	583.07	543.96	507.46	684.02	612.11	334.46	400.71	612.11	281.09	480.04	327.56	403.5	629.35	384.34	466.88	514.56	409.15	295.11	665.29	327.56	884.29	309.83	743.43	718.08	358.54	316.37	336.79	842.36	329.84	361.04	426.57	457.25	480.04	297.17	155.5	511.0	525.39	540.19	403.5	612.11	460.44	684.02	540.19	232.94	432.53	231.32	332.14	1104.13	346.29	493.56	368.65	802.41	318.57	397.93	432.53	543.96	299.25	183.82	316.37	273.37	1216.75	299.25	299.25	536.45	450.94	603.67	854.13	728.11	624.99	486.75	547.75
MAD2L2	791.35	660.68	532.74	988.12	723.08	480.04	283.05	878.17	312.0	1685.71	381.68	1870.53	1088.92	397.93	507.46	1639.59	366.09	450.94	1508.65	387.02	1023.0	466.88	947.83	743.43	279.14	353.59	363.56	1340.84	339.14	305.55	583.07	1001.93	356.05	414.87	301.33	813.63	575.03	836.53	423.61	780.44	441.64	503.95	1088.92	450.94	612.11	420.68	277.2	802.41	332.14	684.02	551.56	633.73	287.01	591.22	353.59	599.49	473.41	332.14	423.61	343.89	698.41	346.29	511.0	392.44	500.46	866.07	1467.37	954.43	1175.27	796.86	1151.06
MAP2K3	3103.19	5517.27	2855.44	5366.37	5255.91	1242.34	1508.65	2163.77	1151.06	4239.45	1322.37	6699.25	2777.33	1529.73	1030.12	3081.75	1037.29	1059.11	3982.99	1023.0	4575.41	1286.18	4836.35	4358.66	1030.12	1250.98	1059.11	7695.57	872.1	1111.82	3124.78	2193.99	1151.06	921.88	743.43	3928.15	1313.23	3081.75	1143.1	2451.44	1709.26	1331.57	2855.44	1023.0	1794.29	1008.9	1037.29	4298.64	909.17	1832.01	1457.23	2224.63	1088.92	1909.85	1844.76	1088.92	1963.57	1250.98	1066.48	1447.15	2976.74	1044.52	1617.0	1208.34	1991.0	5041.77	3039.3	3325.99	6164.49	5147.73	4543.8
MAPKAPK2	3395.89	3901.01	3212.66	4869.99	3395.89	1963.57	1819.35	2434.5	1617.0	2777.33	2555.58	4802.93	4419.52	2591.27	1781.89	3639.7	1651.0	1651.0	3820.7	1639.59	3716.2	2209.26	3491.39	2835.7	1662.49	1427.22	1909.85	3928.15	1477.58	1697.45	3212.66	3589.58	1639.59	1529.73	1508.65	3443.31	2367.9	2319.15	1651.0	3515.68	2047.0	2520.38	3690.52	2004.85	2935.74	1662.49	1498.22	3901.01	1936.53	2133.97	2061.24	2400.97	1594.73	2240.11	2335.28	1467.37	2434.5	1991.0	1685.71	2240.11	3419.52	1685.71	2271.4	1832.01	2451.44	3665.02	2777.33	3614.55	4210.15	3589.58	3257.52
MAT2A	4869.99	5219.6	6516.03	7966.99	7857.29	2609.3	3491.39	4328.55	3124.78	8134.41	3235.01	7081.29	4419.52	5913.33	2591.27	3515.68	3212.66	3742.05	7485.11	2976.74	3794.3	2758.13	2720.15	5041.77	2384.37	3039.3	3081.75	10014.87	2537.92	4419.52	4543.8	4010.71	2434.5	3235.01	2502.97	10440.2	2384.37	3491.39	3395.89	3515.68	3395.89	2400.97	5517.27	3212.66	3419.52	2758.13	3257.52	5479.15	2367.9	4671.57	3018.3	4239.45	3325.99	3280.18	2701.35	2335.28	4937.99	2255.7	3103.19	4038.61	3928.15	2520.38	6250.56	3716.2	4769.75	3742.05	4671.57	6381.92	9215.48	7911.95	7032.37
MESDC1	656.11	674.59	583.07	1225.22	447.82	351.14	417.77	447.82	341.51	1088.92	432.53	660.68	674.59	343.89	529.06	848.22	591.22	403.5	660.68	633.73	1388.16	403.5	915.51	660.68	273.37	283.05	470.14	1015.93	258.57	447.82	785.88	723.08	353.59	379.04	339.14	1477.58	332.14	497.0	397.93	669.92	429.54	307.69	1242.34	327.56	500.46	551.56	212.78	1037.29	409.15	674.59	543.96	616.37	253.23	511.0	438.59	332.14	273.37	318.57	234.57	381.68	612.11	244.57	397.93	291.04	426.57	392.44	974.5	674.59	954.43	1066.48	1030.12
MSC	224.97	376.41	100.83	353.59	256.78	28.45	60.82	587.13	43.32	249.73	25.17	1183.45	146.03	51.35	40.36	575.03	42.71	82.29	629.35	23.08	785.88	35.0	409.15	103.69	23.25	43.94	17.38	1008.9	22.43	26.28	119.26	166.73	11.21	40.93	31.67	493.56	61.68	314.17	17.25	206.94	147.06	24.28	106.63	80.01	170.25	31.0	54.33	358.54	34.02	148.09	53.95	195.72	89.51	75.11	122.64	64.34	25.35	27.44	49.56	123.5	118.43	41.81	71.5	38.67	80.57	199.85	198.47	555.41	791.35	466.88	389.72
MT1A	7230.1	6471.02	6381.92	13681.08	3820.7	154.42	656.11	1208.34	234.57	38164.99	688.78	16269.83	7642.41	1745.2	120.1	16727.26	37.59	301.33	11992.79	165.57	15180.22	633.73	2287.2	4575.41	205.5	387.02	356.05	7642.41	150.17	612.11	2537.92	9945.68	199.85	52.45	139.07	29531.18	397.93	277.2	214.27	3847.29	808.0	532.74	7081.29	1388.16	830.75	366.09	106.63	3955.48	297.17	152.28	334.46	406.31	39.5	656.11	325.29	358.54	540.19	248.0	116.78	703.28	2645.74	171.45	39.22	387.02	1119.56	3372.43	5995.9	6745.86	19082.0	4972.34	21919.61
NAMPT	8901.53	26067.14	8538.88	16269.83	14765.09	2701.35	3124.78	6516.03	1909.85	39510.91	3257.52	29531.18	12589.08	8078.22	775.05	12764.83	1540.37	2573.36	16611.71	775.05	26800.01	1857.6	19348.38	3901.01	1350.18	1594.73	2627.46	13681.08	1331.57	3325.99	11584.24	8022.41	1757.34	890.44	679.29	28132.47	1909.85	9279.58	2133.97	5183.54	8840.04	1561.89	15285.81	1844.76	4575.41	1733.13	1037.29	12244.81	1832.01	5441.3	3742.05	5633.22	825.0	1757.34	2875.3	1519.15	2271.4	775.05	1697.45	4419.52	10296.45	1030.12	2400.97	2032.85	4937.99	12676.65	14461.21	19214.73	21468.49	14461.21	21320.18
NAMPTL	718.08	1001.93	483.38	808.0	1191.69	189.02	144.01	656.11	178.77	1359.57	271.48	728.11	551.56	271.48	93.35	575.03	98.73	186.4	703.28	108.14	1551.09	19.68	713.11	186.4	92.7	107.38	187.71	529.06	74.58	87.03	684.02	521.76	72.01	14.67	44.25	187.71	166.73	81.71	103.69	40.36	167.9	171.45	679.29	16.03	198.47	87.65	72.01	92.7	20.11	397.93	285.03	429.54	52.45	181.28	7.63	23.59	165.57	42.71	163.28	429.54	954.43	44.25	82.29	47.5	237.86	902.89	848.22	1651.0	323.03	1216.75	1662.49
NFKB2	1111.82	3168.41	1030.12	2061.24	988.12	392.44	473.41	941.27	332.14	3564.78	435.55	4095.0	1023.0	842.36	438.59	2935.74	698.41	483.38	1304.15	438.59	3303.0	373.81	2664.15	1081.39	409.15	361.04	497.0	2573.36	423.61	368.65	1561.89	1008.9	392.44	318.57	289.02	1359.57	679.29	1151.06	514.56	1023.0	1242.34	934.76	1923.14	309.83	571.05	579.04	348.71	1151.06	373.81	1081.39	603.67	941.27	426.57	693.58	642.59	356.05	595.34	325.29	336.79	836.53	954.43	314.17	1073.91	525.39	547.75	878.17	4038.61	1427.22	4388.98	2573.36	2895.31
NIPAL4	8.99	17.64	12.27	54.72	12.09	0.0	4.9	166.73	0.0	248.0	0.95	265.87	67.12	10.88	0.59	90.14	0.68	0.57	384.34	0.0	20.41	0.45	133.36	21.78	2.14	2.84	0.0	287.01	0.12	1.71	37.59	15.56	0.08	0.11	0.0	115.16	1.6	24.11	2.71	33.06	99.43	0.0	143.01	2.84	12.93	0.0	0.0	39.79	0.0	17.0	2.32	15.22	0.45	1.95	2.73	0.0	3.0	0.0	1.51	10.79	62.56	0.28	0.31	0.56	6.06	98.04	26.47	34.51	98.04	24.99	35.76
NNMT	13681.08	16269.83	24321.43	16157.44	24321.43	12589.08	6561.36	14765.09	5913.33	37379.55	3982.99	48982.22	41188.81	10808.41	3146.52	42641.37	1183.45	11345.82	40621.74	1135.2	44761.41	2502.97	8363.13	8078.22	3768.09	3982.99	3395.89	35609.13	3665.02	10154.69	18178.19	51775.15	1832.01	1457.23	3491.39	54727.32	4358.66	16157.44	2915.45	24321.43	14163.58	4639.29	15180.22	6207.38	18560.17	3103.19	6207.38	16269.83	3280.18	7911.95	7130.55	15607.02	4903.87	6516.03	3955.48	11584.24	2875.3	3955.48	12853.63	9606.86	14461.21	3982.99	2816.11	6699.25	9215.48	16045.82	25179.16	17078.76	24832.5	20030.74	35363.15
PANX1	395.18	733.19	325.29	684.02	555.41	165.57	234.57	316.37	177.53	583.07	234.57	1023.0	438.59	260.38	129.69	441.64	189.02	217.27	928.3	137.14	656.11	223.41	532.74	358.54	209.84	165.57	215.77	1088.92	137.14	224.97	356.05	441.64	211.31	159.9	149.12	457.25	156.59	447.82	180.02	297.17	265.87	165.57	595.34	206.94	239.52	161.02	194.36	591.22	186.4	228.13	185.11	301.33	140.04	212.78	221.86	183.82	169.07	248.0	140.04	295.11	460.44	164.42	162.14	201.25	291.04	559.28	503.95	438.59	775.05	547.75	575.03
PDLIM4	1322.37	444.72	848.22	400.71	392.44	71.5	220.32	583.07	41.81	1991.0	68.55	2163.77	1111.82	249.73	450.94	2104.58	186.4	217.27	1088.92	36.79	1051.79	54.33	860.08	244.57	99.43	151.22	61.68	1119.56	75.64	669.92	303.44	830.75	87.65	249.73	104.42	860.08	518.15	476.71	180.02	1923.14	381.68	400.71	738.29	329.84	444.72	80.57	90.77	928.3	94.01	555.41	234.57	1721.16	180.02	373.81	224.97	291.04	127.89	232.94	197.09	173.85	1639.59	158.79	113.56	94.01	248.0	218.79	1051.79	363.56	693.58	567.1	733.19
PIM1	1437.15	2956.17	1909.85	3257.52	2855.44	493.56	995.0	2061.24	638.15	2451.44	616.37	5147.73	2255.7	2664.15	473.41	2240.11	848.22	988.12	2047.0	638.15	2664.15	435.55	2319.15	1044.52	514.56	651.58	620.67	3395.89	497.0	1066.48	1769.57	1250.98	563.18	555.41	444.72	1977.24	567.1	2855.44	764.36	1175.27	1909.85	518.15	2255.7	551.56	2163.77	607.87	384.34	1295.13	748.61	1104.13	808.0	1388.16	693.58	1477.58	620.67	780.44	669.92	616.37	579.04	2119.22	1583.71	759.08	693.58	759.08	748.61	1127.35	2796.65	2609.3	4358.66	2935.74	2209.26
PITPNB	1044.52	1286.18	902.89	1685.71	1066.48	429.54	656.11	674.59	620.67	2701.35	543.96	2739.08	1268.46	629.35	555.41	1437.15	563.18	426.57	2209.26	591.22	2664.15	497.0	1175.27	1096.5	563.18	384.34	733.19	1844.76	607.87	521.76	1088.92	1250.98	651.58	441.64	423.61	1551.09	540.19	921.88	629.35	708.18	738.29	785.88	1295.13	521.76	674.59	551.56	460.44	1745.2	483.38	540.19	514.56	1066.48	483.38	642.59	603.67	441.64	379.04	414.87	688.78	669.92	1340.84	429.54	387.02	753.83	928.3	1561.89	2178.83	1088.92	1721.16	1023.0	1407.55
PITRM1	1304.15	1721.16	1388.16	1350.18	1923.14	791.35	638.15	1135.2	848.22	1594.73	1225.22	1991.0	3589.58	1143.1	890.44	2997.45	567.1	941.27	3515.68	915.51	1135.2	825.0	2193.99	1769.57	808.0	638.15	796.86	2720.15	1073.91	872.1	1769.57	1745.2	1059.11	1081.39	1096.5	1561.89	1183.45	1159.07	1073.91	3639.7	1794.29	1037.29	2133.97	934.76	1467.37	718.08	928.3	3564.78	947.83	872.1	1111.82	2119.22	1151.06	1030.12	1111.82	620.67	1081.39	1001.93	1769.57	780.44	2796.65	1313.23	902.89	1331.57	1388.16	1397.83	1819.35	1233.75	1745.2	1437.15	1662.49
PLAUR	3257.52	4298.64	2485.67	5403.7	3982.99	1322.37	2287.2	2032.85	633.73	7382.04	1030.12	8718.32	2209.26	2739.08	775.05	5112.16	1674.06	1628.26	5479.15	1135.2	4481.23	842.36	5255.91	1923.14	884.29	802.41	753.83	10440.2	836.53	1477.58	2178.83	2682.69	612.11	624.99	624.99	4736.79	1757.34	2271.4	1175.27	2468.49	1001.93	1417.35	3395.89	633.73	1119.56	780.44	780.44	3349.13	684.02	2895.31	1111.82	2384.37	890.44	703.28	1651.0	1023.0	878.17	638.15	1407.55	1313.23	4388.98	1295.13	4038.61	633.73	1540.37	2777.33	5147.73	4903.87	8538.88	6840.04	4512.4
PLSCR1	2400.97	4095.0	2485.67	3901.01	2627.46	1088.92	1519.15	1806.78	1331.57	8963.45	1175.27	4239.45	5403.7	1685.71	642.59	3018.3	1104.13	1151.06	4123.49	1208.34	6250.56	1331.57	3419.52	2047.0	1662.49	961.07	1529.73	4575.41	934.76	708.18	4328.55	2956.17	1059.11	854.13	921.88	5441.3	1233.75	4038.61	1066.48	2485.67	1529.73	1407.55	6745.86	1001.93	1594.73	1457.23	974.5	5995.9	921.88	1769.57	1561.89	3540.14	1175.27	1096.5	1216.75	1008.9	902.89	1030.12	1350.18	1151.06	4010.71	708.18	1322.37	1304.15	2434.5	4543.8	3540.14	3515.68	4358.66	2417.67	2875.3
PNP	2835.7	4095.0	2739.08	5479.15	3124.78	854.13	1896.65	1977.24	764.36	4802.93	934.76	5441.3	1909.85	2271.4	878.17	4481.23	733.19	890.44	6426.31	981.29	3419.52	934.76	3491.39	3639.7	813.63	1104.13	748.61	5219.6	825.0	1313.23	2555.58	1896.65	1359.57	902.89	629.35	2758.13	1037.29	2434.5	842.36	1167.14	961.07	808.0	4481.23	974.5	988.12	947.83	414.87	3564.78	713.11	1175.27	909.17	2451.44	854.13	1183.45	1561.89	854.13	808.0	723.08	688.78	2032.85	2997.45	854.13	981.29	808.0	1551.09	2193.99	3794.3	6840.04	8901.53	7130.55	3901.01
PPARD	909.17	791.35	684.02	890.44	1037.29	480.04	473.41	684.02	454.09	1923.14	409.15	1540.37	1844.76	476.71	395.18	1359.57	389.72	384.34	995.0	353.59	2335.28	423.61	1225.22	830.75	312.0	368.65	368.65	1883.54	460.44	409.15	642.59	540.19	262.2	420.68	473.41	1896.65	507.46	651.58	403.5	934.76	500.46	417.77	2004.85	454.09	555.41	373.81	358.54	1111.82	299.25	547.75	403.5	713.11	423.61	429.54	450.94	295.11	460.44	414.87	559.28	356.05	785.88	457.25	497.0	503.95	435.55	1250.98	988.12	830.75	1073.91	1225.22	796.86
PPIF	1030.12	1037.29	688.78	974.5	728.11	329.84	567.1	981.29	291.04	1081.39	209.84	723.08	698.41	432.53	591.22	1508.65	575.03	525.39	802.41	358.54	1628.26	341.51	1104.13	642.59	303.44	287.01	426.57	988.12	400.71	412.0	785.88	669.92	334.46	351.14	348.71	854.13	595.34	599.49	500.46	679.29	684.02	339.14	1923.14	400.71	384.34	327.56	187.71	1295.13	336.79	836.53	387.02	902.89	281.09	435.55	450.94	536.45	307.69	260.38	293.07	323.03	1447.15	291.04	486.75	356.05	511.0	723.08	1111.82	1350.18	1388.16	1437.15	1529.73
PRG2	16.63	51.71	18.03	2.12	23.42	11.55	6.57	9.2	5.23	25.17	17.38	96.01	50.98	23.08	1.53	33.78	0.0	7.11	10.47	5.02	51.35	12.83	26.28	4.86	9.56	8.0	10.31	58.3	15.34	6.16	14.35	51.71	8.71	4.46	0.0	75.11	7.94	9.7	6.73	37.85	9.48	9.06	12.93	2.39	17.0	6.62	16.75	25.17	9.7	8.32	27.25	16.03	9.34	17.38	5.73	6.31	28.04	6.06	12.64	9.63	46.84	11.55	1.13	3.79	14.78	9.41	38.12	23.25	30.56	36.53	28.45
PSME4	928.3	921.88	941.27	1233.75	921.88	417.77	547.75	543.96	438.59	1540.37	389.72	1529.73	1437.15	656.11	660.68	1407.55	454.09	476.71	1268.46	684.02	1096.5	688.78	1001.93	660.68	769.69	389.72	503.95	1286.18	902.89	457.25	748.61	961.07	616.37	587.13	500.46	698.41	813.63	563.18	476.71	819.3	679.29	902.89	718.08	518.15	669.92	441.64	830.75	928.3	400.71	497.0	607.87	1015.93	665.29	587.13	511.0	460.44	1437.15	466.88	723.08	454.09	2255.7	854.13	409.15	620.67	872.1	660.68	1001.93	1208.34	1051.79	796.86	988.12
R3HDM4	2133.97	2148.82	1977.24	2271.4	1498.22	723.08	1030.12	1508.65	842.36	3982.99	819.3	3395.89	2351.53	1127.35	954.43	2047.0	941.27	941.27	2119.22	830.75	2271.4	1081.39	2367.9	1594.73	733.19	1001.93	1030.12	2591.27	813.63	738.29	2163.77	1322.37	842.36	796.86	669.92	2090.03	1127.35	1896.65	1081.39	1733.13	1295.13	1225.22	1883.54	1151.06	988.12	902.89	753.83	1617.0	860.08	1340.84	1111.82	1651.0	830.75	1023.0	1277.29	941.27	1286.18	974.5	1001.93	830.75	1617.0	928.3	1044.52	947.83	1127.35	1508.65	1733.13	2032.85	2935.74	2520.38	2855.44
RALGDS	2148.82	3325.99	2367.9	2075.59	2178.83	759.08	988.12	1313.23	802.41	4298.64	947.83	3742.05	2271.4	2303.12	836.53	2537.92	1066.48	1073.91	1781.89	909.17	3847.29	915.51	2335.28	1540.37	802.41	802.41	854.13	4210.15	961.07	1051.79	1331.57	1359.57	555.41	1167.14	878.17	2777.33	1540.37	1551.09	1119.56	1936.53	1437.15	1340.84	1519.15	785.88	3060.45	753.83	947.83	2956.17	842.36	1119.56	769.69	1936.53	1059.11	1127.35	1159.07	819.3	2537.92	1051.79	988.12	954.43	2018.8	1963.57	1008.9	1175.27	796.86	1183.45	3303.0	2573.36	4481.23	4152.18	2720.15
