	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13NYS.1626.SM.5J2MU	GTEX.OOBK.0526.SM.2HMJJ	GTEX.12WSI.0826.SM.5EGKD	GTEX.145MH.0626.SM.5NQAK	GTEX.13O3O.0726.SM.5J1N7	GTEX.12WSD.0826.SM.5GCNE	GTEX.YFCO.0426.SM.4W1Z7	GTEX.13OVH.1026.SM.5J2NP	GTEX.11NSD.0326.SM.5A5LS	GTEX.U8T8.2226.SM.3DB95	GTEX.X5EB.0426.SM.46MVY	GTEX.S7SE.0926.SM.2XCD6	GTEX.YECK.0926.SM.4W214	GTEX.OOBJ.0526.SM.48TDK	GTEX.147F4.0926.SM.5Q5EO	GTEX.U8XE.1426.SM.3DB8Q	GTEX.11UD2.0726.SM.5EQ69	GTEX.X4XX.1026.SM.4QARO	GTEX.111CU.0326.SM.5GZXO	GTEX.13O61.0726.SM.5J2MD	GTEX.111FC.1126.SM.5GZWU	GTEX.QDVJ.0926.SM.2I5FU	GTEX.X3Y1.0626.SM.3P5YS	GTEX.RWSA.1126.SM.2XCAZ	GTEX.13YAN.1026.SM.5O9CF	GTEX.12696.1026.SM.5FQUV	GTEX.U3ZN.0626.SM.3DB7U	GTEX.11EMC.0126.SM.5EGKV	GTEX.11ZUS.0126.SM.5EQM5	GTEX.145MN.0926.SM.5NQBT	GTEX.13N2G.0826.SM.5IJE6	GTEX.1497J.0326.SM.5Q5CN	GTEX.P4QS.0526.SM.2I3ET	GTEX.ZPU1.0926.SM.57WDO	GTEX.13VXT.1426.SM.5LU4B	GTEX.12ZZW.0926.SM.5LZUD	GTEX.XBEW.0226.SM.4AT6A	GTEX.QESD.0626.SM.2I5G4	GTEX.ZE7O.0826.SM.57WCP	GTEX.132QS.0726.SM.5IJE9	GTEX.Q2AH.0426.SM.2I3EP	GTEX.13PL7.1726.SM.5J2NX	GTEX.ZUA1.1026.SM.4YCEA	GTEX.146FQ.0926.SM.5LUAV	GTEX.Y3IK.0626.SM.4WWE4	GTEX.145MF.0726.SM.5Q5BT	GTEX.111VG.0726.SM.5GIDC	GTEX.S341.0326.SM.2XCAU	GTEX.13FTX.0326.SM.5J2NG	GTEX.OIZH.0526.SM.2HMKV	GTEX.11WQK.1226.SM.5GU5Z	GTEX.RTLS.0926.SM.2TF5X	GTEX.ZYVF.1726.SM.5E443	GTEX.11ZTT.0626.SM.5EQLM	GTEX.13FH7.1726.SM.5IJE7	GTEX.ZYWO.0826.SM.5E45W	GTEX.1399U.0826.SM.5KM1P	GTEX.RUSQ.0626.SM.2TF5V	GTEX.X4EP.0526.SM.3P5YW	GTEX.11OF3.1126.SM.5986C	GTEX.RM2N.0426.SM.2TF4T	GTEX.144GO.0226.SM.5LUB1
CCDC39	0.0	0.3	109.66	41.22	147.06	454.09	164.42	111.99	46.84	21.16	80.57	100.83	414.87	151.22	137.14	78.89	21.32	32.13	115.16	50.27	11.91	46.84	144.01	54.72	178.77	43.02	124.37	193.01	102.97	21.01	162.14	197.09	85.82	106.63	16.51	185.11	125.24	99.43	346.29	32.13	368.65	29.7	47.5	59.55	271.48	135.24	99.43	379.04	190.34	189.02	103.69	31.9	6.52	275.28	182.55	403.5	98.04	72.52	273.37	20.41	7.28	15.22	74.06	18.56
CCDC41	0.0	0.39	78.34	113.56	155.5	579.04	208.38	305.55	116.78	63.0	152.28	169.07	226.54	343.89	348.71	125.24	140.04	208.38	226.54	155.5	120.1	142.01	195.72	98.73	176.29	197.09	77.79	145.02	346.29	68.07	346.29	158.79	114.36	218.79	90.77	223.41	164.42	114.36	285.03	114.36	400.71	150.17	105.89	77.79	303.44	255.0	232.94	409.15	325.29	371.22	120.94	72.01	161.02	295.11	327.56	246.28	162.14	173.85	176.29	90.14	133.36	65.26	147.06	87.65
CCDC61	0.0	0.27	289.02	303.44	183.82	647.07	130.6	327.56	267.73	114.36	297.17	341.51	490.14	287.01	353.59	497.0	59.97	133.36	297.17	273.37	144.01	409.15	476.71	204.07	376.41	39.79	148.09	323.03	180.02	127.0	253.23	493.56	224.97	279.14	232.94	287.01	318.57	368.65	463.65	90.77	708.18	139.07	260.38	279.14	279.14	339.14	358.54	232.94	297.17	228.13	379.04	253.23	170.25	460.44	379.04	363.56	199.85	314.17	258.57	241.19	249.73	55.1	182.55	60.39
CDNF	0.0	0.0	17.0	29.27	93.35	202.66	51.35	54.33	50.27	12.93	50.98	149.12	65.26	59.97	96.01	94.01	36.27	24.46	56.28	24.28	12.27	32.82	71.0	23.08	75.11	25.17	75.64	102.97	39.5	31.0	92.05	132.44	52.45	46.5	32.82	84.63	62.56	81.14	113.56	37.05	167.9	29.48	25.54	81.14	82.29	36.53	52.45	98.73	85.82	146.03	68.55	17.51	12.36	159.9	48.87	108.9	32.13	26.1	83.45	18.03	43.32	36.53	50.27	13.03
CEP164	183.82	684.02	384.34	376.41	341.51	836.53	224.97	395.18	103.69	197.09	236.21	551.56	587.13	563.18	616.37	409.15	123.5	231.32	540.19	358.54	144.01	381.68	503.95	190.34	521.76	220.32	376.41	426.57	223.41	149.12	536.45	299.25	256.78	373.81	251.48	316.37	301.33	358.54	629.35	215.77	679.29	142.01	329.84	307.69	387.02	334.46	325.29	381.68	518.15	397.93	269.6	205.5	258.57	674.59	647.07	379.04	195.72	198.47	312.0	295.11	239.52	57.08	189.02	172.65
CEP290	0.0	0.37	176.29	90.77	71.5	251.48	88.26	205.5	74.58	68.55	105.15	148.09	111.21	214.27	150.17	84.04	53.57	91.41	161.02	89.51	45.21	98.73	172.65	72.01	197.09	52.82	75.64	77.25	187.71	52.45	173.85	165.57	116.78	177.53	58.3	96.01	190.34	116.78	202.66	55.1	273.37	64.8	98.73	115.16	205.5	112.77	147.06	198.47	185.11	180.02	76.71	66.65	204.07	255.0	287.01	155.5	85.22	86.43	94.67	87.03	69.52	27.25	97.36	57.08
CEP89	0.0	0.39	187.71	303.44	256.78	651.58	112.77	356.05	161.02	60.82	320.8	307.69	387.02	423.61	358.54	316.37	82.87	164.42	231.32	379.04	173.85	314.17	336.79	271.48	323.03	116.78	108.9	285.03	351.14	81.71	281.09	285.03	202.66	316.37	279.14	379.04	376.41	281.09	429.54	253.23	620.67	169.07	271.48	228.13	358.54	414.87	253.23	255.0	289.02	397.93	273.37	299.25	170.25	371.22	441.64	417.77	389.72	389.72	217.27	279.14	256.78	136.19	242.88	64.8
CES4A	0.0	0.73	154.42	108.14	289.02	2573.36	525.39	353.59	332.14	98.04	309.83	941.27	1794.29	579.04	1143.1	318.57	47.84	75.11	579.04	212.78	49.56	267.73	248.0	172.65	591.22	61.25	106.63	209.84	205.5	142.01	312.0	669.92	366.09	511.0	127.89	211.31	323.03	133.36	1378.57	28.65	2335.28	86.43	161.02	384.34	1313.23	409.15	267.73	1359.57	1313.23	2047.0	165.57	135.24	21.63	1001.93	866.07	723.08	175.07	111.99	587.13	105.15	60.39	35.76	212.78	76.17
CRIP3	0.0	0.44	16.63	6.36	0.22	104.42	6.94	54.72	10.79	0.0	22.92	25.72	37.59	39.79	37.32	68.07	4.06	1.99	0.33	26.47	1.62	8.32	43.02	3.63	81.14	1.14	1.71	4.74	9.06	3.32	26.47	24.46	8.45	9.93	5.36	24.99	21.16	51.35	42.71	0.59	150.17	1.22	76.17	14.45	28.86	38.12	7.46	2.36	17.38	34.26	53.57	9.13	0.0	20.56	30.56	33.06	1.62	9.27	15.0	19.53	8.38	0.41	4.1	1.39
CROCC	0.0	0.74	387.02	299.25	518.15	2915.45	384.34	802.41	190.34	147.06	483.38	738.29	1159.07	825.0	587.13	336.79	171.45	123.5	518.15	454.09	53.95	381.68	591.22	202.66	1159.07	206.94	301.33	575.03	175.07	54.33	629.35	599.49	244.57	299.25	119.26	320.8	629.35	426.57	1268.46	67.12	2537.92	96.01	323.03	579.04	1883.54	503.95	547.75	775.05	1242.34	669.92	518.15	187.71	237.86	854.13	1651.0	848.22	214.27	283.05	684.02	224.97	265.87	66.18	137.14	122.64
CSPP1	176.29	111.21	173.85	164.42	194.36	791.35	457.25	260.38	161.02	88.88	285.03	334.46	285.03	205.5	246.28	297.17	295.11	256.78	279.14	197.09	96.01	193.01	490.14	176.29	285.03	309.83	170.25	197.09	273.37	72.01	265.87	299.25	191.67	221.86	159.9	316.37	379.04	303.44	466.88	232.94	525.39	130.6	171.45	232.94	426.57	215.77	218.79	384.34	316.37	567.1	297.17	150.17	97.36	381.68	341.51	460.44	169.07	215.77	258.57	178.77	130.6	206.94	195.72	128.79
CTC-360G5.1	0.0	0.34	1.36	4.86	3.53	21.94	0.0	19.97	10.71	0.99	15.34	5.59	20.11	8.85	3.89	2.84	1.07	2.2	3.66	4.66	1.5	5.28	13.42	7.34	8.51	7.06	6.62	14.89	6.36	3.17	10.55	32.82	2.58	0.26	2.16	7.57	15.68	5.41	25.54	7.82	25.54	4.66	6.57	29.7	4.58	6.41	2.86	4.78	3.06	12.09	6.94	5.77	1.04	7.75	3.92	8.13	6.11	4.66	25.72	3.41	8.99	3.56	8.85	0.0
DALRD3	0.0	0.15	884.29	928.3	915.51	2319.15	518.15	1167.14	961.07	351.14	1023.0	1015.93	1407.55	825.0	1331.57	1369.04	221.86	698.41	1081.39	1008.9	414.87	830.75	1051.79	902.89	1313.23	281.09	540.19	819.3	791.35	291.04	961.07	1167.14	693.58	947.83	878.17	1175.27	1191.69	791.35	1697.45	551.56	2047.0	543.96	780.44	1111.82	902.89	1199.98	1104.13	1143.1	1023.0	1639.59	1081.39	764.36	316.37	941.27	1119.56	1111.82	860.08	830.75	1023.0	703.28	493.56	307.69	547.75	346.29
DGCR6	0.0	0.36	423.61	327.56	253.23	1104.13	392.44	389.72	1331.57	201.25	490.14	466.88	1242.34	229.72	253.23	825.0	120.94	198.47	102.25	316.37	124.37	1151.06	555.41	384.34	1857.6	114.36	563.18	660.68	293.07	318.57	633.73	1304.15	981.29	500.46	356.05	371.22	921.88	476.71	1896.65	80.57	995.0	656.11	583.07	860.08	1111.82	493.56	995.0	376.41	486.75	921.88	334.46	813.63	37.32	607.87	624.99	878.17	277.2	173.85	1685.71	94.01	116.78	46.18	521.76	256.78
DGCR6L	0.0	0.51	1044.52	1073.91	1023.0	2133.97	241.19	1417.35	2133.97	651.58	1295.13	642.59	1896.65	1519.15	1594.73	1909.85	320.8	575.03	603.67	1183.45	583.07	1583.71	1561.89	1250.98	1529.73	395.18	1135.2	1259.69	974.5	624.99	819.3	1540.37	791.35	1225.22	954.43	1540.37	1594.73	1437.15	1806.78	490.14	2816.11	1242.34	1167.14	1963.57	1397.83	1561.89	1819.35	941.27	1001.93	1551.09	1369.04	1295.13	303.44	1268.46	1844.76	1199.98	1051.79	1191.69	1286.18	872.1	830.75	318.57	854.13	249.73
DHRS4-AS1	0.0	0.22	74.58	83.45	214.27	688.78	17.38	142.01	262.2	78.34	176.29	170.25	264.03	183.82	138.1	130.6	22.75	85.22	91.41	98.04	63.45	171.45	221.86	102.25	264.03	23.93	78.34	195.72	195.72	35.5	176.29	74.06	187.71	201.25	119.26	208.38	46.18	140.04	146.03	55.89	435.55	82.87	47.5	72.52	159.9	178.77	96.68	149.12	135.24	208.38	195.72	221.86	39.79	131.51	239.52	256.78	109.66	86.43	208.38	70.51	80.01	27.25	140.04	16.15
DPY19L2	0.0	0.59	39.79	25.35	7.51	325.29	103.69	53.19	61.68	2.84	29.7	45.53	50.98	33.06	389.72	110.43	23.42	16.27	45.53	59.97	2.84	61.68	165.57	12.09	72.01	17.77	10.79	27.84	47.17	10.16	74.06	123.5	59.55	167.9	10.79	53.57	39.79	32.59	260.38	5.63	241.19	3.14	13.62	34.26	187.71	37.05	17.51	69.03	193.01	189.02	55.49	13.12	6.57	134.3	171.45	137.14	47.17	37.32	108.14	20.56	10.31	18.16	21.94	22.1
DUSP19	0.0	0.0	66.18	15.0	17.25	100.83	16.03	42.41	44.25	4.78	69.52	43.02	59.55	44.89	40.36	78.34	8.92	11.82	24.11	45.21	15.11	31.45	76.71	28.04	52.08	14.35	21.94	52.08	40.07	14.78	38.4	43.63	32.36	60.39	31.0	63.0	57.08	36.27	67.59	7.69	133.36	14.03	50.63	33.06	63.45	55.49	33.3	53.95	31.0	85.82	36.53	37.59	5.87	66.65	79.45	81.14	51.35	50.27	22.75	38.12	16.75	8.51	23.76	2.76
DYRK1B	0.0	0.1	293.07	239.52	412.0	1199.98	118.43	327.56	514.56	98.73	647.07	521.76	1044.52	713.11	339.14	866.07	147.06	141.02	234.57	486.75	103.69	483.38	563.18	332.14	1008.9	114.36	164.42	540.19	327.56	157.68	320.8	620.67	260.38	339.14	291.04	718.08	708.18	325.29	718.08	242.88	1081.39	301.33	441.64	438.59	392.44	423.61	346.29	265.87	267.73	529.06	642.59	438.59	77.79	497.0	497.0	718.08	229.72	323.03	651.58	361.04	158.79	209.84	426.57	141.02
DZANK1	0.0	0.22	92.05	87.03	104.42	435.55	124.37	155.5	96.68	15.22	99.43	220.32	167.9	118.43	232.94	157.68	20.71	66.65	151.22	185.11	20.41	80.01	166.73	57.49	177.53	47.84	46.84	70.51	80.01	19.53	176.29	139.07	97.36	175.07	38.67	166.73	149.12	117.6	303.44	60.82	476.71	38.4	75.64	76.17	204.07	119.26	129.69	180.02	265.87	271.48	81.71	71.0	22.1	267.73	202.66	248.0	77.25	84.04	119.26	80.57	48.87	10.96	39.22	17.77
EFCAB11	0.0	0.0	120.94	35.0	214.27	435.55	73.54	131.51	98.73	18.43	228.13	96.01	191.67	273.37	163.28	164.42	52.45	86.43	84.04	96.68	59.55	90.14	224.97	110.43	195.72	62.56	105.89	175.07	185.11	49.91	130.6	217.27	111.99	71.0	96.68	178.77	113.56	126.12	251.48	29.06	314.17	85.22	73.03	80.01	267.73	262.2	206.94	381.68	156.59	258.57	131.51	80.57	21.16	197.09	205.5	332.14	271.48	193.01	111.99	77.79	90.77	26.28	131.51	47.84
EFCAB6	0.0	0.0	70.01	64.8	99.43	503.95	100.83	105.89	50.63	6.36	130.6	176.29	181.28	104.42	100.13	117.6	21.01	63.45	125.24	95.34	16.75	72.01	115.16	60.82	147.06	39.5	25.91	74.06	77.79	27.25	131.51	109.66	78.34	146.03	69.03	163.28	169.07	58.71	325.29	40.07	429.54	29.7	72.01	123.5	178.77	122.64	144.01	189.02	211.31	251.48	48.52	51.35	9.34	214.27	277.2	177.53	59.55	60.82	100.83	56.68	19.39	8.65	27.05	24.63
ENKD1	0.0	0.65	486.75	698.41	1225.22	3928.15	642.59	921.88	656.11	297.17	500.46	1639.59	2520.38	934.76	1745.2	1127.35	163.28	395.18	974.5	909.17	149.12	769.69	1225.22	285.03	1167.14	215.77	379.04	902.89	226.54	299.25	1127.35	961.07	536.45	769.69	387.02	674.59	1081.39	791.35	1963.57	265.87	3395.89	336.79	480.04	921.88	638.15	785.88	698.41	890.44	1059.11	1407.55	698.41	414.87	414.87	1183.45	1397.83	1175.27	665.29	575.03	808.0	567.1	429.54	205.5	251.48	191.67
ENPP3	0.0	0.16	9.85	6.94	201.25	470.14	32.36	98.04	27.44	1.03	26.67	61.25	62.12	181.28	20.41	49.21	39.5	3.92	4.21	12.18	4.82	28.45	146.03	5.5	206.94	3.06	3.99	63.89	52.82	6.21	251.48	133.36	3.38	4.54	2.86	84.04	15.91	9.2	204.07	43.63	460.44	22.43	27.25	12.18	256.78	12.36	99.43	120.1	142.01	366.09	26.86	5.63	0.87	88.88	38.95	172.65	26.86	5.02	84.63	12.93	1.43	81.71	31.67	8.13
EPPIN	0.0	0.0	10.47	22.59	63.89	197.09	19.68	42.11	27.64	0.0	32.13	88.26	54.33	20.26	50.63	18.56	10.63	8.78	18.7	21.63	10.55	49.21	49.91	9.93	38.67	3.82	9.27	24.11	47.5	3.59	45.21	64.8	53.19	39.22	5.06	44.57	50.27	32.59	155.5	8.78	121.79	9.13	10.79	26.47	75.11	42.11	22.1	84.04	64.34	102.25	31.45	10.39	3.23	73.54	41.81	143.01	18.29	9.56	57.49	0.0	5.28	29.06	7.28	7.57
ESPN	0.0	0.0	149.12	171.45	457.25	1295.13	361.04	507.46	146.03	18.03	153.34	441.64	500.46	121.79	684.02	229.72	52.08	135.24	529.06	202.66	16.75	171.45	432.53	159.9	486.75	27.05	63.45	198.47	186.4	23.93	429.54	363.56	221.86	223.41	113.56	215.77	197.09	193.01	1001.93	42.41	1143.1	62.12	66.18	220.32	493.56	289.02	224.97	860.08	769.69	579.04	220.32	84.04	22.43	802.41	872.1	713.11	212.78	131.51	346.29	125.24	71.0	13.32	54.33	84.04
ESRRG	0.0	0.0	33.06	4.58	59.13	105.15	45.85	28.45	27.05	0.51	18.56	23.08	107.38	42.41	94.01	4.39	1.83	9.34	16.39	25.17	25.91	14.56	27.44	8.32	29.27	14.89	27.25	52.45	34.51	2.73	43.63	35.76	23.25	35.0	3.86	55.1	15.34	21.01	50.27	1.62	119.26	2.94	10.39	12.0	85.82	34.26	43.02	149.12	81.71	74.58	6.67	10.79	0.48	36.27	52.45	81.14	31.45	7.4	28.65	4.43	4.39	4.62	17.25	4.74
FAM161A	0.0	0.09	56.28	29.7	53.57	181.28	40.93	48.87	57.49	7.82	63.45	76.71	92.7	65.26	71.5	84.63	19.82	25.54	18.56	54.72	7.34	53.95	97.36	35.76	111.99	23.08	53.57	63.45	70.51	15.68	53.19	104.42	33.78	57.89	23.08	85.82	69.03	71.5	131.51	35.5	147.06	23.93	51.35	81.14	98.73	67.59	48.87	136.19	47.5	181.28	60.82	32.13	10.31	64.8	55.89	138.1	36.27	39.22	68.07	42.71	14.45	16.51	33.06	14.45
FAM179B	0.0	0.25	242.88	104.42	150.17	473.41	137.14	195.72	224.97	73.54	141.02	208.38	248.0	260.38	199.85	206.94	39.5	105.15	185.11	206.94	103.69	121.79	260.38	138.1	332.14	180.02	115.16	220.32	226.54	95.34	145.02	234.57	154.42	236.21	111.21	277.2	194.36	158.79	236.21	147.06	361.04	120.1	223.41	191.67	229.72	231.32	157.68	177.53	96.01	361.04	194.36	134.3	55.1	226.54	255.0	229.72	102.25	201.25	190.34	85.82	128.79	67.59	139.07	117.6
FAM184A	0.0	0.28	164.42	279.14	941.27	825.0	94.01	559.28	796.86	186.4	1037.29	305.55	688.78	536.45	529.06	406.31	118.43	373.81	208.38	223.41	158.79	547.75	529.06	320.8	307.69	193.01	40.36	130.6	723.08	140.04	669.92	1519.15	629.35	246.28	93.35	555.41	1167.14	111.99	1044.52	59.13	1340.84	189.02	463.65	1628.26	414.87	226.54	532.74	1457.23	629.35	961.07	1081.39	132.44	23.42	309.83	500.46	447.82	173.85	110.43	1407.55	129.69	20.71	289.02	974.5	140.04
FMN2	0.0	0.0	19.68	24.46	39.22	83.45	9.13	35.25	99.43	2.68	42.11	5.45	68.55	39.79	43.02	49.21	3.41	40.93	8.92	18.03	0.2	141.02	17.13	29.06	30.34	1.66	18.7	24.46	26.67	0.27	50.98	54.33	8.25	25.17	18.97	56.28	44.89	22.43	116.78	11.91	71.0	2.51	13.72	18.56	32.59	59.13	57.89	161.02	10.39	82.29	16.51	21.63	3.59	67.12	58.71	144.01	37.85	63.45	34.02	17.9	0.2	8.85	13.83	5.68
FUZ	287.01	275.28	738.29	503.95	693.58	2502.97	327.56	684.02	813.63	154.42	802.41	1066.48	1135.2	647.07	915.51	1183.45	73.03	287.01	547.75	909.17	205.5	759.08	830.75	511.0	1051.79	177.53	400.71	518.15	603.67	154.42	769.69	1119.56	769.69	928.3	476.71	764.36	796.86	842.36	1963.57	118.43	2061.24	202.66	493.56	981.29	909.17	791.35	836.53	1008.9	896.64	1322.37	819.3	633.73	75.11	1073.91	1331.57	1044.52	551.56	500.46	878.17	341.51	205.5	97.36	447.82	224.97
GAS2L2	0.0	0.0	166.73	173.85	239.52	1088.92	281.09	325.29	132.44	4.94	191.67	348.71	483.38	191.67	379.04	283.05	8.99	145.02	403.5	253.23	4.74	139.07	279.14	153.34	389.72	48.87	51.71	136.19	141.02	0.0	258.57	273.37	218.79	277.2	92.05	295.11	244.57	149.12	748.61	72.01	878.17	44.89	127.89	180.02	518.15	373.81	262.2	423.61	543.96	543.96	165.57	118.43	5.36	466.88	341.51	463.65	178.77	139.07	182.55	148.09	34.26	7.94	39.22	49.56
GDF9	0.0	0.09	8.99	10.31	8.58	28.86	2.58	4.17	19.11	2.84	10.0	13.52	22.75	12.09	15.34	13.72	3.0	1.43	10.16	19.39	5.15	7.17	12.93	15.0	19.68	5.63	6.21	8.45	8.13	1.28	9.93	29.91	4.28	9.41	4.58	4.24	8.06	6.26	30.34	1.6	35.0	1.33	7.4	13.72	20.86	9.27	6.62	11.47	5.73	24.63	5.36	4.17	5.19	11.38	20.26	12.0	5.11	2.84	13.52	3.5	1.31	2.78	5.63	0.29
GPR111	0.0	0.04	4.03	2.53	4.7	48.87	2.63	1.27	0.35	0.0	4.82	11.47	7.28	0.79	8.19	3.66	0.39	1.43	2.41	4.66	0.0	5.02	11.91	0.87	10.63	1.45	0.88	5.59	10.0	0.99	24.28	17.9	18.97	8.38	0.36	5.96	5.23	16.15	41.52	0.34	35.5	1.87	2.03	3.47	18.7	5.59	4.86	8.71	5.32	10.08	2.71	0.83	0.0	14.35	20.11	24.99	3.2	1.81	2.78	0.34	0.0	0.36	0.38	0.0
GRIK2	0.0	0.18	4.43	2.94	9.56	60.82	22.59	0.52	12.45	0.0	14.56	8.19	24.11	6.94	34.51	2.78	3.32	2.03	7.0	5.87	3.89	7.22	36.79	2.01	50.27	11.47	19.39	19.97	3.03	0.01	3.35	18.29	1.69	4.9	0.27	4.78	1.95	2.63	29.91	4.54	57.08	2.81	3.76	10.16	16.03	11.47	5.23	9.7	31.67	29.06	3.86	1.0	0.0	8.13	1.36	44.25	4.17	2.66	3.99	7.17	0.0	1.03	0.68	15.0
HHAT	0.0	0.18	65.26	71.0	135.24	438.59	81.14	231.32	67.12	34.51	191.67	98.04	211.31	161.02	258.57	138.1	37.05	40.64	68.55	134.3	33.78	98.73	194.36	111.99	291.04	85.22	57.49	71.0	120.1	64.8	249.73	173.85	100.83	104.42	77.79	173.85	132.44	101.54	267.73	26.67	287.01	21.94	71.5	105.89	275.28	156.59	164.42	406.31	249.73	215.77	105.89	77.79	14.89	271.48	158.79	289.02	60.82	28.65	120.1	25.72	24.28	29.7	100.13	20.71
HHATL	0.0	0.0	38.95	69.52	17.9	738.29	25.54	221.86	22.43	0.0	47.5	283.05	137.14	39.79	141.02	97.36	0.0	31.22	93.35	88.88	1.64	38.4	109.66	51.35	74.58	3.89	7.06	47.17	35.0	2.39	76.71	117.6	17.38	47.84	18.7	78.34	88.26	8.13	291.04	28.45	698.41	6.21	63.0	54.33	236.21	126.12	86.43	63.0	291.04	195.72	31.0	17.38	0.72	218.79	119.26	119.26	66.18	35.5	81.14	44.57	10.71	6.31	8.13	1.25
HMGN3	0.0	0.57	5041.77	2434.5	5041.77	11664.82	2502.97	5995.9	4010.71	802.41	4836.35	2976.74	5255.91	4181.07	4639.29	4123.49	624.99	2018.8	2004.85	3168.41	1167.14	3589.58	4239.45	2224.63	5872.48	1233.75	1651.0	4239.45	3742.05	1378.57	4123.49	7589.61	4010.71	3190.46	2119.22	3928.15	6983.79	2682.69	11112.3	718.08	10084.54	2178.83	1909.85	4358.66	6426.31	4268.94	3955.48	7695.57	4298.64	8363.13	5329.3	3235.01	341.51	3124.78	7642.41	8022.41	2956.17	2701.35	6516.03	1233.75	764.36	629.35	2816.11	551.56
HS3ST6	0.0	0.0	21.32	26.28	208.38	1674.06	39.79	75.64	228.13	0.0	153.34	149.12	490.14	96.01	251.48	140.04	0.0	46.5	172.65	262.2	0.0	71.5	226.54	185.11	353.59	7.4	3.53	175.07	63.45	7.4	169.07	303.44	214.27	43.63	20.71	139.07	329.84	31.22	738.29	3.86	1127.35	19.53	41.81	36.27	902.89	84.63	185.11	551.56	353.59	616.37	113.56	60.82	1.66	194.36	638.15	420.68	33.78	68.07	249.73	21.16	4.98	0.0	3.53	9.27
IFT122	0.0	0.77	299.25	346.29	460.44	1259.69	447.82	334.46	353.59	356.05	414.87	928.3	878.17	348.71	651.58	447.82	283.05	231.32	503.95	285.03	119.26	414.87	403.5	312.0	503.95	318.57	363.56	432.53	256.78	307.69	854.13	665.29	343.89	305.55	241.19	361.04	540.19	819.3	1143.1	265.87	1096.5	473.41	511.0	693.58	848.22	587.13	363.56	620.67	518.15	780.44	392.44	307.69	255.0	848.22	813.63	743.43	412.0	351.14	603.67	325.29	387.02	106.63	366.09	297.17
IFT46	0.0	0.07	503.95	547.75	718.08	1781.89	688.78	769.69	748.61	130.6	733.19	1081.39	1191.69	759.08	1073.91	1030.12	127.0	575.03	947.83	738.29	366.09	587.13	1059.11	633.73	830.75	204.07	409.15	688.78	780.44	145.02	753.83	825.0	473.41	1127.35	571.05	1066.48	872.1	599.49	1331.57	529.06	1769.57	356.05	579.04	563.18	884.29	1066.48	854.13	1322.37	941.27	1378.57	723.08	591.22	307.69	1001.93	1268.46	1225.22	591.22	723.08	684.02	612.11	426.57	145.02	480.04	242.88
IFT52	0.0	0.39	406.31	480.04	651.58	1697.45	483.38	738.29	860.08	144.01	486.75	878.17	1023.0	941.27	848.22	890.44	384.34	540.19	518.15	423.61	336.79	536.45	1268.46	559.28	1001.93	599.49	961.07	1151.06	759.08	297.17	684.02	743.43	397.93	988.12	438.59	1104.13	915.51	988.12	1159.07	674.59	1378.57	674.59	802.41	665.29	1322.37	1135.2	728.11	1001.93	796.86	1286.18	616.37	567.1	314.17	915.51	866.07	1378.57	848.22	612.11	660.68	441.64	466.88	258.57	414.87	187.71
IFT74	0.0	0.21	127.0	133.36	309.83	698.41	151.22	320.8	199.85	60.82	241.19	323.03	366.09	414.87	387.02	293.07	44.25	162.14	221.86	287.01	85.22	239.52	406.31	180.02	323.03	180.02	108.9	358.54	387.02	172.65	189.02	325.29	229.72	406.31	177.53	429.54	318.57	185.11	463.65	182.55	759.08	181.28	197.09	167.9	353.59	332.14	397.93	575.03	409.15	518.15	175.07	171.45	58.71	275.28	500.46	470.14	260.38	299.25	241.19	171.45	154.42	22.75	242.88	48.87
IFT80	0.0	0.16	251.48	303.44	341.51	1151.06	358.54	483.38	400.71	135.24	791.35	470.14	780.44	836.53	543.96	470.14	149.12	299.25	249.73	665.29	256.78	514.56	507.46	348.71	915.51	265.87	211.31	389.72	612.11	248.0	356.05	884.29	480.04	500.46	269.6	587.13	642.59	441.64	1066.48	190.34	928.3	239.52	543.96	493.56	866.07	688.78	591.22	718.08	432.53	836.53	633.73	392.44	71.0	559.28	624.99	723.08	353.59	420.68	647.07	206.94	155.5	113.56	476.71	144.01
INPP5E	0.0	0.66	231.32	141.02	212.78	518.15	144.01	303.44	150.17	107.38	246.28	295.11	406.31	341.51	325.29	291.04	108.9	81.71	265.87	251.48	80.57	218.79	195.72	127.0	341.51	82.87	150.17	195.72	135.24	84.04	312.0	204.07	189.02	269.6	104.42	162.14	202.66	224.97	341.51	102.97	470.14	116.78	190.34	159.9	172.65	244.57	189.02	214.27	400.71	289.02	220.32	124.37	142.01	271.48	384.34	211.31	100.13	150.17	224.97	215.77	165.57	121.79	113.56	50.98
IQCK	0.0	0.22	381.68	395.18	463.65	2271.4	612.11	525.39	423.61	98.73	435.55	1066.48	1023.0	642.59	703.28	684.02	267.73	486.75	511.0	497.0	110.43	244.57	693.58	381.68	633.73	305.55	387.02	603.67	679.29	105.15	743.43	651.58	327.56	384.34	242.88	698.41	759.08	334.46	1359.57	320.8	2018.8	271.48	346.29	334.46	921.88	660.68	591.22	1639.59	860.08	1322.37	423.61	409.15	120.94	872.1	1023.0	934.76	633.73	423.61	480.04	318.57	271.48	124.37	281.09	177.53
