	TCGA.A7.A426.01A.22R.A24H.07	TCGA.B6.A0X5.01A.21R.A109.07	TCGA.BH.A1EO.11A.31R.A137.07	TCGA.BH.A204.11A.53R.A157.07	TCGA.A7.A0CH.11A.32R.A089.07	TCGA.BH.A1FC.11A.32R.A13Q.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.BH.A18S.11A.43R.A12D.07	TCGA.A7.A0D9.11A.53R.A089.07	TCGA.BH.A0DD.11A.23R.A12P.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.A7.A0DC.11A.41R.A089.07.1	TCGA.E2.A15I.11A.32R.A137.07	TCGA.E9.A1RD.11A.33R.A157.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.BH.A0B8.11A.41R.A089.07	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11I78.2226.SM.5PNYA	GTEX.WRHU.0326.SM.3MJFY	GTEX.Y3IK.2326.SM.4WWDT	GTEX.ZV6S.1826.SM.5NQ8D	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.145ME.1526.SM.5Q5F2	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.13OVG.1426.SM.5K7VP	TCGA.44.6147.01A.11R.1755.07	TCGA.93.A4JP.01A.11R.A24X.07	TCGA.49.AARR.01A.11R.A41B.07	GTEX.X5EB.0426.SM.46MVY	GTEX.XMD2.1026.SM.4WWE8	GTEX.ZE7O.0826.SM.57WCP	TCGA.98.A53H.01A.12R.A262.07	TCGA.56.8628.01A.11R.2403.07
HIST1H2BO	110.43	29.48	2.51	2.1	0.0	0.0	1.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.39	0.0	1.6	0.0	0.0	1.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.41	4.31	14.56	3.89	6.52	19.97	4.39	11.21	16.27
HIST2H2BE	1685.71	1487.87	96.01	248.0	486.75	269.6	236.21	142.01	117.6	172.65	264.03	121.79	146.03	153.34	246.28	68.55	149.12	463.65	201.25	226.54	159.9	136.19	198.47	62.56	146.03	1508.65	395.18	107.38	81.71	94.01	56.28	70.51	181.28	281.09	567.1	511.0	728.11	470.14	1923.14	988.12	490.14	295.11
HMG20B	3955.48	2777.33	1259.69	718.08	1923.14	1407.55	785.88	514.56	435.55	819.3	1561.89	974.5	995.0	941.27	1096.5	947.83	1001.93	1242.34	708.18	1037.29	607.87	896.64	1030.12	651.58	1844.76	1259.69	1540.37	825.0	536.45	563.18	444.72	1340.84	1721.16	1617.0	1447.15	1617.0	1685.71	2224.63	1437.15	1936.53	1769.57	2090.03
HNRNPM	4512.4	4450.27	2739.08	2645.74	3303.0	2915.45	2255.7	1806.78	1909.85	2591.27	3303.0	3124.78	2018.8	2664.15	2520.38	2816.11	2434.5	3303.0	1870.53	2485.67	1745.2	2777.33	2537.92	1923.14	2573.36	3874.05	3716.2	2271.4	2573.36	1709.26	2351.53	2796.65	3955.48	3257.52	3794.3	3124.78	3419.52	2351.53	4358.66	2835.7	3820.7	3820.7
HSH2D	152.28	620.67	18.03	21.63	82.87	57.49	7.63	11.3	11.13	11.13	75.11	28.04	17.0	17.38	9.27	16.63	20.71	51.35	24.46	61.25	10.24	10.47	39.22	2.07	7.46	140.04	79.45	8.0	11.38	1.38	10.88	26.1	13.42	142.01	684.02	426.57	397.93	224.97	529.06	493.56	463.65	283.05
IDUA	1369.04	454.09	204.07	157.68	329.84	241.19	87.03	88.26	115.16	180.02	271.48	138.1	199.85	139.07	187.71	175.07	147.06	158.79	159.9	169.07	137.14	198.47	153.34	107.38	299.25	279.14	353.59	134.3	198.47	78.89	64.8	147.06	226.54	255.0	303.44	460.44	579.04	743.43	503.95	738.29	470.14	490.14
ITPKA	28.86	275.28	3.0	4.74	10.79	4.28	0.51	0.89	0.88	0.88	1.53	4.46	2.05	4.86	1.3	5.59	2.12	8.85	1.41	3.99	0.51	0.0	11.04	0.0	16.39	2.12	9.7	1.99	2.03	1.19	0.44	16.27	0.17	198.47	27.64	14.78	32.59	36.79	172.65	6.16	29.7	102.25
KCNT1	4.74	21.32	2.07	4.21	2.12	4.24	1.04	0.99	3.5	2.25	3.59	0.97	2.66	2.43	1.85	6.78	1.43	5.45	1.55	2.63	1.95	5.73	3.66	3.5	1.93	6.46	5.36	4.9	0.0	2.63	1.3	5.45	4.94	11.47	4.82	5.06	19.25	7.11	10.55	2.97	7.94	3.72
KIF9	543.96	551.56	287.01	234.57	334.46	441.64	132.44	164.42	144.01	94.01	379.04	111.99	175.07	181.28	189.02	126.12	119.26	341.51	181.28	198.47	99.43	133.36	139.07	273.37	96.68	429.54	514.56	194.36	99.43	119.26	111.21	161.02	205.5	271.48	599.49	307.69	1104.13	703.28	366.09	1551.09	647.07	146.03
KPNA7	12.18	12.55	0.0	0.83	1.79	1.35	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.0	4.03	0.0	0.0	0.0	0.39	0.0	0.0	8.45	2.36	0.93	0.0	0.0	0.0	0.0	0.0	0.96	3.17	51.35	43.32	37.32	63.0	15.45	33.06	32.59	5.23
LFNG	988.12	4543.8	928.3	426.57	656.11	813.63	307.69	339.14	366.09	470.14	490.14	603.67	674.59	595.34	511.0	536.45	376.41	785.88	371.22	698.41	583.07	579.04	1651.0	518.15	1199.98	1697.45	1143.1	708.18	32.36	967.76	146.03	429.54	241.19	603.67	1417.35	591.22	384.34	1417.35	860.08	759.08	470.14	454.09
LIG1	934.76	1359.57	115.16	147.06	366.09	312.0	80.01	73.03	61.25	75.11	457.25	114.36	134.3	125.24	246.28	88.26	111.99	351.14	111.21	205.5	131.51	100.83	343.89	134.3	312.0	353.59	435.55	173.85	122.64	113.56	130.6	195.72	301.33	334.46	591.22	633.73	616.37	688.78	470.14	830.75	684.02	665.29
LIPH	156.59	285.03	0.0	36.79	117.6	191.67	3.69	13.83	0.36	0.36	255.0	6.84	1.11	32.36	126.12	2.1	0.75	93.35	16.39	39.79	1.62	17.25	37.32	5.96	16.88	193.01	176.29	33.3	1.45	1.53	13.42	22.26	60.82	521.76	493.56	409.15	217.27	234.57	267.73	1199.98	209.84	825.0
LLGL2	2627.46	1498.22	85.22	112.77	718.08	669.92	43.32	46.84	57.08	41.52	713.11	72.01	119.26	143.01	320.8	108.14	73.03	291.04	134.3	215.77	90.77	111.21	305.55	114.36	371.22	384.34	486.75	148.09	76.71	111.21	101.54	186.4	447.82	2224.63	2224.63	2434.5	2303.12	2434.5	1096.5	4512.4	1594.73	1059.11
LRRC16A	297.17	532.74	195.72	191.67	228.13	277.2	69.03	77.79	162.14	97.36	267.73	111.21	124.37	154.42	180.02	194.36	94.67	218.79	121.79	154.42	111.99	78.34	108.9	100.13	199.85	291.04	236.21	206.94	166.73	80.57	698.41	191.67	135.24	896.64	536.45	555.41	279.14	466.88	403.5	551.56	327.56	348.71
LRRC45	759.08	392.44	118.43	63.89	234.57	124.37	76.17	39.79	46.5	86.43	150.17	105.89	125.24	105.15	108.9	126.12	118.43	151.22	82.29	125.24	73.54	105.15	150.17	69.03	323.03	162.14	162.14	95.34	59.55	50.63	48.87	75.11	132.44	221.86	381.68	679.29	708.18	551.56	180.02	775.05	493.56	264.03
MAD2L2	1059.11	2664.15	836.53	486.75	679.29	764.36	381.68	361.04	358.54	336.79	836.53	332.14	450.94	420.68	454.09	466.88	414.87	514.56	397.93	497.0	432.53	400.71	460.44	314.17	547.75	346.29	579.04	490.14	848.22	164.42	312.0	961.07	988.12	547.75	808.0	785.88	713.11	363.56	1936.53	334.46	967.76	1388.16
MRI1	780.44	476.71	175.07	279.14	244.57	483.38	220.32	236.21	242.88	170.25	406.31	241.19	295.11	253.23	209.84	287.01	281.09	309.83	368.65	379.04	232.94	269.6	514.56	201.25	466.88	373.81	450.94	351.14	145.02	327.56	118.43	291.04	547.75	389.72	414.87	381.68	713.11	674.59	551.56	543.96	656.11	493.56
MSLNL	1.62	5.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	1.3	0.8	0.0	0.0	0.0	0.0	0.0	1.81	0.0	0.0	5.92	6.31	5.28	3.69	2.66	2.89	0.91
N4BP3	159.9	217.27	22.75	21.16	63.89	87.65	14.56	21.47	16.27	6.26	111.99	10.71	28.45	22.1	47.84	29.06	36.53	46.5	19.11	40.36	19.68	21.47	78.34	16.51	36.79	37.32	71.0	10.79	7.17	15.56	6.73	20.26	173.85	16.51	62.56	162.14	63.0	228.13	127.89	96.01	55.89	63.0
NAAA	409.15	1295.13	819.3	595.34	967.76	954.43	389.72	579.04	587.13	307.69	392.44	483.38	392.44	438.59	563.18	490.14	503.95	656.11	426.57	567.1	353.59	318.57	493.56	392.44	698.41	934.76	1066.48	409.15	120.94	231.32	285.03	1008.9	493.56	1331.57	629.35	486.75	591.22	1757.34	1397.83	629.35	583.07	543.96
NADSYN1	1477.58	2047.0	486.75	525.39	780.44	612.11	420.68	438.59	571.05	483.38	872.1	567.1	647.07	490.14	551.56	660.68	503.95	723.08	511.0	633.73	583.07	543.96	612.11	414.87	748.61	830.75	435.55	718.08	423.61	305.55	303.44	414.87	500.46	1096.5	941.27	1175.27	1487.87	1832.01	1757.34	1447.15	1378.57	1572.76
NDOR1	336.79	172.65	70.01	84.04	134.3	150.17	64.8	53.57	61.68	58.71	141.02	65.26	92.7	98.04	103.69	83.45	73.54	111.21	67.12	65.72	77.79	74.06	91.41	69.03	127.89	87.65	110.43	76.71	76.71	70.01	50.27	113.56	121.79	166.73	214.27	201.25	211.31	518.15	201.25	172.65	260.38	211.31
NOD2	64.8	145.02	20.11	15.8	24.28	46.18	6.21	4.62	13.72	6.16	23.42	16.15	9.63	12.36	11.13	35.25	12.74	9.06	16.63	19.97	13.03	8.71	38.12	4.5	13.12	31.9	35.0	15.11	16.63	11.73	2.25	9.48	12.45	44.57	45.85	65.26	62.56	476.71	149.12	85.22	140.04	116.78
NOXA1	813.63	187.71	23.08	21.63	115.97	106.63	13.32	6.36	9.27	22.1	116.78	29.48	34.75	38.67	75.11	47.17	25.91	95.34	26.47	45.85	18.29	26.28	33.06	15.34	60.39	72.52	157.68	18.84	13.62	12.36	6.01	39.5	48.87	99.43	127.89	123.5	167.9	384.34	117.6	381.68	127.0	136.19
NPNT	1857.6	5366.37	172.65	279.14	703.28	764.36	115.16	153.34	143.01	127.89	802.41	97.36	277.2	178.77	409.15	255.0	218.79	1369.04	226.54	392.44	214.27	343.89	902.89	301.33	738.29	559.28	1216.75	339.14	9.93	63.0	43.94	256.78	872.1	2075.59	947.83	4066.71	878.17	3690.52	4181.07	7382.04	1167.14	1447.15
NPRL2	733.19	748.61	309.83	323.03	480.04	441.64	332.14	301.33	264.03	325.29	373.81	291.04	318.57	353.59	361.04	332.14	289.02	373.81	381.68	403.5	316.37	285.03	490.14	265.87	511.0	426.57	497.0	206.94	183.82	189.02	212.78	371.22	438.59	312.0	476.71	400.71	438.59	543.96	647.07	866.07	450.94	327.56
NRXN3	21.63	334.46	5.87	15.34	26.1	35.25	12.74	27.64	9.41	4.43	41.52	41.81	17.38	7.75	20.11	14.03	19.39	15.8	27.84	13.83	6.84	12.0	20.86	5.06	28.65	63.89	46.5	6.52	2.63	4.74	4.9	20.11	35.25	27.05	135.24	31.67	127.89	75.11	102.97	120.1	90.14	248.0
NT5M	202.66	232.94	46.5	50.63	108.9	84.63	52.82	64.34	34.75	101.54	80.01	34.26	46.18	55.49	72.01	34.75	56.68	67.59	44.57	57.08	47.5	50.63	152.28	102.25	178.77	104.42	161.02	25.17	103.69	32.82	144.01	117.6	60.39	25.35	37.85	175.07	42.41	55.49	177.53	177.53	46.84	105.15
OVOL1	209.84	194.36	0.95	11.73	72.01	92.7	2.32	1.79	0.0	0.0	127.89	2.89	2.48	9.2	118.43	0.0	1.06	64.34	2.81	16.63	0.72	9.34	31.45	5.41	34.51	67.59	84.04	6.78	3.26	0.0	4.28	5.87	28.65	106.63	41.81	37.59	22.92	14.24	8.78	23.76	67.59	57.89
PAK4	1781.89	1073.91	171.45	214.27	825.0	872.1	142.01	85.22	86.43	143.01	708.18	162.14	234.57	202.66	490.14	231.32	155.5	514.56	212.78	228.13	153.34	186.4	450.94	212.78	480.04	587.13	848.22	260.38	194.36	151.22	153.34	329.84	343.89	599.49	1023.0	1477.58	995.0	1529.73	2400.97	1369.04	1127.35	1397.83
PALM3	128.79	102.25	5.59	1.77	32.82	7.51	3.96	6.16	0.0	0.44	70.51	6.11	6.41	16.27	53.57	3.03	2.1	19.82	3.2	12.64	0.0	2.51	49.56	2.16	38.67	17.0	57.49	3.32	0.0	0.0	2.51	5.15	5.02	1.0	175.07	109.66	89.51	373.81	127.89	221.86	91.41	92.05
PCDHA5	4.28	19.82	0.39	2.51	4.35	5.41	1.71	0.42	1.58	1.97	0.74	0.82	0.41	1.73	4.74	1.46	4.35	3.38	2.2	1.55	1.28	1.22	9.2	0.54	2.63	3.2	10.0	0.0	2.46	1.08	0.92	0.77	2.58	1.36	1.93	4.82	2.68	1.45	22.75	2.1	2.29	2.16
PHLDB3	723.08	220.32	37.59	54.72	202.66	172.65	25.17	10.24	10.88	20.41	242.88	52.82	50.27	54.72	123.5	59.55	26.28	134.3	55.89	63.0	12.64	40.36	81.71	38.12	92.7	169.07	242.88	63.0	42.71	15.11	22.26	78.34	100.13	93.35	301.33	166.73	392.44	209.84	381.68	384.34	423.61	384.34
PIDD	688.78	256.78	49.21	87.03	139.07	121.79	98.73	44.57	59.55	82.87	176.29	78.34	126.12	101.54	151.22	92.05	111.99	108.9	97.36	86.43	92.05	88.26	127.89	76.71	198.47	226.54	148.09	84.04	81.71	83.45	77.79	81.71	106.63	183.82	251.48	473.41	435.55	476.71	265.87	454.09	457.25	373.81
PITPNM3	39.5	131.51	24.63	42.71	30.56	40.93	9.13	12.93	19.82	17.9	41.52	15.56	49.56	29.27	27.64	25.54	11.82	61.25	23.42	40.64	18.03	34.75	16.88	36.79	27.44	50.98	85.82	57.89	12.18	29.7	10.24	10.79	11.91	49.56	120.94	90.14	148.09	170.25	151.22	111.21	88.88	74.58
PLA2G4F	46.5	220.32	0.77	5.11	24.46	40.36	0.46	1.25	0.0	0.0	44.25	2.03	0.83	3.5	12.18	0.0	0.0	16.03	5.82	9.78	0.0	0.0	18.16	0.0	13.22	29.48	51.71	1.41	1.43	1.99	1.2	0.8	10.71	156.59	51.71	703.28	140.04	2400.97	220.32	50.63	62.56	125.24
POLA2	423.61	688.78	241.19	140.04	303.44	275.28	157.68	158.79	183.82	136.19	204.07	175.07	215.77	182.55	167.9	180.02	156.59	208.38	206.94	202.66	138.1	152.28	120.94	169.07	246.28	236.21	327.56	155.5	116.78	98.73	154.42	205.5	193.01	163.28	289.02	595.34	389.72	346.29	387.02	242.88	392.44	497.0
PPP5C	1088.92	1175.27	684.02	688.78	769.69	723.08	500.46	476.71	529.06	651.58	723.08	583.07	571.05	616.37	728.11	651.58	555.41	915.51	647.07	595.34	708.18	525.39	595.34	511.0	1023.0	669.92	1023.0	532.74	947.83	595.34	909.17	928.3	1096.5	1457.23	1044.52	1015.93	1183.45	2240.11	1359.57	665.29	1151.06	1498.22
PRKCZ	708.18	674.59	18.56	44.89	256.78	195.72	21.16	13.32	11.64	8.0	267.73	52.08	18.97	79.45	163.28	17.25	9.27	182.55	72.01	87.03	13.83	52.45	121.79	69.03	129.69	199.85	242.88	50.27	31.0	44.25	37.59	68.55	131.51	189.02	791.35	1037.29	909.17	1757.34	1135.2	2739.08	620.67	718.08
PRRT1	435.55	301.33	98.04	125.24	249.73	297.17	84.63	111.21	65.72	96.68	180.02	103.69	137.14	171.45	138.1	110.43	90.14	139.07	98.73	147.06	101.54	127.0	128.79	96.68	199.85	178.77	236.21	110.43	13.72	22.43	67.59	111.21	170.25	202.66	140.04	191.67	224.97	150.17	265.87	325.29	146.03	242.88
PSRC1	327.56	447.82	35.76	23.59	56.28	57.89	16.75	13.62	17.77	18.7	38.12	36.27	37.32	53.19	41.22	21.01	14.56	55.1	42.11	37.32	22.59	29.48	58.71	38.67	78.34	32.82	95.34	18.97	20.41	40.07	18.29	36.79	41.81	39.5	140.04	223.41	98.73	312.0	371.22	111.21	175.07	287.01
RAB11FIP4	153.34	412.0	24.11	44.89	172.65	180.02	10.71	14.89	6.89	4.7	191.67	28.45	31.0	51.35	123.5	17.0	13.12	156.59	15.22	57.49	3.47	10.47	114.36	21.94	98.73	123.5	201.25	28.04	17.13	17.9	13.52	51.71	82.87	134.3	397.93	303.44	366.09	241.19	197.09	255.0	271.48	138.1
RASSF7	2351.53	497.0	46.84	49.56	307.69	389.72	38.95	21.01	10.55	23.08	353.59	37.05	89.51	55.89	141.02	39.5	37.32	120.94	56.68	111.99	29.06	40.93	99.43	52.45	208.38	150.17	241.19	62.56	41.52	37.05	87.65	49.21	140.04	629.35	1519.15	1583.71	1199.98	3168.41	1096.5	4066.71	1104.13	698.41
RBP1	1059.11	3690.52	116.78	281.09	1628.26	1733.13	351.14	195.72	56.28	112.77	1857.6	190.34	129.69	371.22	1268.46	152.28	305.55	529.06	275.28	318.57	212.78	432.53	521.76	36.01	281.09	1322.37	1844.76	40.64	281.09	157.68	59.13	108.14	444.72	40.36	497.0	583.07	934.76	412.0	4937.99	3928.15	1023.0	4481.23
RNPEP	1950.0	2104.58	967.76	733.19	1447.15	1397.83	555.41	743.43	854.13	651.58	947.83	688.78	902.89	860.08	1088.92	1023.0	981.29	1008.9	753.83	941.27	723.08	748.61	884.29	555.41	1216.75	1183.45	1447.15	909.17	356.05	521.76	591.22	1001.93	1295.13	1447.15	1857.6	1594.73	1437.15	1977.24	1369.04	1651.0	1561.89	1208.34
RP11-139J15.7	4.98	21.63	0.0	16.15	3.32	13.32	2.97	0.0	6.31	3.56	34.75	8.38	3.92	0.0	0.0	0.0	14.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.45	4.06	10.08	0.0	0.0	5.87	0.0	0.0	0.0	0.0	7.28	17.77	0.0	7.69	13.32	28.86	0.0	12.55
RP11-426L16.10	19.68	7.57	6.16	0.0	8.65	6.67	1.85	0.0	0.0	1.71	6.46	2.14	0.0	0.0	0.0	0.0	2.61	4.5	0.0	0.0	0.0	0.0	2.89	0.0	1.97	5.77	5.28	0.0	0.0	0.0	0.0	2.71	3.41	5.92	12.93	2.78	8.99	0.0	7.06	2.2	2.43	6.41
RP11-664D7.4	4.82	303.44	3.06	11.73	7.63	1.97	39.5	35.5	5.19	50.63	59.55	24.46	6.94	6.06	24.46	5.15	16.75	3.96	10.71	3.66	18.16	54.33	11.21	2.14	11.38	25.35	23.93	1.93	5.54	21.16	5.82	0.0	0.0	1.41	90.77	127.0	273.37	457.25	106.63	305.55	147.06	142.01
SAMD11	409.15	723.08	72.01	11.91	35.5	46.18	12.09	3.5	5.92	6.73	46.5	20.11	36.79	13.52	15.91	21.47	15.91	40.07	15.68	25.54	18.97	28.04	52.45	67.12	6.57	61.25	32.59	3.56	0.0	2.53	0.39	50.98	16.88	187.71	111.21	20.86	144.01	51.71	264.03	147.06	171.45	190.34
SEMA4D	341.51	231.32	92.05	81.14	264.03	271.48	73.03	81.71	72.52	54.72	197.09	107.38	106.63	127.89	169.07	97.36	101.54	206.94	135.24	169.07	68.55	88.88	204.07	98.04	183.82	295.11	271.48	123.5	54.72	59.97	77.25	146.03	127.0	224.97	579.04	473.41	490.14	769.69	571.05	483.38	656.11	525.39
SERP1	2319.15	2816.11	1733.13	1674.06	2240.11	2758.13	1757.34	2047.0	1757.34	1427.22	2335.28	1216.75	1322.37	1733.13	2255.7	1340.84	1498.22	2209.26	2104.58	1769.57	1662.49	1733.13	2224.63	1857.6	1594.73	1977.24	2520.38	1617.0	1233.75	1467.37	981.29	2090.03	2520.38	1977.24	2915.45	1950.0	2591.27	2351.53	2875.3	3589.58	2193.99	2875.3
SFI1	1407.55	403.5	95.34	110.43	291.04	387.02	75.64	78.89	107.38	88.88	366.09	94.01	155.5	131.51	185.11	182.55	100.83	253.23	147.06	177.53	158.79	87.03	236.21	87.65	283.05	376.41	447.82	118.43	101.54	63.89	98.73	158.79	329.84	267.73	529.06	511.0	1059.11	417.77	497.0	1088.92	909.17	718.08
SIGIRR	2400.97	2303.12	896.64	616.37	1183.45	866.07	555.41	351.14	412.0	518.15	961.07	708.18	884.29	540.19	595.34	848.22	738.29	941.27	490.14	780.44	414.87	616.37	961.07	454.09	1143.1	540.19	728.11	743.43	237.86	414.87	283.05	651.58	830.75	1709.26	1617.0	1709.26	2090.03	2701.35	2287.2	6471.02	1819.35	1183.45
SLC22A15	46.18	123.5	13.52	21.32	25.91	27.25	21.94	9.06	15.11	7.28	55.49	10.63	21.01	16.03	17.9	19.68	10.79	18.97	18.7	23.25	18.84	9.93	18.16	10.39	15.91	45.85	45.21	25.72	11.91	5.02	14.14	49.21	71.0	25.17	57.89	136.19	74.06	183.82	116.78	30.78	86.43	125.24
SLC5A2	23.42	27.44	1.57	4.86	5.41	6.16	4.5	0.0	8.19	0.0	7.46	0.0	5.73	0.0	8.38	2.71	2.58	5.59	7.82	0.0	7.11	1.31	20.11	0.0	3.0	8.13	30.34	4.35	1.14	1.6	0.0	5.77	4.58	0.39	27.84	17.9	27.64	55.89	20.71	46.5	16.03	39.79
SLCO3A1	314.17	961.07	406.31	395.18	376.41	389.72	194.36	287.01	460.44	212.78	363.56	483.38	454.09	329.84	356.05	503.95	264.03	341.51	299.25	336.79	332.14	312.0	387.02	283.05	264.03	536.45	571.05	497.0	125.24	158.79	269.6	1295.13	723.08	759.08	397.93	490.14	490.14	361.04	1208.34	412.0	674.59	679.29
SMG9	1277.29	567.1	371.22	218.79	454.09	466.88	186.4	186.4	312.0	224.97	525.39	202.66	301.33	273.37	214.27	441.64	260.38	316.37	169.07	379.04	159.9	242.88	366.09	212.78	356.05	503.95	420.68	244.57	242.88	165.57	279.14	241.19	547.75	361.04	583.07	775.05	896.64	612.11	616.37	848.22	1023.0	1044.52
SMPD2	269.6	412.0	202.66	106.63	232.94	289.02	138.1	103.69	100.13	89.51	353.59	127.89	116.78	123.5	185.11	149.12	118.43	187.71	155.5	190.34	130.6	154.42	224.97	132.44	211.31	262.2	253.23	129.69	117.6	115.97	101.54	169.07	269.6	237.86	450.94	255.0	909.17	595.34	229.72	921.88	612.11	314.17
SOSTDC1	78.89	728.11	4.28	119.26	180.02	165.57	32.13	16.75	7.0	1.97	403.5	22.75	4.24	111.21	201.25	3.26	11.04	215.77	152.28	511.0	5.02	26.47	96.68	2.97	88.88	231.32	842.36	17.13	0.82	5.28	4.31	7.94	50.98	0.0	10.55	406.31	197.09	273.37	555.41	395.18	96.68	215.77
SPATA33	260.38	291.04	92.7	100.13	123.5	157.68	64.34	58.71	57.49	63.89	165.57	90.77	79.45	88.88	94.01	68.55	69.03	127.0	84.04	102.97	59.13	85.82	84.04	101.54	228.13	163.28	142.01	87.65	68.07	50.98	42.41	48.52	111.21	108.9	389.72	239.52	718.08	567.1	255.0	603.67	454.09	178.77
STMN3	830.75	1437.15	599.49	373.81	525.39	463.65	143.01	133.36	228.13	186.4	579.04	281.09	323.03	348.71	334.46	392.44	273.37	669.92	204.07	297.17	164.42	187.71	124.37	63.45	205.5	629.35	1167.14	75.64	64.8	47.5	57.89	301.33	341.51	197.09	688.78	301.33	387.02	309.83	1936.53	514.56	860.08	463.65
STX3	540.19	647.07	285.03	237.86	334.46	420.68	142.01	194.36	199.85	141.02	514.56	265.87	218.79	253.23	256.78	293.07	199.85	291.04	194.36	303.44	182.55	171.45	231.32	287.01	293.07	376.41	332.14	327.56	356.05	161.02	339.14	234.57	559.28	651.58	607.87	928.3	616.37	624.99	830.75	954.43	463.65	480.04
STYK1	59.13	228.13	5.82	12.93	63.0	73.54	4.31	11.13	3.23	2.84	102.97	5.59	5.15	13.62	44.89	2.97	2.07	18.03	19.11	30.34	7.69	4.46	12.93	12.27	41.52	63.45	72.01	30.78	23.93	1.13	0.13	9.85	28.24	169.07	53.57	84.04	79.45	45.53	175.07	100.83	95.34	114.36
SWSAP1	129.69	81.71	43.02	33.54	82.87	92.7	18.43	25.17	27.25	27.64	76.71	22.75	44.25	36.01	55.1	34.26	31.67	53.19	23.08	53.19	28.04	22.92	58.71	68.07	79.45	47.5	90.77	46.5	31.45	67.59	36.53	42.41	47.84	63.0	84.04	78.89	94.67	111.21	91.41	79.45	72.52	49.56
SYNGR4	7.22	17.38	0.0	0.8	1.41	1.0	0.0	0.0	0.0	0.0	1.03	0.0	0.0	0.0	0.77	0.0	0.0	0.0	1.27	0.0	0.0	0.0	3.59	0.0	3.63	0.0	0.0	0.0	2.07	0.0	0.0	0.0	0.0	0.0	82.29	6.01	1.23	2.66	19.25	4.58	2.27	1.16
TBX1	91.41	836.53	26.28	94.67	124.37	111.21	89.51	50.27	28.24	50.27	40.93	57.49	8.45	50.63	30.12	19.11	21.47	121.79	62.12	32.36	51.35	106.63	65.72	72.52	54.72	154.42	105.15	28.04	4.54	0.0	2.32	144.01	30.56	69.52	202.66	96.01	316.37	607.87	457.25	1487.87	209.84	353.59
TCTEX1D2	567.1	314.17	281.09	183.82	275.28	412.0	156.59	167.9	92.7	197.09	285.03	134.3	120.94	204.07	251.48	99.43	155.5	329.84	232.94	221.86	155.5	140.04	277.2	204.07	177.53	211.31	423.61	132.44	90.77	156.59	108.14	262.2	262.2	221.86	665.29	423.61	1397.83	1167.14	480.04	2224.63	1088.92	490.14
TEC	44.89	80.01	34.02	19.39	39.22	31.45	22.26	26.1	35.0	18.56	53.19	36.79	28.65	22.43	26.67	55.1	25.91	27.25	26.86	35.0	18.29	17.77	39.79	12.83	26.47	32.59	43.63	19.97	24.63	10.79	23.76	59.55	30.34	26.1	42.41	63.45	37.85	29.7	102.97	336.79	42.11	50.98
TFB1M	226.54	368.65	157.68	201.25	239.52	248.0	154.42	131.51	167.9	163.28	234.57	111.21	163.28	170.25	201.25	134.3	133.36	180.02	199.85	201.25	187.71	128.79	234.57	175.07	209.84	221.86	301.33	144.01	133.36	134.3	173.85	191.67	163.28	173.85	133.36	191.67	186.4	269.6	191.67	264.03	260.38	316.37
TIAM1	426.57	813.63	111.21	107.38	139.07	123.5	34.75	28.65	126.12	42.71	215.77	127.89	120.94	61.68	72.01	204.07	51.35	185.11	26.67	143.01	103.69	38.67	57.49	224.97	72.01	162.14	120.1	93.35	59.55	23.25	33.06	144.01	44.57	483.38	118.43	140.04	102.97	1127.35	262.2	251.48	114.36	173.85
TIGD3	10.0	42.71	3.53	1.66	5.77	2.39	1.27	0.4	0.79	0.39	7.28	3.11	3.06	2.53	3.14	1.79	1.19	3.35	3.86	3.03	1.68	0.0	1.69	1.87	5.15	7.57	8.85	3.72	3.2	3.72	2.25	1.57	1.69	6.46	17.64	15.91	13.03	21.78	21.32	2.27	9.78	13.62
TMC5	397.93	323.03	16.51	98.04	363.56	723.08	6.89	37.85	51.71	8.32	395.18	21.63	76.17	24.63	150.17	38.4	164.42	110.43	35.5	105.89	72.01	23.42	226.54	0.23	96.68	187.71	518.15	11.64	1.22	0.24	25.72	3.56	332.14	318.57	2090.03	1617.0	2434.5	3564.78	75.11	14461.21	1340.84	231.32
