	GTEX.11UD2.1526.SM.5EQLQ	GTEX.ZTSS.0626.SM.59867	GTEX.145LV.1326.SM.5S2QI	GTEX.OXRN.1726.SM.3NM9B	GTEX.XBEW.1326.SM.4AT63	GTEX.X4XY.1726.SM.46MVO	GTEX.13PVQ.1826.SM.5L3GU	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.Y111.1926.SM.4SOIS	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YEC4.0626.SM.5CVLU	GTEX.13NYB.0726.SM.5MR4J	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.12WSK.0926.SM.5CVNQ	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.SNOS.0226.SM.32PLR	GTEX.WHSE.0626.SM.4RGNF	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.145MH.0426.SM.5LU8T	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.145MG.0826.SM.5Q5C2	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.PWCY.2326.SM.2I3EQ	GTEX.ZY6K.0226.SM.5SIAY	GTEX.12BJ1.0426.SM.5FQSO	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2
COMMD6	3515.68	2875.3	4388.98	3168.41	3515.68	1594.73	4543.8	3303.0	1685.71	9474.59	10959.3	10659.59	6607.01	9344.14	4972.34	8538.88	10733.74	4903.87	7280.4	7966.99	5147.73	6079.61	5872.48	4836.35	6037.61	9279.58	7280.4	6337.83	8658.09	10585.95	11664.82	8305.36	7749.1	8840.04	7382.04	9344.14	8963.45	6207.38	8479.89	4972.34	6983.79	6037.61	6207.38	6935.54	7032.37	5995.9	10084.54	8963.45	8305.36
COTL1	1111.82	205.5	223.41	353.59	368.65	236.21	884.29	0.0	0.72	1697.45	1709.26	2915.45	934.76	2485.67	1001.93	2075.59	1427.22	934.76	2573.36	256.78	1832.01	1111.82	780.44	1111.82	1651.0	2664.15	1832.01	1233.75	1819.35	1477.58	1709.26	3794.3	1936.53	1977.24	1088.92	2303.12	1359.57	813.63	1407.55	808.0	1008.9	587.13	518.15	656.11	688.78	1037.29	842.36	1923.14	2061.24
COX16	493.56	1073.91	1447.15	1225.22	1008.9	616.37	551.56	0.0	0.47	1794.29	2319.15	1896.65	1183.45	1781.89	1119.56	1857.6	1857.6	836.53	1594.73	1304.15	1143.1	1151.06	961.07	1037.29	1183.45	1651.0	1313.23	1322.37	1407.55	1909.85	1572.76	1369.04	1331.57	1963.57	1295.13	2209.26	2255.7	1175.27	1923.14	769.69	1331.57	1143.1	1191.69	1697.45	1340.84	1051.79	2004.85	1397.83	1769.57
CTD-2162K18.4	1.13	0.0	4.13	1.6	0.69	3.35	0.0	0.0	0.13	76.71	41.22	27.05	4.21	15.34	9.7	24.63	22.59	10.79	20.26	21.63	18.7	30.78	3.79	11.73	20.86	43.63	36.01	17.51	42.71	36.79	10.88	36.01	40.93	9.06	19.53	27.05	28.45	26.1	10.79	14.45	13.32	9.93	10.47	29.06	24.81	11.91	4.7	31.22	26.28
CUEDC2	1639.59	579.04	813.63	665.29	728.11	473.41	1286.18	0.0	0.69	1844.76	2075.59	1651.0	1508.65	1950.0	1259.69	1781.89	1685.71	1159.07	1331.57	1286.18	1331.57	1628.26	1417.35	981.29	1709.26	1870.53	1628.26	1498.22	1936.53	1936.53	1709.26	1757.34	1605.83	1909.85	1674.06	2075.59	2032.85	1427.22	1870.53	1350.18	1199.98	1340.84	1359.57	1857.6	1378.57	1388.16	1883.54	1617.0	1662.49
CYB5D2	105.15	314.17	358.54	111.99	281.09	111.21	153.34	0.0	0.1	1477.58	1378.57	1359.57	941.27	995.0	796.86	1259.69	1199.98	813.63	802.41	638.15	842.36	1104.13	884.29	381.68	612.11	1467.37	1242.34	728.11	1175.27	1519.15	1015.93	1250.98	974.5	1331.57	698.41	1628.26	1467.37	825.0	1135.2	591.22	808.0	808.0	679.29	860.08	723.08	967.76	674.59	1159.07	1447.15
DCTD	679.29	1467.37	1233.75	1286.18	1322.37	1477.58	915.51	0.0	0.72	4512.4	4181.07	5076.84	2935.74	3928.15	2434.5	3665.02	4671.57	2777.33	3081.75	2468.49	2104.58	2240.11	2627.46	2400.97	2502.97	4268.94	3716.2	2240.11	4388.98	4010.71	3395.89	4095.0	2956.17	4328.55	2835.7	4388.98	4972.34	2591.27	3589.58	2367.9	3039.3	2468.49	2701.35	2451.44	2255.7	2796.65	3190.46	3124.78	4903.87
DCTN6	878.17	738.29	412.0	563.18	599.49	514.56	1127.35	0.0	0.74	1191.69	1417.35	1561.89	1242.34	1721.16	1059.11	1427.22	1697.45	1143.1	1417.35	1242.34	1143.1	1023.0	967.76	1268.46	1191.69	1388.16	1143.1	1191.69	1001.93	1397.83	1277.29	1250.98	974.5	1378.57	1225.22	1331.57	1369.04	1350.18	1359.57	1001.93	1066.48	1250.98	1081.39	1313.23	1199.98	1250.98	1369.04	1088.92	1407.55
DGCR6L	1191.69	791.35	1030.12	967.76	884.29	981.29	967.76	0.0	0.51	4152.18	2875.3	2119.22	1508.65	2591.27	1583.71	2555.58	2384.37	1216.75	2148.82	1295.13	1457.23	1883.54	1733.13	825.0	1388.16	2739.08	2224.63	1662.49	3103.19	2935.74	2255.7	2682.69	1909.85	2720.15	1721.16	3190.46	3039.3	1757.34	2573.36	1427.22	1639.59	1322.37	1397.83	2400.97	1594.73	1651.0	2351.53	2645.74	2502.97
DNAL4	159.9	334.46	392.44	521.76	395.18	698.41	126.12	0.0	0.0	1467.37	1295.13	1175.27	698.41	1225.22	813.63	1250.98	1159.07	406.31	1073.91	848.22	995.0	1331.57	902.89	460.44	866.07	1277.29	1268.46	941.27	1286.18	1313.23	884.29	1081.39	947.83	1295.13	1015.93	1295.13	1242.34	1051.79	1151.06	733.19	703.28	967.76	819.3	848.22	896.64	718.08	1008.9	1023.0	1183.45
DPM1	718.08	928.3	785.88	688.78	854.13	718.08	981.29	0.0	0.75	915.51	1286.18	1340.84	1104.13	1467.37	884.29	1175.27	1331.57	728.11	1183.45	872.1	1015.93	890.44	915.51	1023.0	1081.39	1088.92	974.5	1015.93	748.61	1151.06	954.43	934.76	928.3	1286.18	1225.22	1216.75	1199.98	733.19	974.5	872.1	1044.52	1051.79	1066.48	947.83	961.07	1044.52	1081.39	941.27	1183.45
DPY30	669.92	1745.2	1605.83	1583.71	1388.16	819.3	656.11	0.0	0.43	2502.97	3443.31	3716.2	2209.26	3349.13	2351.53	3467.27	3639.7	1883.54	2434.5	2335.28	2032.85	1950.0	2303.12	2018.8	2133.97	2956.17	2537.92	2255.7	2434.5	3146.52	2537.92	2434.5	2537.92	3190.46	2682.69	3794.3	2875.3	2224.63	2997.45	1794.29	2777.33	2090.03	2224.63	3665.02	3168.41	2400.97	3190.46	2895.31	2895.31
DYNC1H1	3491.39	2895.31	3235.01	2224.63	3564.78	1697.45	4358.66	0.0	1.2	4328.55	4769.75	3768.09	3847.29	3690.52	3794.3	4066.71	3690.52	2796.65	3639.7	3168.41	3614.55	3847.29	4607.24	3325.99	4358.66	4836.35	3874.05	3515.68	4481.23	4210.15	3874.05	4210.15	4268.94	3928.15	3742.05	4210.15	4419.52	3540.14	4419.52	3901.01	3955.48	3564.78	3564.78	3716.2	3742.05	3419.52	4239.45	3768.09	4066.71
