	TCGA.UF.A7JV.01A.11R.A34R.07	TCGA.BP.4974.01A.01R.1334.07	TCGA.B8.A8YJ.01A.13R.A39I.07	TCGA.38.4625.01A.01R.1206.07	TCGA.BJ.A45I.01A.11R.A23W.07	TCGA.ET.A3DW.01A.11R.A19O.07	TCGA.E8.A436.01A.12R.A23W.07	TCGA.BJ.A4O8.01A.11R.A250.07	TCGA.DJ.A3VF.01A.11R.A23N.07	TCGA.E8.A414.01A.11R.A23N.07	TCGA.CE.A485.01A.11R.A23W.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EL.A3GX.01A.11R.A206.07	TCGA.DJ.A3UQ.01A.11R.A22L.07	TCGA.ET.A3BX.01A.11R.A19O.07	TCGA.DJ.A13L.01A.11R.A220.07	TCGA.H2.A26U.01A.11R.A16R.07	TCGA.DJ.A1QE.01A.21R.A14Y.07	TCGA.FE.A234.01A.11R.A14Y.07	TCGA.EM.A22P.01A.11R.A19O.07	TCGA.ET.A25G.01A.11R.A16R.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.FE.A230.01A.11R.A14Y.07	TCGA.DJ.A3UW.01A.11R.A22L.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.4C.A93U.01A.11R.A39I.07	TCGA.ET.A40T.01A.11R.A23N.07	TCGA.DE.A4MD.01A.11R.A250.07	TCGA.E8.A242.01A.21R.A16R.07	TCGA.EL.A3CT.01A.12R.A206.07	TCGA.DE.A4MB.01A.11R.A250.07	TCGA.DJ.A1QH.01A.21R.A14Y.07	TCGA.EL.A3D6.01A.12R.A206.07	TCGA.MK.A4N6.01A.11R.A250.07	TCGA.EL.A3T9.01A.21R.A22L.07	TCGA.EL.A4KG.01A.11R.A250.07	TCGA.FE.A231.01A.11R.A14Y.07	TCGA.EM.A3SZ.01A.11R.A22U.07	GTEX.12WSB.0726.SM.5N9GD
HRC	1.16	389.72	187.71	0.0	59.13	8.99	30.12	72.52	38.95	77.25	128.79	21.78	6.16	48.87	3.17	53.19	65.72	16.75	11.55	176.29	11.47	43.63	9.93	31.67	144.01	47.17	112.77	8.38	17.51	47.84	76.71	13.32	23.42	18.84	32.13	16.39	10.31	7.0	71.5
HSPA12B	41.22	490.14	397.93	0.0	157.68	40.64	96.68	169.07	194.36	187.71	314.17	75.11	29.7	175.07	21.16	126.12	171.45	72.52	103.69	197.09	42.11	128.79	46.18	111.21	312.0	212.78	205.5	16.03	109.66	101.54	141.02	63.0	105.89	40.07	173.85	71.0	40.93	68.55	144.01
HYAL1	13.42	457.25	334.46	0.0	176.29	44.89	43.94	127.89	84.04	99.43	136.19	64.34	41.52	48.18	29.7	54.33	78.89	56.68	35.5	94.67	28.86	47.84	65.26	138.1	120.94	104.42	118.43	27.84	85.82	140.04	40.07	47.84	59.13	36.53	24.11	43.94	30.78	82.87	84.04
ITGA1	194.36	1936.53	2032.85	0.0	195.72	45.53	121.79	267.73	208.38	343.89	518.15	64.34	87.65	199.85	52.82	152.28	224.97	141.02	165.57	312.0	81.71	84.63	119.26	143.01	376.41	316.37	293.07	107.38	136.19	309.83	164.42	115.16	198.47	166.73	348.71	106.63	114.36	76.71	854.13
JAM2	25.17	583.07	555.41	0.0	277.2	42.71	111.21	221.86	384.34	353.59	532.74	65.26	72.01	189.02	29.7	206.94	138.1	74.06	116.78	361.04	36.53	164.42	55.89	285.03	974.5	283.05	256.78	44.89	135.24	327.56	128.79	75.64	214.27	77.79	147.06	95.34	105.15	90.14	426.57
JAM3	58.71	1437.15	1313.23	0.0	283.05	67.59	172.65	299.25	353.59	329.84	536.45	138.1	80.57	301.33	45.21	291.04	214.27	111.99	149.12	470.14	82.29	165.57	112.77	177.53	583.07	314.17	339.14	55.1	253.23	271.48	208.38	132.44	267.73	158.79	336.79	155.5	85.82	102.97	753.83
KCNJ8	68.55	688.78	381.68	0.0	204.07	29.7	118.43	309.83	223.41	189.02	447.82	173.85	40.36	178.77	34.75	195.72	139.07	67.59	193.01	384.34	55.89	108.9	40.64	171.45	503.95	368.65	325.29	29.27	117.6	299.25	256.78	77.25	182.55	221.86	181.28	98.73	38.12	64.34	2163.77
KDR	37.59	3690.52	1199.98	0.0	555.41	109.66	265.87	587.13	381.68	612.11	1331.57	118.43	209.84	325.29	116.78	438.59	305.55	242.88	256.78	928.3	151.22	164.42	251.48	381.68	780.44	503.95	842.36	119.26	166.73	291.04	309.83	180.02	307.69	126.12	373.81	162.14	265.87	215.77	153.34
KIF26A	3.35	172.65	197.09	3.38	23.93	5.96	19.11	32.13	26.47	36.01	65.26	12.09	4.06	15.8	8.99	17.51	27.05	12.93	19.97	47.17	9.41	16.27	13.83	21.01	38.4	37.05	31.45	2.71	12.18	13.32	30.12	5.36	15.22	13.03	24.63	18.16	5.02	6.46	48.18
KRTAP5-10	2.25	12.09	1.93	0.0	4.24	3.14	1.19	5.32	0.0	3.17	5.06	0.68	1.62	1.16	0.0	2.78	4.5	0.0	3.59	2.14	0.0	2.14	1.28	3.06	0.0	3.29	12.64	0.0	1.25	1.71	2.76	0.66	0.0	0.0	1.17	1.99	1.14	1.17	3.44
LAMB4	1.89	14.14	28.65	0.0	3.53	1.53	1.97	3.53	2.97	4.66	10.16	0.79	0.4	2.68	0.74	3.69	0.84	0.42	2.27	14.78	0.0	0.79	3.47	2.25	5.41	10.63	6.62	0.0	0.44	1.6	0.83	1.13	5.63	0.42	3.92	0.38	1.14	0.0	7.88
LDB2	45.85	2915.45	2664.15	0.0	493.56	141.02	275.28	480.04	490.14	536.45	1135.2	191.67	163.28	366.09	105.89	358.54	279.14	208.38	285.03	830.75	113.56	205.5	214.27	403.5	1286.18	629.35	656.11	178.77	279.14	647.07	279.14	211.31	420.68	231.32	336.79	201.25	186.4	226.54	579.04
LGI4	19.39	303.44	738.29	0.0	96.68	17.9	59.97	116.78	78.89	190.34	150.17	45.85	13.42	40.36	8.71	69.52	79.45	19.39	26.67	201.25	20.41	67.12	27.05	73.54	267.73	121.79	125.24	18.84	66.65	155.5	74.58	23.08	42.11	66.18	50.27	46.18	7.22	19.82	165.57
LHFP	521.76	3982.99	5112.16	226.54	1295.13	226.54	775.05	1540.37	1407.55	1359.57	2178.83	587.13	217.27	967.76	208.38	1159.07	1037.29	429.54	669.92	1977.24	234.57	595.34	312.0	1378.57	2816.11	1119.56	1819.35	111.21	1051.79	1259.69	753.83	384.34	954.43	444.72	860.08	483.38	151.22	470.14	2485.67
LIN7A	11.13	293.07	191.67	0.0	30.56	11.13	34.75	52.08	33.54	35.76	67.12	14.35	10.08	24.99	9.7	22.43	14.35	16.15	18.43	69.52	13.93	24.11	22.1	45.85	57.49	38.12	36.27	22.59	27.44	53.95	32.59	17.38	46.84	28.86	26.86	18.7	4.66	15.45	176.29
LPPR4	7.28	25.54	77.79	0.0	55.49	4.66	16.88	55.49	38.95	43.63	97.36	10.63	14.45	28.86	6.57	26.28	22.43	8.19	31.9	41.22	4.86	10.16	12.36	32.82	76.71	17.25	40.07	8.85	17.51	25.72	26.47	13.72	50.98	20.41	28.86	11.55	2.32	12.09	62.12
LRRC32	339.14	2915.45	6840.04	0.0	1044.52	279.14	624.99	1417.35	1127.35	1331.57	2075.59	928.3	329.84	1259.69	299.25	1295.13	1015.93	532.74	480.04	1697.45	299.25	796.86	318.57	759.08	2520.38	1617.0	1233.75	150.17	974.5	1008.9	1015.93	536.45	693.58	540.19	1369.04	457.25	309.83	403.5	1417.35
LRRC4	74.06	110.43	50.63	0.0	53.57	8.32	20.41	44.57	24.11	30.12	78.34	3.23	12.93	15.45	7.46	19.82	23.59	13.62	14.45	56.28	12.09	7.17	12.09	15.8	29.91	17.64	38.12	1.68	9.63	4.98	9.2	10.39	7.22	10.39	21.78	10.63	4.74	5.28	4.46
LRRC70	13.32	397.93	480.04	0.0	73.54	16.03	64.34	64.8	89.51	140.04	164.42	17.9	25.72	55.1	15.56	77.25	34.26	35.25	31.9	139.07	19.97	54.33	33.3	79.45	205.5	131.51	120.1	20.26	45.53	92.7	58.71	12.93	57.08	26.28	30.34	45.21	30.78	21.16	143.01
MEOX2	3.89	112.77	39.22	31.0	50.98	5.11	57.89	60.82	154.42	132.44	126.12	10.55	3.99	84.63	2.36	67.59	47.17	17.38	24.99	133.36	6.89	29.91	10.63	65.26	169.07	44.89	114.36	3.56	55.49	80.01	24.11	18.97	17.64	6.89	51.71	6.67	10.96	5.68	269.6
MRVI1	23.59	785.88	1088.92	0.0	158.79	27.64	60.82	241.19	113.56	267.73	215.77	37.32	45.53	115.97	24.81	85.82	152.28	69.03	50.63	293.07	41.81	74.58	63.45	80.01	305.55	141.02	161.02	25.91	139.07	120.94	102.25	74.06	77.25	96.01	186.4	58.3	35.0	47.5	336.79
MSRB3	320.8	830.75	1322.37	0.0	187.71	37.59	133.36	231.32	361.04	392.44	376.41	71.0	41.81	267.73	42.11	153.34	193.01	106.63	90.77	312.0	68.07	141.02	87.03	125.24	629.35	218.79	226.54	3564.78	177.53	267.73	156.59	115.97	151.22	96.68	356.05	80.57	57.89	64.34	854.13
MYCT1	29.48	967.76	599.49	45.21	176.29	35.76	90.14	153.34	161.02	256.78	423.61	50.63	56.68	105.15	41.22	136.19	84.04	68.55	115.16	353.59	30.78	76.17	51.71	145.02	381.68	181.28	256.78	37.59	78.34	237.86	116.78	53.95	116.78	62.56	114.36	76.17	74.06	63.45	185.11
NOS3	43.32	909.17	579.04	0.0	500.46	107.38	285.03	444.72	295.11	470.14	753.83	182.55	117.6	343.89	100.83	285.03	376.41	126.12	195.72	463.65	101.54	239.52	194.36	343.89	587.13	587.13	476.71	53.57	241.19	332.14	275.28	116.78	231.32	156.59	287.01	285.03	129.69	151.22	164.42
NOTCH4	111.99	3146.52	2178.83	82.29	476.71	171.45	264.03	660.68	376.41	493.56	1051.79	287.01	173.85	358.54	159.9	384.34	295.11	204.07	376.41	1104.13	153.34	320.8	178.77	305.55	780.44	813.63	866.07	226.54	165.57	463.65	536.45	195.72	312.0	291.04	420.68	373.81	232.94	285.03	1369.04
NOVA2	5.45	555.41	392.44	0.0	91.41	16.27	68.55	105.89	63.0	78.34	180.02	50.63	21.94	57.08	24.11	64.34	50.27	35.25	48.18	131.51	28.45	28.65	30.34	65.72	103.69	99.43	125.24	24.28	34.26	64.8	58.3	25.35	48.18	42.41	71.5	45.53	30.78	32.13	105.15
NR2F2	166.73	2209.26	1277.29	688.78	679.29	412.0	567.1	854.13	579.04	988.12	1417.35	454.09	289.02	591.22	283.05	796.86	642.59	400.71	490.14	1066.48	316.37	460.44	271.48	642.59	1331.57	607.87	896.64	363.56	571.05	733.19	497.0	384.34	353.59	301.33	559.28	316.37	423.61	303.44	1457.23
NRARP	309.83	995.0	764.36	0.0	172.65	57.49	76.17	212.78	166.73	185.11	547.75	105.89	84.63	74.58	50.63	163.28	105.15	84.63	96.01	616.37	40.36	73.54	43.63	43.94	180.02	312.0	379.04	59.13	27.44	138.1	112.77	64.34	108.14	93.35	209.84	82.87	65.26	55.89	113.56
NRIP2	6.67	1268.46	420.68	0.0	71.0	25.35	58.71	97.36	72.52	126.12	141.02	32.59	31.67	59.97	29.91	54.72	56.68	37.32	49.21	157.68	30.34	41.81	44.89	72.01	115.16	70.01	149.12	30.12	39.22	41.22	45.85	37.05	47.84	26.28	49.91	43.63	53.57	31.0	105.15
PALMD	281.09	1551.09	1143.1	0.0	212.78	48.52	84.63	223.41	260.38	287.01	435.55	64.8	48.18	119.26	35.76	159.9	115.97	73.03	112.77	309.83	35.25	129.69	68.07	166.73	748.61	264.03	234.57	51.71	126.12	248.0	155.5	65.72	178.77	90.14	129.69	80.57	92.05	79.45	366.09
PCDH12	24.99	1073.91	830.75	0.0	208.38	48.18	110.43	228.13	164.42	208.38	490.14	109.66	52.82	151.22	47.5	114.36	140.04	92.7	148.09	361.04	54.72	89.51	65.26	102.25	281.09	232.94	303.44	70.01	100.13	126.12	151.22	83.45	110.43	94.67	199.85	105.15	80.01	66.18	143.01
PDE2A	108.14	1639.59	1605.83	0.0	264.03	55.1	159.9	395.18	236.21	395.18	532.74	119.26	55.1	206.94	51.35	211.31	159.9	105.15	195.72	423.61	49.91	191.67	128.79	166.73	454.09	273.37	273.37	54.72	112.77	348.71	231.32	90.14	152.28	189.02	108.9	63.89	162.14	65.72	1143.1
PDE7B	3.72	242.88	73.03	0.0	45.21	25.17	22.59	54.33	34.02	45.85	94.01	14.67	21.01	33.78	13.03	28.86	32.82	25.72	34.26	129.69	11.04	18.97	29.27	31.67	65.72	26.28	115.97	24.99	21.47	34.51	29.91	25.35	20.41	13.72	21.63	12.45	23.76	18.29	115.16
PEAR1	40.93	915.51	728.11	0.0	98.73	19.97	93.35	148.09	107.38	181.28	273.37	32.82	27.64	96.68	42.11	94.01	63.0	37.32	70.51	221.86	30.34	38.12	42.71	76.17	162.14	111.99	176.29	33.78	48.18	124.37	77.79	38.95	61.68	63.45	66.65	42.41	50.63	39.22	599.49
PKN3	36.79	312.0	287.01	0.0	226.54	100.13	153.34	262.2	176.29	205.5	320.8	126.12	120.1	154.42	111.99	146.03	161.02	150.17	136.19	208.38	99.43	98.73	154.42	182.55	206.94	226.54	256.78	104.42	126.12	115.97	154.42	118.43	90.14	119.26	69.52	141.02	100.83	159.9	151.22
PLVAP	813.63	32767.0	18950.18	0.0	6337.83	1639.59	3235.01	6699.25	4769.75	5112.16	11745.96	3039.3	3564.78	4639.29	1519.15	4802.93	3190.46	2664.15	3847.29	9540.5	1594.73	3060.45	2485.67	5112.16	10883.59	7032.37	9215.48	1617.0	2682.69	6426.31	5366.37	2351.53	3742.05	3124.78	4639.29	2816.11	4210.15	2997.45	1639.59
PLXDC1	403.5	2701.35	1242.34	0.0	698.41	69.52	363.56	941.27	607.87	620.67	1023.0	287.01	52.08	521.76	47.5	232.94	500.46	178.77	181.28	1175.27	93.35	281.09	99.43	244.57	825.0	802.41	785.88	68.55	571.05	547.75	392.44	204.07	212.78	239.52	603.67	208.38	52.45	54.33	954.43
PODXL	113.56	4869.99	3395.89	0.0	1044.52	279.14	543.96	1135.2	902.89	1216.75	2400.97	379.04	224.97	738.29	366.09	629.35	759.08	656.11	575.03	1407.55	348.71	371.22	441.64	624.99	1769.57	1487.87	1350.18	155.5	450.94	1001.93	796.86	371.22	624.99	529.06	775.05	392.44	460.44	356.05	1008.9
PPAP2A	277.2	7749.1	7803.01	0.0	2271.4	830.75	1066.48	2148.82	1561.89	1437.15	3515.68	1143.1	708.18	1397.83	961.07	1991.0	1259.69	884.29	1151.06	3589.58	830.75	1519.15	860.08	1572.76	4010.71	3614.55	2835.7	450.94	1427.22	3419.52	2451.44	961.07	1733.13	1295.13	890.44	1001.93	1427.22	1159.07	954.43
PPP1R14A	84.04	595.34	2895.31	0.0	161.02	63.89	153.34	423.61	127.0	813.63	450.94	218.79	38.12	147.06	57.49	262.2	155.5	105.89	111.99	733.19	61.25	460.44	53.57	171.45	409.15	373.81	480.04	47.5	141.02	172.65	334.46	37.59	108.9	130.6	543.96	198.47	62.12	67.12	884.29
PRKG1	21.47	275.28	234.57	0.0	29.7	36.79	31.0	44.57	49.56	65.26	89.51	11.3	5.19	37.05	6.21	28.65	35.76	18.29	19.11	77.79	13.22	17.77	7.17	32.59	90.14	36.27	53.19	6.16	30.34	44.25	33.06	19.82	27.84	22.92	44.89	15.34	6.06	6.16	320.8
RAMP2	143.01	6516.03	5479.15	0.0	2133.97	470.14	934.76	1628.26	1359.57	1628.26	3564.78	941.27	305.55	1081.39	277.2	1378.57	1191.69	607.87	808.0	2855.44	318.57	1304.15	376.41	1519.15	3955.48	2148.82	2701.35	163.28	928.3	1331.57	1242.34	480.04	967.76	460.44	954.43	1088.92	514.56	503.95	890.44
RAMP3	109.66	4123.49	2997.45	0.0	2104.58	500.46	830.75	1447.15	995.0	1427.22	2319.15	780.44	389.72	759.08	260.38	1175.27	1066.48	438.59	444.72	1950.0	285.03	830.75	470.14	1685.71	2004.85	1909.85	1806.78	194.36	808.0	947.83	961.07	435.55	555.41	356.05	403.5	743.43	341.51	830.75	503.95
RAPGEF4	24.46	764.36	267.73	0.0	144.01	26.28	65.72	163.28	132.44	143.01	285.03	39.79	26.47	74.06	24.28	97.36	59.97	58.3	54.33	215.77	31.67	78.34	36.27	116.78	151.22	92.7	226.54	17.77	57.89	108.14	102.25	34.02	129.69	27.84	111.99	33.78	38.95	53.95	59.97
RASIP1	48.18	1183.45	1151.06	0.0	297.17	85.82	165.57	348.71	239.52	281.09	575.03	131.51	129.69	171.45	81.14	214.27	220.32	172.65	146.03	518.15	62.56	167.9	98.04	232.94	287.01	271.48	620.67	70.51	153.34	186.4	249.73	102.97	132.44	94.01	190.34	201.25	122.64	102.97	253.23
REM1	8.45	120.94	132.44	0.0	64.8	8.25	34.02	75.64	40.64	49.21	125.24	25.72	7.57	47.84	23.08	48.18	46.5	13.72	19.53	151.22	14.35	30.78	11.3	55.1	76.17	33.54	88.88	3.17	29.27	27.84	21.94	16.88	35.0	15.0	20.71	38.12	3.14	11.55	64.34
RGS16	289.02	483.38	688.78	155.5	269.6	343.89	884.29	273.37	890.44	1551.09	629.35	255.0	232.94	403.5	100.83	547.75	414.87	379.04	325.29	603.67	275.28	769.69	376.41	674.59	633.73	1023.0	555.41	457.25	287.01	351.14	1561.89	223.41	285.03	211.31	921.88	231.32	414.87	242.88	2591.27
RGS5	126.12	54727.32	20593.91	698.41	4671.57	738.29	1651.0	6426.31	3614.55	4388.98	10512.82	1769.57	764.36	2997.45	848.22	2255.7	2335.28	1697.45	2976.74	9025.81	896.64	1159.07	1111.82	2739.08	7331.05	4010.71	6381.92	830.75	1467.37	6337.83	3395.89	1313.23	2193.99	2287.2	3103.19	1369.04	1508.65	1111.82	4543.8
RHOJ	100.13	1096.5	854.13	54.72	246.28	39.22	118.43	206.94	256.78	318.57	511.0	92.7	60.82	146.03	34.51	117.6	153.34	94.01	112.77	314.17	42.11	105.89	61.68	150.17	438.59	199.85	249.73	70.51	150.17	244.57	156.59	63.89	154.42	100.13	146.03	84.04	64.34	61.25	435.55
ROBO4	120.94	2104.58	1991.0	0.0	363.56	90.14	248.0	500.46	293.07	363.56	878.17	145.02	133.36	323.03	100.83	242.88	232.94	166.73	242.88	587.13	85.82	186.4	154.42	246.28	571.05	384.34	460.44	106.63	155.5	229.72	273.37	152.28	212.78	98.73	253.23	152.28	185.11	143.01	368.65
SCN4B	56.28	884.29	220.32	0.0	126.12	19.53	80.57	212.78	148.09	158.79	403.5	48.52	24.11	102.25	11.21	85.82	45.85	72.01	58.3	400.71	37.32	59.97	21.16	87.65	234.57	102.25	289.02	15.91	63.0	129.69	105.89	45.85	46.84	50.63	110.43	56.68	31.45	27.84	507.46
SCUBE1	1.06	9.13	31.67	0.0	19.39	1.87	12.27	13.12	17.25	18.03	18.29	4.7	5.63	9.85	6.31	7.4	11.82	9.56	2.92	12.0	3.44	10.16	4.06	14.78	13.22	25.17	23.76	3.35	11.04	11.13	10.31	11.38	4.06	5.23	2.27	5.63	7.22	1.89	25.72
SEPT4	271.48	3257.52	2271.4	0.0	525.39	90.77	336.79	775.05	543.96	563.18	1073.91	265.87	120.1	473.41	96.01	466.88	371.22	163.28	180.02	934.76	124.37	397.93	158.79	400.71	1143.1	579.04	796.86	53.19	389.72	295.11	343.89	181.28	224.97	231.32	532.74	287.01	138.1	120.94	753.83
SH2D3C	46.5	1697.45	1295.13	0.0	483.38	143.01	285.03	638.15	293.07	387.02	921.88	193.01	159.9	363.56	131.51	420.68	406.31	176.29	223.41	825.0	116.78	255.0	187.71	381.68	567.1	277.2	638.15	73.03	236.21	197.09	309.83	144.01	193.01	136.19	293.07	265.87	124.37	172.65	348.71
SLC14A1	1.87	60.82	595.34	0.0	60.39	11.04	21.01	107.38	18.29	40.93	127.89	35.5	10.0	43.02	9.56	33.3	34.75	15.91	6.57	94.01	11.04	17.51	20.56	46.5	57.08	46.5	38.95	3.14	42.11	36.53	19.25	15.68	19.11	20.56	15.56	20.56	14.35	21.63	24.81
SLC26A1	16.51	76.71	49.91	0.0	71.5	74.06	43.32	88.88	32.13	71.5	90.14	18.84	54.33	59.13	24.99	59.97	84.63	78.34	45.21	68.55	33.3	42.11	37.59	37.05	10.0	83.45	64.34	46.18	31.45	34.26	82.29	49.56	25.91	21.32	68.55	40.93	33.06	24.46	51.35
SLC9A3R2	723.08	5292.48	3589.58	1529.73	4095.0	1259.69	2335.28	3614.55	2758.13	3303.0	6652.97	2018.8	1350.18	2855.44	2193.99	3124.78	2720.15	2047.0	1857.6	4704.07	1685.71	3443.31	928.3	2104.58	4607.24	3146.52	5479.15	2303.12	2573.36	1896.65	3212.66	1508.65	1769.57	1378.57	2895.31	3639.7	2255.7	1685.71	1639.59
SLCO1C1	0.49	197.09	75.11	0.0	62.12	5.11	22.75	87.65	48.52	105.15	127.89	5.15	9.85	31.9	4.28	30.78	14.89	47.17	34.51	204.07	12.18	4.5	7.69	26.1	90.14	99.43	89.51	7.0	20.11	24.28	41.22	2.51	19.97	15.11	60.82	7.69	7.51	13.03	97.36
SLCO2A1	941.27	3124.78	1721.16	0.0	1322.37	287.01	638.15	1605.83	1066.48	1286.18	1794.29	305.55	392.44	703.28	406.31	941.27	665.29	447.82	403.5	1447.15	466.88	525.39	612.11	1008.9	1909.85	1159.07	1437.15	180.02	688.78	1467.37	802.41	450.94	346.29	454.09	470.14	403.5	423.61	435.55	441.64
SMOC2	23.25	1250.98	3081.75	0.0	139.07	19.68	198.47	220.32	305.55	441.64	167.9	50.63	34.51	248.0	24.63	138.1	161.02	71.0	67.59	379.04	58.71	140.04	59.13	193.01	579.04	265.87	231.32	12.55	167.9	127.0	143.01	90.77	87.03	126.12	212.78	92.05	6.26	57.49	3060.45
SSTR1	0.0	52.45	18.29	0.0	8.71	4.5	2.92	2.48	1.73	13.03	3.99	0.74	1.58	1.17	2.71	2.14	7.0	4.66	2.81	10.47	0.77	2.03	1.75	2.78	2.32	3.86	8.58	2.03	2.18	5.5	1.66	2.78	2.23	1.2	0.75	1.5	2.84	2.05	3.35
SSTR2	14.03	195.72	314.17	0.0	54.33	9.48	11.64	46.18	43.32	36.53	62.12	28.24	18.16	30.56	12.93	26.28	52.08	11.73	20.41	76.71	12.45	24.28	17.9	31.22	66.65	67.59	57.89	5.96	28.24	52.82	46.18	15.0	29.7	36.01	33.78	17.13	10.0	12.09	40.64
SSUH2	3.63	47.84	18.7	0.0	57.89	3.03	26.28	61.68	35.76	34.51	137.14	8.78	3.41	22.92	3.66	19.97	8.51	5.32	5.45	49.56	1.35	25.17	6.62	13.72	69.03	28.45	47.5	0.0	12.55	5.32	20.86	1.69	5.73	11.64	18.03	11.47	6.31	0.0	12.55
STARD8	26.47	624.99	426.57	0.0	127.89	29.27	78.34	169.07	127.0	137.14	234.57	38.95	47.5	108.9	41.52	108.9	129.69	66.65	73.54	191.67	40.36	52.45	68.55	100.13	187.71	137.14	152.28	21.78	125.24	118.43	101.54	45.21	88.88	84.04	120.1	47.17	70.01	50.27	172.65
TAL1	3.92	624.99	438.59	0.0	49.56	9.06	33.54	56.68	44.25	71.5	125.24	14.03	12.09	32.82	8.65	35.0	35.5	29.91	29.7	92.05	11.38	16.51	10.0	41.81	72.01	50.27	68.55	24.63	17.77	55.49	39.79	13.12	34.51	19.53	33.3	20.86	16.27	15.45	140.04
TBX2	118.43	2384.37	1519.15	0.0	246.28	58.3	138.1	616.37	191.67	332.14	698.41	156.59	48.87	190.34	39.79	264.03	249.73	116.78	123.5	775.05	72.52	214.27	68.55	202.66	460.44	420.68	532.74	46.5	142.01	155.5	351.14	95.34	124.37	145.02	366.09	220.32	87.03	78.89	371.22
TEK	17.9	660.68	723.08	0.0	244.57	95.34	107.38	206.94	226.54	303.44	414.87	63.45	65.72	156.59	38.4	134.3	166.73	91.41	104.42	231.32	46.18	76.71	96.68	163.28	406.31	208.38	236.21	39.79	125.24	231.32	128.79	61.25	181.28	89.51	110.43	68.55	68.55	75.64	63.45
THBD	1059.11	1081.39	2758.13	0.0	476.71	111.21	265.87	476.71	848.22	647.07	909.17	128.79	123.5	339.14	114.36	412.0	406.31	279.14	228.13	796.86	187.71	265.87	158.79	303.44	775.05	780.44	507.46	38.12	303.44	583.07	563.18	122.64	289.02	305.55	974.5	241.19	152.28	136.19	271.48
TIE1	82.87	1896.65	2997.45	0.0	669.92	187.71	356.05	642.59	629.35	796.86	1233.75	318.57	293.07	486.75	150.17	466.88	454.09	258.57	373.81	941.27	158.79	395.18	211.31	389.72	836.53	764.36	780.44	251.48	297.17	532.74	543.96	223.41	466.88	384.34	400.71	320.8	239.52	305.55	813.63
TM4SF18	24.11	1594.73	1175.27	0.0	172.65	46.5	90.77	255.0	111.99	231.32	660.68	59.97	73.54	162.14	57.49	155.5	121.79	78.89	161.02	356.05	45.85	75.11	90.14	124.37	473.41	220.32	356.05	31.67	73.03	146.03	134.3	72.01	165.57	39.5	185.11	76.71	105.89	105.15	167.9
TMEM204	220.32	2537.92	3280.18	0.0	802.41	163.28	447.82	1081.39	660.68	684.02	1467.37	343.89	166.73	813.63	144.01	759.08	518.15	279.14	320.8	1572.76	212.78	514.56	208.38	518.15	1159.07	583.07	934.76	107.38	607.87	486.75	647.07	293.07	387.02	323.03	616.37	406.31	239.52	249.73	1111.82
TPPP3	327.56	3325.99	2935.74	0.0	438.59	49.91	262.2	698.41	878.17	836.53	1331.57	297.17	29.06	314.17	41.81	406.31	307.69	76.17	138.1	1331.57	92.05	323.03	27.25	194.36	1540.37	633.73	1322.37	24.99	236.21	579.04	438.59	96.68	125.24	155.5	536.45	231.32	36.53	64.34	1143.1
TRPC4	9.27	68.07	102.25	0.0	23.25	2.07	10.0	30.56	13.12	16.75	41.22	16.03	6.73	17.77	3.69	12.09	16.51	8.32	11.91	51.35	5.92	8.58	7.57	9.2	18.16	26.1	31.9	4.5	16.88	29.27	19.11	3.23	22.26	13.72	11.64	6.94	6.21	8.71	17.64
USHBP1	7.88	669.92	392.44	0.0	115.97	34.51	70.51	148.09	85.82	137.14	217.27	53.95	35.25	75.64	26.47	89.51	77.79	26.86	57.89	185.11	26.28	61.25	32.36	79.45	111.21	141.02	201.25	26.67	45.85	72.52	109.66	34.75	103.69	41.22	75.64	73.54	60.39	52.82	176.29
WNT2B	18.16	63.0	79.45	21.47	20.56	10.47	20.71	32.82	28.24	32.36	27.64	6.62	12.93	15.68	11.47	19.25	21.47	15.22	14.03	22.59	10.88	15.68	11.55	11.91	15.22	24.11	29.48	12.74	15.34	25.35	22.59	13.32	17.9	15.8	21.47	17.51	12.45	27.64	59.13
WNT9B	0.69	5.41	16.03	0.0	20.26	0.44	3.47	4.78	21.47	10.16	17.0	2.1	0.0	6.41	1.17	6.41	13.32	2.18	3.76	6.89	0.46	4.66	3.32	4.98	15.34	13.52	7.0	0.0	10.08	14.35	4.46	2.43	8.85	2.63	1.69	0.79	1.23	0.85	1.68
ZEB1	56.28	1259.69	748.61	50.63	180.02	48.18	139.07	209.84	358.54	312.0	412.0	55.89	47.5	229.72	33.54	177.53	177.53	111.21	116.78	320.8	61.68	105.89	94.01	147.06	567.1	251.48	246.28	53.19	117.6	253.23	178.77	98.04	150.17	143.01	236.21	62.12	77.25	80.01	521.76
