	TCGA.BT.A42F.01A.11R.A23W.07	TCGA.DS.A0VN.01A.21R.A10U.07	TCGA.VS.A9UH.01A.11R.A42T.07	TCGA.IG.A5B8.01A.11R.A28J.31	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.CV.7180.01A.11R.2016.07	TCGA.BA.A6DD.01A.12R.A31N.07	TCGA.P3.A6T3.01A.11R.A34R.07	TCGA.MT.A51X.01A.11R.A266.07	TCGA.H7.A6C4.01A.11R.A30B.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.IQ.A61E.01A.22R.A30B.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.14ABY.1126.SM.5Q5F8	GTEX.O5YW.0526.SM.2YUMX	GTEX.Y5V5.0826.SM.4VBQD	GTEX.T5JC.0826.SM.32PMC	GTEX.PVOW.1026.SM.2XCF9	GTEX.Y111.1026.SM.4TT22	GTEX.OXRN.0526.SM.2I5EN	GTEX.X585.1026.SM.46MW6	GTEX.11EI6.0826.SM.5985V	GTEX.131YS.0926.SM.5IJB9	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FHP.0726.SM.5K7YI	GTEX.WYJK.0826.SM.3NM8Y	GTEX.13QJ3.1026.SM.5QGQU	GTEX.13N1W.0726.SM.5MR57	GTEX.WRHU.0226.SM.3MJFV	GTEX.ZTPG.0926.SM.5O99H	GTEX.ZDTT.0926.SM.5J2MS	GTEX.13OW6.0826.SM.5L3GA	GTEX.N7MS.0926.SM.2HMIZ	GTEX.11WQK.1226.SM.5GU5Z	GTEX.ZYT6.0526.SM.5GIEA	GTEX.139UW.0226.SM.5K7WU	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.QEG4.0526.SM.48TZD	GTEX.QCQG.0326.SM.2I3ES	GTEX.12WSA.1026.SM.5EGHN	GTEX.13G51.0426.SM.5K7Z5	GTEX.11OF3.1126.SM.5986C	GTEX.ZVT3.0926.SM.5GICK	TCGA.33.4589.01A.01R.1443.07
SPATA6	30.34	10.0	8.78	13.72	9.48	6.21	6.94	4.54	7.94	9.7	4.9	6.94	0.0	0.37	206.94	305.55	246.28	204.07	376.41	417.77	77.79	389.72	114.36	299.25	358.54	43.32	169.07	291.04	287.01	49.56	218.79	102.97	172.65	54.72	103.69	29.91	307.69	81.71	232.94	323.03	426.57	154.42	209.84	85.82	62.12	103.69	5.45
TDRP	9.2	68.55	9.27	24.28	204.07	100.83	131.51	37.85	30.34	139.07	151.22	119.26	0.0	0.57	332.14	138.1	163.28	392.44	392.44	279.14	389.72	289.02	129.69	647.07	738.29	109.66	251.48	490.14	223.41	79.45	660.68	156.59	406.31	277.2	79.45	110.43	738.29	114.36	293.07	1044.52	348.71	217.27	187.71	244.57	206.94	400.71	10.79
TGFBR3	6.94	11.82	12.83	15.0	6.46	88.88	11.21	2.86	37.59	19.82	13.93	16.27	0.0	0.45	493.56	1457.23	624.99	1008.9	567.1	974.5	1340.84	1304.15	884.29	1467.37	679.29	269.6	1551.09	1950.0	435.55	819.3	1819.35	780.44	1225.22	890.44	934.76	616.37	460.44	1159.07	808.0	514.56	1583.71	708.18	1909.85	791.35	595.34	2047.0	7.46
TMEM178A	2.63	3.72	7.88	5.36	4.74	0.84	9.41	0.0	5.54	6.94	3.53	5.73	0.0	0.29	563.18	89.51	384.34	117.6	279.14	312.0	334.46	813.63	194.36	1242.34	1044.52	366.09	603.67	92.05	414.87	131.51	285.03	148.09	116.78	98.04	551.56	100.13	348.71	73.54	100.83	325.29	412.0	118.43	100.83	480.04	305.55	149.12	1.38
USHBP1	12.93	15.34	19.97	9.7	11.13	11.64	16.88	2.81	21.78	15.22	19.82	13.93	0.0	0.26	198.47	351.14	197.09	265.87	409.15	819.3	139.07	435.55	209.84	703.28	567.1	86.43	536.45	339.14	473.41	96.68	267.73	110.43	356.05	63.89	336.79	85.82	599.49	137.14	187.71	269.6	470.14	316.37	269.6	116.78	150.17	256.78	4.62
ZNF350	119.26	28.65	24.28	97.36	18.7	43.63	92.7	55.1	17.51	60.39	55.49	45.53	0.0	0.52	129.69	100.13	61.25	129.69	177.53	295.11	57.49	194.36	69.52	332.14	212.78	195.72	221.86	183.82	157.68	267.73	297.17	121.79	358.54	183.82	120.94	46.18	242.88	166.73	157.68	111.99	161.02	239.52	295.11	52.08	201.25	269.6	8.25
ZNF521	12.27	15.34	17.9	16.27	21.78	4.86	34.75	23.25	48.18	30.78	37.85	35.76	0.0	0.31	111.99	231.32	198.47	48.52	361.04	1135.2	24.81	435.55	88.26	638.15	295.11	48.52	305.55	156.59	140.04	70.51	167.9	158.79	149.12	29.27	38.95	48.18	420.68	57.08	75.11	126.12	403.5	143.01	447.82	80.01	48.18	104.42	4.9
ZNF69	13.72	4.28	23.25	3.32	3.2	5.32	21.16	3.29	9.85	11.13	6.36	5.11	0.0	0.27	83.45	128.79	77.79	57.49	176.29	90.77	20.41	109.66	34.51	141.02	138.1	22.43	67.59	139.07	129.69	32.36	180.02	14.03	249.73	48.87	53.95	10.0	190.34	51.35	81.71	68.55	90.14	314.17	161.02	48.18	13.72	39.79	3.08
ZNF766	92.7	102.97	133.36	90.14	87.65	90.77	106.63	130.6	81.71	142.01	107.38	116.78	0.0	0.41	273.37	107.38	127.89	144.01	190.34	232.94	215.77	253.23	193.01	525.39	215.77	94.01	193.01	142.01	209.84	191.67	334.46	128.79	231.32	154.42	205.5	145.02	157.68	145.02	118.43	186.4	205.5	186.4	343.89	125.24	138.1	185.11	45.21
ZNF835	0.99	1.35	3.56	0.0	0.92	0.0	1.28	0.0	0.54	4.03	1.33	0.88	0.0	0.0	19.53	17.0	9.34	6.94	70.01	103.69	3.63	76.17	13.52	87.65	94.67	12.0	41.22	11.64	55.49	1.31	9.2	15.68	67.59	7.46	7.46	5.06	68.07	7.11	7.75	31.0	26.47	30.78	16.39	4.39	3.44	6.52	0.56
ZXDA	7.4	19.68	9.85	10.63	8.19	12.09	13.42	7.57	7.51	19.53	9.63	9.13	0.0	0.02	50.98	36.01	56.28	23.93	52.08	94.01	26.28	63.45	38.67	100.83	84.63	10.88	56.68	36.01	57.08	24.11	61.25	50.63	46.84	25.72	37.59	16.88	58.3	18.56	25.17	71.0	51.35	28.65	42.71	38.4	26.28	48.87	6.73
