	TCGA.BT.A42F.01A.11R.A23W.07	TCGA.E7.A7XN.01A.11R.A352.07	TCGA.EK.A3GJ.01A.21R.A213.07	TCGA.C5.A1BK.01B.11R.A13Y.07	TCGA.F7.A620.01A.11R.A28V.07	TCGA.CV.7416.11A.01R.2081.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.49.4506.01A.01R.1206.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.OOBK.0526.SM.2HMJJ	GTEX.O5YW.0526.SM.2YUMX	GTEX.11DXZ.0726.SM.5N9C4	GTEX.11NSD.0326.SM.5A5LS	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.U3ZM.0426.SM.3DB73	GTEX.U8XE.1426.SM.3DB8Q	GTEX.WFJO.0326.SM.3GIL3	GTEX.TML8.0326.SM.4GICN	GTEX.12WSJ.0226.SM.5GCP7	GTEX.QDVJ.0926.SM.2I5FU	GTEX.WY7C.0426.SM.3NB3C	GTEX.XUJ4.1426.SM.4BONT	GTEX.111YS.0626.SM.5GZXV	GTEX.117YX.1326.SM.5H125	GTEX.WOFM.0126.SM.3MJFE	GTEX.R55G.0826.SM.2TC5U	GTEX.13N2G.0826.SM.5IJE6	GTEX.WHPG.1426.SM.3NMBB	GTEX.13VXT.1426.SM.5LU4B	GTEX.13PL7.1726.SM.5J2NX	GTEX.XGQ4.0826.SM.4AT4T	GTEX.OIZI.1026.SM.3NB1K	GTEX.13OW6.0826.SM.5L3GA	GTEX.Y3IK.0626.SM.4WWE4	GTEX.ZY6K.0326.SM.5SIBB	GTEX.S7SF.0426.SM.3K2B7	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.T8EM.0326.SM.3DB7F	GTEX.OXRK.0926.SM.2HMKP	GTEX.PLZ5.0726.SM.2I5F9	GTEX.PW2O.0526.SM.2I3DX	GTEX.RM2N.0426.SM.2TF4T	GTEX.QMRM.0826.SM.3NB33	GTEX.QEG5.1126.SM.33HC2	GTEX.OHPM.0526.SM.2YUMJ	GTEX.WYVS.0526.SM.3NM9W	TCGA.33.4589.01A.01R.1443.07	TCGA.37.3783.01A.01R.1201.07
PRELP	2.01	4.5	4.66	54.33	12.93	16.88	52.08	0.0	0.53	22.92	3168.41	5329.3	186.4	12244.81	202.66	1151.06	1745.2	2485.67	1191.69	84.04	1417.35	1066.48	896.64	285.03	825.0	3124.78	2645.74	3901.01	1991.0	493.56	2303.12	346.29	1594.73	3982.99	8247.98	4010.71	941.27	1051.79	92.05	199.85	1331.57	647.07	9474.59	7803.01	1001.93	4010.71	3614.55	327.56	2935.74	76.71	2.71	208.38
PRKD1	7.51	2.27	1.69	3.59	6.26	3.63	3.66	0.0	0.46	9.7	256.78	358.54	133.36	480.04	120.1	186.4	262.2	312.0	397.93	41.22	511.0	299.25	133.36	106.63	571.05	265.87	486.75	579.04	316.37	255.0	447.82	133.36	406.31	325.29	299.25	281.09	115.97	94.67	154.42	112.77	155.5	208.38	607.87	599.49	231.32	466.88	356.05	260.38	190.34	80.57	4.35	22.1
PTCH1	16.51	21.78	25.72	16.51	19.11	25.17	12.64	0.0	0.29	12.74	51.71	212.78	77.79	289.02	100.83	201.25	111.99	332.14	93.35	24.11	273.37	204.07	50.27	246.28	309.83	108.9	221.86	228.13	189.02	98.04	295.11	100.83	387.02	172.65	293.07	293.07	69.52	115.97	61.68	75.11	246.28	50.98	234.57	255.0	211.31	82.87	483.38	208.38	99.43	88.26	9.56	11.04
RAI2	12.09	5.45	5.11	61.68	16.75	23.25	28.65	0.0	0.48	28.45	830.75	1340.84	246.28	2018.8	195.72	679.29	866.07	1397.83	878.17	131.51	1407.55	460.44	441.64	438.59	1487.87	1073.91	1909.85	2119.22	941.27	587.13	616.37	295.11	819.3	1417.35	1697.45	1015.93	236.21	361.04	214.27	220.32	660.68	473.41	1508.65	1572.76	329.84	1369.04	995.0	423.61	1167.14	77.25	5.96	71.0
RCAN2	23.59	29.48	11.47	33.3	59.13	40.93	29.27	0.0	0.54	49.56	525.39	995.0	185.11	470.14	253.23	312.0	186.4	536.45	201.25	348.71	291.04	138.1	138.1	579.04	486.75	748.61	403.5	819.3	518.15	297.17	674.59	325.29	480.04	457.25	536.45	934.76	301.33	343.89	830.75	500.46	400.71	339.14	366.09	429.54	128.79	947.83	928.3	279.14	583.07	205.5	13.52	79.45
RD3	0.0	0.0	0.0	0.0	0.49	0.65	0.65	0.0	0.0	0.0	3.82	4.9	3.72	18.29	0.84	1.91	4.98	2.56	6.21	1.89	5.06	2.34	8.32	2.05	9.13	4.9	6.94	7.11	3.03	9.41	0.89	1.83	2.51	6.57	3.66	5.36	0.0	0.88	1.46	4.82	2.14	0.62	5.41	10.24	1.33	12.93	4.1	2.46	4.39	1.95	0.0	0.39
RNF146	301.33	279.14	281.09	454.09	320.8	201.25	329.84	0.0	0.67	248.0	358.54	665.29	325.29	450.94	698.41	728.11	1096.5	679.29	703.28	246.28	1350.18	693.58	551.56	540.19	693.58	1199.98	988.12	967.76	1540.37	595.34	1407.55	559.28	791.35	633.73	764.36	1286.18	599.49	403.5	647.07	376.41	753.83	414.87	764.36	1467.37	525.39	1037.29	1250.98	830.75	493.56	334.46	242.88	507.46
SCN7A	0.0	0.0	0.89	0.0	0.61	0.74	0.74	0.0	0.42	2.86	1059.11	1277.29	221.86	2209.26	64.8	406.31	563.18	1088.92	1051.79	4.24	1447.15	303.44	409.15	60.39	2224.63	1127.35	3395.89	1175.27	1674.06	353.59	567.1	138.1	2555.58	1286.18	698.41	1322.37	132.44	110.43	81.71	13.52	400.71	651.58	1277.29	1322.37	180.02	1175.27	1295.13	293.07	1208.34	20.11	0.83	15.45
SERINC3	1242.34	1037.29	579.04	703.28	1037.29	1066.48	890.44	1674.06	97.36	713.11	2384.37	3491.39	1119.56	3716.2	1111.82	2047.0	2004.85	2335.28	1991.0	1529.73	2645.74	1721.16	1709.26	1819.35	2609.3	2627.46	4298.64	3928.15	2193.99	2351.53	1685.71	1709.26	2417.67	2133.97	2417.67	2468.49	1397.83	1487.87	1143.1	1191.69	2816.11	1991.0	3303.0	3349.13	1674.06	3212.66	3690.52	1487.87	3589.58	1059.11	1159.07	921.88
SFTPA1	0.0	0.62	0.0	0.0	5.32	2.03	18.29	0.0	0.0	215.77	5809569.18	4987895.16	2459612.16	4495342.72	1775752.63	4252853.3	2945333.38	2636147.11	3245478.02	2156109.97	3156730.23	3576208.94	2097151.0	1763486.6	2068278.89	3406832.48	1970321.01	4252853.3	2493947.08	2599854.48	3806410.22	2599854.48	2581895.97	3832885.91	3968052.37	1916442.45	2691538.19	1703415.74	2011721.67	593956.43	2408994.05	2710259.32	2442622.37	2546350.23	4558095.38	2904784.09	2425749.94	3454390.1	3028138.0	767601.56	8.06	34.75
SH3D19	98.73	264.03	209.84	248.0	181.28	457.25	381.68	358.54	102.25	98.73	1295.13	1378.57	400.71	1721.16	728.11	872.1	1030.12	1111.82	1233.75	373.81	1183.45	928.3	642.59	620.67	1277.29	1350.18	1674.06	1617.0	1794.29	928.3	934.76	656.11	1015.93	1225.22	1457.23	2004.85	842.36	738.29	624.99	447.82	1037.29	1183.45	1242.34	1819.35	1023.0	1259.69	2163.77	624.99	775.05	518.15	120.1	234.57
SIMC1	98.04	76.17	198.47	70.01	65.72	83.45	54.33	0.0	0.54	71.0	153.34	136.19	65.72	371.22	172.65	187.71	289.02	130.6	176.29	75.11	234.57	105.89	125.24	137.14	389.72	189.02	224.97	249.73	269.6	193.01	138.1	113.56	218.79	194.36	273.37	176.29	166.73	111.21	90.14	103.69	171.45	120.1	591.22	301.33	170.25	180.02	297.17	116.78	137.14	170.25	10.16	111.99
SLC16A12	0.97	0.0	0.0	0.0	1.57	0.58	1.06	0.0	0.21	1.97	33.06	98.04	16.39	189.02	4.9	18.7	62.56	54.72	67.12	2.32	40.07	12.0	20.26	24.11	46.18	76.17	153.34	108.14	85.82	57.49	32.82	3.66	38.4	46.5	57.49	165.57	13.22	27.25	3.44	1.27	50.27	33.3	135.24	45.21	24.28	93.35	50.27	57.49	76.17	1.38	0.56	1.28
SPARCL1	423.61	169.07	128.79	825.0	595.34	660.68	454.09	0.0	0.72	525.39	8840.04	26614.89	3515.68	16157.44	1167.14	2875.3	10014.87	7537.18	20030.74	2468.49	17197.56	5292.48	4869.99	2835.7	23169.48	12943.04	14262.1	8718.32	20881.4	6607.01	8247.98	5711.87	17681.08	11189.6	24153.43	20030.74	4095.0	4736.79	1001.93	921.88	6121.9	20593.91	25887.07	35363.15	3467.27	13776.25	14867.79	11745.96	19892.37	2240.11	194.36	1199.98
STON1	13.03	24.81	7.88	21.01	68.55	11.73	26.28	0.0	0.57	23.59	198.47	299.25	84.63	329.84	46.5	90.77	95.34	303.44	193.01	37.32	267.73	82.87	172.65	111.99	273.37	532.74	518.15	255.0	182.55	217.27	229.72	163.28	154.42	248.0	136.19	229.72	98.04	79.45	53.19	85.82	215.77	117.6	368.65	229.72	95.34	511.0	384.34	151.22	642.59	88.88	27.25	26.86
SULT1B1	0.35	0.97	1.06	0.87	1.79	31.45	2.36	0.0	0.21	2.48	61.25	40.36	20.71	38.4	18.43	17.64	30.12	39.5	77.79	7.51	55.89	19.39	41.81	34.51	49.91	65.26	108.14	49.56	90.14	59.55	8.0	59.13	42.71	42.71	43.94	50.63	3.99	11.82	29.06	43.94	27.25	29.27	42.41	175.07	12.09	65.72	93.35	25.35	48.18	13.03	6.26	9.48
SYTL4	86.43	114.36	10.08	118.43	70.01	132.44	12.55	0.0	0.74	62.56	406.31	329.84	80.01	511.0	63.0	199.85	309.83	285.03	136.19	101.54	253.23	131.51	172.65	132.44	307.69	346.29	353.59	366.09	229.72	177.53	223.41	116.78	176.29	351.14	246.28	226.54	116.78	107.38	88.26	119.26	343.89	172.65	303.44	358.54	173.85	420.68	212.78	157.68	507.46	65.72	13.93	59.55
TACC1	67.59	486.75	101.54	138.1	172.65	201.25	178.77	1340.84	2520.38	101.54	3589.58	5995.9	1331.57	6792.79	1508.65	1477.58	1378.57	5219.6	3060.45	1233.75	4152.18	1519.15	1397.83	1487.87	4575.41	3847.29	6983.79	3665.02	3847.29	2485.67	2178.83	1806.78	2209.26	4769.75	4450.27	4268.94	3395.89	1250.98	1096.5	438.59	3039.3	3103.19	6381.92	5872.48	2351.53	4512.4	5517.27	1498.22	3690.52	1111.82	88.88	167.9
TIMP3	295.11	88.88	181.28	518.15	486.75	307.69	466.88	3491.39	1674.06	460.44	22072.07	42937.97	4450.27	75803.72	909.17	7589.61	24153.43	24490.61	14867.79	2075.59	15285.81	8538.88	8718.32	7589.61	15392.14	21468.49	50011.46	17927.91	28525.2	10225.32	12076.21	3639.7	16157.44	17317.18	14765.09	23656.34	15715.58	6983.79	1096.5	1250.98	6426.31	11504.21	25354.3	15180.22	5872.48	35609.13	18304.63	10084.54	21468.49	1757.34	127.89	579.04
TMEM245	228.13	194.36	170.25	105.15	191.67	139.07	156.59	287.01	748.61	289.02	1059.11	1487.87	463.65	1662.49	567.1	796.86	967.76	1304.15	1059.11	351.14	1467.37	764.36	620.67	884.29	1088.92	1175.27	1617.0	1561.89	1277.29	1104.13	995.0	518.15	872.1	1008.9	1216.75	1529.73	483.38	547.75	438.59	327.56	836.53	1111.82	1417.35	1551.09	693.58	1286.18	1259.69	921.88	1059.11	450.94	229.72	236.21
TMEM47	17.64	9.93	2.81	56.68	26.67	10.88	17.51	0.0	0.35	43.94	414.87	679.29	186.4	708.18	127.89	379.04	470.14	373.81	420.68	157.68	493.56	343.89	191.67	201.25	543.96	836.53	995.0	981.29	426.57	444.72	511.0	218.79	447.82	348.71	674.59	848.22	297.17	356.05	108.9	146.03	708.18	511.0	961.07	961.07	299.25	1015.93	1397.83	204.07	813.63	163.28	16.75	139.07
TRHDE	0.0	0.0	0.0	0.93	1.38	1.71	2.23	0.0	0.04	0.41	106.63	129.69	6.31	182.55	7.69	40.36	42.71	63.0	33.78	12.55	75.64	35.76	21.32	3.44	138.1	98.04	197.09	86.43	27.25	85.82	81.14	28.24	57.08	162.14	55.89	67.12	25.35	16.39	11.91	4.03	33.06	31.22	95.34	72.52	32.13	180.02	134.3	29.91	149.12	7.17	0.0	2.07
VWF	366.09	107.38	65.72	141.02	198.47	205.5	237.86	0.0	0.54	171.45	3794.3	12764.83	4038.61	15715.58	571.05	1477.58	5872.48	9740.98	4869.99	2816.11	6699.25	2835.7	2664.15	2417.67	17927.91	5594.3	3419.52	2075.59	5633.22	7537.18	2367.9	7966.99	4328.55	3716.2	4575.41	9088.59	2032.85	1066.48	603.67	1757.34	4543.8	3372.43	12502.12	12676.65	1977.24	6652.97	8963.45	5112.16	23169.48	878.17	53.95	126.12
ZBED1	171.45	143.01	111.99	143.01	121.79	130.6	137.14	0.0	0.48	150.17	201.25	500.46	279.14	463.65	212.78	275.28	208.38	323.03	392.44	244.57	376.41	241.19	151.22	241.19	403.5	420.68	351.14	253.23	454.09	223.41	341.51	265.87	246.28	244.57	314.17	373.81	239.52	178.77	190.34	217.27	176.29	343.89	249.73	287.01	363.56	473.41	507.46	466.88	312.0	249.73	95.34	111.21
ZBTB16	0.37	1.62	0.79	3.03	5.45	28.24	1.79	0.0	0.44	13.93	392.44	1073.91	205.5	2485.67	53.19	305.55	379.04	928.3	287.01	22.43	371.22	39.22	194.36	521.76	543.96	1111.82	1073.91	967.76	723.08	409.15	1233.75	28.45	808.0	579.04	896.64	1519.15	221.86	43.94	14.24	63.45	1519.15	275.28	1331.57	1340.84	133.36	688.78	1286.18	1950.0	363.56	11.13	0.0	2.12
ZHX2	112.77	93.35	82.87	166.73	166.73	138.1	156.59	0.0	0.43	199.85	351.14	460.44	248.0	397.93	159.9	253.23	189.02	400.71	215.77	563.18	256.78	271.48	228.13	246.28	193.01	339.14	325.29	392.44	327.56	318.57	414.87	295.11	229.72	373.81	460.44	325.29	384.34	251.48	157.68	140.04	339.14	186.4	444.72	301.33	334.46	368.65	334.46	239.52	470.14	157.68	65.72	110.43
ZHX3	283.05	133.36	114.36	108.14	146.03	148.09	155.5	0.0	0.36	60.82	348.71	497.0	275.28	559.28	242.88	209.84	239.52	466.88	255.0	194.36	325.29	185.11	232.94	353.59	379.04	406.31	414.87	379.04	271.48	497.0	297.17	194.36	325.29	392.44	348.71	660.68	255.0	214.27	204.07	165.57	195.72	435.55	371.22	521.76	217.27	503.95	497.0	366.09	429.54	123.5	39.5	62.12
ZMYND8	186.4	273.37	320.8	258.57	228.13	237.86	161.02	214.27	228.13	265.87	406.31	511.0	320.8	521.76	406.31	392.44	435.55	432.53	305.55	206.94	656.11	371.22	387.02	497.0	555.41	376.41	532.74	371.22	547.75	518.15	356.05	253.23	507.46	463.65	441.64	536.45	309.83	341.51	312.0	209.84	521.76	400.71	698.41	743.43	429.54	529.06	376.41	406.31	327.56	236.21	53.19	123.5
ZNF106	71.5	195.72	84.63	124.37	163.28	187.71	91.41	0.0	0.33	112.77	1359.57	988.12	412.0	1806.78	403.5	698.41	620.67	1073.91	967.76	273.37	896.64	674.59	575.03	466.88	995.0	921.88	1225.22	1175.27	1277.29	896.64	521.76	616.37	733.19	1397.83	1268.46	1030.12	406.31	518.15	429.54	271.48	660.68	708.18	1709.26	954.43	796.86	1594.73	928.3	348.71	1427.22	351.14	34.02	73.54
