	TCGA.BH.A1EU.01A.11R.A137.07	TCGA.E2.A1B1.01A.21R.A12P.07	TCGA.BH.A0B2.01A.11R.A10J.07	TCGA.BH.A0B2.01A.11R.A10J.07.1	TCGA.AR.A24P.01A.11R.A169.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.BH.A1EW.11B.33R.A137.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.A7.A0DC.11A.41R.A089.07.1	TCGA.K7.AAU7.01A.11R.A38B.07	TCGA.DD.A1EC.01A.21R.A131.07	GTEX.RTLS.1326.SM.46MUN	GTEX.YB5E.0326.SM.5IFHU	GTEX.13FLV.0326.SM.5N9DJ	GTEX.13NYB.1026.SM.5IFH3	GTEX.X4XY.1626.SM.46MVN	GTEX.13FTZ.0726.SM.5IFFY	GTEX.13N11.0926.SM.5IJG2	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.QESD.2026.SM.447BI	GTEX.139TU.0826.SM.5IJFG	GTEX.12WSD.1426.SM.5GCN9	GTEX.14DAQ.1726.SM.5S2R2	GTEX.RN64.1826.SM.48FDV	GTEX.1497J.0726.SM.5Q5D1	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.U3ZN.0626.SM.3DB7U
SLC30A6	412.0	414.87	241.19	241.19	457.25	435.55	368.65	420.68	493.56	368.65	224.97	218.79	80.01	198.47	76.71	89.51	211.31	125.24	117.6	135.24	74.06	110.43	237.86	105.15	73.03	59.55	104.42	107.38	96.01	99.43	120.94	88.88	88.26	395.18
SMU1	1583.71	1529.73	1331.57	1331.57	1378.57	1551.09	1259.69	1651.0	1697.45	1259.69	848.22	624.99	457.25	854.13	540.19	358.54	665.29	444.72	884.29	559.28	356.05	551.56	759.08	441.64	336.79	511.0	444.72	521.76	551.56	414.87	551.56	460.44	551.56	1572.76
SNX18	438.59	429.54	291.04	291.04	698.41	607.87	460.44	395.18	1135.2	460.44	202.66	229.72	186.4	281.09	154.42	176.29	166.73	348.71	140.04	348.71	81.14	127.89	358.54	198.47	126.12	129.69	204.07	214.27	164.42	129.69	172.65	162.14	161.02	400.71
SPAST	242.88	255.0	127.0	127.0	273.37	283.05	159.9	253.23	327.56	159.9	127.0	122.64	66.65	72.01	71.5	98.73	125.24	154.42	55.1	128.79	77.79	59.97	108.14	88.26	80.57	82.87	88.26	69.52	85.82	74.06	90.14	80.57	69.03	223.41
STAG1	457.25	429.54	312.0	312.0	457.25	607.87	409.15	432.53	693.58	409.15	180.02	187.71	77.79	220.32	148.09	126.12	118.43	85.22	51.35	159.9	81.14	110.43	139.07	41.22	67.59	94.01	108.9	182.55	88.26	81.71	69.03	79.45	93.35	358.54
SUZ12	406.31	507.46	361.04	361.04	928.3	543.96	329.84	708.18	684.02	329.84	285.03	281.09	167.9	314.17	112.77	241.19	329.84	316.37	246.28	244.57	120.1	143.01	236.21	99.43	105.89	152.28	194.36	150.17	178.77	125.24	149.12	127.0	131.51	603.67
SYNJ1	356.05	201.25	100.83	100.83	172.65	269.6	163.28	180.02	269.6	163.28	57.08	111.21	45.53	45.53	49.56	96.68	92.05	80.57	81.14	70.01	93.35	45.21	81.71	55.1	76.17	94.67	75.64	101.54	90.77	78.34	52.82	57.89	79.45	226.54
TAOK1	543.96	638.15	289.02	289.02	780.44	1183.45	493.56	733.19	551.56	493.56	190.34	171.45	89.51	67.12	92.05	79.45	149.12	147.06	100.83	133.36	55.49	44.57	92.7	71.5	34.75	45.21	78.34	63.0	54.72	49.91	98.73	63.89	125.24	334.46
TMEM167B	1572.76	1111.82	551.56	551.56	866.07	981.29	1023.0	1030.12	1127.35	1023.0	470.14	532.74	334.46	334.46	202.66	303.44	387.02	460.44	299.25	351.14	218.79	341.51	500.46	190.34	171.45	327.56	303.44	177.53	209.84	205.5	303.44	157.68	187.71	624.99
TMX1	1030.12	954.43	743.43	743.43	995.0	954.43	723.08	718.08	896.64	723.08	583.07	559.28	379.04	842.36	320.8	400.71	595.34	543.96	343.89	460.44	217.27	343.89	476.71	409.15	277.2	223.41	376.41	299.25	297.17	212.78	507.46	412.0	242.88	1066.48
TNPO1	1745.2	1208.34	718.08	718.08	1540.37	1277.29	974.5	1733.13	1322.37	974.5	414.87	624.99	157.68	420.68	156.59	165.57	438.59	183.82	237.86	244.57	112.77	204.07	454.09	161.02	133.36	129.69	197.09	189.02	154.42	132.44	206.94	112.77	181.28	1242.34
TRIM37	295.11	1167.14	242.88	242.88	642.59	483.38	336.79	460.44	392.44	336.79	205.5	193.01	58.71	265.87	106.63	85.82	239.52	162.14	129.69	109.66	38.95	84.04	156.59	115.16	71.5	159.9	78.89	116.78	83.45	53.19	146.03	55.89	79.45	373.81
TRIM44	872.1	718.08	669.92	669.92	753.83	733.19	764.36	808.0	738.29	764.36	343.89	463.65	234.57	567.1	206.94	226.54	457.25	144.01	295.11	191.67	171.45	312.0	563.18	155.5	107.38	183.82	256.78	190.34	351.14	154.42	318.57	178.77	198.47	1340.84
TWF1	2209.26	2178.83	1059.11	1059.11	1651.0	1909.85	1819.35	2609.3	1870.53	1819.35	1467.37	1286.18	591.22	974.5	435.55	748.61	1183.45	1015.93	688.78	890.44	307.69	525.39	738.29	629.35	476.71	373.81	656.11	432.53	409.15	395.18	961.07	532.74	389.72	1769.57
TXLNA	616.37	698.41	497.0	497.0	890.44	738.29	633.73	796.86	759.08	633.73	884.29	791.35	343.89	466.88	279.14	476.71	872.1	647.07	438.59	358.54	248.0	318.57	403.5	463.65	291.04	305.55	521.76	190.34	262.2	435.55	532.74	316.37	293.07	753.83
UBE2Z	1427.22	6037.61	1605.83	1605.83	2047.0	1417.35	1286.18	1639.59	1277.29	1286.18	1529.73	1066.48	511.0	854.13	307.69	612.11	1030.12	532.74	529.06	490.14	514.56	381.68	591.22	426.57	540.19	473.41	624.99	651.58	693.58	376.41	866.07	896.64	493.56	1199.98
UBTD2	669.92	884.29	575.03	575.03	674.59	620.67	507.46	679.29	620.67	507.46	273.37	150.17	124.37	198.47	177.53	197.09	190.34	255.0	114.36	260.38	146.03	122.64	255.0	130.6	145.02	120.94	194.36	155.5	155.5	90.77	193.01	178.77	152.28	420.68
UBXN2A	293.07	327.56	176.29	176.29	275.28	429.54	332.14	389.72	470.14	332.14	165.57	142.01	120.94	244.57	111.99	132.44	146.03	114.36	90.14	142.01	99.43	97.36	189.02	92.7	96.68	51.35	84.63	94.67	100.83	159.9	206.94	178.77	94.01	264.03
UFSP2	647.07	1073.91	753.83	753.83	743.43	1119.56	825.0	775.05	1151.06	825.0	295.11	426.57	397.93	493.56	525.39	301.33	551.56	334.46	543.96	295.11	239.52	480.04	470.14	265.87	248.0	381.68	318.57	447.82	371.22	237.86	327.56	361.04	460.44	836.53
USP14	1242.34	1697.45	866.07	866.07	1417.35	967.76	1127.35	1733.13	872.1	1127.35	802.41	890.44	281.09	660.68	234.57	332.14	647.07	473.41	450.94	381.68	191.67	285.03	432.53	343.89	256.78	234.57	318.57	309.83	215.77	209.84	426.57	348.71	279.14	1561.89
VHL	890.44	579.04	490.14	490.14	708.18	866.07	447.82	954.43	1044.52	447.82	507.46	293.07	212.78	229.72	293.07	189.02	389.72	241.19	159.9	269.6	206.94	194.36	316.37	169.07	98.04	98.04	231.32	134.3	199.85	199.85	88.26	157.68	279.14	395.18
WDR36	368.65	318.57	163.28	163.28	301.33	329.84	236.21	397.93	480.04	236.21	189.02	175.07	120.94	119.26	96.68	154.42	229.72	211.31	124.37	205.5	131.51	117.6	129.69	100.83	145.02	100.83	177.53	105.89	134.3	167.9	105.89	105.15	121.79	318.57
WIPF2	432.53	684.02	397.93	397.93	723.08	642.59	423.61	529.06	518.15	423.61	269.6	264.03	117.6	96.01	87.65	97.36	356.05	88.88	113.56	135.24	138.1	57.49	126.12	111.99	106.63	84.63	132.44	111.21	136.19	166.73	112.77	93.35	134.3	490.14
YY1	1870.53	1883.54	1551.09	1551.09	1806.78	1662.49	1427.22	1594.73	2163.77	1427.22	1331.57	808.0	708.18	961.07	651.58	890.44	1151.06	981.29	587.13	1127.35	796.86	571.05	693.58	813.63	723.08	718.08	825.0	819.3	802.41	599.49	733.19	764.36	769.69	1199.98
ZBED4	154.42	89.51	175.07	175.07	146.03	166.73	127.89	172.65	185.11	127.89	88.88	129.69	25.54	48.18	39.5	70.51	98.04	55.89	45.21	41.81	29.48	31.9	32.82	51.71	20.26	17.25	40.36	31.9	22.59	43.32	49.56	44.89	37.85	228.13
ZCCHC7	536.45	379.04	366.09	366.09	358.54	423.61	279.14	412.0	587.13	279.14	297.17	251.48	145.02	82.29	152.28	136.19	208.38	136.19	105.15	127.89	139.07	131.51	111.99	120.94	153.34	63.0	169.07	161.02	125.24	153.34	111.21	117.6	84.04	291.04
ZMPSTE24	988.12	1437.15	785.88	785.88	1378.57	1477.58	896.64	1487.87	981.29	896.64	775.05	753.83	356.05	802.41	373.81	540.19	748.61	647.07	450.94	563.18	309.83	412.0	629.35	497.0	339.14	358.54	507.46	307.69	406.31	215.77	587.13	470.14	336.79	1233.75
ZNF197	423.61	426.57	264.03	264.03	289.02	299.25	205.5	318.57	371.22	205.5	180.02	178.77	142.01	33.54	88.88	155.5	165.57	146.03	69.03	124.37	133.36	127.0	157.68	76.17	132.44	53.95	111.21	134.3	139.07	144.01	70.51	118.43	96.68	217.27
