	TCGA.KM.8639.01A.11R.2403.07	TCGA.B0.5697.01A.11R.1541.07	TCGA.B0.5707.01A.11R.1541.07	TCGA.A3.3363.01A.01R.0864.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.CW.5591.01A.01R.1541.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.CZ.5987.11A.01R.1672.07	TCGA.2Z.A9J8.01A.11R.A42S.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.IA.A83W.01A.11R.A355.07	TCGA.IZ.8196.01A.11R.2404.07	TCGA.BQ.5890.01A.11R.1592.07	TCGA.Y8.A897.01A.11R.A36F.07	TCGA.SX.A7SQ.01A.12R.A36F.07	TCGA.BQ.7045.01A.31R.1965.07	TCGA.DZ.6135.01A.11R.1965.07	TCGA.UZ.A9PP.01A.11R.A42S.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.MH.A855.01A.11R.A355.07	TCGA.DW.7842.01A.11R.A32Z.07	TCGA.B3.3925.01A.02R.1351.07	TCGA.HE.A5NH.01A.11R.A26U.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.P4.A5E7.01A.31R.A28H.07	TCGA.A4.7996.01A.11R.2204.07	TCGA.B1.7332.01A.11R.A32Z.07	TCGA.A4.7734.01A.11R.A32Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.G7.6792.01A.21R.1965.07	TCGA.BQ.5878.01A.11R.1592.07	TCGA.MH.A561.01A.11R.A26U.07	TCGA.GL.A9DC.01A.11R.A37K.07	TCGA.BQ.5883.01A.11R.1592.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.EV.5901.01A.11R.1592.07	TCGA.5P.A9K4.01A.11R.A42S.07	TCGA.EV.5903.01A.11R.1592.07	TCGA.SX.A71S.01A.11R.A33Z.07	TCGA.G7.A8LE.01A.11R.A36F.07	TCGA.A4.8312.01A.11R.2404.07	TCGA.B9.4116.01A.02R.1351.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.IA.A83S.01A.11R.A355.07	TCGA.O9.A75Z.01A.11R.A33Z.07	TCGA.2Z.A9JN.01A.21R.A42S.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.BQ.7049.01A.11R.1965.07	TCGA.P4.AAVO.01A.11R.A42S.07	GTEX.YB5E.0326.SM.5IFHU
MAP3K2	193.01	236.21	167.9	295.11	246.28	363.56	559.28	329.84	186.4	97.36	181.28	503.95	117.6	253.23	187.71	178.77	389.72	175.07	85.22	190.34	81.71	145.02	358.54	414.87	232.94	95.34	218.79	389.72	199.85	353.59	78.34	346.29	289.02	303.44	154.42	229.72	400.71	43.32	395.18	155.5	303.44	351.14	293.07	161.02	356.05	88.26	136.19	228.13	181.28	77.79	325.29	79.45	150.17
MCPH1	139.07	152.28	106.63	163.28	175.07	202.66	329.84	218.79	126.12	77.79	106.63	175.07	95.34	115.16	109.66	120.1	182.55	118.43	61.25	114.36	102.25	120.1	198.47	204.07	156.59	83.45	136.19	151.22	76.71	204.07	105.15	149.12	158.79	158.79	105.89	115.97	198.47	43.32	197.09	115.97	169.07	178.77	154.42	182.55	197.09	71.0	94.67	139.07	164.42	59.97	185.11	118.43	109.66
MED1	249.73	384.34	329.84	206.94	316.37	432.53	543.96	525.39	234.57	209.84	226.54	651.58	195.72	223.41	343.89	323.03	348.71	279.14	190.34	223.41	232.94	199.85	500.46	525.39	435.55	132.44	351.14	540.19	303.44	595.34	234.57	466.88	281.09	358.54	253.23	325.29	412.0	114.36	583.07	249.73	441.64	497.0	392.44	211.31	327.56	209.84	157.68	400.71	267.73	242.88	361.04	131.51	167.9
MED13	190.34	289.02	234.57	275.28	218.79	473.41	764.36	532.74	194.36	162.14	165.57	595.34	189.02	162.14	232.94	228.13	389.72	260.38	145.02	176.29	132.44	132.44	463.65	599.49	336.79	78.89	241.19	381.68	224.97	500.46	111.21	392.44	312.0	269.6	208.38	299.25	389.72	47.17	503.95	157.68	412.0	406.31	358.54	178.77	343.89	106.63	121.79	251.48	212.78	94.67	327.56	79.45	115.97
MSH2	224.97	244.57	180.02	224.97	212.78	255.0	612.11	246.28	151.22	126.12	167.9	301.33	205.5	229.72	209.84	119.26	218.79	146.03	149.12	157.68	151.22	173.85	249.73	303.44	258.57	104.42	248.0	289.02	187.71	312.0	146.03	190.34	142.01	265.87	178.77	197.09	277.2	55.89	265.87	164.42	212.78	332.14	273.37	234.57	228.13	102.25	166.73	232.94	279.14	81.14	204.07	84.63	320.8
MSI2	1437.15	872.1	961.07	1167.14	896.64	1437.15	1498.22	1073.91	780.44	780.44	860.08	2451.44	748.61	961.07	1143.1	1008.9	1437.15	1143.1	802.41	647.07	571.05	733.19	1594.73	1991.0	1605.83	447.82	1529.73	2271.4	1088.92	1844.76	579.04	1896.65	1551.09	1151.06	1175.27	1081.39	1417.35	463.65	2090.03	890.44	1697.45	1639.59	1540.37	1378.57	1127.35	529.06	507.46	1359.57	1242.34	620.67	1051.79	281.09	204.07
MTPN	1437.15	1583.71	1233.75	1437.15	1477.58	1844.76	3280.18	1883.54	878.17	890.44	830.75	3235.01	660.68	1037.29	1397.83	1794.29	1605.83	884.29	346.29	1519.15	872.1	620.67	2796.65	2319.15	1794.29	759.08	2018.8	2627.46	872.1	2935.74	703.28	2163.77	1745.2	1923.14	607.87	909.17	2004.85	454.09	2520.38	728.11	3325.99	1991.0	1639.59	830.75	2004.85	825.0	579.04	1950.0	1233.75	669.92	1583.71	285.03	819.3
NAPG	633.73	307.69	232.94	301.33	309.83	339.14	819.3	460.44	285.03	223.41	303.44	426.57	161.02	281.09	249.73	241.19	318.57	234.57	98.04	166.73	232.94	248.0	323.03	387.02	316.37	277.2	358.54	329.84	171.45	409.15	224.97	301.33	356.05	297.17	205.5	237.86	500.46	93.35	346.29	205.5	217.27	334.46	368.65	358.54	258.57	194.36	246.28	287.01	457.25	132.44	409.15	153.34	198.47
NIPA1	269.6	183.82	172.65	212.78	295.11	195.72	239.52	202.66	133.36	152.28	141.02	463.65	130.6	223.41	142.01	159.9	256.78	246.28	119.26	204.07	118.43	142.01	341.51	264.03	336.79	128.79	218.79	249.73	271.48	309.83	103.69	212.78	273.37	186.4	164.42	204.07	265.87	57.89	228.13	157.68	241.19	262.2	249.73	193.01	312.0	102.97	134.3	217.27	159.9	73.54	241.19	104.42	166.73
OTUD4	182.55	318.57	202.66	283.05	287.01	432.53	909.17	536.45	187.71	101.54	293.07	480.04	198.47	214.27	237.86	303.44	379.04	206.94	120.94	201.25	129.69	161.02	490.14	476.71	336.79	114.36	256.78	381.68	137.14	429.54	101.54	301.33	325.29	237.86	158.79	223.41	363.56	51.71	441.64	149.12	406.31	406.31	371.22	199.85	389.72	145.02	121.79	376.41	253.23	130.6	463.65	91.41	102.25
PAFAH1B1	1104.13	1250.98	1066.48	1331.57	1662.49	1427.22	2935.74	1721.16	842.36	928.3	954.43	2287.2	764.36	1037.29	1216.75	1175.27	1096.5	1331.57	429.54	860.08	759.08	890.44	1936.53	2148.82	1639.59	698.41	1551.09	1806.78	1119.56	1991.0	961.07	1697.45	1135.2	1259.69	1183.45	1447.15	1304.15	674.59	1757.34	961.07	1487.87	1709.26	1697.45	954.43	1427.22	1151.06	813.63	1313.23	988.12	743.43	1216.75	647.07	1001.93
PARD3B	106.63	81.71	90.14	80.01	82.29	202.66	173.85	190.34	66.65	80.01	55.49	231.32	47.84	117.6	111.21	82.29	131.51	93.35	44.57	84.04	87.65	60.82	262.2	217.27	129.69	49.56	129.69	156.59	137.14	224.97	47.5	119.26	140.04	115.16	84.04	112.77	275.28	45.85	153.34	46.18	209.84	320.8	178.77	162.14	133.36	73.03	71.5	155.5	128.79	43.94	128.79	53.57	38.67
PDIK1L	94.01	96.01	63.89	99.43	60.82	141.02	264.03	127.0	43.94	59.97	69.03	123.5	53.19	82.29	76.17	53.57	122.64	51.71	38.67	52.45	54.72	115.97	89.51	139.07	73.03	59.13	69.52	115.16	37.32	145.02	41.52	105.89	48.52	120.1	50.27	66.18	148.09	19.97	113.56	42.41	75.11	108.9	54.72	118.43	75.64	44.57	70.01	96.68	114.36	46.18	90.77	36.27	50.98
PHTF2	110.43	147.06	97.36	121.79	112.77	138.1	409.15	182.55	81.71	40.64	115.16	289.02	69.52	84.63	92.05	105.89	94.01	70.01	32.82	98.04	74.06	70.01	186.4	201.25	126.12	43.63	130.6	157.68	44.57	172.65	57.08	71.0	84.63	116.78	73.03	83.45	121.79	23.42	197.09	80.57	157.68	198.47	199.85	92.05	98.73	61.68	51.71	185.11	100.13	46.18	111.21	45.21	173.85
PIAS1	312.0	356.05	211.31	339.14	397.93	490.14	624.99	497.0	251.48	170.25	267.73	567.1	180.02	307.69	226.54	214.27	454.09	232.94	132.44	209.84	166.73	232.94	463.65	543.96	303.44	167.9	197.09	417.77	237.86	460.44	156.59	353.59	339.14	444.72	260.38	229.72	438.59	120.94	507.46	175.07	409.15	379.04	389.72	258.57	368.65	181.28	144.01	256.78	297.17	171.45	368.65	125.24	180.02
PIKFYVE	142.01	132.44	64.8	103.69	140.04	205.5	287.01	237.86	82.87	80.01	112.77	215.77	64.8	105.89	113.56	84.04	144.01	87.03	62.12	70.51	37.59	38.95	152.28	223.41	137.14	43.94	102.97	191.67	99.43	178.77	48.18	143.01	119.26	129.69	52.45	115.16	218.79	32.36	185.11	55.1	130.6	172.65	139.07	98.73	183.82	42.71	49.56	122.64	137.14	39.22	161.02	27.25	65.72
PLEKHA3	262.2	277.2	244.57	400.71	379.04	363.56	460.44	368.65	283.05	206.94	193.01	423.61	132.44	361.04	229.72	279.14	299.25	249.73	85.22	199.85	166.73	291.04	435.55	400.71	325.29	173.85	403.5	457.25	343.89	406.31	182.55	332.14	387.02	1008.9	253.23	234.57	432.53	78.34	371.22	189.02	395.18	356.05	376.41	444.72	414.87	117.6	191.67	307.69	264.03	80.57	353.59	125.24	246.28
POLR2M	341.51	587.13	389.72	713.11	642.59	587.13	1015.93	759.08	341.51	232.94	389.72	808.0	361.04	373.81	397.93	500.46	540.19	389.72	253.23	420.68	275.28	353.59	748.61	769.69	583.07	208.38	371.22	624.99	497.0	674.59	281.09	547.75	507.46	575.03	373.81	409.15	656.11	112.77	698.41	336.79	802.41	633.73	511.0	403.5	791.35	339.14	318.57	591.22	373.81	314.17	633.73	281.09	293.07
PRKD3	182.55	353.59	155.5	339.14	281.09	490.14	915.51	587.13	194.36	124.37	202.66	493.56	132.44	265.87	190.34	209.84	361.04	156.59	60.82	154.42	115.16	189.02	432.53	507.46	281.09	110.43	236.21	351.14	171.45	476.71	117.6	221.86	341.51	277.2	209.84	199.85	264.03	57.08	457.25	99.43	309.83	341.51	312.0	130.6	373.81	113.56	127.0	224.97	239.52	108.14	447.82	78.89	163.28
PTPN13	392.44	283.05	318.57	264.03	186.4	457.25	928.3	583.07	376.41	105.15	194.36	909.17	34.51	438.59	303.44	163.28	518.15	287.01	64.34	291.04	81.71	186.4	748.61	571.05	571.05	105.15	567.1	521.76	108.9	764.36	83.45	353.59	536.45	607.87	417.77	514.56	974.5	22.75	764.36	77.25	363.56	819.3	825.0	819.3	555.41	96.68	139.07	500.46	1008.9	63.0	318.57	162.14	15.0
PVRL3	87.65	332.14	348.71	329.84	159.9	381.68	438.59	351.14	275.28	153.34	171.45	693.58	176.29	172.65	316.37	215.77	587.13	161.02	99.43	199.85	146.03	138.1	563.18	403.5	277.2	140.04	368.65	339.14	228.13	423.61	65.26	381.68	260.38	258.57	141.02	293.07	158.79	22.92	575.03	215.77	435.55	514.56	334.46	127.0	305.55	60.39	137.14	224.97	127.0	54.72	246.28	84.63	305.55
QSER1	73.03	137.14	102.25	130.6	166.73	258.57	460.44	248.0	122.64	70.01	105.89	295.11	98.73	131.51	115.97	115.16	217.27	89.51	44.89	118.43	60.82	96.68	215.77	253.23	164.42	44.25	148.09	241.19	61.25	226.54	45.53	211.31	175.07	190.34	96.68	142.01	154.42	12.55	251.48	105.15	176.29	202.66	159.9	74.58	209.84	51.71	71.0	173.85	109.66	53.57	176.29	57.08	75.11
RAB14	1447.15	1073.91	921.88	1487.87	1304.15	1378.57	2664.15	1508.65	915.51	748.61	890.44	1447.15	660.68	1073.91	928.3	934.76	1051.79	981.29	563.18	1167.14	866.07	954.43	1427.22	1350.18	1268.46	848.22	1208.34	1304.15	967.76	1427.22	743.43	1037.29	1127.35	1015.93	1151.06	934.76	1487.87	748.61	1259.69	660.68	1268.46	1119.56	1143.1	1216.75	1286.18	860.08	842.36	1001.93	1250.98	748.61	1233.75	780.44	802.41
RABEP1	454.09	480.04	406.31	376.41	583.07	638.15	647.07	698.41	283.05	426.57	348.71	748.61	239.52	314.17	373.81	392.44	371.22	387.02	87.03	307.69	346.29	323.03	607.87	791.35	555.41	229.72	540.19	665.29	409.15	629.35	363.56	567.1	320.8	417.77	392.44	432.53	651.58	139.07	583.07	316.37	575.03	587.13	543.96	371.22	511.0	363.56	256.78	514.56	480.04	281.09	400.71	232.94	260.38
RABGAP1	309.83	376.41	307.69	384.34	426.57	470.14	656.11	647.07	318.57	256.78	368.65	595.34	275.28	363.56	339.14	239.52	432.53	457.25	164.42	303.44	199.85	363.56	591.22	518.15	426.57	199.85	356.05	540.19	373.81	579.04	221.86	514.56	432.53	409.15	316.37	454.09	500.46	151.22	543.96	289.02	441.64	503.95	591.22	392.44	500.46	275.28	211.31	414.87	454.09	197.09	423.61	215.77	109.66
RNF11	2255.7	1844.76	1331.57	1909.85	1104.13	3257.52	3639.7	3614.55	1769.57	1551.09	1015.93	2739.08	1001.93	1757.34	1259.69	1508.65	2178.83	1594.73	878.17	988.12	915.51	1167.14	2178.83	2287.2	1540.37	1259.69	1697.45	2104.58	842.36	2104.58	981.29	2032.85	1950.0	2451.44	1225.22	1378.57	2351.53	583.07	2004.85	902.89	1936.53	1697.45	2032.85	1540.37	2303.12	915.51	896.64	1088.92	1733.13	651.58	2335.28	420.68	1044.52
SAP130	202.66	241.19	177.53	211.31	214.27	291.04	183.82	248.0	187.71	149.12	167.9	409.15	194.36	204.07	232.94	208.38	361.04	224.97	120.94	190.34	187.71	212.78	409.15	303.44	271.48	155.5	231.32	269.6	255.0	293.07	202.66	299.25	262.2	323.03	189.02	221.86	251.48	206.94	361.04	177.53	309.83	356.05	305.55	209.84	229.72	149.12	138.1	269.6	183.82	211.31	253.23	110.43	140.04
SCAF8	420.68	392.44	299.25	305.55	389.72	470.14	665.29	497.0	180.02	139.07	285.03	435.55	163.28	262.2	289.02	251.48	403.5	279.14	176.29	281.09	176.29	244.57	438.59	450.94	332.14	167.9	323.03	400.71	289.02	432.53	193.01	353.59	356.05	387.02	226.54	279.14	400.71	88.88	444.72	224.97	373.81	426.57	381.68	323.03	444.72	157.68	201.25	305.55	312.0	154.42	400.71	143.01	142.01
SHPRH	92.05	69.52	36.53	54.72	76.71	85.22	127.89	130.6	29.91	21.47	59.13	146.03	13.72	62.56	56.68	30.78	90.77	49.21	13.93	38.12	16.39	45.85	146.03	111.99	69.03	14.89	60.39	119.26	31.9	118.43	10.31	86.43	83.45	118.43	28.86	80.01	98.04	5.15	118.43	33.78	45.21	116.78	85.22	67.59	92.05	20.41	15.56	72.52	70.51	7.0	66.18	13.03	16.27
SLAIN2	791.35	802.41	529.06	688.78	1008.9	995.0	1277.29	1059.11	470.14	571.05	476.71	1183.45	353.59	674.59	497.0	559.28	928.3	463.65	397.93	647.07	366.09	603.67	988.12	703.28	808.0	571.05	629.35	995.0	483.38	896.64	536.45	698.41	1008.9	769.69	348.71	525.39	1127.35	228.13	878.17	358.54	1044.52	629.35	769.69	780.44	638.15	329.84	371.22	441.64	723.08	295.11	890.44	214.27	928.3
SLC30A7	158.79	346.29	223.41	379.04	161.02	279.14	463.65	262.2	297.17	138.1	166.73	339.14	187.71	264.03	209.84	193.01	351.14	220.32	132.44	133.36	133.36	171.45	271.48	361.04	320.8	155.5	277.2	381.68	152.28	314.17	152.28	341.51	320.8	226.54	190.34	242.88	265.87	78.89	329.84	161.02	312.0	255.0	228.13	152.28	460.44	120.1	224.97	228.13	180.02	117.6	346.29	110.43	190.34
SPATA5	24.63	41.22	27.25	35.0	26.1	56.28	97.36	68.55	29.27	22.59	28.65	59.55	27.84	35.76	29.27	17.0	49.56	36.27	16.88	33.54	24.11	34.51	69.03	60.82	29.27	15.22	37.59	53.95	17.25	46.18	17.38	53.19	48.87	65.72	28.04	37.05	40.07	7.63	46.5	28.65	51.71	37.59	40.36	27.05	38.67	22.59	28.65	30.56	34.51	12.93	46.5	23.25	16.51
SPIN1	1208.34	902.89	718.08	1350.18	1175.27	1733.13	1832.01	1832.01	802.41	438.59	954.43	1685.71	567.1	1015.93	842.36	529.06	1081.39	848.22	483.38	743.43	432.53	642.59	1594.73	1572.76	995.0	460.44	947.83	1250.98	819.3	1350.18	466.88	896.64	954.43	1233.75	753.83	921.88	1369.04	327.56	1259.69	669.92	995.0	1498.22	1331.57	896.64	1259.69	579.04	426.57	1066.48	967.76	525.39	988.12	329.84	287.01
SPP1	517068.97	226632.25	405683.88	338781.54	654483.73	348306.01	200048.85	263966.36	422911.59	165904.25	201440.3	290865.98	147462.67	303217.87	311742.51	402881.61	318292.9	221968.2	68793.23	614902.29	170568.48	397335.0	208544.12	129266.49	334117.42	141455.6	363097.14	204252.32	271387.49	189257.69	179048.63	408505.64	414208.18	520665.48	234624.45	386469.83	358098.26	95286.54	301123.38	263966.36	204252.32	184082.4	226632.25	822695.06	472513.8	159145.95	241220.67	275175.93	499455.67	84109.6	405683.88	422911.59	951601.81
SPTY2D1	251.48	215.77	169.07	267.73	241.19	301.33	651.58	373.81	165.57	109.66	131.51	384.34	127.89	199.85	176.29	236.21	320.8	154.42	87.65	173.85	114.36	143.01	299.25	277.2	237.86	125.24	255.0	376.41	117.6	353.59	111.21	301.33	265.87	279.14	165.57	159.9	329.84	39.5	356.05	111.21	332.14	267.73	217.27	183.82	239.52	87.03	129.69	218.79	199.85	102.25	346.29	88.26	145.02
STRN	157.68	171.45	90.77	163.28	169.07	275.28	575.03	343.89	91.41	80.01	105.15	363.56	71.0	212.78	119.26	130.6	242.88	145.02	76.17	124.37	77.79	118.43	299.25	244.57	171.45	118.43	127.89	253.23	140.04	253.23	68.07	164.42	165.57	220.32	117.6	177.53	217.27	42.11	314.17	60.82	221.86	244.57	251.48	130.6	125.24	100.83	102.97	138.1	126.12	52.82	169.07	68.55	121.79
STX17	173.85	197.09	135.24	182.55	241.19	301.33	490.14	366.09	191.67	120.1	128.79	301.33	76.71	166.73	115.97	140.04	253.23	122.64	57.89	167.9	70.51	119.26	253.23	305.55	193.01	103.69	177.53	301.33	120.94	253.23	93.35	279.14	191.67	255.0	87.03	166.73	283.05	96.68	281.09	103.69	229.72	228.13	229.72	154.42	229.72	61.68	82.87	159.9	212.78	57.89	221.86	44.57	186.4
SUZ12	285.03	251.48	194.36	301.33	275.28	389.72	733.19	447.82	185.11	241.19	186.4	497.0	157.68	209.84	241.19	197.09	258.57	194.36	149.12	198.47	146.03	180.02	318.57	463.65	351.14	82.87	301.33	353.59	170.25	381.68	140.04	323.03	229.72	226.54	223.41	305.55	361.04	35.0	379.04	201.25	285.03	343.89	332.14	229.72	281.09	139.07	165.57	264.03	299.25	84.63	249.73	133.36	314.17
SYDE2	24.99	16.63	11.82	14.24	3.41	62.12	96.68	63.45	25.54	8.85	16.51	55.49	10.63	18.43	10.88	13.12	30.12	13.72	13.22	8.99	9.27	17.64	51.35	30.34	18.84	6.46	19.53	34.26	6.26	35.5	3.99	42.11	18.16	30.56	8.06	15.91	34.02	1.81	39.79	8.78	35.5	47.5	34.75	16.88	16.15	8.58	6.36	19.82	26.67	4.62	17.51	5.15	21.78
SYNRG	384.34	392.44	307.69	318.57	327.56	497.0	647.07	521.76	239.52	371.22	260.38	703.28	145.02	191.67	318.57	323.03	540.19	273.37	159.9	158.79	265.87	218.79	599.49	674.59	490.14	173.85	409.15	620.67	253.23	575.03	305.55	620.67	305.55	341.51	275.28	323.03	536.45	205.5	647.07	253.23	547.75	521.76	450.94	262.2	279.14	242.88	149.12	423.61	366.09	264.03	397.93	61.68	71.5
TAOK1	180.02	277.2	242.88	297.17	291.04	486.75	698.41	483.38	163.28	172.65	181.28	679.29	129.69	181.28	267.73	249.73	301.33	251.48	147.06	218.79	120.1	137.14	507.46	656.11	348.71	87.65	283.05	503.95	205.5	579.04	131.51	417.77	281.09	305.55	183.82	325.29	348.71	38.12	473.41	195.72	412.0	400.71	341.51	149.12	318.57	117.6	108.14	297.17	241.19	98.73	299.25	93.35	67.12
THAP5	223.41	307.69	228.13	392.44	329.84	368.65	934.76	486.75	194.36	85.82	165.57	616.37	158.79	204.07	236.21	228.13	291.04	177.53	138.1	212.78	154.42	204.07	361.04	420.68	293.07	74.58	361.04	348.71	136.19	373.81	67.59	299.25	224.97	248.0	189.02	190.34	336.79	18.43	429.54	169.07	341.51	480.04	373.81	206.94	1081.39	88.88	149.12	395.18	189.02	90.77	171.45	137.14	146.03
TNKS	131.51	176.29	143.01	166.73	249.73	318.57	387.02	275.28	198.47	122.64	190.34	275.28	108.9	172.65	156.59	169.07	320.8	176.29	77.79	147.06	86.43	150.17	275.28	356.05	208.38	126.12	163.28	258.57	98.04	287.01	152.28	265.87	251.48	289.02	125.24	177.53	220.32	98.04	295.11	146.03	221.86	237.86	215.77	123.5	327.56	102.97	116.78	206.94	178.77	124.37	301.33	102.97	36.01
TRIM56	144.01	273.37	218.79	187.71	323.03	403.5	253.23	325.29	125.24	147.06	156.59	679.29	108.9	120.94	246.28	351.14	361.04	133.36	129.69	237.86	115.97	129.69	351.14	540.19	279.14	85.22	281.09	555.41	78.34	571.05	120.1	559.28	186.4	320.8	60.82	120.94	336.79	110.43	780.44	135.24	473.41	412.0	289.02	126.12	1304.15	91.41	60.39	426.57	249.73	75.64	177.53	76.71	94.01
TTBK2	51.35	76.71	37.59	57.89	126.12	98.73	172.65	108.9	40.36	37.05	77.79	148.09	31.9	61.25	70.01	72.52	98.04	63.89	35.0	52.45	30.78	55.89	132.44	152.28	92.7	33.54	74.58	94.01	57.49	120.94	27.05	95.34	62.12	83.45	52.08	69.52	111.99	11.04	141.02	50.63	108.9	109.66	114.36	49.56	131.51	38.67	39.22	88.26	63.0	29.06	87.03	25.35	11.73
UBE4A	287.01	320.8	223.41	273.37	356.05	441.64	665.29	435.55	242.88	204.07	285.03	521.76	97.36	269.6	273.37	237.86	379.04	228.13	119.26	108.14	127.89	181.28	514.56	555.41	371.22	135.24	264.03	559.28	151.22	457.25	185.11	231.32	373.81	381.68	150.17	246.28	480.04	69.03	480.04	190.34	381.68	400.71	353.59	228.13	403.5	161.02	153.34	348.71	307.69	165.57	384.34	75.64	220.32
UBR1	148.09	153.34	96.68	120.94	164.42	231.32	507.46	305.55	101.54	90.14	94.01	214.27	77.79	123.5	97.36	98.04	167.9	102.97	45.85	102.25	61.25	94.01	163.28	189.02	120.1	77.25	136.19	185.11	109.66	211.31	79.45	190.34	119.26	114.36	66.18	122.64	242.88	23.93	256.78	71.5	186.4	157.68	149.12	114.36	181.28	77.25	72.52	130.6	221.86	50.27	173.85	48.52	66.18
UBXN2B	293.07	343.89	271.48	412.0	559.28	470.14	660.68	473.41	325.29	217.27	251.48	532.74	220.32	376.41	232.94	211.31	403.5	265.87	201.25	325.29	156.59	255.0	406.31	607.87	395.18	228.13	348.71	466.88	201.25	536.45	318.57	441.64	348.71	559.28	301.33	361.04	384.34	171.45	420.68	198.47	417.77	426.57	376.41	301.33	438.59	177.53	258.57	329.84	346.29	176.29	358.54	175.07	156.59
USP28	124.37	172.65	111.21	221.86	208.38	241.19	301.33	273.37	141.02	119.26	141.02	234.57	58.3	202.66	137.14	186.4	244.57	110.43	78.89	87.03	112.77	147.06	234.57	325.29	248.0	53.19	221.86	234.57	104.42	223.41	115.16	220.32	170.25	166.73	100.13	182.55	214.27	58.3	228.13	147.06	228.13	248.0	224.97	175.07	215.77	96.01	87.03	190.34	212.78	83.45	277.2	63.0	97.36
USP37	28.65	52.08	21.47	41.52	52.82	93.35	201.25	135.24	29.06	15.34	36.53	89.51	16.63	32.59	35.25	65.26	84.04	29.06	10.96	32.82	12.18	11.47	80.57	92.7	50.63	11.13	41.22	81.71	18.84	85.82	10.79	71.5	77.25	43.94	21.47	33.54	78.89	4.78	96.01	14.24	63.45	61.25	44.57	28.45	64.8	8.06	15.45	38.95	48.52	6.36	81.71	9.63	22.26
USP53	194.36	236.21	194.36	376.41	211.31	521.76	1551.09	890.44	129.69	87.03	198.47	624.99	57.08	142.01	361.04	195.72	236.21	163.28	62.56	189.02	92.7	142.01	295.11	426.57	232.94	59.97	283.05	447.82	108.9	447.82	63.89	162.14	234.57	191.67	118.43	283.05	490.14	48.52	299.25	132.44	332.14	334.46	373.81	285.03	309.83	96.01	98.04	412.0	414.87	46.18	271.48	55.89	170.25
UTP23	122.64	176.29	104.42	223.41	183.82	248.0	417.77	332.14	145.02	53.57	150.17	255.0	99.43	128.79	134.3	139.07	202.66	127.0	66.18	98.73	80.01	111.21	237.86	224.97	153.34	46.5	151.22	223.41	63.89	305.55	88.26	181.28	90.77	190.34	125.24	111.99	187.71	21.63	244.57	115.97	204.07	281.09	217.27	128.79	248.0	81.14	80.01	167.9	84.04	59.97	191.67	56.28	125.24
ZMYND11	928.3	785.88	651.58	785.88	819.3	1167.14	1359.57	1508.65	624.99	476.71	518.15	1508.65	403.5	825.0	624.99	438.59	1015.93	660.68	381.68	612.11	406.31	616.37	1331.57	1119.56	890.44	412.0	808.0	1268.46	543.96	1277.29	412.0	842.36	884.29	1001.93	629.35	825.0	1023.0	221.86	1088.92	460.44	872.1	1096.5	1044.52	791.35	995.0	417.77	473.41	775.05	830.75	353.59	796.86	356.05	447.82
ZNF254	114.36	121.79	120.1	187.71	218.79	251.48	463.65	223.41	143.01	93.35	148.09	228.13	75.11	165.57	145.02	118.43	191.67	119.26	43.02	116.78	55.49	107.38	217.27	202.66	119.26	30.78	150.17	190.34	69.52	201.25	46.5	226.54	117.6	206.94	104.42	149.12	186.4	35.0	165.57	130.6	164.42	191.67	181.28	126.12	320.8	47.17	105.89	142.01	157.68	44.25	120.1	64.34	24.63
ZNF322	193.01	195.72	138.1	293.07	258.57	291.04	376.41	358.54	134.3	113.56	165.57	384.34	96.01	165.57	157.68	159.9	303.44	144.01	61.25	193.01	95.34	151.22	291.04	420.68	198.47	68.07	191.67	269.6	96.68	356.05	96.01	316.37	166.73	381.68	145.02	182.55	271.48	30.12	314.17	101.54	260.38	264.03	195.72	164.42	320.8	53.57	88.26	217.27	193.01	68.55	242.88	47.17	47.17
ZNF41	92.05	93.35	60.39	113.56	121.79	138.1	183.82	149.12	70.51	37.05	84.04	149.12	37.05	96.68	68.07	49.56	132.44	61.25	28.04	88.26	36.01	69.03	143.01	140.04	85.22	32.59	84.63	111.99	74.58	120.94	34.26	110.43	86.43	100.13	46.84	61.68	159.9	15.11	123.5	53.95	91.41	143.01	101.54	92.05	115.16	38.95	33.54	84.63	81.71	28.86	91.41	23.42	29.27
ZNF43	105.89	161.02	117.6	186.4	150.17	224.97	299.25	173.85	84.04	65.72	143.01	264.03	139.07	182.55	178.77	86.43	229.72	81.14	82.29	93.35	34.51	111.99	194.36	273.37	156.59	42.71	149.12	236.21	77.25	218.79	55.89	246.28	148.09	183.82	87.03	154.42	264.03	17.25	194.36	116.78	169.07	221.86	170.25	115.16	316.37	39.79	98.73	128.79	221.86	35.5	124.37	48.18	10.24
