	TCGA.EM.A2CU.01A.12R.A180.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.IM.A41Z.01A.11R.A23N.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.QD.A8IV.01A.11R.A39I.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.EM.A1CW.01A.21R.A13Y.07	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.EL.A3D4.01A.11R.A19O.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.EM.A22J.01A.11R.A180.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EM.A1YE.01A.11R.A14Y.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.BJ.A2N9.01A.11R.A18C.07	GTEX.RM2N.0526.SM.2TF4N	GTEX.W5X1.0426.SM.3GILB	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.ZTX8.0626.SM.59HKC	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.WHPG.0226.SM.3NMB9	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Q2AG.0826.SM.2HMKF	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZQG8.0926.SM.57WFF	GTEX.ZYFG.0626.SM.5GZYA	GTEX.11NSD.0126.SM.5987F	GTEX.WL46.0126.SM.3TW8I	GTEX.12ZZY.0826.SM.5EQMT	GTEX.145MH.0426.SM.5LU8T	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399R.0126.SM.5IFEV	GTEX.1399U.0326.SM.5P9G5	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.SJXC.0726.SM.2XCFJ	GTEX.RNOR.0926.SM.2TF56	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.11OF3.0626.SM.5BC4Y	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1	GTEX.ZUA1.0926.SM.4YCDX
C6orf120	143.01	105.15	187.71	166.73	136.19	149.12	151.22	187.71	164.42	173.85	130.6	176.29	151.22	141.02	165.57	182.55	123.5	150.17	153.34	159.9	134.3	205.5	118.43	157.68	153.34	151.22	170.25	182.55	155.5	154.42	85.82	194.36	153.34	169.07	180.02	116.78	275.28	334.46	198.47	255.0	231.32	171.45	206.94	164.42	199.85	212.78	190.34	193.01	212.78	269.6	202.66	229.72	214.27	175.07	187.71	205.5	223.41	231.32	170.25	173.85	193.01	172.65	237.86	209.84	253.23	186.4	217.27	214.27	208.38	175.07	221.86	158.79	242.88	248.0	258.57	212.78	332.14	253.23	141.02	195.72	185.11	258.57	237.86	258.57	214.27	185.11	175.07	178.77	195.72	241.19	236.21	197.09	197.09	176.29	185.11	185.11	189.02	189.02	185.11	204.07	159.9	175.07	191.67	260.38
CBX1	753.83	718.08	819.3	902.89	718.08	733.19	825.0	848.22	647.07	764.36	780.44	884.29	753.83	674.59	769.69	759.08	595.34	713.11	1208.34	738.29	825.0	1030.12	571.05	842.36	934.76	753.83	909.17	780.44	1030.12	733.19	1081.39	1023.0	1104.13	802.41	780.44	902.89	1242.34	1477.58	1733.13	2178.83	1304.15	1051.79	1030.12	1594.73	1407.55	769.69	1870.53	1208.34	1477.58	1427.22	954.43	1322.37	1340.84	1427.22	921.88	988.12	1617.0	1242.34	1199.98	967.76	1605.83	1427.22	1199.98	1088.92	1685.71	1519.15	1594.73	1844.76	1143.1	1674.06	1551.09	1529.73	1794.29	1037.29	1617.0	1167.14	1721.16	1477.58	890.44	1561.89	1216.75	1757.34	1662.49	1159.07	1359.57	1088.92	1159.07	1225.22	1388.16	1037.29	1407.55	1073.91	1104.13	1250.98	1199.98	1127.35	1175.27	1427.22	1051.79	1572.76	1769.57	1143.1	1617.0	1447.15
CCDC112	63.89	54.33	69.03	73.03	27.25	60.82	59.55	69.52	51.71	82.29	33.54	71.0	47.17	46.18	75.11	88.26	55.49	39.79	64.34	56.68	63.89	73.54	42.41	74.06	50.27	43.63	68.07	68.55	78.34	62.56	41.81	73.54	97.36	54.72	53.57	55.49	114.36	142.01	120.94	163.28	97.36	120.94	79.45	142.01	80.01	73.03	137.14	32.36	113.56	136.19	89.51	134.3	148.09	137.14	88.88	92.7	149.12	111.21	74.06	70.51	150.17	144.01	166.73	79.45	136.19	150.17	107.38	127.89	57.49	134.3	95.34	164.42	124.37	69.52	117.6	80.01	124.37	131.51	56.28	134.3	77.25	149.12	164.42	70.51	113.56	120.1	88.26	82.87	92.05	105.15	89.51	72.52	117.6	87.03	86.43	73.54	113.56	73.03	72.52	156.59	127.0	96.68	101.54	139.07
CCDC176	150.17	121.79	195.72	241.19	202.66	193.01	148.09	256.78	118.43	193.01	140.04	237.86	182.55	149.12	156.59	167.9	267.73	206.94	206.94	181.28	183.82	295.11	163.28	220.32	195.72	279.14	162.14	283.05	279.14	139.07	400.71	318.57	248.0	271.48	157.68	251.48	503.95	802.41	414.87	759.08	607.87	343.89	353.59	575.03	460.44	379.04	633.73	412.0	723.08	503.95	412.0	460.44	665.29	583.07	366.09	426.57	563.18	447.82	551.56	423.61	669.92	438.59	363.56	603.67	447.82	429.54	547.75	718.08	603.67	599.49	397.93	616.37	432.53	429.54	583.07	363.56	769.69	633.73	256.78	406.31	529.06	555.41	599.49	379.04	575.03	406.31	457.25	507.46	728.11	417.77	473.41	334.46	603.67	316.37	507.46	450.94	460.44	361.04	297.17	547.75	591.22	470.14	591.22	764.36
CDC14B	123.5	81.14	251.48	309.83	138.1	314.17	305.55	283.05	258.57	206.94	113.56	262.2	169.07	236.21	271.48	186.4	277.2	201.25	197.09	109.66	171.45	273.37	116.78	181.28	193.01	249.73	307.69	255.0	281.09	130.6	244.57	291.04	229.72	232.94	217.27	162.14	366.09	503.95	579.04	748.61	466.88	332.14	395.18	518.15	379.04	314.17	780.44	269.6	470.14	660.68	376.41	457.25	480.04	769.69	256.78	373.81	587.13	403.5	348.71	334.46	665.29	454.09	389.72	441.64	493.56	583.07	457.25	961.07	583.07	543.96	403.5	473.41	660.68	214.27	679.29	490.14	836.53	507.46	214.27	669.92	540.19	591.22	738.29	339.14	624.99	229.72	395.18	409.15	400.71	514.56	297.17	198.47	423.61	318.57	466.88	351.14	373.81	318.57	406.31	500.46	583.07	323.03	733.19	325.29
CDKN2AIP	223.41	153.34	214.27	320.8	226.54	172.65	283.05	248.0	269.6	271.48	166.73	195.72	228.13	185.11	239.52	239.52	176.29	173.85	327.56	164.42	226.54	269.6	186.4	214.27	170.25	255.0	303.44	305.55	260.38	220.32	224.97	293.07	209.84	202.66	175.07	153.34	341.51	376.41	417.77	480.04	379.04	336.79	253.23	412.0	409.15	256.78	371.22	323.03	389.72	514.56	281.09	327.56	361.04	379.04	234.57	277.2	450.94	291.04	341.51	234.57	441.64	314.17	351.14	283.05	466.88	379.04	329.84	497.0	384.34	289.02	343.89	305.55	444.72	295.11	429.54	363.56	486.75	486.75	202.66	529.06	325.29	497.0	532.74	323.03	441.64	273.37	356.05	303.44	363.56	314.17	400.71	289.02	325.29	327.56	379.04	281.09	318.57	327.56	341.51	392.44	279.14	299.25	435.55	406.31
CDR2	665.29	567.1	397.93	567.1	490.14	551.56	483.38	587.13	507.46	651.58	397.93	656.11	429.54	466.88	603.67	521.76	563.18	708.18	567.1	599.49	457.25	642.59	599.49	476.71	603.67	441.64	368.65	819.3	679.29	435.55	928.3	679.29	497.0	728.11	426.57	713.11	1388.16	1225.22	1250.98	1498.22	2018.8	1407.55	1051.79	1583.71	1286.18	633.73	1963.57	2434.5	2163.77	1832.01	753.83	775.05	2384.37	1059.11	825.0	995.0	1313.23	1242.34	1467.37	836.53	1066.48	866.07	1127.35	1208.34	1350.18	1259.69	1628.26	1529.73	1242.34	1059.11	1111.82	1467.37	1119.56	1111.82	1233.75	1250.98	1388.16	1081.39	866.07	1030.12	1447.15	1059.11	1991.0	1417.35	1135.2	1008.9	1119.56	1277.29	1769.57	1322.37	1639.59	1208.34	1104.13	934.76	1498.22	1096.5	1159.07	1135.2	743.43	1259.69	1467.37	1304.15	1350.18	1208.34
CEP120	134.3	81.71	103.69	126.12	99.43	148.09	113.56	175.07	122.64	129.69	98.73	152.28	120.94	74.58	119.26	122.64	70.01	108.9	100.83	105.89	107.38	151.22	94.67	105.89	136.19	110.43	99.43	126.12	148.09	112.77	127.89	135.24	140.04	122.64	99.43	110.43	287.01	403.5	206.94	323.03	241.19	161.02	154.42	273.37	185.11	181.28	279.14	141.02	198.47	329.84	161.02	202.66	248.0	220.32	153.34	182.55	283.05	198.47	138.1	119.26	287.01	204.07	237.86	204.07	212.78	255.0	316.37	281.09	215.77	229.72	218.79	251.48	195.72	224.97	275.28	169.07	400.71	273.37	132.44	283.05	191.67	327.56	314.17	146.03	273.37	181.28	202.66	180.02	201.25	228.13	218.79	153.34	166.73	144.01	199.85	162.14	231.32	194.36	189.02	204.07	239.52	224.97	244.57	265.87
CNTLN	32.82	31.0	52.82	45.85	26.1	25.91	34.02	55.89	41.52	39.79	23.76	40.07	30.78	36.79	36.53	39.22	30.34	37.32	28.86	36.27	30.12	48.52	36.79	32.13	33.3	33.54	50.63	30.34	39.22	25.54	26.86	38.67	41.52	38.67	37.85	23.08	80.01	110.43	81.71	111.21	67.59	49.91	66.65	97.36	81.14	52.08	101.54	30.78	85.82	75.64	88.88	69.52	105.15	97.36	54.72	61.25	92.05	63.45	57.08	43.94	96.01	65.26	90.14	59.55	75.64	80.57	112.77	105.89	63.45	105.89	68.07	84.04	109.66	59.55	80.01	64.34	158.79	120.94	47.84	84.63	62.56	105.15	142.01	47.84	116.78	57.89	64.34	55.89	78.89	80.57	53.19	44.57	48.18	41.52	58.3	60.82	86.43	63.0	59.13	90.14	97.36	80.57	82.87	96.01
COIL	189.02	134.3	205.5	244.57	159.9	229.72	206.94	256.78	182.55	246.28	155.5	182.55	175.07	147.06	201.25	205.5	164.42	221.86	291.04	231.32	218.79	236.21	159.9	236.21	218.79	234.57	208.38	260.38	271.48	159.9	226.54	260.38	267.73	226.54	197.09	159.9	423.61	320.8	215.77	323.03	312.0	256.78	316.37	256.78	363.56	239.52	249.73	267.73	234.57	457.25	312.0	341.51	334.46	241.19	283.05	309.83	356.05	341.51	309.83	297.17	236.21	291.04	299.25	343.89	406.31	264.03	295.11	246.28	173.85	178.77	327.56	246.28	376.41	356.05	353.59	339.14	409.15	299.25	242.88	239.52	327.56	295.11	358.54	332.14	285.03	307.69	318.57	346.29	334.46	361.04	305.55	269.6	307.69	281.09	346.29	339.14	279.14	206.94	208.38	301.33	242.88	305.55	275.28	295.11
CPE	3190.46	1561.89	1225.22	4836.35	848.22	4210.15	2417.67	4639.29	3190.46	3928.15	4869.99	1628.26	3515.68	1508.65	3614.55	1111.82	3103.19	3768.09	3982.99	3146.52	4123.49	4210.15	3820.7	4152.18	1923.14	4450.27	2915.45	3716.2	4639.29	2682.69	2335.28	4869.99	6164.49	4358.66	3146.52	1096.5	6164.49	5479.15	13681.08	20881.4	4937.99	8078.22	2956.17	23820.89	6652.97	2400.97	16045.82	9344.14	7695.57	6164.49	5517.27	7032.37	4543.8	7749.1	3039.3	4066.71	4512.4	4769.75	5366.37	3190.46	16045.82	5672.41	7911.95	3690.52	11267.44	10585.95	17078.76	19754.96	7485.11	19482.97	6983.79	12329.98	22535.88	3982.99	13123.73	6887.62	18950.18	9344.14	1617.0	12676.65	4481.23	13123.73	12589.08	3847.29	8421.31	4481.23	5954.47	5147.73	8363.13	5913.33	4298.64	3103.19	5292.48	5479.15	6337.83	5403.7	9215.48	5913.33	4972.34	7537.18	15499.21	6121.9	6887.62	12415.75
CRISPLD1	155.5	30.12	60.39	102.25	27.44	75.64	113.56	157.68	112.77	153.34	60.82	69.52	65.26	60.39	71.5	127.0	48.52	49.56	83.45	152.28	104.42	87.65	122.64	131.51	21.63	72.01	100.13	141.02	201.25	32.13	128.79	149.12	246.28	124.37	45.21	38.67	466.88	1407.55	409.15	854.13	406.31	269.6	161.02	490.14	301.33	43.32	447.82	97.36	258.57	543.96	363.56	277.2	463.65	435.55	246.28	234.57	620.67	301.33	409.15	409.15	915.51	612.11	414.87	356.05	473.41	612.11	1331.57	688.78	232.94	836.53	490.14	693.58	1059.11	206.94	688.78	470.14	1233.75	1081.39	123.5	674.59	587.13	934.76	1242.34	423.61	733.19	262.2	346.29	417.77	351.14	571.05	403.5	323.03	316.37	255.0	547.75	444.72	346.29	189.02	78.89	400.71	785.88	253.23	249.73	543.96
CRYZ	967.76	503.95	438.59	743.43	624.99	1175.27	703.28	878.17	791.35	713.11	612.11	656.11	249.73	620.67	1008.9	1151.06	511.0	947.83	698.41	703.28	890.44	884.29	543.96	693.58	384.34	1135.2	536.45	954.43	954.43	314.17	836.53	1295.13	1216.75	624.99	738.29	785.88	1340.84	1628.26	1175.27	2163.77	1127.35	1199.98	1175.27	1733.13	1008.9	651.58	1477.58	1350.18	842.36	1551.09	848.22	1073.91	961.07	1008.9	647.07	633.73	1143.1	1304.15	1407.55	890.44	1561.89	1407.55	1551.09	1407.55	1369.04	1073.91	1561.89	1313.23	638.15	1397.83	1008.9	1427.22	1721.16	947.83	1417.35	1167.14	2032.85	1037.29	684.02	928.3	1594.73	1216.75	1519.15	1529.73	1277.29	1322.37	1096.5	1044.52	1259.69	1066.48	1388.16	995.0	967.76	796.86	1359.57	1081.39	995.0	1407.55	848.22	1175.27	1519.15	1073.91	1208.34	1417.35
CWC22	255.0	175.07	232.94	283.05	187.71	262.2	224.97	307.69	237.86	267.73	224.97	229.72	228.13	164.42	255.0	224.97	175.07	214.27	258.57	307.69	262.2	273.37	226.54	194.36	139.07	301.33	289.02	339.14	287.01	187.71	152.28	316.37	336.79	295.11	221.86	151.22	473.41	503.95	403.5	507.46	384.34	371.22	490.14	397.93	444.72	334.46	457.25	320.8	429.54	571.05	392.44	463.65	438.59	414.87	312.0	329.84	486.75	348.71	277.2	312.0	480.04	373.81	412.0	373.81	429.54	486.75	460.44	521.76	336.79	414.87	373.81	414.87	486.75	389.72	486.75	395.18	669.92	423.61	327.56	435.55	368.65	518.15	595.34	249.73	466.88	351.14	332.14	376.41	299.25	497.0	363.56	256.78	343.89	305.55	348.71	361.04	438.59	334.46	339.14	376.41	361.04	395.18	490.14	403.5
CWC27	251.48	297.17	289.02	237.86	279.14	289.02	242.88	269.6	262.2	253.23	353.59	339.14	303.44	166.73	305.55	271.48	244.57	279.14	224.97	371.22	358.54	256.78	299.25	275.28	281.09	293.07	303.44	332.14	273.37	264.03	260.38	348.71	329.84	309.83	281.09	480.04	395.18	327.56	414.87	414.87	351.14	318.57	329.84	486.75	376.41	351.14	447.82	221.86	457.25	460.44	339.14	395.18	351.14	373.81	307.69	301.33	392.44	470.14	289.02	395.18	447.82	363.56	379.04	366.09	376.41	346.29	444.72	406.31	301.33	379.04	381.68	432.53	470.14	320.8	397.93	384.34	559.28	346.29	412.0	368.65	348.71	373.81	457.25	341.51	373.81	351.14	346.29	327.56	384.34	339.14	323.03	348.71	289.02	343.89	312.0	339.14	371.22	320.8	339.14	400.71	447.82	392.44	395.18	400.71
CWF19L2	112.77	158.79	129.69	117.6	147.06	116.78	120.1	154.42	139.07	111.99	139.07	195.72	153.34	115.16	116.78	126.12	87.03	94.01	138.1	118.43	119.26	125.24	127.89	82.87	98.04	122.64	120.1	119.26	150.17	95.34	95.34	157.68	166.73	119.26	103.69	95.34	373.81	281.09	241.19	301.33	228.13	164.42	170.25	307.69	236.21	297.17	314.17	156.59	273.37	279.14	199.85	226.54	217.27	232.94	165.57	199.85	466.88	202.66	223.41	134.3	241.19	361.04	241.19	221.86	229.72	256.78	384.34	318.57	262.2	267.73	341.51	470.14	281.09	201.25	265.87	214.27	409.15	432.53	177.53	242.88	201.25	241.19	356.05	166.73	312.0	176.29	214.27	220.32	269.6	281.09	167.9	151.22	209.84	197.09	193.01	223.41	258.57	178.77	175.07	182.55	303.44	249.73	228.13	281.09
CXorf57	10.55	23.25	24.11	39.79	33.3	55.49	49.91	66.65	46.5	54.33	37.85	45.85	41.52	29.27	35.5	43.63	20.41	34.51	35.5	11.13	24.81	51.35	29.91	30.34	37.59	24.11	42.11	44.57	67.12	27.44	30.78	50.27	27.25	49.21	27.05	39.22	232.94	135.24	52.45	95.34	158.79	67.12	52.08	162.14	98.04	37.05	76.71	271.48	86.43	228.13	43.32	93.35	194.36	115.97	64.8	53.19	107.38	103.69	73.54	60.82	106.63	120.94	108.14	100.13	151.22	115.16	105.15	127.0	204.07	83.45	61.68	114.36	119.26	129.69	116.78	71.0	275.28	195.72	33.78	71.5	117.6	98.73	116.78	63.89	142.01	63.89	126.12	96.68	156.59	102.97	217.27	46.18	111.99	33.06	139.07	75.11	95.34	107.38	69.52	108.9	144.01	97.36	108.14	171.45
CYBRD1	2255.7	1806.78	1896.65	2255.7	2520.38	2796.65	2004.85	2682.69	2720.15	1963.57	1870.53	2997.45	1757.34	1757.34	1639.59	2384.37	1844.76	1844.76	2119.22	1674.06	1359.57	2351.53	2591.27	1733.13	1059.11	2335.28	2004.85	2104.58	2485.67	1857.6	2573.36	2240.11	3081.75	2090.03	1883.54	1295.13	6079.61	6792.79	6207.38	9474.59	5403.7	3820.7	5076.84	7032.37	5594.3	1467.37	8305.36	3190.46	3589.58	10084.54	4836.35	4358.66	7280.4	5219.6	3039.3	3928.15	6561.36	4607.24	4575.41	2627.46	7180.15	6381.92	5292.48	4607.24	7032.37	5913.33	10296.45	8840.04	4903.87	7966.99	6121.9	5183.54	7081.29	4358.66	8778.97	5479.15	8421.31	9540.5	2075.59	5594.3	5403.7	9808.75	9808.75	4639.29	6983.79	4512.4	4358.66	5594.3	4836.35	6471.02	6164.49	4512.4	6079.61	5112.16	4972.34	4358.66	3168.41	3794.3	3690.52	5041.77	6207.38	6037.61	5329.3	4181.07
DESI2	285.03	232.94	299.25	283.05	307.69	249.73	253.23	329.84	397.93	332.14	260.38	395.18	265.87	271.48	318.57	334.46	231.32	232.94	251.48	289.02	221.86	379.04	309.83	224.97	303.44	277.2	289.02	332.14	363.56	301.33	255.0	356.05	353.59	271.48	256.78	199.85	836.53	547.75	412.0	583.07	791.35	395.18	463.65	409.15	486.75	325.29	518.15	656.11	432.53	825.0	450.94	389.72	890.44	409.15	397.93	414.87	529.06	447.82	423.61	314.17	444.72	432.53	559.28	470.14	532.74	363.56	525.39	444.72	403.5	403.5	490.14	493.56	480.04	603.67	473.41	514.56	620.67	551.56	343.89	412.0	575.03	518.15	703.28	470.14	460.44	323.03	483.38	486.75	536.45	532.74	728.11	633.73	480.04	339.14	607.87	463.65	373.81	387.02	316.37	400.71	483.38	441.64	397.93	480.04
DIRAS2	2.43	0.87	7.28	38.67	2.39	15.8	16.75	30.34	17.25	16.27	3.63	19.82	7.17	12.36	13.62	7.63	9.78	14.56	14.35	7.11	17.38	26.47	3.23	9.13	22.1	24.81	20.71	10.47	27.25	1.2	10.71	32.82	28.24	25.72	17.38	10.39	72.52	39.79	159.9	75.11	73.03	129.69	86.43	44.89	16.51	29.91	60.82	37.59	106.63	172.65	241.19	39.22	129.69	73.54	64.8	49.56	158.79	38.4	143.01	88.88	161.02	58.71	42.11	39.79	204.07	40.93	96.68	75.64	52.45	71.5	154.42	97.36	55.49	118.43	90.14	52.82	73.54	127.0	23.93	140.04	136.19	100.13	120.94	43.02	87.03	94.01	125.24	220.32	151.22	38.12	221.86	154.42	95.34	16.15	128.79	85.82	60.82	79.45	4.17	35.76	97.36	65.72	67.59	91.41
DIXDC1	90.14	48.52	176.29	209.84	156.59	314.17	212.78	190.34	161.02	143.01	107.38	334.46	221.86	125.24	191.67	129.69	185.11	123.5	161.02	175.07	232.94	226.54	121.79	115.16	182.55	167.9	242.88	176.29	217.27	115.16	215.77	237.86	226.54	205.5	157.68	100.13	444.72	432.53	271.48	447.82	406.31	269.6	255.0	260.38	295.11	201.25	332.14	211.31	351.14	473.41	289.02	323.03	318.57	269.6	246.28	339.14	381.68	291.04	314.17	201.25	497.0	371.22	429.54	325.29	327.56	368.65	567.1	476.71	217.27	376.41	287.01	287.01	444.72	318.57	441.64	205.5	514.56	603.67	180.02	316.37	366.09	486.75	384.34	231.32	406.31	176.29	307.69	277.2	384.34	325.29	409.15	156.59	212.78	303.44	318.57	255.0	320.8	193.01	181.28	305.55	356.05	293.07	417.77	403.5
DTWD1	463.65	223.41	555.41	620.67	389.72	518.15	571.05	503.95	536.45	547.75	441.64	607.87	500.46	497.0	525.39	503.95	279.14	583.07	599.49	373.81	518.15	647.07	463.65	318.57	366.09	518.15	473.41	703.28	599.49	387.02	334.46	543.96	575.03	563.18	466.88	361.04	728.11	854.13	728.11	909.17	713.11	473.41	500.46	612.11	642.59	420.68	961.07	543.96	728.11	1127.35	547.75	842.36	698.41	743.43	703.28	674.59	748.61	669.92	536.45	547.75	780.44	769.69	638.15	629.35	698.41	688.78	995.0	909.17	679.29	713.11	698.41	748.61	1066.48	607.87	1001.93	642.59	848.22	954.43	493.56	785.88	579.04	808.0	1216.75	587.13	718.08	480.04	559.28	447.82	547.75	607.87	529.06	486.75	547.75	624.99	723.08	525.39	684.02	624.99	708.18	575.03	647.07	616.37	703.28	860.08
DZIP3	105.89	58.71	117.6	155.5	121.79	187.71	137.14	218.79	189.02	112.77	102.25	193.01	144.01	108.9	121.79	128.79	120.1	148.09	156.59	111.21	113.56	258.57	90.77	149.12	224.97	143.01	181.28	159.9	206.94	85.22	175.07	202.66	186.4	140.04	138.1	181.28	305.55	500.46	343.89	356.05	224.97	215.77	229.72	371.22	412.0	215.77	301.33	144.01	412.0	414.87	229.72	341.51	241.19	299.25	214.27	226.54	341.51	297.17	185.11	220.32	336.79	371.22	260.38	275.28	307.69	273.37	417.77	339.14	316.37	325.29	264.03	329.84	368.65	231.32	283.05	215.77	559.28	447.82	212.78	314.17	255.0	371.22	348.71	198.47	444.72	289.02	293.07	221.86	376.41	246.28	255.0	155.5	271.48	180.02	323.03	273.37	305.55	299.25	223.41	329.84	361.04	226.54	409.15	438.59
EFCAB7	64.34	49.56	73.54	113.56	96.68	108.14	134.3	142.01	88.26	100.13	88.26	94.67	113.56	51.35	123.5	137.14	46.84	84.04	111.21	120.1	81.71	129.69	87.03	59.55	84.63	88.26	99.43	127.89	119.26	51.35	77.79	97.36	162.14	105.15	88.88	82.29	170.25	228.13	112.77	137.14	166.73	129.69	118.43	132.44	129.69	108.9	211.31	65.26	162.14	223.41	120.94	185.11	170.25	141.02	113.56	159.9	118.43	139.07	201.25	100.83	152.28	166.73	175.07	136.19	171.45	145.02	198.47	199.85	124.37	151.22	114.36	143.01	159.9	134.3	201.25	110.43	260.38	165.57	98.04	144.01	138.1	186.4	191.67	126.12	187.71	115.97	111.99	132.44	172.65	146.03	144.01	81.71	155.5	111.21	127.89	127.0	176.29	106.63	102.25	141.02	143.01	130.6	138.1	176.29
EPHA3	71.5	18.29	24.46	33.06	25.72	52.08	57.49	13.93	29.48	58.71	25.17	33.78	20.11	13.42	63.89	18.03	30.12	104.42	30.34	46.84	39.79	30.34	58.71	29.91	59.13	14.45	51.35	53.57	67.59	35.0	89.51	40.93	37.85	38.12	58.71	63.89	896.64	414.87	171.45	967.76	420.68	180.02	228.13	599.49	158.79	25.35	624.99	73.54	371.22	825.0	109.66	231.32	336.79	638.15	253.23	198.47	463.65	215.77	102.97	112.77	995.0	239.52	307.69	190.34	361.04	363.56	454.09	447.82	218.79	1030.12	567.1	447.82	1304.15	194.36	1044.52	299.25	954.43	2018.8	127.89	532.74	218.79	713.11	796.86	85.22	723.08	115.16	190.34	144.01	466.88	248.0	205.5	51.71	105.15	208.38	131.51	204.07	351.14	135.24	47.84	450.94	620.67	164.42	334.46	387.02
EPHA6	1.19	4.31	2.27	3.72	1.3	2.78	1.33	6.62	2.56	4.31	1.31	0.78	4.7	2.43	0.83	2.73	2.51	5.87	4.21	2.94	2.07	1.33	0.72	0.52	13.03	5.82	8.71	1.3	5.96	0.82	5.63	3.0	9.41	6.06	2.61	9.56	42.11	20.86	32.82	53.19	47.84	29.06	25.72	68.55	10.96	2.97	46.84	58.3	36.53	54.33	14.56	46.18	40.64	29.48	13.03	35.5	22.92	17.25	56.28	18.03	38.4	48.87	18.56	16.51	76.71	26.28	54.33	26.47	13.03	34.75	18.43	46.84	92.05	12.27	38.67	25.91	127.0	43.32	12.0	52.82	24.99	16.88	29.06	30.78	40.07	21.63	29.48	42.71	54.72	20.26	28.04	9.56	28.24	11.3	20.26	48.52	34.75	2.58	7.34	29.48	81.14	20.71	26.47	105.89
