	TCGA.AC.A2BM.01A.11R.A21T.07	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.E9.A228.01A.31R.A157.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.AN.A049.01A.21R.A00Z.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.PE.A5DC.01A.12R.A27Q.07	TCGA.OL.A5D8.01A.11R.A27Q.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.AO.A12H.01A.11R.A115.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.A8.A09T.01A.11R.A00Z.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.EW.A1PD.01A.11R.A144.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.AQ.A1H2.01A.11R.A13Q.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.AR.A24L.01A.11R.A169.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.3C.AAAU.01A.11R.A41B.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.E9.A295.01A.11R.A16F.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.OL.A66J.01A.11R.A29R.07	TCGA.A8.A09E.01A.11R.A00Z.07	TCGA.E9.A2JS.01A.11R.A180.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.EW.A2FV.01A.11R.A17B.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.C8.A1HI.01A.11R.A137.07	TCGA.S3.AA12.01A.11R.A41B.07	TCGA.C8.A1HG.01A.11R.A137.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.E9.A1NI.01A.11R.A14D.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.AAD2.01A.11R.A41C.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.RC.A7SF.01A.11R.A352.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.Y5LM.0426.SM.4VBRO	GTEX.ZF2S.3026.SM.4WWCH	GTEX.P78B.1326.SM.3P611	GTEX.ZZPU.0426.SM.5GZYH	GTEX.ZF29.2026.SM.4WWB7	GTEX.1399R.1226.SM.5P9GF	TCGA.38.4625.01A.01R.1206.07.1
PIANP	4.62	132.44	1.73	7.94	5.54	5.06	3.96	5.36	13.03	16.03	1.68	4.24	2.71	2.14	1.04	6.11	7.06	4.7	4.24	8.0	11.73	12.27	33.06	177.53	30.12	14.67	2.29	24.46	9.93	0.37	9.85	6.52	3.14	2.71	4.62	1.31	9.93	447.82	4.46	7.63	18.43	3.92	8.71	2.05	9.85	0.91	5.23	20.41	4.7	1.06	0.0	0.72	3.41	0.62	10.0	0.65	1.48	0.0	1.1	0.65	0.0	1.2	0.0	0.0	5.54	0.0	0.61	0.79	0.39	1.22	0.42
PPHLN1	1073.91	866.07	921.88	941.27	941.27	785.88	878.17	607.87	860.08	909.17	785.88	808.0	1081.39	934.76	1250.98	1030.12	1208.34	723.08	909.17	1175.27	878.17	860.08	802.41	1277.29	796.86	1259.69	836.53	825.0	764.36	921.88	995.0	1096.5	1044.52	836.53	1066.48	1167.14	921.88	1225.22	791.35	915.51	1167.14	575.03	1001.93	1259.69	872.1	764.36	571.05	988.12	647.07	638.15	435.55	397.93	551.56	629.35	543.96	518.15	420.68	356.05	323.03	483.38	387.02	571.05	518.15	363.56	775.05	486.75	429.54	403.5	638.15	293.07	277.2
PREPL	896.64	775.05	896.64	397.93	884.29	748.61	476.71	603.67	808.0	1001.93	780.44	775.05	587.13	507.46	708.18	466.88	500.46	463.65	813.63	660.68	547.75	607.87	638.15	872.1	480.04	1051.79	507.46	583.07	813.63	718.08	470.14	2287.2	373.81	718.08	620.67	624.99	633.73	1350.18	825.0	493.56	769.69	813.63	551.56	769.69	1467.37	713.11	332.14	473.41	177.53	201.25	121.79	171.45	125.24	144.01	237.86	136.19	131.51	221.86	218.79	135.24	107.38	231.32	237.86	197.09	231.32	366.09	303.44	221.86	85.22	295.11	0.48
PTPN12	1008.9	1277.29	1819.35	921.88	708.18	1923.14	780.44	738.29	665.29	1427.22	896.64	1088.92	981.29	890.44	836.53	1183.45	1242.34	1088.92	1313.23	1388.16	802.41	1167.14	417.77	902.89	753.83	1963.57	915.51	860.08	769.69	1119.56	947.83	2209.26	1369.04	718.08	1286.18	988.12	1015.93	3928.15	1216.75	1225.22	1359.57	1066.48	647.07	1183.45	2240.11	1331.57	854.13	872.1	518.15	414.87	267.73	260.38	327.56	301.33	423.61	303.44	403.5	356.05	149.12	231.32	267.73	575.03	348.71	105.15	371.22	334.46	232.94	414.87	289.02	384.34	134.3
PUM2	1508.65	1216.75	1407.55	802.41	1051.79	1540.37	974.5	1487.87	854.13	1561.89	1651.0	1066.48	1119.56	866.07	1216.75	928.3	1088.92	791.35	1104.13	1508.65	825.0	1119.56	785.88	1127.35	1037.29	1857.6	808.0	974.5	796.86	1457.23	909.17	1250.98	718.08	974.5	1159.07	825.0	1477.58	1651.0	1159.07	902.89	954.43	764.36	633.73	1487.87	2004.85	1051.79	808.0	961.07	493.56	563.18	343.89	381.68	291.04	417.77	412.0	285.03	406.31	420.68	336.79	307.69	244.57	490.14	435.55	291.04	373.81	583.07	351.14	514.56	387.02	450.94	0.65
PURB	444.72	309.83	470.14	316.37	358.54	759.08	285.03	217.27	256.78	371.22	406.31	409.15	293.07	255.0	371.22	191.67	417.77	295.11	389.72	406.31	242.88	473.41	327.56	224.97	366.09	463.65	291.04	325.29	397.93	371.22	460.44	599.49	253.23	251.48	353.59	320.8	358.54	348.71	420.68	432.53	305.55	215.77	220.32	371.22	571.05	312.0	159.9	255.0	152.28	101.54	85.82	71.5	85.82	75.11	100.83	57.49	93.35	97.36	64.8	76.71	100.83	85.22	102.25	37.32	57.08	80.57	92.7	77.25	92.7	78.89	0.57
RDH14	780.44	669.92	974.5	417.77	848.22	607.87	575.03	1183.45	854.13	1008.9	1359.57	1037.29	629.35	808.0	825.0	1023.0	921.88	703.28	603.67	703.28	733.19	1023.0	1242.34	703.28	616.37	1191.69	791.35	759.08	486.75	633.73	921.88	575.03	713.11	872.1	1001.93	460.44	995.0	2335.28	1277.29	381.68	878.17	575.03	928.3	1096.5	1199.98	1225.22	764.36	860.08	438.59	624.99	309.83	493.56	346.29	493.56	460.44	543.96	463.65	414.87	463.65	400.71	279.14	579.04	620.67	339.14	638.15	435.55	450.94	775.05	460.44	420.68	0.6
RELL1	490.14	305.55	684.02	229.72	107.38	1151.06	56.68	49.21	1001.93	195.72	295.11	327.56	291.04	397.93	291.04	246.28	164.42	62.12	351.14	376.41	208.38	237.86	371.22	638.15	134.3	529.06	169.07	307.69	320.8	444.72	190.34	387.02	187.71	78.34	159.9	1359.57	281.09	713.11	226.54	228.13	172.65	201.25	43.32	204.07	620.67	271.48	108.14	104.42	38.12	31.9	37.05	11.3	20.71	14.67	34.75	22.59	43.02	23.93	16.39	18.97	12.45	34.26	19.82	14.56	31.9	63.89	33.06	26.1	40.07	50.63	0.29
RTTN	136.19	141.02	215.77	273.37	155.5	151.22	134.3	185.11	83.45	185.11	128.79	132.44	127.0	199.85	130.6	41.52	115.97	112.77	151.22	205.5	166.73	205.5	80.01	105.15	154.42	177.53	187.71	114.36	177.53	124.37	92.05	88.88	155.5	77.25	88.26	92.05	106.63	543.96	72.01	69.03	136.19	158.79	253.23	262.2	209.84	93.35	96.01	164.42	66.65	47.17	50.27	78.34	104.42	57.89	67.59	39.5	44.89	63.45	53.95	80.01	43.02	73.54	82.87	110.43	89.51	121.79	90.77	120.94	91.41	122.64	0.55
SIAH1	343.89	435.55	988.12	466.88	211.31	348.71	651.58	255.0	435.55	607.87	371.22	1167.14	559.28	480.04	312.0	267.73	346.29	314.17	536.45	612.11	329.84	688.78	351.14	1183.45	325.29	540.19	444.72	497.0	500.46	551.56	351.14	325.29	426.57	260.38	490.14	285.03	693.58	1322.37	312.0	285.03	536.45	271.48	444.72	825.0	301.33	624.99	205.5	289.02	341.51	371.22	206.94	281.09	265.87	262.2	224.97	226.54	325.29	457.25	303.44	145.02	195.72	373.81	251.48	197.09	209.84	249.73	205.5	265.87	208.38	189.02	0.59
SLC12A2	325.29	1151.06	2104.58	218.79	825.0	486.75	223.41	108.9	246.28	346.29	503.95	201.25	363.56	4181.07	587.13	309.83	688.78	909.17	1322.37	753.83	305.55	279.14	167.9	1709.26	420.68	928.3	86.43	1781.89	251.48	361.04	287.01	607.87	295.11	967.76	438.59	339.14	587.13	2956.17	1295.13	708.18	860.08	915.51	115.97	301.33	802.41	848.22	1572.76	384.34	55.89	110.43	51.71	31.22	34.51	159.9	356.05	189.02	74.58	15.0	45.21	82.87	61.68	68.55	57.49	25.54	73.54	116.78	65.26	69.52	51.35	89.51	447.82
SLC4A8	403.5	381.68	486.75	353.59	48.52	780.44	151.22	166.73	80.57	83.45	172.65	457.25	228.13	115.97	1447.15	10.08	206.94	27.84	256.78	101.54	239.52	220.32	76.17	674.59	215.77	403.5	54.72	234.57	351.14	529.06	151.22	198.47	199.85	140.04	915.51	21.63	126.12	454.09	159.9	149.12	53.19	112.77	112.77	309.83	376.41	123.5	24.99	41.22	9.13	4.1	5.06	0.0	1.85	0.48	5.36	0.51	2.92	1.97	2.63	1.36	0.0	8.06	4.66	6.73	1.75	4.1	5.82	1.85	3.23	2.81	0.25
SOCS6	351.14	336.79	358.54	412.0	265.87	490.14	80.01	256.78	256.78	389.72	239.52	329.84	217.27	414.87	988.12	102.25	297.17	297.17	320.8	373.81	277.2	379.04	223.41	341.51	563.18	688.78	529.06	392.44	521.76	473.41	287.01	231.32	236.21	152.28	223.41	307.69	363.56	1721.16	195.72	212.78	199.85	269.6	332.14	647.07	603.67	183.82	201.25	260.38	150.17	171.45	126.12	141.02	117.6	152.28	137.14	92.05	156.59	144.01	158.79	92.05	80.57	150.17	94.01	180.02	221.86	289.02	157.68	256.78	563.18	208.38	0.2
SOS1	273.37	323.03	389.72	88.26	172.65	334.46	163.28	163.28	119.26	599.49	368.65	224.97	232.94	130.6	265.87	204.07	171.45	165.57	212.78	395.18	194.36	273.37	199.85	273.37	231.32	460.44	172.65	220.32	156.59	229.72	223.41	583.07	162.14	189.02	343.89	150.17	376.41	981.29	327.56	133.36	157.68	137.14	143.01	241.19	518.15	325.29	156.59	195.72	94.01	134.3	99.43	88.26	80.01	99.43	126.12	76.17	95.34	122.64	65.26	70.51	55.49	163.28	99.43	59.13	84.04	135.24	89.51	139.07	155.5	132.44	51.71
ST6GALNAC2	511.0	514.56	3018.3	1923.14	759.08	624.99	941.27	620.67	412.0	454.09	669.92	1304.15	2976.74	476.71	591.22	1844.76	536.45	353.59	2163.77	2032.85	1909.85	1030.12	341.51	2935.74	81.71	1639.59	258.57	559.28	420.68	1508.65	1135.2	575.03	1159.07	1397.83	429.54	48.18	2520.38	4836.35	723.08	2816.11	854.13	967.76	102.25	2816.11	567.1	536.45	555.41	387.02	59.55	19.39	58.71	21.01	56.28	62.12	45.21	57.08	42.41	42.71	57.49	120.1	10.31	48.87	60.82	45.21	34.26	209.84	38.67	66.18	20.71	14.56	0.53
STAG2	974.5	934.76	1008.9	674.59	616.37	1651.0	507.46	540.19	583.07	1313.23	1143.1	830.75	813.63	633.73	1159.07	1066.48	896.64	555.41	836.53	1350.18	651.58	915.51	693.58	848.22	665.29	934.76	703.28	1015.93	1088.92	1304.15	665.29	1467.37	473.41	647.07	633.73	785.88	830.75	1066.48	819.3	769.69	808.0	555.41	571.05	688.78	1467.37	819.3	351.14	587.13	454.09	215.77	198.47	187.71	211.31	189.02	212.78	130.6	325.29	177.53	269.6	143.01	152.28	358.54	299.25	94.67	291.04	460.44	161.02	353.59	454.09	303.44	358.54
STK32B	9.85	224.97	503.95	109.66	62.56	108.14	88.26	12.09	334.46	36.27	7.75	995.0	29.06	293.07	346.29	7.4	88.88	63.89	392.44	248.0	130.6	13.42	16.15	753.83	27.84	283.05	57.89	30.78	9.85	170.25	84.63	260.38	51.35	5.5	44.57	297.17	35.25	563.18	232.94	325.29	8.71	389.72	41.52	346.29	68.55	40.07	39.22	38.4	6.94	2.56	1.69	0.96	4.94	6.11	4.62	1.2	1.53	2.16	3.06	1.97	0.95	7.17	5.28	1.79	0.21	1.3	0.27	4.46	0.32	2.32	0.31
TBC1D12	493.56	223.41	346.29	211.31	120.94	153.34	189.02	119.26	234.57	142.01	480.04	486.75	236.21	197.09	289.02	65.72	108.14	195.72	275.28	151.22	242.88	112.77	150.17	190.34	226.54	189.02	81.71	146.03	171.45	303.44	177.53	287.01	358.54	92.7	159.9	116.78	125.24	629.35	171.45	220.32	123.5	191.67	94.01	253.23	351.14	253.23	156.59	105.89	144.01	94.01	51.35	104.42	103.69	86.43	55.1	50.63	63.89	63.45	52.82	49.21	65.26	186.4	105.89	20.86	52.82	56.28	70.01	71.5	45.53	63.0	0.53
THOC2	1175.27	836.53	1030.12	988.12	703.28	1977.24	854.13	620.67	555.41	988.12	660.68	941.27	854.13	941.27	928.3	1111.82	1127.35	713.11	1081.39	1388.16	796.86	842.36	728.11	603.67	860.08	1183.45	813.63	1313.23	1242.34	633.73	825.0	1073.91	759.08	579.04	780.44	1191.69	1159.07	3257.52	536.45	1001.93	988.12	842.36	723.08	819.3	819.3	1561.89	587.13	785.88	733.19	497.0	327.56	409.15	583.07	387.02	412.0	293.07	514.56	389.72	463.65	293.07	301.33	638.15	483.38	76.71	239.52	218.79	293.07	297.17	224.97	265.87	0.88
TRAK1	435.55	698.41	587.13	435.55	403.5	961.07	346.29	928.3	684.02	392.44	679.29	366.09	941.27	435.55	884.29	616.37	457.25	532.74	356.05	703.28	486.75	836.53	698.41	579.04	518.15	1088.92	303.44	642.59	476.71	753.83	713.11	748.61	642.59	409.15	460.44	356.05	547.75	2119.22	275.28	708.18	567.1	297.17	267.73	703.28	708.18	511.0	674.59	507.46	195.72	195.72	140.04	149.12	124.37	166.73	172.65	107.38	166.73	139.07	135.24	141.02	110.43	197.09	167.9	217.27	158.79	122.64	122.64	157.68	159.9	133.36	94.67
TRIM62	118.43	209.84	111.21	109.66	277.2	175.07	120.94	146.03	251.48	171.45	88.88	215.77	145.02	205.5	143.01	164.42	166.73	157.68	105.89	217.27	97.36	193.01	253.23	162.14	70.01	129.69	132.44	197.09	228.13	183.82	109.66	90.77	223.41	119.26	163.28	221.86	287.01	575.03	154.42	190.34	183.82	312.0	130.6	88.88	185.11	197.09	102.97	111.21	44.25	53.95	41.81	39.79	30.78	47.17	35.25	29.27	33.3	27.25	21.63	40.64	39.79	47.84	36.79	17.13	24.28	36.79	35.76	18.56	29.27	31.45	0.47
UNC119B	435.55	289.02	122.64	218.79	92.7	616.37	146.03	187.71	764.36	211.31	283.05	301.33	137.14	665.29	813.63	71.5	395.18	348.71	376.41	295.11	109.66	269.6	529.06	204.07	400.71	334.46	255.0	256.78	412.0	486.75	198.47	444.72	287.01	115.97	480.04	223.41	114.36	651.58	241.19	669.92	327.56	264.03	157.68	156.59	571.05	81.14	287.01	134.3	194.36	80.57	91.41	119.26	135.24	190.34	150.17	218.79	63.89	57.89	52.82	78.89	147.06	129.69	68.07	37.32	102.25	35.25	69.03	69.03	39.79	64.34	0.44
USP46	441.64	267.73	260.38	154.42	91.41	395.18	152.28	193.01	264.03	341.51	387.02	167.9	346.29	191.67	379.04	166.73	260.38	144.01	234.57	325.29	152.28	277.2	221.86	267.73	271.48	647.07	236.21	221.86	170.25	237.86	267.73	591.22	166.73	214.27	511.0	318.57	211.31	341.51	429.54	258.57	191.67	356.05	133.36	295.11	669.92	373.81	202.66	143.01	60.82	51.35	36.27	27.64	39.79	39.22	75.11	34.51	38.67	47.84	36.79	27.84	34.51	72.01	25.54	21.32	53.19	70.51	47.84	42.11	37.59	46.18	0.32
VN1R1	13.03	16.51	15.91	10.16	20.56	2.29	63.89	14.35	12.74	19.82	4.17	21.47	6.21	1.97	25.72	21.16	6.57	23.42	33.06	34.51	23.42	26.47	7.46	18.43	9.13	18.84	16.03	11.21	42.41	14.24	19.39	12.83	21.01	7.06	6.11	6.67	15.11	80.01	41.52	76.17	14.45	1.01	5.19	13.72	30.56	9.7	1.58	19.11	3.08	4.24	0.0	1.19	8.38	8.65	0.0	0.0	2.68	2.41	1.68	1.11	1.39	8.99	7.06	0.0	0.0	1.1	1.99	2.48	1.0	2.07	0.38
VPS35	878.17	1697.45	2075.59	1551.09	808.0	961.07	1477.58	656.11	1216.75	2271.4	1104.13	1709.26	1427.22	1950.0	684.02	1015.93	915.51	830.75	1225.22	1674.06	1388.16	1685.71	660.68	2855.44	909.17	1111.82	1551.09	1183.45	1529.73	1628.26	961.07	1551.09	620.67	1467.37	1199.98	896.64	1457.23	3665.02	884.29	1167.14	1081.39	961.07	1359.57	1437.15	1051.79	1769.57	497.0	1208.34	397.93	563.18	303.44	265.87	341.51	395.18	507.46	341.51	289.02	547.75	255.0	258.57	392.44	447.82	170.25	277.2	595.34	688.78	429.54	493.56	406.31	532.74	18560.17
WAPAL	928.3	511.0	651.58	559.28	547.75	698.41	529.06	507.46	457.25	633.73	872.1	688.78	638.15	555.41	656.11	480.04	441.64	713.11	507.46	674.59	473.41	769.69	718.08	525.39	674.59	447.82	587.13	607.87	463.65	684.02	579.04	928.3	595.34	279.14	409.15	575.03	660.68	1277.29	866.07	353.59	460.44	476.71	688.78	759.08	884.29	595.34	441.64	483.38	373.81	327.56	395.18	343.89	309.83	329.84	438.59	329.84	429.54	348.71	285.03	327.56	387.02	376.41	332.14	152.28	441.64	316.37	255.0	327.56	450.94	242.88	457.25
YTHDC1	1769.57	1191.69	1216.75	1073.91	743.43	1151.06	1175.27	1023.0	854.13	1508.65	1350.18	1151.06	1259.69	1111.82	1359.57	1081.39	1447.15	896.64	1340.84	1417.35	813.63	1250.98	1059.11	1225.22	1066.48	1277.29	961.07	1259.69	967.76	1059.11	1073.91	1519.15	1088.92	909.17	1167.14	1397.83	1617.0	1388.16	947.83	941.27	1427.22	1088.92	890.44	934.76	1551.09	1304.15	1088.92	988.12	432.53	395.18	371.22	392.44	329.84	334.46	460.44	314.17	346.29	384.34	269.6	234.57	316.37	450.94	414.87	269.6	303.44	543.96	400.71	457.25	647.07	441.64	136.19
ZBTB6	135.24	142.01	204.07	149.12	123.5	234.57	108.14	137.14	136.19	293.07	208.38	124.37	159.9	98.73	158.79	93.35	134.3	144.01	228.13	175.07	107.38	246.28	114.36	170.25	133.36	366.09	119.26	236.21	154.42	221.86	111.99	260.38	158.79	131.51	156.59	194.36	156.59	231.32	169.07	194.36	198.47	109.66	202.66	353.59	217.27	137.14	106.63	67.59	57.49	40.07	31.9	36.01	27.64	31.22	41.22	27.44	32.13	48.87	37.59	23.76	17.51	53.95	37.85	28.45	37.59	42.11	36.27	47.84	28.86	36.01	0.0
ZDHHC17	409.15	305.55	273.37	202.66	208.38	258.57	208.38	137.14	181.28	507.46	323.03	283.05	285.03	169.07	303.44	176.29	209.84	150.17	285.03	438.59	173.85	363.56	204.07	228.13	241.19	414.87	373.81	180.02	265.87	242.88	217.27	466.88	262.2	156.59	285.03	212.78	283.05	503.95	283.05	204.07	237.86	241.19	264.03	248.0	318.57	262.2	163.28	255.0	118.43	66.18	74.06	94.67	70.01	75.11	104.42	53.57	64.34	76.17	41.22	46.5	44.25	145.02	131.51	34.02	45.85	113.56	66.18	105.15	121.79	61.25	0.72
ZKSCAN8	217.27	248.0	273.37	157.68	129.69	283.05	271.48	132.44	142.01	293.07	376.41	169.07	156.59	159.9	283.05	138.1	171.45	135.24	273.37	218.79	148.09	231.32	96.68	121.79	185.11	175.07	180.02	186.4	221.86	255.0	162.14	395.18	120.1	212.78	72.52	109.66	183.82	473.41	176.29	105.15	152.28	154.42	115.16	256.78	323.03	234.57	140.04	152.28	67.12	82.29	46.84	52.08	40.07	52.45	58.3	33.78	54.72	63.0	30.34	59.97	40.07	75.11	86.43	24.63	23.42	61.68	65.26	93.35	38.67	51.35	0.49
ZNF430	103.69	111.99	170.25	100.13	99.43	139.07	58.71	73.54	88.26	217.27	98.04	201.25	98.73	87.03	95.34	47.17	134.3	84.63	122.64	198.47	98.04	143.01	55.89	167.9	80.01	186.4	70.51	72.01	180.02	136.19	114.36	202.66	102.97	88.26	76.17	87.65	129.69	136.19	68.55	85.22	103.69	85.22	90.77	138.1	142.01	74.58	56.68	84.63	21.94	27.44	5.06	7.17	8.13	4.1	18.84	3.5	3.79	6.89	3.14	7.88	5.73	14.89	3.72	1.2	7.63	6.84	1.87	13.72	9.85	11.91	0.4
ZNF431	181.28	346.29	351.14	163.28	212.78	258.57	146.03	194.36	152.28	441.64	214.27	237.86	180.02	122.64	153.34	92.05	141.02	127.89	239.52	361.04	220.32	194.36	86.43	171.45	199.85	264.03	186.4	121.79	258.57	248.0	229.72	426.57	211.31	132.44	142.01	131.51	180.02	483.38	111.99	123.5	154.42	194.36	98.73	309.83	323.03	134.3	111.21	169.07	34.75	13.62	9.13	15.68	31.22	24.99	52.08	10.79	21.47	11.47	9.06	18.97	39.79	43.94	18.56	5.15	5.02	6.16	13.72	37.85	5.28	31.45	0.78
ZNF510	111.99	134.3	195.72	96.68	116.78	149.12	118.43	90.77	145.02	217.27	154.42	165.57	153.34	92.7	150.17	72.01	127.89	85.22	172.65	146.03	109.66	221.86	77.79	139.07	105.15	180.02	126.12	131.51	108.9	164.42	81.71	180.02	93.35	75.11	109.66	97.36	121.79	177.53	105.15	163.28	167.9	73.03	152.28	52.45	212.78	94.01	58.71	89.51	43.94	40.07	16.27	24.81	29.91	26.86	42.41	19.82	35.0	21.94	18.84	27.64	16.39	53.19	40.07	12.83	15.56	52.82	43.63	24.99	52.45	45.85	0.16
ZNF525	220.32	211.31	312.0	209.84	164.42	262.2	503.95	148.09	136.19	295.11	299.25	176.29	373.81	138.1	236.21	165.57	279.14	217.27	493.56	441.64	185.11	329.84	76.71	346.29	189.02	466.88	193.01	173.85	366.09	221.86	246.28	406.31	248.0	130.6	438.59	215.77	234.57	514.56	201.25	361.04	356.05	289.02	166.73	177.53	438.59	148.09	144.01	162.14	21.16	44.57	7.06	6.41	57.89	4.9	40.07	6.57	8.19	9.34	15.0	15.0	10.16	37.85	32.13	7.0	3.2	7.11	18.16	11.73	5.45	16.51	0.55
ZNF609	348.71	638.15	444.72	291.04	318.57	866.07	275.28	353.59	307.69	599.49	457.25	392.44	435.55	249.73	361.04	312.0	256.78	197.09	339.14	441.64	353.59	400.71	356.05	414.87	291.04	532.74	325.29	285.03	463.65	353.59	190.34	521.76	197.09	265.87	283.05	246.28	312.0	543.96	303.44	397.93	400.71	275.28	150.17	351.14	607.87	287.01	164.42	175.07	98.04	94.67	96.01	78.34	55.49	89.51	98.73	49.56	78.89	84.63	68.07	74.58	41.22	102.25	98.04	75.64	40.64	157.68	92.05	138.1	104.42	127.89	48.18
ZNHIT6	454.09	275.28	423.61	183.82	283.05	529.06	249.73	172.65	264.03	358.54	323.03	616.37	218.79	305.55	199.85	229.72	336.79	242.88	309.83	246.28	204.07	314.17	253.23	915.51	241.19	423.61	323.03	312.0	341.51	287.01	273.37	796.86	320.8	279.14	248.0	366.09	242.88	1457.23	220.32	199.85	281.09	426.57	295.11	195.72	934.76	279.14	140.04	237.86	111.99	131.51	54.72	84.63	81.71	119.26	109.66	62.12	62.12	101.54	59.55	75.64	187.71	116.78	61.68	53.57	90.14	55.1	81.71	90.14	116.78	50.98	0.36
ZXDA	70.01	59.97	78.34	33.54	34.75	124.37	35.0	35.0	56.28	75.11	78.89	84.63	39.22	43.32	61.25	22.1	34.51	34.51	51.71	57.49	48.52	56.28	59.55	69.03	52.82	112.77	38.95	71.0	88.26	60.39	42.11	108.9	50.98	54.72	60.39	42.71	64.34	81.71	49.21	50.98	47.5	44.57	31.0	92.05	108.14	83.45	43.32	40.07	15.45	15.22	10.0	9.41	15.8	16.03	12.27	8.13	14.56	15.91	8.25	11.64	6.62	26.47	15.0	14.35	8.38	32.13	15.22	27.84	27.84	26.47	0.02
