	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.KC.A7FD.01A.11R.A33R.07	TCGA.VP.A87J.01A.11R.A352.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.KK.A8ID.01A.11R.A36G.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.7794.01A.11R.2118.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.VP.A879.01A.11R.A352.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.HC.7738.01A.11R.2118.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.YL.A8HL.01A.11R.A36G.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.J4.A83I.01A.11R.A36G.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.CH.5794.01A.11R.1580.07	TCGA.KK.A8II.01A.11R.A36G.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.2A.A8VV.01A.11R.A37L.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.EJ.5504.01A.01R.1580.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.A76X.01A.11R.A33R.07	TCGA.EJ.7123.01A.11R.1965.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.KK.A6E1.01A.11R.A311.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.CH.5741.01A.11R.1580.07	TCGA.KK.A59Y.01A.11R.A26U.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.EJ.5511.01A.01R.1580.07	TCGA.EJ.5519.01A.01R.1580.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.7740.01A.11R.2118.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.EJ.5502.01A.01R.1580.07	TCGA.KK.A7AP.01A.12R.A33R.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.M7.A725.01A.12R.A32O.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7797.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7331.11A.01R.2118.07
FAXDC2	0.0	0.46	363.56	73.03	318.57	48.18	63.89	493.56	45.21	23.42	432.53	309.83	460.44	291.04	285.03	255.0	201.25	189.02	165.57	231.32	73.03	329.84	397.93	819.3	87.65	215.77	111.99	51.35	84.63	177.53	67.59	95.34	132.44	172.65	314.17	9.34	186.4	320.8	182.55	35.0	185.11	198.47	144.01	297.17	660.68	221.86	36.53	81.14	239.52	140.04	234.57	392.44	297.17	147.06	218.79	112.77	293.07	73.54	43.32	130.6	91.41	189.02	121.79	54.33	31.45	620.67	93.35	242.88	86.43	144.01	88.88	84.04	289.02	215.77	183.82	273.37	111.99	116.78	193.01	733.19	49.91	69.52	189.02	583.07	351.14	69.03	111.21	58.3	162.14	460.44	612.11	854.13	802.41	848.22	412.0	941.27	426.57	490.14	1015.93
FGF2	0.0	0.32	113.56	8.13	44.89	39.79	17.9	77.25	10.08	9.27	82.87	44.25	84.63	37.85	47.5	77.79	3.96	45.21	33.3	59.55	24.28	76.17	92.05	89.51	14.14	36.53	24.11	23.59	15.91	31.67	34.75	25.17	25.54	17.77	103.69	2.71	24.11	60.39	34.75	9.48	51.35	62.12	17.38	127.89	128.79	53.57	11.73	15.45	22.26	44.25	46.84	62.56	74.06	23.25	30.78	29.7	66.18	10.31	8.06	18.03	18.97	30.78	21.16	18.43	6.84	114.36	19.68	61.68	17.51	26.47	7.63	12.0	73.54	50.27	35.76	41.52	14.45	35.5	35.5	117.6	2.29	26.28	43.94	115.16	72.01	6.26	18.43	12.09	18.7	120.1	72.01	130.6	81.14	128.79	84.04	197.09	101.54	42.41	193.01
FOXF1	0.0	0.46	463.65	53.19	392.44	56.28	57.89	397.93	60.39	21.94	336.79	253.23	454.09	295.11	480.04	285.03	33.78	463.65	224.97	285.03	87.65	529.06	579.04	518.15	38.4	162.14	105.15	140.04	76.71	171.45	299.25	115.16	157.68	214.27	332.14	22.26	258.57	312.0	113.56	53.19	249.73	155.5	80.01	299.25	708.18	223.41	18.43	97.36	279.14	264.03	299.25	351.14	406.31	115.16	153.34	101.54	234.57	91.41	31.45	62.56	152.28	191.67	96.01	57.89	41.52	532.74	110.43	253.23	77.25	190.34	57.08	96.68	291.04	186.4	151.22	246.28	115.97	293.07	98.04	651.58	18.7	80.57	301.33	346.29	379.04	45.85	108.14	43.32	249.73	460.44	318.57	457.25	525.39	698.41	305.55	961.07	583.07	264.03	723.08
FOXF2	0.0	0.64	285.03	40.64	19.82	3.63	25.35	329.84	22.26	10.39	115.97	31.45	56.68	100.83	31.22	332.14	29.7	73.54	190.34	76.71	71.0	381.68	147.06	307.69	9.78	17.13	11.55	32.13	24.81	64.34	21.78	50.27	65.26	34.02	180.02	11.21	126.12	83.45	15.0	11.64	205.5	34.26	60.39	232.94	476.71	31.0	1.2	27.44	22.59	100.83	267.73	86.43	133.36	94.01	68.07	22.59	149.12	13.72	21.16	10.0	11.47	82.29	89.51	3.06	14.67	358.54	24.11	220.32	29.7	9.63	50.98	42.71	273.37	113.56	29.7	151.22	32.59	22.92	15.34	299.25	13.42	36.01	212.78	43.02	279.14	15.91	15.91	24.11	21.01	177.53	148.09	368.65	9.93	133.36	303.44	397.93	540.19	164.42	395.18
FZD7	0.0	0.41	392.44	29.27	334.46	102.97	97.36	490.14	64.34	27.64	438.59	312.0	447.82	327.56	395.18	435.55	38.4	242.88	198.47	358.54	129.69	400.71	381.68	571.05	81.71	150.17	175.07	55.89	142.01	229.72	199.85	127.0	155.5	163.28	406.31	29.48	186.4	262.2	150.17	44.25	178.77	228.13	205.5	351.14	674.59	346.29	36.79	217.27	329.84	208.38	341.51	314.17	309.83	175.07	157.68	124.37	256.78	63.89	49.21	65.26	93.35	241.19	149.12	75.11	74.58	543.96	91.41	305.55	132.44	111.99	115.97	73.03	309.83	291.04	125.24	258.57	135.24	264.03	176.29	642.59	44.57	117.6	279.14	435.55	432.53	84.04	75.11	166.73	205.5	316.37	432.53	583.07	503.95	620.67	366.09	775.05	403.5	256.78	791.35
GPRASP1	0.0	0.31	195.72	31.45	145.02	41.81	41.52	194.36	30.56	21.78	232.94	132.44	277.2	209.84	98.73	159.9	23.42	133.36	94.01	165.57	48.18	199.85	204.07	212.78	52.08	84.63	60.39	39.22	55.89	56.28	109.66	62.12	79.45	65.26	134.3	17.0	59.13	146.03	55.1	52.82	101.54	62.56	42.41	135.24	303.44	165.57	30.12	39.22	141.02	118.43	139.07	165.57	130.6	54.72	57.49	60.82	103.69	36.79	27.25	39.5	44.25	127.0	83.45	36.27	20.71	231.32	72.01	124.37	48.52	72.01	47.5	26.67	144.01	126.12	76.71	113.56	87.65	60.39	90.14	221.86	52.82	88.26	94.01	320.8	173.85	58.3	96.68	25.91	77.25	223.41	409.15	253.23	206.94	309.83	301.33	301.33	400.71	105.89	299.25
HOXD12	0.0	0.0	14.03	2.58	2.12	0.8	0.22	15.45	0.56	0.0	4.46	5.73	6.41	4.13	3.03	8.51	0.0	2.2	3.23	1.2	1.48	15.34	18.56	13.22	2.32	2.2	1.83	0.62	0.23	0.55	0.54	0.0	1.46	1.5	5.92	0.21	4.82	7.22	2.16	0.49	7.46	2.86	3.0	5.23	26.67	1.5	0.0	1.08	2.16	1.19	12.93	11.64	10.31	3.41	1.53	0.55	11.55	0.0	0.0	1.51	1.36	4.1	2.78	0.0	0.0	11.91	2.97	6.31	0.55	0.55	0.23	3.17	11.04	2.73	3.96	6.62	2.36	2.2	0.88	9.7	2.36	0.26	2.81	7.28	18.43	1.16	0.55	0.8	0.25	27.44	16.15	32.13	8.71	13.12	10.88	31.45	25.35	9.13	37.59
HOXD13	0.0	0.0	156.59	20.86	74.58	14.45	3.29	126.12	11.82	0.89	100.13	105.89	85.22	164.42	68.07	98.04	22.1	35.5	60.39	32.13	10.0	125.24	175.07	339.14	24.63	27.25	17.13	4.28	24.63	39.79	12.36	23.76	41.22	40.64	145.02	2.2	111.99	78.89	38.95	16.15	80.01	22.92	50.98	98.73	206.94	39.22	2.32	6.84	41.52	34.75	127.0	120.94	82.29	35.25	29.7	14.35	95.34	27.25	1.41	43.94	21.94	70.01	37.05	4.46	6.11	185.11	34.75	65.72	39.5	18.16	8.85	24.99	100.13	61.25	37.59	69.52	43.94	36.53	31.9	297.17	23.42	19.11	54.72	232.94	157.68	18.16	36.79	15.34	45.53	358.54	305.55	406.31	209.84	194.36	226.54	387.02	309.83	231.32	441.64
IL33	0.0	0.21	457.25	78.34	314.17	94.01	102.25	356.05	66.65	29.91	460.44	165.57	358.54	303.44	271.48	287.01	26.28	180.02	199.85	327.56	124.37	435.55	500.46	325.29	84.63	128.79	107.38	155.5	85.22	156.59	209.84	186.4	146.03	147.06	591.22	17.25	96.01	277.2	164.42	52.08	447.82	205.5	105.15	693.58	854.13	346.29	39.5	103.69	158.79	285.03	175.07	202.66	373.81	126.12	139.07	161.02	379.04	48.18	64.34	186.4	166.73	173.85	153.34	118.43	31.67	532.74	118.43	244.57	72.52	126.12	40.36	67.59	368.65	246.28	221.86	275.28	102.25	129.69	215.77	500.46	32.59	159.9	205.5	579.04	503.95	45.21	164.42	63.0	120.94	733.19	314.17	941.27	339.14	490.14	532.74	928.3	514.56	299.25	1015.93
ISCU	0.0	0.93	2816.11	2796.65	3235.01	1832.01	2915.45	2976.74	2468.49	2502.97	2701.35	3395.89	2976.74	2720.15	3081.75	2645.74	2178.83	2609.3	2555.58	2777.33	2627.46	3874.05	4066.71	3564.78	2417.67	2451.44	1685.71	4239.45	1208.34	2287.2	2573.36	3491.39	2573.36	2287.2	3372.43	1561.89	3280.18	2609.3	1883.54	1709.26	3467.27	2163.77	3168.41	2835.7	3325.99	1909.85	2240.11	1909.85	2573.36	5147.73	2664.15	2591.27	3540.14	1709.26	2271.4	2209.26	2720.15	1794.29	1662.49	2664.15	2573.36	2701.35	2367.9	1487.87	3257.52	3349.13	2485.67	2104.58	2335.28	2148.82	1685.71	2417.67	3124.78	2682.69	3372.43	2758.13	2855.44	2855.44	2303.12	3190.46	1757.34	2855.44	4298.64	3018.3	2796.65	2935.74	2417.67	1583.71	2468.49	3820.7	3820.7	5112.16	3982.99	3395.89	3768.09	3589.58	4358.66	3589.58	4123.49
ITGA9	0.0	0.34	206.94	27.25	93.35	18.56	42.11	214.27	40.93	18.03	149.12	66.65	171.45	116.78	53.19	158.79	15.91	68.55	114.36	98.04	39.79	211.31	166.73	248.0	21.47	53.95	25.72	51.35	45.85	72.52	67.12	56.68	43.32	62.12	186.4	15.34	46.5	123.5	48.87	18.56	105.89	101.54	40.07	197.09	262.2	86.43	10.63	27.84	100.13	102.25	87.65	109.66	106.63	57.08	73.54	35.76	109.66	28.86	19.39	24.81	23.93	68.07	55.89	18.84	22.1	334.46	45.53	180.02	45.21	47.84	28.65	24.63	173.85	113.56	92.05	114.36	39.22	36.53	54.33	351.14	13.12	145.02	94.01	191.67	199.85	18.56	43.02	18.56	32.59	190.34	208.38	204.07	166.73	267.73	248.0	463.65	260.38	112.77	318.57
JAKMIP2	0.0	0.12	7.69	6.57	4.86	0.84	4.24	12.0	4.5	1.16	8.65	2.66	2.43	9.06	4.1	4.21	1.55	2.81	4.74	3.5	2.68	13.52	6.94	3.72	3.96	8.32	3.86	2.2	3.66	1.6	3.32	2.32	1.58	4.17	14.56	0.48	3.35	11.82	2.76	1.81	7.63	2.05	3.38	8.13	15.0	7.69	0.85	1.51	2.39	9.93	1.6	2.01	15.56	1.99	9.34	2.68	8.45	1.46	3.72	1.64	2.84	3.89	2.39	1.58	0.0	10.47	4.39	11.47	2.32	3.0	1.58	4.94	6.57	4.86	7.63	11.82	5.45	2.43	3.82	18.29	1.43	0.91	3.89	16.15	6.89	1.58	1.23	1.51	2.01	9.7	3.14	23.93	4.82	3.08	4.62	21.94	10.24	8.45	23.76
JAM3	0.0	0.62	669.92	269.6	493.56	105.15	197.09	902.89	113.56	441.64	536.45	426.57	708.18	713.11	748.61	769.69	86.43	525.39	974.5	1151.06	591.22	1081.39	540.19	995.0	89.51	291.04	120.1	426.57	119.26	457.25	389.72	656.11	183.82	208.38	684.02	84.04	743.43	563.18	164.42	105.15	476.71	358.54	493.56	463.65	896.64	486.75	77.25	120.94	400.71	373.81	764.36	511.0	612.11	220.32	379.04	187.71	872.1	87.65	56.68	92.05	134.3	269.6	195.72	147.06	105.89	679.29	157.68	351.14	438.59	351.14	103.69	110.43	769.69	361.04	242.88	525.39	158.79	363.56	457.25	1081.39	81.71	155.5	1059.11	713.11	595.34	140.04	253.23	99.43	229.72	583.07	1030.12	830.75	854.13	1457.23	947.83	1030.12	1199.98	791.35	1104.13
JAZF1	0.0	0.47	423.61	57.89	197.09	44.25	75.64	373.81	70.51	28.86	260.38	214.27	353.59	229.72	217.27	320.8	37.85	187.71	183.82	239.52	115.16	389.72	346.29	525.39	72.52	148.09	76.17	79.45	149.12	157.68	99.43	107.38	104.42	77.79	532.74	16.88	125.24	249.73	106.63	64.34	181.28	198.47	88.88	316.37	575.03	141.02	17.25	96.01	153.34	152.28	231.32	242.88	265.87	132.44	116.78	76.71	215.77	114.36	23.25	59.13	71.0	109.66	100.83	57.49	72.01	486.75	80.01	271.48	60.82	132.44	45.85	76.71	325.29	159.9	141.02	228.13	73.03	117.6	138.1	518.15	38.12	97.36	325.29	339.14	248.0	56.68	59.97	55.89	92.7	341.51	358.54	698.41	514.56	607.87	403.5	723.08	500.46	295.11	967.76
KANK2	854.13	153.34	2720.15	387.02	1896.65	412.0	698.41	2451.44	503.95	255.0	2855.44	1781.89	3589.58	1769.57	1963.57	2255.7	242.88	1721.16	1397.83	1923.14	669.92	2739.08	2976.74	3018.3	320.8	1340.84	713.11	514.56	575.03	1216.75	830.75	813.63	981.29	921.88	2193.99	244.57	1322.37	2032.85	1081.39	309.83	1295.13	1709.26	854.13	1870.53	3235.01	1733.13	206.94	764.36	1617.0	1313.23	1457.23	2075.59	1745.2	813.63	1369.04	665.29	1467.37	397.93	423.61	457.25	633.73	1250.98	1008.9	389.72	273.37	3419.52	708.18	1883.54	693.58	1259.69	624.99	532.74	1936.53	2004.85	1135.2	1350.18	616.37	848.22	1259.69	3190.46	309.83	684.02	1427.22	2956.17	2255.7	511.0	669.92	529.06	802.41	2855.44	2255.7	4736.79	3515.68	4358.66	2777.33	5076.84	3060.45	1781.89	5441.3
KCNJ8	0.0	0.37	204.07	41.81	173.85	18.7	42.71	218.79	58.71	15.22	170.25	111.21	323.03	149.12	103.69	155.5	20.86	137.14	79.45	224.97	66.65	150.17	208.38	267.73	35.5	115.16	34.51	37.85	42.71	93.35	68.55	70.01	62.12	74.06	229.72	15.91	131.51	126.12	90.14	18.43	94.01	124.37	83.45	145.02	536.45	172.65	8.25	43.63	162.14	96.01	143.01	152.28	164.42	66.65	80.01	49.91	118.43	39.5	30.78	42.71	76.71	87.65	57.08	41.22	31.9	273.37	45.53	109.66	43.32	103.69	36.53	36.53	165.57	123.5	82.87	119.26	55.89	56.28	73.54	209.84	20.26	79.45	217.27	248.0	121.79	28.24	50.27	38.12	84.63	228.13	206.94	607.87	299.25	361.04	189.02	426.57	251.48	167.9	536.45
KCNMB1	0.0	0.42	314.17	22.1	309.83	51.71	44.57	384.34	22.1	19.68	293.07	289.02	559.28	329.84	277.2	361.04	36.27	234.57	198.47	255.0	57.08	591.22	540.19	769.69	35.76	231.32	31.45	67.12	48.52	205.5	135.24	132.44	77.25	82.29	332.14	3.89	295.11	244.57	126.12	21.47	295.11	366.09	140.04	208.38	483.38	177.53	8.25	40.93	239.52	123.5	281.09	295.11	242.88	115.16	120.94	74.58	152.28	47.5	7.57	21.78	102.97	159.9	115.16	62.56	24.99	366.09	56.68	175.07	90.14	199.85	44.89	63.45	320.8	187.71	105.15	205.5	65.26	129.69	113.56	503.95	16.15	42.41	629.35	454.09	309.83	59.13	55.89	39.5	156.59	327.56	450.94	785.88	780.44	872.1	373.81	764.36	583.07	409.15	830.75
KLK3	0.0	0.0	772940.66	1345768.59	1005860.33	682276.92	751804.53	731246.37	726195.27	1116072.03	593956.43	1212874.47	645473.24	887875.81	1163466.92	1116072.03	373305.21	834179.46	925580.18	649962.87	1063212.58	731246.37	800198.39	1055868.42	906531.99	711250.37	691801.16	1255646.43	602247.76	1187913.85	1093103.58	1139523.1	654483.73	1100706.72	1327240.99	887875.81	1147449.11	585779.24	610654.84	428815.23	978355.0	751804.53	1412675.8	550352.86	726195.27	672883.8	906531.99	919186.72	1238359.56	1327240.99	731246.37	800198.39	1196176.45	619179.28	731246.37	736332.6	985160.01	589853.66	746611.43	736332.6	627822.72	845824.19	696613.03	789181.81	757033.75	627822.72	1063212.58	716197.51	1212874.47	1238359.56	696613.03	985160.01	751804.53	845824.19	721179.07	1048575.0	1345768.59	828417.36	711250.37	585779.24	767601.56	1472666.19	1229805.58	731246.37	517068.97	496005.67	1019901.63	437825.58	938500.81	805764.22	1019901.63	751804.53	925580.18	834179.46	794671.01	546551.29	985160.01	1063212.58	573724.06
LMOD1	0.0	0.49	2417.67	190.34	1617.0	255.0	348.71	2645.74	182.55	115.16	1923.14	1427.22	4010.71	2351.53	1331.57	2758.13	214.27	1313.23	1277.29	1844.76	379.04	3794.3	2835.7	4239.45	208.38	1191.69	211.31	307.69	327.56	1277.29	928.3	884.29	607.87	532.74	2468.49	24.63	1662.49	1617.0	1015.93	146.03	1757.34	2367.9	830.75	1769.57	3540.14	1216.75	32.59	231.32	1277.29	842.36	1605.83	1844.76	1572.76	748.61	825.0	389.72	1135.2	253.23	67.59	173.85	563.18	1119.56	775.05	277.2	133.36	3081.75	417.77	1340.84	497.0	1183.45	353.59	379.04	2193.99	1844.76	825.0	1397.83	323.03	579.04	872.1	3955.48	87.65	316.37	2061.24	2451.44	1844.76	314.17	403.5	237.86	624.99	2417.67	2739.08	5041.77	4152.18	5183.54	2956.17	6207.38	3614.55	1963.57	5183.54
LRP1B	0.0	0.0	13.42	0.31	2.68	2.18	0.62	14.24	1.0	0.61	9.7	4.9	13.62	9.06	3.32	3.72	0.32	4.17	0.71	4.78	1.33	2.86	5.96	17.13	0.64	1.73	2.03	1.11	1.28	5.68	4.54	3.32	1.64	1.35	1.43	0.0	1.62	10.96	1.36	0.6	2.94	2.43	1.97	10.96	1.46	2.34	0.96	1.23	1.69	2.36	4.98	4.1	7.46	3.03	1.71	1.31	6.06	0.29	0.0	0.68	1.53	2.41	2.73	0.99	0.0	13.22	2.27	4.1	0.33	1.64	16.63	2.23	10.16	4.03	1.99	3.08	0.65	2.07	2.71	7.11	3.79	1.38	3.44	6.84	12.27	0.99	0.66	0.31	2.05	6.46	13.72	11.13	7.69	22.1	5.73	12.09	13.62	10.55	25.72
MAMDC2	0.0	0.39	131.51	29.27	41.81	5.59	21.47	70.01	9.2	8.45	96.01	63.45	72.01	40.93	35.0	111.21	5.41	46.84	38.95	76.71	22.75	134.3	97.36	102.97	6.06	30.78	17.9	13.83	14.89	29.91	26.86	27.25	28.65	23.42	95.34	1.31	31.22	69.03	14.03	11.47	49.91	64.34	18.43	95.34	137.14	62.56	6.41	17.0	33.78	44.57	53.95	68.55	86.43	29.06	36.79	15.68	71.0	6.57	11.13	13.32	17.13	31.9	17.9	16.63	9.48	133.36	19.82	84.04	8.38	34.51	6.89	15.0	136.19	58.71	28.65	51.35	10.0	28.86	35.0	87.65	2.78	18.97	64.34	64.34	90.77	10.71	9.7	9.48	15.11	102.25	83.45	147.06	85.82	105.15	92.7	208.38	123.5	38.12	201.25
MEIS1	0.0	0.65	329.84	46.84	301.33	71.5	77.25	325.29	25.54	16.75	309.83	226.54	529.06	281.09	275.28	368.65	43.63	293.07	128.79	256.78	96.68	356.05	406.31	571.05	59.97	194.36	85.22	51.35	73.54	190.34	135.24	150.17	165.57	98.04	309.83	5.23	187.71	264.03	143.01	49.56	224.97	229.72	144.01	309.83	486.75	279.14	12.36	73.03	218.79	138.1	209.84	299.25	226.54	149.12	121.79	93.35	201.25	49.21	33.78	102.97	100.83	145.02	127.0	60.82	34.26	450.94	94.01	187.71	92.7	187.71	51.35	88.88	297.17	199.85	161.02	189.02	87.03	125.24	151.22	438.59	28.24	40.93	293.07	400.71	291.04	49.56	98.04	55.1	132.44	287.01	406.31	571.05	460.44	507.46	305.55	633.73	547.75	320.8	612.11
MEIS2	0.0	0.46	457.25	85.22	514.56	71.0	129.69	688.78	62.56	43.02	896.64	389.72	764.36	571.05	447.82	379.04	41.22	387.02	269.6	387.02	120.1	361.04	567.1	1143.1	97.36	295.11	165.57	113.56	121.79	246.28	172.65	305.55	190.34	218.79	348.71	8.38	218.79	563.18	228.13	63.0	154.42	241.19	206.94	339.14	679.29	426.57	55.49	117.6	450.94	215.77	325.29	607.87	420.68	161.02	269.6	190.34	395.18	47.5	42.11	120.94	114.36	297.17	204.07	163.28	82.87	909.17	143.01	289.02	163.28	236.21	71.5	127.89	361.04	343.89	262.2	289.02	180.02	165.57	295.11	1259.69	57.08	101.54	291.04	1001.93	638.15	78.34	187.71	66.65	237.86	890.44	1175.27	1175.27	665.29	921.88	703.28	1208.34	791.35	921.88	1151.06
MPP2	0.0	0.35	94.67	12.18	76.71	15.45	13.83	91.41	8.13	8.51	84.04	84.63	147.06	63.45	69.03	70.01	15.45	76.17	46.84	70.51	26.47	88.88	123.5	187.71	16.51	59.13	19.25	10.24	21.32	54.72	38.4	28.86	28.04	36.27	98.73	2.16	58.3	77.79	39.5	21.01	40.07	76.17	38.67	51.71	176.29	63.89	7.06	23.25	52.45	55.49	71.0	92.7	63.89	32.59	40.36	17.77	68.07	10.88	3.79	13.83	31.9	60.82	20.41	11.21	8.06	127.0	17.13	73.03	24.63	57.49	9.34	20.41	59.97	41.22	33.78	56.68	22.1	43.63	36.53	143.01	10.63	33.3	72.52	163.28	97.36	13.72	23.25	18.03	49.21	88.88	159.9	176.29	223.41	275.28	124.37	262.2	123.5	78.34	253.23
MRVI1	0.0	0.59	738.29	75.64	336.79	57.08	117.6	656.11	53.57	28.65	559.28	353.59	733.19	438.59	258.57	500.46	39.79	341.51	384.34	406.31	138.1	808.0	629.35	825.0	54.33	299.25	77.25	85.22	97.36	249.73	190.34	183.82	194.36	152.28	579.04	13.72	271.48	450.94	178.77	44.57	346.29	438.59	139.07	599.49	878.17	314.17	15.56	98.04	289.02	226.54	368.65	441.64	441.64	181.28	202.66	116.78	361.04	68.07	30.34	46.5	127.89	232.94	183.82	62.12	33.78	981.29	112.77	435.55	98.73	295.11	89.51	90.14	607.87	417.77	265.87	353.59	103.69	162.14	221.86	1015.93	19.68	84.63	441.64	595.34	688.78	69.03	115.97	65.26	140.04	738.29	642.59	1051.79	785.88	995.0	791.35	1340.84	854.13	420.68	1208.34
MSRB3	0.0	0.55	808.0	55.49	529.06	119.26	159.9	780.44	78.89	44.25	620.67	480.04	1073.91	591.22	371.22	642.59	49.56	429.54	368.65	591.22	124.37	796.86	866.07	1008.9	73.03	381.68	110.43	119.26	135.24	299.25	279.14	218.79	214.27	167.9	738.29	21.01	303.44	470.14	237.86	66.18	432.53	629.35	214.27	684.02	819.3	426.57	25.17	129.69	406.31	323.03	450.94	555.41	490.14	176.29	231.32	138.1	339.14	94.67	43.63	80.57	162.14	293.07	239.52	120.1	78.89	1023.0	117.6	392.44	128.79	400.71	100.83	111.99	607.87	493.56	264.03	343.89	124.37	202.66	289.02	1175.27	33.54	111.21	521.76	854.13	624.99	100.13	128.79	101.54	186.4	884.29	884.29	1286.18	1088.92	1662.49	954.43	1540.37	1030.12	693.58	1457.23
NCAM1	0.0	0.39	147.06	6.06	56.28	6.36	31.22	121.79	14.89	1.5	115.16	55.49	133.36	92.7	49.21	156.59	5.41	63.45	80.01	36.01	19.68	157.68	120.1	173.85	5.77	43.32	18.56	31.0	9.2	29.27	26.28	36.01	22.92	19.97	239.52	2.2	48.52	115.97	30.78	13.83	106.63	27.05	47.5	102.25	265.87	76.17	4.66	12.83	26.1	40.07	48.18	105.89	105.15	29.7	22.92	25.54	111.99	7.82	4.35	13.62	10.24	65.26	21.94	18.29	8.0	186.4	31.45	124.37	10.96	52.82	10.79	19.53	151.22	102.25	45.21	76.17	18.7	39.22	12.74	214.27	13.03	17.0	72.01	122.64	248.0	16.15	19.39	13.52	24.63	113.56	198.47	195.72	206.94	171.45	132.44	547.75	234.57	138.1	414.87
NHS	0.0	0.39	49.21	4.43	16.51	5.45	7.28	45.53	6.57	2.53	43.94	16.15	39.79	26.28	12.83	26.47	1.48	15.56	20.71	22.75	6.89	25.35	36.79	42.11	9.2	17.13	16.03	4.31	8.51	11.38	15.34	7.28	10.79	9.63	27.84	1.04	7.88	39.5	11.3	5.96	10.88	14.89	7.22	38.67	48.87	28.65	3.76	5.77	17.13	14.14	24.11	20.86	22.1	7.4	14.35	10.96	22.43	5.54	5.45	5.92	7.46	18.84	10.47	6.06	3.76	53.95	9.34	23.42	5.36	11.21	3.79	5.92	39.22	19.39	18.16	19.39	9.41	9.93	16.75	61.68	4.1	11.82	10.96	44.25	47.17	6.46	16.27	6.16	16.88	49.91	58.3	44.89	28.24	37.59	49.91	80.57	38.95	31.45	62.56
