	TCGA.PQ.A6FI.01A.11R.A31N.07	TCGA.DK.A3IM.01A.11R.A20F.07	TCGA.G2.A3IB.01A.11R.A20F.07	TCGA.FD.A3N6.01A.11R.A21D.07	TCGA.ZF.AA4W.01A.12R.A38B.07	TCGA.G2.A2EJ.01A.11R.A180.07	TCGA.C4.A0F1.01A.11R.A034.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.IR.A3LC.01A.11R.A213.07	TCGA.VS.A953.01A.11R.A38B.07	TCGA.C5.A902.01A.11R.A37O.07	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.EK.A2H0.01A.11R.A180.07	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.Q9.A6FU.01A.11R.A31P.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.LN.A49U.01A.31R.A260.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.LN.A4MR.01A.11R.A28J.31	TCGA.LN.A4A9.01A.11R.A28J.31	TCGA.IG.A3QL.01A.11R.A24K.31	TCGA.LN.A9FR.01A.11R.A38D.31	TCGA.BB.8601.01A.11R.2403.07	TCGA.CV.A45X.01A.21R.A24Z.07	TCGA.CN.4726.01A.01R.1436.07	TCGA.BA.A6DL.01A.21R.A30B.07	TCGA.CR.7392.01A.11R.2016.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CN.6016.01A.11R.1686.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.C9.A480.01A.12R.A24H.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.BA.A6DG.01A.21R.A30B.07	TCGA.CR.7376.01A.11R.2132.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.CV.7252.01A.11R.2016.07	TCGA.CV.6934.01A.11R.1915.07	TCGA.CQ.5323.01A.01R.1686.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.BA.4076.01A.01R.1436.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.CQ.6224.01A.11R.1915.07	TCGA.T2.A6X2.01A.12R.A34R.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CN.4729.01A.01R.1436.07	TCGA.CR.7395.01A.11R.2016.07	TCGA.CV.7253.01A.11R.2016.07	TCGA.CR.6471.01A.11R.1873.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.CV.7261.01A.11R.2016.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.H7.A6C4.01A.11R.A30B.07	TCGA.BB.A5HZ.01A.21R.A28V.07	TCGA.CR.7390.01A.11R.2016.07	TCGA.CN.5355.01A.01R.1436.07	TCGA.QK.A8Z9.01B.11R.A39I.07	TCGA.CN.5358.01A.01R.1514.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CN.5359.01A.01R.1436.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CN.5369.01A.01R.1436.07	TCGA.CV.5442.01A.01R.1514.07	TCGA.CR.7367.01A.11R.2016.07	TCGA.HD.7831.01A.11R.2132.07	TCGA.UF.A71E.01A.31R.A34R.07	TCGA.CN.6018.01A.11R.1686.07	TCGA.CN.6989.01A.11R.1915.07	TCGA.CR.7382.01A.11R.2132.07	TCGA.CQ.6223.01A.11R.1915.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.DQ.5629.01A.01R.1873.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.5435.01A.01R.1686.07	TCGA.IQ.7632.01A.11R.2081.07	TCGA.CQ.5330.01A.01R.1686.07	TCGA.CN.6019.01A.11R.1686.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.UF.A7JC.01A.21R.A34R.07	TCGA.CV.7103.01A.21R.2016.07	TCGA.P3.A6T7.01A.11R.A34R.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.CQ.5332.01A.01R.1686.07	TCGA.CN.4737.01A.01R.1436.07	TCGA.UF.A7J9.01A.12R.A34R.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CQ.5326.01A.01R.1873.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.7177.01A.11R.2016.07	TCGA.CN.4740.01A.01R.1436.07	TCGA.CV.7428.01A.11R.2132.07	TCGA.CV.6950.01A.11R.1915.07	TCGA.CV.7425.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CV.7430.01A.11R.2132.07	TCGA.CV.5432.01A.02R.1686.07	TCGA.CV.7416.11A.01R.2081.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.63.5128.01A.01R.1443.07	GTEX.XV7Q.2426.SM.4BRV8	GTEX.11WQK.2926.SM.5EQKT
EMILIN1	246.28	32.59	73.54	115.16	220.32	75.64	540.19	3.23	198.47	33.78	76.17	68.55	41.22	5633.22	497.0	532.74	2400.97	303.44	1781.89	967.76	1313.23	3847.29	71.5	153.34	764.36	76.71	1143.1	264.03	5112.16	144.01	111.21	61.68	153.34	1651.0	2148.82	2627.46	1096.5	642.59	3235.01	193.01	70.01	74.58	81.71	94.67	176.29	97.36	2758.13	567.1	2133.97	406.31	567.1	77.79	493.56	503.95	995.0	144.01	215.77	389.72	595.34	995.0	1896.65	2537.92	253.23	90.14	128.79	373.81	1104.13	1628.26	81.14	521.76	26.28	1697.45	5403.7	289.02	1277.29	2664.15	2573.36	125.24	2351.53	583.07	135.24	176.29	743.43	97.36	1183.45	4298.64	571.05	118.43	2400.97	248.0	392.44	988.12	1096.5	2502.97	343.89	318.57	575.03	595.34	1806.78	1977.24	395.18	463.65	224.97	281.09	96.68	124.37	406.31	24.11	140.04	95.34	624.99	204.07	78.89
EMILIN2	339.14	255.0	48.18	181.28	258.57	115.97	169.07	15.91	84.04	201.25	229.72	176.29	185.11	547.75	202.66	67.59	728.11	154.42	406.31	629.35	186.4	395.18	258.57	199.85	118.43	161.02	368.65	107.38	414.87	112.77	86.43	87.03	228.13	638.15	417.77	679.29	241.19	186.4	403.5	220.32	120.1	92.7	114.36	141.02	1183.45	39.5	265.87	212.78	199.85	532.74	363.56	253.23	193.01	149.12	224.97	107.38	152.28	170.25	316.37	368.65	603.67	595.34	269.6	117.6	60.39	397.93	218.79	371.22	102.97	366.09	68.07	256.78	463.65	269.6	490.14	624.99	521.76	119.26	674.59	134.3	152.28	81.71	88.26	115.16	435.55	860.08	165.57	38.95	285.03	98.04	239.52	260.38	373.81	466.88	241.19	320.8	115.97	101.54	197.09	511.0	218.79	201.25	115.16	353.59	65.72	124.37	166.73	45.85	130.6	42.71	379.04	105.89	60.39
EPB41L2	334.46	463.65	33.06	287.01	108.9	232.94	316.37	45.85	143.01	460.44	191.67	287.01	239.52	825.0	258.57	253.23	224.97	132.44	769.69	507.46	728.11	591.22	366.09	204.07	125.24	97.36	417.77	163.28	551.56	87.03	167.9	140.04	75.11	387.02	497.0	1340.84	283.05	460.44	872.1	384.34	232.94	110.43	91.41	75.11	157.68	218.79	420.68	236.21	260.38	170.25	366.09	170.25	309.83	351.14	802.41	246.28	98.04	98.73	343.89	277.2	412.0	915.51	329.84	115.97	182.55	285.03	217.27	616.37	229.72	476.71	41.22	579.04	775.05	118.43	567.1	954.43	902.89	100.83	759.08	521.76	198.47	140.04	555.41	120.94	341.51	974.5	130.6	104.42	532.74	52.45	244.57	429.54	353.59	896.64	384.34	665.29	98.04	195.72	316.37	802.41	220.32	120.1	220.32	275.28	129.69	237.86	85.22	229.72	108.9	141.02	974.5	212.78	239.52
F2R	202.66	301.33	79.45	234.57	70.51	122.64	599.49	206.94	67.12	212.78	318.57	289.02	251.48	518.15	291.04	154.42	366.09	87.65	656.11	656.11	175.07	764.36	460.44	135.24	909.17	75.64	1340.84	373.81	1044.52	166.73	234.57	373.81	246.28	669.92	1745.2	1819.35	327.56	896.64	1447.15	275.28	175.07	217.27	166.73	118.43	612.11	198.47	1225.22	379.04	836.53	435.55	836.53	37.59	718.08	1208.34	947.83	267.73	429.54	295.11	514.56	825.0	1268.46	1745.2	212.78	189.02	151.22	397.93	285.03	1183.45	301.33	591.22	432.53	1119.56	2178.83	118.43	249.73	1225.22	2119.22	163.28	1096.5	503.95	264.03	366.09	642.59	246.28	1081.39	1331.57	563.18	194.36	1359.57	232.94	457.25	1322.37	748.61	503.95	612.11	460.44	173.85	307.69	1023.0	728.11	417.77	743.43	361.04	323.03	226.54	139.07	329.84	74.06	171.45	214.27	361.04	51.35	52.45
FAM198B	35.0	48.87	44.25	72.52	79.45	50.63	124.37	29.06	41.81	50.27	33.3	24.46	16.03	406.31	209.84	76.17	379.04	72.01	432.53	379.04	182.55	638.15	36.27	64.34	397.93	37.05	718.08	102.97	1059.11	102.97	107.38	69.03	89.51	438.59	620.67	1519.15	361.04	320.8	1397.83	107.38	47.17	55.49	63.0	72.52	59.13	76.71	819.3	167.9	669.92	244.57	244.57	113.56	283.05	279.14	275.28	47.5	142.01	115.97	277.2	466.88	769.69	890.44	33.54	74.06	87.03	157.68	232.94	738.29	73.03	224.97	8.65	836.53	1477.58	61.25	525.39	808.0	921.88	90.14	961.07	143.01	82.87	81.14	403.5	72.52	480.04	1242.34	234.57	58.71	842.36	59.13	170.25	426.57	595.34	599.49	212.78	133.36	90.77	177.53	819.3	1208.34	93.35	154.42	142.01	143.01	61.25	79.45	100.83	24.63	110.43	83.45	76.71	57.49	19.11
FBN1	34.75	48.87	59.55	128.79	44.25	38.95	237.86	21.94	61.68	28.86	23.93	35.0	19.39	3847.29	718.08	271.48	2018.8	226.54	1498.22	1143.1	775.05	3820.7	153.34	85.22	1268.46	67.59	2758.13	470.14	5076.84	173.85	138.1	131.51	102.25	1781.89	1551.09	5517.27	1304.15	647.07	3982.99	460.44	127.0	89.51	73.54	104.42	242.88	98.04	3124.78	660.68	2271.4	896.64	921.88	59.55	1135.2	1909.85	1417.35	166.73	312.0	540.19	1030.12	1977.24	3395.89	4239.45	115.97	126.12	91.41	429.54	543.96	3257.52	101.54	836.53	18.97	3901.01	5255.91	162.14	1378.57	3280.18	3349.13	214.27	2895.31	698.41	123.5	395.18	1015.93	92.7	1685.71	4671.57	473.41	371.22	4328.55	371.22	612.11	830.75	2384.37	2178.83	651.58	441.64	185.11	647.07	2758.13	4038.61	1199.98	796.86	215.77	287.01	124.37	164.42	785.88	18.97	175.07	212.78	373.81	166.73	173.85
FBXL7	14.78	3.0	3.53	10.71	8.58	6.31	26.1	1.46	9.34	3.35	6.26	3.29	2.86	275.28	460.44	31.67	115.97	27.64	148.09	108.14	73.03	154.42	4.98	9.34	36.01	7.75	90.77	31.45	182.55	16.27	11.47	14.24	11.3	70.01	125.24	244.57	73.54	47.5	199.85	28.86	11.91	15.0	11.73	9.06	15.8	11.73	140.04	50.27	202.66	50.27	57.49	4.54	49.56	69.03	51.35	14.35	22.26	27.64	56.28	85.82	136.19	170.25	13.22	12.93	13.72	31.67	43.02	125.24	9.06	49.56	4.13	121.79	271.48	18.56	65.26	140.04	186.4	10.96	144.01	30.56	15.68	20.26	28.65	12.27	76.71	218.79	29.06	14.78	141.02	23.59	29.91	36.01	91.41	118.43	43.63	27.64	20.41	36.01	91.41	153.34	20.26	27.25	17.13	19.53	9.93	9.34	24.28	40.36	10.0	21.47	25.17	81.14	9.48
FILIP1L	90.77	154.42	36.79	93.35	60.39	163.28	125.24	62.12	36.27	68.07	33.3	72.52	48.87	1745.2	616.37	55.1	543.96	143.01	688.78	559.28	256.78	674.59	119.26	56.68	183.82	43.02	988.12	205.5	753.83	151.22	173.85	111.99	183.82	356.05	954.43	1417.35	579.04	332.14	693.58	156.59	151.22	249.73	108.14	339.14	47.84	187.71	967.76	162.14	435.55	258.57	348.71	28.04	318.57	368.65	267.73	147.06	336.79	251.48	332.14	974.5	624.99	1427.22	185.11	141.02	239.52	251.48	329.84	688.78	115.97	218.79	92.05	860.08	2335.28	66.65	441.64	429.54	1519.15	142.01	1051.79	212.78	114.36	113.56	486.75	147.06	651.58	947.83	180.02	197.09	1073.91	122.64	267.73	327.56	651.58	441.64	397.93	125.24	111.21	291.04	486.75	567.1	236.21	363.56	376.41	180.02	320.8	50.98	102.25	115.16	236.21	438.59	221.86	718.08	110.43
FOXO1	47.5	135.24	132.44	327.56	124.37	191.67	175.07	63.89	258.57	126.12	80.01	102.25	105.15	332.14	303.44	221.86	198.47	395.18	201.25	217.27	275.28	387.02	127.89	172.65	285.03	42.71	379.04	127.89	559.28	98.73	130.6	121.79	69.52	241.19	293.07	473.41	110.43	208.38	389.72	144.01	258.57	122.64	50.98	131.51	170.25	389.72	289.02	172.65	170.25	175.07	339.14	28.86	307.69	221.86	403.5	164.42	194.36	32.36	206.94	271.48	334.46	309.83	103.69	182.55	101.54	145.02	119.26	287.01	246.28	189.02	234.57	381.68	435.55	318.57	209.84	361.04	323.03	161.02	316.37	323.03	81.71	150.17	463.65	165.57	191.67	339.14	255.0	107.38	368.65	114.36	204.07	206.94	417.77	332.14	185.11	175.07	127.89	244.57	221.86	339.14	129.69	212.78	150.17	170.25	193.01	231.32	155.5	218.79	125.24	232.94	363.56	217.27	176.29
GGT5	135.24	28.86	41.22	65.26	206.94	127.0	241.19	166.73	199.85	21.78	59.97	96.68	37.59	2271.4	480.04	587.13	503.95	339.14	1066.48	884.29	563.18	1397.83	150.17	255.0	536.45	189.02	1909.85	346.29	1745.2	316.37	264.03	215.77	343.89	1519.15	2796.65	2502.97	796.86	547.75	2502.97	356.05	231.32	150.17	212.78	194.36	186.4	299.25	1819.35	563.18	1135.2	928.3	974.5	33.78	633.73	507.46	825.0	269.6	521.76	493.56	738.29	1023.0	1340.84	2193.99	275.28	178.77	318.57	406.31	842.36	1250.98	197.09	738.29	58.71	1250.98	2935.74	215.77	693.58	1617.0	2004.85	244.57	1388.16	571.05	438.59	363.56	480.04	231.32	915.51	2758.13	454.09	148.09	1369.04	679.29	612.11	785.88	854.13	1051.79	669.92	669.92	409.15	616.37	1340.84	1183.45	371.22	563.18	339.14	432.53	142.01	111.99	607.87	74.58	371.22	146.03	327.56	86.43	34.75
GIT2	258.57	293.07	318.57	231.32	264.03	221.86	318.57	248.0	323.03	249.73	348.71	316.37	368.65	547.75	511.0	356.05	409.15	297.17	603.67	947.83	279.14	607.87	239.52	253.23	316.37	307.69	525.39	211.31	417.77	293.07	285.03	320.8	343.89	343.89	432.53	679.29	253.23	295.11	454.09	309.83	269.6	229.72	260.38	185.11	232.94	165.57	473.41	297.17	343.89	356.05	400.71	265.87	353.59	341.51	291.04	258.57	273.37	224.97	214.27	371.22	435.55	603.67	156.59	281.09	231.32	341.51	339.14	423.61	320.8	447.82	271.48	392.44	432.53	258.57	473.41	473.41	674.59	226.54	450.94	208.38	255.0	318.57	256.78	264.03	395.18	406.31	271.48	201.25	447.82	211.31	291.04	248.0	476.71	343.89	264.03	432.53	202.66	265.87	363.56	438.59	358.54	334.46	283.05	320.8	273.37	206.94	226.54	161.02	214.27	190.34	351.14	172.65	232.94
GLT8D2	26.67	16.88	18.16	43.94	48.87	24.99	63.45	31.67	53.57	68.55	20.56	48.52	46.18	473.41	175.07	144.01	813.63	139.07	511.0	450.94	351.14	769.69	45.21	59.97	275.28	60.39	497.0	130.6	915.51	66.65	57.49	96.01	50.98	400.71	669.92	872.1	384.34	176.29	647.07	91.41	34.26	52.82	43.32	54.33	82.29	58.3	764.36	165.57	748.61	212.78	169.07	18.29	181.28	299.25	291.04	63.45	126.12	159.9	206.94	351.14	915.51	769.69	54.33	55.49	55.89	123.5	264.03	480.04	24.11	170.25	6.01	624.99	1250.98	105.89	283.05	656.11	842.36	65.72	423.61	126.12	60.39	68.55	92.7	90.14	285.03	1167.14	181.28	120.94	748.61	114.36	106.63	356.05	450.94	599.49	215.77	119.26	113.56	193.01	579.04	753.83	78.89	201.25	71.5	73.03	34.26	27.84	132.44	10.55	60.82	50.98	61.68	64.8	9.41
GNA12	571.05	796.86	872.1	172.65	320.8	432.53	291.04	90.77	376.41	587.13	334.46	500.46	265.87	1233.75	460.44	656.11	1508.65	384.34	620.67	629.35	483.38	2796.65	470.14	1487.87	819.3	432.53	1583.71	463.65	1685.71	373.81	1561.89	540.19	896.64	1127.35	1111.82	1322.37	571.05	872.1	1096.5	463.65	403.5	414.87	718.08	249.73	1259.69	353.59	1529.73	1135.2	414.87	1242.34	1023.0	529.06	775.05	728.11	780.44	684.02	599.49	463.65	1447.15	1331.57	1561.89	1081.39	1037.29	679.29	353.59	684.02	567.1	2004.85	915.51	819.3	718.08	1268.46	1639.59	309.83	1277.29	1304.15	1909.85	660.68	954.43	1199.98	830.75	607.87	1051.79	555.41	1151.06	915.51	813.63	713.11	988.12	718.08	651.58	854.13	1350.18	1030.12	412.0	1268.46	743.43	483.38	1208.34	1175.27	866.07	2032.85	525.39	563.18	954.43	381.68	540.19	217.27	305.55	281.09	620.67	172.65	476.71
GPM6B	57.49	51.71	27.25	46.18	21.78	52.45	41.52	93.35	275.28	16.63	76.17	28.65	34.51	620.67	287.01	314.17	211.31	88.26	665.29	454.09	197.09	353.59	48.87	32.59	285.03	22.59	208.38	169.07	187.71	63.0	49.21	35.76	49.56	403.5	361.04	232.94	138.1	159.9	265.87	140.04	56.28	31.45	325.29	45.21	56.68	68.07	275.28	115.16	260.38	277.2	182.55	4.62	96.68	148.09	346.29	72.01	103.69	115.97	165.57	316.37	381.68	412.0	29.7	181.28	92.05	123.5	131.51	183.82	22.75	133.36	37.05	256.78	921.88	70.01	92.7	211.31	503.95	41.22	198.47	66.65	71.5	68.55	40.07	80.57	150.17	189.02	98.04	36.79	186.4	75.11	113.56	138.1	178.77	220.32	248.0	186.4	33.78	171.45	341.51	249.73	59.55	61.68	108.9	62.12	34.75	33.06	105.89	67.59	34.75	162.14	115.16	30.56	58.71
GPR124	35.76	18.16	18.43	47.84	16.27	37.59	136.19	22.1	37.85	23.93	20.56	18.84	6.84	525.39	195.72	153.34	189.02	39.22	371.22	368.65	137.14	486.75	21.63	25.54	70.51	18.29	470.14	96.01	607.87	56.28	82.29	30.78	52.08	325.29	591.22	764.36	170.25	231.32	638.15	111.21	44.89	32.82	24.99	40.07	65.72	42.11	381.68	99.43	511.0	171.45	239.52	20.41	208.38	441.64	187.71	48.18	85.82	108.14	251.48	361.04	480.04	633.73	53.19	39.79	46.84	170.25	154.42	379.04	26.86	189.02	13.03	426.57	1088.92	44.57	267.73	379.04	954.43	39.79	559.28	118.43	60.39	110.43	140.04	58.71	299.25	563.18	129.69	51.71	660.68	105.15	92.05	180.02	363.56	356.05	142.01	119.26	44.57	128.79	343.89	441.64	88.26	175.07	93.35	85.22	53.95	39.79	73.03	13.72	38.4	37.05	109.66	148.09	21.47
GUCY1A2	1.17	2.32	2.23	8.78	2.16	3.56	13.32	3.56	10.39	2.51	3.29	1.5	1.45	83.45	45.85	16.39	36.53	8.78	136.19	100.13	24.28	94.01	4.86	5.5	28.86	2.73	40.07	15.56	64.8	6.78	12.09	4.78	10.39	58.71	38.67	70.01	13.93	37.32	66.65	9.93	1.19	3.63	7.28	6.52	6.73	5.36	50.27	21.63	68.07	36.27	24.11	3.32	13.52	41.81	13.93	7.06	12.45	13.62	24.11	48.18	31.22	43.02	5.73	4.74	6.94	20.11	15.91	43.02	4.43	18.29	2.14	74.58	125.24	4.74	27.64	49.21	138.1	2.23	38.4	9.7	10.47	15.34	15.56	13.62	29.48	53.95	15.34	7.88	39.79	12.09	16.15	15.45	44.57	38.4	27.05	11.21	6.11	13.93	51.35	58.71	6.94	13.32	11.64	6.73	6.94	5.32	8.51	1.06	1.97	2.16	17.77	2.81	1.33
HEPH	21.94	4.66	12.09	23.08	21.63	15.22	74.06	7.06	24.81	4.46	14.35	10.88	3.92	753.83	94.67	57.89	256.78	138.1	346.29	217.27	150.17	738.29	13.22	20.26	148.09	120.1	242.88	80.01	429.54	20.26	32.13	9.48	23.42	246.28	285.03	441.64	91.41	88.88	438.59	31.0	18.7	19.25	17.25	20.71	33.06	28.04	379.04	49.56	249.73	122.64	88.26	16.03	76.71	189.02	175.07	50.63	29.91	88.26	135.24	239.52	285.03	343.89	23.08	18.29	12.18	30.12	127.0	295.11	15.8	80.57	4.98	376.41	830.75	64.8	74.06	444.72	348.71	28.45	198.47	72.52	21.32	40.36	74.06	63.45	209.84	429.54	50.98	20.26	341.51	38.12	82.87	212.78	199.85	353.59	109.66	88.88	48.52	64.34	320.8	314.17	31.67	45.85	26.1	25.72	17.51	23.93	43.63	5.23	17.25	28.24	86.43	39.79	3.92
HEYL	48.87	88.88	17.13	103.69	62.56	12.27	220.32	23.25	22.1	16.15	31.0	22.26	13.52	536.45	154.42	64.34	117.6	38.67	291.04	265.87	69.52	379.04	35.5	21.47	98.04	26.86	162.14	81.71	409.15	24.28	44.25	32.82	37.59	148.09	713.11	253.23	167.9	193.01	486.75	49.21	10.08	42.71	33.54	28.45	89.51	29.06	480.04	65.72	417.77	98.04	97.36	18.43	73.54	170.25	119.26	27.84	113.56	76.71	130.6	258.57	316.37	242.88	47.5	16.63	42.41	51.71	111.21	158.79	26.47	111.99	12.64	220.32	684.02	26.67	110.43	332.14	624.99	26.1	130.6	67.59	35.25	65.72	229.72	33.78	297.17	314.17	63.45	47.84	334.46	47.84	60.39	191.67	244.57	309.83	97.36	95.34	58.3	75.64	253.23	228.13	52.08	129.69	58.71	75.11	42.71	34.26	91.41	12.18	11.04	24.46	83.45	23.93	29.06
ITGA1	48.52	30.56	23.08	76.71	31.45	49.56	171.45	13.22	43.32	68.07	138.1	71.5	67.59	1662.49	318.57	151.22	180.02	43.02	1487.87	825.0	166.73	1331.57	93.35	29.48	155.5	26.1	629.35	129.69	293.07	49.21	95.34	42.41	54.33	599.49	473.41	599.49	105.15	224.97	384.34	108.9	32.13	27.44	32.82	39.22	64.8	38.4	339.14	141.02	262.2	182.55	256.78	33.06	159.9	215.77	211.31	63.0	80.57	87.65	323.03	309.83	346.29	392.44	38.12	32.82	53.19	221.86	123.5	476.71	46.84	201.25	12.0	536.45	1023.0	36.01	291.04	454.09	1427.22	16.88	389.72	96.01	53.19	150.17	220.32	48.18	476.71	379.04	162.14	50.63	551.56	79.45	204.07	204.07	356.05	320.8	198.47	149.12	49.91	98.04	271.48	293.07	109.66	185.11	84.63	114.36	61.68	74.58	88.88	4.9	20.26	14.56	171.45	18.7	38.12
JAM3	24.63	18.84	15.22	32.59	45.21	21.47	67.59	2.63	38.95	57.49	29.7	18.84	15.0	1378.57	134.3	76.17	271.48	28.86	325.29	332.14	157.68	373.81	62.12	60.39	193.01	27.25	234.57	108.9	480.04	62.56	48.18	65.72	36.27	256.78	444.72	438.59	172.65	108.9	540.19	71.0	36.79	57.89	100.13	40.07	59.55	64.8	529.06	75.64	384.34	128.79	102.97	19.97	141.02	285.03	175.07	61.25	100.13	86.43	114.36	212.78	320.8	353.59	37.85	46.18	63.45	68.55	114.36	279.14	32.82	123.5	21.47	301.33	497.0	55.49	205.5	387.02	289.02	34.75	283.05	98.73	42.71	61.68	87.03	51.71	178.77	490.14	76.71	39.79	454.09	73.03	94.01	169.07	265.87	329.84	117.6	62.12	74.58	107.38	271.48	389.72	65.72	100.13	61.25	57.89	55.1	95.34	79.45	38.67	52.45	55.89	105.15	66.65	111.21
KCNT2	0.59	5.82	0.33	0.37	0.62	0.31	4.58	0.0	0.48	2.89	0.52	0.53	0.52	201.25	4.13	1.66	8.65	3.0	17.13	17.64	5.45	15.8	0.6	0.62	0.66	0.97	5.73	1.27	4.06	1.62	2.43	1.1	0.64	2.63	8.38	18.84	2.84	1.41	24.11	3.03	1.77	0.0	1.91	1.27	0.6	1.48	2.41	0.0	2.27	3.29	2.01	0.62	2.01	9.06	1.83	0.65	2.05	2.94	5.36	5.36	5.63	11.21	0.0	1.68	0.67	1.08	1.45	11.47	1.11	5.45	0.0	6.57	5.96	0.96	3.44	5.96	9.41	1.07	7.4	3.99	0.65	0.69	1.0	0.66	2.61	10.24	1.46	0.62	5.5	1.03	4.28	4.06	1.95	3.82	2.58	2.27	0.64	2.97	4.46	12.64	4.62	1.0	1.99	0.62	0.67	0.6	0.96	0.72	1.69	0.78	2.61	4.03	0.39
KDELC1	143.01	88.26	55.1	80.57	98.04	195.72	110.43	35.0	69.52	191.67	124.37	164.42	182.55	234.57	303.44	118.43	223.41	98.04	155.5	157.68	205.5	242.88	114.36	94.67	153.34	153.34	193.01	65.72	228.13	69.52	120.94	52.45	131.51	153.34	329.84	255.0	197.09	178.77	264.03	58.3	24.46	55.1	195.72	34.26	157.68	98.73	198.47	95.34	205.5	113.56	94.01	92.05	77.25	111.21	93.35	118.43	78.34	82.87	141.02	279.14	232.94	246.28	178.77	56.28	81.14	62.56	108.9	211.31	53.19	106.63	32.36	212.78	384.34	105.89	194.36	299.25	239.52	62.56	148.09	115.16	127.89	123.5	110.43	84.63	109.66	287.01	80.57	84.04	237.86	61.25	138.1	251.48	279.14	253.23	154.42	145.02	104.42	80.01	170.25	231.32	89.51	289.02	78.89	81.71	114.36	94.67	153.34	22.59	62.12	48.87	94.01	78.34	35.76
KIAA1462	30.78	35.76	23.76	31.9	39.22	23.93	105.89	24.99	20.86	13.22	26.47	18.7	7.28	587.13	123.5	97.36	212.78	107.38	429.54	128.79	122.64	334.46	22.43	44.57	104.42	9.7	198.47	101.54	450.94	45.53	58.3	55.49	52.82	185.11	303.44	490.14	229.72	162.14	423.61	94.01	36.27	34.02	24.63	42.11	52.45	59.13	334.46	92.7	521.76	111.21	121.79	16.51	164.42	159.9	162.14	21.01	35.25	85.22	105.15	255.0	466.88	346.29	26.28	42.11	62.12	102.25	171.45	269.6	28.45	150.17	9.63	291.04	500.46	88.88	151.22	318.57	444.72	31.45	228.13	66.18	46.5	53.19	75.64	57.89	157.68	454.09	98.73	40.64	309.83	71.5	70.51	102.97	167.9	295.11	70.01	120.94	57.08	138.1	262.2	307.69	51.35	57.89	60.39	53.19	26.28	24.99	60.82	18.97	41.81	32.13	60.82	24.99	56.28
KLHL5	150.17	466.88	281.09	197.09	150.17	497.0	500.46	59.97	108.9	129.69	98.73	414.87	318.57	1397.83	1088.92	397.93	480.04	273.37	748.61	567.1	1015.93	1250.98	454.09	195.72	283.05	167.9	748.61	232.94	629.35	217.27	289.02	109.66	341.51	435.55	620.67	656.11	236.21	454.09	591.22	432.53	289.02	158.79	180.02	185.11	285.03	149.12	1081.39	406.31	175.07	733.19	507.46	195.72	279.14	307.69	665.29	177.53	466.88	249.73	563.18	579.04	571.05	587.13	229.72	307.69	211.31	395.18	301.33	872.1	309.83	490.14	171.45	571.05	808.0	483.38	547.75	780.44	1519.15	400.71	559.28	518.15	214.27	275.28	775.05	307.69	808.0	624.99	674.59	389.72	629.35	267.73	397.93	529.06	638.15	728.11	323.03	521.76	473.41	358.54	825.0	543.96	583.07	490.14	392.44	301.33	339.14	323.03	351.14	104.42	108.14	99.43	836.53	119.26	571.05
