	TCGA.CF.A47V.01A.11R.A23W.07	TCGA.DK.A3IT.01A.31R.A20F.07	TCGA.G2.A2EO.01A.11R.A180.07	TCGA.XF.AAN1.01A.31R.A42T.07	TCGA.UY.A8OB.01A.12R.A42T.07	TCGA.XF.AAN4.01A.11R.A42T.07	TCGA.2F.A9KQ.01A.11R.A38B.07	TCGA.SY.A9G0.01A.12R.A38B.07	TCGA.CF.A3MG.01A.11R.A20F.07	TCGA.BT.A42F.01A.11R.A23W.07	TCGA.G2.A3IE.01A.11R.A20F.07	TCGA.XF.A9T5.01A.11R.A42T.07	TCGA.UY.A9PE.01A.11R.A38B.07	TCGA.DK.AA76.01A.11R.A39I.07	TCGA.FD.A43X.01A.11R.A23W.07	TCGA.BT.A2LD.01A.12R.A20F.07	TCGA.DK.A6B2.01A.11R.A30C.07	TCGA.4Z.AA81.01A.11R.A39I.07	TCGA.XF.A8HD.01A.11R.A36F.07	TCGA.GU.A762.01A.11R.A33J.07	TCGA.DK.A1AG.01A.11R.A13Y.07	TCGA.GC.A6I1.01A.12R.A31N.07	TCGA.XF.AAMR.01A.31R.A42T.07	TCGA.ZF.AA4V.01A.11R.A38B.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.CF.A9FF.01A.11R.A38B.07	TCGA.FD.A6TK.01A.42R.A33J.07	TCGA.CF.A5U8.01A.11R.A28M.07	TCGA.YC.A89H.01A.11R.A36F.07	TCGA.FD.A6TC.01A.21R.A33J.07	TCGA.XF.A9SJ.01A.11R.A39I.07	TCGA.4Z.AA7O.01A.31R.A39I.07	TCGA.CU.A3YL.01A.11R.A22U.07	TCGA.XF.A9T6.01A.11R.A42T.07	TCGA.FD.A62O.01A.11R.A30C.07	TCGA.GU.A767.01A.11R.A32O.07	TCGA.CF.A9FL.01A.11R.A38B.07	TCGA.FD.A62N.01A.11R.A30C.07	TCGA.DK.A3IK.01A.32R.A21D.07	TCGA.BT.A20T.01A.11R.A14Y.07	TCGA.XF.A9SV.01A.21R.A42T.07	TCGA.GV.A6ZA.01A.12R.A33J.07	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.XF.A9SZ.01A.11R.A39I.07	TCGA.DK.A3IL.01A.11R.A20F.07	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	GTEX.12696.0926.SM.5FQTV	GTEX.1497J.0726.SM.5Q5D1	GTEX.Y5V6.0226.SM.4V6G7	GTEX.OOBK.0526.SM.2HMJJ	GTEX.13D11.0326.SM.5LZXX	GTEX.Y5LM.0726.SM.4VBRP	GTEX.11EQ9.0226.SM.5A5JX	GTEX.145LT.0326.SM.5LUAD	GTEX.S4Z8.0426.SM.3K2AH	GTEX.WFG8.0926.SM.3GIKJ	GTEX.SNOS.0426.SM.32PMH	GTEX.ZA64.0326.SM.5HL8T	GTEX.ZG7Y.1026.SM.4WWDG	GTEX.12WSJ.0226.SM.5GCP7	GTEX.QDVJ.0926.SM.2I5FU	GTEX.WFG7.0526.SM.3GIKI	GTEX.R55G.0826.SM.2TC5U	GTEX.U3ZN.0626.SM.3DB7U	GTEX.SIU7.0526.SM.3NM8I	GTEX.WFON.0426.SM.3GIL4	GTEX.13N1W.0726.SM.5MR57	GTEX.13QBU.0726.SM.5J2OA	GTEX.QESD.0626.SM.2I5G4	GTEX.132QS.0726.SM.5IJE9	GTEX.ZTPG.0926.SM.5O99H	GTEX.PWOO.0726.SM.2I3EB	GTEX.11TT1.1626.SM.5EQL7	GTEX.ZYWO.0826.SM.5E45W	GTEX.Y9LG.0526.SM.4VBRY	GTEX.1211K.0826.SM.5FQUP	GTEX.RUSQ.0626.SM.2TF5V	GTEX.11LCK.0426.SM.5A5M8	GTEX.OIZI.0726.SM.2XCEI	GTEX.13O1R.0826.SM.5J2MB
EBAG9	363.56	842.36	346.29	536.45	346.29	511.0	567.1	595.34	579.04	708.18	511.0	579.04	297.17	532.74	361.04	563.18	587.13	521.76	507.46	332.14	567.1	642.59	624.99	444.72	457.25	612.11	563.18	563.18	1030.12	463.65	591.22	514.56	253.23	728.11	890.44	460.44	473.41	379.04	1015.93	656.11	769.69	651.58	486.75	361.04	221.86	1059.11	1806.78	1208.34	536.45	1119.56	954.43	1088.92	1051.79	1304.15	921.88	1127.35	1044.52	1037.29	988.12	813.63	1037.29	825.0	1304.15	921.88	1417.35	1119.56	1359.57	674.59	1111.82	708.18	961.07	1051.79	426.57	1216.75	1044.52	878.17	1030.12	769.69	1359.57	1794.29	1073.91
EPS15	267.73	346.29	271.48	348.71	183.82	540.19	490.14	543.96	368.65	307.69	503.95	267.73	323.03	381.68	262.2	483.38	476.71	486.75	379.04	258.57	299.25	260.38	490.14	325.29	277.2	343.89	397.93	351.14	303.44	356.05	260.38	368.65	279.14	185.11	518.15	204.07	327.56	361.04	363.56	373.81	463.65	397.93	285.03	285.03	426.57	473.41	536.45	633.73	246.28	728.11	414.87	483.38	587.13	532.74	518.15	647.07	540.19	447.82	718.08	457.25	470.14	444.72	708.18	490.14	780.44	665.29	674.59	612.11	466.88	376.41	587.13	457.25	273.37	463.65	444.72	518.15	497.0	551.56	591.22	866.07	514.56
ERCC6L2	71.0	126.12	48.18	33.54	132.44	208.38	130.6	231.32	60.82	55.89	43.63	111.21	90.77	143.01	82.29	90.14	218.79	116.78	186.4	119.26	55.49	105.89	249.73	53.57	72.01	67.59	152.28	85.82	108.9	166.73	45.53	75.64	156.59	45.85	162.14	85.22	98.04	94.01	128.79	95.34	122.64	86.43	36.01	52.82	139.07	224.97	624.99	612.11	72.52	271.48	248.0	221.86	198.47	189.02	183.82	334.46	198.47	358.54	316.37	295.11	236.21	145.02	303.44	277.2	529.06	376.41	473.41	199.85	183.82	356.05	175.07	327.56	133.36	187.71	269.6	246.28	237.86	162.14	262.2	836.53	412.0
EVI5	69.52	124.37	45.85	48.87	78.34	163.28	221.86	150.17	68.55	111.99	85.22	33.06	67.12	194.36	59.97	102.97	149.12	76.17	94.67	51.35	73.03	58.71	150.17	50.27	52.82	77.25	116.78	77.79	75.11	107.38	29.48	109.66	93.35	38.67	105.89	35.76	96.01	49.21	88.26	82.29	70.01	61.68	46.84	53.19	45.53	99.43	116.78	299.25	111.21	163.28	130.6	236.21	232.94	206.94	117.6	161.02	120.94	127.0	264.03	242.88	158.79	181.28	483.38	343.89	339.14	172.65	285.03	159.9	212.78	121.79	175.07	251.48	76.17	185.11	162.14	224.97	189.02	193.01	260.38	289.02	127.89
FAM114A2	106.63	212.78	65.26	107.38	143.01	343.89	148.09	307.69	114.36	131.51	78.34	180.02	112.77	165.57	124.37	108.9	159.9	126.12	127.0	83.45	176.29	146.03	267.73	141.02	96.68	120.94	182.55	116.78	144.01	124.37	167.9	77.79	137.14	114.36	133.36	85.82	195.72	161.02	152.28	152.28	147.06	105.15	82.29	99.43	123.5	175.07	239.52	406.31	197.09	400.71	287.01	441.64	320.8	265.87	255.0	314.17	348.71	329.84	231.32	406.31	305.55	297.17	379.04	454.09	490.14	343.89	490.14	356.05	336.79	395.18	223.41	579.04	271.48	483.38	460.44	332.14	412.0	262.2	387.02	470.14	351.14
FAM168A	94.01	262.2	113.56	185.11	136.19	323.03	138.1	432.53	86.43	57.49	305.55	105.15	135.24	198.47	106.63	156.59	209.84	131.51	98.73	178.77	221.86	85.22	281.09	124.37	99.43	87.03	208.38	82.87	176.29	178.77	111.21	262.2	195.72	201.25	170.25	138.1	120.1	249.73	178.77	140.04	148.09	142.01	96.01	157.68	314.17	341.51	470.14	555.41	166.73	551.56	281.09	409.15	201.25	262.2	239.52	293.07	293.07	366.09	336.79	371.22	234.57	273.37	289.02	470.14	368.65	236.21	299.25	144.01	156.59	140.04	228.13	371.22	334.46	293.07	348.71	202.66	223.41	295.11	325.29	563.18	376.41
FAM179B	119.26	121.79	57.08	114.36	37.85	105.15	136.19	132.44	87.03	38.67	118.43	58.3	15.56	59.97	131.51	40.93	40.64	39.22	79.45	46.84	98.04	61.68	158.79	48.18	69.03	74.58	78.34	120.94	57.49	74.58	26.47	96.68	111.21	47.17	190.34	38.12	149.12	44.57	142.01	50.98	118.43	85.82	72.01	56.68	77.25	237.86	323.03	201.25	37.85	169.07	104.42	127.89	193.01	114.36	131.51	159.9	201.25	164.42	131.51	147.06	111.99	138.1	145.02	144.01	226.54	208.38	195.72	52.45	133.36	147.06	120.1	122.64	78.34	128.79	201.25	170.25	170.25	85.82	110.43	607.87	144.01
FAM35A	251.48	312.0	253.23	256.78	202.66	403.5	277.2	343.89	271.48	287.01	180.02	156.59	164.42	301.33	153.34	205.5	312.0	271.48	217.27	204.07	275.28	348.71	289.02	176.29	175.07	226.54	244.57	211.31	140.04	194.36	191.67	217.27	161.02	122.64	297.17	129.69	277.2	211.31	152.28	201.25	161.02	155.5	166.73	143.01	155.5	283.05	392.44	738.29	414.87	463.65	441.64	389.72	395.18	447.82	346.29	450.94	529.06	444.72	356.05	397.93	444.72	460.44	660.68	457.25	808.0	620.67	651.58	231.32	426.57	463.65	361.04	248.0	283.05	368.65	409.15	387.02	435.55	334.46	466.88	934.76	358.54
FAM73A	30.12	135.24	32.13	63.45	40.64	112.77	157.68	145.02	84.63	34.02	61.68	30.78	47.5	147.06	42.11	57.49	99.43	72.01	75.11	35.0	60.82	41.52	143.01	51.35	27.05	41.22	76.71	41.81	50.98	76.17	22.43	128.79	54.72	40.64	191.67	80.57	93.35	32.36	87.03	94.67	108.9	58.3	41.52	38.12	52.45	88.26	220.32	325.29	49.91	231.32	66.18	153.34	169.07	228.13	186.4	221.86	147.06	146.03	267.73	173.85	127.0	151.22	242.88	221.86	217.27	180.02	220.32	80.01	147.06	127.0	144.01	136.19	29.7	165.57	110.43	218.79	185.11	169.07	189.02	587.13	167.9
FBXL3	181.28	480.04	144.01	228.13	248.0	543.96	356.05	595.34	470.14	178.77	450.94	208.38	228.13	748.61	231.32	587.13	409.15	543.96	265.87	295.11	229.72	309.83	647.07	260.38	218.79	223.41	432.53	244.57	218.79	486.75	126.12	392.44	287.01	215.77	591.22	169.07	387.02	221.86	283.05	267.73	264.03	236.21	218.79	262.2	320.8	713.11	669.92	1295.13	218.79	1081.39	450.94	583.07	896.64	1135.2	947.83	941.27	934.76	785.88	1044.52	796.86	669.92	674.59	1066.48	848.22	1023.0	1127.35	1119.56	236.21	775.05	567.1	830.75	718.08	221.86	703.28	674.59	607.87	947.83	723.08	902.89	2148.82	836.53
FBXL4	70.51	105.15	59.13	111.99	66.65	109.66	77.79	108.9	129.69	94.67	65.72	147.06	76.17	111.99	85.82	51.35	130.6	58.71	93.35	61.25	162.14	90.77	98.04	114.36	84.63	85.22	114.36	93.35	92.7	101.54	61.68	156.59	146.03	48.18	148.09	44.57	132.44	111.99	82.87	147.06	144.01	75.11	92.7	66.65	60.39	190.34	164.42	351.14	98.04	197.09	92.7	148.09	158.79	121.79	181.28	209.84	164.42	144.01	150.17	191.67	127.0	120.1	177.53	165.57	185.11	187.71	186.4	76.17	112.77	102.25	101.54	135.24	108.9	152.28	144.01	133.36	150.17	128.79	164.42	275.28	129.69
FBXO38	314.17	239.52	155.5	392.44	206.94	376.41	450.94	466.88	297.17	161.02	176.29	248.0	208.38	368.65	376.41	202.66	269.6	339.14	262.2	133.36	371.22	165.57	371.22	156.59	297.17	248.0	181.28	480.04	285.03	256.78	149.12	305.55	343.89	115.97	275.28	215.77	363.56	164.42	295.11	249.73	339.14	277.2	325.29	106.63	271.48	343.89	444.72	435.55	183.82	547.75	463.65	536.45	493.56	733.19	486.75	559.28	633.73	429.54	587.13	620.67	651.58	540.19	728.11	518.15	1037.29	493.56	1008.9	480.04	665.29	660.68	507.46	406.31	507.46	579.04	785.88	599.49	483.38	412.0	713.11	629.35	525.39
FNDC3A	275.28	244.57	113.56	260.38	5.63	376.41	264.03	503.95	223.41	132.44	189.02	138.1	205.5	521.76	258.57	384.34	361.04	182.55	181.28	146.03	246.28	167.9	480.04	241.19	154.42	221.86	323.03	281.09	175.07	127.89	118.43	327.56	229.72	193.01	334.46	69.03	307.69	127.0	152.28	163.28	248.0	197.09	193.01	119.26	217.27	743.43	1208.34	708.18	291.04	532.74	299.25	450.94	473.41	381.68	921.88	406.31	603.67	368.65	571.05	450.94	511.0	603.67	981.29	532.74	909.17	460.44	607.87	441.64	463.65	813.63	363.56	476.71	154.42	591.22	460.44	447.82	587.13	470.14	651.58	1498.22	536.45
FNIP1	64.34	77.79	60.39	92.7	73.54	145.02	167.9	171.45	90.14	58.71	50.98	74.58	54.72	89.51	74.58	79.45	95.34	78.89	98.73	52.82	97.36	51.71	226.54	71.5	50.27	129.69	70.51	48.52	92.05	85.22	54.33	46.18	133.36	42.41	76.17	39.5	96.01	70.51	75.64	90.77	105.89	47.84	40.93	44.25	64.34	162.14	256.78	149.12	123.5	211.31	102.25	147.06	217.27	379.04	269.6	248.0	255.0	205.5	220.32	271.48	153.34	205.5	232.94	175.07	281.09	301.33	320.8	136.19	277.2	120.1	265.87	89.51	117.6	205.5	161.02	211.31	223.41	253.23	262.2	356.05	190.34
FTO	131.51	373.81	177.53	236.21	244.57	612.11	376.41	656.11	256.78	180.02	124.37	181.28	205.5	237.86	186.4	269.6	511.0	138.1	251.48	255.0	265.87	159.9	854.13	157.68	81.14	117.6	381.68	176.29	137.14	172.65	99.43	323.03	129.69	111.21	224.97	132.44	237.86	123.5	194.36	231.32	325.29	128.79	95.34	177.53	264.03	555.41	1023.0	1242.34	297.17	656.11	743.43	802.41	733.19	669.92	607.87	679.29	665.29	642.59	802.41	583.07	587.13	647.07	693.58	1135.2	866.07	616.37	866.07	802.41	536.45	612.11	575.03	713.11	346.29	642.59	638.15	579.04	540.19	587.13	728.11	1259.69	620.67
GTF2A1	127.0	387.02	163.28	161.02	96.68	217.27	323.03	262.2	218.79	186.4	120.1	102.25	164.42	241.19	133.36	151.22	232.94	108.14	134.3	155.5	218.79	183.82	277.2	136.19	109.66	187.71	180.02	125.24	149.12	241.19	90.77	291.04	163.28	100.13	289.02	80.57	260.38	148.09	173.85	185.11	228.13	133.36	78.89	110.43	153.34	229.72	363.56	379.04	143.01	307.69	102.97	289.02	211.31	193.01	217.27	285.03	212.78	173.85	187.71	267.73	167.9	232.94	289.02	253.23	346.29	309.83	231.32	126.12	190.34	199.85	134.3	197.09	92.7	289.02	277.2	248.0	209.84	198.47	262.2	693.58	429.54
HIPK1	177.53	351.14	181.28	214.27	176.29	414.87	414.87	432.53	316.37	144.01	214.27	176.29	186.4	351.14	189.02	209.84	303.44	217.27	242.88	126.12	323.03	198.47	476.71	197.09	156.59	208.38	281.09	180.02	177.53	285.03	96.01	295.11	358.54	122.64	307.69	92.7	231.32	189.02	249.73	299.25	356.05	307.69	229.72	96.68	220.32	688.78	1519.15	981.29	190.34	497.0	684.02	514.56	457.25	595.34	728.11	454.09	486.75	473.41	441.64	607.87	363.56	728.11	860.08	493.56	988.12	518.15	669.92	684.02	525.39	713.11	563.18	854.13	363.56	507.46	575.03	389.72	571.05	941.27	500.46	1044.52	497.0
HMG20A	334.46	212.78	291.04	633.73	205.5	325.29	426.57	438.59	241.19	384.34	293.07	112.77	343.89	246.28	571.05	190.34	255.0	137.14	190.34	191.67	432.53	190.34	521.76	193.01	353.59	314.17	212.78	438.59	269.6	373.81	146.03	392.44	447.82	234.57	417.77	228.13	356.05	208.38	289.02	356.05	241.19	237.86	376.41	244.57	258.57	473.41	587.13	403.5	262.2	620.67	329.84	389.72	371.22	595.34	323.03	656.11	466.88	389.72	612.11	470.14	423.61	389.72	703.28	620.67	660.68	444.72	591.22	447.82	309.83	441.64	368.65	450.94	332.14	493.56	417.77	441.64	312.0	356.05	769.69	743.43	595.34
HSPA13	98.04	293.07	323.03	95.34	113.56	312.0	269.6	363.56	145.02	94.01	75.64	120.94	176.29	151.22	50.98	303.44	253.23	193.01	273.37	172.65	154.42	162.14	273.37	265.87	57.08	100.83	183.82	69.52	145.02	248.0	180.02	246.28	108.9	137.14	193.01	25.54	289.02	181.28	100.83	195.72	146.03	110.43	67.12	256.78	115.16	211.31	409.15	583.07	131.51	406.31	583.07	688.78	493.56	486.75	902.89	511.0	444.72	551.56	295.11	480.04	341.51	463.65	607.87	587.13	988.12	915.51	371.22	708.18	1199.98	1143.1	473.41	825.0	129.69	587.13	511.0	656.11	612.11	525.39	529.06	387.02	525.39
IPO8	172.65	351.14	152.28	251.48	86.43	532.74	295.11	379.04	346.29	161.02	236.21	186.4	215.77	397.93	161.02	358.54	480.04	1359.57	209.84	189.02	336.79	183.82	507.46	275.28	176.29	173.85	281.09	220.32	255.0	470.14	167.9	318.57	316.37	154.42	307.69	132.44	265.87	246.28	264.03	371.22	426.57	221.86	187.71	180.02	162.14	363.56	368.65	1015.93	269.6	480.04	323.03	457.25	403.5	366.09	316.37	579.04	660.68	371.22	497.0	447.82	423.61	423.61	679.29	612.11	718.08	457.25	642.59	273.37	341.51	575.03	336.79	529.06	277.2	470.14	432.53	301.33	371.22	356.05	547.75	688.78	435.55
IREB2	124.37	279.14	201.25	289.02	135.24	221.86	387.02	277.2	224.97	277.2	170.25	132.44	211.31	397.93	256.78	244.57	195.72	161.02	180.02	106.63	206.94	116.78	429.54	147.06	126.12	173.85	147.06	150.17	229.72	332.14	86.43	293.07	309.83	129.69	309.83	146.03	271.48	90.77	221.86	229.72	281.09	195.72	137.14	191.67	232.94	373.81	521.76	638.15	176.29	312.0	232.94	277.2	251.48	318.57	255.0	246.28	314.17	206.94	356.05	275.28	309.83	309.83	563.18	341.51	441.64	387.02	397.93	435.55	293.07	483.38	249.73	253.23	193.01	318.57	312.0	327.56	241.19	262.2	366.09	813.63	483.38
JAK1	521.76	1037.29	813.63	363.56	483.38	1457.23	915.51	1286.18	775.05	674.59	808.0	571.05	460.44	830.75	540.19	1498.22	967.76	417.77	878.17	583.07	638.15	629.35	1991.0	1127.35	759.08	575.03	1561.89	587.13	285.03	915.51	941.27	1001.93	536.45	323.03	1286.18	480.04	638.15	854.13	764.36	860.08	647.07	473.41	540.19	426.57	521.76	2032.85	2104.58	2319.15	497.0	2976.74	1008.9	1313.23	2047.0	2895.31	2915.45	2061.24	4210.15	2090.03	3257.52	2178.83	1340.84	3146.52	3235.01	1857.6	2451.44	1769.57	2682.69	1295.13	4607.24	2417.67	1628.26	1806.78	536.45	2701.35	1709.26	2855.44	2032.85	3039.3	2271.4	1896.65	1208.34
KDM3B	397.93	435.55	226.54	429.54	224.97	500.46	620.67	713.11	316.37	215.77	379.04	507.46	379.04	890.44	441.64	314.17	490.14	412.0	387.02	173.85	599.49	159.9	612.11	289.02	327.56	334.46	312.0	412.0	387.02	309.83	198.47	366.09	536.45	186.4	423.61	312.0	525.39	305.55	521.76	346.29	463.65	395.18	400.71	143.01	242.88	802.41	1037.29	684.02	189.02	507.46	450.94	503.95	507.46	708.18	450.94	463.65	748.61	466.88	878.17	507.46	616.37	616.37	974.5	620.67	780.44	387.02	728.11	599.49	457.25	830.75	571.05	450.94	497.0	493.56	395.18	409.15	532.74	432.53	567.1	1216.75	708.18
KIAA1033	181.28	293.07	145.02	228.13	171.45	343.89	371.22	283.05	138.1	145.02	180.02	156.59	194.36	301.33	103.69	220.32	217.27	157.68	167.9	195.72	226.54	224.97	246.28	181.28	109.66	171.45	251.48	176.29	135.24	234.57	75.64	253.23	165.57	111.99	291.04	55.1	376.41	204.07	163.28	211.31	228.13	149.12	115.97	161.02	158.79	366.09	450.94	500.46	267.73	521.76	182.55	339.14	348.71	514.56	460.44	656.11	457.25	361.04	532.74	480.04	387.02	234.57	624.99	435.55	642.59	713.11	603.67	201.25	525.39	241.19	309.83	463.65	224.97	414.87	438.59	450.94	353.59	358.54	476.71	688.78	346.29
KIAA1430	109.66	151.22	140.04	171.45	83.45	318.57	249.73	348.71	147.06	92.7	80.01	128.79	69.52	389.72	153.34	120.94	177.53	148.09	108.9	75.11	303.44	185.11	351.14	232.94	77.25	123.5	146.03	173.85	115.97	119.26	73.54	205.5	217.27	109.66	224.97	53.19	134.3	115.16	101.54	232.94	173.85	150.17	90.77	92.05	129.69	356.05	412.0	563.18	242.88	417.77	432.53	381.68	336.79	429.54	511.0	435.55	346.29	532.74	583.07	417.77	514.56	438.59	656.11	426.57	1183.45	854.13	466.88	483.38	457.25	629.35	521.76	638.15	148.09	660.68	493.56	412.0	543.96	483.38	651.58	674.59	684.02
KLHL28	33.3	87.03	63.0	37.85	20.86	76.17	84.63	111.99	52.45	53.57	57.89	23.93	21.94	64.8	52.08	56.68	63.89	31.9	69.03	36.27	62.12	52.45	75.64	40.93	37.32	53.57	50.98	42.41	54.33	46.18	17.9	98.73	50.63	25.72	107.38	20.86	81.14	40.07	56.28	48.87	72.01	42.71	17.64	19.11	48.87	102.97	214.27	106.63	37.59	110.43	76.71	92.7	48.87	96.01	84.63	87.03	95.34	84.63	100.13	114.36	51.35	105.89	131.51	67.59	162.14	99.43	107.38	53.95	75.64	115.97	84.04	91.41	48.87	96.01	85.22	84.63	72.01	62.56	130.6	232.94	141.02
KLHL9	124.37	156.59	55.1	18.03	75.64	343.89	115.97	361.04	1.81	52.82	214.27	164.42	64.8	312.0	98.73	103.69	180.02	121.79	258.57	85.22	71.0	92.05	265.87	329.84	129.69	69.03	135.24	85.82	162.14	146.03	102.25	25.72	70.51	87.03	170.25	72.52	27.84	116.78	84.63	122.64	166.73	9.41	7.88	116.78	120.94	336.79	503.95	514.56	139.07	438.59	246.28	400.71	323.03	384.34	417.77	470.14	507.46	389.72	438.59	435.55	371.22	353.59	507.46	454.09	981.29	457.25	454.09	77.25	389.72	301.33	258.57	406.31	89.51	470.14	400.71	395.18	307.69	265.87	587.13	587.13	201.25
KRT7	131982.68	123144.13	138544.47	75280.1	63742.91	13033.07	105727.15	22692.63	21768.19	50359.33	113315.62	2351.53	117311.73	139508.13	167058.21	25708.25	112532.89	124863.17	96616.71	68318.04	82378.63	11424.74	17078.76	89523.81	146444.06	150561.19	131071.0	127486.83	118949.35	152662.96	80125.95	149521.18	92040.7	80683.28	134755.94	125731.67	132900.7	110216.97	151608.43	201440.3	161367.56	104996.83	146444.06	75280.1	114897.47	417089.23	408505.64	77934.88	120609.84	57051.4	209994.66	76861.91	194578.47	110216.97	200048.85	244588.0	95949.32	114897.47	84694.64	95949.32	85283.74	126606.21	55107.99	99333.0	63302.6	87681.42	93974.69	143430.26	149521.18	194578.47	153724.82	215898.44	141455.6	120609.84	69753.56	160252.91	296977.71	134755.94	107203.06	17927.91	110983.6
LEPROT	514.56	759.08	244.57	303.44	708.18	1135.2	854.13	1183.45	954.43	1397.83	884.29	343.89	915.51	896.64	540.19	400.71	866.07	305.55	718.08	343.89	620.67	679.29	1498.22	293.07	629.35	660.68	830.75	679.29	444.72	1073.91	470.14	967.76	532.74	759.08	780.44	540.19	967.76	483.38	660.68	928.3	1286.18	567.1	656.11	483.38	909.17	1745.2	2119.22	3124.78	633.73	2075.59	769.69	1963.57	2400.97	1697.45	2032.85	2520.38	2739.08	1268.46	2271.4	1277.29	1369.04	1529.73	3303.0	1963.57	1909.85	2178.83	1883.54	2240.11	1594.73	884.29	1806.78	2133.97	836.53	1277.29	1407.55	1896.65	1832.01	961.07	1757.34	1769.57	1407.55
LYSMD3	51.71	109.66	61.25	49.56	86.43	190.34	153.34	181.28	59.13	84.63	62.12	86.43	70.51	205.5	61.68	64.8	90.14	91.41	83.45	47.84	99.43	84.04	115.97	59.97	62.12	60.39	102.97	72.01	101.54	82.29	48.18	74.06	108.9	53.57	96.01	27.44	126.12	87.65	77.79	116.78	92.7	66.18	33.3	58.3	51.35	212.78	244.57	269.6	173.85	316.37	217.27	441.64	273.37	318.57	332.14	318.57	320.8	244.57	348.71	279.14	226.54	249.73	426.57	256.78	713.11	587.13	316.37	241.19	241.19	371.22	260.38	361.04	67.12	332.14	301.33	299.25	343.89	236.21	463.65	514.56	241.19
MANEA	92.7	104.42	43.63	111.21	31.22	67.12	76.17	155.5	88.26	68.55	93.35	90.14	45.85	80.01	119.26	43.02	122.64	41.52	71.0	47.5	185.11	73.54	79.45	90.77	56.28	96.68	68.55	99.43	80.57	114.36	31.45	180.02	90.77	18.97	231.32	23.42	149.12	76.17	48.18	132.44	98.73	96.01	72.01	42.41	48.87	129.69	178.77	204.07	273.37	193.01	110.43	197.09	232.94	155.5	226.54	265.87	191.67	220.32	228.13	223.41	127.89	138.1	389.72	241.19	289.02	366.09	237.86	53.57	145.02	99.43	148.09	190.34	49.21	215.77	170.25	244.57	195.72	127.0	265.87	293.07	121.79
METTL14	142.01	146.03	94.01	150.17	135.24	265.87	171.45	273.37	171.45	75.64	135.24	86.43	83.45	301.33	106.63	178.77	127.89	149.12	161.02	172.65	114.36	118.43	267.73	140.04	120.94	64.34	119.26	118.43	139.07	169.07	90.14	130.6	102.25	102.97	137.14	82.87	146.03	98.73	122.64	132.44	149.12	116.78	70.01	86.43	116.78	289.02	371.22	269.6	183.82	351.14	190.34	289.02	229.72	332.14	283.05	283.05	277.2	256.78	336.79	256.78	258.57	226.54	336.79	273.37	336.79	381.68	325.29	155.5	234.57	260.38	248.0	206.94	135.24	285.03	228.13	253.23	246.28	231.32	339.14	525.39	279.14
MFAP3	167.9	256.78	116.78	169.07	178.77	323.03	277.2	295.11	140.04	148.09	132.44	137.14	100.83	368.65	181.28	181.28	231.32	158.79	229.72	120.1	231.32	178.77	279.14	159.9	105.89	147.06	157.68	131.51	189.02	205.5	128.79	144.01	239.52	108.14	224.97	120.94	249.73	148.09	182.55	231.32	177.53	127.0	116.78	130.6	125.24	246.28	325.29	435.55	171.45	379.04	231.32	351.14	283.05	255.0	262.2	295.11	287.01	312.0	303.44	303.44	264.03	267.73	361.04	351.14	543.96	379.04	309.83	507.46	285.03	543.96	277.2	629.35	169.07	358.54	339.14	325.29	348.71	579.04	289.02	420.68	336.79
MSANTD4	63.89	83.45	75.64	129.69	52.82	208.38	94.01	211.31	39.5	39.79	107.38	62.56	82.87	295.11	90.77	90.14	96.01	56.28	93.35	120.94	115.97	79.45	166.73	70.51	60.39	59.13	88.88	63.0	75.11	89.51	46.84	52.08	167.9	53.57	93.35	46.84	118.43	62.56	64.34	112.77	88.88	69.03	35.76	110.43	115.16	164.42	182.55	215.77	85.82	297.17	122.64	217.27	156.59	295.11	387.02	253.23	379.04	293.07	182.55	285.03	249.73	236.21	234.57	226.54	420.68	265.87	397.93	133.36	159.9	120.1	218.79	123.5	123.5	229.72	301.33	381.68	214.27	202.66	316.37	379.04	297.17
MTMR6	100.83	189.02	85.22	120.94	74.06	285.03	161.02	285.03	169.07	84.63	91.41	82.29	102.25	236.21	126.12	98.04	173.85	209.84	166.73	146.03	131.51	112.77	299.25	98.73	76.71	97.36	148.09	121.79	99.43	95.34	115.16	194.36	231.32	102.25	165.57	60.39	113.56	120.1	118.43	161.02	125.24	134.3	115.16	162.14	148.09	176.29	320.8	371.22	239.52	336.79	195.72	389.72	420.68	395.18	329.84	470.14	395.18	275.28	426.57	358.54	490.14	348.71	718.08	432.53	723.08	414.87	441.64	224.97	381.68	376.41	289.02	376.41	241.19	426.57	297.17	460.44	318.57	253.23	507.46	426.57	253.23
MTX3	15.22	46.18	11.21	31.0	14.24	38.95	51.35	76.71	14.89	16.51	12.83	19.97	8.51	74.58	17.13	12.74	31.9	17.38	33.3	8.0	28.45	8.71	77.25	11.04	5.15	15.91	16.03	15.45	17.0	27.44	5.11	24.46	17.38	16.27	42.11	3.99	28.04	6.73	28.86	28.24	32.36	27.25	8.38	6.26	23.42	48.52	75.11	131.51	8.58	74.06	46.18	45.21	35.76	80.57	52.45	63.89	70.01	53.95	98.04	63.0	67.59	38.95	64.8	53.95	105.89	59.55	92.7	64.8	82.87	67.12	52.08	66.65	12.64	93.35	67.12	65.72	52.82	30.34	120.94	255.0	116.78
