	TCGA.4Z.AA84.01A.11R.A39I.07	TCGA.G2.A3IE.01A.11R.A20F.07	TCGA.UY.A9PE.01A.11R.A38B.07	TCGA.DK.A1A6.01A.11R.A13Y.07	TCGA.FD.A3SJ.01A.12R.A22U.07	TCGA.UY.A9PF.01A.11R.A38B.07	TCGA.CU.A0YR.01A.12R.A10U.07	TCGA.XF.A8HH.01A.11R.A38B.07	TCGA.K4.A6MB.01A.11R.A31N.07	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.BL.A13J.01A.11R.A10U.07	TCGA.BL.A0C8.01A.11R.A10U.07	TCGA.DK.A3X1.01A.12R.A22U.07	TCGA.DK.A3IK.01A.32R.A21D.07	TCGA.XF.AAMY.01A.11R.A42T.07	TCGA.2F.A9KW.01A.11R.A38B.07	TCGA.FD.A43N.01A.11R.A23W.07	TCGA.H4.A2HO.01A.11R.A180.07	TCGA.UY.A9PD.01A.11R.A38B.07	TCGA.DK.A2I1.01A.11R.A180.07	TCGA.DK.AA6P.01A.11R.A39I.07	TCGA.XF.AAMZ.01A.11R.A42T.07	TCGA.FD.A3NA.01A.11R.A21D.07	TCGA.4Z.AA7M.01A.11R.A39I.07	TCGA.C8.A12P.01A.11R.A115.07	TCGA.BH.A203.01A.12R.A169.07	TCGA.L5.A4OG.01A.11R.A260.31	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.BQ.7058.01A.11R.1965.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.97.8547.01A.11R.2403.07	TCGA.55.A490.01A.11R.A466.07	TCGA.62.8397.01A.11R.2326.07	TCGA.CG.5724.01A.11R.1602.13	TCGA.VQ.A8E7.01B.11R.A414.31	TCGA.RD.A8N9.01A.12R.A39E.31	TCGA.D7.A6EY.01A.21R.A31P.31	TCGA.VQ.A91S.01A.11R.A414.31	TCGA.MX.A5UJ.01A.11R.A31P.31	TCGA.VQ.A91X.01A.12R.A414.31	TCGA.HU.A4H4.01A.21R.A251.31	TCGA.IN.AB1V.01A.21R.A414.31	TCGA.VQ.A94U.01A.12R.A414.31	TCGA.RD.A8NB.01A.12R.A39E.31	TCGA.3M.AB47.01A.22R.A414.31	TCGA.VQ.A922.01A.11R.A414.31	TCGA.VQ.A8PJ.01A.11R.A414.31	TCGA.D7.6526.01A.11R.1802.13	TCGA.VQ.A8PO.01A.11R.A414.31	TCGA.CG.5719.01A.11R.1602.13	TCGA.CD.5804.01A.12R.2055.13	TCGA.BR.6453.01A.11R.1802.13	TCGA.D7.6524.01A.11R.1802.13	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A2CO.01A.11R.A19O.07
DHX9	3103.19	1561.89	2209.26	2468.49	3372.43	2240.11	2351.53	1745.2	2018.8	2090.03	2573.36	1909.85	2335.28	3146.52	2133.97	2573.36	2148.82	2417.67	2701.35	2271.4	2555.58	3168.41	2047.0	3716.2	2816.11	2682.69	2104.58	1340.84	1487.87	1111.82	1044.52	1467.37	1769.57	995.0	1304.15	693.58	1857.6	1806.78	1757.34	1313.23	2224.63	2520.38	2163.77	3212.66	2434.5	2816.11	2451.44	1709.26	3395.89	2468.49	2335.28	2701.35	2609.3	2351.53	2502.97	1769.57	1605.83	2032.85	1896.65	1617.0	1286.18
DIMT1	511.0	503.95	239.52	293.07	287.01	470.14	460.44	381.68	277.2	255.0	309.83	255.0	260.38	193.01	470.14	371.22	403.5	329.84	285.03	251.48	441.64	373.81	483.38	473.41	441.64	295.11	656.11	450.94	125.24	287.01	226.54	217.27	181.28	134.3	201.25	121.79	339.14	403.5	232.94	511.0	289.02	460.44	438.59	884.29	417.77	842.36	493.56	426.57	688.78	543.96	638.15	486.75	273.37	295.11	547.75	503.95	400.71	518.15	447.82	234.57	384.34
DIS3	85.82	255.0	221.86	334.46	206.94	281.09	470.14	244.57	1008.9	149.12	224.97	312.0	197.09	212.78	389.72	289.02	221.86	269.6	154.42	229.72	403.5	277.2	346.29	295.11	175.07	392.44	775.05	246.28	115.97	120.1	50.98	120.94	78.89	110.43	98.04	89.51	202.66	191.67	128.79	249.73	567.1	435.55	490.14	974.5	312.0	314.17	305.55	500.46	392.44	463.65	334.46	941.27	438.59	435.55	356.05	224.97	100.13	229.72	373.81	205.5	220.32
DOCK7	476.71	218.79	186.4	111.21	295.11	314.17	127.89	256.78	229.72	131.51	343.89	214.27	167.9	140.04	400.71	273.37	277.2	183.82	262.2	176.29	197.09	297.17	226.54	256.78	500.46	223.41	229.72	159.9	82.87	95.34	92.7	114.36	92.05	141.02	146.03	79.45	161.02	120.94	106.63	137.14	283.05	316.37	309.83	426.57	305.55	271.48	223.41	277.2	536.45	285.03	273.37	358.54	316.37	182.55	260.38	140.04	152.28	143.01	251.48	88.26	125.24
EIF3A	1447.15	796.86	954.43	1551.09	1359.57	1477.58	2047.0	1259.69	1350.18	791.35	1844.76	1977.24	708.18	718.08	2032.85	1540.37	1331.57	1008.9	988.12	1104.13	1233.75	1023.0	1286.18	1378.57	1369.04	1819.35	2119.22	1350.18	728.11	624.99	417.77	1135.2	547.75	551.56	693.58	441.64	1015.93	2591.27	1551.09	1304.15	2895.31	2148.82	2537.92	2645.74	2075.59	1594.73	2485.67	2335.28	3103.19	2573.36	2739.08	2133.97	2434.5	2417.67	2835.7	1437.15	1051.79	1250.98	2004.85	1111.82	1175.27
EIF3J	3060.45	909.17	616.37	1447.15	934.76	872.1	1225.22	1183.45	1111.82	854.13	1313.23	974.5	1037.29	1242.34	802.41	1447.15	748.61	1407.55	612.11	1015.93	954.43	1295.13	967.76	1286.18	1561.89	1023.0	1447.15	947.83	599.49	397.93	134.3	748.61	329.84	860.08	802.41	253.23	860.08	450.94	486.75	1397.83	1685.71	1467.37	1369.04	1832.01	1081.39	1819.35	2133.97	1487.87	2255.7	1397.83	1487.87	1037.29	2119.22	1757.34	1819.35	1295.13	1437.15	1794.29	1477.58	579.04	780.44
EP300	223.41	260.38	199.85	387.02	221.86	229.72	529.06	346.29	273.37	206.94	297.17	543.96	215.77	264.03	312.0	563.18	214.27	293.07	275.28	164.42	435.55	316.37	255.0	277.2	339.14	555.41	466.88	358.54	169.07	172.65	144.01	166.73	147.06	78.34	96.01	108.9	466.88	463.65	389.72	248.0	579.04	603.67	647.07	698.41	587.13	429.54	409.15	703.28	463.65	693.58	460.44	825.0	1015.93	728.11	470.14	409.15	281.09	389.72	525.39	229.72	285.03
EP400	115.97	161.02	155.5	155.5	182.55	147.06	115.97	173.85	170.25	111.21	158.79	189.02	100.83	158.79	180.02	267.73	173.85	100.83	118.43	81.14	163.28	115.16	139.07	246.28	181.28	149.12	332.14	237.86	69.52	73.03	94.01	84.04	162.14	54.33	68.07	36.53	208.38	316.37	186.4	248.0	406.31	242.88	363.56	486.75	283.05	334.46	223.41	307.69	371.22	356.05	205.5	435.55	316.37	289.02	289.02	206.94	128.79	190.34	249.73	120.1	172.65
ESCO1	293.07	123.5	180.02	151.22	141.02	141.02	139.07	187.71	167.9	161.02	229.72	218.79	187.71	164.42	193.01	137.14	116.78	157.68	136.19	80.01	249.73	133.36	170.25	228.13	166.73	435.55	389.72	166.73	35.76	27.25	17.77	90.14	46.18	92.7	100.83	17.64	120.1	124.37	111.99	143.01	211.31	358.54	204.07	256.78	194.36	182.55	229.72	285.03	312.0	279.14	231.32	244.57	253.23	217.27	273.37	124.37	169.07	109.66	133.36	94.67	117.6
ESF1	289.02	165.57	193.01	228.13	293.07	312.0	688.78	318.57	163.28	206.94	314.17	237.86	124.37	320.8	264.03	229.72	190.34	180.02	277.2	279.14	244.57	297.17	447.82	332.14	256.78	234.57	353.59	132.44	156.59	36.79	16.63	141.02	15.56	99.43	102.25	27.44	143.01	167.9	59.13	167.9	309.83	400.71	395.18	571.05	420.68	444.72	529.06	211.31	470.14	336.79	339.14	346.29	551.56	265.87	353.59	231.32	226.54	251.48	182.55	117.6	163.28
EVI5	66.65	85.22	67.12	123.5	96.01	138.1	144.01	134.3	291.04	67.12	127.0	194.36	62.56	88.26	211.31	314.17	80.57	149.12	87.65	35.5	105.89	76.17	121.79	115.97	108.9	88.26	112.77	67.12	25.54	31.22	17.64	67.12	32.13	52.82	44.89	43.32	96.01	153.34	137.14	99.43	191.67	241.19	198.47	289.02	193.01	177.53	180.02	201.25	209.84	249.73	226.54	341.51	153.34	126.12	152.28	118.43	81.14	162.14	234.57	97.36	90.77
EXOSC10	928.3	1119.56	1519.15	860.08	1540.37	656.11	830.75	1051.79	1051.79	974.5	854.13	785.88	738.29	1104.13	1331.57	769.69	1350.18	842.36	813.63	860.08	909.17	1277.29	1030.12	1857.6	947.83	941.27	1175.27	1066.48	536.45	483.38	511.0	532.74	540.19	454.09	381.68	400.71	967.76	1498.22	866.07	813.63	1183.45	995.0	1250.98	1167.14	995.0	1216.75	1015.93	1023.0	1477.58	1175.27	1088.92	1104.13	872.1	1008.9	1388.16	748.61	733.19	878.17	947.83	514.56	674.59
FAM208B	591.22	271.48	563.18	379.04	457.25	463.65	435.55	435.55	376.41	277.2	435.55	460.44	414.87	283.05	417.77	728.11	493.56	281.09	412.0	231.32	647.07	470.14	414.87	665.29	503.95	366.09	457.25	283.05	136.19	59.13	34.51	131.51	63.0	89.51	89.51	37.05	376.41	197.09	281.09	414.87	603.67	934.76	866.07	813.63	693.58	825.0	1119.56	759.08	1447.15	872.1	693.58	860.08	665.29	567.1	575.03	688.78	351.14	595.34	521.76	265.87	293.07
FOXN2	161.02	53.95	59.55	204.07	78.34	110.43	234.57	232.94	107.38	40.93	165.57	201.25	76.71	65.72	61.68	218.79	87.65	87.65	79.45	59.13	139.07	67.12	98.73	71.5	77.79	126.12	379.04	98.73	33.78	56.68	24.81	64.8	46.18	69.03	76.17	34.51	87.65	66.65	88.26	154.42	205.5	249.73	172.65	412.0	169.07	161.02	255.0	97.36	193.01	246.28	201.25	271.48	164.42	171.45	201.25	109.66	75.11	101.54	165.57	59.13	72.52
GABPB1	123.5	187.71	255.0	351.14	246.28	212.78	258.57	217.27	169.07	181.28	260.38	283.05	371.22	190.34	241.19	403.5	248.0	237.86	234.57	239.52	236.21	323.03	265.87	253.23	234.57	325.29	329.84	186.4	93.35	93.35	85.22	129.69	84.63	125.24	135.24	80.01	205.5	346.29	134.3	214.27	205.5	293.07	256.78	277.2	211.31	273.37	305.55	173.85	426.57	262.2	291.04	314.17	341.51	289.02	236.21	190.34	217.27	212.78	271.48	115.16	133.36
GCC2	159.9	279.14	146.03	155.5	275.28	325.29	314.17	131.51	283.05	140.04	426.57	397.93	133.36	172.65	264.03	167.9	223.41	366.09	119.26	143.01	432.53	123.5	256.78	373.81	341.51	316.37	341.51	101.54	106.63	57.49	34.75	126.12	63.0	71.0	63.45	21.63	336.79	169.07	176.29	215.77	1015.93	665.29	796.86	1088.92	567.1	842.36	642.59	529.06	616.37	497.0	638.15	703.28	409.15	583.07	612.11	312.0	193.01	358.54	371.22	178.77	154.42
GEMIN5	265.87	60.82	96.68	115.97	211.31	158.79	137.14	167.9	129.69	86.43	146.03	113.56	144.01	134.3	136.19	185.11	114.36	102.97	136.19	91.41	133.36	152.28	126.12	143.01	226.54	117.6	165.57	147.06	94.01	92.7	108.14	72.01	119.26	39.22	106.63	60.39	147.06	161.02	92.7	208.38	262.2	229.72	293.07	356.05	264.03	356.05	211.31	120.1	166.73	279.14	167.9	237.86	181.28	251.48	129.69	140.04	136.19	127.89	173.85	78.89	116.78
GPATCH4	638.15	327.56	334.46	432.53	1015.93	808.0	1119.56	633.73	500.46	358.54	441.64	444.72	532.74	599.49	728.11	1331.57	536.45	320.8	698.41	514.56	1096.5	718.08	723.08	1143.1	718.08	579.04	974.5	368.65	358.54	236.21	198.47	447.82	303.44	332.14	665.29	169.07	591.22	967.76	366.09	647.07	1008.9	1030.12	1037.29	1143.1	1208.34	854.13	1397.83	796.86	2119.22	1388.16	967.76	954.43	2104.58	1870.53	1397.83	967.76	1208.34	872.1	866.07	373.81	525.39
GTPBP4	2075.59	872.1	1037.29	1417.35	1923.14	1286.18	1001.93	651.58	842.36	808.0	1216.75	802.41	1242.34	808.0	921.88	1135.2	764.36	890.44	1407.55	713.11	1519.15	1572.76	1733.13	2133.97	1457.23	1104.13	928.3	791.35	299.25	305.55	187.71	316.37	279.14	400.71	412.0	170.25	665.29	563.18	470.14	733.19	1242.34	808.0	1037.29	1388.16	860.08	1104.13	1561.89	698.41	1417.35	842.36	743.43	1340.84	1167.14	1167.14	1001.93	476.71	540.19	500.46	647.07	351.14	454.09
HAUS6	241.19	181.28	98.04	237.86	163.28	127.89	287.01	91.41	138.1	82.29	181.28	108.14	121.79	46.84	73.54	94.01	121.79	100.83	150.17	70.01	146.03	92.7	178.77	172.65	143.01	297.17	267.73	79.45	59.13	48.87	14.35	55.89	25.54	40.64	38.12	15.91	75.64	82.29	55.1	161.02	123.5	211.31	189.02	426.57	132.44	190.34	191.67	131.51	172.65	197.09	241.19	136.19	121.79	98.73	255.0	63.0	79.45	69.52	115.16	45.53	67.12
HCFC1	769.69	555.41	647.07	616.37	775.05	366.09	830.75	480.04	866.07	642.59	450.94	723.08	529.06	514.56	769.69	954.43	713.11	432.53	607.87	441.64	825.0	941.27	620.67	1143.1	490.14	679.29	884.29	543.96	373.81	591.22	583.07	438.59	764.36	358.54	450.94	303.44	738.29	1199.98	532.74	688.78	1199.98	1127.35	1159.07	1819.35	1286.18	759.08	1119.56	921.88	1119.56	1572.76	928.3	1923.14	1340.84	1175.27	1183.45	941.27	599.49	842.36	842.36	460.44	571.05
HEATR1	429.54	109.66	105.89	202.66	244.57	208.38	287.01	185.11	151.22	101.54	186.4	133.36	120.1	120.94	205.5	187.71	208.38	96.68	182.55	115.97	267.73	189.02	234.57	802.41	269.6	305.55	450.94	191.67	58.71	77.25	43.32	72.01	62.56	51.35	116.78	32.13	178.77	152.28	97.36	157.68	438.59	356.05	366.09	674.59	287.01	332.14	327.56	241.19	473.41	420.68	202.66	764.36	532.74	575.03	318.57	208.38	161.02	159.9	271.48	82.29	95.34
HERC4	830.75	299.25	232.94	463.65	281.09	395.18	363.56	423.61	358.54	226.54	376.41	463.65	237.86	329.84	379.04	320.8	327.56	312.0	299.25	275.28	301.33	260.38	395.18	343.89	314.17	483.38	500.46	463.65	139.07	155.5	95.34	170.25	100.83	178.77	214.27	159.9	392.44	283.05	423.61	217.27	503.95	521.76	466.88	529.06	346.29	356.05	447.82	579.04	669.92	532.74	441.64	339.14	470.14	497.0	392.44	234.57	187.71	217.27	332.14	202.66	214.27
HIVEP1	186.4	105.89	124.37	204.07	325.29	239.52	167.9	224.97	201.25	162.14	141.02	143.01	98.04	189.02	150.17	231.32	260.38	136.19	128.79	140.04	169.07	95.34	151.22	221.86	343.89	473.41	269.6	264.03	50.63	66.65	70.01	85.22	59.13	82.29	100.13	59.97	193.01	334.46	146.03	145.02	363.56	414.87	299.25	490.14	231.32	279.14	269.6	323.03	356.05	269.6	206.94	275.28	193.01	271.48	291.04	163.28	155.5	256.78	246.28	103.69	133.36
HMGXB4	226.54	161.02	323.03	358.54	358.54	190.34	366.09	191.67	264.03	163.28	223.41	466.88	142.01	173.85	164.42	314.17	191.67	171.45	258.57	137.14	281.09	249.73	228.13	239.52	249.73	579.04	312.0	226.54	92.05	39.22	35.25	82.29	49.91	68.07	75.11	40.93	202.66	262.2	143.01	183.82	264.03	316.37	332.14	343.89	297.17	228.13	473.41	351.14	323.03	368.65	318.57	480.04	483.38	483.38	392.44	253.23	221.86	231.32	279.14	134.3	129.69
HNRNPR	1674.06	1467.37	2075.59	2835.7	2997.45	1844.76	2720.15	1745.2	2018.8	1697.45	2777.33	2018.8	2537.92	1498.22	2468.49	2178.83	2075.59	1709.26	2104.58	2351.53	2319.15	3190.46	1844.76	2573.36	1617.0	2255.7	1662.49	1081.39	733.19	848.22	753.83	866.07	1143.1	830.75	660.68	607.87	1639.59	3372.43	1143.1	1572.76	1674.06	1685.71	1832.01	2047.0	1963.57	1819.35	2209.26	1104.13	2193.99	1819.35	2047.0	2485.67	1487.87	2573.36	2133.97	1674.06	1286.18	1769.57	1883.54	1135.2	1167.14
HNRNPU	3820.7	2468.49	3060.45	3639.7	5711.87	2935.74	3847.29	2664.15	3303.0	3124.78	3639.7	2997.45	3443.31	2720.15	3794.3	4328.55	3515.68	2682.69	4512.4	3928.15	4358.66	3665.02	4239.45	4010.71	4419.52	7857.29	3874.05	1923.14	2627.46	2163.77	1896.65	2468.49	2835.7	1498.22	2287.2	1059.11	3257.52	5147.73	2555.58	2468.49	3955.48	4181.07	4639.29	5329.3	4298.64	4512.4	5041.77	2816.11	4419.52	4512.4	3847.29	6121.9	4268.94	3395.89	4481.23	2591.27	2163.77	2664.15	3081.75	2485.67	2163.77
HSPA14	785.88	507.46	1037.29	878.17	713.11	571.05	543.96	387.02	679.29	387.02	753.83	529.06	769.69	420.68	395.18	981.29	493.56	336.79	563.18	438.59	620.67	1111.82	802.41	902.89	647.07	764.36	529.06	438.59	141.02	190.34	123.5	185.11	158.79	209.84	217.27	71.0	423.61	287.01	314.17	444.72	480.04	669.92	713.11	738.29	587.13	612.11	928.3	480.04	1001.93	567.1	486.75	567.1	529.06	703.28	559.28	400.71	406.31	406.31	497.0	269.6	289.02
ICK	150.17	114.36	90.14	65.26	164.42	115.16	80.01	87.65	171.45	119.26	138.1	269.6	119.26	102.25	202.66	98.73	111.21	190.34	110.43	72.01	249.73	78.34	108.14	171.45	206.94	205.5	108.9	87.03	52.82	44.89	26.1	75.64	45.85	62.12	98.04	34.75	142.01	197.09	141.02	45.21	183.82	287.01	163.28	389.72	194.36	231.32	312.0	267.73	281.09	246.28	239.52	291.04	260.38	329.84	215.77	110.43	106.63	116.78	185.11	77.79	85.82
IKZF5	127.0	127.89	435.55	151.22	128.79	146.03	153.34	156.59	185.11	102.25	236.21	299.25	59.13	120.94	178.77	115.97	143.01	167.9	158.79	91.41	176.29	101.54	129.69	176.29	155.5	521.76	204.07	148.09	68.55	61.68	33.06	104.42	62.56	98.73	60.82	59.55	119.26	215.77	153.34	133.36	208.38	277.2	220.32	332.14	220.32	165.57	224.97	295.11	417.77	262.2	249.73	305.55	172.65	305.55	214.27	103.69	102.97	122.64	190.34	138.1	145.02
INTS8	1685.71	1104.13	500.46	988.12	2004.85	1151.06	343.89	656.11	780.44	470.14	1037.29	693.58	764.36	2682.69	995.0	688.78	1388.16	536.45	1127.35	981.29	988.12	591.22	1225.22	3540.14	518.15	3257.52	884.29	785.88	242.88	145.02	116.78	295.11	169.07	384.34	947.83	98.73	389.72	1583.71	400.71	246.28	921.88	1617.0	1378.57	2018.8	1233.75	2520.38	848.22	1159.07	1721.16	1225.22	2351.53	1322.37	1662.49	1991.0	1685.71	470.14	723.08	825.0	842.36	269.6	320.8
IPMK	121.79	33.3	45.53	8.58	35.76	57.08	44.89	46.5	75.64	28.45	84.04	125.24	41.22	43.63	47.84	218.79	38.12	71.5	40.93	36.01	66.65	29.27	54.72	34.75	69.03	215.77	77.79	34.02	30.78	31.0	15.0	48.18	33.06	31.67	24.81	16.51	66.65	152.28	74.58	52.45	110.43	103.69	105.15	178.77	77.25	138.1	126.12	158.79	154.42	118.43	153.34	112.77	79.45	102.25	163.28	48.18	48.52	60.82	90.77	38.95	44.89
JHDM1D	50.98	68.55	46.84	35.25	74.06	41.22	53.19	48.87	55.49	58.3	208.38	127.0	52.08	52.82	72.01	34.51	98.04	62.56	67.12	45.21	112.77	36.01	37.05	40.93	93.35	149.12	255.0	205.5	32.36	22.26	17.64	30.56	36.01	41.52	44.89	24.81	143.01	277.2	62.12	80.01	395.18	197.09	164.42	420.68	158.79	293.07	115.16	320.8	194.36	181.28	307.69	198.47	90.14	102.97	384.34	77.25	81.14	158.79	187.71	33.78	63.89
KIAA0586	253.23	180.02	152.28	161.02	146.03	84.04	193.01	128.79	122.64	351.14	265.87	228.13	165.57	255.0	126.12	161.02	150.17	228.13	104.42	94.01	110.43	141.02	152.28	82.87	255.0	186.4	148.09	161.02	108.9	51.35	17.0	108.9	57.08	101.54	151.22	22.75	169.07	217.27	145.02	84.63	208.38	212.78	187.71	224.97	186.4	236.21	148.09	199.85	190.34	277.2	221.86	239.52	167.9	163.28	205.5	133.36	116.78	148.09	135.24	106.63	75.64
KIF2A	175.07	117.6	90.14	229.72	165.57	173.85	118.43	242.88	214.27	82.87	371.22	204.07	69.03	66.65	332.14	351.14	212.78	146.03	82.87	76.17	279.14	246.28	325.29	301.33	473.41	251.48	420.68	162.14	48.18	99.43	63.0	120.1	54.33	35.76	64.8	18.16	193.01	808.0	122.64	223.41	341.51	327.56	414.87	813.63	236.21	356.05	312.0	242.88	334.46	480.04	287.01	647.07	262.2	201.25	295.11	170.25	102.97	229.72	307.69	92.05	122.64
KPNA3	102.97	249.73	258.57	454.09	305.55	262.2	583.07	371.22	409.15	246.28	267.73	236.21	395.18	269.6	454.09	339.14	271.48	212.78	273.37	246.28	473.41	242.88	363.56	301.33	269.6	470.14	836.53	363.56	165.57	154.42	87.03	229.72	146.03	271.48	198.47	108.14	220.32	119.26	120.1	490.14	780.44	616.37	454.09	679.29	409.15	514.56	507.46	454.09	486.75	612.11	432.53	759.08	633.73	392.44	486.75	234.57	197.09	229.72	454.09	277.2	334.46
KPNA4	392.44	348.71	264.03	612.11	591.22	595.34	848.22	579.04	457.25	279.14	559.28	412.0	351.14	417.77	540.19	358.54	269.6	242.88	406.31	483.38	444.72	438.59	389.72	381.68	603.67	819.3	595.34	336.79	151.22	237.86	193.01	323.03	185.11	162.14	149.12	88.26	246.28	660.68	255.0	379.04	669.92	583.07	457.25	651.58	348.71	454.09	647.07	660.68	387.02	669.92	444.72	679.29	612.11	392.44	551.56	305.55	312.0	301.33	500.46	248.0	332.14
LARP4B	808.0	579.04	450.94	718.08	808.0	547.75	521.76	551.56	563.18	414.87	808.0	769.69	543.96	563.18	674.59	559.28	454.09	473.41	450.94	249.73	915.51	866.07	884.29	1159.07	713.11	703.28	660.68	435.55	231.32	275.28	281.09	307.69	309.83	171.45	208.38	137.14	432.53	403.5	679.29	633.73	1242.34	669.92	921.88	1225.22	796.86	854.13	1151.06	1030.12	1350.18	688.78	547.75	1191.69	1044.52	954.43	915.51	559.28	371.22	473.41	764.36	476.71	525.39
LIN7C	117.6	197.09	137.14	140.04	183.82	131.51	218.79	154.42	104.42	133.36	132.44	131.51	185.11	144.01	131.51	162.14	113.56	251.48	172.65	125.24	157.68	138.1	121.79	134.3	185.11	217.27	199.85	121.79	154.42	144.01	41.81	178.77	121.79	144.01	88.88	136.19	165.57	94.01	223.41	130.6	258.57	325.29	269.6	511.0	325.29	493.56	237.86	373.81	325.29	454.09	420.68	226.54	435.55	201.25	389.72	175.07	346.29	172.65	223.41	283.05	232.94
LMO4	796.86	629.35	1277.29	325.29	1909.85	155.5	684.02	1023.0	1015.93	660.68	1119.56	988.12	1583.71	4123.49	647.07	3716.2	1096.5	1870.53	1662.49	1259.69	1540.37	3955.48	1540.37	884.29	454.09	1135.2	575.03	595.34	295.11	366.09	332.14	679.29	559.28	312.0	514.56	269.6	819.3	218.79	860.08	395.18	1242.34	1883.54	2835.7	1242.34	1119.56	620.67	3589.58	1685.71	1991.0	2956.17	3303.0	1191.69	2384.37	1487.87	1977.24	1508.65	2520.38	915.51	2303.12	1216.75	796.86
LRRC1	703.28	665.29	825.0	497.0	703.28	656.11	444.72	438.59	759.08	842.36	796.86	503.95	629.35	603.67	579.04	334.46	543.96	665.29	866.07	339.14	244.57	293.07	896.64	1167.14	532.74	890.44	327.56	420.68	72.01	194.36	120.94	133.36	120.94	56.68	143.01	6.78	277.2	376.41	125.24	348.71	493.56	500.46	351.14	954.43	392.44	563.18	612.11	500.46	470.14	525.39	379.04	559.28	551.56	651.58	551.56	400.71	279.14	201.25	429.54	220.32	249.73
MAP3K8	607.87	275.28	205.5	665.29	159.9	723.08	283.05	239.52	486.75	567.1	193.01	334.46	208.38	197.09	470.14	503.95	642.59	169.07	122.64	256.78	228.13	759.08	420.68	148.09	178.77	182.55	563.18	314.17	38.12	76.71	211.31	84.63	129.69	69.52	177.53	74.58	229.72	191.67	334.46	204.07	334.46	379.04	511.0	934.76	371.22	698.41	974.5	316.37	279.14	267.73	297.17	633.73	199.85	180.02	642.59	161.02	232.94	239.52	387.02	148.09	150.17
MAP4K3	258.57	521.76	309.83	575.03	376.41	703.28	866.07	718.08	460.44	389.72	392.44	738.29	536.45	384.34	813.63	287.01	353.59	836.53	281.09	305.55	703.28	547.75	457.25	297.17	450.94	289.02	616.37	112.77	146.03	97.36	54.72	142.01	71.0	116.78	108.14	67.12	248.0	239.52	172.65	277.2	503.95	466.88	373.81	633.73	384.34	395.18	403.5	409.15	764.36	483.38	497.0	733.19	995.0	329.84	309.83	376.41	223.41	208.38	397.93	206.94	218.79
MCMBP	791.35	426.57	591.22	1286.18	651.58	748.61	1066.48	555.41	785.88	547.75	759.08	878.17	403.5	387.02	703.28	954.43	563.18	435.55	518.15	536.45	559.28	854.13	928.3	764.36	848.22	1350.18	1159.07	620.67	267.73	251.48	277.2	329.84	314.17	269.6	251.48	191.67	483.38	981.29	612.11	808.0	1051.79	947.83	941.27	1059.11	921.88	633.73	1073.91	679.29	1304.15	934.76	860.08	967.76	708.18	1059.11	1073.91	607.87	536.45	607.87	780.44	343.89	438.59
MED23	190.34	237.86	432.53	100.83	193.01	124.37	307.69	215.77	231.32	133.36	191.67	195.72	108.9	189.02	215.77	132.44	177.53	244.57	157.68	87.65	819.3	158.79	154.42	339.14	275.28	563.18	423.61	217.27	152.28	120.1	92.05	140.04	153.34	78.34	68.55	74.06	231.32	155.5	341.51	178.77	423.61	503.95	454.09	507.46	435.55	551.56	371.22	713.11	647.07	507.46	438.59	242.88	463.65	305.55	363.56	157.68	141.02	221.86	309.83	249.73	275.28
MFN1	466.88	348.71	281.09	669.92	409.15	409.15	318.57	490.14	559.28	199.85	414.87	447.82	244.57	379.04	447.82	420.68	353.59	291.04	463.65	387.02	555.41	392.44	420.68	633.73	830.75	1388.16	620.67	483.38	163.28	215.77	62.56	152.28	85.82	113.56	112.77	81.71	454.09	356.05	223.41	267.73	567.1	698.41	607.87	854.13	395.18	476.71	791.35	842.36	500.46	629.35	583.07	1135.2	665.29	497.0	507.46	291.04	323.03	269.6	511.0	314.17	277.2
MGA	133.36	109.66	96.01	82.87	111.21	90.77	125.24	115.16	84.04	68.07	165.57	149.12	69.03	112.77	118.43	158.79	92.7	100.13	70.51	65.72	123.5	105.15	80.01	167.9	182.55	164.42	105.89	57.49	40.93	38.67	15.0	53.95	34.51	28.24	30.34	16.63	102.97	101.54	64.8	84.63	186.4	214.27	156.59	269.6	118.43	171.45	149.12	220.32	273.37	146.03	130.6	371.22	176.29	206.94	119.26	77.79	98.73	112.77	127.89	53.57	67.12
MIER3	87.03	138.1	56.28	291.04	90.77	190.34	279.14	131.51	121.79	93.35	116.78	169.07	63.0	53.19	193.01	173.85	113.56	135.24	79.45	49.91	158.79	94.67	101.54	146.03	189.02	181.28	142.01	87.65	40.36	53.57	26.67	71.0	63.45	60.82	55.49	49.56	118.43	171.45	102.97	73.03	127.0	202.66	204.07	336.79	198.47	318.57	127.89	189.02	198.47	234.57	248.0	141.02	202.66	109.66	234.57	100.83	53.19	74.58	144.01	89.51	126.12
