	TCGA.W5.AA34.11A.11R.A41I.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KN.8437.01A.11R.2315.07	TCGA.AK.3453.01A.02R.1277.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.B9.A8YI.01A.21R.A37K.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.MR.A8JO.01A.12R.A36F.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.DD.A116.11A.12R.A26B.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A1EH.11A.11R.A131.07	GTEX.11ZUS.2526.SM.59872	GTEX.11NV4.1326.SM.5HL6V	GTEX.13FTZ.0726.SM.5IFFY	GTEX.ZYT6.0626.SM.5E45V	GTEX.11DXY.0526.SM.5EGGQ	GTEX.13VXU.0926.SM.5IFFH	TCGA.RD.A8N9.01A.12R.A39E.31	TCGA.VQ.A923.01A.11R.A414.31	TCGA.HU.A4GY.01A.21R.A24K.31	TCGA.D7.A4Z0.01A.22R.A251.31	TCGA.BR.A44T.01A.32R.A24K.31	TCGA.D7.A6F2.01A.12R.A31P.31	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.BR.8369.01A.11R.2343.13	TCGA.CD.A48A.01A.12R.A36D.31	TCGA.CG.4304.01A.01R.1157.13	TCGA.CD.8534.01A.11R.2343.13	TCGA.VQ.A8PQ.01A.11R.A414.31	TCGA.3M.AB47.01A.22R.A414.31	TCGA.D7.8579.01A.11R.2343.13	TCGA.FP.A9TM.01A.11R.A39E.31	GTEX.WFON.1126.SM.4LVMA	GTEX.RWS6.0926.SM.47JXE	GTEX.Y5V6.1326.SM.4VDTF	GTEX.V1D1.1726.SM.4JBHB	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.EM.A3SY.01A.11R.A22U.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.EM.A3O9.01A.11R.A220.07	TCGA.EM.A2CM.01A.11R.A180.07
KANSL1	312.0	236.21	318.57	426.57	518.15	438.59	323.03	256.78	314.17	420.68	293.07	180.02	223.41	111.99	191.67	180.02	211.31	175.07	208.38	295.11	197.09	848.22	1369.04	842.36	961.07	1023.0	813.63	1304.15	1104.13	738.29	884.29	866.07	1909.85	738.29	954.43	1135.2	547.75	409.15	348.71	738.29	511.0	327.56	525.39	493.56	551.56	361.04	486.75	620.67	346.29	656.11	483.38	323.03	669.92
KCTD18	176.29	178.77	152.28	214.27	191.67	118.43	165.57	205.5	169.07	153.34	148.09	157.68	193.01	86.43	159.9	152.28	153.34	223.41	157.68	211.31	211.31	191.67	209.84	297.17	193.01	307.69	251.48	249.73	198.47	201.25	287.01	205.5	279.14	256.78	287.01	258.57	267.73	236.21	297.17	246.28	212.78	199.85	217.27	279.14	223.41	205.5	239.52	167.9	152.28	206.94	237.86	156.59	214.27
KDM3B	246.28	327.56	264.03	497.0	460.44	281.09	497.0	406.31	343.89	376.41	301.33	176.29	191.67	136.19	164.42	130.6	163.28	175.07	185.11	209.84	149.12	890.44	890.44	921.88	693.58	941.27	884.29	890.44	902.89	638.15	575.03	1081.39	1233.75	860.08	866.07	902.89	540.19	356.05	371.22	511.0	638.15	381.68	753.83	483.38	555.41	441.64	486.75	624.99	463.65	775.05	529.06	309.83	743.43
KIAA1033	429.54	172.65	162.14	529.06	387.02	312.0	260.38	529.06	299.25	441.64	318.57	253.23	281.09	77.79	234.57	99.43	211.31	327.56	172.65	165.57	312.0	414.87	638.15	928.3	454.09	743.43	397.93	738.29	536.45	400.71	612.11	476.71	791.35	450.94	511.0	819.3	223.41	120.1	264.03	323.03	323.03	241.19	420.68	236.21	320.8	251.48	277.2	264.03	426.57	397.93	209.84	289.02	420.68
KIAA1468	150.17	198.47	108.9	237.86	185.11	49.21	143.01	201.25	117.6	172.65	118.43	132.44	128.79	84.63	95.34	83.45	96.01	104.42	92.05	90.14	98.04	218.79	384.34	480.04	384.34	325.29	318.57	551.56	307.69	206.94	348.71	242.88	511.0	287.01	429.54	620.67	441.64	295.11	142.01	267.73	172.65	166.73	249.73	305.55	275.28	194.36	281.09	185.11	151.22	237.86	197.09	189.02	297.17
KIDINS220	226.54	435.55	267.73	738.29	348.71	262.2	194.36	241.19	293.07	255.0	256.78	178.77	205.5	76.17	151.22	91.41	127.0	114.36	133.36	211.31	190.34	599.49	575.03	669.92	500.46	567.1	633.73	638.15	684.02	473.41	473.41	543.96	708.18	420.68	733.19	571.05	447.82	211.31	307.69	555.41	406.31	361.04	336.79	454.09	429.54	397.93	587.13	293.07	262.2	339.14	392.44	231.32	503.95
KMT2A	141.02	88.88	100.13	140.04	170.25	59.55	56.28	90.14	73.54	80.01	94.01	84.63	107.38	38.67	66.18	98.04	148.09	76.17	101.54	124.37	86.43	368.65	521.76	688.78	412.0	693.58	356.05	674.59	583.07	371.22	206.94	591.22	988.12	316.37	441.64	656.11	191.67	144.01	165.57	314.17	154.42	100.83	150.17	171.45	186.4	105.15	218.79	141.02	115.97	170.25	154.42	88.88	190.34
LA16c-431H6.6	0.0	0.0	0.47	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.17	20.26	13.52	4.28	15.8	50.98	8.78	16.03	12.09	7.0	8.51	11.82	7.11	4.31	20.41	2.51	1.66	2.12	2.46	0.0	0.0	0.61	0.0	0.58	0.53	0.0	0.54	0.58	0.0	0.0	0.0	0.0
LRIG1	444.72	84.63	384.34	525.39	205.5	507.46	301.33	395.18	295.11	336.79	693.58	547.75	521.76	423.61	289.02	204.07	285.03	507.46	265.87	728.11	371.22	1508.65	909.17	934.76	629.35	1721.16	1313.23	1477.58	1417.35	1331.57	1896.65	2796.65	1059.11	836.53	1721.16	521.76	1519.15	1674.06	1008.9	1540.37	1295.13	507.46	1159.07	444.72	409.15	186.4	376.41	915.51	759.08	928.3	346.29	693.58	435.55
MAP3K5	164.42	161.02	323.03	177.53	52.45	134.3	93.35	166.73	149.12	271.48	197.09	109.66	120.1	94.01	105.15	66.18	149.12	142.01	34.75	55.49	105.15	314.17	381.68	406.31	376.41	264.03	186.4	438.59	353.59	599.49	285.03	303.44	376.41	543.96	301.33	373.81	262.2	232.94	271.48	186.4	339.14	190.34	143.01	312.0	217.27	150.17	599.49	237.86	384.34	264.03	138.1	183.82	84.04
MED13L	146.03	206.94	133.36	348.71	249.73	126.12	157.68	127.89	145.02	193.01	201.25	92.7	130.6	49.91	100.83	66.65	83.45	91.41	69.03	140.04	132.44	555.41	551.56	718.08	432.53	536.45	309.83	684.02	607.87	353.59	579.04	638.15	1015.93	403.5	595.34	684.02	356.05	142.01	264.03	307.69	381.68	224.97	441.64	303.44	244.57	149.12	256.78	368.65	291.04	441.64	241.19	228.13	262.2
MGA	59.97	67.59	60.82	97.36	70.01	40.93	31.45	53.19	53.95	49.21	74.06	21.01	49.91	16.63	44.89	48.87	46.5	38.95	28.04	53.19	58.71	214.27	189.02	258.57	164.42	180.02	161.02	256.78	293.07	139.07	175.07	183.82	392.44	130.6	211.31	231.32	60.39	67.59	111.21	96.68	107.38	81.14	88.88	84.63	82.87	53.57	85.82	67.12	78.89	97.36	92.7	57.49	77.79
MKL2	72.52	105.15	81.71	178.77	170.25	61.25	72.01	64.8	55.1	98.04	106.63	67.12	49.21	39.79	34.02	19.82	57.89	49.91	35.5	53.57	34.51	334.46	432.53	480.04	420.68	309.83	403.5	414.87	473.41	146.03	318.57	483.38	599.49	320.8	551.56	366.09	260.38	104.42	236.21	242.88	248.0	150.17	187.71	193.01	241.19	101.54	267.73	136.19	177.53	312.0	158.79	101.54	158.79
MON2	384.34	206.94	180.02	277.2	221.86	182.55	135.24	150.17	99.43	201.25	351.14	209.84	314.17	158.79	239.52	211.31	525.39	373.81	228.13	256.78	275.28	543.96	842.36	836.53	579.04	647.07	346.29	995.0	595.34	575.03	669.92	575.03	915.51	392.44	438.59	796.86	406.31	209.84	363.56	392.44	316.37	251.48	497.0	441.64	563.18	267.73	267.73	285.03	660.68	457.25	269.6	248.0	417.77
MRE11A	86.43	54.72	39.22	102.25	87.65	62.56	60.82	71.5	73.54	68.07	100.83	44.25	82.29	26.1	39.79	21.63	62.12	52.08	31.0	57.49	26.47	336.79	312.0	332.14	183.82	262.2	332.14	314.17	334.46	260.38	316.37	325.29	346.29	187.71	287.01	395.18	123.5	42.11	72.01	169.07	136.19	68.07	142.01	109.66	102.97	71.5	143.01	92.05	127.0	91.41	75.64	107.38	122.64
MT-CO1	2171106.91	3551506.25	4282434.24	3290783.22	3551506.25	5420519.65	3200796.55	2884719.27	3526974.2	4342214.81	3454390.1	2025714.3	1763486.6	1877002.62	1622738.51	2805836.45	1838374.44	2845004.48	1364554.84	1825675.85	2025714.3	1800541.22	1171559.48	3049200.37	2786455.11	1788103.97	2011721.67	1825675.85	1412675.8	3651352.71	2186208.16	2011721.67	701458.36	2691538.19	1956711.0	1851161.35	3091765.64	2654482.97	3995652.37	2805836.45	3832885.91	7202167.89	4885245.74	2904784.09	3676749.88	2263304.65	6956835.58	2884719.27	5308966.95	3676749.88	3526974.2	9307742.35	2864793.06
MTMR1	153.34	234.57	248.0	291.04	147.06	93.35	189.02	221.86	134.3	167.9	129.69	107.38	136.19	116.78	88.88	132.44	90.14	75.11	110.43	101.54	105.15	346.29	417.77	435.55	267.73	343.89	256.78	384.34	242.88	172.65	403.5	271.48	543.96	323.03	305.55	466.88	232.94	169.07	123.5	198.47	423.61	279.14	334.46	236.21	255.0	237.86	163.28	279.14	281.09	273.37	232.94	255.0	346.29
NARG2	291.04	318.57	334.46	693.58	420.68	260.38	197.09	336.79	316.37	273.37	301.33	163.28	255.0	73.54	316.37	265.87	336.79	231.32	232.94	285.03	332.14	599.49	612.11	656.11	441.64	638.15	476.71	830.75	759.08	417.77	656.11	808.0	961.07	587.13	656.11	878.17	579.04	435.55	403.5	497.0	547.75	457.25	281.09	376.41	379.04	371.22	406.31	412.0	346.29	417.77	414.87	291.04	540.19
NEU3	37.85	19.25	105.89	101.54	81.71	27.05	64.34	57.89	28.24	65.72	40.07	33.06	44.57	34.26	34.02	18.29	65.26	29.91	103.69	50.63	102.25	115.16	100.13	122.64	86.43	87.03	78.34	92.05	87.03	58.71	109.66	134.3	157.68	45.21	139.07	136.19	105.89	86.43	71.0	132.44	59.55	31.67	43.94	52.82	60.39	36.27	38.67	31.9	65.72	43.32	31.0	48.52	47.84
NFRKB	194.36	90.14	218.79	181.28	199.85	116.78	146.03	145.02	129.69	115.97	154.42	139.07	190.34	87.03	77.25	120.94	151.22	92.7	135.24	181.28	125.24	429.54	540.19	318.57	246.28	262.2	406.31	305.55	414.87	262.2	412.0	426.57	444.72	260.38	406.31	376.41	343.89	253.23	217.27	316.37	293.07	198.47	289.02	267.73	305.55	186.4	180.02	228.13	309.83	199.85	241.19	149.12	253.23
NSD1	90.77	132.44	69.03	295.11	208.38	105.15	176.29	165.57	134.3	119.26	154.42	96.68	105.15	57.08	65.72	44.57	85.22	78.89	92.7	68.07	61.68	376.41	363.56	473.41	343.89	358.54	318.57	363.56	381.68	281.09	389.72	514.56	532.74	281.09	460.44	361.04	164.42	180.02	218.79	242.88	244.57	197.09	209.84	221.86	231.32	195.72	183.82	202.66	201.25	312.0	190.34	147.06	236.21
OGT	525.39	381.68	555.41	708.18	896.64	291.04	299.25	450.94	256.78	447.82	1030.12	412.0	368.65	177.53	248.0	244.57	289.02	273.37	217.27	387.02	251.48	5219.6	4450.27	3955.48	1519.15	2240.11	2032.85	3349.13	2018.8	1359.57	2148.82	1674.06	4704.07	2367.9	1487.87	2758.13	764.36	536.45	579.04	896.64	819.3	819.3	1208.34	961.07	1991.0	967.76	1015.93	808.0	1151.06	1066.48	909.17	808.0	1111.82
PAK1	218.79	532.74	1073.91	620.67	480.04	463.65	693.58	660.68	563.18	470.14	158.79	262.2	181.28	173.85	155.5	166.73	105.15	87.03	363.56	351.14	339.14	753.83	1617.0	1175.27	1127.35	733.19	1923.14	1111.82	1073.91	1183.45	1417.35	1369.04	1295.13	802.41	1250.98	1322.37	1111.82	1286.18	703.28	1143.1	802.41	723.08	1073.91	1183.45	860.08	830.75	684.02	764.36	1135.2	603.67	1015.93	559.28	902.89
PARP11	59.97	38.12	34.02	87.65	67.59	19.39	100.83	41.22	69.03	86.43	43.02	46.5	52.45	32.13	34.02	20.56	52.82	65.26	74.06	35.76	41.22	98.04	65.72	162.14	68.55	137.14	178.77	135.24	76.71	43.63	100.13	133.36	221.86	78.89	94.01	145.02	35.25	47.17	50.27	77.79	108.14	71.0	132.44	133.36	92.7	92.05	82.87	67.12	127.0	124.37	94.01	62.12	84.04
PHIP	64.8	31.67	21.63	112.77	54.72	59.55	26.67	59.13	59.55	70.51	76.71	41.22	51.35	9.63	43.63	24.11	24.11	31.22	40.07	33.78	61.68	450.94	444.72	532.74	303.44	450.94	343.89	514.56	454.09	205.5	323.03	497.0	483.38	291.04	348.71	540.19	175.07	77.25	120.94	239.52	120.1	84.63	138.1	147.06	127.0	96.68	195.72	94.01	73.03	142.01	114.36	61.25	155.5
PRDM15	38.4	21.94	30.78	35.25	17.38	24.28	31.0	28.65	23.76	29.7	95.34	33.06	27.44	16.15	27.44	28.45	41.81	52.82	18.84	68.07	11.3	116.78	120.94	142.01	155.5	105.89	106.63	197.09	85.22	102.25	129.69	107.38	226.54	94.67	127.89	183.82	50.63	52.82	50.98	68.55	31.67	49.91	35.0	41.52	55.1	59.55	46.84	42.41	32.59	43.63	43.63	31.67	72.01
PRKRIR	325.29	320.8	802.41	559.28	476.71	197.09	211.31	329.84	279.14	291.04	237.86	273.37	223.41	105.15	195.72	343.89	229.72	348.71	242.88	187.71	305.55	995.0	651.58	1135.2	536.45	780.44	915.51	1104.13	981.29	420.68	941.27	988.12	947.83	928.3	679.29	1175.27	423.61	423.61	457.25	587.13	591.22	503.95	529.06	384.34	329.84	366.09	563.18	327.56	656.11	265.87	336.79	497.0	376.41
PRR3	88.88	53.57	91.41	127.0	94.01	114.36	98.73	103.69	120.1	134.3	220.32	100.13	108.14	52.45	124.37	202.66	173.85	109.66	139.07	150.17	148.09	285.03	234.57	389.72	163.28	389.72	197.09	283.05	255.0	320.8	277.2	348.71	336.79	236.21	215.77	244.57	127.0	91.41	187.71	237.86	199.85	148.09	204.07	190.34	273.37	195.72	332.14	234.57	136.19	224.97	256.78	162.14	348.71
R3HDM2	559.28	307.69	441.64	688.78	743.43	511.0	591.22	414.87	555.41	624.99	426.57	463.65	463.65	414.87	476.71	447.82	532.74	435.55	397.93	688.78	607.87	934.76	733.19	995.0	647.07	842.36	842.36	902.89	1407.55	1369.04	934.76	1304.15	1242.34	890.44	1001.93	1151.06	718.08	679.29	529.06	571.05	928.3	723.08	961.07	567.1	733.19	551.56	728.11	878.17	660.68	934.76	669.92	536.45	947.83
RICTOR	106.63	101.54	56.28	114.36	148.09	51.35	63.45	56.68	49.91	72.52	103.69	72.01	79.45	24.11	73.03	57.89	58.71	98.73	56.68	53.95	92.05	348.71	351.14	457.25	228.13	341.51	224.97	435.55	438.59	191.67	255.0	281.09	466.88	208.38	239.52	348.71	177.53	60.39	74.58	123.5	113.56	71.5	137.14	99.43	104.42	61.25	119.26	86.43	82.29	127.0	87.65	70.01	99.43
RNF111	212.78	167.9	271.48	420.68	299.25	138.1	214.27	175.07	242.88	249.73	237.86	159.9	158.79	131.51	165.57	110.43	169.07	209.84	211.31	155.5	211.31	381.68	438.59	409.15	283.05	447.82	289.02	392.44	361.04	221.86	314.17	420.68	688.78	253.23	301.33	503.95	189.02	186.4	177.53	273.37	242.88	265.87	154.42	356.05	271.48	166.73	273.37	202.66	236.21	293.07	264.03	206.94	246.28
RNF214	206.94	176.29	339.14	414.87	400.71	206.94	241.19	255.0	277.2	228.13	353.59	273.37	299.25	201.25	297.17	232.94	256.78	185.11	248.0	275.28	246.28	420.68	384.34	368.65	336.79	435.55	389.72	368.65	450.94	318.57	265.87	444.72	395.18	373.81	358.54	336.79	309.83	318.57	397.93	373.81	518.15	463.65	346.29	339.14	373.81	334.46	346.29	303.44	406.31	281.09	314.17	332.14	438.59
RSF1	138.1	217.27	134.3	283.05	249.73	109.66	78.34	149.12	133.36	70.51	136.19	80.57	120.94	27.64	101.54	87.65	100.13	117.6	77.25	111.21	92.7	769.69	679.29	866.07	583.07	1051.79	890.44	688.78	836.53	656.11	351.14	775.05	813.63	551.56	748.61	884.29	320.8	248.0	336.79	379.04	277.2	178.77	218.79	283.05	232.94	209.84	353.59	231.32	229.72	220.32	242.88	177.53	316.37
RSRC2	860.08	995.0	591.22	1477.58	1044.52	723.08	435.55	1175.27	802.41	974.5	947.83	579.04	753.83	309.83	624.99	540.19	748.61	796.86	435.55	647.07	693.58	1477.58	1378.57	1639.59	1388.16	1923.14	1151.06	1794.29	1477.58	1923.14	1819.35	1447.15	1639.59	1259.69	1277.29	1487.87	878.17	733.19	651.58	825.0	1143.1	1111.82	1191.69	1639.59	1457.23	878.17	1674.06	848.22	1250.98	1322.37	1199.98	934.76	1477.58
SART3	329.84	279.14	217.27	376.41	346.29	229.72	457.25	389.72	295.11	412.0	291.04	237.86	228.13	178.77	189.02	169.07	249.73	180.02	167.9	204.07	170.25	743.43	769.69	738.29	587.13	620.67	995.0	656.11	651.58	796.86	679.29	728.11	813.63	476.71	728.11	866.07	343.89	314.17	312.0	441.64	473.41	341.51	540.19	525.39	567.1	381.68	473.41	470.14	420.68	591.22	480.04	358.54	536.45
SEMA4B	351.14	764.36	1175.27	555.41	279.14	420.68	483.38	234.57	387.02	529.06	480.04	287.01	381.68	363.56	339.14	301.33	500.46	417.77	198.47	518.15	262.2	769.69	1208.34	9740.98	2351.53	1216.75	1498.22	890.44	1477.58	1745.2	1015.93	1388.16	1529.73	954.43	1250.98	3257.52	1159.07	1135.2	688.78	1313.23	351.14	457.25	426.57	684.02	684.02	514.56	1111.82	571.05	373.81	547.75	718.08	217.27	1066.48
SENP1	46.5	86.43	45.85	134.3	100.83	38.4	55.89	48.18	44.89	71.0	75.64	51.35	44.89	22.59	39.22	34.75	38.67	47.5	34.51	36.27	43.02	193.01	264.03	265.87	171.45	208.38	169.07	253.23	260.38	269.6	211.31	303.44	368.65	156.59	223.41	329.84	124.37	47.5	104.42	146.03	123.5	86.43	122.64	82.87	102.25	67.59	173.85	100.13	91.41	140.04	91.41	86.43	124.37
SENP7	95.34	80.57	70.01	244.57	307.69	60.39	36.01	78.34	77.25	120.1	142.01	88.26	66.18	15.91	65.26	40.93	65.26	71.5	72.01	63.89	82.87	287.01	305.55	511.0	215.77	414.87	77.25	532.74	215.77	118.43	295.11	244.57	514.56	212.78	220.32	285.03	314.17	105.89	110.43	221.86	191.67	113.56	237.86	239.52	253.23	120.1	214.27	209.84	148.09	246.28	151.22	111.99	195.72
SETD5	463.65	279.14	212.78	403.5	426.57	205.5	176.29	231.32	208.38	395.18	497.0	316.37	363.56	135.24	273.37	221.86	351.14	224.97	269.6	327.56	199.85	1233.75	1467.37	1477.58	981.29	1359.57	1066.48	1437.15	1806.78	967.76	1685.71	1639.59	1769.57	780.44	1119.56	1757.34	688.78	470.14	454.09	769.69	669.92	480.04	629.35	674.59	733.19	473.41	890.44	718.08	500.46	1088.92	540.19	329.84	669.92
SFSWAP	262.2	346.29	323.03	339.14	273.37	299.25	241.19	248.0	285.03	285.03	423.61	248.0	239.52	142.01	193.01	281.09	327.56	220.32	206.94	239.52	253.23	450.94	723.08	733.19	490.14	769.69	406.31	579.04	638.15	884.29	607.87	616.37	860.08	438.59	476.71	684.02	368.65	348.71	325.29	438.59	346.29	358.54	620.67	444.72	591.22	318.57	547.75	466.88	454.09	507.46	426.57	454.09	629.35
SIN3A	258.57	209.84	264.03	289.02	255.0	169.07	164.42	201.25	166.73	193.01	183.82	135.24	232.94	122.64	176.29	128.79	171.45	150.17	147.06	148.09	181.28	607.87	616.37	612.11	460.44	591.22	555.41	743.43	665.29	417.77	555.41	595.34	1216.75	441.64	559.28	775.05	329.84	314.17	353.59	384.34	389.72	295.11	303.44	444.72	397.93	307.69	406.31	361.04	244.57	483.38	400.71	156.59	389.72
SLX4	34.51	59.13	85.22	61.68	52.45	36.27	53.57	24.81	34.02	55.1	58.71	21.01	21.47	20.41	9.34	9.34	22.1	17.51	16.39	11.73	11.91	86.43	164.42	142.01	119.26	130.6	265.87	91.41	136.19	103.69	94.67	153.34	167.9	67.12	86.43	155.5	83.45	67.12	39.79	84.63	54.72	50.98	27.64	33.54	49.21	45.21	30.56	39.5	42.41	53.19	38.67	47.17	36.53
SMARCAD1	149.12	178.77	147.06	248.0	170.25	102.97	91.41	186.4	127.89	140.04	167.9	98.73	123.5	34.26	98.04	86.43	122.64	159.9	63.89	80.01	92.7	373.81	486.75	426.57	318.57	327.56	287.01	486.75	384.34	220.32	532.74	363.56	500.46	563.18	341.51	486.75	251.48	155.5	167.9	258.57	267.73	211.31	260.38	241.19	204.07	190.34	218.79	183.82	226.54	293.07	176.29	162.14	223.41
SMARCC2	351.14	444.72	351.14	642.59	660.68	473.41	669.92	463.65	400.71	603.67	343.89	297.17	329.84	275.28	217.27	214.27	392.44	176.29	371.22	426.57	232.94	1096.5	1519.15	1135.2	791.35	928.3	890.44	1008.9	1208.34	1340.84	1457.23	1151.06	1757.34	866.07	1167.14	1295.13	878.17	507.46	457.25	878.17	656.11	679.29	947.83	854.13	1023.0	559.28	1104.13	813.63	748.61	988.12	866.07	441.64	947.83
SMYD4	74.58	209.84	279.14	129.69	127.0	29.27	80.01	57.49	70.01	129.69	88.26	87.03	67.12	48.18	60.39	27.05	32.59	42.71	64.8	61.25	32.59	162.14	187.71	248.0	150.17	223.41	117.6	221.86	176.29	156.59	96.68	318.57	334.46	106.63	193.01	171.45	78.89	77.25	130.6	122.64	256.78	145.02	117.6	139.07	134.3	104.42	99.43	84.04	170.25	181.28	116.78	116.78	117.6
TADA2A	117.6	81.71	86.43	157.68	158.79	102.97	127.89	109.66	104.42	149.12	130.6	92.7	86.43	52.82	113.56	183.82	111.21	115.16	84.63	138.1	159.9	255.0	358.54	297.17	185.11	392.44	836.53	275.28	392.44	314.17	366.09	351.14	253.23	217.27	638.15	279.14	111.99	119.26	126.12	141.02	262.2	218.79	299.25	197.09	229.72	164.42	161.02	271.48	197.09	312.0	195.72	113.56	329.84
TAS2R31	5.87	1.95	0.96	3.26	1.22	1.01	1.83	0.0	0.0	5.32	3.86	0.0	0.0	0.0	1.53	0.77	2.97	1.25	0.0	2.18	0.0	6.06	12.64	17.13	2.23	4.46	9.41	17.9	13.62	4.1	2.78	8.65	10.16	5.68	5.06	5.54	4.66	1.6	3.92	6.52	5.82	0.0	5.32	5.82	3.96	4.62	2.84	5.23	2.76	10.96	0.0	2.94	7.46
TBC1D15	536.45	358.54	301.33	603.67	497.0	232.94	363.56	384.34	381.68	536.45	521.76	426.57	473.41	180.02	444.72	231.32	318.57	435.55	314.17	277.2	329.84	825.0	743.43	775.05	521.76	525.39	2047.0	860.08	624.99	791.35	836.53	543.96	890.44	738.29	599.49	830.75	518.15	332.14	511.0	529.06	684.02	432.53	764.36	669.92	575.03	571.05	703.28	651.58	620.67	909.17	543.96	447.82	679.29
TBX19	13.32	8.45	12.09	13.72	7.88	22.59	16.27	22.59	17.51	34.75	43.02	12.09	18.03	4.35	7.63	9.34	18.43	35.76	15.68	10.79	16.75	85.82	88.26	117.6	30.34	83.45	48.52	71.5	46.18	58.3	49.56	77.79	93.35	49.91	30.12	68.07	24.63	16.63	30.78	35.0	16.15	12.93	23.42	19.11	41.52	15.91	48.87	13.83	14.14	22.75	26.1	22.75	18.43
TFCP2	171.45	289.02	189.02	457.25	414.87	164.42	314.17	297.17	232.94	392.44	249.73	178.77	164.42	120.94	167.9	108.9	199.85	208.38	136.19	128.79	134.3	432.53	466.88	470.14	400.71	466.88	450.94	435.55	571.05	579.04	703.28	703.28	559.28	358.54	470.14	551.56	242.88	283.05	332.14	305.55	341.51	258.57	414.87	325.29	299.25	121.79	336.79	305.55	358.54	384.34	273.37	269.6	195.72
TMEM131	301.33	242.88	142.01	447.82	283.05	217.27	256.78	287.01	205.5	220.32	232.94	190.34	211.31	159.9	142.01	155.5	221.86	194.36	108.9	162.14	199.85	759.08	1104.13	813.63	941.27	791.35	1529.73	1191.69	743.43	595.34	796.86	902.89	1529.73	483.38	759.08	1268.46	713.11	674.59	525.39	551.56	287.01	314.17	265.87	269.6	325.29	271.48	409.15	246.28	217.27	297.17	314.17	209.84	368.65
TOPBP1	150.17	127.89	55.49	223.41	351.14	86.43	80.01	105.89	95.34	193.01	165.57	137.14	112.77	41.22	72.52	76.17	124.37	63.0	48.18	78.34	88.26	679.29	1143.1	693.58	389.72	500.46	497.0	624.99	733.19	463.65	748.61	941.27	693.58	493.56	435.55	915.51	211.31	297.17	224.97	293.07	312.0	212.78	341.51	180.02	198.47	193.01	221.86	231.32	299.25	332.14	171.45	177.53	248.0
TRIM39	135.24	70.01	136.19	265.87	136.19	112.77	145.02	140.04	127.89	154.42	199.85	142.01	108.9	91.41	91.41	104.42	136.19	109.66	98.73	91.41	62.12	198.47	239.52	221.86	187.71	229.72	206.94	226.54	191.67	147.06	195.72	193.01	185.11	159.9	251.48	204.07	145.02	165.57	154.42	212.78	376.41	212.78	299.25	214.27	265.87	217.27	153.34	258.57	198.47	312.0	224.97	194.36	214.27
TUBGCP5	164.42	81.71	199.85	59.55	97.36	97.36	115.97	70.51	106.63	100.13	167.9	166.73	94.67	68.07	68.07	78.89	132.44	144.01	91.41	118.43	98.73	158.79	217.27	234.57	147.06	275.28	205.5	295.11	291.04	140.04	305.55	226.54	309.83	201.25	242.88	339.14	195.72	116.78	132.44	162.14	264.03	180.02	182.55	228.13	229.72	150.17	131.51	155.5	221.86	279.14	130.6	110.43	201.25
UBE4A	299.25	146.03	164.42	353.59	400.71	119.26	185.11	190.34	138.1	124.37	158.79	201.25	217.27	163.28	151.22	135.24	138.1	195.72	181.28	147.06	146.03	435.55	575.03	441.64	476.71	406.31	376.41	575.03	543.96	215.77	429.54	536.45	521.76	348.71	361.04	836.53	353.59	221.86	176.29	232.94	320.8	223.41	279.14	239.52	246.28	249.73	223.41	211.31	329.84	236.21	224.97	145.02	246.28
UBXN7	80.01	68.55	31.9	111.21	151.22	47.5	77.25	68.55	68.55	93.35	76.17	53.57	68.55	39.22	41.22	30.34	26.86	40.64	37.05	24.63	44.89	258.57	231.32	271.48	172.65	215.77	142.01	215.77	281.09	194.36	229.72	212.78	297.17	161.02	228.13	224.97	167.9	98.73	110.43	140.04	129.69	93.35	111.21	116.78	133.36	97.36	146.03	111.21	77.25	177.53	110.43	81.14	163.28
UVRAG	146.03	145.02	125.24	358.54	237.86	142.01	147.06	154.42	176.29	170.25	172.65	114.36	140.04	87.03	133.36	131.51	204.07	111.21	183.82	139.07	155.5	356.05	397.93	583.07	314.17	511.0	423.61	454.09	371.22	173.85	329.84	323.03	660.68	264.03	320.8	417.77	193.01	181.28	158.79	190.34	246.28	173.85	205.5	205.5	194.36	172.65	242.88	190.34	262.2	190.34	211.31	327.56	226.54
