	TCGA.W5.AA2R.11A.11R.A41I.07	TCGA.DD.AAEE.01A.11R.A41C.07	TCGA.G3.A5SL.01A.11R.A27V.07	TCGA.DD.AAW1.01A.11R.A41C.07	TCGA.DD.AACA.01A.11R.A41C.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.DD.AAW2.01A.11R.A41C.07	TCGA.DD.A4NF.01A.11R.A27V.07	TCGA.CC.A7IH.01A.11R.A33J.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.MI.A75H.01A.11R.A32O.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.BC.A10R.11A.11R.A131.07	TCGA.BC.A10U.11A.11R.A131.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A1EJ.11A.11R.A155.07	TCGA.BC.A10Z.11A.11R.A131.07	TCGA.FV.A2QR.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BD.A3EP.11A.12R.A22L.07	TCGA.BC.A10T.11A.11R.A131.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.QDVN.0826.SM.48TZ2	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.X4XY.1626.SM.46MVN	GTEX.11ZTS.1426.SM.5EQMM	GTEX.RM2N.1926.SM.48FCU	GTEX.13FTZ.0726.SM.5IFFY	GTEX.X4EO.1126.SM.4QARQ	GTEX.147F4.1426.SM.5LUA8	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.X4EP.1026.SM.4QAS5	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.144GM.1326.SM.5LU5E	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.13N2G.0926.SM.5IFGJ	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.T6MN.1226.SM.3NMA5	GTEX.131XE.0326.SM.5LZVO	GTEX.14DAQ.1726.SM.5S2R2	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.ZVT4.0626.SM.5E45T	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.13O3O.1826.SM.5IFGW	GTEX.11OF3.0726.SM.5BC4Z	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	GTEX.14C38.1526.SM.5RQJ7	GTEX.REY6.1226.SM.48FDR
IFNGR2	775.05	371.22	571.05	665.29	934.76	1313.23	540.19	1216.75	684.02	669.92	305.55	551.56	854.13	1001.93	1199.98	1104.13	764.36	1096.5	842.36	1286.18	1322.37	1096.5	884.29	1037.29	497.0	400.71	1745.2	684.02	486.75	1628.26	511.0	1674.06	759.08	764.36	848.22	486.75	289.02	1350.18	688.78	423.61	273.37	371.22	1508.65	759.08	791.35	371.22	273.37	1250.98	651.58	332.14	412.0	1651.0	543.96	713.11	473.41	1051.79	802.41	497.0	616.37	417.77	748.61	199.85	2061.24	612.11	884.29	518.15	511.0	748.61	447.82
IL15RA	915.51	190.34	177.53	138.1	146.03	1167.14	234.57	93.35	131.51	69.52	125.24	169.07	215.77	1030.12	947.83	1127.35	808.0	1304.15	514.56	1259.69	759.08	1073.91	785.88	813.63	529.06	423.61	1340.84	651.58	379.04	2133.97	305.55	1407.55	159.9	1950.0	1066.48	384.34	108.9	1594.73	211.31	253.23	249.73	229.72	1286.18	215.77	441.64	164.42	115.16	525.39	309.83	228.13	195.72	1594.73	215.77	376.41	220.32	587.13	341.51	1832.01	256.78	728.11	162.14	287.01	2417.67	170.25	2287.2	170.25	139.07	961.07	1191.69
IL4R	2255.7	303.44	224.97	202.66	514.56	2209.26	283.05	249.73	189.02	135.24	381.68	138.1	202.66	1697.45	2400.97	2287.2	2351.53	3303.0	1008.9	2224.63	1498.22	2720.15	2502.97	1369.04	1388.16	518.15	3257.52	612.11	679.29	5672.41	500.46	2609.3	547.75	1806.78	1991.0	684.02	400.71	3901.01	543.96	497.0	660.68	759.08	3146.52	441.64	819.3	543.96	432.53	1467.37	764.36	743.43	460.44	2271.4	909.17	728.11	500.46	1745.2	665.29	2178.83	1143.1	1066.48	1023.0	860.08	5255.91	808.0	6037.61	567.1	514.56	4210.15	2627.46
KIAA0040	279.14	68.07	75.11	34.75	60.39	587.13	83.45	62.12	35.0	67.12	52.82	46.18	40.93	551.56	575.03	665.29	387.02	1066.48	141.02	309.83	332.14	285.03	460.44	633.73	189.02	134.3	595.34	136.19	122.64	591.22	142.01	1561.89	42.11	500.46	255.0	223.41	120.94	166.73	164.42	109.66	146.03	108.14	1331.57	111.99	142.01	87.65	143.01	202.66	412.0	152.28	215.77	693.58	267.73	142.01	85.22	361.04	165.57	620.67	100.13	146.03	170.25	120.1	1467.37	134.3	1844.76	108.9	103.69	540.19	71.5
LILRA5	82.87	5.02	11.82	13.12	11.64	356.05	5.45	9.34	7.94	15.0	16.75	8.32	34.75	164.42	212.78	120.94	59.97	236.21	119.26	92.05	158.79	194.36	153.34	73.03	50.63	163.28	181.28	39.22	11.21	93.35	43.94	220.32	11.82	40.36	68.07	21.01	27.84	72.52	27.25	46.84	22.59	19.82	447.82	14.67	75.11	4.86	16.63	36.01	108.9	15.56	55.49	995.0	26.86	28.86	21.01	149.12	20.86	120.94	57.08	77.79	38.12	52.45	190.34	49.21	234.57	21.94	19.82	616.37	69.03
LRRC8B	82.87	16.27	8.06	9.78	7.57	50.98	7.28	11.91	8.0	28.65	15.0	7.34	7.46	35.76	53.19	67.59	60.39	97.36	39.5	71.0	40.64	135.24	103.69	64.8	39.5	50.98	130.6	19.25	22.92	185.11	45.21	183.82	10.31	87.65	49.21	9.48	22.1	172.65	9.48	53.19	10.88	36.01	429.54	8.92	11.21	6.89	9.56	43.02	31.22	17.0	33.78	249.73	21.16	20.71	24.81	57.08	19.25	171.45	8.45	28.24	36.53	24.46	269.6	33.54	74.06	12.83	18.43	82.29	55.49
MAFK	1697.45	229.72	285.03	231.32	226.54	1104.13	432.53	218.79	208.38	211.31	253.23	264.03	215.77	718.08	638.15	981.29	884.29	1066.48	551.56	896.64	1487.87	1127.35	1127.35	348.71	713.11	327.56	961.07	297.17	142.01	1359.57	476.71	642.59	198.47	1397.83	463.65	301.33	164.42	1551.09	314.17	283.05	234.57	198.47	1498.22	241.19	351.14	256.78	381.68	353.59	480.04	202.66	239.52	1304.15	221.86	318.57	323.03	656.11	301.33	2956.17	325.29	521.76	273.37	260.38	1359.57	205.5	2701.35	244.57	180.02	1277.29	708.18
MBNL2	2287.2	249.73	603.67	454.09	267.73	1378.57	420.68	260.38	368.65	470.14	289.02	193.01	414.87	1104.13	3235.01	2287.2	1896.65	2796.65	1015.93	1477.58	759.08	2148.82	1447.15	1369.04	2148.82	379.04	1745.2	791.35	202.66	3372.43	878.17	2609.3	785.88	3235.01	1529.73	486.75	295.11	1662.49	444.72	543.96	343.89	612.11	2835.7	412.0	587.13	395.18	587.13	660.68	420.68	679.29	454.09	2090.03	493.56	665.29	336.79	1088.92	591.22	2303.12	366.09	1561.89	669.92	647.07	2609.3	785.88	4388.98	384.34	511.0	1119.56	1498.22
MCL1	11745.96	1519.15	2271.4	2075.59	967.76	9540.5	2090.03	2119.22	2133.97	1709.26	928.3	1540.37	1037.29	5403.7	6887.62	12853.63	8363.13	10440.2	7803.01	8363.13	9088.59	17317.18	9279.58	6745.86	6935.54	5791.62	5041.77	3190.46	2119.22	11584.24	5441.3	6471.02	3639.7	20593.91	3665.02	3639.7	2451.44	12676.65	3235.01	4239.45	3190.46	2367.9	7280.4	2090.03	2720.15	2163.77	2573.36	4836.35	4298.64	3540.14	3716.2	11189.6	3018.3	3639.7	3257.52	5255.91	3467.27	17317.18	4575.41	9279.58	3690.52	4066.71	11189.6	3982.99	26431.04	3303.0	2915.45	6983.79	7032.37
MED9	397.93	198.47	205.5	242.88	223.41	547.75	228.13	334.46	325.29	212.78	305.55	136.19	327.56	195.72	366.09	493.56	406.31	555.41	312.0	551.56	414.87	540.19	320.8	314.17	323.03	197.09	571.05	253.23	265.87	909.17	279.14	392.44	265.87	518.15	273.37	198.47	197.09	480.04	198.47	166.73	223.41	181.28	708.18	314.17	265.87	220.32	169.07	303.44	198.47	231.32	201.25	514.56	265.87	221.86	234.57	334.46	223.41	521.76	217.27	314.17	231.32	194.36	830.75	231.32	503.95	214.27	229.72	1605.83	503.95
MIDN	2193.99	366.09	343.89	406.31	187.71	1936.53	202.66	329.84	171.45	226.54	100.13	120.1	163.28	1427.22	759.08	1529.73	1216.75	2609.3	529.06	1447.15	1781.89	1583.71	1806.78	1277.29	1561.89	1119.56	1457.23	307.69	320.8	2645.74	392.44	1498.22	241.19	1427.22	356.05	796.86	287.01	974.5	612.11	309.83	403.5	147.06	1594.73	181.28	603.67	387.02	260.38	703.28	713.11	1023.0	791.35	2119.22	409.15	532.74	629.35	808.0	397.93	2796.65	400.71	764.36	267.73	665.29	3039.3	438.59	3303.0	463.65	316.37	2400.97	1286.18
MLKL	74.06	171.45	66.65	70.01	93.35	265.87	55.1	78.89	82.87	51.35	52.08	38.4	126.12	124.37	121.79	159.9	76.71	204.07	117.6	123.5	164.42	176.29	102.25	87.65	59.55	189.02	170.25	126.12	70.01	244.57	67.12	166.73	39.5	395.18	79.45	145.02	34.26	303.44	100.13	45.21	87.03	55.89	271.48	53.57	120.94	101.54	121.79	85.22	153.34	76.71	55.89	420.68	115.16	154.42	49.91	172.65	126.12	447.82	97.36	163.28	89.51	123.5	733.19	67.12	941.27	85.82	36.27	186.4	104.42
MMD	325.29	84.04	202.66	49.91	76.71	277.2	37.05	86.43	118.43	204.07	93.35	66.18	42.41	178.77	162.14	236.21	141.02	172.65	318.57	211.31	400.71	679.29	231.32	122.64	75.64	128.79	287.01	228.13	99.43	406.31	110.43	214.27	733.19	293.07	57.08	44.89	73.03	363.56	59.55	514.56	35.76	94.67	414.87	68.07	117.6	67.12	22.1	201.25	117.6	28.65	167.9	361.04	56.68	60.82	38.67	551.56	220.32	193.01	255.0	214.27	120.94	94.01	909.17	96.01	176.29	159.9	51.71	190.34	142.01
MT1A	5672.41	301.33	679.29	1088.92	1277.29	15715.58	934.76	107.38	27.84	1388.16	6037.61	4038.61	1277.29	6652.97	7485.11	14065.74	19214.73	32092.64	2090.03	1721.16	3395.89	5041.77	1183.45	5366.37	954.43	4575.41	69753.56	164.42	1487.87	16269.83	303.44	29327.18	236.21	14765.09	16269.83	1268.46	1721.16	441.64	3665.02	1832.01	825.0	117.6	18431.96	271.48	4704.07	753.83	1286.18	4239.45	2224.63	287.01	2163.77	11424.74	2835.7	1674.06	1583.71	8022.41	201.25	3614.55	466.88	6516.03	70.51	88.26	56265.94	140.04	18950.18	1407.55	3103.19	72213.45	39510.91
MT1M	5672.41	54.72	39.22	64.8	329.84	18431.96	76.71	16.03	24.46	48.87	13.03	112.77	38.12	7749.1	16496.96	19214.73	19754.96	44761.41	2417.67	2209.26	3901.01	9344.14	3614.55	8778.97	7911.95	7695.57	69753.56	260.38	2104.58	9808.75	198.47	52135.28	102.25	9344.14	13776.25	4239.45	6745.86	848.22	3564.78	2047.0	1909.85	19.97	27553.49	205.5	3742.05	934.76	2997.45	3540.14	3280.18	423.61	3190.46	22535.88	12415.75	3372.43	1561.89	18431.96	1295.13	6381.92	1127.35	4298.64	1583.71	87.65	81244.48	974.5	58655.36	878.17	4239.45	53601.03	9606.86
MYBPH	94.67	18.56	7.4	5.06	66.18	85.22	0.0	1.83	3.23	1.16	8.71	0.0	0.0	30.56	5.96	23.25	27.84	85.22	15.56	46.18	5.87	10.0	43.94	14.45	25.35	0.22	37.32	0.57	10.96	72.01	10.79	10.96	3.56	7.0	20.11	0.88	0.45	50.63	0.25	0.88	0.0	0.0	1.68	2.43	5.32	1.58	1.33	0.21	2.68	6.26	0.0	70.51	2.03	1.11	1.93	1.5	0.82	41.52	2.56	8.78	0.82	5.36	186.4	0.16	17.13	0.27	0.87	53.95	61.25
NAMPT	11664.82	521.76	2645.74	974.5	551.56	8538.88	733.19	1407.55	607.87	1594.73	2271.4	497.0	679.29	4639.29	18689.27	15075.35	12764.83	17197.56	7081.29	8247.98	3665.02	20170.07	6471.02	12764.83	5076.84	3395.89	16383.0	1397.83	785.88	12244.81	2720.15	21617.82	723.08	12244.81	7966.99	1044.52	830.75	7230.1	2555.58	1806.78	1572.76	1963.57	25530.66	728.11	3690.52	1135.2	921.88	4123.49	1745.2	2468.49	1359.57	9876.98	1950.0	1870.53	1023.0	4869.99	1487.87	10014.87	2148.82	6250.56	2417.67	2796.65	20593.91	2485.67	16496.96	698.41	1175.27	13492.72	6037.61
NCOA7	713.11	102.25	126.12	291.04	205.5	1498.22	271.48	194.36	190.34	187.71	69.03	65.26	84.04	669.92	1397.83	1685.71	651.58	2119.22	1143.1	1697.45	1508.65	2468.49	723.08	1896.65	412.0	543.96	1167.14	376.41	395.18	2303.12	303.44	4095.0	231.32	1081.39	738.29	208.38	177.53	1769.57	237.86	723.08	220.32	279.14	3395.89	228.13	693.58	139.07	381.68	536.45	518.15	150.17	221.86	2148.82	244.57	371.22	239.52	555.41	764.36	638.15	435.55	718.08	312.0	287.01	2739.08	312.0	1844.76	260.38	327.56	915.51	872.1
NNMT	101420.22	1183.45	1268.46	4095.0	217.27	164758.26	129.69	532.74	961.07	60.39	131.51	1477.58	5255.91	118949.35	138544.47	148488.36	158046.64	248002.34	114103.8	160252.91	49666.0	169390.27	66449.85	168220.2	215898.44	59063.35	254974.66	8658.09	2739.08	150561.19	15499.21	561916.97	1857.6	358098.26	475800.4	4481.23	2573.36	82378.63	51062.33	23492.92	1208.34	119776.72	279017.26	14065.74	209994.66	36864.92	4769.75	92040.7	791.35	13681.08	3589.58	116501.39	141455.6	5791.62	7589.61	279017.26	8134.41	125731.67	77934.88	318292.9	22692.63	24660.96	663619.99	6426.31	284880.02	2240.11	1519.15	316094.29	168220.2
ODC1	1757.34	1073.91	473.41	540.19	698.41	2351.53	1135.2	493.56	244.57	1909.85	703.28	728.11	470.14	1216.75	1467.37	2915.45	2240.11	4239.45	1104.13	1923.14	2075.59	2758.13	2004.85	1794.29	988.12	583.07	5711.87	620.67	1857.6	4450.27	665.29	2609.3	988.12	1540.37	1617.0	507.46	351.14	825.0	244.57	753.83	281.09	1051.79	3395.89	2303.12	703.28	414.87	575.03	1119.56	743.43	1059.11	713.11	3018.3	381.68	395.18	1037.29	896.64	647.07	2303.12	493.56	1561.89	441.64	368.65	6337.83	647.07	3168.41	403.5	551.56	3039.3	1407.55
OSGIN2	264.03	189.02	204.07	128.79	124.37	395.18	108.9	92.05	48.52	198.47	120.1	96.68	79.45	172.65	237.86	255.0	164.42	420.68	170.25	329.84	177.53	447.82	351.14	323.03	153.34	133.36	447.82	150.17	88.26	624.99	111.21	775.05	253.23	273.37	101.54	99.43	104.42	218.79	106.63	146.03	78.34	100.83	307.69	85.22	84.63	74.58	90.14	154.42	98.04	127.89	135.24	414.87	82.87	140.04	78.89	217.27	189.02	141.02	141.02	158.79	181.28	167.9	551.56	194.36	94.01	120.1	130.6	279.14	189.02
OSMR	497.0	16.51	144.01	82.29	21.47	500.46	21.94	158.79	69.03	16.15	19.82	57.89	107.38	204.07	271.48	460.44	255.0	543.96	348.71	368.65	525.39	743.43	291.04	348.71	234.57	212.78	854.13	42.41	21.01	1561.89	164.42	591.22	43.02	343.89	450.94	38.95	35.25	909.17	95.34	148.09	22.92	43.63	934.76	12.27	251.48	48.87	63.45	318.57	83.45	45.21	42.41	599.49	273.37	166.73	39.22	435.55	127.89	264.03	170.25	397.93	191.67	122.64	679.29	144.01	493.56	57.89	29.27	1015.93	395.18
PELI1	293.07	52.45	80.57	88.88	92.05	366.09	67.59	115.16	75.11	135.24	83.45	17.38	69.03	183.82	314.17	473.41	241.19	647.07	249.73	647.07	242.88	395.18	246.28	872.1	265.87	341.51	309.83	104.42	49.21	297.17	82.29	902.89	74.58	327.56	248.0	92.05	53.95	409.15	107.38	151.22	82.29	47.17	395.18	33.78	108.9	45.21	88.26	220.32	312.0	84.04	79.45	802.41	126.12	195.72	57.49	264.03	107.38	231.32	114.36	414.87	155.5	129.69	1199.98	88.88	397.93	77.79	98.73	231.32	239.52
PHC2	3901.01	902.89	1127.35	1340.84	764.36	4450.27	1183.45	1628.26	1023.0	1674.06	830.75	1015.93	1023.0	2018.8	3928.15	3325.99	2855.44	4836.35	1745.2	2627.46	2090.03	3955.48	2739.08	2645.74	2835.7	1159.07	5147.73	1844.76	1963.57	4512.4	1437.15	3564.78	1417.35	5555.65	1447.15	1295.13	1295.13	3212.66	1447.15	1233.75	1233.75	1167.14	3467.27	1572.76	1769.57	1417.35	860.08	2061.24	1417.35	1191.69	1378.57	2537.92	1073.91	1199.98	1477.58	1781.89	1350.18	2976.74	1119.56	1857.6	1378.57	1191.69	7857.29	1127.35	3665.02	1427.22	1259.69	5517.27	3491.39
PIM1	3190.46	346.29	525.39	791.35	915.51	1977.24	915.51	878.17	2090.03	1104.13	409.15	441.64	738.29	2997.45	2434.5	5831.91	1923.14	4736.79	748.61	1617.0	2209.26	2032.85	1963.57	2956.17	665.29	412.0	1936.53	486.75	267.73	3190.46	384.34	2739.08	718.08	1977.24	743.43	426.57	215.77	941.27	389.72	438.59	329.84	351.14	3395.89	669.92	764.36	295.11	262.2	1151.06	435.55	122.64	307.69	2335.28	409.15	307.69	629.35	414.87	473.41	1519.15	450.94	665.29	346.29	414.87	5076.84	249.73	7382.04	518.15	176.29	1583.71	928.3
PIM3	3257.52	536.45	490.14	466.88	376.41	2319.15	389.72	595.34	283.05	218.79	444.72	703.28	409.15	3081.75	1561.89	2209.26	2061.24	3614.55	890.44	2417.67	2004.85	2555.58	3060.45	2384.37	1295.13	1008.9	1963.57	921.88	392.44	2133.97	909.17	1909.85	426.57	2075.59	1119.56	532.74	473.41	1963.57	2061.24	967.76	651.58	460.44	2400.97	426.57	1583.71	444.72	536.45	1369.04	1183.45	848.22	728.11	1572.76	1104.13	1104.13	693.58	1467.37	954.43	4010.71	1242.34	1059.11	642.59	1119.56	2935.74	928.3	5041.77	575.03	389.72	2537.92	1721.16
PLK3	1088.92	36.27	47.17	102.97	38.95	890.44	105.89	92.7	61.68	59.97	30.34	58.3	91.41	896.64	457.25	836.53	500.46	780.44	281.09	1359.57	1051.79	620.67	934.76	441.64	228.13	450.94	567.1	323.03	81.71	1233.75	89.51	595.34	151.22	567.1	215.77	176.29	63.0	460.44	159.9	181.28	101.54	77.25	669.92	59.55	122.64	110.43	40.93	242.88	591.22	125.24	183.82	1304.15	114.36	84.63	145.02	423.61	327.56	902.89	305.55	309.83	154.42	229.72	961.07	72.01	785.88	117.6	111.99	500.46	155.5
PLSCR1	764.36	327.56	231.32	1073.91	638.15	1991.0	426.57	406.31	384.34	244.57	70.51	426.57	447.82	1498.22	1685.71	1991.0	1304.15	2271.4	1001.93	1572.76	1331.57	1407.55	954.43	2133.97	616.37	1051.79	3491.39	1143.1	406.31	4038.61	571.05	2895.31	332.14	2163.77	1322.37	463.65	305.55	1977.24	595.34	543.96	403.5	460.44	3103.19	246.28	1457.23	348.71	246.28	1135.2	780.44	323.03	486.75	3794.3	728.11	947.83	314.17	1417.35	2417.67	1119.56	470.14	2163.77	518.15	1350.18	5594.3	551.56	2537.92	563.18	511.0	1794.29	1001.93
PMM2	802.41	486.75	457.25	327.56	376.41	1208.34	409.15	285.03	426.57	624.99	486.75	521.76	620.67	567.1	1167.14	1066.48	830.75	1447.15	1030.12	1081.39	802.41	1037.29	796.86	909.17	629.35	361.04	1331.57	571.05	759.08	1427.22	503.95	1127.35	607.87	1073.91	1073.91	305.55	318.57	961.07	346.29	703.28	293.07	490.14	1259.69	684.02	647.07	497.0	339.14	854.13	314.17	406.31	587.13	769.69	412.0	309.83	444.72	718.08	397.93	785.88	507.46	791.35	543.96	297.17	1733.13	500.46	808.0	420.68	417.77	1359.57	1286.18
PNRC1	9088.59	1529.73	1044.52	1519.15	1794.29	9673.69	830.75	1628.26	1844.76	1639.59	1572.76	629.35	743.43	7911.95	12415.75	14065.74	10659.59	14765.09	4869.99	4937.99	4543.8	6516.03	5672.41	8479.89	4769.75	2875.3	6840.04	2367.9	1417.35	7749.1	2417.67	11909.94	2758.13	7695.57	10296.45	2609.3	1909.85	3060.45	3039.3	4639.29	1819.35	2835.7	5041.77	1350.18	4268.94	2468.49	3235.01	4869.99	1662.49	1417.35	2915.45	6164.49	2835.7	2502.97	2075.59	4038.61	2895.31	8247.98	3146.52	7749.1	2090.03	2335.28	8479.89	2090.03	14461.21	1857.6	1662.49	10225.32	4181.07
PPP1R18	1794.29	325.29	197.09	172.65	249.73	1857.6	267.73	158.79	267.73	182.55	368.65	202.66	426.57	2148.82	1030.12	1051.79	915.51	2163.77	540.19	1806.78	1268.46	1030.12	1745.2	1594.73	423.61	500.46	1757.34	733.19	202.66	1135.2	262.2	1259.69	307.69	775.05	466.88	351.14	218.79	2104.58	511.0	371.22	529.06	228.13	2555.58	214.27	995.0	366.09	170.25	1304.15	2240.11	211.31	429.54	3212.66	703.28	540.19	624.99	954.43	500.46	1111.82	567.1	708.18	688.78	314.17	3955.48	379.04	3235.01	540.19	275.28	1233.75	825.0
PRNP	1467.37	371.22	387.02	420.68	412.0	1151.06	228.13	884.29	65.72	140.04	241.19	460.44	70.01	981.29	1242.34	1407.55	1023.0	1417.35	1151.06	1295.13	1447.15	1883.54	1378.57	1304.15	1023.0	947.83	6164.49	426.57	320.8	14663.09	769.69	1242.34	387.02	1183.45	995.0	599.49	441.64	872.1	490.14	1051.79	253.23	457.25	4239.45	591.22	500.46	256.78	432.53	1167.14	1437.15	660.68	551.56	25179.16	476.71	473.41	262.2	1175.27	309.83	4066.71	753.83	624.99	1008.9	454.09	2895.31	813.63	3018.3	595.34	928.3	1350.18	1617.0
PTPN2	438.59	343.89	211.31	264.03	329.84	909.17	283.05	318.57	226.54	260.38	305.55	190.34	277.2	368.65	612.11	660.68	395.18	921.88	473.41	665.29	536.45	693.58	339.14	629.35	332.14	343.89	848.22	325.29	283.05	1044.52	320.8	665.29	356.05	341.51	529.06	353.59	208.38	612.11	358.54	301.33	260.38	181.28	1183.45	301.33	237.86	242.88	318.57	426.57	201.25	351.14	373.81	1407.55	220.32	392.44	253.23	460.44	318.57	647.07	483.38	312.0	679.29	271.48	1651.0	346.29	651.58	283.05	228.13	1277.29	265.87
R3HDM4	1143.1	954.43	842.36	791.35	995.0	1781.89	915.51	599.49	571.05	669.92	934.76	503.95	1127.35	961.07	860.08	1199.98	1008.9	1427.22	713.11	1745.2	1216.75	1378.57	954.43	1044.52	1044.52	780.44	1104.13	854.13	743.43	2956.17	555.41	1001.93	1008.9	1277.29	947.83	642.59	551.56	1051.79	819.3	1081.39	571.05	543.96	1977.24	947.83	1250.98	703.28	476.71	928.3	813.63	536.45	860.08	1857.6	571.05	595.34	802.41	1088.92	890.44	1508.65	866.07	1250.98	693.58	480.04	2287.2	559.28	2682.69	791.35	651.58	2119.22	1143.1
RAB20	1350.18	260.38	231.32	204.07	251.48	2004.85	170.25	98.73	356.05	109.66	400.71	228.13	242.88	1508.65	2104.58	1674.06	1233.75	1977.24	1313.23	1369.04	1628.26	1447.15	1295.13	1268.46	759.08	802.41	3235.01	587.13	1119.56	1870.53	587.13	1896.65	303.44	2720.15	733.19	417.77	460.44	2119.22	536.45	651.58	493.56	223.41	1477.58	249.73	688.78	476.71	129.69	1304.15	220.32	934.76	251.48	1340.84	587.13	759.08	387.02	1313.23	412.0	1350.18	954.43	1359.57	802.41	753.83	2400.97	371.22	3168.41	532.74	358.54	3639.7	1950.0
RAB27A	748.61	187.71	189.02	167.9	170.25	961.07	98.04	84.04	169.07	65.72	708.18	78.34	94.67	376.41	1135.2	1340.84	866.07	1151.06	860.08	995.0	503.95	1199.98	620.67	1051.79	400.71	361.04	1733.13	379.04	248.0	1745.2	356.05	1268.46	371.22	941.27	660.68	173.85	178.77	642.59	217.27	381.68	215.77	454.09	2319.15	450.94	583.07	283.05	218.79	703.28	429.54	403.5	212.78	1359.57	353.59	332.14	202.66	733.19	305.55	518.15	329.84	591.22	540.19	397.93	1487.87	301.33	1030.12	190.34	299.25	1199.98	423.61
RALGDS	429.54	171.45	146.03	258.57	256.78	1313.23	215.77	189.02	197.09	202.66	180.02	195.72	204.07	947.83	1378.57	2018.8	1277.29	2682.69	154.42	1437.15	733.19	872.1	1037.29	1135.2	131.51	265.87	363.56	231.32	373.81	591.22	187.71	1529.73	208.38	1594.73	447.82	198.47	161.02	836.53	232.94	269.6	246.28	136.19	1519.15	217.27	139.07	206.94	215.77	234.57	400.71	204.07	612.11	563.18	171.45	271.48	173.85	255.0	267.73	1594.73	199.85	305.55	267.73	209.84	3190.46	175.07	3419.52	239.52	201.25	264.03	316.37
RANGAP1	1781.89	587.13	1119.56	656.11	1233.75	1950.0	836.53	587.13	860.08	638.15	830.75	1233.75	1030.12	1216.75	1519.15	2224.63	1697.45	2090.03	842.36	1697.45	1594.73	1909.85	1233.75	1143.1	1066.48	934.76	2796.65	878.17	988.12	5479.15	775.05	1757.34	780.44	2303.12	1388.16	688.78	583.07	2090.03	665.29	791.35	414.87	743.43	2935.74	703.28	854.13	684.02	698.41	1030.12	808.0	836.53	808.0	4419.52	708.18	748.61	638.15	1081.39	1388.16	1745.2	825.0	1167.14	688.78	733.19	6516.03	684.02	3443.31	698.41	775.05	3212.66	1477.58
RASD1	4704.07	82.87	656.11	316.37	134.3	9215.48	117.6	947.83	119.26	466.88	395.18	32.36	1175.27	1127.35	3124.78	5255.91	4038.61	6983.79	3665.02	4543.8	4836.35	9606.86	1950.0	2224.63	1639.59	1023.0	6887.62	197.09	48.87	14867.79	1143.1	4704.07	571.05	9409.14	3589.58	264.03	67.59	9088.59	2047.0	753.83	1529.73	51.71	6250.56	76.71	1870.53	297.17	183.82	2303.12	1183.45	155.5	708.18	7331.05	1268.46	336.79	194.36	5672.41	665.29	6164.49	2090.03	7032.37	660.68	262.2	9344.14	150.17	8538.88	703.28	507.46	9344.14	7032.37
RBM38	379.04	114.36	88.26	111.21	157.68	389.72	157.68	109.66	198.47	260.38	133.36	167.9	115.16	392.44	480.04	256.78	395.18	583.07	258.57	423.61	384.34	202.66	796.86	318.57	336.79	273.37	409.15	309.83	253.23	518.15	334.46	414.87	314.17	316.37	138.1	214.27	130.6	460.44	289.02	279.14	232.94	123.5	426.57	178.77	253.23	231.32	135.24	291.04	255.0	148.09	281.09	493.56	145.02	204.07	262.2	412.0	269.6	511.0	256.78	262.2	220.32	154.42	1594.73	113.56	309.83	236.21	221.86	785.88	339.14
