	TCGA.UY.A9PE.01A.11R.A38B.07	TCGA.DK.A1A6.01A.11R.A13Y.07	TCGA.FD.A3SJ.01A.12R.A22U.07	TCGA.BT.A20W.01A.21R.A14Y.07	TCGA.XF.A8HH.01A.11R.A38B.07	TCGA.K4.A6MB.01A.11R.A31N.07	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.HQ.A2OE.01A.11R.A206.07	TCGA.G2.AA3F.01A.12R.A42T.07	TCGA.DK.A3X1.01A.12R.A22U.07	TCGA.DK.A3IK.01A.32R.A21D.07	TCGA.XF.AAMY.01A.11R.A42T.07	TCGA.FD.A43N.01A.11R.A23W.07	TCGA.H4.A2HO.01A.11R.A180.07	TCGA.UY.A9PD.01A.11R.A38B.07	TCGA.4Z.AA87.01A.11R.A39I.07	TCGA.DK.AA6P.01A.11R.A39I.07	TCGA.XF.AAMZ.01A.11R.A42T.07	TCGA.FD.A3NA.01A.11R.A21D.07	TCGA.4Z.AA7M.01A.11R.A39I.07	TCGA.BH.A203.01A.12R.A169.07	TCGA.DD.A3A3.11A.11R.A22L.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.EP.A3RK.11A.11R.A22L.07	TCGA.BD.A2L6.11A.21R.A213.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.BC.A10W.11A.11R.A131.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.RTLS.1326.SM.46MUN	GTEX.14753.1626.SM.5NQ9L
TAMM41	220.32	264.03	753.83	336.79	414.87	318.57	234.57	237.86	473.41	363.56	381.68	323.03	316.37	387.02	371.22	660.68	339.14	486.75	229.72	521.76	206.94	133.36	126.12	115.97	140.04	117.6	163.28	127.89	149.12	138.1	170.25	130.6	59.13
TARBP2	1059.11	791.35	651.58	1008.9	934.76	1059.11	1044.52	1417.35	1001.93	616.37	974.5	769.69	595.34	1529.73	656.11	728.11	1242.34	791.35	848.22	1508.65	497.0	620.67	476.71	563.18	567.1	587.13	612.11	480.04	384.34	490.14	688.78	264.03	236.21
TBL2	884.29	684.02	420.68	651.58	665.29	688.78	703.28	1088.92	1081.39	363.56	507.46	759.08	660.68	624.99	718.08	842.36	616.37	400.71	796.86	934.76	688.78	366.09	334.46	392.44	281.09	368.65	400.71	351.14	316.37	320.8	387.02	314.17	166.73
TDP1	748.61	264.03	497.0	248.0	309.83	332.14	253.23	267.73	297.17	387.02	265.87	264.03	221.86	193.01	217.27	417.77	356.05	392.44	332.14	327.56	327.56	47.84	49.56	75.64	77.79	88.26	124.37	62.12	73.54	62.12	63.45	62.56	85.22
TIMM17B	2287.2	2627.46	1407.55	1769.57	1923.14	1896.65	2319.15	3589.58	1605.83	2520.38	1963.57	954.43	1870.53	656.11	2720.15	2645.74	1508.65	3060.45	2119.22	1104.13	1794.29	1259.69	1233.75	1286.18	1340.84	1259.69	1143.1	1359.57	1119.56	1225.22	1208.34	967.76	1242.34
TNFRSF19	75.11	14.89	24.99	34.51	23.76	295.11	3.72	2148.82	9.93	15.0	128.79	71.5	1159.07	27.64	143.01	69.52	8.19	4.7	476.71	403.5	102.25	2.05	13.32	6.41	10.55	6.52	25.35	8.65	14.14	30.78	8.65	12.0	0.0
TRMT61B	540.19	400.71	500.46	555.41	525.39	351.14	389.72	466.88	379.04	718.08	743.43	246.28	400.71	490.14	476.71	368.65	441.64	444.72	412.0	332.14	368.65	190.34	236.21	123.5	150.17	126.12	256.78	187.71	242.88	234.57	193.01	215.77	155.5
TSR2	2209.26	1388.16	1001.93	1594.73	1199.98	1104.13	1313.23	2875.3	995.0	1963.57	1896.65	748.61	1191.69	1477.58	1745.2	1628.26	1225.22	1350.18	1594.73	769.69	1135.2	703.28	728.11	769.69	854.13	819.3	830.75	753.83	665.29	884.29	915.51	825.0	796.86
UBQLN2	228.13	981.29	339.14	571.05	426.57	660.68	358.54	1447.15	860.08	713.11	429.54	320.8	563.18	503.95	684.02	651.58	1044.52	656.11	688.78	260.38	540.19	287.01	353.59	279.14	303.44	343.89	395.18	332.14	323.03	318.57	307.69	366.09	285.03
UTP20	75.64	97.36	84.04	143.01	113.56	62.56	63.45	239.52	70.51	75.11	50.27	111.21	76.71	59.55	109.66	101.54	102.97	81.14	126.12	166.73	185.11	30.12	28.04	20.11	30.56	33.54	49.21	30.78	25.72	35.25	31.9	25.54	15.45
VANGL2	10.96	4.98	1268.46	273.37	12.45	1183.45	44.57	497.0	346.29	87.65	106.63	441.64	339.14	134.3	299.25	231.32	629.35	56.68	67.59	656.11	438.59	5.5	2.78	5.02	1.87	4.24	13.42	5.68	5.96	3.89	4.1	28.04	0.69
VPS33A	258.57	366.09	356.05	299.25	438.59	379.04	197.09	507.46	277.2	191.67	258.57	265.87	239.52	297.17	256.78	287.01	198.47	283.05	351.14	507.46	255.0	151.22	140.04	159.9	164.42	186.4	232.94	129.69	119.26	175.07	167.9	120.94	181.28
VRK1	518.15	860.08	1023.0	607.87	460.44	460.44	480.04	447.82	454.09	1572.76	490.14	329.84	309.83	525.39	503.95	1605.83	384.34	1167.14	753.83	616.37	503.95	93.35	67.59	34.26	67.59	66.18	133.36	72.01	100.13	74.58	61.25	66.65	44.25
ZC3H8	279.14	305.55	260.38	305.55	111.99	133.36	197.09	226.54	255.0	206.94	189.02	186.4	162.14	57.08	152.28	255.0	307.69	231.32	144.01	441.64	551.56	43.32	54.33	40.07	69.52	77.25	109.66	44.25	67.59	82.87	60.82	65.26	37.59
ZNF473	123.5	139.07	262.2	100.13	111.99	115.97	70.01	237.86	76.71	95.34	127.89	103.69	60.39	57.89	73.54	155.5	182.55	163.28	96.68	708.18	217.27	36.01	30.12	26.47	34.51	52.82	48.87	27.84	29.91	35.5	34.75	38.67	13.72
ZNF724P	13.42	69.03	24.11	55.1	25.54	12.93	6.94	48.18	38.4	15.56	8.85	20.41	11.64	5.92	23.93	35.0	45.85	72.01	20.56	76.71	68.07	1.58	0.61	0.59	0.65	1.28	3.17	0.67	0.0	1.16	0.67	0.07	0.0
ZNF74	575.03	103.69	258.57	346.29	167.9	209.84	271.48	373.81	318.57	85.82	1066.48	267.73	279.14	89.51	217.27	291.04	281.09	236.21	191.67	248.0	118.43	26.86	29.27	43.02	37.32	60.39	41.81	38.12	24.63	45.53	35.76	33.3	20.41
ZNF746	175.07	167.9	153.34	226.54	140.04	150.17	128.79	205.5	262.2	150.17	127.0	279.14	185.11	122.64	218.79	96.68	198.47	169.07	117.6	206.94	162.14	121.79	103.69	73.03	94.67	99.43	178.77	100.13	112.77	90.77	79.45	70.51	29.27
ZNF777	356.05	186.4	299.25	248.0	249.73	265.87	271.48	277.2	236.21	239.52	264.03	397.93	251.48	181.28	329.84	255.0	281.09	273.37	167.9	309.83	170.25	181.28	158.79	143.01	92.05	149.12	116.78	107.38	128.79	149.12	115.16	71.5	67.59
