	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.KK.A7AV.01A.11R.A32O.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.XK.AAIR.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.TP.A8TT.01A.12R.A41O.07	TCGA.EJ.A6RC.01A.11R.A32O.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.CH.5771.01A.21R.1580.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.ZG.A9LN.01A.11R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.J4.A6G1.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.KK.A7B3.01A.11R.A33R.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.HC.8266.01A.11R.2263.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.2A.AAYO.01A.11R.A41O.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.EJ.7789.11A.01R.2118.07
CXCR3	16.39	20.11	102.25	2.89	12.64	39.79	38.67	24.11	18.43	33.06	4.31	47.5	33.54	57.89	2.89	19.53	59.97	49.56	1.6	10.96	17.64	3.82	22.26	6.01	14.45	0.41	22.75	145.02	13.32	4.17	93.35	7.22	23.25	54.72	31.45	181.28	50.27	11.73	2.48	57.49	0.65	8.99	17.0	6.67	7.88	11.91	15.91	21.47	8.65	4.5	58.71	8.19	26.67
CXCR6	37.85	20.26	150.17	7.06	29.91	41.81	53.95	22.26	36.27	33.78	13.52	58.3	123.5	64.34	19.11	36.27	66.65	224.97	13.32	8.78	94.01	22.1	42.71	14.45	49.91	1.48	27.84	204.07	20.26	8.78	175.07	12.83	67.59	63.0	77.25	191.67	61.68	37.05	1.79	58.3	3.08	12.27	26.67	18.7	12.27	17.9	23.08	81.14	17.77	17.77	36.79	16.63	86.43
CYTH4	41.52	45.21	189.02	8.92	26.1	98.04	94.67	53.95	57.89	82.29	33.54	114.36	92.05	153.34	23.59	21.16	221.86	137.14	42.41	42.41	131.51	42.11	58.3	26.86	36.79	22.92	57.89	202.66	64.34	15.56	283.05	58.71	73.03	131.51	108.9	269.6	90.14	41.52	15.91	108.14	25.35	43.94	34.26	27.25	14.67	21.63	24.11	91.41	35.0	34.51	171.45	60.82	107.38
DOK2	42.41	59.13	197.09	10.55	29.48	123.5	78.89	60.82	55.89	69.52	21.63	142.01	241.19	139.07	33.06	34.02	178.77	158.79	33.78	29.48	102.97	22.1	92.05	27.05	58.71	24.28	93.35	251.48	45.85	27.84	318.57	51.71	48.52	146.03	73.03	291.04	90.14	37.85	15.56	112.77	15.8	46.84	26.67	24.46	19.25	16.75	24.63	88.88	27.84	31.67	151.22	43.94	108.14
EMR2	6.89	17.77	39.5	3.29	13.03	9.93	29.7	18.03	13.12	32.36	9.27	24.63	39.5	18.7	8.99	5.45	45.53	69.03	18.16	11.3	25.72	6.67	28.65	8.25	14.56	5.63	15.11	17.64	11.3	8.06	42.71	21.47	14.89	31.0	32.82	60.39	21.78	20.11	6.31	14.78	3.44	16.88	8.0	8.65	4.46	9.78	10.47	29.7	11.82	4.06	14.78	14.89	29.7
FAM78A	25.35	27.44	94.67	6.11	15.0	47.17	39.79	37.32	31.22	36.79	13.52	66.65	77.79	74.58	7.82	22.1	77.25	69.03	13.42	11.64	35.5	11.21	29.7	12.18	25.17	5.68	27.64	105.15	18.29	11.91	187.71	22.92	33.3	56.28	43.32	149.12	33.78	25.17	9.63	43.94	7.06	21.32	15.91	15.8	21.32	21.63	15.68	34.51	22.59	12.45	70.01	30.56	36.01
FASLG	0.0	6.16	20.56	0.58	4.46	5.73	11.04	8.71	4.31	5.23	1.36	15.91	17.13	5.59	2.53	6.84	17.38	13.32	0.93	1.93	10.0	0.31	5.23	1.73	2.78	0.27	4.13	48.52	1.27	0.61	23.25	3.99	4.28	9.56	7.94	55.89	12.36	3.29	0.0	12.45	0.55	1.89	1.93	2.56	0.92	0.0	3.82	7.11	2.36	2.68	6.21	4.46	10.08
FCHO1	11.38	12.74	57.89	4.17	10.31	41.22	30.34	14.56	18.16	21.63	6.36	31.9	57.89	76.17	8.85	6.78	42.41	50.27	6.94	12.27	38.67	12.55	17.38	5.23	16.75	7.51	21.78	79.45	8.58	6.52	224.97	20.11	36.01	49.21	34.75	94.01	37.05	13.62	6.52	30.34	2.94	9.2	12.64	10.0	5.73	13.42	11.82	31.0	16.27	4.66	42.11	20.86	23.76
FCRL6	2.12	16.27	13.62	1.41	5.32	9.27	21.63	5.41	10.16	6.52	4.98	38.95	17.13	21.63	3.29	4.35	25.91	50.63	0.79	4.7	14.45	1.55	4.06	3.17	12.55	1.71	2.89	63.45	4.31	2.16	40.93	3.72	31.9	24.11	21.63	69.52	29.06	6.21	0.49	18.03	0.72	5.32	3.29	3.96	5.15	5.19	5.68	6.62	9.63	5.59	12.83	3.96	25.17
FERMT3	84.04	125.24	387.02	35.5	72.01	232.94	234.57	162.14	172.65	229.72	63.0	323.03	299.25	371.22	111.99	74.06	368.65	490.14	115.16	96.01	291.04	79.45	185.11	83.45	115.97	72.52	215.77	567.1	151.22	112.77	1199.98	111.99	165.57	511.0	215.77	633.73	221.86	98.73	60.82	289.02	29.27	186.4	128.79	67.12	61.25	88.88	105.15	239.52	74.58	107.38	373.81	190.34	194.36
FGD3	33.3	32.13	155.5	5.23	23.42	82.87	69.03	27.44	35.5	46.5	17.25	76.71	137.14	106.63	15.11	18.84	84.63	115.16	11.73	17.64	50.63	19.97	36.79	10.71	31.0	4.82	46.5	191.67	38.4	11.3	269.6	22.43	69.52	73.03	49.56	256.78	58.71	32.13	5.36	54.72	8.71	28.04	29.48	21.94	13.93	19.25	20.26	62.12	21.01	13.22	118.43	23.42	57.49
FGR	52.82	71.5	139.07	16.75	77.79	85.22	113.56	74.06	62.12	59.13	40.07	218.79	198.47	128.79	117.6	52.45	150.17	271.48	99.43	55.49	88.88	45.53	81.71	42.11	63.0	21.94	64.8	187.71	44.89	55.49	264.03	78.89	97.36	244.57	131.51	205.5	102.25	46.84	23.76	63.0	12.18	82.87	53.19	34.26	28.86	40.64	43.32	127.0	57.49	87.03	148.09	82.87	126.12
FMNL1	127.89	190.34	525.39	83.45	126.12	325.29	265.87	211.31	176.29	214.27	117.6	334.46	395.18	423.61	103.69	88.26	400.71	463.65	176.29	96.01	217.27	81.14	208.38	78.89	140.04	45.53	175.07	563.18	181.28	94.67	988.12	186.4	205.5	432.53	318.57	703.28	220.32	151.22	116.78	229.72	70.51	149.12	87.65	150.17	117.6	127.0	122.64	231.32	102.25	60.39	389.72	183.82	175.07
FUT7	0.77	2.2	10.63	0.0	0.44	10.79	2.71	2.2	1.17	1.87	0.0	3.59	7.75	13.72	2.07	0.8	8.71	7.34	1.13	0.44	7.34	1.89	2.23	0.47	2.73	0.41	2.51	17.9	2.18	1.45	35.76	1.17	3.29	8.78	2.34	6.31	3.23	1.17	0.87	7.22	0.4	0.79	3.23	1.14	0.43	0.46	0.79	0.51	1.93	0.46	7.06	3.2	5.15
GBP5	23.08	22.59	190.34	8.65	5.28	69.52	39.22	60.82	47.84	47.17	7.57	106.63	185.11	71.0	8.85	10.39	53.95	303.44	9.06	16.27	74.58	9.13	35.25	15.68	45.85	1.91	25.54	234.57	9.93	13.42	143.01	6.94	74.58	75.11	49.21	420.68	108.14	30.78	3.47	125.24	3.11	17.38	12.83	9.85	9.27	16.75	17.51	52.45	19.53	6.31	128.79	26.67	48.18
GIMAP1	44.89	45.85	125.24	11.3	30.56	52.08	51.35	25.35	39.79	43.02	42.11	108.9	94.01	99.43	23.93	29.06	67.59	56.28	15.56	29.48	50.63	32.59	24.81	9.27	40.36	11.38	48.87	105.89	31.45	6.89	162.14	50.98	36.79	79.45	49.56	137.14	48.18	33.54	16.75	53.57	14.35	35.0	27.84	20.71	15.34	26.47	30.56	67.59	28.65	25.72	86.43	31.67	72.01
GMFG	289.02	348.71	1051.79	60.39	206.94	583.07	417.77	334.46	384.34	316.37	182.55	830.75	665.29	866.07	373.81	191.67	607.87	1015.93	289.02	198.47	579.04	122.64	295.11	135.24	429.54	181.28	536.45	1628.26	332.14	142.01	2075.59	500.46	698.41	713.11	454.09	1250.98	583.07	251.48	93.35	490.14	153.34	297.17	312.0	137.14	127.89	212.78	236.21	480.04	224.97	271.48	1051.79	277.2	529.06
GPR132	10.96	14.14	63.45	3.17	7.22	30.56	25.54	14.67	18.56	13.12	7.4	32.36	40.36	34.26	8.25	6.67	48.52	76.17	11.3	8.38	20.56	3.5	23.42	6.01	15.8	2.14	22.59	102.97	11.13	3.99	90.14	11.82	31.9	33.54	29.27	94.67	22.75	13.83	2.14	27.05	2.68	8.25	5.54	7.57	5.68	7.17	10.39	12.09	9.85	5.02	31.45	13.22	23.42
GPSM3	139.07	190.34	629.35	31.45	120.1	435.55	297.17	140.04	166.73	205.5	94.01	423.61	353.59	543.96	93.35	90.14	450.94	543.96	96.01	92.05	283.05	74.06	173.85	66.65	226.54	41.81	217.27	974.5	167.9	60.82	1369.04	145.02	351.14	384.34	265.87	819.3	256.78	133.36	37.59	265.87	55.89	141.02	115.16	109.66	63.45	116.78	104.42	248.0	109.66	117.6	629.35	176.29	297.17
GRAP	14.14	31.0	82.87	14.14	12.93	54.72	47.84	22.43	26.1	26.86	28.04	99.43	49.21	108.14	21.16	21.01	64.8	52.82	17.64	23.08	47.84	17.38	25.54	8.25	28.45	18.7	49.91	145.02	22.59	5.63	273.37	85.22	40.93	81.14	40.64	97.36	48.87	23.76	15.11	38.12	20.56	27.84	20.56	16.88	12.83	13.83	21.01	48.87	26.86	22.43	92.7	38.12	40.07
GZMA	60.82	94.01	281.09	10.39	52.08	83.45	146.03	96.68	75.64	101.54	16.27	241.19	265.87	236.21	21.01	38.95	107.38	381.68	21.16	36.27	135.24	15.45	54.72	21.01	156.59	4.66	65.26	780.44	39.22	22.92	429.54	30.78	175.07	172.65	86.43	540.19	205.5	41.22	4.35	166.73	11.55	38.4	35.25	23.59	43.32	33.54	54.33	117.6	21.78	35.0	158.79	45.21	132.44
GZMH	29.06	63.45	110.43	13.52	38.12	40.93	71.5	46.5	33.3	66.18	5.96	214.27	234.57	82.87	18.16	27.44	46.84	175.07	6.62	12.18	77.25	21.32	29.27	8.38	73.54	5.36	45.53	275.28	20.11	6.84	135.24	25.17	92.05	150.17	38.95	217.27	100.83	14.78	4.54	54.72	8.25	13.72	38.67	15.0	31.0	18.43	43.02	60.82	18.7	38.4	36.53	21.32	95.34
GZMM	33.3	44.25	96.01	6.16	16.03	45.85	40.64	45.53	34.02	30.12	10.79	94.01	76.17	122.64	17.64	17.9	65.72	100.13	11.47	16.51	30.12	10.08	24.63	5.45	35.76	11.38	86.43	142.01	21.47	8.92	341.51	14.78	120.94	80.57	54.72	307.69	94.67	10.39	1.17	82.87	1.81	18.16	19.11	9.13	19.53	16.39	27.25	52.45	12.36	18.16	87.03	32.36	54.33
HAPLN3	29.7	95.34	237.86	14.67	47.17	87.03	94.67	88.88	57.89	70.01	26.67	199.85	229.72	201.25	57.89	32.13	246.28	521.76	80.01	27.84	88.88	27.05	79.45	37.32	48.87	18.84	112.77	267.73	56.28	20.41	341.51	49.56	131.51	169.07	83.45	351.14	114.36	48.87	6.36	118.43	8.78	42.41	34.51	53.57	15.45	30.78	43.02	105.89	47.17	50.27	139.07	78.34	82.29
HCLS1	265.87	260.38	872.1	41.52	221.86	497.0	379.04	251.48	260.38	279.14	152.28	551.56	909.17	738.29	171.45	167.9	684.02	954.43	185.11	148.09	417.77	170.25	265.87	91.41	303.44	86.43	325.29	1191.69	217.27	104.42	2148.82	249.73	514.56	507.46	476.71	1359.57	486.75	236.21	75.64	447.82	123.5	220.32	186.4	115.97	70.01	193.01	182.55	435.55	138.1	221.86	703.28	228.13	384.34
HCST	325.29	281.09	555.41	64.8	111.99	412.0	414.87	295.11	195.72	209.84	98.04	587.13	559.28	703.28	156.59	132.44	579.04	483.38	152.28	212.78	497.0	98.73	269.6	86.43	249.73	64.8	432.53	1322.37	208.38	67.12	1407.55	103.69	314.17	591.22	255.0	1037.29	392.44	124.37	37.59	450.94	51.71	151.22	185.11	70.51	114.36	152.28	137.14	343.89	106.63	208.38	860.08	126.12	406.31
HLA-DMA	525.39	866.07	2573.36	152.28	759.08	1143.1	1268.46	1183.45	620.67	941.27	629.35	1242.34	3443.31	1628.26	435.55	457.25	2004.85	3639.7	463.65	536.45	1135.2	366.09	981.29	454.09	848.22	152.28	1208.34	3820.7	769.69	264.03	3564.78	693.58	842.36	1143.1	1159.07	3794.3	1628.26	575.03	299.25	1208.34	540.19	444.72	612.11	587.13	381.68	651.58	444.72	1304.15	532.74	575.03	1870.53	802.41	1104.13
HLA-DOA	48.87	105.15	454.09	14.45	72.01	204.07	291.04	113.56	105.15	152.28	76.71	265.87	379.04	281.09	60.82	69.52	463.65	785.88	59.13	42.11	224.97	46.84	108.14	37.85	133.36	10.39	117.6	301.33	86.43	33.54	647.07	113.56	163.28	154.42	193.01	660.68	178.77	124.37	29.91	181.28	50.63	80.01	77.79	63.89	32.59	96.68	60.82	267.73	79.45	50.63	218.79	102.25	353.59
HLA-F	796.86	1378.57	5517.27	341.51	1572.76	2485.67	1806.78	1617.0	1397.83	1977.24	358.54	2555.58	9409.14	2178.83	547.75	1331.57	2240.11	6250.56	363.56	665.29	1519.15	470.14	1407.55	480.04	728.11	220.32	2520.38	3690.52	748.61	624.99	4268.94	651.58	2224.63	2148.82	934.76	5594.3	2335.28	620.67	134.3	2004.85	214.27	633.73	633.73	1572.76	490.14	490.14	878.17	1617.0	555.41	563.18	2367.9	728.11	2075.59
ICOS	3.41	3.96	26.47	0.0	0.67	16.88	3.47	3.29	5.32	4.62	0.38	5.54	10.88	19.53	3.32	1.35	12.64	29.7	1.93	1.99	17.77	3.35	14.24	7.34	10.39	0.32	1.64	71.5	0.35	2.53	43.63	1.04	10.47	9.13	8.92	67.59	9.06	5.28	0.0	16.88	0.31	1.62	1.66	1.31	0.96	1.38	0.67	4.54	4.78	0.37	9.56	4.5	10.24
IL12RB1	13.83	17.77	70.01	1.3	6.06	39.79	26.67	17.25	15.0	26.1	4.74	33.06	56.68	41.52	8.06	11.64	44.57	82.87	4.98	2.07	29.7	8.38	23.42	4.06	16.75	3.44	18.7	90.14	8.78	4.28	94.67	13.22	29.27	38.67	24.99	130.6	26.1	12.09	3.76	26.67	5.36	6.36	10.16	5.73	4.24	8.78	9.06	18.84	14.56	4.98	40.36	11.82	25.72
IL16	43.32	68.55	329.84	12.09	32.82	229.72	120.1	57.89	105.15	81.14	55.89	167.9	205.5	246.28	26.67	53.95	241.19	297.17	29.48	41.22	162.14	38.12	68.07	40.64	123.5	7.75	98.73	587.13	44.57	12.55	836.53	62.56	166.73	163.28	162.14	525.39	109.66	105.89	22.75	161.02	15.68	69.52	44.57	29.91	37.05	47.5	43.63	100.83	43.63	39.79	273.37	54.72	176.29
IL21R	3.29	4.58	38.95	4.24	3.79	28.65	11.21	7.75	15.11	7.88	1.73	16.51	27.84	39.79	5.5	6.01	27.84	60.82	5.5	5.63	19.97	4.28	8.25	5.68	16.27	1.85	7.28	75.11	5.96	2.66	189.02	4.28	21.47	34.26	12.36	85.82	7.4	9.63	3.0	37.59	0.49	3.41	12.36	3.08	2.97	3.2	3.44	6.46	13.22	2.84	33.3	15.0	10.24
IL2RB	11.64	43.63	201.25	7.06	20.71	137.14	70.01	54.33	37.59	43.32	22.26	73.03	80.57	98.04	10.71	26.67	173.85	165.57	16.51	23.08	85.82	12.55	55.89	20.11	46.5	2.03	31.67	285.03	15.0	7.63	253.23	18.7	73.54	75.11	72.52	323.03	60.39	41.81	2.43	74.06	2.78	24.63	10.71	14.67	9.06	12.64	27.84	49.91	23.93	9.2	105.15	25.54	65.26
IL2RG	177.53	262.2	836.53	53.19	115.16	466.88	450.94	187.71	135.24	202.66	56.68	483.38	791.35	638.15	63.89	136.19	341.51	1037.29	60.39	90.77	334.46	51.71	175.07	71.5	376.41	17.64	163.28	1529.73	77.25	36.53	1794.29	59.55	441.64	423.61	229.72	1437.15	320.8	125.24	20.86	389.72	13.83	127.89	88.26	169.07	202.66	74.06	111.99	265.87	111.21	108.14	743.43	127.89	237.86
IL4I1	21.47	28.65	115.97	17.38	5.82	43.02	56.68	58.3	45.21	48.18	16.88	39.5	93.35	57.08	8.65	16.51	88.26	173.85	31.45	31.22	40.93	12.0	45.85	17.51	38.4	6.67	57.89	161.02	18.43	17.25	217.27	21.78	55.1	128.79	55.49	151.22	70.01	23.59	10.31	96.68	3.08	28.45	20.56	21.32	7.28	23.76	27.64	74.06	45.85	14.35	151.22	32.82	25.54
INPP5D	46.84	127.89	371.22	24.46	101.54	242.88	228.13	100.13	120.1	182.55	102.97	255.0	303.44	343.89	81.14	68.07	420.68	323.03	96.68	59.13	206.94	53.57	120.94	48.18	134.3	16.63	117.6	438.59	78.34	29.7	988.12	140.04	260.38	208.38	269.6	583.07	95.34	156.59	35.5	177.53	36.27	126.12	61.25	45.21	28.45	128.79	79.45	167.9	77.79	54.72	305.55	103.69	327.56
IRF4	1.71	3.23	33.54	1.99	1.45	18.43	8.19	4.58	2.92	2.53	2.27	7.69	12.18	22.92	2.41	9.48	15.22	34.51	4.82	2.84	10.47	1.13	12.0	3.08	10.55	0.0	2.12	44.25	1.1	1.07	119.26	2.2	17.25	6.78	16.27	38.12	7.4	6.06	0.44	18.16	0.37	2.46	0.77	1.79	1.73	1.5	1.45	6.11	2.97	0.79	15.11	8.0	11.21
ITGAL	94.01	55.89	248.0	24.11	27.64	146.03	108.14	46.5	53.57	71.0	35.0	129.69	178.77	214.27	26.1	31.9	140.04	327.56	12.55	34.02	148.09	35.76	71.5	21.63	100.13	7.57	46.84	406.31	25.35	12.09	579.04	49.56	167.9	152.28	108.9	559.28	104.42	41.22	17.25	131.51	7.88	43.63	31.9	19.39	21.16	25.54	55.1	120.1	28.86	26.47	224.97	35.76	77.25
ITGAM	18.29	42.41	74.06	5.77	8.25	43.63	92.05	34.75	35.25	53.95	19.68	51.71	72.52	73.54	31.0	13.12	122.64	151.22	44.89	29.7	75.11	37.85	27.25	16.15	37.85	4.35	30.56	71.0	20.86	15.45	119.26	37.85	66.18	91.41	110.43	142.01	44.57	38.12	9.93	38.12	8.58	27.44	23.93	11.47	15.91	26.1	14.35	51.35	26.1	19.53	63.89	33.06	80.57
ITGB2	205.5	334.46	836.53	36.53	163.28	454.09	555.41	376.41	299.25	493.56	218.79	575.03	928.3	656.11	167.9	170.25	1151.06	1359.57	186.4	164.42	583.07	102.25	376.41	155.5	417.77	78.34	441.64	1081.39	320.8	131.51	1617.0	190.34	275.28	921.88	708.18	1781.89	532.74	336.79	94.67	543.96	65.26	215.77	153.34	169.07	133.36	232.94	164.42	414.87	242.88	361.04	764.36	191.67	384.34
ITGB7	33.3	41.81	228.13	17.64	26.67	115.16	92.05	34.75	48.18	73.54	15.8	114.36	127.89	137.14	14.67	19.82	107.38	234.57	16.03	18.29	67.59	31.67	53.19	23.25	63.89	4.7	45.53	287.01	41.81	14.14	490.14	57.89	100.83	88.26	69.52	392.44	55.49	23.08	7.63	83.45	17.38	50.63	32.13	34.26	24.28	18.43	35.25	50.27	33.54	21.63	130.6	48.52	104.42
JAK3	17.9	38.12	169.07	7.63	21.16	105.89	76.71	31.45	44.25	32.82	11.82	92.7	151.22	177.53	12.09	19.82	82.87	246.28	30.34	25.54	71.5	25.72	39.22	16.27	50.98	8.65	47.84	312.0	28.45	11.64	470.14	33.06	88.26	86.43	67.59	234.57	57.89	47.5	4.7	63.89	3.06	32.13	21.78	13.62	22.92	24.11	19.82	90.14	32.36	20.41	155.5	43.32	44.57
KCNAB2	60.82	101.54	236.21	49.21	62.12	157.68	114.36	84.63	135.24	146.03	75.11	186.4	220.32	214.27	50.27	84.04	244.57	224.97	77.79	61.25	158.79	43.32	122.64	52.82	92.7	67.12	78.34	277.2	76.17	50.63	417.77	92.05	134.3	248.0	153.34	438.59	121.79	111.21	44.25	130.6	38.12	103.69	51.71	79.45	82.87	119.26	64.34	171.45	58.71	90.14	232.94	94.01	96.68
KLK3	1345768.59	1005860.33	550352.86	1116072.03	1212874.47	887875.81	677564.08	1163466.92	1116072.03	794671.01	925580.18	800198.39	499455.67	527933.71	1255646.43	1187913.85	619179.28	706337.4	1093103.58	1139523.1	619179.28	919186.72	1100706.72	906531.99	1327240.99	887875.81	1147449.11	309589.14	1412675.8	906531.99	254974.66	1238359.56	1196176.45	602247.76	851707.37	348306.01	800198.39	985160.01	746611.43	919186.72	757033.75	1063212.58	1212874.47	1238359.56	985160.01	1048575.0	1345768.59	938500.81	1472666.19	1229805.58	623486.02	1019901.63	805764.22
KLRB1	49.56	35.0	199.85	8.85	36.79	135.24	70.51	21.78	22.92	26.28	14.24	73.03	253.23	131.51	15.45	27.84	74.58	205.5	8.99	7.75	100.83	15.34	18.56	10.0	51.71	0.75	55.1	341.51	20.11	8.06	441.64	8.58	61.68	84.04	47.17	177.53	66.65	25.72	1.58	35.0	3.89	14.67	9.27	9.13	12.83	12.64	21.16	56.68	14.03	18.56	96.68	29.27	43.63
KLRK1	25.54	36.53	131.51	9.48	24.99	56.28	65.26	42.71	43.32	30.56	8.32	92.05	155.5	93.35	17.51	17.64	58.71	142.01	16.75	13.72	59.97	20.71	20.56	8.45	34.26	3.92	23.42	301.33	15.91	9.85	136.19	16.03	66.65	80.01	60.39	381.68	66.65	15.11	7.28	57.89	2.03	15.0	25.91	14.67	18.97	17.64	25.72	37.05	12.64	24.99	34.26	35.76	60.82
LAIR1	114.36	147.06	387.02	20.71	57.08	156.59	221.86	199.85	146.03	232.94	81.14	262.2	305.55	309.83	69.52	82.29	466.88	423.61	98.04	82.87	320.8	78.34	148.09	49.56	136.19	38.12	162.14	348.71	114.36	55.1	476.71	149.12	181.28	305.55	376.41	688.78	221.86	127.89	47.17	223.41	52.82	109.66	84.63	309.83	34.75	108.14	73.03	242.88	88.26	133.36	275.28	135.24	194.36
LAX1	4.13	6.67	30.78	0.97	3.0	14.35	9.13	4.03	4.1	9.34	2.51	10.55	23.08	18.43	2.29	2.39	12.27	39.22	8.71	3.69	13.12	2.43	5.06	1.48	11.38	0.34	1.68	33.54	0.71	2.29	94.01	6.84	25.35	6.73	18.43	53.95	4.7	6.41	1.14	15.11	0.92	6.84	2.71	2.01	1.31	4.13	2.34	9.2	3.86	4.17	26.28	3.0	13.12
LCK	43.94	108.9	320.8	21.94	65.72	260.38	93.35	81.14	77.25	58.3	37.59	142.01	221.86	260.38	59.55	37.59	138.1	353.59	45.85	44.89	165.57	27.05	115.16	46.5	116.78	11.91	88.88	532.74	43.32	22.26	836.53	69.52	151.22	251.48	76.17	587.13	183.82	56.68	17.25	166.73	33.06	76.17	46.18	154.42	62.12	64.34	52.45	94.67	40.93	34.02	265.87	47.84	115.97
LGALS2	48.18	94.67	104.42	0.0	25.35	154.42	62.12	18.97	57.49	5.28	6.89	44.57	239.52	71.0	5.92	21.32	178.77	176.29	35.0	12.18	52.82	4.1	116.78	25.54	70.01	4.28	178.77	633.73	6.89	14.35	503.95	9.41	127.89	140.04	45.53	346.29	43.02	38.67	0.0	99.43	4.28	30.12	24.81	14.24	31.45	24.28	9.78	45.53	23.08	38.4	175.07	51.35	68.55
LGALS9	432.53	432.53	1286.18	44.89	246.28	591.22	785.88	511.0	351.14	674.59	224.97	791.35	830.75	902.89	273.37	205.5	902.89	1216.75	236.21	234.57	616.37	215.77	432.53	147.06	368.65	144.01	660.68	1397.83	466.88	156.59	1378.57	275.28	819.3	941.27	748.61	1583.71	743.43	384.34	131.51	679.29	204.07	289.02	339.14	147.06	134.3	293.07	260.38	733.19	301.33	435.55	878.17	343.89	703.28
LILRB1	10.0	19.97	110.43	5.5	7.0	36.79	44.25	29.06	24.63	35.5	14.45	49.91	61.25	63.89	17.51	8.65	117.6	120.1	20.11	18.7	78.89	6.46	40.36	13.12	19.68	5.41	29.48	78.34	14.67	12.45	253.23	41.52	41.81	75.11	59.13	158.79	44.89	25.72	9.41	38.4	13.22	22.43	11.3	8.51	6.01	15.68	10.79	43.94	16.63	10.55	70.01	35.76	57.08
LSP1	190.34	371.22	1331.57	59.13	121.79	738.29	429.54	376.41	351.14	307.69	127.89	665.29	743.43	995.0	163.28	182.55	1008.9	1066.48	181.28	167.9	511.0	139.07	397.93	113.56	473.41	83.45	454.09	1923.14	226.54	92.05	2351.53	255.0	674.59	941.27	493.56	1359.57	426.57	226.54	86.43	638.15	68.07	258.57	229.72	117.6	127.89	191.67	185.11	387.02	205.5	253.23	1143.1	248.0	551.56
LST1	205.5	314.17	612.11	30.56	140.04	269.6	366.09	314.17	244.57	297.17	119.26	536.45	656.11	543.96	187.71	93.35	642.59	698.41	173.85	142.01	444.72	101.54	229.72	90.14	283.05	104.42	595.34	1242.34	293.07	74.58	1081.39	138.1	297.17	679.29	314.17	1143.1	432.53	135.24	46.84	232.94	95.34	155.5	172.65	105.89	87.65	187.71	127.89	353.59	149.12	371.22	624.99	249.73	466.88
LTA	2.25	6.46	29.48	1.85	1.97	36.79	7.22	6.06	8.85	8.38	0.53	13.52	8.78	17.38	2.23	4.62	19.53	31.22	0.49	1.62	6.46	1.66	6.16	3.76	8.92	1.83	8.51	93.35	1.6	2.27	106.63	2.03	7.28	14.45	2.12	50.63	13.12	5.02	0.54	16.88	0.78	4.13	0.0	1.97	0.84	0.0	1.97	11.73	2.07	2.43	35.25	7.11	7.34
LTB	63.89	112.77	819.3	8.51	28.24	1015.93	329.84	102.97	186.4	86.43	32.59	255.0	265.87	743.43	19.97	57.89	323.03	620.67	34.75	64.34	220.32	36.79	119.26	13.52	246.28	12.0	221.86	2090.03	35.25	17.9	2240.11	35.5	329.84	371.22	93.35	819.3	209.84	73.54	7.75	457.25	4.82	85.22	46.5	47.5	48.87	31.22	31.45	97.36	61.68	30.34	1199.98	139.07	106.63
