	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.D8.A1JA.01A.11R.A13Q.07	TCGA.HN.A2OB.01A.21R.A27Q.07	TCGA.AC.A3OD.01A.11R.A21T.07.1	TCGA.D8.A4Z1.01A.21R.A266.07	TCGA.BH.A28O.01A.11R.A22K.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.LL.A7T0.01A.31R.A352.07	TCGA.A7.A4SA.01A.11R.A266.07	TCGA.D8.A3Z5.01A.41R.A24H.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.E2.A14U.01A.11R.A22K.07	TCGA.A7.A5ZW.01A.12R.A29R.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.D8.A1J8.01A.11R.A13Q.07	TCGA.BH.A1F8.01A.11R.A13Q.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.E9.A244.01A.11R.A169.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.D8.A1Y2.01A.11R.A157.07	TCGA.E2.A150.01A.11R.A12D.07	TCGA.A2.A1G6.01A.11R.A13Q.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RS.01A.11R.A084.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.BH.A0RX.01A.21R.A084.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.A2.A4RY.01A.31R.A266.07	TCGA.AC.A62X.01A.11R.A29R.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.B6.A0IO.01A.11R.A034.07	TCGA.BH.A1F8.11B.21R.A13Q.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A0AZ.11A.22R.A12P.07	TCGA.BH.A18Q.11A.34R.A12D.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0DP.11A.12R.A089.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.BH.A0AU.11A.11R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.A7.A0CE.11A.21R.A089.07	TCGA.BH.A0HA.11A.31R.A12P.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.ZVZQ.0826.SM.51MRF	GTEX.1269C.2426.SM.5FQSN	GTEX.XMD2.0926.SM.4WWEF	GTEX.YFC4.1426.SM.5IFJG	GTEX.131YS.0626.SM.5EGKL	GTEX.S341.1526.SM.4AD6K	GTEX.T2IS.1526.SM.32QPR	GTEX.Y5LM.1726.SM.4VDSX	GTEX.1313W.0826.SM.5EQ4T	GTEX.X15G.1626.SM.3NMB3	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.ZXES.0826.SM.5E43C	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.12ZZX.1126.SM.5EGKB	GTEX.13NZ8.0126.SM.5IJCT	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	TCGA.BP.4799.01A.01R.1305.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.Y5LM.0426.SM.4VBRO	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZPU1.0826.SM.57WG2	GTEX.145MO.2326.SM.5NQ9K	GTEX.14753.1626.SM.5NQ9L	TCGA.38.4625.01A.01R.1206.07	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.ZQG8.2126.SM.4YCF1	TCGA.BR.4279.01A.01R.1131.13	GTEX.P4PP.2026.SM.3P61N	GTEX.XUJ4.1526.SM.4BONU	GTEX.13U4I.1926.SM.5LU39	GTEX.1117F.2426.SM.5EGGH	GTEX.13VXT.1626.SM.5IJES
GABBR1	1135.2	205.5	163.28	616.37	629.35	796.86	785.88	76.17	43.02	127.0	130.6	473.41	555.41	429.54	540.19	229.72	651.58	239.52	334.46	239.52	429.54	376.41	454.09	289.02	332.14	309.83	248.0	162.14	518.15	239.52	242.88	221.86	318.57	441.64	842.36	1023.0	131.51	483.38	400.71	146.03	170.25	1304.15	212.78	376.41	34.75	473.41	293.07	351.14	981.29	813.63	559.28	633.73	529.06	842.36	343.89	500.46	819.3	842.36	624.99	738.29	381.68	173.85	909.17	417.77	2591.27	961.07	698.41	327.56	178.77	348.71	693.58	1295.13	172.65	769.69	110.43	283.05	1066.48	651.58	1088.92	141.02	341.51	56.28	52.45	10.24	62.12	37.85	8.38	31.45	7.11	65.72	4.03	0.0	301.33	5.96	88.26	2255.7	1605.83	1135.2	1572.76	2976.74
GIGYF1	981.29	303.44	98.04	688.78	536.45	915.51	961.07	147.06	214.27	128.79	175.07	403.5	703.28	441.64	1508.65	309.83	684.02	400.71	307.69	136.19	88.26	343.89	521.76	165.57	674.59	205.5	169.07	123.5	555.41	256.78	283.05	256.78	260.38	316.37	224.97	607.87	260.38	384.34	343.89	165.57	209.84	1030.12	320.8	114.36	251.48	878.17	289.02	209.84	571.05	616.37	454.09	454.09	323.03	780.44	149.12	351.14	563.18	555.41	285.03	441.64	536.45	187.71	258.57	226.54	616.37	624.99	607.87	363.56	571.05	88.26	723.08	583.07	130.6	738.29	122.64	128.79	368.65	220.32	414.87	351.14	329.84	120.94	22.26	111.21	114.36	67.12	114.36	90.77	108.14	94.67	66.65	228.13	255.0	43.02	67.59	1936.53	1081.39	1104.13	1081.39	1088.92
GOLGA8N	73.54	2.16	5.15	53.95	63.89	92.05	55.1	1.66	10.39	23.76	10.31	9.85	23.59	21.94	85.82	45.85	63.0	26.28	29.91	3.66	5.23	28.65	135.24	45.53	75.11	34.02	9.63	9.2	31.45	4.78	69.03	22.26	32.59	6.89	8.78	14.67	17.77	26.47	72.01	8.25	105.15	50.27	0.46	39.5	20.41	30.34	35.25	28.04	152.28	118.43	81.14	87.65	53.57	170.25	10.63	73.54	66.65	241.19	77.79	80.57	75.11	18.29	134.3	36.53	124.37	94.01	139.07	110.43	27.64	131.51	108.9	271.48	16.39	129.69	25.72	17.51	127.0	63.45	251.48	29.91	144.01	47.5	0.83	1.69	28.86	4.7	6.11	8.13	23.25	15.91	5.96	0.0	169.07	1.22	36.53	153.34	281.09	37.32	56.68	159.9
GOLGA8R	32.36	6.16	2.23	44.25	24.63	36.79	54.33	7.22	6.06	11.47	5.45	10.39	10.55	14.56	35.0	16.88	17.77	4.06	14.35	2.16	2.43	21.32	62.12	31.22	11.13	18.43	6.62	4.21	19.11	8.25	8.25	8.13	20.11	12.27	5.73	8.65	11.47	37.85	22.92	3.53	17.77	35.0	1.01	3.76	12.74	17.38	26.67	23.25	68.55	74.06	54.33	51.35	45.21	81.14	18.29	20.26	63.0	102.97	43.94	70.51	29.06	26.28	95.34	4.13	94.67	80.57	84.63	27.25	9.13	96.01	56.68	93.35	24.99	105.89	4.35	23.25	28.45	19.68	53.95	7.17	43.63	3.72	0.0	5.73	0.0	5.32	2.23	9.13	7.63	3.38	2.97	0.0	23.59	2.46	16.51	66.18	118.43	23.93	39.22	29.48
GPRASP1	85.82	8.38	6.67	113.56	72.52	157.68	215.77	6.52	37.05	59.97	14.45	38.95	15.56	82.29	107.38	22.1	59.13	50.27	73.03	10.55	15.91	57.89	20.56	44.25	68.07	36.01	16.39	13.83	50.63	15.56	20.86	40.36	12.0	218.79	32.13	27.64	11.21	155.5	153.34	22.75	23.08	172.65	17.13	11.82	16.63	18.16	129.69	218.79	295.11	406.31	232.94	206.94	176.29	275.28	183.82	129.69	343.89	511.0	205.5	248.0	283.05	135.24	212.78	237.86	236.21	299.25	316.37	293.07	173.85	144.01	316.37	211.31	60.39	316.37	113.56	158.79	591.22	237.86	314.17	81.71	138.1	13.72	5.87	6.73	15.8	1.91	2.12	22.26	7.17	18.29	4.74	0.0	51.71	1.35	102.97	1519.15	323.03	872.1	503.95	934.76
HNRNPUL2	915.51	902.89	353.59	974.5	934.76	1030.12	1059.11	559.28	974.5	642.59	947.83	860.08	1001.93	915.51	941.27	483.38	896.64	981.29	1151.06	603.67	521.76	884.29	819.3	620.67	836.53	988.12	1066.48	624.99	791.35	723.08	961.07	1008.9	1191.69	1051.79	1044.52	981.29	1001.93	1286.18	941.27	802.41	961.07	1008.9	633.73	743.43	1119.56	1250.98	954.43	1127.35	1225.22	1135.2	1081.39	1143.1	872.1	1199.98	825.0	1127.35	1286.18	1135.2	1015.93	1561.89	1250.98	1044.52	902.89	764.36	1427.22	1242.34	1477.58	785.88	1008.9	420.68	1143.1	1216.75	540.19	1628.26	412.0	1051.79	1143.1	1037.29	1059.11	684.02	616.37	500.46	95.34	273.37	363.56	363.56	291.04	476.71	307.69	248.0	108.9	312.0	723.08	599.49	368.65	974.5	1066.48	1350.18	1119.56	1250.98
IP6K2	3257.52	2047.0	1437.15	2875.3	1477.58	2855.44	3303.0	1639.59	1088.92	1183.45	1277.29	915.51	909.17	2104.58	3349.13	2434.5	3257.52	2255.7	2061.24	1143.1	1001.93	1745.2	1378.57	1295.13	1721.16	1340.84	1104.13	1697.45	2271.4	1388.16	1832.01	1923.14	563.18	3395.89	1127.35	1844.76	1119.56	2367.9	3257.52	1331.57	836.53	4066.71	2018.8	1143.1	1844.76	2417.67	2537.92	2047.0	3325.99	2835.7	2758.13	3491.39	2895.31	3212.66	1806.78	2816.11	4123.49	2895.31	2758.13	2701.35	1794.29	1359.57	2178.83	2032.85	5076.84	2720.15	2573.36	1794.29	1936.53	1208.34	2875.3	3081.75	1628.26	3190.46	2835.7	2032.85	3467.27	2777.33	3060.45	2502.97	2502.97	819.3	890.44	567.1	567.1	406.31	332.14	444.72	483.38	536.45	457.25	0.0	1769.57	854.13	1127.35	3928.15	3443.31	3124.78	2935.74	5183.54
ITFG2	813.63	575.03	366.09	708.18	591.22	796.86	947.83	412.0	540.19	902.89	273.37	551.56	507.46	665.29	995.0	540.19	638.15	624.99	532.74	463.65	511.0	476.71	547.75	358.54	616.37	684.02	587.13	540.19	764.36	273.37	563.18	444.72	490.14	872.1	679.29	728.11	466.88	733.19	591.22	511.0	529.06	1001.93	514.56	368.65	575.03	1331.57	679.29	896.64	928.3	941.27	723.08	872.1	723.08	1286.18	547.75	743.43	1199.98	1023.0	780.44	1111.82	1001.93	728.11	866.07	624.99	1167.14	1388.16	748.61	693.58	890.44	483.38	1143.1	1030.12	490.14	769.69	665.29	819.3	1023.0	587.13	1388.16	447.82	656.11	232.94	406.31	237.86	255.0	115.16	204.07	221.86	131.51	269.6	119.26	0.0	595.34	208.38	403.5	2047.0	1268.46	1477.58	529.06	1369.04
JMJD7-PLA2G4B	141.02	23.93	7.11	81.71	59.97	148.09	164.42	36.01	40.07	26.1	12.55	37.85	93.35	111.99	201.25	40.36	102.97	29.27	30.78	18.16	32.13	51.71	69.03	33.78	57.49	24.11	19.11	6.94	109.66	20.56	18.56	28.86	61.68	159.9	14.14	57.89	27.25	79.45	53.57	17.0	30.34	215.77	14.78	14.89	12.83	32.59	36.27	55.1	139.07	197.09	73.03	61.25	73.54	205.5	33.78	71.5	142.01	173.85	103.69	124.37	124.37	29.48	157.68	89.51	236.21	185.11	145.02	120.1	36.01	49.56	167.9	201.25	31.22	107.38	26.28	54.33	170.25	122.64	224.97	55.1	78.89	13.52	4.46	9.85	11.21	1.19	0.84	14.14	6.52	8.06	6.73	0.0	36.01	8.45	11.55	318.57	127.89	136.19	102.97	198.47
KAT8	1487.87	1498.22	392.44	1081.39	941.27	1233.75	1233.75	1697.45	718.08	607.87	540.19	884.29	1540.37	902.89	1697.45	1081.39	1572.76	1259.69	866.07	718.08	583.07	813.63	909.17	941.27	1388.16	981.29	708.18	1313.23	947.83	688.78	860.08	791.35	684.02	1427.22	656.11	1104.13	718.08	1322.37	928.3	463.65	796.86	1417.35	981.29	429.54	802.41	738.29	1044.52	974.5	1143.1	1208.34	1216.75	1250.98	967.76	1313.23	848.22	1167.14	1295.13	988.12	981.29	878.17	1119.56	698.41	1119.56	1023.0	1135.2	1286.18	1467.37	2032.85	1540.37	629.35	1268.46	1697.45	1407.55	1487.87	1477.58	571.05	1397.83	1191.69	1037.29	1397.83	842.36	463.65	329.84	480.04	457.25	346.29	412.0	480.04	332.14	591.22	353.59	0.0	665.29	336.79	651.58	1498.22	1508.65	1437.15	1583.71	2104.58
KCNAB3	40.93	10.39	6.62	43.63	28.86	45.85	75.11	2.78	19.53	13.72	10.79	23.42	40.64	30.78	70.51	21.01	36.27	25.54	13.62	14.78	8.32	29.06	24.11	14.78	12.0	10.79	8.71	9.63	48.52	12.0	28.65	19.68	10.39	20.56	12.45	40.36	6.67	35.5	16.75	7.17	15.0	51.71	6.84	4.62	8.0	19.68	18.16	10.31	41.22	50.27	25.35	35.0	33.78	46.84	26.1	34.51	52.82	39.79	25.91	40.07	27.25	26.28	36.53	8.0	96.01	37.32	49.21	42.71	30.56	8.38	29.27	102.97	15.22	52.82	3.59	11.47	38.12	15.34	75.64	19.53	24.81	8.19	0.0	2.39	5.73	4.54	7.28	6.84	1.58	3.29	0.84	0.0	27.25	0.0	10.88	563.18	191.67	466.88	629.35	595.34
KIAA1683	100.83	37.05	7.88	51.71	38.67	258.57	112.77	2.2	12.45	3.99	1.99	7.22	37.32	33.54	70.01	19.97	223.41	17.77	26.1	11.3	5.87	18.7	186.4	61.25	41.81	33.06	4.5	1.43	202.66	7.75	32.82	75.11	9.06	139.07	4.58	9.48	59.13	106.63	133.36	15.45	15.68	138.1	8.45	15.45	14.14	43.94	116.78	64.34	140.04	208.38	283.05	147.06	183.82	181.28	204.07	134.3	146.03	323.03	68.07	420.68	303.44	287.01	529.06	62.12	356.05	283.05	262.2	693.58	126.12	54.72	127.89	212.78	34.02	301.33	55.49	115.16	323.03	65.26	234.57	123.5	167.9	15.22	5.5	11.91	12.83	14.56	27.64	10.24	0.62	1.55	5.92	0.0	51.71	1.33	4.24	713.11	813.63	334.46	339.14	567.1
L3MBTL1	289.02	58.71	3.89	142.01	144.01	159.9	218.79	24.28	30.34	13.93	53.95	121.79	295.11	241.19	265.87	10.08	128.79	47.17	65.72	19.53	98.73	84.04	140.04	46.18	91.41	57.49	4.21	49.91	122.64	29.7	76.17	53.57	76.17	114.36	52.08	155.5	37.05	95.34	83.45	33.78	82.29	356.05	11.55	32.59	65.26	69.03	76.17	83.45	209.84	199.85	172.65	101.54	102.25	249.73	55.49	90.14	231.32	297.17	211.31	236.21	258.57	48.87	281.09	69.03	441.64	480.04	140.04	106.63	52.08	47.5	279.14	353.59	39.79	195.72	40.36	93.35	289.02	95.34	387.02	50.27	109.66	17.9	19.97	14.78	10.47	2.1	2.01	12.27	6.06	4.9	5.41	0.0	60.39	1.07	21.32	490.14	189.02	295.11	141.02	320.8
LDB1	1322.37	947.83	624.99	1477.58	1561.89	1617.0	1745.2	713.11	684.02	915.51	563.18	1378.57	1628.26	1259.69	1757.34	1143.1	1313.23	981.29	909.17	547.75	409.15	884.29	1250.98	764.36	1417.35	669.92	536.45	878.17	1111.82	1151.06	872.1	769.69	612.11	1015.93	693.58	954.43	896.64	1369.04	1135.2	819.3	791.35	2209.26	480.04	688.78	656.11	785.88	947.83	995.0	1697.45	1662.49	1487.87	1551.09	1104.13	1745.2	674.59	988.12	1697.45	1417.35	1208.34	1639.59	1340.84	830.75	1277.29	909.17	1639.59	1594.73	1250.98	1015.93	884.29	679.29	1286.18	1477.58	656.11	1709.26	764.36	759.08	1709.26	802.41	1674.06	836.53	974.5	283.05	251.48	279.14	170.25	130.6	114.36	164.42	158.79	93.35	137.14	0.0	620.67	511.0	368.65	3168.41	995.0	2875.3	2664.15	2627.46
MAP2K7	656.11	190.34	185.11	595.34	813.63	684.02	728.11	283.05	223.41	214.27	281.09	587.13	486.75	647.07	808.0	143.01	616.37	470.14	358.54	232.94	105.15	327.56	599.49	318.57	567.1	412.0	297.17	177.53	518.15	376.41	403.5	201.25	295.11	497.0	518.15	698.41	264.03	389.72	389.72	226.54	346.29	775.05	366.09	273.37	403.5	361.04	397.93	303.44	567.1	483.38	457.25	483.38	381.68	612.11	256.78	426.57	698.41	738.29	409.15	540.19	466.88	307.69	521.76	450.94	532.74	651.58	591.22	493.56	460.44	183.82	507.46	684.02	249.73	775.05	223.41	224.97	607.87	426.57	723.08	327.56	514.56	158.79	92.7	323.03	249.73	202.66	165.57	143.01	217.27	241.19	221.86	0.0	450.94	157.68	171.45	1023.0	583.07	780.44	708.18	1104.13
MAU2	796.86	198.47	457.25	785.88	872.1	921.88	878.17	318.57	363.56	486.75	307.69	579.04	603.67	813.63	928.3	406.31	693.58	392.44	540.19	476.71	246.28	518.15	896.64	679.29	563.18	555.41	400.71	381.68	525.39	536.45	518.15	563.18	733.19	591.22	432.53	633.73	329.84	551.56	587.13	291.04	409.15	1073.91	267.73	366.09	457.25	486.75	518.15	490.14	896.64	872.1	748.61	642.59	607.87	1044.52	361.04	466.88	941.27	974.5	656.11	764.36	884.29	387.02	684.02	529.06	961.07	934.76	872.1	718.08	476.71	483.38	743.43	909.17	457.25	791.35	253.23	376.41	915.51	583.07	1030.12	376.41	603.67	195.72	37.59	170.25	189.02	56.28	83.45	133.36	103.69	116.78	114.36	329.84	500.46	194.36	361.04	1088.92	819.3	872.1	759.08	954.43
MBD1	915.51	511.0	212.78	947.83	854.13	1225.22	954.43	473.41	463.65	368.65	389.72	620.67	872.1	587.13	1331.57	307.69	896.64	620.67	738.29	332.14	251.48	503.95	941.27	483.38	808.0	387.02	414.87	248.0	848.22	656.11	395.18	842.36	447.82	813.63	336.79	796.86	341.51	723.08	718.08	400.71	679.29	1295.13	454.09	389.72	460.44	403.5	693.58	543.96	1081.39	1023.0	928.3	890.44	896.64	1088.92	429.54	813.63	981.29	967.76	693.58	947.83	1059.11	486.75	1051.79	599.49	1397.83	981.29	1088.92	890.44	540.19	511.0	1073.91	1096.5	599.49	1023.0	591.22	447.82	1322.37	743.43	1378.57	559.28	759.08	269.6	151.22	387.02	329.84	299.25	301.33	283.05	295.11	303.44	232.94	0.0	540.19	265.87	438.59	1388.16	934.76	872.1	1037.29	1250.98
MEGF8	297.17	89.51	75.11	387.02	285.03	348.71	368.65	78.89	199.85	239.52	175.07	138.1	156.59	262.2	314.17	218.79	392.44	205.5	301.33	39.79	58.3	195.72	303.44	320.8	232.94	244.57	100.83	50.98	242.88	275.28	201.25	241.19	170.25	204.07	232.94	297.17	255.0	318.57	395.18	103.69	255.0	346.29	47.17	237.86	281.09	175.07	201.25	170.25	376.41	305.55	301.33	412.0	264.03	363.56	89.51	400.71	249.73	329.84	215.77	543.96	202.66	151.22	329.84	134.3	348.71	277.2	262.2	183.82	136.19	119.26	406.31	279.14	94.67	536.45	201.25	117.6	327.56	198.47	295.11	191.67	265.87	164.42	96.01	117.6	47.17	103.69	92.05	61.25	58.71	27.25	44.25	0.0	323.03	70.51	76.71	688.78	660.68	403.5	299.25	476.71
METTL22	575.03	684.02	221.86	297.17	312.0	403.5	435.55	275.28	277.2	178.77	208.38	769.69	426.57	483.38	397.93	269.6	384.34	277.2	165.57	255.0	269.6	228.13	231.32	217.27	480.04	224.97	191.67	234.57	285.03	253.23	246.28	343.89	180.02	255.0	211.31	417.77	264.03	183.82	248.0	248.0	163.28	447.82	343.89	102.97	148.09	271.48	269.6	198.47	406.31	403.5	273.37	314.17	285.03	373.81	197.09	269.6	438.59	403.5	473.41	444.72	457.25	201.25	249.73	264.03	444.72	547.75	371.22	316.37	366.09	175.07	361.04	353.59	246.28	514.56	176.29	258.57	371.22	327.56	603.67	273.37	283.05	115.97	190.34	199.85	117.6	177.53	145.02	165.57	147.06	211.31	195.72	0.0	607.87	163.28	226.54	866.07	438.59	454.09	603.67	967.76
MGP	469249.9	275175.93	131982.68	144427.91	485798.0	286861.53	146444.06	998912.34	1139523.1	659036.03	343510.77	593956.43	329517.51	431797.89	368165.8	502929.67	386469.83	365622.68	736332.6	85876.94	77934.88	623486.02	577714.63	716197.51	462789.59	546551.29	171754.88	466008.55	489177.0	569761.05	1196176.45	411347.03	405683.88	414208.18	539026.74	443937.41	329517.51	623486.02	434801.29	402881.61	706337.4	102125.66	275175.93	459592.86	687022.54	417089.23	358098.26	453265.5	134755.94	111755.56	462789.59	408505.64	800198.39	156954.93	397335.0	509950.32	107948.72	358098.26	598087.73	585779.24	1524599.69	378516.38	496005.67	389157.95	182810.84	338781.54	400098.69	565825.41	422911.59	475800.4	370726.6	565825.41	869603.57	147462.67	1100706.72	845824.19	107203.06	381149.17	496005.67	1308968.45	614902.29	34876.28	1583.71	387.02	426.57	395.18	412.0	1378.57	397.93	392.44	293.07	3419.52	258533.99	5403.7	76330.98	2555.58	146444.06	7382.04	296977.71	5517.27
MZF1	1051.79	195.72	115.16	490.14	299.25	616.37	647.07	161.02	232.94	68.07	206.94	202.66	432.53	392.44	660.68	363.56	514.56	273.37	237.86	198.47	157.68	255.0	454.09	281.09	348.71	316.37	73.03	120.1	518.15	204.07	312.0	138.1	54.33	283.05	124.37	368.65	88.88	297.17	242.88	85.82	206.94	688.78	127.89	98.04	336.79	363.56	206.94	173.85	447.82	429.54	348.71	283.05	291.04	503.95	156.59	316.37	387.02	406.31	314.17	373.81	283.05	165.57	400.71	314.17	1037.29	500.46	543.96	395.18	400.71	120.1	450.94	543.96	142.01	381.68	223.41	82.87	412.0	327.56	651.58	175.07	293.07	53.95	18.56	143.01	111.99	28.04	55.89	83.45	58.3	183.82	84.04	0.0	265.87	34.02	84.04	759.08	543.96	708.18	665.29	1304.15
NEURL4	500.46	334.46	70.01	269.6	269.6	660.68	563.18	81.71	215.77	142.01	137.14	289.02	366.09	297.17	684.02	218.79	540.19	305.55	212.78	80.01	61.25	150.17	339.14	163.28	248.0	241.19	141.02	198.47	460.44	159.9	285.03	152.28	181.28	239.52	173.85	476.71	165.57	256.78	215.77	120.1	186.4	583.07	142.01	111.99	237.86	183.82	223.41	156.59	426.57	429.54	334.46	320.8	279.14	543.96	125.24	332.14	447.82	395.18	198.47	389.72	400.71	185.11	202.66	157.68	607.87	432.53	412.0	228.13	346.29	115.97	470.14	525.39	142.01	432.53	226.54	118.43	275.28	253.23	543.96	341.51	260.38	40.36	24.28	97.36	93.35	52.45	84.63	66.65	98.73	62.56	32.82	0.0	146.03	57.89	52.45	1030.12	642.59	571.05	521.76	909.17
NFYC	1313.23	616.37	1447.15	1135.2	1066.48	1447.15	1467.37	1199.98	1059.11	854.13	651.58	723.08	1001.93	1242.34	1322.37	1008.9	1295.13	941.27	1037.29	909.17	563.18	830.75	1487.87	808.0	1030.12	941.27	848.22	426.57	1242.34	1242.34	866.07	878.17	1447.15	1477.58	1268.46	1407.55	785.88	1259.69	1096.5	909.17	684.02	1519.15	1268.46	808.0	921.88	909.17	1111.82	1159.07	1359.57	1331.57	1143.1	1250.98	1331.57	1583.71	928.3	1037.29	1477.58	1437.15	1191.69	1437.15	1233.75	1073.91	1183.45	1417.35	1477.58	1662.49	1313.23	1331.57	1359.57	902.89	1250.98	1477.58	866.07	1135.2	1008.9	1159.07	1583.71	872.1	1721.16	1104.13	1225.22	559.28	293.07	718.08	660.68	563.18	708.18	974.5	599.49	497.0	403.5	0.0	708.18	934.76	941.27	2271.4	1378.57	1628.26	974.5	1295.13
NISCH	1685.71	466.88	921.88	1540.37	854.13	1909.85	1857.6	493.56	620.67	651.58	429.54	441.64	397.93	988.12	2240.11	679.29	1605.83	708.18	974.5	303.44	379.04	921.88	1540.37	656.11	748.61	679.29	435.55	486.75	1268.46	785.88	808.0	848.22	480.04	1498.22	432.53	743.43	389.72	1447.15	1225.22	327.56	674.59	2664.15	389.72	647.07	583.07	733.19	1023.0	1066.48	1991.0	2018.8	1437.15	1477.58	1457.23	2061.24	1030.12	1233.75	2163.77	2018.8	1519.15	2061.24	1407.55	775.05	1639.59	1096.5	3146.52	2075.59	1529.73	1030.12	743.43	1051.79	1781.89	2148.82	616.37	2133.97	813.63	723.08	2627.46	1583.71	2915.45	878.17	1295.13	260.38	126.12	454.09	348.71	187.71	217.27	289.02	246.28	371.22	220.32	0.0	836.53	176.29	571.05	2758.13	1295.13	1870.53	1529.73	2835.7
NTN5	66.18	3.03	3.99	18.29	9.41	32.13	59.13	2.29	5.77	3.14	2.84	17.13	10.55	16.15	68.55	7.63	53.95	18.16	7.11	0.79	6.11	3.92	19.11	10.71	30.56	6.11	1.5	1.14	10.39	0.47	2.53	3.86	6.57	18.16	22.59	86.43	7.22	32.59	15.34	0.87	5.54	56.28	3.69	1.45	0.0	8.92	24.11	19.11	47.17	64.8	44.57	21.63	51.35	68.07	7.17	29.06	86.43	61.68	33.54	46.18	46.84	33.78	22.1	14.56	88.26	63.89	40.36	42.41	36.01	12.36	38.12	71.0	16.75	56.28	9.41	10.79	63.0	12.64	105.15	13.83	15.11	5.92	0.0	0.0	2.66	0.0	0.58	0.95	0.62	3.63	0.79	0.0	2.34	0.0	1.77	236.21	17.25	69.52	100.83	151.22
OSGEP	1250.98	579.04	285.03	802.41	738.29	928.3	848.22	281.09	287.01	381.68	264.03	480.04	878.17	848.22	1208.34	403.5	830.75	866.07	642.59	470.14	182.55	759.08	543.96	633.73	713.11	389.72	507.46	211.31	656.11	480.04	665.29	583.07	674.59	595.34	595.34	703.28	669.92	759.08	543.96	444.72	525.39	1167.14	438.59	414.87	483.38	497.0	638.15	490.14	860.08	836.53	642.59	591.22	791.35	796.86	417.77	836.53	954.43	1023.0	921.88	842.36	1001.93	684.02	718.08	642.59	1088.92	1268.46	909.17	647.07	780.44	460.44	878.17	878.17	514.56	651.58	547.75	785.88	896.64	579.04	1096.5	497.0	612.11	376.41	476.71	403.5	412.0	297.17	356.05	368.65	441.64	420.68	271.48	0.0	656.11	209.84	511.0	1437.15	1001.93	1378.57	1295.13	1457.23
PKD1	1529.73	1304.15	139.07	1467.37	599.49	1487.87	1508.65	312.0	432.53	312.0	253.23	723.08	813.63	1066.48	1745.2	432.53	1037.29	551.56	447.82	145.02	85.82	500.46	1081.39	389.72	842.36	368.65	265.87	224.97	656.11	435.55	318.57	503.95	571.05	579.04	633.73	830.75	384.34	674.59	607.87	201.25	277.2	1561.89	483.38	190.34	229.72	343.89	669.92	366.09	1037.29	1242.34	1051.79	860.08	612.11	1191.69	195.72	595.34	1059.11	1304.15	490.14	733.19	1216.75	470.14	728.11	551.56	1583.71	1674.06	1044.52	921.88	417.77	409.15	1467.37	802.41	279.14	1059.11	417.77	175.07	1806.78	728.11	995.0	400.71	473.41	145.02	412.0	194.36	98.73	88.88	136.19	85.82	59.13	74.06	88.26	0.0	1286.18	155.5	226.54	3395.89	2997.45	1781.89	1757.34	3955.48
