	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.DD.A1EH.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.X3Y1.2726.SM.4PQZH	GTEX.R53T.0326.SM.48FEC	TCGA.EM.A1CW.01A.21R.A13Y.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.EM.A3FL.01A.11R.A21D.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.W5X1.0426.SM.3GILB	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.13NZA.1026.SM.5MR48	GTEX.SUCS.0226.SM.32PLQ	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.ZTX8.0626.SM.59HKC	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYW4.1126.SM.5SI99	GTEX.ZYFC.0926.SM.5GZWW	GTEX.11EM3.0126.SM.5985K	GTEX.WHPG.0226.SM.3NMB9	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.T5JW.1226.SM.3GACY	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.11EI6.0726.SM.59866	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.S7SE.0726.SM.2XCD7	GTEX.13113.0126.SM.5LZVX	GTEX.ZLWG.0526.SM.4WWFB	GTEX.WY7C.0226.SM.3NB37	GTEX.11P7K.0226.SM.5986Z	GTEX.YEC3.0826.SM.4WWFP	GTEX.R55C.0626.SM.2TF4Q	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.PX3G.2626.SM.2I3EG	GTEX.OOBK.2626.SM.2HMKY	GTEX.12WSN.0726.SM.5GCMS	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12WSD.0926.SM.5GCNL	GTEX.12BJ1.0426.SM.5FQSO	GTEX.ZPCL.0126.SM.4WWC8	GTEX.1212Z.0426.SM.5FQT6	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.QXCU.0326.SM.2TC63	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.13FTW.0626.SM.5IFEX
PHF21A	76.17	45.85	111.21	119.26	111.21	69.52	96.68	72.52	63.89	341.51	267.73	316.37	373.81	371.22	307.69	412.0	583.07	373.81	447.82	403.5	420.68	476.71	384.34	454.09	414.87	403.5	1030.12	497.0	507.46	830.75	684.02	351.14	363.56	543.96	624.99	417.77	575.03	423.61	497.0	376.41	384.34	389.72	403.5	426.57	353.59	450.94	480.04	525.39	603.67	429.54	463.65	387.02	599.49	346.29	480.04	435.55	381.68	460.44	384.34	480.04	466.88	490.14	353.59	473.41	320.8	400.71	587.13	406.31	591.22	476.71	334.46	612.11	395.18	356.05	381.68	361.04	684.02	397.93	490.14	587.13	409.15	493.56	483.38	403.5	412.0	381.68
PHTF2	36.53	17.25	55.1	42.11	43.94	30.34	44.25	38.67	47.84	103.69	85.82	72.52	52.08	83.45	109.66	80.01	206.94	94.01	181.28	126.12	117.6	146.03	90.77	136.19	117.6	115.97	132.44	156.59	124.37	182.55	251.48	146.03	159.9	151.22	211.31	149.12	165.57	145.02	111.21	124.37	115.97	146.03	116.78	135.24	125.24	116.78	150.17	164.42	123.5	108.14	149.12	178.77	154.42	111.21	166.73	129.69	101.54	175.07	114.36	118.43	171.45	130.6	82.87	124.37	110.43	133.36	170.25	105.89	165.57	164.42	108.14	127.89	148.09	94.67	126.12	82.29	204.07	125.24	167.9	129.69	126.12	105.15	123.5	134.3	123.5	126.12
PKN2	134.3	65.72	129.69	151.22	115.16	137.14	138.1	155.5	105.89	208.38	228.13	193.01	215.77	285.03	246.28	373.81	679.29	293.07	429.54	223.41	493.56	470.14	384.34	470.14	438.59	420.68	563.18	532.74	325.29	447.82	669.92	409.15	518.15	450.94	543.96	426.57	688.78	536.45	490.14	389.72	336.79	348.71	480.04	457.25	426.57	312.0	454.09	336.79	320.8	363.56	301.33	490.14	518.15	403.5	603.67	563.18	291.04	620.67	297.17	466.88	460.44	529.06	318.57	532.74	373.81	384.34	514.56	441.64	753.83	507.46	363.56	567.1	507.46	316.37	543.96	255.0	915.51	547.75	476.71	567.1	536.45	253.23	438.59	376.41	417.77	438.59
PLEKHH2	4.62	6.36	7.57	11.82	10.55	10.63	7.82	2.03	9.93	20.41	15.45	12.0	9.63	34.02	50.98	27.25	199.85	109.66	142.01	43.02	104.42	68.55	42.11	77.79	59.97	145.02	121.79	69.03	113.56	102.97	295.11	132.44	57.89	75.64	123.5	105.89	82.87	93.35	92.7	116.78	63.89	55.89	78.34	72.52	38.95	53.57	228.13	133.36	111.21	61.25	107.38	159.9	149.12	27.25	194.36	78.89	21.78	70.51	124.37	63.45	164.42	120.1	31.22	136.19	24.63	71.5	206.94	93.35	223.41	98.04	31.0	106.63	56.68	25.91	56.28	59.97	170.25	95.34	71.0	130.6	159.9	104.42	88.88	120.94	42.71	25.17
PPIP5K2	228.13	105.89	246.28	303.44	258.57	260.38	189.02	339.14	221.86	307.69	301.33	231.32	156.59	316.37	325.29	397.93	825.0	395.18	476.71	400.71	457.25	507.46	429.54	497.0	476.71	460.44	529.06	559.28	450.94	426.57	748.61	575.03	497.0	551.56	511.0	607.87	674.59	529.06	476.71	277.2	409.15	473.41	483.38	503.95	447.82	470.14	651.58	454.09	483.38	348.71	587.13	607.87	521.76	417.77	514.56	559.28	346.29	679.29	447.82	438.59	624.99	669.92	301.33	587.13	406.31	450.94	703.28	486.75	759.08	441.64	339.14	620.67	470.14	414.87	559.28	275.28	703.28	536.45	529.06	490.14	642.59	376.41	426.57	503.95	361.04	476.71
PPP4R1L	6.46	15.68	18.29	20.11	14.45	16.75	18.97	6.41	15.68	52.45	52.82	63.0	53.19	82.29	41.22	72.52	341.51	122.64	149.12	133.36	164.42	143.01	100.83	132.44	118.43	122.64	329.84	152.28	100.13	169.07	237.86	189.02	158.79	108.9	327.56	193.01	154.42	185.11	100.13	111.21	108.14	115.97	130.6	172.65	87.65	130.6	229.72	126.12	183.82	80.01	115.16	155.5	139.07	82.87	172.65	124.37	113.56	130.6	136.19	158.79	133.36	142.01	71.0	202.66	50.98	71.5	201.25	146.03	226.54	127.0	82.87	223.41	150.17	42.41	161.02	96.68	152.28	165.57	158.79	256.78	202.66	100.83	117.6	116.78	85.82	82.29
PPWD1	163.28	79.45	212.78	166.73	144.01	187.71	180.02	183.82	135.24	318.57	269.6	307.69	226.54	470.14	327.56	466.88	872.1	486.75	612.11	497.0	624.99	703.28	406.31	674.59	406.31	371.22	708.18	603.67	563.18	532.74	1135.2	490.14	559.28	595.34	738.29	860.08	921.88	587.13	733.19	493.56	432.53	612.11	536.45	708.18	529.06	551.56	791.35	723.08	497.0	579.04	607.87	624.99	713.11	466.88	703.28	693.58	444.72	748.61	633.73	647.07	921.88	743.43	463.65	718.08	497.0	518.15	796.86	599.49	785.88	457.25	507.46	633.73	579.04	500.46	612.11	454.09	1088.92	708.18	567.1	836.53	587.13	438.59	616.37	525.39	529.06	457.25
PRDM2	82.87	74.06	177.53	111.21	92.7	124.37	96.68	133.36	88.26	351.14	223.41	256.78	226.54	438.59	397.93	511.0	1096.5	525.39	629.35	915.51	642.59	647.07	579.04	607.87	591.22	457.25	884.29	759.08	563.18	1757.34	1350.18	703.28	665.29	547.75	1551.09	599.49	679.29	669.92	595.34	540.19	429.54	525.39	543.96	647.07	511.0	728.11	728.11	764.36	603.67	620.67	559.28	674.59	819.3	493.56	603.67	525.39	409.15	575.03	507.46	629.35	688.78	525.39	476.71	656.11	441.64	417.77	753.83	708.18	674.59	723.08	514.56	1023.0	674.59	395.18	521.76	429.54	909.17	616.37	493.56	860.08	567.1	743.43	607.87	507.46	638.15	521.76
PROSER1	46.18	77.25	103.69	150.17	71.5	76.17	66.65	97.36	38.67	242.88	189.02	130.6	220.32	215.77	258.57	281.09	371.22	172.65	237.86	214.27	412.0	356.05	255.0	281.09	301.33	195.72	309.83	332.14	159.9	384.34	466.88	249.73	258.57	264.03	466.88	253.23	400.71	356.05	303.44	316.37	253.23	248.0	285.03	297.17	312.0	204.07	287.01	231.32	197.09	283.05	195.72	309.83	532.74	303.44	327.56	264.03	237.86	409.15	198.47	264.03	293.07	368.65	236.21	343.89	249.73	228.13	271.48	305.55	285.03	312.0	229.72	279.14	441.64	309.83	289.02	226.54	684.02	371.22	265.87	303.44	301.33	218.79	253.23	166.73	332.14	262.2
PRPF39	123.5	27.64	103.69	135.24	112.77	79.45	115.97	76.17	92.05	251.48	260.38	195.72	223.41	366.09	194.36	301.33	808.0	316.37	384.34	412.0	438.59	403.5	343.89	406.31	400.71	387.02	555.41	441.64	351.14	543.96	819.3	551.56	392.44	389.72	642.59	536.45	563.18	514.56	444.72	395.18	329.84	395.18	295.11	493.56	361.04	356.05	633.73	555.41	389.72	320.8	376.41	470.14	642.59	381.68	423.61	473.41	307.69	529.06	356.05	420.68	579.04	476.71	217.27	567.1	343.89	447.82	647.07	490.14	633.73	412.0	271.48	551.56	466.88	297.17	387.02	186.4	612.11	414.87	470.14	460.44	559.28	414.87	514.56	371.22	395.18	314.17
QRICH1	318.57	358.54	309.83	387.02	336.79	343.89	353.59	454.09	289.02	624.99	480.04	591.22	587.13	813.63	607.87	909.17	1104.13	718.08	813.63	1023.0	1030.12	1233.75	928.3	1096.5	967.76	769.69	1250.98	1015.93	713.11	1250.98	1183.45	866.07	1104.13	848.22	1250.98	961.07	1350.18	1088.92	1096.5	1183.45	981.29	848.22	896.64	1037.29	915.51	860.08	1135.2	928.3	830.75	921.88	718.08	988.12	1397.83	947.83	967.76	1001.93	934.76	1208.34	866.07	1143.1	961.07	1104.13	791.35	1059.11	921.88	878.17	1104.13	1015.93	1175.27	1030.12	915.51	1051.79	1175.27	848.22	961.07	921.88	1832.01	1081.39	954.43	1051.79	1111.82	842.36	1044.52	698.41	988.12	995.0
RAB2B	120.1	108.9	117.6	147.06	151.22	132.44	81.71	139.07	81.71	249.73	186.4	231.32	234.57	291.04	318.57	384.34	684.02	325.29	381.68	320.8	470.14	406.31	336.79	432.53	397.93	420.68	567.1	423.61	381.68	432.53	607.87	483.38	395.18	441.64	518.15	387.02	503.95	412.0	400.71	305.55	368.65	397.93	450.94	432.53	351.14	371.22	483.38	381.68	400.71	426.57	412.0	470.14	480.04	334.46	409.15	432.53	353.59	629.35	351.14	387.02	555.41	575.03	325.29	426.57	435.55	339.14	454.09	395.18	599.49	384.34	285.03	591.22	363.56	358.54	361.04	297.17	718.08	406.31	457.25	483.38	486.75	267.73	483.38	351.14	381.68	289.02
RBM25	236.21	79.45	224.97	301.33	237.86	231.32	204.07	363.56	186.4	435.55	543.96	454.09	620.67	860.08	583.07	713.11	2032.85	703.28	915.51	954.43	1242.34	1051.79	1104.13	1216.75	1051.79	981.29	1628.26	1508.65	802.41	2032.85	2032.85	1477.58	1304.15	1250.98	1605.83	1175.27	1651.0	1540.37	1216.75	1051.79	947.83	878.17	947.83	1340.84	1175.27	775.05	1605.83	1295.13	1104.13	775.05	1001.93	1216.75	1605.83	974.5	1127.35	1350.18	921.88	1359.57	848.22	1259.69	1066.48	1295.13	688.78	1407.55	748.61	1104.13	1639.59	1477.58	1745.2	1199.98	693.58	1417.35	1233.75	759.08	1051.79	698.41	2090.03	1594.73	1199.98	1208.34	1447.15	896.64	1286.18	981.29	1159.07	1073.91
RBM26	120.94	31.9	152.28	197.09	171.45	180.02	148.09	153.34	118.43	348.71	314.17	163.28	314.17	490.14	397.93	616.37	860.08	490.14	591.22	343.89	490.14	684.02	473.41	616.37	507.46	525.39	698.41	748.61	547.75	587.13	872.1	603.67	571.05	616.37	775.05	633.73	1037.29	599.49	555.41	583.07	486.75	529.06	567.1	595.34	514.56	435.55	665.29	412.0	486.75	559.28	507.46	620.67	759.08	529.06	638.15	616.37	457.25	872.1	555.41	540.19	555.41	713.11	476.71	684.02	532.74	647.07	575.03	567.1	748.61	450.94	403.5	571.05	718.08	395.18	525.39	329.84	753.83	638.15	674.59	728.11	642.59	417.77	587.13	599.49	583.07	575.03
RBM39	2004.85	759.08	1467.37	2032.85	1950.0	1561.89	1259.69	1721.16	1437.15	3103.19	2935.74	2303.12	2777.33	4543.8	3212.66	4836.35	8305.36	4066.71	4543.8	4210.15	7032.37	6121.9	5872.48	5872.48	5076.84	5112.16	8134.41	8247.98	4639.29	6935.54	8658.09	4512.4	5594.3	5076.84	9606.86	7130.55	6207.38	5791.62	5913.33	5041.77	4388.98	4972.34	5219.6	5751.61	5219.6	5711.87	8134.41	6652.97	5913.33	4972.34	4704.07	5913.33	8658.09	4268.94	5711.87	8247.98	4704.07	6935.54	4268.94	5517.27	6207.38	5183.54	3540.14	9151.82	4802.93	4802.93	7331.05	5255.91	9088.59	5366.37	3768.09	7695.57	4869.99	3614.55	5872.48	3614.55	7180.15	5517.27	5711.87	7382.04	8247.98	4481.23	8778.97	4328.55	6121.9	4210.15
RBM5	536.45	242.88	595.34	591.22	563.18	563.18	358.54	521.76	356.05	1259.69	1199.98	1044.52	928.3	1870.53	1268.46	1794.29	3982.99	1519.15	1519.15	1896.65	2835.7	2351.53	2133.97	2434.5	1781.89	1857.6	2956.17	2816.11	1674.06	3742.05	4937.99	2895.31	2104.58	2178.83	3349.13	3212.66	2835.7	3018.3	2935.74	2148.82	1733.13	1963.57	2335.28	2468.49	1697.45	2075.59	4010.71	3168.41	2777.33	2061.24	2119.22	2417.67	4419.52	1477.58	2075.59	3190.46	1794.29	3039.3	1923.14	2178.83	2591.27	2976.74	1605.83	3280.18	1322.37	1844.76	3768.09	2664.15	3716.2	2193.99	1487.87	3280.18	2434.5	1674.06	2119.22	1551.09	3794.3	2224.63	2104.58	2855.44	3039.3	2032.85	3146.52	1583.71	2032.85	1457.23
REV1	154.42	65.72	149.12	199.85	212.78	165.57	99.43	153.34	123.5	358.54	255.0	244.57	223.41	476.71	336.79	463.65	1096.5	532.74	616.37	514.56	642.59	595.34	480.04	547.75	500.46	514.56	988.12	543.96	629.35	1008.9	961.07	928.3	547.75	559.28	854.13	860.08	738.29	708.18	476.71	473.41	460.44	587.13	624.99	540.19	551.56	540.19	860.08	780.44	684.02	575.03	791.35	723.08	842.36	470.14	514.56	642.59	511.0	559.28	579.04	567.1	642.59	802.41	368.65	595.34	341.51	409.15	748.61	571.05	941.27	480.04	353.59	603.67	599.49	373.81	521.76	426.57	1127.35	660.68	551.56	633.73	819.3	698.41	854.13	660.68	493.56	454.09
RICTOR	50.27	24.11	66.65	73.03	51.71	54.72	65.72	45.53	61.25	70.01	61.25	57.49	97.36	141.02	82.29	148.09	295.11	106.63	170.25	110.43	193.01	201.25	171.45	195.72	182.55	161.02	325.29	221.86	146.03	295.11	381.68	224.97	193.01	148.09	363.56	167.9	287.01	220.32	206.94	182.55	169.07	135.24	157.68	171.45	153.34	125.24	205.5	144.01	185.11	157.68	143.01	176.29	214.27	173.85	236.21	173.85	118.43	279.14	118.43	201.25	185.11	197.09	111.21	249.73	136.19	151.22	256.78	164.42	303.44	194.36	114.36	260.38	242.88	153.34	156.59	81.14	384.34	195.72	183.82	236.21	236.21	148.09	157.68	133.36	159.9	176.29
RP11-295P9.3	61.68	21.32	49.56	60.82	53.19	50.27	35.76	41.52	42.71	108.14	132.44	152.28	159.9	256.78	129.69	343.89	500.46	161.02	177.53	99.43	253.23	368.65	275.28	346.29	157.68	158.79	457.25	384.34	148.09	258.57	525.39	224.97	209.84	323.03	314.17	403.5	323.03	366.09	493.56	241.19	232.94	217.27	249.73	212.78	187.71	325.29	441.64	182.55	242.88	397.93	201.25	312.0	579.04	201.25	199.85	309.83	339.14	460.44	164.42	197.09	215.77	656.11	215.77	441.64	190.34	432.53	688.78	275.28	525.39	165.57	127.89	356.05	253.23	193.01	258.57	246.28	320.8	248.0	232.94	339.14	466.88	194.36	397.93	169.07	277.2	158.79
RUFY2	46.5	13.03	47.84	55.1	53.57	43.02	41.81	35.5	46.84	118.43	82.87	105.15	99.43	163.28	124.37	177.53	323.03	180.02	229.72	131.51	226.54	195.72	180.02	197.09	166.73	167.9	236.21	220.32	211.31	223.41	320.8	202.66	224.97	248.0	246.28	242.88	289.02	232.94	212.78	135.24	161.02	183.82	220.32	190.34	201.25	180.02	204.07	186.4	173.85	189.02	170.25	256.78	226.54	153.34	241.19	253.23	139.07	283.05	183.82	211.31	228.13	229.72	149.12	231.32	204.07	165.57	217.27	198.47	287.01	183.82	134.3	253.23	269.6	161.02	194.36	149.12	273.37	223.41	162.14	291.04	221.86	190.34	193.01	178.77	183.82	180.02
S100PBP	69.03	30.78	80.01	100.13	81.71	54.72	63.0	63.0	67.59	185.11	132.44	127.0	217.27	297.17	177.53	236.21	555.41	269.6	312.0	246.28	351.14	281.09	260.38	295.11	236.21	232.94	376.41	346.29	348.71	289.02	633.73	325.29	232.94	312.0	343.89	480.04	332.14	305.55	356.05	255.0	248.0	305.55	258.57	275.28	258.57	279.14	476.71	325.29	376.41	332.14	303.44	414.87	414.87	205.5	356.05	336.79	206.94	470.14	275.28	232.94	420.68	518.15	320.8	348.71	305.55	241.19	444.72	291.04	414.87	295.11	223.41	334.46	314.17	172.65	318.57	211.31	432.53	265.87	204.07	373.81	397.93	301.33	406.31	279.14	287.01	237.86
SENP7	44.57	15.91	50.63	65.26	63.45	49.56	58.71	85.82	39.5	134.3	120.1	100.83	89.51	237.86	124.37	237.86	679.29	265.87	343.89	198.47	291.04	358.54	197.09	312.0	285.03	314.17	334.46	316.37	314.17	223.41	567.1	277.2	320.8	366.09	351.14	403.5	447.82	283.05	323.03	318.57	191.67	356.05	293.07	269.6	271.48	239.52	555.41	285.03	417.77	244.57	264.03	373.81	291.04	249.73	406.31	400.71	176.29	361.04	339.14	262.2	414.87	387.02	158.79	316.37	190.34	239.52	373.81	339.14	551.56	231.32	237.86	381.68	323.03	175.07	289.02	172.65	392.44	366.09	283.05	381.68	420.68	194.36	329.84	323.03	231.32	320.8
SETDB1	206.94	182.55	253.23	265.87	195.72	248.0	226.54	212.78	180.02	438.59	403.5	373.81	358.54	532.74	409.15	563.18	941.27	441.64	420.68	521.76	769.69	616.37	629.35	733.19	559.28	490.14	884.29	708.18	400.71	941.27	878.17	575.03	647.07	660.68	872.1	651.58	748.61	748.61	651.58	759.08	607.87	450.94	579.04	684.02	559.28	470.14	802.41	595.34	532.74	688.78	525.39	616.37	1015.93	497.0	624.99	819.3	571.05	743.43	543.96	674.59	674.59	819.3	518.15	703.28	525.39	493.56	866.07	616.37	890.44	703.28	500.46	713.11	688.78	536.45	656.11	521.76	1167.14	713.11	620.67	769.69	748.61	463.65	728.11	426.57	616.37	567.1
SF3B1	2018.8	1030.12	1857.6	2609.3	1977.24	1417.35	1183.45	1769.57	1359.57	2720.15	3303.0	2835.7	3820.7	4298.64	2855.44	3820.7	6471.02	3081.75	4123.49	3639.7	4543.8	4268.94	3303.0	3955.48	3540.14	3564.78	4181.07	4512.4	4972.34	5711.87	5403.7	2855.44	4066.71	3742.05	7331.05	5292.48	4639.29	4038.61	4066.71	4268.94	3303.0	3874.05	3955.48	4210.15	3103.19	4152.18	5791.62	5041.77	4419.52	4328.55	4328.55	4704.07	5329.3	3690.52	4639.29	4388.98	3190.46	5147.73	3665.02	4358.66	4704.07	4328.55	3081.75	4903.87	3794.3	3325.99	5147.73	3928.15	4903.87	4239.45	3190.46	4802.93	4704.07	2956.17	4152.18	2835.7	7642.41	3768.09	3874.05	4704.07	4639.29	4450.27	5441.3	3443.31	4419.52	3146.52
SLC25A14	127.0	57.49	82.29	88.26	90.77	64.8	56.28	100.83	63.89	231.32	187.71	232.94	205.5	307.69	264.03	234.57	403.5	309.83	264.03	271.48	412.0	358.54	224.97	265.87	223.41	309.83	511.0	305.55	332.14	295.11	575.03	387.02	269.6	341.51	450.94	457.25	332.14	346.29	363.56	325.29	255.0	363.56	251.48	312.0	217.27	316.37	412.0	395.18	316.37	249.73	343.89	384.34	457.25	264.03	358.54	323.03	237.86	366.09	307.69	312.0	454.09	285.03	190.34	379.04	329.84	237.86	466.88	323.03	518.15	281.09	234.57	400.71	318.57	336.79	285.03	226.54	514.56	318.57	283.05	384.34	441.64	246.28	518.15	320.8	343.89	212.78
SLC25A36	11.82	8.71	17.64	39.79	24.28	20.71	43.94	50.98	16.39	457.25	490.14	303.44	316.37	723.08	551.56	579.04	1950.0	633.73	974.5	819.3	1051.79	981.29	836.53	1066.48	902.89	928.3	1369.04	1259.69	896.64	1487.87	2133.97	1242.34	1151.06	1059.11	1572.76	961.07	1427.22	1111.82	1208.34	981.29	713.11	941.27	1023.0	872.1	854.13	612.11	1104.13	1037.29	775.05	703.28	872.1	1127.35	1183.45	775.05	1088.92	1104.13	567.1	1059.11	728.11	1096.5	954.43	1059.11	521.76	1216.75	587.13	698.41	1427.22	1277.29	1662.49	1159.07	660.68	1250.98	1199.98	563.18	941.27	454.09	1583.71	1313.23	1001.93	1191.69	1073.91	713.11	902.89	890.44	836.53	825.0
SPATA13	212.78	87.65	208.38	215.77	191.67	244.57	253.23	164.42	130.6	314.17	84.04	88.88	167.9	264.03	264.03	195.72	1268.46	435.55	587.13	536.45	384.34	444.72	327.56	353.59	271.48	287.01	1127.35	460.44	470.14	848.22	703.28	791.35	353.59	368.65	1135.2	432.53	769.69	305.55	555.41	480.04	339.14	796.86	454.09	236.21	149.12	376.41	836.53	909.17	543.96	583.07	303.44	514.56	423.61	336.79	470.14	543.96	204.07	412.0	334.46	435.55	866.07	830.75	260.38	395.18	158.79	215.77	753.83	507.46	825.0	587.13	220.32	748.61	283.05	194.36	457.25	291.04	819.3	444.72	256.78	669.92	460.44	490.14	473.41	366.09	406.31	412.0
SRSF10	718.08	514.56	769.69	909.17	759.08	791.35	764.36	785.88	780.44	995.0	1030.12	890.44	1051.79	1378.57	1369.04	1529.73	2739.08	1487.87	1781.89	1487.87	1896.65	1936.53	1721.16	2193.99	1651.0	1572.76	2835.7	2367.9	1519.15	2997.45	4298.64	2451.44	1806.78	1883.54	2645.74	1674.06	2591.27	1963.57	1832.01	1896.65	1697.45	1551.09	1572.76	1923.14	1605.83	1350.18	2061.24	1844.76	1697.45	1540.37	1477.58	1757.34	2018.8	1651.0	1832.01	2018.8	1498.22	2271.4	1487.87	1963.57	1923.14	2061.24	1447.15	2004.85	1639.59	1733.13	2319.15	1870.53	2555.58	2224.63	1331.57	2520.38	1923.14	1529.73	1769.57	1295.13	4239.45	2018.8	1950.0	1991.0	2163.77	1605.83	1870.53	1781.89	1685.71	1628.26
SUN1	435.55	708.18	447.82	559.28	483.38	536.45	483.38	420.68	397.93	1322.37	1037.29	934.76	684.02	1350.18	1015.93	995.0	2133.97	1508.65	1745.2	1819.35	1936.53	1583.71	1923.14	2004.85	1639.59	1583.71	2591.27	1857.6	1594.73	2384.37	3235.01	2119.22	1991.0	1819.35	1991.0	1950.0	2148.82	2271.4	1844.76	2061.24	1651.0	1909.85	1685.71	1806.78	1651.0	1583.71	2163.77	2061.24	1909.85	1175.27	1651.0	2271.4	2591.27	1519.15	1819.35	1794.29	1628.26	1769.57	1685.71	1883.54	1909.85	2004.85	1051.79	1923.14	1268.46	1936.53	3039.3	2351.53	2609.3	2163.77	1529.73	2255.7	1991.0	1191.69	1721.16	1498.22	2682.69	2178.83	1639.59	1844.76	2193.99	1477.58	1870.53	1819.35	1529.73	1662.49
TARBP1	130.6	72.01	95.34	187.71	167.9	92.05	92.7	116.78	78.89	336.79	301.33	397.93	198.47	420.68	267.73	423.61	785.88	417.77	536.45	384.34	480.04	536.45	406.31	525.39	381.68	283.05	674.59	444.72	414.87	318.57	733.19	738.29	381.68	521.76	518.15	759.08	616.37	555.41	521.76	384.34	432.53	638.15	536.45	435.55	275.28	403.5	866.07	493.56	620.67	384.34	579.04	708.18	616.37	400.71	384.34	423.61	463.65	575.03	551.56	500.46	620.67	902.89	320.8	387.02	414.87	323.03	748.61	409.15	866.07	363.56	316.37	599.49	503.95	420.68	376.41	339.14	603.67	575.03	454.09	529.06	642.59	351.14	733.19	356.05	406.31	384.34
TBL1XR1	211.31	128.79	255.0	258.57	229.72	236.21	223.41	215.77	138.1	703.28	521.76	503.95	457.25	708.18	688.78	759.08	1794.29	665.29	1175.27	511.0	1051.79	961.07	860.08	830.75	688.78	808.0	1674.06	1191.69	954.43	1059.11	1081.39	1001.93	921.88	1159.07	1313.23	860.08	1167.14	928.3	748.61	684.02	684.02	728.11	902.89	909.17	743.43	890.44	1073.91	791.35	854.13	915.51	842.36	1059.11	915.51	775.05	988.12	842.36	583.07	1143.1	624.99	884.29	896.64	915.51	769.69	1030.12	775.05	718.08	974.5	723.08	1447.15	728.11	647.07	1030.12	1066.48	775.05	819.3	595.34	1259.69	896.64	860.08	1242.34	1135.2	703.28	902.89	961.07	909.17	748.61
TET2	18.7	9.85	27.25	35.0	23.59	31.67	21.63	25.72	23.59	38.95	45.85	33.3	52.82	77.25	59.13	66.18	177.53	55.89	99.43	53.95	97.36	109.66	71.5	106.63	103.69	64.34	151.22	118.43	63.0	127.89	146.03	89.51	82.29	116.78	129.69	87.03	103.69	100.83	108.14	108.14	68.55	79.45	98.04	86.43	84.04	67.59	117.6	87.03	102.97	102.25	74.06	108.14	143.01	78.34	131.51	96.68	62.56	127.0	57.08	91.41	86.43	136.19	73.54	123.5	60.39	71.5	148.09	87.03	166.73	83.45	64.8	145.02	112.77	53.57	94.67	62.56	120.94	103.69	94.67	127.0	111.99	44.25	85.22	61.25	87.03	80.57
