	TCGA.W5.AA30.11A.11R.A41I.07	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.CV.A6K0.01B.21R.A31N.07	TCGA.CV.A468.01A.11R.A266.07	TCGA.BA.A6DI.01A.11R.A30B.07	TCGA.F7.A61S.01A.11R.A28V.07	TCGA.IQ.A61J.01A.11R.A30B.07	TCGA.CN.6995.01A.31R.2016.07	TCGA.CQ.7068.01A.11R.2081.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.F7.A620.01A.11R.A28V.07	TCGA.RC.A6M6.01A.11R.A32O.07	TCGA.K7.AAU7.01A.11R.A38B.07	TCGA.G3.A25Y.01A.11R.A16W.07	TCGA.DD.AAE7.01A.11R.A41C.07	TCGA.ED.A66Y.01A.11R.A311.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.2V.A95S.01A.11R.A37K.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.ED.A97K.01A.21R.A38B.07	TCGA.EP.A2KA.01A.11R.A180.07	TCGA.2Y.A9H7.01A.11R.A39D.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A11A.11A.11R.A131.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.YB5E.0326.SM.5IFHU	GTEX.S32W.1926.SM.4AD63	GTEX.Y5LM.0426.SM.4VBRO	GTEX.QDVN.0826.SM.48TZ2	GTEX.X4XY.1626.SM.46MVN	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.ZTPG.1426.SM.51MT3	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZAB5.0426.SM.5CVMI	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.ZYY3.0626.SM.5NQ6W	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.14E1K.0326.SM.5S2PE	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPIC.0926.SM.4IHLV	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	GTEX.14C38.1526.SM.5RQJ7	GTEX.REY6.1226.SM.48FDR	GTEX.R53T.0326.SM.48FEC	TCGA.98.A539.01A.31R.A262.07
ECH1	18304.63	2287.2	3124.78	3103.19	2555.58	2047.0	2627.46	3639.7	3060.45	3419.52	2468.49	4704.07	5255.91	12764.83	16611.71	11992.79	8078.22	8247.98	8078.22	5913.33	7382.04	20593.91	20881.4	8901.53	8840.04	19082.0	26248.46	3955.48	20881.4	5219.6	1551.09	19348.38	16727.26	19618.49	17317.18	34635.37	18178.19	11504.21	13586.57	18178.19	19082.0	24321.43	9740.98	25005.23	13776.25	21026.65	5403.7	9088.59	19214.73	20451.65	24490.61	11827.67	10014.87	9876.98	18431.96	4607.24	16843.62	21468.49	25354.3	20451.65	11992.79	14163.58	28923.41	12244.81	23169.48	20593.91	13968.57	15285.81	3146.52	5751.61	35363.15	3443.31
EFHD1	1044.52	27.64	95.34	88.88	30.12	15.91	136.19	16.03	14.24	53.57	24.99	165.57	81.14	135.24	299.25	154.42	181.28	56.68	486.75	221.86	27.25	100.13	890.44	146.03	529.06	1023.0	1617.0	336.79	2240.11	532.74	74.58	693.58	1066.48	848.22	273.37	521.76	392.44	1540.37	1519.15	1111.82	77.79	1628.26	412.0	1583.71	38.4	144.01	63.45	118.43	1397.83	748.61	1233.75	3060.45	246.28	457.25	1051.79	373.81	2520.38	1369.04	1208.34	125.24	2701.35	454.09	2255.7	2400.97	780.44	104.42	155.5	117.6	153.34	95.34	1051.79	43.63
EHHADH	3325.99	102.97	162.14	49.21	208.38	154.42	194.36	353.59	101.54	92.7	117.6	329.84	525.39	497.0	3639.7	201.25	854.13	167.9	1709.26	616.37	285.03	651.58	3564.78	4152.18	2701.35	3395.89	3395.89	356.05	4481.23	217.27	111.21	2645.74	4972.34	6426.31	215.77	7230.1	7433.4	4671.57	7911.95	4239.45	5791.62	9344.14	1340.84	10883.59	140.04	988.12	1037.29	1417.35	8191.0	6426.31	6381.92	5112.16	708.18	403.5	4268.94	108.14	6516.03	5995.9	12329.98	4639.29	4937.99	2627.46	10585.95	4010.71	3372.43	4937.99	2664.15	2591.27	100.83	688.78	10512.82	71.5
EPB41L5	616.37	242.88	177.53	173.85	309.83	248.0	269.6	417.77	264.03	332.14	236.21	323.03	316.37	387.02	457.25	285.03	312.0	163.28	356.05	373.81	161.02	791.35	376.41	819.3	669.92	463.65	624.99	387.02	444.72	297.17	334.46	813.63	656.11	559.28	241.19	547.75	1199.98	974.5	842.36	587.13	1127.35	860.08	486.75	764.36	271.48	299.25	555.41	392.44	769.69	555.41	579.04	669.92	473.41	291.04	842.36	150.17	941.27	665.29	780.44	872.1	759.08	688.78	796.86	417.77	454.09	759.08	764.36	525.39	271.48	384.34	808.0	124.37
F9	8363.13	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	125.24	255.0	902.89	2240.11	193.01	1794.29	30.56	3372.43	780.44	332.14	1844.76	7433.4	10733.74	10225.32	13586.57	9215.48	1277.29	12943.04	1030.12	297.17	24153.43	34635.37	52863.07	915.51	13681.08	92040.7	85283.74	75803.72	12589.08	191899.64	76330.98	10014.87	65990.84	7911.95	1936.53	1467.37	20737.16	39510.91	37901.36	128373.58	131071.0	9945.68	1781.89	81244.48	941.27	66912.05	19082.0	63742.91	48307.85	87681.42	7130.55	61999.83	36106.23	3928.15	39785.74	36357.37	10225.32	38.12	1508.65	32315.87	0.0
FMO4	718.08	53.57	94.67	78.89	121.79	80.01	93.35	14.78	47.5	50.63	62.56	41.52	178.77	366.09	368.65	214.27	193.01	176.29	246.28	158.79	92.05	135.24	503.95	616.37	490.14	583.07	536.45	170.25	392.44	116.78	79.45	567.1	860.08	961.07	58.3	1350.18	1066.48	351.14	1977.24	759.08	559.28	1183.45	205.5	1721.16	78.89	193.01	381.68	269.6	1286.18	679.29	412.0	616.37	258.57	325.29	444.72	88.26	954.43	961.07	2075.59	2004.85	473.41	575.03	351.14	423.61	616.37	753.83	780.44	236.21	20.26	316.37	1242.34	23.76
FMO5	4010.71	12.0	46.18	20.41	48.87	6.73	31.0	8.0	12.36	24.28	10.71	1991.0	1369.04	3564.78	3124.78	1674.06	3168.41	3018.3	2004.85	1199.98	2434.5	3325.99	4450.27	4095.0	3901.01	7230.1	3901.01	358.54	2627.46	265.87	98.04	9344.14	2895.31	2537.92	743.43	7537.18	12676.65	4239.45	7749.1	8421.31	3639.7	12415.75	2739.08	10512.82	262.2	1540.37	1651.0	3443.31	7642.41	4268.94	7911.95	6561.36	1628.26	2047.0	4481.23	149.12	15934.98	16383.0	8718.32	16496.96	7485.11	5219.6	6426.31	6607.01	6426.31	5441.3	3614.55	3395.89	34.51	1617.0	7032.37	16.27
FOLH1	579.04	198.47	21.78	29.91	136.19	35.76	14.45	31.45	12.09	43.02	3.0	46.84	29.27	76.17	397.93	65.72	201.25	53.95	180.02	135.24	55.1	285.03	441.64	429.54	253.23	1066.48	384.34	34.75	409.15	21.01	37.05	320.8	265.87	283.05	172.65	1359.57	1073.91	450.94	693.58	503.95	379.04	1250.98	95.34	1437.15	232.94	87.03	95.34	241.19	384.34	497.0	583.07	713.11	49.56	159.9	309.83	108.9	878.17	1250.98	1721.16	2609.3	242.88	325.29	941.27	1059.11	511.0	555.41	389.72	358.54	128.79	195.72	1594.73	13.32
FXN	728.11	251.48	309.83	265.87	289.02	392.44	248.0	244.57	275.28	197.09	387.02	251.48	327.56	444.72	759.08	281.09	332.14	368.65	688.78	312.0	379.04	547.75	981.29	796.86	607.87	825.0	1378.57	1159.07	2591.27	759.08	244.57	1073.91	1508.65	1477.58	267.73	1225.22	1583.71	988.12	1023.0	1059.11	934.76	1208.34	591.22	1159.07	295.11	723.08	551.56	1350.18	981.29	1199.98	2090.03	1286.18	1844.76	460.44	1242.34	387.02	1322.37	1111.82	1225.22	791.35	1551.09	909.17	1447.15	1216.75	1583.71	842.36	1088.92	934.76	239.52	363.56	1378.57	239.52
GFRA1	688.78	6.11	26.47	22.1	3.86	2.07	17.77	8.58	1.99	9.78	2.41	1.25	8.92	145.02	139.07	8.19	262.2	10.47	205.5	77.25	1.35	536.45	521.76	503.95	327.56	307.69	392.44	139.07	2609.3	139.07	113.56	529.06	511.0	2796.65	0.84	486.75	4736.79	2835.7	3349.13	3639.7	583.07	848.22	314.17	4607.24	166.73	28.65	1427.22	785.88	1340.84	395.18	1896.65	2104.58	563.18	38.67	1191.69	39.79	507.46	1088.92	3768.09	878.17	4066.71	1487.87	5995.9	1832.01	679.29	547.75	1733.13	480.04	19.11	22.75	3443.31	5.28
GLUD1	9474.59	1225.22	1832.01	1519.15	2032.85	1508.65	1594.73	3168.41	2209.26	1745.2	2645.74	1950.0	2163.77	4181.07	5255.91	3928.15	2367.9	1594.73	5183.54	3018.3	2816.11	12076.21	7966.99	9474.59	10585.95	7857.29	9740.98	4239.45	18560.17	4869.99	2720.15	21919.61	9876.98	27553.49	2537.92	5594.3	21768.19	29327.18	17558.94	11909.94	32767.0	10733.74	8191.0	22692.63	10368.08	4639.29	5076.84	9151.82	15285.81	12676.65	20593.91	13123.73	10585.95	3018.3	16960.78	2816.11	34635.37	11992.79	25887.07	17317.18	12764.83	7642.41	32767.0	8598.28	8421.31	12764.83	7230.1	16611.71	1806.78	5479.15	13872.08	1250.98
GLYAT	6294.04	0.0	0.0	0.0	5.28	0.0	1.66	0.0	0.0	3.26	3.72	16.51	162.14	4.24	4268.94	10.63	291.04	1.17	2178.83	366.09	4.82	57.08	6381.92	5147.73	2303.12	16383.0	5995.9	1.07	4038.61	0.0	29.06	825.0	9025.81	15285.81	136.19	35363.15	13123.73	5255.91	27938.14	12853.63	2537.92	38966.94	1628.26	33922.56	0.0	1167.14	1151.06	830.75	16157.44	10084.54	10440.2	16383.0	12.09	289.02	8901.53	126.12	17681.08	33922.56	43236.64	29124.6	9606.86	2796.65	34158.52	11424.74	9808.75	11909.94	4836.35	743.43	0.22	480.04	48982.22	0.0
GLYATL1	7331.05	0.0	3.72	2.36	19.25	5.19	7.22	0.0	0.0	2.05	1.73	56.28	400.71	447.82	4802.93	195.72	1519.15	45.21	3614.55	1023.0	24.46	1167.14	6426.31	11827.67	7032.37	16843.62	10154.69	713.11	8191.0	819.3	34.51	24832.5	20451.65	27174.14	128.79	55491.3	52135.28	11664.82	42054.3	14971.21	47313.67	30361.44	3564.78	67377.47	616.37	5292.48	1529.73	7966.99	23169.48	28525.2	20451.65	46986.85	7485.11	642.59	19754.96	287.01	16843.62	13776.25	80683.28	38164.99	35118.87	18052.61	33688.23	21172.91	11664.82	21468.49	16960.78	10959.3	37.32	890.44	78476.96	1.87
GNE	1477.58	62.12	159.9	95.34	559.28	57.89	39.22	21.32	186.4	98.73	20.86	199.85	265.87	231.32	1159.07	587.13	497.0	169.07	454.09	473.41	361.04	457.25	1259.69	1350.18	1111.82	961.07	1037.29	603.67	1051.79	988.12	518.15	1697.45	1331.57	1519.15	363.56	872.1	3018.3	2956.17	2075.59	1199.98	2303.12	2148.82	1151.06	2384.37	503.95	518.15	595.34	1044.52	2047.0	1674.06	2400.97	3257.52	1369.04	297.17	2555.58	314.17	2935.74	1457.23	1936.53	2895.31	2090.03	748.61	3794.3	1662.49	733.19	1551.09	2739.08	1304.15	267.73	684.02	2720.15	135.24
GYG2	332.14	29.27	14.14	15.11	38.12	2.56	17.77	7.06	0.99	20.41	1.77	178.77	143.01	256.78	199.85	297.17	239.52	36.01	228.13	176.29	1.22	454.09	529.06	336.79	368.65	928.3	255.0	684.02	723.08	159.9	66.18	1250.98	525.39	423.61	52.45	2119.22	995.0	547.75	438.59	460.44	995.0	371.22	555.41	2468.49	299.25	376.41	1936.53	253.23	397.93	211.31	1066.48	547.75	791.35	56.68	1191.69	7.69	563.18	988.12	358.54	389.72	1950.0	441.64	551.56	299.25	915.51	307.69	947.83	612.11	111.99	65.72	1477.58	12.36
GYS2	1628.26	0.96	14.45	20.86	0.91	0.82	2.51	0.0	0.0	0.0	2.92	158.79	61.68	23.76	733.19	57.89	234.57	3.72	470.14	195.72	14.56	41.22	1781.89	1709.26	1225.22	1819.35	1857.6	540.19	1909.85	94.01	6.31	808.0	2119.22	3491.39	47.17	3257.52	2855.44	3982.99	6079.61	1794.29	620.67	8598.28	281.09	9740.98	7.57	170.25	127.89	551.56	4736.79	2915.45	2367.9	2875.3	135.24	105.15	2520.38	10.88	4181.07	10296.45	6294.04	17804.06	2255.7	547.75	2255.7	3103.19	738.29	3955.48	1794.29	336.79	5.5	392.44	11827.67	0.0
HADH	2400.97	297.17	890.44	638.15	616.37	356.05	460.44	547.75	624.99	521.76	651.58	738.29	669.92	1359.57	2777.33	1639.59	1745.2	693.58	3168.41	1066.48	1378.57	1757.34	2777.33	3794.3	2520.38	2835.7	3716.2	890.44	3874.05	1487.87	438.59	2400.97	3124.78	3589.58	1477.58	4328.55	5041.77	2997.45	5791.62	3212.66	3982.99	5872.48	1806.78	6381.92	934.76	2434.5	1857.6	1757.34	4836.35	4869.99	5006.93	4123.49	1447.15	1008.9	2609.3	802.41	4181.07	5672.41	6745.86	3589.58	2796.65	1963.57	7803.01	3190.46	3168.41	3395.89	3665.02	1963.57	466.88	1359.57	9740.98	426.57
HAO1	6887.62	1.5	7.06	0.0	0.0	0.0	0.39	0.0	0.0	0.0	0.0	529.06	1159.07	808.0	5076.84	151.22	2997.45	872.1	3768.09	1030.12	2193.99	1950.0	6792.79	7130.55	5441.3	13399.51	12589.08	463.65	12329.98	221.86	8.65	5555.65	17317.18	14262.1	1340.84	26986.43	20170.07	17197.56	59887.86	15715.58	9540.5	68318.04	7331.05	41475.31	366.09	8134.41	3467.27	4869.99	46019.85	25708.25	32540.65	26067.14	3955.48	703.28	23820.89	55.1	37901.36	18819.27	59474.18	32092.64	12076.21	7081.29	56265.94	24153.43	18689.27	14065.74	13306.94	4239.45	8.92	1175.27	84694.64	0.0
HEBP1	2335.28	743.43	759.08	624.99	981.29	796.86	988.12	679.29	769.69	764.36	819.3	713.11	738.29	2956.17	2287.2	1909.85	1183.45	457.25	2384.37	1268.46	1135.2	1208.34	2895.31	3039.3	1991.0	3303.0	4704.07	2209.26	3847.29	1561.89	599.49	2335.28	4239.45	2739.08	2271.4	4671.57	3325.99	2351.53	3515.68	3901.01	1936.53	4481.23	1709.26	4481.23	733.19	2451.44	2319.15	1651.0	3280.18	5366.37	3081.75	3690.52	1583.71	1923.14	2875.3	2018.8	2956.17	3564.78	5517.27	4575.41	3235.01	2400.97	2591.27	3901.01	3395.89	3349.13	3928.15	2193.99	1104.13	2417.67	6121.9	854.13
HFE2	4181.07	4.24	199.85	93.35	0.33	1.22	64.8	12.18	0.0	0.0	59.55	246.28	139.07	1088.92	2915.45	129.69	1119.56	3847.29	1806.78	316.37	1304.15	8840.04	4066.71	5479.15	2104.58	9279.58	6207.38	14.67	2255.7	0.61	1.22	5183.54	9945.68	10959.3	193.01	16960.78	7331.05	17558.94	24321.43	5633.22	16496.96	6294.04	4268.94	21468.49	2240.11	2976.74	177.53	1923.14	14262.1	3146.52	13215.02	20451.65	215.77	329.84	7857.29	170.25	12853.63	6935.54	25005.23	27745.15	2758.13	4328.55	24153.43	4268.94	1757.34	12676.65	2720.15	4736.79	0.47	1001.93	19082.0	0.0
HNMT	3103.19	65.26	529.06	466.88	197.09	83.45	229.72	193.01	134.3	162.14	96.68	2119.22	3081.75	2075.59	2777.33	2434.5	1794.29	2835.7	2163.77	3081.75	1896.65	1991.0	2720.15	2485.67	2816.11	4419.52	2609.3	1259.69	3467.27	1044.52	583.07	2976.74	2875.3	2682.69	2271.4	3794.3	3372.43	1896.65	4903.87	2895.31	2682.69	4769.75	1977.24	5147.73	902.89	2555.58	1519.15	1008.9	4010.71	2935.74	2956.17	2573.36	1216.75	4268.94	2976.74	1242.34	5006.93	5954.47	4066.71	3982.99	2163.77	3060.45	2758.13	3847.29	3443.31	3665.02	2061.24	2537.92	460.44	2104.58	3742.05	206.94
IDNK	1127.35	29.7	109.66	127.89	94.01	41.22	81.14	39.79	112.77	72.01	53.19	242.88	373.81	353.59	738.29	258.57	220.32	384.34	521.76	387.02	389.72	368.65	1088.92	1008.9	633.73	1295.13	848.22	305.55	1437.15	334.46	226.54	1066.48	830.75	884.29	228.13	1870.53	1551.09	703.28	1685.71	1008.9	1508.65	1883.54	361.04	1936.53	269.6	503.95	256.78	698.41	1519.15	1208.34	1023.0	1119.56	476.71	713.11	629.35	336.79	1697.45	1991.0	1685.71	1594.73	872.1	1757.34	1467.37	941.27	1733.13	1322.37	575.03	312.0	156.59	567.1	1378.57	76.71
IQGAP2	2997.45	99.43	159.9	131.51	74.58	148.09	92.05	82.29	457.25	93.35	87.65	684.02	825.0	1662.49	1883.54	2351.53	1457.23	529.06	1388.16	1044.52	921.88	1023.0	3146.52	2758.13	2335.28	2240.11	2573.36	1388.16	3955.48	1119.56	698.41	3303.0	2720.15	3395.89	684.02	3303.0	6207.38	3325.99	3982.99	3372.43	5995.9	5219.6	1709.26	5711.87	830.75	1111.82	1651.0	1883.54	4388.98	2915.45	3257.52	2367.9	1819.35	825.0	2835.7	769.69	4450.27	4010.71	4181.07	4152.18	2956.17	1769.57	3847.29	3395.89	1923.14	3614.55	2417.67	3235.01	301.33	1277.29	5751.61	108.14
IVD	4095.0	145.02	217.27	237.86	343.89	251.48	204.07	551.56	67.59	182.55	69.52	703.28	902.89	651.58	2400.97	1674.06	981.29	769.69	2178.83	1457.23	1277.29	2367.9	2796.65	3395.89	2224.63	3168.41	1159.07	1313.23	1733.13	1896.65	1388.16	3060.45	2485.67	3168.41	878.17	4704.07	3190.46	3039.3	5791.62	1794.29	3146.52	4836.35	2935.74	5292.48	1508.65	1819.35	1923.14	3540.14	6561.36	2816.11	3325.99	4450.27	2018.8	802.41	3325.99	902.89	5292.48	6121.9	9606.86	5112.16	2520.38	3372.43	5403.7	2075.59	2701.35	2915.45	2485.67	1674.06	1477.58	3665.02	7280.4	518.15
LIPC	2163.77	22.75	10.16	14.45	3.89	52.45	72.01	4.5	3.41	2.73	1.95	842.36	1388.16	293.07	915.51	4419.52	1225.22	119.26	1806.78	665.29	417.77	3419.52	5041.77	2255.7	2555.58	4512.4	1844.76	470.14	2976.74	1977.24	1199.98	3081.75	1467.37	9088.59	848.22	5711.87	11909.94	20451.65	5913.33	796.86	2895.31	3982.99	1991.0	7857.29	3716.2	1407.55	775.05	9876.98	2485.67	7331.05	8363.13	3419.52	2148.82	708.18	1216.75	395.18	3794.3	13033.07	11584.24	3235.01	8305.36	6207.38	2915.45	3901.01	1857.6	4671.57	5006.93	2004.85	435.55	1639.59	7081.29	2.1
MAOB	4152.18	9.2	583.07	325.29	44.25	17.64	172.65	6.31	162.14	61.25	18.7	1457.23	2193.99	2303.12	4607.24	2271.4	2758.13	854.13	3212.66	1286.18	1844.76	2384.37	4095.0	5329.3	3515.68	6792.79	3419.52	591.22	4639.29	961.07	503.95	5112.16	5633.22	6037.61	1037.29	9474.59	9088.59	7032.37	7180.15	5954.47	6887.62	11345.82	3443.31	10585.95	934.76	3212.66	3081.75	4038.61	11424.74	7485.11	7130.55	8778.97	2555.58	1551.09	5441.3	780.44	10225.32	7180.15	15824.9	8963.45	5219.6	4736.79	7695.57	6381.92	5517.27	7911.95	4704.07	4152.18	77.79	1733.13	13123.73	226.54
MCEE	1015.93	368.65	414.87	406.31	346.29	195.72	688.78	262.2	262.2	693.58	264.03	432.53	325.29	642.59	669.92	289.02	341.51	348.71	656.11	575.03	358.54	802.41	947.83	703.28	769.69	1143.1	713.11	934.76	1286.18	567.1	406.31	1059.11	1127.35	1467.37	470.14	769.69	1883.54	854.13	1135.2	884.29	1096.5	1769.57	651.58	1143.1	713.11	988.12	547.75	703.28	1183.45	1119.56	896.64	1794.29	679.29	647.07	1088.92	684.02	1794.29	1697.45	974.5	1167.14	1407.55	1662.49	1870.53	1313.23	1378.57	1051.79	791.35	902.89	450.94	909.17	1313.23	194.36
METTL7A	11112.3	32.36	521.76	293.07	429.54	80.57	647.07	105.15	79.45	139.07	100.83	2835.7	3060.45	2895.31	6745.86	1437.15	4607.24	1081.39	4010.71	2434.5	4095.0	4972.34	10585.95	8538.88	6164.49	9474.59	7695.57	1870.53	9088.59	2645.74	738.29	3794.3	11189.6	10883.59	2240.11	9945.68	13399.51	10154.69	18178.19	9945.68	6250.56	15285.81	5403.7	16383.0	1127.35	3639.7	3982.99	5633.22	14065.74	11035.54	13033.07	14065.74	4038.61	4095.0	9151.82	1508.65	13033.07	15934.98	17927.91	17804.06	9673.69	5995.9	18689.27	11664.82	7642.41	15075.35	9025.81	4268.94	406.31	3540.14	22535.88	180.02
MFAP3L	297.17	66.18	92.05	33.78	28.65	18.97	51.71	69.52	14.24	14.67	6.41	12.64	55.89	8.0	123.5	14.78	140.04	12.09	143.01	108.9	25.91	21.47	339.14	669.92	460.44	387.02	285.03	403.5	389.72	131.51	141.02	753.83	450.94	2032.85	12.93	493.56	1844.76	1936.53	1295.13	256.78	2739.08	1023.0	559.28	3372.43	90.14	82.87	490.14	660.68	802.41	381.68	638.15	595.34	796.86	25.17	1594.73	102.97	1159.07	423.61	872.1	848.22	1259.69	728.11	674.59	264.03	226.54	836.53	967.76	397.93	65.72	100.13	2956.17	21.78
MICU1	1561.89	381.68	575.03	529.06	503.95	493.56	470.14	836.53	536.45	647.07	791.35	483.38	808.0	753.83	1447.15	890.44	679.29	733.19	1208.34	713.11	947.83	1350.18	1388.16	1832.01	1088.92	1781.89	1427.22	679.29	1594.73	780.44	559.28	1540.37	2090.03	1883.54	825.0	2555.58	2032.85	1583.71	2319.15	1832.01	1519.15	2303.12	896.64	2720.15	688.78	934.76	733.19	1104.13	2303.12	1733.13	2061.24	2047.0	616.37	1073.91	1991.0	624.99	2047.0	2682.69	2739.08	2209.26	1583.71	1457.23	2520.38	1832.01	1721.16	1806.78	1331.57	1143.1	500.46	1268.46	2271.4	406.31
MRPL46	1313.23	830.75	563.18	848.22	412.0	603.67	525.39	536.45	679.29	559.28	941.27	830.75	785.88	1111.82	909.17	583.07	934.76	543.96	1127.35	819.3	486.75	1322.37	1407.55	1286.18	1519.15	1757.34	2468.49	1540.37	3639.7	1268.46	518.15	1857.6	1832.01	2351.53	1605.83	2400.97	2271.4	1883.54	2573.36	2061.24	2271.4	2555.58	1832.01	2720.15	1183.45	2119.22	1427.22	1651.0	2178.83	2119.22	2434.5	1950.0	1651.0	1322.37	3039.3	866.07	2351.53	1883.54	2287.2	1794.29	2209.26	1977.24	2061.24	2319.15	3395.89	1794.29	1870.53	1151.06	896.64	1340.84	3168.41	551.56
MTTP	2255.7	0.0	3.2	0.35	1.38	2.18	3.06	0.31	0.59	1.5	0.93	1295.13	651.58	5.92	764.36	902.89	616.37	830.75	1340.84	503.95	607.87	708.18	1794.29	2855.44	1991.0	2502.97	5329.3	1023.0	17804.06	271.48	35.0	4736.79	4298.64	5041.77	318.57	2976.74	23009.42	22072.07	6164.49	6337.83	19482.97	15392.14	1883.54	22535.88	123.5	183.82	1896.65	1963.57	4869.99	9025.81	6935.54	5329.3	2400.97	825.0	1191.69	40.07	4769.75	7230.1	15075.35	9088.59	3768.09	2777.33	769.69	6607.01	1745.2	4671.57	9540.5	6337.83	2.25	366.09	21919.61	0.55
MUT	2335.28	269.6	297.17	260.38	480.04	229.72	343.89	212.78	301.33	312.0	193.01	339.14	356.05	483.38	1437.15	825.0	356.05	651.58	981.29	507.46	791.35	1950.0	1572.76	1923.14	1487.87	2224.63	1936.53	902.89	1697.45	1096.5	351.14	2777.33	1936.53	2148.82	825.0	2855.44	6426.31	3103.19	3467.27	2520.38	2935.74	5995.9	1183.45	4704.07	1119.56	1127.35	759.08	1051.79	3847.29	2976.74	2701.35	2855.44	988.12	791.35	2417.67	579.04	3190.46	3742.05	4419.52	5517.27	2645.74	1832.01	3060.45	2104.58	1923.14	2555.58	2758.13	1127.35	612.11	1023.0	5594.3	281.09
MYO1B	3955.48	1529.73	1183.45	1991.0	2502.97	2591.27	2061.24	1883.54	2240.11	1794.29	1225.22	954.43	1331.57	1359.57	4239.45	480.04	995.0	1487.87	2303.12	2287.2	1487.87	1322.37	4358.66	4671.57	5255.91	4512.4	2816.11	2384.37	5441.3	2485.67	2163.77	5329.3	5076.84	10808.41	1417.35	3589.58	8963.45	9279.58	9876.98	3665.02	10440.2	5076.84	2682.69	7280.4	3901.01	2701.35	2701.35	5006.93	7382.04	4869.99	5633.22	6207.38	5517.27	1781.89	7749.1	2335.28	8963.45	7180.15	4972.34	7130.55	7642.41	2573.36	6337.83	6983.79	2875.3	4607.24	5872.48	4607.24	764.36	2255.7	2855.44	1709.26
NIPSNAP1	4181.07	540.19	688.78	591.22	647.07	656.11	669.92	567.1	1059.11	748.61	591.22	2303.12	1340.84	2451.44	5441.3	3690.52	1628.26	1605.83	3325.99	1745.2	6381.92	6250.56	3928.15	4388.98	2367.9	4268.94	5292.48	1769.57	6935.54	2004.85	669.92	4639.29	5076.84	4123.49	2384.37	6792.79	5255.91	4181.07	5076.84	5147.73	5711.87	6471.02	2895.31	5831.91	1709.26	3303.0	2271.4	2956.17	6294.04	7081.29	8078.22	5147.73	3419.52	2520.38	5255.91	934.76	6699.25	5913.33	7857.29	6935.54	5219.6	4937.99	6745.86	5219.6	6699.25	5006.93	5329.3	4210.15	713.11	2682.69	8901.53	633.73
NR3C1	1096.5	403.5	348.71	297.17	256.78	379.04	395.18	351.14	447.82	417.77	301.33	205.5	351.14	343.89	206.94	289.02	346.29	208.38	660.68	325.29	197.09	249.73	1135.2	1059.11	830.75	1295.13	753.83	341.51	409.15	323.03	748.61	728.11	633.73	896.64	866.07	2004.85	1191.69	703.28	1135.2	679.29	1151.06	1259.69	551.56	2018.8	620.67	743.43	651.58	441.64	947.83	660.68	575.03	915.51	264.03	733.19	988.12	1519.15	1081.39	1923.14	1674.06	1896.65	915.51	854.13	2193.99	981.29	1073.91	1008.9	525.39	483.38	563.18	848.22	1674.06	194.36
NTHL1	1225.22	514.56	253.23	267.73	275.28	438.59	281.09	503.95	532.74	381.68	764.36	813.63	587.13	466.88	961.07	1023.0	612.11	463.65	603.67	633.73	819.3	620.67	1923.14	1208.34	603.67	1977.24	1199.98	273.37	1250.98	320.8	209.84	723.08	1529.73	1617.0	454.09	2193.99	988.12	1709.26	3794.3	1519.15	1167.14	4066.71	1991.0	3257.52	277.2	1111.82	947.83	651.58	2835.7	1551.09	1617.0	2976.74	497.0	423.61	1023.0	866.07	1427.22	2502.97	2485.67	2255.7	1225.22	1651.0	3081.75	1685.71	1225.22	3665.02	1313.23	995.0	255.0	1001.93	3614.55	100.13
