	TCGA.BT.A0YX.01A.11R.A10U.07	TCGA.LP.A5U2.01A.11R.A28H.07	GTEX.11P7K.1526.SM.5EGI7	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.139TS.1926.SM.5IJFO	GTEX.QLQW.0426.SM.447A7	GTEX.S7SF.1926.SM.4AT5B	GTEX.ZP4G.1726.SM.4WWCM	GTEX.P4QT.1426.SM.3NMCX	GTEX.Q734.1126.SM.48TZY	GTEX.11P82.1026.SM.5BC5J	GTEX.Y9LG.1526.SM.4WWDR	GTEX.U4B1.1126.SM.4DXV3	GTEX.146FQ.1926.SM.5NQBY	GTEX.YB5E.1626.SM.5IFIQ	GTEX.R53T.1326.SM.48FCQ	GTEX.WFG7.1526.SM.4LVMG	GTEX.XUJ4.2026.SM.4BOOW	GTEX.13S86.1626.SM.5Q5C5	GTEX.TML8.1326.SM.4DXTO	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.1399S.1926.SM.5J2M5	GTEX.UPIC.1726.SM.4IHKG	GTEX.11EM3.1526.SM.5A5KN	GTEX.YEC3.2426.SM.5IFJR	GTEX.12BJ1.2126.SM.5BC5O	GTEX.13O21.2426.SM.5MR4A	GTEX.13PL7.2526.SM.5IFGR	GTEX.ZPIC.2226.SM.57WDX	GTEX.U3ZN.2126.SM.4DXU1	GTEX.S4UY.0826.SM.4AD4Z	GTEX.ZZ64.0726.SM.5GZX4	GTEX.XPVG.1826.SM.4B64X	GTEX.11DXZ.1726.SM.5H12M	GTEX.XV7Q.2126.SM.4BRVX	GTEX.WOFM.2026.SM.4OOSQ	GTEX.XBED.1726.SM.47JYO	GTEX.T5JW.1126.SM.4DM5V	GTEX.ZGAY.2126.SM.4YCFB	GTEX.Y3IK.1826.SM.4WWDS	GTEX.QMRM.1226.SM.447C6	GTEX.Q2AH.1226.SM.48TZL	GTEX.11VI4.1526.SM.5EQKC	TCGA.LN.A7HX.01A.11R.A336.31	GTEX.ZYFG.1126.SM.5GICY	GTEX.S4P3.0426.SM.4AD56	GTEX.13X6H.1326.SM.5LU42	GTEX.SUCS.0726.SM.4DM7J	GTEX.11TT1.0526.SM.5P9JO	TCGA.CV.6940.01A.11R.1915.07	TCGA.CV.7252.01A.11R.2016.07	TCGA.CV.A6K0.01B.21R.A31N.07	TCGA.CV.7434.01A.11R.2132.07	TCGA.CQ.6223.01A.11R.1915.07	TCGA.CN.6020.01A.11R.1686.07	TCGA.CQ.6219.01A.11R.1915.07	TCGA.CV.6956.11A.01R.2016.07	TCGA.CV.7416.11A.01R.2081.07	TCGA.CV.6959.11A.01R.1915.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
PPP1R14D	4.06	0.83	8247.98	17078.76	10585.95	8963.45	12160.22	10883.59	6121.9	10084.54	9740.98	11504.21	8305.36	9606.86	9279.58	7230.1	8078.22	8538.88	11345.82	7642.41	12076.21	12415.75	13306.94	10959.3	8901.53	9025.81	4543.8	7180.15	9151.82	12676.65	10585.95	13123.73	10084.54	4869.99	8305.36	9945.68	12676.65	11745.96	2224.63	11189.6	6699.25	13776.25	6983.79	11504.21	7180.15	2.63	17.0	20.41	6.73	3.86	0.0	2.36	0.0	1.79	1.27	0.96	2.39	0.0	5.77	0.0	8.25	0.0	0.23
RALGPS1	75.11	50.63	395.18	199.85	514.56	309.83	412.0	450.94	361.04	460.44	376.41	441.64	480.04	358.54	239.52	571.05	412.0	447.82	432.53	343.89	403.5	332.14	358.54	470.14	395.18	450.94	371.22	525.39	536.45	406.31	414.87	497.0	423.61	242.88	503.95	547.75	297.17	457.25	232.94	400.71	316.37	356.05	301.33	236.21	414.87	29.48	155.5	102.97	125.24	186.4	44.25	29.48	52.08	85.22	21.16	71.0	35.5	56.68	83.45	62.56	88.88	0.0	0.57
RDH5	21.16	94.67	2485.67	1781.89	764.36	941.27	1001.93	872.1	1119.56	1378.57	1605.83	1487.87	848.22	647.07	1617.0	1081.39	733.19	1397.83	1104.13	638.15	2090.03	842.36	1143.1	896.64	1051.79	842.36	567.1	928.3	1233.75	693.58	860.08	1143.1	1331.57	571.05	941.27	1277.29	536.45	1286.18	343.89	1119.56	629.35	1745.2	480.04	947.83	1242.34	44.89	159.9	66.65	129.69	104.42	138.1	34.02	24.11	173.85	35.25	19.53	36.79	47.5	53.19	30.56	119.26	0.0	0.66
RGL3	3.44	8.32	100.83	231.32	305.55	231.32	118.43	403.5	146.03	293.07	305.55	82.29	177.53	198.47	209.84	231.32	438.59	248.0	234.57	232.94	228.13	191.67	175.07	289.02	248.0	124.37	170.25	123.5	287.01	223.41	76.17	376.41	172.65	74.06	265.87	316.37	323.03	242.88	38.4	195.72	119.26	246.28	79.45	75.64	205.5	6.26	53.95	30.56	31.0	33.06	19.53	3.38	7.63	11.82	5.23	17.9	10.39	2.34	8.92	4.06	8.38	0.0	1.11
RP11-644F5.10	10.16	42.71	182.55	96.01	101.54	133.36	85.22	90.77	122.64	111.99	144.01	118.43	116.78	69.03	137.14	140.04	85.22	143.01	76.71	90.77	178.77	107.38	119.26	120.1	127.0	83.45	77.79	106.63	147.06	100.83	98.73	129.69	126.12	74.06	133.36	181.28	51.71	115.16	56.68	75.64	64.34	108.14	54.33	101.54	161.02	22.75	35.25	20.71	40.36	35.0	22.75	19.39	21.78	40.93	27.44	2.81	10.79	12.36	12.09	18.43	36.01	0.0	0.52
SCUBE2	21.47	16.15	497.0	162.14	303.44	226.54	197.09	426.57	190.34	164.42	275.28	356.05	595.34	71.0	246.28	277.2	363.56	325.29	217.27	81.14	303.44	91.41	133.36	256.78	195.72	166.73	264.03	166.73	414.87	265.87	297.17	392.44	444.72	150.17	376.41	780.44	149.12	420.68	183.82	312.0	190.34	316.37	139.07	191.67	279.14	7.06	62.12	91.41	62.56	127.0	42.11	35.0	15.45	64.34	11.73	7.63	69.52	39.5	175.07	18.29	29.48	0.0	0.21
SEMA4G	16.75	10.08	2119.22	2061.24	2627.46	1936.53	1936.53	2271.4	1313.23	2255.7	2720.15	2032.85	2090.03	2400.97	2032.85	2591.27	2075.59	2400.97	2417.67	2018.8	2090.03	1870.53	2224.63	2591.27	2163.77	1540.37	1268.46	1977.24	2591.27	2451.44	1896.65	2627.46	2255.7	988.12	2400.97	2915.45	1369.04	2573.36	665.29	2319.15	1467.37	2163.77	1359.57	1709.26	2018.8	30.56	19.68	16.88	38.4	50.63	19.39	15.8	3.92	50.63	2.68	40.36	21.94	4.06	22.26	18.43	22.75	0.0	0.32
SLC30A1	187.71	198.47	473.41	447.82	346.29	269.6	361.04	361.04	301.33	403.5	373.81	669.92	432.53	265.87	356.05	379.04	547.75	318.57	255.0	255.0	406.31	400.71	555.41	351.14	974.5	571.05	231.32	447.82	441.64	583.07	339.14	688.78	450.94	312.0	392.44	753.83	246.28	417.77	194.36	397.93	493.56	343.89	212.78	251.48	403.5	131.51	182.55	147.06	65.26	105.89	57.49	163.28	205.5	264.03	104.42	117.6	108.9	172.65	115.97	131.51	239.52	0.0	0.26
SMPD3	7.28	8.0	1081.39	669.92	1216.75	878.17	974.5	1159.07	928.3	1119.56	1096.5	854.13	1104.13	1023.0	921.88	1359.57	921.88	1127.35	1208.34	567.1	1397.83	928.3	1037.29	1268.46	1135.2	934.76	525.39	1051.79	1662.49	1151.06	1175.27	1313.23	1051.79	441.64	1498.22	1242.34	872.1	1073.91	466.88	961.07	435.55	1088.92	665.29	915.51	1216.75	11.64	23.25	7.75	5.11	45.21	43.02	26.1	5.28	38.95	2.73	141.02	5.28	10.31	5.5	6.11	167.9	0.0	0.27
SPIRE2	98.73	125.24	1268.46	1508.65	1417.35	1286.18	1268.46	1225.22	791.35	1225.22	1259.69	1519.15	1498.22	1001.93	1059.11	1427.22	1277.29	1250.98	1313.23	890.44	1487.87	1340.84	1191.69	1721.16	1991.0	1167.14	785.88	1268.46	1832.01	1594.73	1447.15	1467.37	1540.37	688.78	1651.0	1572.76	1001.93	1832.01	358.54	1477.58	866.07	1350.18	743.43	1397.83	1437.15	57.08	139.07	106.63	86.43	139.07	78.89	16.51	37.32	67.12	38.12	23.08	49.21	8.45	80.01	44.57	33.06	0.0	0.43
ST3GAL4	336.79	232.94	2627.46	1457.23	8538.88	483.38	7331.05	4639.29	2682.69	954.43	2417.67	255.0	529.06	8134.41	1844.76	7230.1	583.07	3212.66	6121.9	1769.57	1594.73	14065.74	1286.18	21172.91	543.96	3467.27	848.22	5791.62	6381.92	7382.04	3794.3	2796.65	7803.01	2417.67	2609.3	708.18	4607.24	8598.28	1628.26	1583.71	1037.29	1697.45	3614.55	6840.04	1583.71	454.09	1369.04	536.45	825.0	1242.34	1295.13	463.65	414.87	656.11	316.37	131.51	231.32	540.19	242.88	336.79	271.48	0.0	0.87
STRADB	229.72	100.13	1467.37	1119.56	1594.73	780.44	1119.56	1143.1	909.17	1151.06	1191.69	1594.73	1685.71	1191.69	791.35	1757.34	961.07	1397.83	1407.55	679.29	1331.57	1081.39	1127.35	1583.71	1135.2	1183.45	854.13	1369.04	1572.76	1427.22	1437.15	1359.57	1322.37	591.22	1508.65	1322.37	723.08	1733.13	543.96	1104.13	854.13	981.29	759.08	1008.9	1225.22	387.02	241.19	106.63	226.54	341.51	205.5	111.21	97.36	217.27	52.08	89.51	145.02	88.26	215.77	116.78	320.8	0.0	0.43
SYTL2	103.69	47.17	2664.15	2047.0	2367.9	1651.0	2351.53	2816.11	1819.35	2384.37	2090.03	3491.39	2701.35	2573.36	1605.83	3467.27	1605.83	2047.0	2664.15	1088.92	3794.3	2351.53	2895.31	3614.55	2758.13	2573.36	1216.75	3235.01	3768.09	2997.45	2555.58	3325.99	2935.74	1225.22	3467.27	3847.29	1427.22	3325.99	974.5	2104.58	1769.57	2193.99	1250.98	1757.34	3081.75	37.05	137.14	149.12	28.24	287.01	444.72	76.17	84.63	118.43	49.56	36.79	71.5	221.86	36.53	35.76	82.29	0.0	0.62
TEKT3	2.18	0.8	5.32	11.91	27.05	21.47	13.32	24.99	32.36	10.88	16.88	13.83	24.11	13.93	17.51	8.65	15.11	1.14	23.93	3.56	21.16	18.16	15.0	6.89	44.57	8.99	20.26	10.08	2.63	20.26	9.56	34.26	41.81	5.28	19.68	20.11	9.93	13.72	16.27	11.73	28.65	16.15	17.25	1.48	20.26	0.0	4.1	2.05	10.0	7.51	5.02	2.29	0.0	5.28	2.29	3.99	0.0	3.89	0.0	1.5	3.17	0.0	0.01
TMEM63A	441.64	111.99	1119.56	954.43	1923.14	1437.15	1127.35	1909.85	967.76	1540.37	1721.16	733.19	1378.57	1388.16	995.0	1295.13	1819.35	1529.73	1467.37	1936.53	1015.93	1208.34	1286.18	1639.59	1119.56	808.0	1259.69	921.88	1628.26	1322.37	1159.07	1572.76	1477.58	738.29	1870.53	1857.6	1340.84	1191.69	688.78	872.1	802.41	1159.07	723.08	1733.13	1359.57	660.68	277.2	246.28	381.68	583.07	264.03	361.04	199.85	414.87	144.01	307.69	262.2	189.02	371.22	150.17	156.59	473.41	579.04
TREH	18.97	1.58	265.87	92.7	149.12	57.49	144.01	146.03	180.02	265.87	58.3	220.32	384.34	30.12	61.68	218.79	63.45	99.43	68.07	53.95	183.82	94.67	102.97	146.03	51.71	142.01	84.04	116.78	151.22	232.94	70.01	92.05	214.27	32.82	145.02	173.85	115.16	327.56	48.18	115.16	55.49	150.17	58.71	50.98	215.77	0.0	5.68	11.04	2.29	25.72	7.34	1.89	0.93	7.06	0.0	0.31	2.56	1.79	4.5	0.74	1.73	0.0	0.16
VIPR1	17.77	490.14	4736.79	2555.58	3395.89	1883.54	3768.09	3540.14	2451.44	2855.44	2855.44	4671.57	3928.15	2682.69	2178.83	4512.4	2004.85	2915.45	3257.52	1350.18	3901.01	2777.33	3190.46	5006.93	4869.99	3212.66	1350.18	3212.66	3955.48	3982.99	3349.13	4066.71	3901.01	1467.37	4239.45	5041.77	1674.06	4671.57	1059.11	2739.08	2047.0	2956.17	1427.22	2417.67	3564.78	198.47	172.65	90.77	94.01	218.79	73.54	100.13	37.59	128.79	9.06	80.01	59.97	33.06	96.68	85.22	221.86	0.0	0.52
WDR13	1143.1	954.43	2485.67	2591.27	2573.36	2335.28	1977.24	2047.0	2209.26	2796.65	2255.7	1427.22	2400.97	1745.2	2351.53	2400.97	1477.58	1628.26	2835.7	1467.37	2119.22	1561.89	1407.55	2591.27	1697.45	1674.06	2075.59	1709.26	2434.5	1896.65	2018.8	2573.36	2004.85	2047.0	2271.4	1977.24	1397.83	1909.85	2384.37	2178.83	1662.49	2255.7	2133.97	1857.6	1819.35	1259.69	1350.18	1508.65	1467.37	1977.24	1277.29	842.36	1151.06	1617.0	890.44	1199.98	1313.23	1023.0	1721.16	1685.71	1883.54	0.0	0.95
ZFYVE27	242.88	379.04	934.76	941.27	995.0	825.0	954.43	988.12	738.29	1023.0	915.51	909.17	1073.91	872.1	764.36	1001.93	836.53	967.76	1051.79	819.3	1135.2	813.63	896.64	1216.75	1088.92	947.83	633.73	854.13	1119.56	1037.29	896.64	1175.27	1001.93	616.37	1199.98	1286.18	848.22	1151.06	540.19	915.51	607.87	902.89	693.58	988.12	830.75	473.41	343.89	314.17	351.14	480.04	237.86	223.41	271.48	409.15	251.48	214.27	384.34	285.03	197.09	277.2	211.31	0.0	0.75
ZNF320	141.02	3.17	358.54	64.34	167.9	234.57	204.07	305.55	307.69	348.71	258.57	194.36	251.48	195.72	169.07	275.28	318.57	323.03	116.78	297.17	511.0	206.94	363.56	275.28	159.9	217.27	198.47	169.07	454.09	339.14	260.38	348.71	529.06	277.2	198.47	587.13	142.01	180.02	204.07	65.26	312.0	253.23	87.03	336.79	368.65	119.26	99.43	85.22	55.1	209.84	77.79	23.25	20.26	224.97	5.36	70.51	211.31	72.01	78.89	71.5	75.11	142.01	65.26
ZNF737	35.25	1.53	137.14	53.57	90.77	175.07	107.38	105.15	107.38	52.45	118.43	56.28	38.95	53.19	38.95	85.82	376.41	71.0	7.28	154.42	153.34	22.92	81.14	43.94	92.7	57.08	149.12	31.45	75.11	78.34	74.06	77.25	85.82	32.36	44.57	43.63	68.07	40.07	11.73	6.16	32.82	52.82	55.49	115.16	123.5	7.75	35.76	10.24	35.25	26.47	37.05	14.14	12.09	52.08	4.35	1.85	10.24	6.57	19.68	17.25	63.45	0.0	0.36
ZNF808	46.5	16.27	159.9	53.19	129.69	71.5	59.55	173.85	113.56	162.14	91.41	226.54	92.7	104.42	80.01	172.65	182.55	133.36	54.33	51.35	121.79	87.03	96.01	124.37	163.28	152.28	81.71	118.43	132.44	142.01	149.12	131.51	159.9	71.5	167.9	156.59	54.33	92.05	80.01	56.68	110.43	144.01	41.22	82.29	251.48	40.93	37.05	87.03	85.22	28.86	38.95	19.82	9.93	84.63	2.51	45.21	76.17	19.82	54.72	48.87	54.33	0.0	0.39
