	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.KC.A7FD.01A.11R.A33R.07	TCGA.VP.A87J.01A.11R.A352.07	TCGA.KK.A8ID.01A.11R.A36G.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.G9.6378.01A.11R.1789.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.EJ.A6RC.01A.11R.A32O.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.J4.8200.01A.11R.A29R.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.EJ.A8FS.01A.11R.A352.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.KK.A6E1.01A.11R.A311.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.7792.01A.11R.2118.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7786.11A.01R.2118.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.HC.7752.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7797.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07
DNAJB4	318.57	127.89	55.49	134.3	90.77	82.87	73.54	102.97	108.9	164.42	220.32	218.79	223.41	444.72	358.54	137.14	170.25	187.71	92.05	105.15	329.84	177.53	389.72	346.29	58.3	102.25	114.36	161.02	103.69	551.56	158.79	97.36	64.34	209.84	559.28	169.07	61.68	57.08	111.21	42.71	57.49	587.13	241.19	55.49	52.82	128.79	119.26	239.52	71.5	143.01	217.27	40.07	37.85	92.7	88.26	67.12	54.72	92.05	68.55	74.06	447.82	373.81	77.79	59.13	69.52	35.76	102.97	27.25	212.78	154.42	124.37	116.78	73.03	43.32	111.99	208.38	81.14	115.16	38.12	83.45	49.56	291.04	974.5	406.31	327.56	241.19	353.59	224.97	764.36	819.3	303.44	234.57	381.68	543.96
DPYSL2	438.59	97.36	117.6	183.82	74.06	127.0	87.03	49.56	156.59	139.07	205.5	285.03	208.38	303.44	470.14	255.0	256.78	381.68	142.01	136.19	450.94	387.02	343.89	470.14	69.52	138.1	178.77	153.34	152.28	265.87	271.48	155.5	120.1	148.09	368.65	181.28	48.18	143.01	136.19	79.45	147.06	579.04	329.84	41.52	126.12	267.73	299.25	289.02	125.24	190.34	299.25	82.87	48.87	158.79	162.14	104.42	115.97	144.01	70.01	63.45	764.36	536.45	126.12	145.02	96.68	83.45	66.18	82.87	267.73	251.48	209.84	107.38	80.57	40.07	154.42	217.27	126.12	164.42	68.07	91.41	97.36	309.83	941.27	417.77	665.29	255.0	299.25	277.2	366.09	665.29	309.83	183.82	334.46	656.11
EPB41L3	571.05	204.07	25.35	157.68	45.85	70.51	229.72	19.68	122.64	136.19	229.72	162.14	241.19	138.1	457.25	180.02	289.02	130.6	153.34	69.03	218.79	221.86	195.72	312.0	48.18	56.28	70.51	78.34	193.01	397.93	121.79	68.07	106.63	66.18	199.85	119.26	14.35	60.39	708.18	51.71	53.95	358.54	277.2	28.45	60.82	79.45	84.63	327.56	56.68	201.25	172.65	52.45	73.54	129.69	118.43	53.19	87.03	55.49	122.64	31.9	295.11	255.0	60.82	92.7	140.04	54.72	371.22	23.93	285.03	170.25	161.02	169.07	29.27	15.45	75.64	146.03	68.55	217.27	53.19	40.07	63.89	366.09	591.22	387.02	563.18	239.52	447.82	231.32	260.38	423.61	269.6	159.9	414.87	563.18
F7	15.0	2.56	0.32	5.15	1.58	1.28	1.71	0.31	7.11	5.36	11.13	1.39	5.5	6.31	18.84	6.26	13.42	6.78	2.94	3.76	7.82	6.16	16.75	13.12	1.95	0.38	2.73	2.97	1.69	3.79	5.36	1.03	6.46	2.94	17.13	3.86	0.92	4.7	10.79	0.96	1.35	41.52	16.39	3.29	0.95	1.73	5.59	20.86	2.36	0.67	13.32	0.6	1.11	10.16	3.08	1.38	1.66	5.5	0.66	0.0	15.22	15.56	0.66	3.76	0.33	2.34	3.35	1.62	12.09	3.86	15.45	4.03	2.92	2.39	1.77	8.58	92.7	3.06	2.1	1.73	5.15	6.57	15.22	5.23	43.32	12.64	41.52	12.18	11.13	20.56	23.76	6.36	12.18	45.53
FAM162B	68.55	9.63	28.24	45.53	7.22	14.56	18.16	7.82	17.0	11.91	46.84	61.68	47.84	43.94	71.0	26.47	70.01	67.12	20.56	5.45	52.45	90.77	59.55	71.5	7.75	18.84	16.51	23.42	15.34	33.78	36.01	19.97	11.64	14.56	70.51	28.45	7.0	49.56	42.71	9.78	27.05	90.77	102.97	6.67	24.63	46.5	49.21	42.41	10.96	31.45	50.98	7.22	8.38	34.75	52.08	12.74	16.27	14.78	8.65	6.06	104.42	144.01	20.71	34.75	17.13	20.56	14.35	17.13	72.52	37.59	44.25	19.39	18.56	7.4	18.29	60.39	16.63	45.53	5.19	26.1	16.39	108.14	212.78	88.88	151.22	43.32	183.82	59.55	29.7	152.28	87.65	32.13	84.63	156.59
FAM196A	11.82	4.98	1.22	2.48	1.2	1.22	0.49	1.93	6.06	1.66	7.28	5.92	2.48	9.7	35.76	2.1	1.3	4.43	4.43	15.45	7.51	3.29	4.03	10.71	1.62	2.32	2.89	2.01	3.69	4.98	1.33	2.51	3.26	3.11	14.35	6.73	0.46	2.03	0.49	1.6	0.88	25.17	12.83	0.48	0.84	2.12	0.91	23.93	1.28	1.28	11.3	2.23	0.54	2.18	5.77	3.79	1.27	0.49	3.63	0.44	28.04	24.99	1.25	3.69	2.86	1.66	0.48	0.85	4.66	9.34	2.86	0.88	0.85	0.79	0.52	9.85	1.27	2.05	0.79	2.12	2.2	10.96	38.12	8.32	22.92	8.45	43.94	5.45	3.99	49.21	10.71	4.31	30.34	23.42
FAT4	77.79	9.48	2.46	21.32	5.68	10.79	5.73	2.73	15.45	11.55	21.16	51.71	14.67	49.56	50.27	27.44	20.26	12.18	8.71	13.72	34.75	19.68	30.78	49.91	5.15	7.11	11.13	15.91	10.71	27.84	23.59	9.56	13.62	11.55	59.97	25.54	0.78	4.58	14.45	3.14	4.62	59.55	39.79	1.5	10.71	12.0	16.27	23.25	11.04	10.08	55.49	4.17	3.2	20.26	19.25	11.3	7.57	5.36	3.59	2.89	128.79	106.63	9.2	14.03	4.66	12.93	4.9	4.13	29.91	31.22	19.11	5.28	4.13	2.61	9.78	17.0	8.0	12.36	5.96	8.58	7.88	40.93	178.77	50.98	68.07	26.67	53.19	31.45	40.36	102.97	44.57	16.39	68.07	100.13
FGF10	82.29	22.75	5.82	66.18	15.34	7.11	0.89	4.43	54.33	57.49	21.47	50.27	39.5	50.63	102.25	21.16	41.52	5.73	9.2	17.0	51.71	41.81	27.84	38.95	5.28	7.28	9.93	8.65	8.19	40.36	15.22	10.71	12.55	25.72	80.57	26.67	0.48	10.08	13.72	5.87	6.11	153.34	51.71	2.92	8.99	20.71	12.45	33.3	11.55	14.35	132.44	2.41	0.55	92.7	16.51	16.63	0.0	4.1	11.82	2.34	147.06	111.21	10.0	28.65	5.77	15.11	2.94	7.17	67.59	47.5	41.52	7.4	0.0	0.79	3.14	15.11	6.41	13.52	2.68	25.54	11.64	84.63	409.15	122.64	94.01	24.81	237.86	112.77	34.26	281.09	50.98	18.03	224.97	226.54
FILIP1L	921.88	373.81	84.63	265.87	186.4	231.32	100.83	50.98	237.86	684.02	429.54	559.28	503.95	1313.23	928.3	536.45	808.0	351.14	206.94	165.57	1127.35	595.34	819.3	884.29	85.22	269.6	191.67	497.0	217.27	775.05	454.09	244.57	99.43	265.87	1721.16	189.02	16.75	123.5	187.71	48.87	164.42	1857.6	1216.75	44.89	150.17	241.19	559.28	967.76	166.73	241.19	607.87	133.36	47.5	212.78	291.04	164.42	124.37	122.64	49.91	70.51	1498.22	1127.35	142.01	161.02	170.25	131.51	152.28	94.01	392.44	571.05	181.28	113.56	127.0	24.46	169.07	647.07	121.79	285.03	59.97	154.42	80.01	890.44	3847.29	947.83	1498.22	665.29	1259.69	518.15	1044.52	2119.22	967.76	291.04	567.1	1167.14
FLRT2	109.66	28.86	8.25	96.68	15.68	31.22	5.06	3.89	52.82	59.13	74.06	142.01	47.17	96.01	132.44	58.71	57.08	22.26	21.01	75.64	77.79	56.68	87.03	121.79	16.88	14.67	41.52	24.28	37.85	51.71	43.63	26.86	36.27	55.89	165.57	60.39	1.53	43.63	47.84	15.91	18.56	199.85	92.7	9.13	14.14	40.07	39.5	55.1	28.65	36.53	113.56	8.51	4.06	43.94	32.59	26.67	14.45	14.35	25.35	4.78	312.0	147.06	19.39	69.52	12.64	43.32	11.3	18.56	81.14	41.52	55.49	14.89	12.09	2.23	18.16	85.22	16.51	36.01	12.74	29.48	45.53	61.68	314.17	115.16	193.01	98.73	145.02	71.0	83.45	197.09	78.89	46.18	138.1	208.38
GLT1D1	13.72	1.87	1.58	7.11	1.27	0.66	1.69	0.65	4.5	2.92	4.1	5.68	3.59	5.32	24.99	1.69	2.36	6.06	2.51	1.68	13.32	7.4	4.28	12.36	0.67	1.51	3.59	3.2	3.26	9.06	5.77	2.68	1.66	2.84	17.0	1.71	0.33	3.53	7.11	2.2	22.1	35.0	9.27	0.67	1.27	2.05	3.0	5.92	1.99	1.35	9.41	3.23	0.39	3.79	2.66	66.65	1.33	2.01	1.97	19.11	18.84	16.15	0.0	2.32	0.0	2.29	0.36	0.66	14.35	5.02	8.58	1.33	0.66	2.61	24.99	6.01	1.33	0.68	0.32	2.05	9.56	8.06	38.4	5.54	53.19	15.34	56.68	3.92	12.55	28.24	13.12	3.38	16.27	44.57
GNG2	208.38	36.79	22.92	95.34	37.32	54.33	49.56	17.0	64.8	65.72	138.1	180.02	110.43	128.79	249.73	77.25	105.15	107.38	49.91	88.88	186.4	199.85	82.87	198.47	21.47	62.12	55.89	60.39	80.01	136.19	87.03	50.63	66.65	92.05	214.27	100.13	18.97	56.28	72.01	36.79	49.91	214.27	110.43	24.63	72.01	105.15	132.44	155.5	58.3	124.37	139.07	23.93	23.93	58.3	61.68	46.18	70.01	56.28	41.22	41.81	353.59	197.09	38.67	63.89	35.76	61.25	19.68	24.11	119.26	74.58	100.83	37.85	48.52	11.64	37.32	110.43	49.21	90.14	24.99	49.91	33.3	130.6	379.04	172.65	249.73	90.14	271.48	80.01	143.01	299.25	193.01	88.88	153.34	358.54
GPSM2	125.24	49.91	28.04	41.52	33.3	44.89	66.18	37.85	81.71	41.52	68.55	58.71	47.84	101.54	170.25	49.21	73.03	49.21	49.21	31.0	164.42	123.5	162.14	123.5	36.27	28.45	39.22	50.27	46.5	92.05	102.97	34.75	44.25	36.01	87.65	64.8	87.03	45.85	44.25	43.94	32.59	107.38	63.89	26.86	28.04	70.01	53.19	82.87	40.07	88.88	66.65	86.43	54.33	67.12	46.84	45.85	45.85	86.43	31.0	37.85	162.14	115.16	36.01	42.11	33.54	31.67	42.71	16.39	67.59	57.49	59.55	59.13	41.52	40.07	34.75	55.49	89.51	55.1	41.52	31.22	43.02	156.59	169.07	258.57	202.66	148.09	149.12	175.07	98.73	214.27	138.1	108.9	163.28	162.14
HEPH	414.87	59.55	42.71	173.85	23.76	59.55	29.91	13.42	135.24	90.14	182.55	265.87	106.63	262.2	361.04	182.55	181.28	99.43	97.36	91.41	297.17	231.32	314.17	387.02	31.45	46.5	85.82	115.97	80.57	178.77	145.02	66.18	63.0	82.87	351.14	108.14	8.92	98.04	98.04	37.05	68.55	429.54	246.28	9.78	55.89	123.5	126.12	202.66	43.32	68.55	239.52	40.07	12.55	212.78	106.63	57.49	50.63	42.41	21.16	20.71	748.61	486.75	43.94	74.58	26.28	98.73	48.18	31.0	161.02	164.42	147.06	47.17	36.53	7.75	76.17	208.38	42.11	80.01	37.59	67.12	62.12	228.13	1331.57	305.55	507.46	231.32	454.09	295.11	353.59	642.59	389.72	152.28	583.07	819.3
IL33	457.25	92.7	78.34	314.17	94.01	102.25	66.65	29.91	165.57	277.2	303.44	303.44	271.48	287.01	318.57	299.25	323.03	277.2	144.01	124.37	435.55	500.46	325.29	555.41	84.63	155.5	156.59	209.84	186.4	353.59	271.48	147.06	166.73	153.34	591.22	169.07	17.25	96.01	189.02	95.34	105.15	854.13	351.14	39.5	103.69	158.79	285.03	373.81	161.02	332.14	379.04	48.18	64.34	191.67	167.9	153.34	130.6	107.38	118.43	31.67	884.29	532.74	118.43	193.01	72.52	126.12	40.36	67.59	353.59	275.28	279.14	102.25	66.18	32.59	159.9	205.5	164.42	309.83	54.72	120.94	108.9	733.19	1208.34	651.58	1088.92	314.17	941.27	339.14	490.14	928.3	514.56	299.25	629.35	1015.93
ITGA1	1001.93	107.38	34.26	267.73	145.02	122.64	246.28	34.02	242.88	176.29	220.32	612.11	217.27	412.0	435.55	267.73	336.79	262.2	85.82	104.42	351.14	395.18	470.14	490.14	41.81	87.03	239.52	161.02	108.9	314.17	201.25	83.45	96.01	277.2	633.73	285.03	29.7	152.28	122.64	51.71	101.54	728.11	412.0	41.81	217.27	256.78	194.36	309.83	99.43	195.72	373.81	81.71	165.57	343.89	176.29	125.24	212.78	75.11	55.1	64.34	1119.56	1051.79	86.43	165.57	61.25	172.65	82.87	54.33	463.65	253.23	267.73	92.7	52.45	19.11	141.02	211.31	132.44	163.28	75.64	101.54	101.54	358.54	1819.35	423.61	791.35	457.25	532.74	480.04	551.56	1199.98	435.55	211.31	854.13	1088.92
ITGA9	206.94	49.91	27.25	93.35	18.56	42.11	40.93	18.03	66.65	62.56	116.78	135.24	53.19	158.79	169.07	83.45	90.14	172.65	40.93	39.79	211.31	166.73	248.0	224.97	21.47	51.35	72.52	67.12	56.68	127.89	175.07	62.12	41.81	41.52	186.4	92.05	15.34	46.5	88.26	18.84	40.07	262.2	182.55	10.63	27.84	100.13	102.25	106.63	35.76	66.18	109.66	28.86	19.39	111.21	74.06	55.89	35.0	17.25	18.84	22.1	371.22	334.46	45.53	65.72	45.21	47.84	28.65	24.63	118.43	114.36	102.25	39.22	28.86	13.12	145.02	94.01	43.02	69.52	25.54	32.59	34.26	190.34	490.14	307.69	271.48	208.38	204.07	166.73	267.73	463.65	260.38	112.77	309.83	318.57
JAZF1	423.61	98.04	57.89	197.09	44.25	75.64	70.51	28.86	214.27	158.79	229.72	249.73	217.27	320.8	612.11	157.68	195.72	167.9	64.8	115.16	389.72	346.29	525.39	417.77	72.52	79.45	157.68	99.43	107.38	336.79	209.84	77.79	123.5	129.69	532.74	242.88	16.88	125.24	171.45	43.02	88.88	575.03	346.29	17.25	96.01	153.34	152.28	265.87	76.71	131.51	215.77	114.36	23.25	221.86	147.06	100.83	65.72	70.51	57.49	72.01	665.29	486.75	80.01	154.42	60.82	132.44	45.85	76.71	414.87	228.13	291.04	73.03	82.87	38.12	97.36	325.29	59.97	148.09	37.32	92.7	103.69	341.51	1066.48	518.15	967.76	358.54	698.41	514.56	607.87	723.08	500.46	295.11	595.34	967.76
KANK2	2720.15	854.13	387.02	1896.65	412.0	698.41	503.95	255.0	1781.89	890.44	1769.57	2573.36	1963.57	2255.7	3103.19	1487.87	1977.24	1233.75	780.44	669.92	2739.08	2976.74	3018.3	3060.45	320.8	514.56	1216.75	830.75	813.63	1487.87	1870.53	921.88	825.0	981.29	2193.99	1268.46	244.57	1322.37	1127.35	450.94	854.13	3235.01	1896.65	206.94	764.36	1617.0	1313.23	1745.2	665.29	995.0	1467.37	397.93	423.61	1844.76	1059.11	1008.9	607.87	647.07	389.72	273.37	4543.8	3419.52	708.18	1167.14	693.58	1259.69	624.99	532.74	2777.33	1350.18	2240.11	616.37	403.5	309.83	684.02	1427.22	669.92	1151.06	483.38	802.41	860.08	2855.44	6337.83	3212.66	4972.34	2255.7	4736.79	3515.68	4358.66	5076.84	3060.45	1781.89	4419.52	5441.3
KCNAB1	269.6	15.22	19.82	45.21	25.54	26.86	51.35	18.03	98.04	57.89	121.79	98.73	82.29	208.38	194.36	173.85	164.42	70.01	20.11	59.97	351.14	156.59	514.56	351.14	15.34	21.47	92.7	48.52	71.0	152.28	161.02	27.84	84.63	48.52	220.32	147.06	5.19	50.27	96.68	23.25	51.35	318.57	218.79	7.82	25.54	46.18	55.89	176.29	41.52	67.59	103.69	8.65	15.11	194.36	81.71	29.7	63.45	12.74	24.81	63.45	753.83	371.22	56.68	81.14	29.91	40.07	12.93	46.5	116.78	182.55	154.42	28.24	34.26	13.93	45.53	181.28	22.75	42.41	19.82	29.91	40.93	103.69	764.36	363.56	688.78	379.04	214.27	255.0	361.04	514.56	497.0	228.13	497.0	450.94
KCND1	21.78	10.96	6.31	18.43	13.12	17.38	6.31	4.03	9.2	13.32	16.39	24.81	20.26	17.25	38.4	18.97	16.75	9.2	17.38	7.82	27.84	30.12	19.68	26.28	4.94	8.71	10.88	9.85	8.92	14.45	18.03	13.72	8.92	11.3	21.78	12.74	3.23	17.77	14.35	7.46	14.14	47.17	28.45	22.1	12.0	15.34	13.72	27.05	18.29	10.16	15.56	10.08	6.41	12.18	9.06	12.64	14.03	8.99	6.94	2.76	44.25	29.06	14.03	14.24	7.4	13.72	18.03	5.23	21.16	11.91	28.86	9.2	13.62	6.89	12.45	15.91	29.48	11.55	5.92	11.91	12.83	15.22	77.79	18.97	56.28	21.47	25.35	29.91	18.29	52.08	21.94	12.93	34.26	59.97
KIRREL	228.13	52.08	21.16	130.6	38.4	73.54	42.11	11.55	76.71	77.25	111.21	246.28	108.9	170.25	135.24	121.79	149.12	107.38	57.49	46.5	173.85	166.73	163.28	211.31	40.93	39.79	60.39	82.87	53.57	109.66	136.19	76.71	61.25	79.45	128.79	71.5	11.38	49.21	91.41	19.82	40.07	253.23	122.64	12.74	75.64	132.44	126.12	96.01	50.27	65.72	149.12	37.85	18.7	105.15	71.0	70.51	41.52	48.18	21.01	21.47	336.79	309.83	53.95	67.59	34.75	69.03	40.07	22.75	151.22	100.13	119.26	49.91	46.18	14.89	57.49	76.71	63.0	95.34	30.12	49.21	44.89	176.29	543.96	239.52	256.78	170.25	177.53	153.34	218.79	307.69	201.25	69.52	237.86	301.33
KLHL33	10.08	0.33	0.66	3.86	0.0	2.29	0.69	0.0	4.13	0.68	5.5	12.45	2.43	13.03	7.06	3.17	3.89	1.36	2.63	3.47	7.57	10.24	3.44	11.13	1.66	2.34	2.07	2.36	2.41	10.39	5.5	5.32	4.17	3.0	8.32	4.66	0.0	1.01	7.82	2.97	2.41	15.8	8.13	0.0	2.27	4.28	3.2	4.24	4.54	1.04	10.39	0.93	0.75	7.82	1.75	1.06	0.34	0.69	1.36	0.3	24.11	13.32	2.03	3.82	0.0	1.71	2.39	0.66	5.41	2.14	11.55	0.68	0.66	0.3	1.45	4.7	1.03	1.38	2.46	2.14	1.85	9.78	15.22	16.03	7.11	4.82	12.36	3.59	5.02	10.08	11.82	2.71	13.52	23.08
KLK3	772940.66	881742.8	1345768.59	1005860.33	682276.92	751804.53	726195.27	1116072.03	1212874.47	845824.19	887875.81	585779.24	1163466.92	1116072.03	509950.32	794671.01	751804.53	985160.01	881742.8	1063212.58	731246.37	800198.39	1055868.42	527933.71	906531.99	1255646.43	1187913.85	1093103.58	1139523.1	746611.43	805764.22	1100706.72	881742.8	906531.99	1327240.99	731246.37	887875.81	1147449.11	925580.18	581732.96	1412675.8	726195.27	654483.73	906531.99	919186.72	1238359.56	1327240.99	1196176.45	736332.6	800198.39	985160.01	589853.66	746611.43	839981.65	869603.57	696613.03	919186.72	654483.73	789181.81	757033.75	400098.69	627822.72	1063212.58	736332.6	1212874.47	1238359.56	696613.03	985160.01	627822.72	1048575.0	736332.6	1345768.59	721179.07	767601.56	1472666.19	1229805.58	1019901.63	828417.36	696613.03	938500.81	800198.39	805764.22	260332.24	391864.76	343510.77	1019901.63	751804.53	925580.18	834179.46	546551.29	985160.01	1063212.58	554180.87	573724.06
LOXL3	49.56	13.03	18.7	38.4	19.68	29.7	20.71	6.11	32.36	21.32	48.52	72.01	33.54	60.39	37.59	39.79	59.13	30.12	32.59	18.16	79.45	120.1	42.71	55.49	23.42	26.47	18.56	22.59	19.97	43.63	39.5	34.51	23.08	26.28	34.02	25.91	20.41	49.21	44.25	35.76	40.93	82.29	55.89	26.86	32.36	54.72	32.36	58.3	20.41	36.53	43.32	23.59	25.72	37.05	26.28	19.39	29.06	31.45	12.83	22.1	68.07	59.55	26.47	21.16	19.97	26.67	16.63	14.35	40.64	49.21	38.95	19.39	18.03	17.38	15.22	34.75	46.84	33.06	16.51	28.65	25.54	53.95	175.07	64.34	77.25	53.57	82.29	52.08	34.51	106.63	56.28	14.56	108.14	91.41
LRRN3	21.01	1.25	0.16	5.11	0.71	3.69	267.73	0.16	3.59	1.03	13.32	15.0	10.47	11.91	65.72	6.01	3.69	1.03	3.96	7.63	12.93	11.38	22.75	23.42	1.83	1.51	5.11	1.57	4.21	3.11	11.91	3.69	10.47	5.5	32.59	11.38	0.0	4.7	16.63	2.1	1.91	28.04	8.51	0.0	6.62	8.13	6.62	10.71	3.92	3.08	29.27	0.15	0.53	6.89	6.89	5.19	2.46	4.82	1.03	0.39	38.95	38.95	3.29	9.34	0.0	5.28	2.43	2.66	22.92	15.8	9.85	2.16	3.47	1.41	20.11	13.22	7.28	5.92	1.17	7.28	2.68	12.0	145.02	26.86	102.97	32.59	87.65	10.88	9.7	84.63	30.12	12.83	22.92	82.29
LTBP4	7230.1	1721.16	2502.97	3928.15	1963.57	1709.26	808.0	1066.48	3212.66	2855.44	3303.0	5366.37	4268.94	7911.95	10154.69	5219.6	4419.52	2537.92	2520.38	3039.3	6652.97	7911.95	5255.91	9409.14	1350.18	2664.15	2520.38	3212.66	2645.74	5219.6	3982.99	2627.46	1857.6	2075.59	3491.39	2271.4	603.67	3257.52	3103.19	1457.23	3874.05	10808.41	6471.02	769.69	1883.54	2303.12	7180.15	7230.1	1794.29	2485.67	4802.93	941.27	954.43	1529.73	3820.7	1857.6	2061.24	1127.35	1015.93	536.45	11189.6	9673.69	2720.15	3039.3	1857.6	1769.57	1467.37	1477.58	4769.75	6037.61	3325.99	1857.6	2224.63	718.08	1407.55	4671.57	1551.09	3491.39	1407.55	2351.53	1617.0	4575.41	15715.58	6381.92	10659.59	3874.05	5954.47	4181.07	5517.27	8134.41	4181.07	1674.06	6561.36	12943.04
MAMDC2	131.51	19.11	29.27	41.81	5.59	21.47	9.2	8.45	63.45	22.43	40.93	84.04	35.0	111.21	120.94	47.5	49.91	67.12	18.16	22.75	134.3	97.36	102.97	85.22	6.06	13.83	29.91	26.86	27.25	119.26	52.45	23.42	19.82	32.82	95.34	51.71	1.31	31.22	30.34	15.68	18.43	137.14	88.88	6.41	17.0	33.78	44.57	86.43	15.68	36.53	71.0	6.57	11.13	55.1	29.27	17.9	16.15	5.32	16.63	9.48	181.28	133.36	19.82	27.25	8.38	34.51	6.89	15.0	84.63	51.35	63.0	10.0	14.03	2.78	18.97	64.34	9.7	40.36	10.55	15.11	16.15	102.25	376.41	137.14	128.79	83.45	147.06	85.82	105.15	208.38	123.5	38.12	234.57	201.25
MAP1A	90.14	16.75	11.55	51.35	7.0	31.0	8.51	5.32	35.5	26.47	67.59	73.03	53.95	60.82	134.3	30.12	52.45	20.71	22.43	24.99	72.01	74.06	113.56	96.01	7.82	13.62	30.56	20.86	16.03	80.01	49.56	30.34	47.84	48.52	98.04	52.45	9.56	46.84	47.17	12.83	20.56	94.67	59.55	6.84	17.9	48.87	36.79	45.85	18.43	18.84	57.89	10.31	5.5	80.57	21.63	16.88	14.56	13.93	10.63	2.01	211.31	115.97	17.38	44.89	13.42	51.35	12.27	11.64	101.54	53.57	73.54	14.56	14.14	3.23	19.25	46.84	18.56	23.59	8.38	25.91	23.93	65.72	316.37	82.29	211.31	73.03	149.12	140.04	128.79	229.72	81.14	52.82	133.36	244.57
