	GTEX.147JS.2526.SM.5S2Q8	GTEX.Y5LM.0426.SM.4VBRO	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4XY.1626.SM.46MVN	GTEX.144GM.1326.SM.5LU5E	GTEX.YEC4.0826.SM.5P9FV	GTEX.13PVR.0126.SM.5S2PY	GTEX.13O3O.1826.SM.5IFGW	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.YF7O.0626.SM.4W21R	GTEX.O5YW.0526.SM.2YUMX	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11P7K.0326.SM.59871	GTEX.X3Y1.0626.SM.3P5YS	GTEX.111YS.0626.SM.5GZXV	GTEX.ZAB4.0626.SM.5CVN3	GTEX.12696.1026.SM.5FQUV	GTEX.YEC3.0226.SM.5IFJO	GTEX.117YW.0526.SM.5H11C	GTEX.WFON.0426.SM.3GIL4	GTEX.PX3G.0526.SM.2I3EM	GTEX.13N2G.0826.SM.5IJE6	GTEX.13N1W.0726.SM.5MR57	GTEX.11NUK.0826.SM.5HL4U	GTEX.XQ3S.0926.SM.4BOPI	GTEX.X4LF.0526.SM.3NMB6	GTEX.14DAR.0226.SM.5S2PR	GTEX.XQ8I.1126.SM.4BOO2	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.14BMV.2226.SM.5RQHX
ISLR2	68.07	5.28	2.68	3.72	0.0	0.84	0.84	1.46	0.0	0.0	8.71	17.9	18.7	3.23	1.53	241.19	1.55	43.32	87.03	18.56	40.64	2.1	52.08	6.73	3.99	61.68	44.57	9.56	5.68	9.48	53.19	13.93	7.28	33.3
ITGA4	366.09	7.11	21.94	39.22	21.01	15.22	30.34	37.85	0.0	0.31	45.85	85.22	96.01	58.3	66.18	620.67	231.32	660.68	209.84	60.82	759.08	262.2	149.12	140.04	293.07	587.13	198.47	73.03	90.14	57.08	115.97	215.77	95.34	231.32
ITIH5	1781.89	1.25	5.96	8.51	3.0	0.78	2.51	4.58	0.0	0.21	497.0	265.87	327.56	88.26	204.07	2367.9	353.59	866.07	1794.29	642.59	3419.52	244.57	854.13	607.87	967.76	3257.52	860.08	376.41	165.57	223.41	642.59	738.29	264.03	1477.58
KIAA0895L	361.04	13.72	95.34	104.42	43.63	51.35	45.85	17.13	0.0	1.23	141.02	83.45	131.51	104.42	163.28	327.56	53.95	373.81	141.02	303.44	791.35	171.45	226.54	214.27	65.72	334.46	454.09	217.27	85.82	291.04	239.52	305.55	176.29	473.41
KIAA1211	120.94	4.39	4.7	0.74	0.01	2.58	5.11	0.46	0.0	0.17	2.78	74.58	14.35	4.17	8.78	47.84	5.06	64.34	45.53	5.28	116.78	5.82	19.97	13.32	11.13	23.93	26.86	13.83	7.11	6.73	8.65	50.98	10.63	231.32
LIMA1	2351.53	309.83	151.22	59.97	172.65	104.42	194.36	137.14	791.35	262.2	703.28	1427.22	915.51	825.0	974.5	1023.0	1208.34	1923.14	2075.59	1286.18	3847.29	1651.0	1331.57	866.07	1313.23	3901.01	1561.89	1467.37	642.59	854.13	684.02	1757.34	1191.69	3639.7
LMO4	1487.87	890.44	669.92	536.45	356.05	674.59	684.02	334.46	1051.79	253.23	1561.89	890.44	2956.17	3039.3	1639.59	2739.08	1277.29	1407.55	2400.97	1628.26	2133.97	1008.9	2875.3	941.27	1991.0	1662.49	3614.55	2485.67	595.34	2664.15	1697.45	921.88	819.3	1350.18
LTBP2	579.04	19.82	8.92	20.11	7.06	4.78	8.71	22.59	0.0	0.47	559.28	2573.36	1378.57	1037.29	343.89	3190.46	325.29	5147.73	3349.13	1111.82	7433.4	529.06	2209.26	1135.2	2384.37	3928.15	2997.45	1733.13	460.44	543.96	1143.1	2895.31	674.59	1369.04
LUM	33922.56	629.35	201.25	57.08	18.03	77.25	127.89	139.07	0.0	0.58	7180.15	6887.62	6164.49	3280.18	4512.4	19754.96	3168.41	101420.22	24832.5	6426.31	88905.42	15715.58	25354.3	4543.8	12676.65	21026.65	39785.74	18052.61	1733.13	2664.15	10368.08	12415.75	5751.61	29736.59
MAGED4	149.12	0.0	0.83	1.36	0.0	2.18	0.0	4.54	0.0	0.05	42.71	12.64	21.78	2.05	3.17	85.22	0.32	166.73	50.27	20.86	64.8	27.84	98.04	6.94	12.55	6.89	130.6	16.15	17.13	9.93	26.67	82.29	2.01	102.97
MATN2	6471.02	277.2	90.14	90.14	86.43	58.3	351.14	120.94	0.0	0.39	486.75	954.43	961.07	384.34	68.07	854.13	234.57	1183.45	1437.15	1794.29	3349.13	320.8	825.0	287.01	830.75	1529.73	1757.34	878.17	170.25	181.28	305.55	555.41	113.56	6887.62
MDGA1	147.06	2.66	8.0	17.77	16.03	11.55	5.77	0.16	0.0	0.3	143.01	275.28	103.69	80.01	60.82	295.11	62.56	81.71	94.67	67.59	567.1	79.45	251.48	93.35	211.31	323.03	85.82	217.27	118.43	78.34	80.01	169.07	108.14	224.97
MEIS3	312.0	18.16	21.47	38.95	8.85	29.48	12.36	20.86	0.0	0.72	126.12	79.45	84.04	120.1	57.08	332.14	37.59	316.37	363.56	127.89	460.44	39.5	163.28	31.67	232.94	109.66	228.13	169.07	53.57	66.18	121.79	87.65	96.68	303.44
MGARP	16.39	0.39	1.38	0.0	0.54	0.0	1.3	1.17	0.0	0.03	17.25	27.84	15.45	41.81	12.93	14.35	10.79	35.25	41.81	68.07	14.67	18.43	8.58	15.11	33.06	54.72	31.67	39.79	8.58	10.79	6.89	30.34	2.78	22.59
MMP14	2777.33	255.0	70.51	209.84	224.97	122.64	224.97	43.94	3874.05	412.0	620.67	1685.71	1397.83	1216.75	397.93	1551.09	825.0	4869.99	3928.15	1467.37	3124.78	988.12	4268.94	1159.07	1883.54	1143.1	3564.78	2287.2	595.34	612.11	1059.11	1685.71	679.29	2468.49
MMP2	14163.58	155.5	38.95	30.34	46.5	37.32	97.36	69.52	1757.34	836.53	2319.15	10883.59	2895.31	5633.22	368.65	4066.71	2875.3	27745.15	14461.21	11992.79	20593.91	2451.44	6652.97	1059.11	5479.15	5711.87	10296.45	6607.01	665.29	656.11	6471.02	3589.58	1605.83	18689.27
MPHOSPH9	379.04	134.3	117.6	70.51	58.3	157.68	166.73	50.27	0.0	0.62	92.7	50.98	74.58	124.37	102.25	323.03	101.54	381.68	121.79	137.14	255.0	135.24	180.02	98.04	84.04	169.07	248.0	201.25	49.56	183.82	140.04	226.54	117.6	301.33
MXRA8	4769.75	102.25	102.97	69.52	32.82	84.63	54.72	26.28	0.0	1.01	995.0	1437.15	1208.34	1044.52	563.18	2682.69	532.74	6381.92	4972.34	1662.49	9279.58	981.29	4671.57	624.99	1662.49	3257.52	6699.25	3395.89	476.71	902.89	1697.45	1378.57	1023.0	8718.32
MYOF	884.29	28.24	35.0	15.11	40.36	34.26	20.11	9.13	0.0	0.84	1059.11	1268.46	1151.06	669.92	830.75	579.04	336.79	2119.22	1135.2	1457.23	2739.08	2609.3	2193.99	2032.85	2367.9	2209.26	3349.13	974.5	2163.77	660.68	1359.57	2018.8	878.17	967.76
NEURL	161.02	3.96	2.73	50.27	89.51	8.78	6.01	2.73	0.0	0.31	2.84	0.06	8.0	1.27	4.43	5.23	8.38	13.12	12.45	4.06	23.08	3.79	32.36	12.55	19.68	28.45	11.91	3.29	12.09	6.01	1.66	145.02	3.86	224.97
NFATC4	1467.37	33.78	41.81	42.41	29.91	122.64	42.11	10.0	0.0	1.11	343.89	229.72	543.96	753.83	551.56	1594.73	224.97	718.08	1437.15	718.08	2209.26	511.0	536.45	318.57	231.32	854.13	1467.37	1023.0	255.0	435.55	1088.92	836.53	466.88	1199.98
NKX6-1	1.27	0.0	1.04	0.0	0.24	0.25	3.63	0.0	0.0	0.2	0.0	1.68	6.31	1.46	0.0	1.27	0.57	4.82	19.97	8.51	3.59	0.0	11.13	2.78	4.21	10.31	8.38	5.73	0.27	1.51	3.35	1.27	0.0	17.51
NLGN3	81.14	0.22	5.06	9.13	2.63	2.66	5.32	0.0	0.0	0.27	9.13	13.12	9.48	13.03	9.78	49.56	8.0	38.67	56.68	21.78	28.45	8.99	41.81	20.71	15.8	42.11	53.57	35.25	6.41	7.22	12.45	36.27	8.32	123.5
NOD2	128.79	8.32	26.67	62.12	48.18	12.36	7.46	28.45	0.0	0.52	71.0	32.59	51.35	31.22	35.5	59.97	61.25	98.04	175.07	60.82	159.9	54.72	90.14	47.84	76.71	52.08	118.43	124.37	100.83	56.28	52.82	123.5	48.52	21.47
NOVA1	232.94	3.63	9.63	5.5	1.27	1.68	7.82	0.0	0.0	0.38	35.25	24.11	85.82	5.92	2.41	31.45	9.78	149.12	336.79	148.09	218.79	42.41	83.45	73.54	74.58	93.35	161.02	54.72	9.13	6.26	28.65	35.0	9.06	571.05
NPFFR1	2.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.62	13.72	22.59	2.43	9.56	22.75	22.92	2.66	1.06	3.38	5.73	4.06	7.06	57.89	2.56	4.35	5.92	11.73	3.26	25.35	14.03	82.29	17.38	10.39
OGN	2591.27	11.38	6.31	1.53	4.21	3.08	6.21	5.36	0.0	0.09	571.05	204.07	191.67	571.05	87.65	921.88	120.94	1457.23	2032.85	780.44	1674.06	187.71	599.49	358.54	884.29	2240.11	1769.57	842.36	47.84	66.18	363.56	624.99	124.37	6745.86
OLFML1	836.53	287.01	35.25	1.58	8.58	19.97	15.22	29.27	0.0	0.15	540.19	486.75	246.28	217.27	143.01	665.29	175.07	759.08	961.07	884.29	928.3	723.08	872.1	293.07	221.86	848.22	769.69	460.44	199.85	167.9	314.17	579.04	206.94	848.22
PALM	813.63	64.34	22.1	81.14	124.37	77.79	162.14	17.25	0.0	0.73	187.71	493.56	547.75	532.74	244.57	555.41	231.32	753.83	2434.5	543.96	2520.38	164.42	854.13	384.34	417.77	775.05	1819.35	497.0	205.5	384.34	320.8	551.56	212.78	1605.83
PIK3R6	93.35	3.66	1.68	2.46	6.78	4.39	3.92	0.79	0.0	0.38	27.05	34.51	61.25	20.56	36.01	103.69	9.41	80.57	91.41	59.97	118.43	17.0	122.64	20.71	15.0	45.21	41.81	53.95	29.27	14.45	76.17	105.15	29.48	97.36
PODXL2	215.77	3.96	46.5	2.1	8.58	15.45	0.21	6.31	208.38	181.28	206.94	33.54	46.18	61.68	111.21	624.99	39.5	361.04	182.55	244.57	547.75	35.5	387.02	42.71	253.23	406.31	507.46	262.2	27.84	77.79	120.1	336.79	38.4	414.87
PPFIA2	59.97	11.38	3.35	10.71	7.51	4.31	7.63	3.79	0.0	0.25	3.5	15.0	13.32	11.91	8.92	65.72	18.56	57.89	54.33	19.53	113.56	10.16	13.72	11.91	13.72	32.13	40.07	35.76	2.36	8.32	12.0	20.41	16.39	87.03
PROM2	139.07	0.0	8.85	7.34	0.0	2.23	1.95	84.04	0.0	0.36	106.63	70.51	80.57	116.78	75.11	1268.46	100.13	59.55	153.34	72.52	68.55	55.49	318.57	144.01	78.34	201.25	119.26	236.21	60.39	82.29	339.14	796.86	262.2	417.77
PTCH2	64.8	0.61	10.55	13.62	4.58	5.41	3.59	11.04	0.0	0.33	6.41	2.97	30.12	23.42	10.88	61.25	4.62	22.26	29.91	12.0	19.11	3.2	19.97	22.1	14.56	16.88	32.59	20.86	8.32	11.82	40.36	59.13	8.13	206.94
RAD51B	183.82	38.12	50.27	69.52	53.95	15.0	27.05	24.11	0.0	0.18	127.89	139.07	185.11	108.9	96.01	148.09	110.43	291.04	242.88	63.45	126.12	226.54	262.2	107.38	29.27	209.84	146.03	124.37	173.85	164.42	132.44	176.29	172.65	155.5
RASGRP3	435.55	32.13	14.35	21.94	209.84	61.25	73.54	9.93	78.34	95.34	73.54	38.4	260.38	120.94	81.14	242.88	181.28	486.75	269.6	101.54	454.09	120.94	191.67	236.21	244.57	237.86	435.55	373.81	125.24	32.36	123.5	191.67	88.26	112.77
RFX6	2.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.21	0.0	0.0	0.0	0.0	0.0	5.73	1.22	0.0	0.26	0.0	0.96	0.89	0.0	0.0	0.21	0.0	0.58	1.51	63.0
RHBDL1	104.42	5.28	14.24	26.47	6.21	10.16	8.19	9.7	0.0	0.78	10.31	3.26	16.51	26.1	20.41	52.08	1.23	13.22	11.55	4.35	9.27	3.14	17.38	26.86	4.03	24.11	110.43	13.83	1.11	22.59	9.63	21.16	13.12	73.03
RP11-1070N10.3	31.67	14.89	4.28	0.0	0.0	8.58	7.88	11.73	0.0	0.19	21.32	6.67	6.01	2.23	1.99	48.18	5.41	61.68	67.12	15.0	29.06	7.75	17.0	9.78	12.83	28.24	3.26	28.45	8.58	1.2	20.41	5.73	1.89	27.05
RP11-247C2.2	13.93	0.0	0.0	0.0	2.14	0.0	0.0	0.0	0.0	0.0	0.82	1.53	2.84	1.41	0.0	20.71	0.0	11.38	23.76	4.28	14.89	0.0	12.93	1.51	0.0	12.27	15.34	3.47	1.43	2.07	2.81	1.5	0.8	3.38
RP11-382J12.1	4.39	3.06	7.94	3.96	1.66	2.25	3.59	4.98	0.0	0.15	4.5	2.56	2.12	0.56	4.21	4.46	0.85	30.56	9.56	4.39	6.52	5.54	9.63	6.41	3.06	10.16	8.58	8.85	0.85	8.85	8.58	12.36	5.68	18.43
RP11-383H13.1	171.45	3.76	8.25	12.55	5.92	0.06	3.47	3.38	0.0	0.45	28.45	25.17	17.51	24.28	13.52	173.85	14.03	138.1	165.57	36.27	126.12	5.73	92.05	68.55	31.9	90.14	85.22	65.72	26.86	43.02	24.63	31.22	7.63	212.78
RP11-451M19.3	33.54	2.66	4.46	0.0	2.16	3.38	0.0	0.0	0.0	0.06	15.8	1.73	6.62	9.27	13.72	16.88	10.31	14.24	24.99	13.12	27.84	2.73	21.01	4.13	13.62	10.88	22.59	19.97	5.28	12.0	12.45	7.28	10.96	35.76
RP11-861L17.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.33	0.6	0.0	0.0	0.0	3.82	0.84	1.01	4.9	0.0	0.65	2.27	2.2	3.06	1.0	0.0	0.0	1.64	0.0	2.43	0.78	2.86
RUNDC3B	59.13	92.7	134.3	27.64	8.25	42.11	72.01	15.11	0.0	0.0	9.78	8.38	75.11	11.04	3.82	43.63	3.82	37.59	34.02	50.98	31.0	7.75	24.28	5.45	5.96	62.12	22.92	39.79	11.21	33.78	17.9	14.67	4.35	48.87
SEPT6	1286.18	665.29	493.56	934.76	157.68	99.43	166.73	307.69	307.69	327.56	507.46	297.17	246.28	206.94	327.56	1447.15	343.89	1216.75	759.08	441.64	1721.16	182.55	1044.52	432.53	511.0	1628.26	1250.98	373.81	341.51	244.57	389.72	753.83	343.89	693.58
SFRP2	18560.17	8.32	0.91	0.0	26.47	0.0	1.03	1.66	0.0	0.0	1662.49	470.14	995.0	995.0	73.03	4704.07	260.38	9606.86	8658.09	2178.83	6079.61	486.75	5711.87	660.68	2816.11	5441.3	7803.01	4512.4	299.25	334.46	2627.46	4903.87	115.97	15392.14
SFTPC	41.52	8.25	7.46	0.13	4.43	0.0	3.06	11.13	64186.29	44145.15	5.882801313E7	7.92550749E7	4.811555286E7	3.174442598E7	4.188702152E7	2564061.5	2.138357795E7	1462493.73	105727.15	5.761735011E7	33688.23	3.801327429E7	1.609378033E7	4.878722096E7	3.72309724E7	6956835.58	1.430483875E7	2.706640506E7	5.228884881E7	1.0826562323E8	3.109113511E7	6.17527469E7	2.578448588E7	5.68
SLC16A14	93.35	16.15	0.47	23.42	3.72	51.35	44.57	6.62	0.0	0.49	13.22	5.73	4.82	7.75	7.94	44.89	2.48	158.79	97.36	24.11	567.1	23.93	166.73	29.06	21.16	234.57	74.06	12.64	4.46	6.11	9.63	22.75	15.91	199.85
SLC45A3	334.46	111.21	76.17	109.66	105.15	120.1	121.79	110.43	0.0	0.29	66.18	72.01	121.79	76.17	66.65	209.84	31.45	183.82	178.77	85.22	221.86	74.06	438.59	149.12	43.63	289.02	253.23	92.05	73.03	38.4	159.9	223.41	82.87	267.73
SLC9A9	607.87	35.0	22.43	23.42	61.68	29.48	45.85	15.45	0.0	0.54	204.07	115.16	40.36	56.68	45.53	381.68	103.69	603.67	291.04	151.22	708.18	127.0	181.28	140.04	120.1	660.68	169.07	126.12	70.01	83.45	181.28	201.25	78.34	447.82
SMO	480.04	171.45	285.03	74.58	61.25	141.02	212.78	78.34	0.0	0.54	22.1	30.78	38.4	37.32	15.68	460.44	10.96	470.14	177.53	63.89	563.18	39.5	493.56	55.89	25.17	150.17	532.74	91.41	6.11	44.89	90.14	228.13	27.64	825.0
SNCG	1208.34	142.01	11.04	36.01	54.33	144.01	93.35	23.08	0.0	0.69	327.56	323.03	543.96	264.03	988.12	1572.76	277.2	669.92	7642.41	2915.45	723.08	131.51	3257.52	204.07	136.19	2796.65	1896.65	1322.37	248.0	269.6	130.6	624.99	341.51	2609.3
SRRM3	221.86	1.45	0.44	1.69	0.0	0.36	0.0	2.97	0.0	0.57	3.96	13.72	18.29	12.45	5.92	93.35	2.01	63.0	84.63	18.84	74.58	7.06	33.78	13.93	43.63	35.76	43.63	58.71	5.73	2.56	31.45	32.82	3.99	447.82
SRRM4	1.69	0.0	0.0	0.58	0.82	0.0	0.0	0.73	0.0	0.0	0.14	0.97	0.16	0.0	0.88	0.16	0.51	0.17	0.0	0.16	0.87	0.88	1.35	2.25	5.36	2.23	1.71	0.89	0.0	0.0	0.16	4.5	0.13	9.93
SSC5D	660.68	9.48	7.94	8.85	2.76	5.41	18.43	6.78	0.0	0.27	195.72	435.55	144.01	140.04	58.71	753.83	77.25	1572.76	1295.13	480.04	2485.67	61.68	500.46	101.54	356.05	1096.5	1498.22	283.05	64.8	74.06	228.13	567.1	77.79	1540.37
ST8SIA1	202.66	0.23	0.59	2.39	1.97	0.0	9.63	7.06	0.0	0.19	80.57	84.63	93.35	94.67	38.67	271.48	40.93	226.54	171.45	101.54	860.08	125.24	133.36	159.9	100.13	447.82	190.34	48.18	43.94	64.8	65.72	202.66	66.18	271.48
STAP1	201.25	0.0	1.64	3.03	0.78	3.5	2.76	10.88	0.0	0.12	42.11	58.71	73.54	12.93	42.41	201.25	10.0	80.57	126.12	34.51	420.68	24.28	76.71	16.15	11.04	132.44	63.89	98.73	15.11	8.0	57.49	22.43	25.91	56.68
STK10	688.78	104.42	305.55	226.54	262.2	90.77	191.67	129.69	0.0	0.68	603.67	329.84	392.44	414.87	307.69	836.53	483.38	457.25	607.87	267.73	674.59	287.01	624.99	514.56	361.04	791.35	723.08	660.68	698.41	363.56	575.03	708.18	656.11	336.79
SYNGR1	620.67	30.56	47.17	22.75	47.84	21.32	20.86	27.05	0.0	0.67	212.78	232.94	265.87	127.0	81.14	728.11	48.52	454.09	320.8	595.34	1199.98	87.65	733.19	206.94	264.03	575.03	896.64	144.01	109.66	141.02	157.68	395.18	55.49	1733.13
SYTL2	884.29	57.89	102.97	36.79	68.07	19.11	35.0	53.57	0.0	0.62	105.15	161.02	127.89	293.07	166.73	547.75	211.31	684.02	441.64	140.04	1498.22	223.41	332.14	239.52	417.77	842.36	571.05	406.31	64.34	120.1	226.54	226.54	152.28	684.02
TAS2R14	35.5	2.66	8.78	10.88	10.39	9.41	6.01	8.32	0.0	0.35	35.76	18.7	12.18	14.56	35.25	34.02	18.84	15.8	24.81	16.88	70.01	19.53	25.35	16.51	20.71	49.21	29.48	17.25	16.03	23.76	17.25	31.9	15.91	65.26
TEX15	1.1	0.0	0.0	0.0	0.0	0.0	0.0	4.35	0.0	0.0	0.0	0.0	0.48	0.42	0.43	0.48	0.0	0.0	0.0	0.0	0.43	0.0	5.82	0.0	0.0	3.59	1.66	0.45	0.0	0.45	0.0	21.94	0.0	43.32
TMEFF2	46.5	0.0	0.0	0.59	0.0	1.28	0.0	0.0	0.0	0.01	4.24	0.34	6.01	0.65	0.31	5.63	2.1	1.08	7.17	4.43	6.06	0.31	4.1	7.0	7.88	13.83	8.92	1.38	1.36	1.01	1.04	1.43	3.76	147.06
TRAF5	536.45	5.23	16.03	21.32	17.9	15.8	7.88	23.25	0.0	0.77	54.72	46.18	40.07	103.69	77.25	409.15	67.12	226.54	228.13	78.89	808.0	109.66	134.3	90.14	81.71	343.89	176.29	165.57	37.85	52.82	98.04	106.63	98.04	733.19
TRIM2	417.77	62.56	215.77	693.58	130.6	120.94	60.39	198.47	309.83	595.34	211.31	128.79	208.38	162.14	106.63	521.76	63.89	327.56	507.46	264.03	423.61	289.02	305.55	483.38	234.57	341.51	305.55	180.02	193.01	105.15	332.14	258.57	100.83	551.56
TTC3	1304.15	454.09	376.41	329.84	583.07	642.59	400.71	221.86	0.0	0.79	414.87	480.04	599.49	463.65	547.75	791.35	314.17	1104.13	688.78	954.43	1477.58	616.37	698.41	961.07	571.05	620.67	1199.98	441.64	500.46	575.03	1151.06	1143.1	941.27	1388.16
TUB	116.78	2.71	1.03	1.85	4.74	6.52	12.83	0.0	0.0	0.46	16.39	32.36	38.95	46.5	11.38	262.2	14.03	138.1	170.25	153.34	189.02	34.02	115.97	111.21	28.24	127.89	193.01	60.39	16.51	31.9	34.26	63.45	23.93	244.57
TVP23A	72.52	0.72	7.28	8.85	6.06	3.5	4.78	11.47	0.0	0.33	17.64	8.06	25.35	16.39	18.56	86.43	6.16	42.11	42.11	11.82	159.9	8.06	54.33	29.7	26.28	53.57	72.52	21.94	8.99	20.26	38.4	26.86	15.34	56.68
VAX2	10.16	0.74	3.53	3.86	0.0	0.0	3.47	0.0	0.0	0.27	3.35	7.11	9.85	1.38	14.67	9.13	1.97	40.64	53.95	30.56	18.16	3.69	63.89	8.25	5.96	43.02	49.56	34.02	1.16	8.32	12.18	16.15	5.41	19.25
VILL	860.08	10.55	17.38	6.84	5.96	27.84	13.12	4.13	0.0	0.44	81.71	201.25	332.14	320.8	368.65	1844.76	92.7	351.14	400.71	172.65	126.12	212.78	633.73	403.5	59.55	242.88	518.15	316.37	105.15	248.0	607.87	1208.34	343.89	620.67
VIM	43840.21	2664.15	1529.73	1199.98	1857.6	2119.22	1617.0	988.12	0.0	1.25	75803.72	28525.2	133825.1	20030.74	15392.14	52135.28	9215.48	114897.47	117311.73	51417.5	122293.5	29327.18	61571.56	19754.96	19618.49	65535.0	57051.4	42346.82	77396.54	28328.16	47642.77	35856.82	17437.64	30999.42
VOPP1	1733.13	693.58	493.56	356.05	703.28	450.94	211.31	796.86	0.0	0.78	1498.22	995.0	836.53	703.28	854.13	3639.7	713.11	2104.58	2555.58	928.3	1605.83	684.02	2816.11	1388.16	1073.91	1757.34	1662.49	1447.15	1183.45	665.29	1059.11	1111.82	759.08	1225.22
WNT10A	361.04	3.14	0.92	0.0	0.39	1.19	9.63	1.87	0.0	0.01	34.51	4.46	13.83	10.55	13.22	397.93	7.69	183.82	128.79	8.0	127.89	0.55	68.55	30.34	33.06	76.71	72.52	80.57	2.84	3.5	39.22	20.56	7.34	109.66
WNT10B	89.51	0.0	1.99	1.5	0.67	1.91	0.39	1.38	0.0	0.61	9.7	0.53	4.74	1.75	16.51	220.32	1.23	22.26	55.89	8.99	7.28	2.41	11.64	7.94	4.7	17.0	26.47	31.0	13.32	2.89	13.12	9.2	2.92	59.13
XCL1	21.94	0.47	11.38	10.71	3.11	6.36	10.88	27.05	0.0	0.02	14.35	1.58	18.03	16.88	18.29	51.35	40.64	31.45	37.32	11.3	51.71	27.25	71.5	14.56	24.81	62.12	67.59	33.54	18.29	24.63	40.07	16.51	8.06	81.71
XXbac-BPG181M17.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.64	0.0	133.36	53.57	25.72	111.99	0.0	36.01	28.86	70.51	87.03	0.0	38.12	102.25	45.85	139.07	90.14	117.6	0.0	28.86	37.32	87.03	49.56	0.0
ZBTB32	30.34	1.83	0.49	1.73	1.04	8.65	2.12	1.55	0.0	0.19	3.08	23.42	12.74	1.11	7.63	17.77	8.32	25.17	15.0	6.31	82.29	1.33	10.96	18.03	39.22	58.3	20.11	9.56	6.52	14.14	6.01	16.39	12.74	14.35
ZNF521	249.73	10.31	7.82	9.78	0.41	1.33	7.82	0.35	0.0	0.31	102.97	231.32	125.24	101.54	49.21	329.84	56.68	432.53	866.07	264.03	255.0	61.68	599.49	141.02	70.51	665.29	327.56	198.47	78.89	75.11	104.42	220.32	67.12	323.03
ZNF695	10.88	0.0	0.0	0.0	0.99	0.0	0.0	0.0	0.0	0.33	0.97	1.71	0.0	0.96	2.07	1.64	0.0	3.03	6.89	2.84	1.48	8.19	6.94	0.16	0.0	2.29	3.47	3.44	1.51	0.0	6.67	42.41	7.82	36.79
ZSCAN2	144.01	132.44	98.73	75.64	63.45	87.03	137.14	21.01	0.0	0.37	126.12	80.01	128.79	66.18	95.34	226.54	79.45	101.54	189.02	142.01	107.38	57.89	291.04	161.02	127.89	226.54	176.29	204.07	107.38	171.45	128.79	98.73	98.73	106.63
