	GTEX.11P82.0426.SM.5HL5D	GTEX.13O61.1226.SM.5KM21	GTEX.11EQ9.0926.SM.5HL6I	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.BR.6803.01A.11R.1884.13	TCGA.BR.7703.01A.11R.2055.13	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.D7.6521.01A.11R.1802.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.6802.01A.11R.1884.13	TCGA.CG.4476.01A.01R.1157.13	TCGA.BR.8588.01A.11R.2402.13	TCGA.CG.4301.01A.01R.1157.13	TCGA.BR.6564.11A.01R.1884.13	TCGA.BR.7716.11A.01R.2055.13	TCGA.BR.7704.11A.01R.2055.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.HU.A4GP.11A.21R.A251.31	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.BR.6852.11A.01R.1884.13	TCGA.HU.A4G3.11A.11R.A24K.31	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13	GTEX.XBEW.1826.SM.4RTWX	GTEX.RU1J.0526.SM.46MUT	GTEX.TKQ2.0926.SM.4DXU5	GTEX.UPIC.1826.SM.4IHKC	GTEX.S7SF.0626.SM.4AD4V
PPP1R3C	2351.53	521.76	1857.6	0.0	0.22	559.28	5.54	126.12	104.42	94.01	17.0	106.63	143.01	182.55	246.28	199.85	181.28	312.0	236.21	96.01	796.86	190.34	159.9	101.54	1225.22	201.25	190.34	579.04	1883.54	5479.15	3515.68	2133.97
PRDM11	323.03	312.0	444.72	0.0	0.41	361.04	92.05	115.16	96.01	105.15	68.55	61.25	81.71	49.21	185.11	115.16	403.5	149.12	93.35	84.63	343.89	88.26	50.63	69.03	417.77	44.25	113.56	214.27	555.41	312.0	339.14	400.71
PRELP	1757.34	3081.75	1250.98	0.0	0.53	2004.85	35.5	571.05	356.05	80.57	55.89	285.03	438.59	239.52	830.75	624.99	2303.12	684.02	38.4	295.11	3690.52	450.94	81.71	8.51	2434.5	206.94	457.25	1023.0	4869.99	4388.98	4010.71	3874.05
PRICKLE2	551.56	503.95	591.22	50.63	91.41	591.22	10.47	147.06	93.35	39.79	42.41	182.55	177.53	93.35	256.78	193.01	674.59	285.03	82.87	120.1	1268.46	60.39	48.52	42.71	1870.53	75.11	134.3	262.2	1051.79	1313.23	915.51	1051.79
PRKAA2	332.14	161.02	255.0	0.0	0.36	69.52	1.17	31.45	10.55	8.71	4.43	14.67	19.53	22.59	43.32	41.52	98.04	56.28	40.07	17.64	316.37	25.35	17.13	18.29	371.22	38.4	46.5	96.01	802.41	480.04	612.11	595.34
PRKAR2B	1135.2	775.05	1639.59	0.0	0.47	151.22	24.28	260.38	105.89	81.14	35.25	151.22	169.07	114.36	205.5	285.03	395.18	231.32	151.22	170.25	1242.34	332.14	166.73	123.5	642.59	176.29	265.87	348.71	1832.01	514.56	5006.93	1857.6
PRNP	2796.65	2573.36	2956.17	0.0	0.91	4419.52	392.44	1295.13	872.1	674.59	669.92	1242.34	1242.34	1030.12	1844.76	2303.12	6164.49	3589.58	651.58	1268.46	10014.87	1268.46	854.13	830.75	11035.54	954.43	2303.12	2720.15	6983.79	8598.28	8963.45	6840.04
PRUNE2	6983.79	5711.87	10296.45	0.0	0.43	2555.58	53.19	420.68	155.5	88.26	98.04	579.04	947.83	182.55	921.88	785.88	2271.4	1143.1	178.77	305.55	8658.09	244.57	186.4	82.87	7911.95	150.17	563.18	2193.99	9808.75	6792.79	14561.8	9474.59
PTCHD1	53.57	67.59	44.57	0.0	0.0	119.26	0.38	1.1	5.92	13.03	1.01	1.83	9.41	1.57	46.18	15.8	134.3	29.7	2.46	7.46	253.23	1.28	0.66	2.97	305.55	1.79	12.36	46.84	217.27	190.34	103.69	206.94
RAB23	860.08	567.1	743.43	0.0	0.13	1407.55	115.97	329.84	167.9	81.71	186.4	412.0	395.18	287.01	232.94	409.15	642.59	271.48	137.14	129.69	1781.89	159.9	112.77	127.0	2255.7	78.34	253.23	503.95	1529.73	1015.93	1806.78	1617.0
RAB9B	249.73	125.24	96.68	0.0	0.2	86.43	1.14	36.27	33.78	9.56	3.26	21.94	37.59	40.07	34.02	36.27	69.52	52.08	15.22	15.45	232.94	28.65	12.83	8.78	229.72	17.13	31.0	105.15	189.02	381.68	363.56	281.09
RBM24	241.19	166.73	218.79	0.0	0.2	113.56	3.53	23.93	10.24	3.59	3.06	10.96	37.85	16.63	64.34	64.34	113.56	110.43	9.63	22.26	420.68	31.9	11.82	4.98	320.8	14.67	35.0	83.45	532.74	215.77	688.78	674.59
REEP2	463.65	470.14	361.04	0.0	0.37	466.88	11.82	51.71	39.5	17.77	25.72	60.82	83.45	16.15	187.71	167.9	713.11	258.57	15.91	54.33	1096.5	75.64	33.06	14.56	961.07	28.45	208.38	414.87	1167.14	1066.48	1322.37	780.44
RGMA	2351.53	4038.61	3168.41	0.0	0.69	3190.46	72.52	587.13	728.11	166.73	305.55	406.31	595.34	111.99	1295.13	1183.45	4210.15	1437.15	123.5	351.14	6652.97	764.36	185.11	77.25	6164.49	166.73	1023.0	1963.57	9945.68	7433.4	8078.22	6983.79
RNF150	514.56	295.11	379.04	0.0	0.26	285.03	2.86	93.35	36.79	7.28	13.83	55.1	50.63	28.65	114.36	76.17	356.05	175.07	10.39	30.34	947.83	46.5	15.45	5.82	974.5	19.39	77.25	194.36	848.22	1001.93	753.83	718.08
RP11-122A3.2	819.3	708.18	1030.12	0.0	0.46	397.93	6.67	59.13	32.13	21.63	18.97	81.71	172.65	34.02	151.22	199.85	514.56	202.66	27.64	53.95	1519.15	87.03	29.06	35.25	1870.53	23.59	305.55	400.71	1437.15	1135.2	1127.35	1191.69
RRAGA	2287.2	2335.28	2032.85	0.0	0.61	1794.29	1088.92	1143.1	921.88	1208.34	1044.52	1191.69	1685.71	1191.69	1529.73	1529.73	1909.85	1467.37	1331.57	1551.09	2537.92	1378.57	1277.29	1286.18	2502.97	1037.29	1605.83	1977.24	2895.31	3081.75	3103.19	2935.74
RYR3	99.43	72.52	69.03	0.0	0.32	31.0	1.58	12.0	1.38	4.78	1.19	9.93	42.41	9.85	39.22	24.28	92.7	30.12	6.01	5.06	253.23	3.41	10.47	9.27	267.73	1.97	32.13	68.55	118.43	152.28	239.52	166.73
SDPR	2090.03	848.22	1457.23	0.0	0.31	830.75	55.1	332.14	144.01	87.03	74.06	226.54	273.37	128.79	579.04	543.96	981.29	551.56	273.37	309.83	1498.22	420.68	208.38	181.28	1378.57	275.28	507.46	656.11	4671.57	1199.98	3325.99	2739.08
SLC2A4	2255.7	1175.27	1662.49	0.0	0.44	595.34	24.99	60.82	27.84	32.13	16.15	42.11	91.41	11.38	253.23	242.88	361.04	234.57	40.93	72.52	1572.76	80.57	42.11	44.89	2119.22	88.26	103.69	490.14	2664.15	2119.22	5366.37	2573.36
SLC4A3	100.83	248.0	156.59	0.0	0.62	91.41	6.11	16.63	34.51	22.92	45.21	16.63	31.45	28.65	57.89	47.84	181.28	55.89	21.47	41.81	185.11	33.78	13.62	19.39	152.28	21.16	40.07	65.26	215.77	500.46	141.02	303.44
SLC8A1	454.09	206.94	241.19	0.0	0.24	197.09	17.13	69.03	91.41	30.34	35.0	159.9	63.45	143.01	114.36	130.6	127.0	120.94	49.91	88.26	688.78	35.25	29.48	42.11	796.86	46.5	45.53	145.02	878.17	403.5	1417.35	842.36
SLC8A2	166.73	115.16	120.94	0.0	0.2	202.66	0.0	3.96	8.45	13.83	4.31	6.26	21.16	27.05	66.18	45.53	97.36	112.77	9.56	10.96	269.6	3.72	14.45	1.45	256.78	13.93	21.94	63.0	514.56	285.03	379.04	327.56
SLMAP	5147.73	3419.52	5292.48	0.0	0.32	5831.91	426.57	967.76	567.1	591.22	1191.69	896.64	1119.56	780.44	1427.22	1477.58	3742.05	1322.37	540.19	688.78	8901.53	571.05	457.25	525.39	11745.96	366.09	1242.34	2816.11	5791.62	4328.55	5403.7	4450.27
SOBP	387.02	301.33	412.0	0.0	0.3	242.88	59.97	147.06	47.5	94.67	22.1	84.63	81.71	25.54	137.14	126.12	361.04	141.02	92.7	68.55	651.58	88.88	70.51	52.08	629.35	84.63	112.77	175.07	791.35	629.35	563.18	688.78
SPOP	1781.89	1487.87	1639.59	769.69	264.03	2855.44	473.41	1008.9	785.88	780.44	486.75	884.29	1001.93	703.28	1151.06	1104.13	1721.16	1498.22	780.44	796.86	3060.45	848.22	693.58	708.18	2997.45	796.86	1135.2	1697.45	4450.27	2018.8	3491.39	2384.37
STON1	1242.34	1359.57	961.07	0.0	0.57	708.18	20.26	215.77	126.12	33.3	56.28	201.25	244.57	155.5	376.41	241.19	860.08	295.11	58.71	116.78	2537.92	85.22	49.56	33.06	2645.74	33.3	299.25	607.87	1781.89	1437.15	1540.37	1674.06
SVIL	5954.47	4802.93	7537.18	0.0	0.64	6652.97	208.38	579.04	279.14	205.5	232.94	866.07	2224.63	271.48	2163.77	1896.65	5255.91	2367.9	125.24	660.68	15180.22	209.84	279.14	166.73	19892.37	82.29	1199.98	3349.13	8963.45	8022.41	10808.41	11909.94
SYDE2	128.79	76.71	175.07	0.0	0.01	98.73	24.63	55.49	20.56	25.54	22.75	48.52	61.68	34.75	47.5	61.25	98.73	54.72	42.41	28.86	327.56	16.15	17.13	18.16	309.83	11.82	22.43	96.68	358.54	150.17	154.42	206.94
SYNM	16960.78	10883.59	13968.57	0.0	0.47	7749.1	26.28	249.73	212.78	55.89	144.01	381.68	1685.71	104.42	2451.44	3443.31	7966.99	3515.68	90.14	638.15	26431.04	239.52	84.04	29.7	29327.18	111.99	1781.89	6516.03	25530.66	15934.98	29943.43	16496.96
SYNPO2	12160.22	9279.58	12853.63	0.0	0.43	12676.65	52.82	1023.0	373.81	190.34	295.11	1001.93	1909.85	334.46	3235.01	2133.97	5913.33	2895.31	397.93	1081.39	14561.8	665.29	329.84	279.14	19348.38	412.0	1733.13	6792.79	47974.16	12244.81	28132.47	22692.63
TACR2	3060.45	1674.06	2351.53	0.0	0.05	3395.89	15.0	20.26	25.72	14.78	14.67	95.34	429.54	17.25	490.14	872.1	1819.35	947.83	15.91	56.28	5831.91	16.15	20.71	7.94	5255.91	19.11	463.65	1745.2	4543.8	3901.01	6983.79	3982.99
TCEAL2	1477.58	1498.22	1340.84	0.0	0.27	476.71	9.06	129.69	98.04	12.09	19.39	72.52	189.02	19.53	314.17	361.04	1286.18	373.81	30.78	104.42	2485.67	119.26	67.59	19.68	2627.46	8.19	540.19	981.29	2555.58	2835.7	3443.31	2875.3
TEAD1	791.35	733.19	961.07	0.0	0.43	595.34	118.43	307.69	281.09	139.07	260.38	366.09	460.44	339.14	314.17	251.48	698.41	420.68	209.84	167.9	1950.0	98.04	140.04	92.7	2502.97	171.45	187.71	612.11	1819.35	1397.83	1001.93	1467.37
TMEM252	183.82	110.43	132.44	0.0	0.0	91.41	0.8	10.16	1.69	2.81	3.2	21.94	25.17	2.53	60.39	43.94	104.42	64.34	4.9	30.12	511.0	13.72	5.06	0.0	454.09	4.13	24.63	102.97	780.44	642.59	579.04	791.35
TMEM35	647.07	195.72	176.29	0.0	0.11	253.23	1.58	22.1	27.25	1.39	2.23	29.7	44.57	9.56	117.6	140.04	314.17	231.32	12.83	33.06	1081.39	31.9	13.22	5.32	1030.12	14.56	129.69	289.02	679.29	1617.0	1066.48	954.43
TSHZ1	366.09	441.64	285.03	104.42	78.34	703.28	121.79	212.78	246.28	134.3	131.51	226.54	205.5	177.53	497.0	307.69	647.07	397.93	175.07	301.33	1051.79	175.07	153.34	92.7	1073.91	145.02	194.36	392.44	961.07	1322.37	1008.9	961.07
TSPAN18	1628.26	738.29	1096.5	194.36	87.03	1605.83	45.21	232.94	182.55	117.6	136.19	281.09	444.72	177.53	444.72	457.25	928.3	693.58	120.1	232.94	2997.45	228.13	172.65	94.01	2591.27	103.69	242.88	819.3	3103.19	2061.24	2335.28	1447.15
TSPAN2	1304.15	995.0	941.27	0.0	0.22	759.08	20.86	180.02	189.02	69.03	82.29	521.76	406.31	170.25	316.37	536.45	733.19	547.75	107.38	271.48	2664.15	144.01	77.25	108.14	3303.0	138.1	353.59	532.74	2018.8	3768.09	3060.45	1991.0
TUB	226.54	142.01	138.1	0.0	0.46	67.12	2.27	57.49	18.97	14.14	5.77	42.11	37.32	18.29	69.03	50.63	151.22	64.34	31.67	34.02	206.94	36.27	15.34	10.0	165.57	22.75	39.79	99.43	267.73	295.11	503.95	212.78
WFIKKN2	5.41	13.83	7.34	0.0	0.0	6.84	0.0	0.57	1.91	0.0	0.41	0.45	0.49	0.0	6.46	2.51	19.97	5.23	4.24	3.5	24.46	1.01	1.22	0.0	17.25	0.0	5.59	10.63	13.93	46.18	18.16	16.88
WLS	4607.24	3768.09	4972.34	0.0	0.82	2555.58	620.67	995.0	1167.14	1073.91	638.15	1487.87	1066.48	1467.37	1233.75	2018.8	2682.69	2047.0	1870.53	1151.06	3515.68	872.1	1359.57	1088.92	4268.94	1159.07	1259.69	1208.34	6207.38	8840.04	8421.31	5441.3
ZNF135	198.47	105.15	131.51	0.0	0.38	62.12	8.32	54.72	22.26	18.03	11.55	57.49	27.64	40.93	36.79	38.67	108.9	73.03	30.78	17.64	172.65	31.67	23.76	11.55	166.73	22.59	41.22	85.82	120.1	226.54	327.56	217.27
ZSCAN18	2915.45	2061.24	2133.97	0.0	0.92	1081.39	98.04	785.88	368.65	301.33	152.28	376.41	420.68	226.54	819.3	995.0	1977.24	1151.06	629.35	480.04	2682.69	775.05	607.87	361.04	2627.46	353.59	802.41	1594.73	3491.39	3081.75	7485.11	4671.57
