	GTEX.ZF2S.2026.SM.5E461	GTEX.11P81.1926.SM.5BC53	GTEX.ZC5H.2626.SM.5J2MG	GTEX.WXYG.2226.SM.4E3IM	GTEX.139TT.0726.SM.5K7XW	GTEX.14ABY.1126.SM.5Q5F8	GTEX.145MH.0626.SM.5NQAK	GTEX.O5YW.0526.SM.2YUMX	GTEX.Y5V5.0826.SM.4VBQD	GTEX.12584.1426.SM.5EGJ9	GTEX.T5JC.0826.SM.32PMC	GTEX.PVOW.1026.SM.2XCF9	GTEX.13OVH.1026.SM.5J2NP	GTEX.11NSD.0326.SM.5A5LS	GTEX.YFC4.1126.SM.5RQJN	GTEX.XBEC.1026.SM.4QASM	GTEX.Y111.1026.SM.4TT22	GTEX.11P7K.0326.SM.59871	GTEX.OXRN.0526.SM.2I5EN	GTEX.147F4.0926.SM.5Q5EO	GTEX.WZTO.0426.SM.3NM99	GTEX.X585.1026.SM.46MW6	GTEX.12WSE.0826.SM.5S2VL	GTEX.11PRG.0926.SM.5EGI8	GTEX.11WQC.0626.SM.5EQMF	GTEX.13O61.0726.SM.5J2MD	GTEX.TML8.0326.SM.4GICN	GTEX.P4PQ.0526.SM.2HMKR	GTEX.11EI6.0826.SM.5985V	GTEX.14E7W.1326.SM.5RQIV	GTEX.RWSA.1126.SM.2XCAZ	GTEX.131YS.0926.SM.5IJB9	GTEX.117YX.1326.SM.5H125	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11GSP.0726.SM.5986L	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FHP.0726.SM.5K7YI	GTEX.WYJK.0826.SM.3NM8Y	GTEX.13O21.3026.SM.5J2NI	GTEX.13FLV.0426.SM.5KLZA	GTEX.1122O.0126.SM.5GICA	GTEX.13QJ3.1026.SM.5QGQU	GTEX.13VXT.1426.SM.5LU4B	GTEX.13N1W.0726.SM.5MR57	GTEX.T6MN.0826.SM.32PM4	GTEX.WRHU.0226.SM.3MJFV	GTEX.ZE7O.0826.SM.57WCP	GTEX.13VXU.2726.SM.5LU4N	GTEX.13O3Q.0526.SM.5KM18	GTEX.ZTPG.0926.SM.5O99H	GTEX.ZDTT.0926.SM.5J2MS	GTEX.11NUK.0826.SM.5HL4U	GTEX.13OW6.0826.SM.5L3GA	GTEX.N7MS.0926.SM.2HMIZ	GTEX.ZVZQ.1526.SM.5N9G6	GTEX.11O72.1326.SM.5BC5A	GTEX.14DAR.0226.SM.5S2PR	GTEX.ZYT6.0526.SM.5GIEA	GTEX.Q2AG.1026.SM.33HBW	GTEX.139UW.0226.SM.5K7WU	GTEX.YJ8O.1826.SM.5HL82	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.146FH.1226.SM.5NQB6	GTEX.QEG4.0526.SM.48TZD	GTEX.XOT4.1426.SM.4B65T	GTEX.QCQG.0326.SM.2I3ES	GTEX.12WSA.1026.SM.5EGHN	GTEX.13G51.0426.SM.5K7Z5	GTEX.13NYB.0626.SM.5MR47	GTEX.11OF3.1126.SM.5986C	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.144GO.0226.SM.5LUB1	GTEX.OHPM.0526.SM.2YUMJ
DCPS	275.28	373.81	435.55	651.58	107.38	180.02	438.59	312.0	309.83	223.41	251.48	329.84	186.4	441.64	232.94	224.97	381.68	366.09	218.79	120.1	147.06	316.37	334.46	397.93	101.54	466.88	454.09	343.89	208.38	134.3	211.31	343.89	275.28	358.54	113.56	271.48	76.71	191.67	323.03	323.03	156.59	307.69	291.04	435.55	180.02	187.71	126.12	470.14	102.25	115.16	647.07	303.44	269.6	187.71	161.02	262.2	293.07	339.14	361.04	110.43	155.5	400.71	323.03	363.56	595.34	206.94	180.02	420.68	234.57	221.86	202.66	60.82	176.29	146.03	111.99	329.84
DNAAF2	258.57	159.9	265.87	173.85	75.64	103.69	279.14	98.73	108.9	45.53	47.5	107.38	69.03	204.07	76.71	98.04	159.9	140.04	65.26	32.82	80.01	90.77	106.63	73.03	105.15	128.79	155.5	126.12	57.49	38.67	66.18	141.02	154.42	132.44	58.3	67.59	40.07	100.13	55.49	142.01	44.89	96.68	123.5	289.02	60.82	66.18	96.68	186.4	35.25	39.22	129.69	150.17	78.89	131.51	42.11	107.38	67.12	115.97	155.5	66.65	73.03	137.14	75.64	134.3	125.24	75.64	54.72	108.9	108.9	49.91	55.1	75.11	75.64	41.81	71.5	155.5
DNAJC19	1037.29	1037.29	902.89	860.08	269.6	738.29	1216.75	748.61	866.07	361.04	595.34	1015.93	281.09	902.89	638.15	583.07	1508.65	1572.76	423.61	167.9	395.18	896.64	1199.98	1199.98	189.02	1088.92	1111.82	1199.98	435.55	212.78	221.86	1001.93	1119.56	1477.58	258.57	325.29	80.01	559.28	1199.98	1427.22	138.1	1111.82	830.75	854.13	514.56	629.35	476.71	2075.59	167.9	327.56	674.59	941.27	713.11	395.18	241.19	1119.56	423.61	830.75	1529.73	547.75	384.34	1477.58	620.67	842.36	1388.16	896.64	366.09	1111.82	1119.56	358.54	417.77	101.54	363.56	211.31	183.82	332.14
DNAJC30	211.31	209.84	193.01	277.2	70.01	84.04	211.31	189.02	159.9	57.49	94.67	120.1	92.05	236.21	116.78	113.56	172.65	264.03	114.36	71.0	74.06	208.38	206.94	181.28	63.45	251.48	260.38	262.2	92.7	64.8	129.69	221.86	249.73	158.79	62.56	128.79	47.84	109.66	215.77	285.03	88.88	244.57	208.38	251.48	138.1	104.42	84.04	211.31	28.65	51.35	145.02	228.13	130.6	146.03	62.12	101.54	87.03	256.78	199.85	49.21	132.44	202.66	173.85	158.79	220.32	119.26	84.63	248.0	110.43	65.72	80.01	36.01	94.01	80.01	42.41	166.73
DNAL4	738.29	466.88	830.75	521.76	232.94	435.55	1721.16	660.68	463.65	236.21	518.15	490.14	283.05	947.83	457.25	397.93	808.0	791.35	346.29	177.53	228.13	612.11	842.36	616.37	220.32	854.13	785.88	915.51	287.01	273.37	229.72	575.03	633.73	915.51	366.09	260.38	166.73	297.17	651.58	808.0	204.07	633.73	796.86	928.3	314.17	287.01	348.71	1519.15	180.02	262.2	624.99	684.02	457.25	275.28	255.0	444.72	287.01	603.67	947.83	273.37	287.01	896.64	698.41	759.08	624.99	389.72	264.03	759.08	473.41	285.03	463.65	128.79	269.6	185.11	198.47	438.59
DYNC1LI1	1073.91	134.3	620.67	1059.11	389.72	457.25	470.14	660.68	595.34	366.09	521.76	733.19	323.03	674.59	476.71	603.67	575.03	647.07	493.56	305.55	486.75	738.29	684.02	536.45	463.65	684.02	679.29	587.13	412.0	376.41	813.63	583.07	738.29	656.11	389.72	536.45	264.03	521.76	947.83	493.56	403.5	607.87	567.1	775.05	420.68	387.02	490.14	525.39	334.46	389.72	638.15	698.41	470.14	579.04	400.71	412.0	503.95	713.11	587.13	728.11	470.14	603.67	669.92	551.56	728.11	497.0	371.22	669.92	525.39	389.72	348.71	389.72	503.95	463.65	341.51	684.02
DYRK4	941.27	764.36	1199.98	1030.12	791.35	1286.18	1350.18	295.11	693.58	215.77	536.45	915.51	624.99	1477.58	327.56	988.12	1208.34	1674.06	521.76	287.01	450.94	825.0	1388.16	1008.9	599.49	575.03	902.89	1175.27	860.08	444.72	327.56	1015.93	665.29	866.07	314.17	457.25	583.07	884.29	607.87	796.86	379.04	718.08	872.1	620.67	567.1	764.36	406.31	1487.87	514.56	587.13	921.88	660.68	796.86	674.59	551.56	796.86	511.0	743.43	1216.75	642.59	764.36	1477.58	417.77	830.75	1096.5	633.73	384.34	748.61	493.56	454.09	547.75	599.49	312.0	358.54	138.1	547.75
EHHADH	221.86	607.87	187.71	339.14	27.84	55.1	172.65	198.47	115.97	40.93	58.71	162.14	47.17	176.29	84.04	65.72	157.68	165.57	55.1	14.78	37.05	129.69	120.1	99.43	21.78	161.02	202.66	242.88	34.75	33.78	55.89	180.02	155.5	218.79	12.0	40.07	5.82	34.02	114.36	157.68	47.17	163.28	122.64	202.66	48.52	58.71	72.52	156.59	37.59	26.28	84.63	187.71	73.03	47.17	21.63	57.08	46.84	116.78	149.12	53.95	59.97	115.97	122.64	153.34	143.01	69.52	31.45	177.53	127.0	51.35	16.75	24.11	50.63	33.54	28.45	88.88
EIF2AK1	3716.2	2367.9	1896.65	1870.53	571.05	1572.76	1340.84	1594.73	1127.35	435.55	981.29	1437.15	819.3	1388.16	571.05	669.92	1066.48	1135.2	674.59	1015.93	713.11	1447.15	819.3	981.29	511.0	1135.2	1674.06	1167.14	571.05	748.61	1216.75	1397.83	2209.26	1066.48	660.68	656.11	417.77	921.88	1551.09	1191.69	738.29	1487.87	1066.48	1331.57	1313.23	848.22	1447.15	1286.18	703.28	599.49	1561.89	1331.57	1066.48	1540.37	921.88	1331.57	607.87	1167.14	1498.22	629.35	1127.35	1119.56	974.5	1721.16	1313.23	896.64	521.76	1487.87	1378.57	738.29	928.3	620.67	1111.82	961.07	802.41	1001.93
EIF2B1	954.43	1417.35	1008.9	1208.34	264.03	493.56	928.3	612.11	713.11	246.28	571.05	836.53	426.57	775.05	507.46	567.1	866.07	890.44	486.75	264.03	395.18	638.15	872.1	567.1	368.65	819.3	928.3	785.88	500.46	397.93	616.37	1001.93	780.44	988.12	262.2	432.53	165.57	412.0	698.41	902.89	316.37	825.0	738.29	921.88	575.03	395.18	466.88	819.3	348.71	343.89	775.05	743.43	674.59	536.45	339.14	575.03	466.88	769.69	848.22	473.41	450.94	934.76	679.29	674.59	854.13	583.07	521.76	743.43	665.29	358.54	293.07	165.57	358.54	368.65	320.8	563.18
ELP6	902.89	674.59	599.49	748.61	231.32	395.18	651.58	595.34	493.56	204.07	595.34	466.88	299.25	693.58	312.0	470.14	679.29	693.58	295.11	223.41	283.05	575.03	703.28	607.87	204.07	616.37	674.59	759.08	327.56	251.48	400.71	642.59	616.37	620.67	180.02	473.41	231.32	351.14	529.06	743.43	348.71	733.19	616.37	698.41	543.96	420.68	320.8	555.41	206.94	208.38	567.1	669.92	500.46	346.29	295.11	341.51	241.19	603.67	753.83	248.0	403.5	587.13	518.15	551.56	591.22	457.25	316.37	693.58	591.22	265.87	301.33	201.25	281.09	269.6	206.94	463.65
ENOX2	214.27	176.29	156.59	271.48	78.34	92.05	228.13	178.77	123.5	71.5	84.04	155.5	70.51	126.12	85.22	67.12	190.34	120.1	75.64	42.41	65.26	172.65	138.1	140.04	43.32	169.07	128.79	123.5	97.36	51.71	87.65	173.85	159.9	122.64	39.79	57.49	32.13	76.71	109.66	153.34	65.72	142.01	116.78	153.34	91.41	98.04	117.6	136.19	24.46	31.9	183.82	194.36	101.54	70.51	63.89	84.04	91.41	119.26	155.5	76.71	75.11	151.22	117.6	99.43	110.43	115.16	77.79	124.37	141.02	103.69	37.32	28.45	64.34	92.7	46.18	215.77
ERCC8	182.55	208.38	169.07	178.77	47.84	108.14	153.34	80.01	111.99	35.76	92.7	156.59	53.95	94.67	68.55	80.57	156.59	113.56	84.04	41.81	77.25	177.53	136.19	106.63	82.87	128.79	111.21	87.65	55.89	81.14	120.1	271.48	116.78	173.85	34.02	110.43	24.28	68.55	63.45	156.59	55.49	94.67	176.29	144.01	85.82	99.43	83.45	180.02	46.5	55.89	121.79	94.67	66.65	122.64	52.82	102.97	102.97	105.15	182.55	81.14	65.72	127.89	103.69	133.36	80.57	65.72	78.34	94.01	103.69	96.01	64.8	53.57	73.03	111.21	43.94	108.14
EXOSC1	669.92	941.27	796.86	860.08	320.8	684.02	896.64	400.71	555.41	339.14	547.75	738.29	599.49	808.0	432.53	460.44	802.41	753.83	698.41	269.6	473.41	651.58	769.69	563.18	536.45	808.0	775.05	878.17	490.14	358.54	463.65	738.29	688.78	866.07	400.71	346.29	291.04	551.56	555.41	934.76	334.46	808.0	1015.93	759.08	642.59	387.02	532.74	842.36	389.72	521.76	785.88	669.92	536.45	412.0	444.72	583.07	503.95	884.29	941.27	412.0	748.61	780.44	743.43	718.08	1008.9	450.94	454.09	555.41	486.75	334.46	656.11	264.03	543.96	518.15	764.36	536.45
FAIM	629.35	669.92	299.25	412.0	171.45	281.09	708.18	307.69	285.03	145.02	293.07	417.77	155.5	616.37	341.51	189.02	379.04	563.18	217.27	103.69	116.78	334.46	435.55	460.44	122.64	457.25	583.07	493.56	193.01	147.06	307.69	395.18	665.29	511.0	98.04	195.72	111.21	118.43	403.5	476.71	204.07	429.54	447.82	693.58	224.97	185.11	289.02	620.67	95.34	73.54	389.72	473.41	279.14	260.38	128.79	258.57	226.54	551.56	555.41	176.29	269.6	514.56	417.77	466.88	503.95	141.02	133.36	371.22	384.34	142.01	132.44	92.05	126.12	154.42	99.43	368.65
FAM103A1	607.87	599.49	624.99	616.37	176.29	314.17	381.68	403.5	332.14	127.89	239.52	426.57	183.82	473.41	221.86	258.57	476.71	480.04	228.13	148.09	144.01	256.78	389.72	215.77	242.88	387.02	483.38	563.18	131.51	209.84	389.72	373.81	547.75	423.61	113.56	287.01	158.79	255.0	392.44	460.44	226.54	547.75	323.03	563.18	305.55	209.84	303.44	417.77	191.67	132.44	348.71	507.46	281.09	371.22	162.14	281.09	226.54	497.0	514.56	197.09	392.44	358.54	244.57	476.71	384.34	199.85	153.34	457.25	371.22	165.57	273.37	224.97	285.03	176.29	206.94	432.53
FAM78B	40.07	32.36	47.17	37.32	3.72	9.2	70.01	11.04	14.56	3.41	9.85	28.86	3.06	17.9	6.16	7.69	36.01	8.45	4.9	3.23	12.45	31.67	38.95	38.4	4.43	7.69	21.78	31.9	13.62	0.0	2.73	38.12	11.91	34.02	4.35	1.91	2.23	10.96	6.78	13.32	2.03	11.47	28.45	16.27	7.88	11.73	8.99	32.82	1.08	2.92	10.63	13.62	4.98	6.57	5.32	7.69	5.63	3.06	24.99	7.46	0.69	48.52	20.56	13.93	14.67	16.51	4.21	18.7	17.51	5.5	18.84	0.0	3.72	13.03	0.72	14.03
FANCF	269.6	205.5	309.83	205.5	38.95	96.68	165.57	55.49	81.71	17.9	44.57	63.0	33.3	111.21	27.25	76.71	120.94	106.63	56.28	20.71	50.98	139.07	86.43	47.84	51.35	81.71	117.6	111.21	48.52	16.88	59.55	117.6	127.89	144.01	49.56	33.3	20.26	59.13	50.98	120.94	47.5	92.7	121.79	113.56	40.64	56.68	75.11	171.45	22.59	50.27	102.97	120.1	64.8	75.64	28.65	61.25	35.5	106.63	126.12	51.35	49.91	92.05	50.98	105.89	122.64	63.89	27.44	77.79	98.73	30.56	48.87	25.17	43.32	41.81	55.89	107.38
FCF1	1350.18	1437.15	1519.15	1369.04	312.0	559.28	1111.82	595.34	679.29	255.0	353.59	1044.52	318.57	896.64	551.56	346.29	954.43	665.29	406.31	387.02	289.02	791.35	656.11	612.11	336.79	808.0	967.76	819.3	447.82	466.88	1073.91	1242.34	974.5	860.08	224.97	409.15	118.43	432.53	656.11	848.22	423.61	713.11	728.11	1183.45	579.04	336.79	521.76	854.13	279.14	220.32	974.5	878.17	665.29	575.03	226.54	521.76	723.08	896.64	909.17	400.71	447.82	866.07	503.95	808.0	909.17	417.77	356.05	753.83	575.03	473.41	295.11	209.84	395.18	358.54	301.33	981.29
FUNDC1	947.83	423.61	624.99	438.59	138.1	299.25	414.87	194.36	265.87	98.04	150.17	339.14	124.37	351.14	129.69	242.88	361.04	486.75	157.68	102.25	153.34	285.03	381.68	348.71	90.77	327.56	389.72	397.93	164.42	118.43	271.48	532.74	384.34	371.22	119.26	172.65	52.45	217.27	334.46	384.34	158.79	373.81	361.04	444.72	199.85	165.57	205.5	567.1	117.6	96.68	267.73	320.8	220.32	197.09	115.16	221.86	139.07	314.17	543.96	156.59	197.09	500.46	239.52	473.41	379.04	165.57	157.68	289.02	332.14	111.99	171.45	82.87	175.07	108.9	115.97	208.38
GDPD1	229.72	140.04	147.06	55.1	17.13	77.79	92.7	146.03	36.53	4.39	24.28	56.68	18.7	145.02	35.0	73.54	63.0	84.04	23.25	1.36	40.64	127.0	61.68	19.82	19.25	114.36	148.09	131.51	49.91	42.71	24.81	84.63	111.21	156.59	21.01	12.09	2.86	51.35	64.8	189.02	25.91	78.89	73.03	223.41	16.63	36.27	53.95	103.69	13.52	63.0	50.98	120.1	60.39	11.82	17.25	37.05	9.78	31.9	112.77	100.83	18.29	60.82	63.45	102.25	70.51	40.07	35.76	30.56	104.42	21.94	30.56	7.69	53.95	22.75	18.16	39.22
GEMIN2	420.68	334.46	395.18	202.66	75.64	183.82	307.69	122.64	133.36	24.46	157.68	239.52	78.89	244.57	163.28	167.9	309.83	232.94	220.32	72.01	90.77	228.13	287.01	189.02	69.52	239.52	237.86	265.87	92.7	88.26	115.16	236.21	165.57	318.57	38.4	69.03	37.32	167.9	156.59	170.25	85.82	191.67	262.2	267.73	74.06	176.29	88.88	483.38	62.56	81.71	206.94	249.73	106.63	172.65	102.97	152.28	138.1	249.73	307.69	157.68	171.45	373.81	61.68	220.32	269.6	209.84	73.54	156.59	132.44	65.72	198.47	50.98	123.5	72.52	72.01	109.66
GGACT	126.12	137.14	105.89	136.19	17.51	54.33	53.19	105.89	54.33	37.32	47.5	37.59	46.5	156.59	110.43	65.26	163.28	104.42	25.72	26.86	40.93	116.78	155.5	89.51	3.14	72.52	90.14	100.13	48.87	44.89	47.5	121.79	54.33	131.51	24.11	71.0	16.39	35.0	89.51	139.07	52.08	109.66	183.82	81.71	77.25	27.64	44.89	99.43	15.11	12.74	63.45	117.6	82.29	64.8	25.35	55.1	34.02	97.36	100.83	18.16	40.07	115.97	90.77	94.67	81.71	89.51	60.82	81.14	71.0	74.58	78.89	49.21	29.27	65.26	14.24	75.11
GLE1	819.3	830.75	748.61	718.08	145.02	314.17	409.15	420.68	346.29	106.63	265.87	450.94	189.02	525.39	224.97	269.6	379.04	441.64	237.86	129.69	209.84	339.14	356.05	269.6	155.5	435.55	483.38	460.44	241.19	204.07	221.86	447.82	432.53	400.71	185.11	159.9	133.36	273.37	409.15	483.38	204.07	420.68	318.57	529.06	291.04	199.85	299.25	480.04	189.02	202.66	395.18	447.82	361.04	258.57	206.94	307.69	154.42	476.71	316.37	309.83	236.21	320.8	293.07	403.5	417.77	277.2	236.21	466.88	403.5	159.9	267.73	87.65	239.52	229.72	137.14	309.83
GLT8D1	2485.67	1561.89	1674.06	1561.89	759.08	1199.98	2163.77	1051.79	1037.29	480.04	1059.11	1519.15	575.03	1044.52	819.3	1096.5	1594.73	1561.89	890.44	518.15	748.61	1417.35	1685.71	1277.29	551.56	1159.07	1407.55	1467.37	921.88	607.87	961.07	1697.45	1233.75	1594.73	511.0	753.83	454.09	1407.55	1073.91	1340.84	656.11	1437.15	1662.49	1417.35	1051.79	896.64	1277.29	1909.85	555.41	733.19	1096.5	1225.22	1001.93	738.29	660.68	934.76	890.44	1081.39	1794.29	915.51	1073.91	1685.71	896.64	1304.15	1199.98	1304.15	825.0	1066.48	1268.46	743.43	1008.9	463.65	961.07	825.0	575.03	842.36
GOPC	866.07	780.44	587.13	633.73	161.02	273.37	384.34	277.2	341.51	90.77	158.79	473.41	159.9	361.04	258.57	253.23	420.68	339.14	186.4	120.94	224.97	334.46	429.54	255.0	237.86	299.25	376.41	346.29	181.28	100.83	241.19	490.14	406.31	511.0	127.0	138.1	76.71	204.07	297.17	368.65	139.07	287.01	305.55	358.54	173.85	197.09	264.03	366.09	140.04	172.65	264.03	332.14	279.14	211.31	165.57	209.84	255.0	277.2	376.41	283.05	198.47	384.34	248.0	381.68	329.84	244.57	166.73	309.83	279.14	129.69	186.4	111.21	172.65	161.02	143.01	239.52
GPN1	813.63	1066.48	878.17	872.1	389.72	417.77	785.88	698.41	633.73	239.52	460.44	860.08	275.28	759.08	1467.37	476.71	819.3	703.28	348.71	329.84	265.87	738.29	1015.93	674.59	318.57	629.35	872.1	733.19	212.78	309.83	624.99	813.63	769.69	693.58	195.72	470.14	232.94	493.56	723.08	669.92	366.09	860.08	718.08	791.35	497.0	356.05	441.64	713.11	172.65	217.27	902.89	651.58	457.25	733.19	379.04	406.31	476.71	808.0	872.1	323.03	497.0	647.07	493.56	748.61	775.05	358.54	277.2	718.08	679.29	368.65	267.73	420.68	397.93	389.72	209.84	872.1
GSPT2	454.09	267.73	249.73	693.58	5.15	67.12	161.02	129.69	102.97	30.56	55.89	88.26	32.59	277.2	38.12	86.43	191.67	339.14	77.25	16.88	80.57	185.11	84.63	35.5	62.56	215.77	327.56	450.94	69.03	33.06	108.9	195.72	264.03	155.5	17.0	37.05	18.29	101.54	204.07	307.69	30.56	265.87	159.9	346.29	53.57	75.11	85.22	205.5	46.5	57.89	105.15	316.37	94.67	102.25	43.63	78.34	65.26	253.23	165.57	76.71	81.71	78.34	127.0	162.14	211.31	86.43	30.56	346.29	163.28	28.86	38.4	27.44	74.06	38.12	48.87	218.79
HDAC8	460.44	334.46	381.68	325.29	204.07	314.17	299.25	361.04	262.2	197.09	194.36	373.81	211.31	318.57	255.0	241.19	327.56	441.64	161.02	131.51	223.41	297.17	205.5	256.78	187.71	305.55	353.59	457.25	267.73	224.97	361.04	450.94	438.59	299.25	115.97	206.94	101.54	258.57	348.71	395.18	154.42	348.71	293.07	414.87	241.19	237.86	299.25	361.04	124.37	106.63	339.14	348.71	403.5	193.01	144.01	312.0	178.77	291.04	366.09	234.57	209.84	297.17	368.65	376.41	226.54	223.41	206.94	318.57	423.61	305.55	122.64	104.42	159.9	220.32	169.07	260.38
HDDC3	450.94	595.34	842.36	387.02	153.34	460.44	599.49	435.55	435.55	293.07	353.59	603.67	209.84	665.29	303.44	277.2	638.15	819.3	256.78	198.47	212.78	583.07	547.75	500.46	101.54	651.58	633.73	830.75	185.11	260.38	255.0	511.0	441.64	480.04	127.89	248.0	171.45	309.83	486.75	819.3	279.14	583.07	595.34	555.41	267.73	205.5	244.57	884.29	158.79	102.25	376.41	521.76	441.64	339.14	126.12	336.79	212.78	748.61	629.35	142.01	358.54	511.0	638.15	693.58	620.67	373.81	193.01	529.06	432.53	223.41	314.17	100.13	277.2	177.53	224.97	332.14
HFE	490.14	860.08	878.17	660.68	139.07	136.19	323.03	214.27	241.19	88.26	130.6	166.73	85.82	361.04	138.1	159.9	500.46	232.94	67.12	58.71	156.59	420.68	264.03	170.25	53.19	154.42	389.72	371.22	118.43	162.14	228.13	466.88	209.84	332.14	95.34	115.97	40.93	139.07	151.22	251.48	201.25	237.86	289.02	356.05	66.18	135.24	135.24	231.32	77.79	93.35	91.41	190.34	332.14	198.47	110.43	126.12	106.63	150.17	346.29	138.1	125.24	305.55	167.9	397.93	246.28	209.84	120.94	299.25	135.24	221.86	92.7	118.43	138.1	205.5	42.71	202.66
HSD11B1L	264.03	301.33	295.11	125.24	139.07	264.03	890.44	191.67	202.66	84.04	197.09	84.63	36.79	249.73	117.6	167.9	305.55	318.57	80.57	47.5	231.32	265.87	215.77	356.05	92.7	406.31	163.28	191.67	134.3	79.45	113.56	251.48	135.24	301.33	155.5	96.01	130.6	169.07	173.85	218.79	117.6	242.88	323.03	403.5	84.63	121.79	127.89	909.17	30.78	104.42	55.1	297.17	191.67	83.45	93.35	208.38	93.35	132.44	323.03	79.45	105.15	361.04	417.77	189.02	211.31	221.86	175.07	255.0	289.02	108.9	215.77	111.99	105.89	108.9	94.01	99.43
IMP3	921.88	866.07	1159.07	1183.45	575.03	693.58	1119.56	928.3	928.3	417.77	450.94	718.08	532.74	1639.59	483.38	733.19	1268.46	1617.0	457.25	616.37	693.58	1331.57	967.76	1051.79	536.45	1313.23	1331.57	1225.22	373.81	312.0	738.29	1331.57	1508.65	896.64	329.84	420.68	470.14	759.08	921.88	1651.0	406.31	1397.83	1066.48	1628.26	620.67	669.92	579.04	1008.9	325.29	295.11	1051.79	1561.89	633.73	1073.91	521.76	514.56	708.18	1662.49	1225.22	389.72	921.88	1175.27	1216.75	1259.69	1359.57	860.08	293.07	1167.14	1331.57	514.56	660.68	733.19	647.07	379.04	753.83	1159.07
IPP	444.72	423.61	320.8	325.29	82.29	104.42	193.01	191.67	139.07	30.56	120.1	190.34	59.97	172.65	48.87	119.26	191.67	187.71	118.43	67.12	60.82	163.28	178.77	104.42	36.53	140.04	226.54	271.48	116.78	75.11	142.01	253.23	134.3	172.65	55.49	57.08	28.65	79.45	185.11	212.78	49.91	197.09	139.07	229.72	88.26	69.52	96.01	248.0	38.67	35.25	126.12	189.02	145.02	73.03	71.0	130.6	70.51	165.57	164.42	69.03	81.14	173.85	153.34	139.07	161.02	139.07	46.5	208.38	170.25	79.45	74.58	31.9	82.29	64.8	63.45	102.97
IRAK1BP1	156.59	194.36	120.1	146.03	20.11	47.5	212.78	111.21	75.64	17.13	30.78	105.89	21.63	77.79	36.53	36.79	81.14	186.4	29.27	23.42	45.21	86.43	92.05	45.21	15.0	98.73	60.82	139.07	34.75	45.53	54.72	120.94	102.97	153.34	37.32	13.12	5.59	38.12	50.27	218.79	32.82	93.35	38.12	162.14	68.55	18.03	76.17	249.73	9.13	21.16	41.81	157.68	84.04	30.78	26.47	23.76	25.35	87.65	114.36	57.89	16.88	90.77	61.68	113.56	44.25	52.82	32.82	118.43	95.34	27.25	48.52	10.79	41.81	11.91	14.14	40.36
KBTBD6	264.03	339.14	299.25	285.03	24.28	44.89	76.71	39.79	49.56	23.76	24.81	64.8	16.75	74.58	35.0	49.56	90.14	79.45	74.06	12.09	37.59	81.14	73.03	33.54	47.84	61.68	71.5	105.15	37.59	13.62	36.01	62.56	84.04	89.51	20.41	15.56	14.56	39.5	41.52	90.14	30.34	74.06	65.72	83.45	22.75	39.22	42.41	77.79	26.86	23.25	60.82	81.71	42.71	24.28	30.78	30.12	30.34	50.63	76.71	38.12	27.44	74.06	38.95	73.03	87.65	30.34	29.91	59.13	39.22	15.22	52.08	30.34	27.64	25.72	32.82	57.49
KBTBD7	287.01	265.87	314.17	249.73	33.3	68.55	96.68	63.45	78.34	38.95	37.05	88.26	20.71	118.43	38.12	60.39	127.0	105.89	54.72	20.56	44.25	97.36	107.38	40.36	53.19	93.35	97.36	124.37	36.53	12.64	21.01	100.13	129.69	113.56	26.86	16.88	12.18	46.84	41.22	127.0	36.27	108.14	79.45	111.99	16.15	41.52	43.32	108.9	22.1	29.27	55.89	129.69	44.89	29.48	19.53	50.98	37.32	82.29	100.83	58.71	29.06	95.34	43.02	81.71	100.13	59.55	24.99	74.58	52.08	24.46	41.22	23.42	31.45	30.34	41.52	55.49
KCTD18	547.75	444.72	438.59	432.53	120.1	217.27	363.56	277.2	234.57	74.58	158.79	249.73	115.97	332.14	144.01	209.84	397.93	305.55	124.37	108.9	87.03	346.29	312.0	191.67	102.97	314.17	295.11	339.14	137.14	146.03	332.14	426.57	327.56	356.05	77.79	132.44	50.27	181.28	371.22	376.41	164.42	314.17	279.14	289.02	271.48	119.26	223.41	343.89	110.43	111.21	267.73	332.14	351.14	248.0	132.44	172.65	153.34	301.33	387.02	108.9	202.66	348.71	242.88	242.88	283.05	199.85	126.12	269.6	466.88	121.79	173.85	65.26	170.25	180.02	94.67	206.94
KIAA1429	2451.44	1242.34	2434.5	1250.98	356.05	872.1	830.75	480.04	547.75	218.79	447.82	808.0	412.0	909.17	476.71	738.29	693.58	981.29	454.09	303.44	309.83	507.46	988.12	854.13	463.65	665.29	830.75	808.0	336.79	329.84	466.88	764.36	708.18	860.08	283.05	303.44	358.54	514.56	571.05	759.08	320.8	836.53	703.28	651.58	518.15	384.34	500.46	967.76	480.04	336.79	543.96	555.41	507.46	454.09	466.88	693.58	356.05	579.04	718.08	493.56	525.39	884.29	423.61	688.78	921.88	420.68	368.65	860.08	525.39	248.0	669.92	343.89	493.56	279.14	358.54	476.71
