	TCGA.G2.A2EO.01A.11R.A180.07	TCGA.GC.A6I1.01A.12R.A31N.07	TCGA.FD.A5C1.01A.11R.A28M.07	TCGA.5N.A9KI.01A.31R.A42T.07	TCGA.UY.A78P.01A.12R.A36F.07	TCGA.C4.A0F0.01A.12R.A10U.07	TCGA.DK.A2HX.01A.12R.A18C.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.T6MO.1426.SM.4DM73	TCGA.C5.A7CM.01A.11R.A33Z.07	TCGA.JW.A69B.01A.11R.A32P.07	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.DM.A28M.01A.12R.A16W.07	TCGA.AA.A01P.01A.21R.A083.07	TCGA.JY.A6FH.01A.11R.A336.31	TCGA.V5.A7RB.01A.11R.A354.31	TCGA.JY.A93C.01A.11R.A38D.31	TCGA.L5.A4OP.01A.11R.A260.31	TCGA.L5.A891.01A.11R.A36D.31	TCGA.2H.A9GI.01A.11R.A37I.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.L5.A88Y.01A.11R.A354.31	TCGA.BA.A6DD.01A.12R.A31N.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.CC.5262.01A.01R.A131.07	GTEX.1497J.0726.SM.5Q5D1	TCGA.50.5045.01A.01R.1628.07	TCGA.35.4122.01A.01R.1107.07	TCGA.49.4494.01A.01R.1206.07	TCGA.33.4589.01A.01R.1443.07	GTEX.12WSL.2126.SM.5GCNG	TCGA.VQ.A8PD.01A.11R.A414.31	TCGA.CG.5718.01A.11R.1602.13	TCGA.HU.A4GH.01A.11R.A24K.31	TCGA.MX.A5UG.01A.21R.A31P.31	TCGA.D7.A748.01A.12R.A32D.31	TCGA.VQ.AA6D.01A.11R.A414.31	TCGA.BR.8369.01A.11R.2343.13	TCGA.D7.A6EZ.01A.11R.A31P.31	TCGA.D7.A4YT.01A.11R.A251.31	TCGA.VQ.A8PQ.01A.11R.A414.31	TCGA.VQ.A8PP.01A.21R.A414.31	TCGA.IN.A6RS.01A.12R.A354.31	TCGA.VQ.AA6J.01A.11R.A414.31	TCGA.VQ.A91Q.01A.12R.A414.31	TCGA.VQ.A91W.01A.11R.A414.31	TCGA.VQ.A8PU.01A.12R.A414.31	TCGA.CD.A486.01A.11R.A24K.31	TCGA.HU.A4GU.01A.11R.A251.31	GTEX.OHPK.1526.SM.3MJGM	GTEX.POMQ.0826.SM.3P61H
OPA1	316.37	236.21	176.29	320.8	346.29	567.1	540.19	902.89	563.18	158.79	536.45	476.71	429.54	395.18	371.22	567.1	642.59	896.64	738.29	460.44	454.09	579.04	559.28	368.65	309.83	351.14	336.79	473.41	234.57	389.72	208.38	267.73	1088.92	988.12	368.65	486.75	1015.93	353.59	698.41	842.36	738.29	723.08	703.28	1208.34	928.3	693.58	1551.09	769.69	567.1	435.55	607.87	902.89	638.15
PHC3	78.34	42.11	42.71	214.27	74.58	55.49	246.28	68.55	88.88	209.84	191.67	138.1	67.59	121.79	183.82	309.83	273.37	466.88	329.84	163.28	543.96	204.07	211.31	81.71	55.89	36.79	36.53	28.65	94.67	104.42	54.33	38.4	264.03	1313.23	275.28	265.87	1001.93	343.89	525.39	679.29	684.02	409.15	1104.13	981.29	480.04	376.41	1388.16	435.55	595.34	285.03	417.77	249.73	329.84
PIK3CB	164.42	204.07	267.73	293.07	389.72	169.07	529.06	836.53	775.05	400.71	217.27	441.64	166.73	255.0	414.87	540.19	493.56	679.29	483.38	540.19	400.71	473.41	457.25	318.57	67.59	255.0	197.09	267.73	195.72	237.86	223.41	152.28	384.34	642.59	293.07	599.49	629.35	368.65	603.67	629.35	728.11	616.37	583.07	967.76	450.94	825.0	540.19	616.37	848.22	412.0	366.09	363.56	371.22
PIKFYVE	42.11	46.18	43.63	34.02	67.59	46.5	63.89	63.89	102.97	169.07	89.51	57.89	32.59	52.08	100.83	121.79	137.14	171.45	161.02	93.35	121.79	122.64	132.44	43.63	12.45	46.5	48.18	38.4	78.34	41.52	32.36	18.56	127.0	289.02	71.0	128.79	309.83	127.89	182.55	190.34	127.89	218.79	341.51	198.47	112.77	201.25	218.79	307.69	116.78	96.01	145.02	117.6	115.97
POGZ	157.68	158.79	187.71	242.88	183.82	127.0	603.67	414.87	318.57	872.1	656.11	395.18	177.53	417.77	660.68	3589.58	819.3	1051.79	1447.15	759.08	490.14	607.87	909.17	143.01	38.12	301.33	224.97	133.36	283.05	151.22	204.07	58.3	376.41	1286.18	607.87	1709.26	1651.0	660.68	1268.46	1685.71	780.44	1447.15	1950.0	1225.22	698.41	728.11	1819.35	1081.39	890.44	1832.01	819.3	432.53	698.41
RBM12B	17.13	48.18	29.91	27.05	48.18	71.5	84.04	50.63	71.5	115.16	141.02	141.02	69.52	61.68	106.63	202.66	211.31	226.54	239.52	144.01	142.01	100.13	153.34	34.51	19.53	22.92	32.36	45.85	75.64	38.12	32.13	31.67	138.1	256.78	111.99	159.9	249.73	116.78	218.79	260.38	154.42	366.09	297.17	223.41	145.02	167.9	237.86	171.45	127.0	159.9	260.38	69.52	132.44
RBM15	46.5	56.68	53.57	93.35	57.08	96.01	58.3	84.04	32.82	93.35	105.15	77.79	88.88	88.26	146.03	124.37	114.36	88.88	159.9	94.01	72.01	79.45	77.79	77.25	24.11	45.21	54.33	44.89	77.79	33.78	33.3	50.27	155.5	253.23	107.38	190.34	269.6	63.45	231.32	186.4	161.02	295.11	273.37	177.53	153.34	165.57	176.29	148.09	155.5	108.9	262.2	96.01	148.09
RP11-166B2.1	19.25	6.52	5.77	165.57	2.68	0.0	37.85	14.03	79.45	67.12	39.5	37.32	11.3	69.52	147.06	248.0	195.72	130.6	429.54	157.68	121.79	108.9	67.59	20.86	71.0	42.71	21.63	10.16	61.25	21.47	33.54	8.0	18.56	642.59	189.02	113.56	620.67	18.7	269.6	591.22	409.15	255.0	660.68	341.51	176.29	221.86	1104.13	301.33	444.72	248.0	241.19	217.27	50.63
RP11-231C14.4	42.11	17.9	43.02	80.57	14.56	4.1	178.77	118.43	134.3	412.0	624.99	255.0	47.17	387.02	441.64	791.35	941.27	493.56	1295.13	493.56	808.0	341.51	486.75	14.35	31.67	31.67	7.94	28.65	117.6	44.89	64.8	6.01	79.45	2682.69	866.07	688.78	1721.16	400.71	1135.2	2075.59	1127.35	1183.45	2384.37	1313.23	490.14	775.05	3124.78	848.22	1417.35	1259.69	825.0	307.69	473.41
RPRD2	99.43	100.83	106.63	153.34	116.78	130.6	403.5	161.02	193.01	432.53	215.77	208.38	108.14	223.41	262.2	507.46	384.34	379.04	536.45	429.54	316.37	299.25	312.0	113.56	34.75	99.43	199.85	94.67	153.34	109.66	116.78	44.57	363.56	555.41	435.55	813.63	713.11	314.17	497.0	1051.79	486.75	854.13	941.27	579.04	348.71	450.94	759.08	575.03	417.77	529.06	406.31	299.25	366.09
RREB1	75.11	108.9	74.58	150.17	178.77	84.63	164.42	1225.22	759.08	262.2	211.31	171.45	77.25	158.79	197.09	595.34	287.01	353.59	543.96	218.79	248.0	684.02	551.56	139.07	33.54	159.9	121.79	277.2	100.83	58.71	143.01	38.95	540.19	575.03	271.48	299.25	669.92	256.78	460.44	607.87	236.21	532.74	500.46	791.35	307.69	301.33	361.04	529.06	299.25	403.5	348.71	447.82	409.15
RSF1	295.11	129.69	105.89	199.85	187.71	140.04	212.78	158.79	165.57	356.05	260.38	205.5	206.94	159.9	241.19	158.79	244.57	275.28	253.23	189.02	231.32	303.44	329.84	85.82	53.19	46.5	80.01	85.22	201.25	76.71	170.25	73.03	264.03	571.05	271.48	785.88	713.11	595.34	599.49	836.53	400.71	283.05	813.63	679.29	480.04	486.75	890.44	599.49	1088.92	624.99	503.95	224.97	409.15
RUNDC1	187.71	120.1	167.9	208.38	208.38	82.29	217.27	193.01	176.29	287.01	289.02	348.71	118.43	265.87	201.25	353.59	224.97	283.05	397.93	142.01	267.73	218.79	220.32	105.15	33.3	60.39	99.43	119.26	172.65	92.05	161.02	73.54	214.27	312.0	162.14	532.74	309.83	255.0	493.56	579.04	256.78	928.3	318.57	329.84	164.42	368.65	503.95	287.01	353.59	351.14	320.8	258.57	258.57
SAP130	181.28	175.07	176.29	195.72	258.57	157.68	181.28	320.8	251.48	307.69	181.28	226.54	202.66	220.32	271.48	507.46	353.59	381.68	341.51	373.81	299.25	255.0	361.04	180.02	19.82	151.22	171.45	81.71	145.02	105.89	194.36	80.57	236.21	518.15	536.45	323.03	497.0	470.14	379.04	457.25	684.02	457.25	633.73	540.19	890.44	486.75	397.93	624.99	339.14	241.19	417.77	406.31	392.44
SCYL3	77.25	79.45	95.34	136.19	114.36	69.03	105.15	193.01	265.87	231.32	115.97	165.57	58.71	177.53	162.14	264.03	137.14	205.5	208.38	124.37	150.17	178.77	159.9	80.01	28.86	124.37	150.17	111.21	119.26	118.43	80.57	35.25	201.25	215.77	121.79	486.75	204.07	136.19	237.86	253.23	112.77	253.23	285.03	170.25	110.43	155.5	358.54	194.36	232.94	158.79	176.29	172.65	241.19
SETD1A	130.6	144.01	153.34	260.38	163.28	96.01	152.28	94.01	167.9	209.84	189.02	171.45	96.68	177.53	265.87	241.19	171.45	226.54	327.56	258.57	258.57	191.67	215.77	154.42	15.22	138.1	140.04	170.25	124.37	165.57	106.63	31.45	239.52	381.68	305.55	218.79	525.39	267.73	325.29	633.73	406.31	429.54	595.34	423.61	379.04	281.09	366.09	473.41	295.11	264.03	279.14	223.41	253.23
SF3A1	587.13	514.56	753.83	1159.07	728.11	718.08	1295.13	1111.82	878.17	854.13	616.37	974.5	759.08	1081.39	1143.1	1709.26	1044.52	1685.71	1467.37	2351.53	981.29	1721.16	1628.26	624.99	173.85	414.87	521.76	529.06	532.74	420.68	521.76	256.78	1769.57	2485.67	2018.8	1721.16	2664.15	1651.0	2119.22	1757.34	2627.46	2591.27	2956.17	2701.35	1923.14	2075.59	2255.7	2485.67	1250.98	1096.5	2645.74	2047.0	2351.53
SHPRH	12.93	5.5	8.25	18.84	30.78	37.32	39.5	34.51	23.93	38.67	42.11	41.81	11.3	42.11	55.49	56.28	77.79	102.25	108.14	77.25	85.82	67.12	69.52	13.72	12.64	31.9	13.12	18.16	41.81	17.0	9.48	11.3	96.68	127.89	36.27	71.5	190.34	60.82	118.43	164.42	88.26	249.73	191.67	129.69	101.54	87.03	121.79	141.02	127.0	51.35	100.13	52.08	43.63
SIPA1L3	127.89	88.26	115.97	277.2	130.6	115.97	529.06	409.15	221.86	153.34	361.04	387.02	152.28	68.55	334.46	647.07	255.0	379.04	209.84	169.07	115.97	158.79	271.48	114.36	39.22	127.0	65.72	105.89	141.02	221.86	289.02	36.79	258.57	848.22	490.14	463.65	961.07	234.57	392.44	591.22	536.45	796.86	1104.13	540.19	166.73	493.56	1268.46	748.61	693.58	285.03	438.59	435.55	642.59
SMARCC2	314.17	190.34	236.21	363.56	341.51	137.14	769.69	450.94	414.87	1519.15	599.49	660.68	273.37	718.08	693.58	1769.57	1199.98	1447.15	954.43	1369.04	902.89	961.07	1015.93	279.14	64.8	171.45	279.14	231.32	406.31	223.41	356.05	114.36	1044.52	1331.57	759.08	713.11	1417.35	733.19	1286.18	1208.34	890.44	1183.45	1757.34	1594.73	444.72	1322.37	1487.87	1605.83	921.88	753.83	1081.39	656.11	878.17
SMG1	104.42	90.14	98.04	166.73	128.79	126.12	130.6	231.32	156.59	167.9	275.28	204.07	143.01	229.72	332.14	309.83	400.71	480.04	703.28	264.03	420.68	414.87	358.54	125.24	9.06	80.01	47.17	55.89	100.83	47.17	44.25	36.53	253.23	769.69	231.32	264.03	791.35	228.13	339.14	872.1	423.61	656.11	995.0	579.04	703.28	387.02	775.05	381.68	412.0	285.03	603.67	214.27	237.86
SP2	180.02	195.72	214.27	218.79	275.28	151.22	395.18	343.89	438.59	269.6	223.41	248.0	183.82	248.0	279.14	320.8	332.14	450.94	332.14	249.73	291.04	336.79	363.56	218.79	30.34	105.89	180.02	154.42	167.9	89.51	143.01	57.49	368.65	595.34	309.83	426.57	612.11	414.87	438.59	525.39	412.0	633.73	642.59	595.34	323.03	529.06	563.18	500.46	417.77	351.14	476.71	426.57	547.75
SPDYE1	2.05	1.28	0.33	0.89	1.95	0.93	4.82	5.5	2.34	8.19	7.46	5.41	1.58	3.59	3.35	7.06	19.11	15.91	13.52	4.21	7.17	7.82	10.31	0.91	0.4	4.78	0.0	1.87	4.62	0.48	1.04	0.44	7.28	31.45	6.78	13.03	33.3	5.02	23.42	55.89	9.7	24.28	52.45	11.13	12.18	24.63	42.41	13.72	28.04	34.26	11.13	3.72	19.39
SPICE1	157.68	73.03	69.52	260.38	102.25	102.97	236.21	150.17	85.22	138.1	180.02	163.28	130.6	183.82	136.19	373.81	201.25	241.19	135.24	92.05	105.89	177.53	138.1	75.11	55.1	60.39	19.25	75.11	98.73	92.7	65.26	70.51	218.79	234.57	75.64	164.42	229.72	190.34	285.03	285.03	159.9	409.15	232.94	329.84	137.14	283.05	279.14	236.21	336.79	251.48	131.51	99.43	176.29
SSBP3-AS1	0.61	1.62	2.2	1.2	0.0	0.0	0.0	10.16	4.58	11.64	20.26	4.06	1.16	6.31	4.28	11.55	17.9	10.47	19.97	6.67	6.62	5.19	8.25	0.0	0.0	7.75	3.17	3.14	4.17	0.0	0.0	0.0	4.46	31.0	6.94	36.79	36.01	9.34	12.74	35.5	6.26	11.91	44.89	23.76	10.79	11.47	56.28	9.2	33.3	22.59	26.1	6.84	11.64
SZT2	69.03	121.79	202.66	215.77	152.28	57.49	186.4	253.23	241.19	264.03	293.07	191.67	134.3	173.85	277.2	463.65	301.33	271.48	438.59	353.59	242.88	269.6	336.79	135.24	10.0	87.65	123.5	172.65	128.79	46.84	78.89	44.89	234.57	473.41	287.01	435.55	493.56	193.01	384.34	423.61	244.57	563.18	587.13	305.55	244.57	287.01	414.87	309.83	397.93	329.84	301.33	224.97	285.03
TMEM131	157.68	157.68	167.9	139.07	199.85	127.0	269.6	156.59	275.28	476.71	251.48	392.44	180.02	305.55	351.14	466.88	438.59	470.14	612.11	253.23	353.59	417.77	429.54	178.77	69.03	262.2	193.01	186.4	237.86	148.09	173.85	81.71	209.84	1051.79	470.14	854.13	1066.48	591.22	633.73	743.43	703.28	842.36	1529.73	753.83	703.28	902.89	830.75	825.0	638.15	525.39	660.68	669.92	679.29
TNRC6A	135.24	124.37	139.07	208.38	142.01	95.34	195.72	215.77	249.73	540.19	327.56	348.71	145.02	217.27	435.55	314.17	363.56	616.37	860.08	218.79	529.06	417.77	353.59	176.29	26.1	165.57	85.22	173.85	186.4	53.19	91.41	43.94	269.6	733.19	267.73	371.22	674.59	351.14	366.09	878.17	493.56	591.22	947.83	633.73	412.0	400.71	830.75	540.19	395.18	536.45	450.94	336.79	312.0
TRIM66	10.31	15.68	7.94	17.13	13.03	13.22	23.25	65.72	93.35	52.82	55.89	82.87	10.39	59.55	108.14	149.12	82.87	131.51	112.77	84.04	117.6	61.68	71.5	7.34	0.43	61.68	21.78	14.03	24.99	5.19	14.03	5.54	50.98	156.59	62.12	73.03	291.04	37.59	167.9	117.6	142.01	220.32	256.78	221.86	126.12	149.12	202.66	258.57	111.99	56.28	109.66	81.14	53.19
TRPM7	92.05	98.04	67.59	85.22	103.69	77.25	201.25	98.04	141.02	178.77	223.41	173.85	140.04	110.43	165.57	351.14	348.71	303.44	262.2	248.0	289.02	209.84	242.88	82.29	52.45	148.09	105.89	71.5	144.01	99.43	85.82	49.21	197.09	547.75	155.5	305.55	503.95	217.27	555.41	450.94	332.14	366.09	764.36	429.54	260.38	476.71	457.25	417.77	371.22	633.73	454.09	232.94	142.01
TSSK4	3.56	5.45	1.93	6.78	4.9	6.11	23.76	31.0	25.17	36.27	42.71	8.71	1.93	12.64	27.84	28.65	40.64	81.14	95.34	21.01	58.71	29.48	32.59	1.08	0.82	5.73	4.06	2.43	17.38	0.0	1.2	0.0	17.9	99.43	26.67	53.95	123.5	28.04	56.68	113.56	29.06	105.89	150.17	56.68	14.67	50.63	53.19	50.98	84.63	37.05	44.25	25.17	39.79
UBN1	92.7	198.47	152.28	157.68	303.44	198.47	412.0	2255.7	656.11	287.01	327.56	470.14	217.27	232.94	361.04	753.83	316.37	486.75	813.63	406.31	441.64	684.02	316.37	285.03	28.04	239.52	145.02	246.28	201.25	116.78	221.86	120.94	633.73	607.87	460.44	387.02	693.58	232.94	412.0	599.49	486.75	543.96	656.11	612.11	199.85	384.34	693.58	591.22	454.09	381.68	521.76	460.44	435.55
UBR2	89.51	127.89	186.4	123.5	142.01	149.12	172.65	162.14	193.01	173.85	158.79	163.28	55.1	172.65	279.14	226.54	244.57	249.73	395.18	195.72	293.07	249.73	525.39	178.77	52.45	136.19	105.89	145.02	165.57	92.7	79.45	95.34	223.41	397.93	295.11	201.25	406.31	201.25	291.04	409.15	223.41	414.87	426.57	392.44	884.29	376.41	305.55	264.03	612.11	293.07	236.21	255.0	248.0
ZBED6	3.56	1.66	2.25	8.32	5.28	20.11	27.64	54.72	6.73	49.91	50.98	18.7	4.74	29.48	60.39	132.44	116.78	165.57	94.67	58.3	51.71	110.43	128.79	5.5	0.4	2.97	3.76	13.32	18.56	6.01	5.23	1.6	98.04	279.14	47.5	156.59	356.05	114.36	175.07	273.37	81.14	269.6	269.6	351.14	134.3	136.19	269.6	152.28	205.5	74.58	98.04	57.49	73.03
ZBTB40	32.36	48.52	38.95	57.49	50.98	53.95	81.14	41.81	82.87	197.09	122.64	108.9	50.98	63.45	146.03	241.19	163.28	215.77	217.27	161.02	87.65	86.43	139.07	62.56	8.99	43.32	64.34	36.79	54.72	27.05	37.85	8.19	90.14	392.44	141.02	231.32	329.84	80.01	339.14	251.48	181.28	318.57	466.88	287.01	144.01	232.94	309.83	236.21	97.36	156.59	201.25	123.5	137.14
ZFC3H1	205.5	232.94	236.21	158.79	251.48	74.58	269.6	500.46	514.56	483.38	633.73	406.31	341.51	547.75	476.71	915.51	1023.0	1183.45	813.63	947.83	780.44	836.53	540.19	224.97	35.5	169.07	223.41	111.21	343.89	80.57	110.43	26.67	320.8	909.17	301.33	457.25	703.28	389.72	769.69	616.37	540.19	872.1	1225.22	928.3	307.69	688.78	954.43	738.29	860.08	417.77	753.83	368.65	351.14
ZFYVE27	223.41	285.03	400.71	197.09	305.55	139.07	325.29	223.41	376.41	547.75	262.2	454.09	123.5	397.93	507.46	967.76	884.29	769.69	928.3	514.56	551.56	532.74	624.99	295.11	551.56	532.74	438.59	384.34	327.56	312.0	181.28	159.9	334.46	743.43	348.71	536.45	748.61	376.41	480.04	381.68	529.06	802.41	738.29	603.67	493.56	599.49	802.41	633.73	651.58	651.58	521.76	466.88	599.49
ZNF213	175.07	113.56	131.51	178.77	143.01	138.1	237.86	182.55	318.57	242.88	197.09	204.07	91.41	155.5	206.94	289.02	193.01	205.5	429.54	176.29	205.5	173.85	181.28	158.79	25.54	55.1	70.01	59.97	177.53	63.0	144.01	43.94	262.2	316.37	297.17	271.48	339.14	262.2	186.4	599.49	429.54	277.2	447.82	376.41	162.14	241.19	334.46	376.41	314.17	275.28	363.56	248.0	258.57
ZNF500	81.71	75.11	78.34	75.64	79.45	38.95	111.99	69.03	138.1	241.19	142.01	159.9	82.29	119.26	173.85	334.46	197.09	205.5	211.31	87.65	165.57	111.21	116.78	89.51	24.11	71.5	67.12	52.82	93.35	41.52	57.89	31.67	152.28	182.55	197.09	129.69	277.2	197.09	177.53	441.64	218.79	318.57	387.02	299.25	100.13	131.51	253.23	231.32	144.01	187.71	206.94	139.07	212.78
ZNF587	76.71	81.71	44.25	55.1	82.29	28.65	99.43	102.97	150.17	126.12	169.07	126.12	78.89	265.87	171.45	314.17	281.09	277.2	262.2	116.78	234.57	224.97	217.27	53.95	40.93	57.89	52.08	80.57	130.6	51.71	56.28	30.56	142.01	684.02	180.02	444.72	1037.29	242.88	320.8	909.17	483.38	688.78	1001.93	483.38	236.21	353.59	775.05	490.14	395.18	251.48	412.0	226.54	253.23
ZNF592	141.02	123.5	107.38	221.86	148.09	85.22	432.53	82.87	107.38	199.85	307.69	293.07	77.79	126.12	264.03	460.44	395.18	320.8	493.56	423.61	316.37	379.04	358.54	173.85	21.78	170.25	172.65	144.01	137.14	46.84	108.14	21.78	204.07	514.56	341.51	358.54	507.46	241.19	612.11	438.59	229.72	693.58	629.35	476.71	297.17	480.04	616.37	368.65	197.09	633.73	341.51	234.57	305.55
