	TCGA.38.4625.01A.01R.1206.07.1	GTEX.139TT.0726.SM.5K7XW	GTEX.13O3O.0726.SM.5J1N7	GTEX.12584.1426.SM.5EGJ9	GTEX.YFC4.1126.SM.5RQJN	GTEX.147F4.0926.SM.5Q5EO	GTEX.131XW.1126.SM.5EGK4	GTEX.13FTY.0126.SM.5J2NZ	GTEX.N7MS.0926.SM.2HMIZ	GTEX.145LU.0526.SM.5O9AT	GTEX.139UW.0226.SM.5K7WU	GTEX.13G51.0426.SM.5K7Z5	GTEX.11OF3.1126.SM.5986C	GTEX.144GO.0226.SM.5LUB1	GTEX.Y111.1926.SM.4SOIS	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.R55E.0826.SM.2TC5M	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.14E6C.2626.SM.5RQJP	GTEX.ZYFC.0926.SM.5GZWW	GTEX.WWYW.0826.SM.3NB2X	GTEX.11EM3.0126.SM.5985K	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.WHSE.0626.SM.4RGNF	GTEX.13O61.0226.SM.5KM52	GTEX.148VJ.0726.SM.5LU8J	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZYFG.0626.SM.5GZYA	GTEX.11EI6.0726.SM.59866	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.147F4.0826.SM.5QGRB	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.14A5H.0726.SM.5Q5DW	GTEX.ZLWG.0526.SM.4WWFB	GTEX.117YW.0126.SM.5EGGN	GTEX.132NY.1026.SM.5P9IY	GTEX.SJXC.0726.SM.2XCFJ	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.12WSN.0726.SM.5GCMS	GTEX.RWSA.0826.SM.2XCBF	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.PLZ4.1226.SM.2I5FE	GTEX.QXCU.0326.SM.2TC63	GTEX.11VI4.0226.SM.5GU6C	GTEX.1211K.0726.SM.5FQUW	GTEX.Y114.0626.SM.4TT98	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.13VXU.0826.SM.5KLZ2	GTEX.111FC.1026.SM.5GZX1
MON1A	0.0	100.83	58.3	65.72	98.73	59.97	95.34	71.0	101.54	88.26	124.37	96.68	88.26	69.03	420.68	483.38	587.13	323.03	301.33	366.09	392.44	334.46	353.59	334.46	368.65	231.32	167.9	397.93	163.28	231.32	181.28	470.14	309.83	351.14	348.71	406.31	142.01	429.54	122.64	490.14	323.03	285.03	297.17	460.44	339.14	244.57	373.81	223.41	417.77	441.64	307.69	303.44	273.37	137.14	305.55	262.2	406.31	211.31	400.71	379.04	301.33	293.07	145.02	463.65	490.14	384.34	208.38	343.89	251.48	366.09	483.38	279.14	384.34	139.07	113.56	400.71	242.88	204.07	351.14	271.48	384.34	175.07	460.44	525.39
MRP63	0.12	182.55	260.38	187.71	241.19	134.3	175.07	150.17	119.26	228.13	329.84	242.88	119.26	220.32	830.75	656.11	909.17	775.05	642.59	819.3	620.67	518.15	921.88	473.41	866.07	540.19	368.65	660.68	555.41	595.34	551.56	802.41	511.0	656.11	708.18	713.11	368.65	587.13	314.17	848.22	616.37	599.49	612.11	902.89	638.15	791.35	780.44	486.75	679.29	759.08	688.78	738.29	607.87	384.34	733.19	579.04	642.59	507.46	753.83	848.22	607.87	607.87	454.09	854.13	825.0	738.29	599.49	547.75	476.71	486.75	915.51	620.67	785.88	529.06	368.65	698.41	684.02	603.67	616.37	595.34	660.68	507.46	813.63	819.3
MRPL34	0.4	1096.5	438.59	497.0	563.18	543.96	1096.5	836.53	507.46	1051.79	1001.93	629.35	878.17	896.64	2645.74	1950.0	3349.13	2645.74	1923.14	1819.35	2240.11	2224.63	2997.45	1806.78	2701.35	1794.29	764.36	1806.78	1498.22	1529.73	1359.57	2591.27	2075.59	2701.35	2178.83	3060.45	947.83	2627.46	607.87	2400.97	2384.37	1977.24	2255.7	3349.13	2417.67	1806.78	2163.77	2018.8	2555.58	3103.19	2303.12	2004.85	1216.75	669.92	2915.45	1369.04	2032.85	860.08	3395.89	2163.77	2758.13	2224.63	743.43	3982.99	2777.33	2148.82	1551.09	1819.35	1551.09	1870.53	2591.27	3349.13	3443.31	1259.69	836.53	2240.11	1594.73	1832.01	2758.13	2163.77	2240.11	981.29	3168.41	2796.65
MRPS26	0.67	314.17	307.69	215.77	297.17	150.17	555.41	231.32	234.57	463.65	536.45	260.38	281.09	332.14	2090.03	2061.24	2502.97	2032.85	1819.35	1769.57	1388.16	1685.71	2271.4	1159.07	1896.65	1313.23	1167.14	1870.53	1369.04	1225.22	1015.93	1721.16	1487.87	2090.03	1844.76	1909.85	698.41	2303.12	723.08	2061.24	1757.34	1519.15	2400.97	2148.82	1923.14	1427.22	1697.45	1467.37	2090.03	2591.27	1977.24	1806.78	1447.15	753.83	2451.44	1697.45	1883.54	954.43	2451.44	1685.71	1745.2	1745.2	921.88	2997.45	2758.13	1685.71	1277.29	1605.83	1183.45	1857.6	3103.19	1769.57	2664.15	854.13	775.05	2367.9	1250.98	981.29	2018.8	1697.45	1857.6	1225.22	1991.0	2384.37
MRPS34	0.36	836.53	647.07	547.75	698.41	466.88	1216.75	1216.75	878.17	981.29	981.29	718.08	825.0	1119.56	2178.83	2193.99	2032.85	1781.89	1457.23	2148.82	1457.23	1662.49	1639.59	1467.37	1427.22	1111.82	830.75	1697.45	1242.34	1295.13	1175.27	2224.63	1594.73	1769.57	1963.57	2075.59	571.05	2018.8	743.43	2004.85	2133.97	1259.69	1832.01	1769.57	1806.78	1508.65	1769.57	1378.57	2133.97	2163.77	1508.65	1709.26	1233.75	638.15	2075.59	1427.22	1617.0	947.83	2061.24	1583.71	1551.09	1397.83	954.43	2303.12	2224.63	1467.37	1268.46	1378.57	1143.1	1359.57	2537.92	1617.0	2645.74	1225.22	616.37	1540.37	1350.18	1159.07	1844.76	1662.49	2075.59	1216.75	1794.29	2255.7
NDUFB10	0.78	2047.0	1313.23	2104.58	1819.35	1030.12	1388.16	1437.15	1159.07	1378.57	2816.11	2018.8	1709.26	1051.79	4038.61	3491.39	4903.87	4038.61	3081.75	3589.58	3768.09	3540.14	4010.71	3257.52	3874.05	2335.28	1781.89	3564.78	2193.99	3103.19	2664.15	4298.64	4575.41	3794.3	3665.02	3564.78	1583.71	4671.57	1857.6	4328.55	3639.7	2682.69	4123.49	4066.71	3716.2	3742.05	3794.3	3372.43	3665.02	4066.71	3589.58	4123.49	2855.44	1519.15	4937.99	2682.69	2701.35	2367.9	5479.15	3564.78	3794.3	3280.18	2434.5	4903.87	4639.29	3639.7	3168.41	2835.7	2609.3	3081.75	6381.92	4181.07	4937.99	2384.37	1781.89	3060.45	3235.01	3124.78	4543.8	3540.14	4095.0	2720.15	4123.49	3614.55
NDUFS7	703.28	866.07	1001.93	1119.56	884.29	476.71	1233.75	1508.65	454.09	928.3	1388.16	915.51	612.11	896.64	2720.15	2075.59	2875.3	1697.45	2104.58	1769.57	2018.8	2351.53	3081.75	1757.34	2502.97	1651.0	1088.92	2075.59	1639.59	1745.2	1208.34	2935.74	3124.78	2468.49	2224.63	2303.12	988.12	3081.75	1242.34	3018.3	2271.4	1498.22	2502.97	2367.9	2178.83	2148.82	2720.15	2209.26	1883.54	2758.13	1936.53	2451.44	1936.53	819.3	3257.52	1936.53	2645.74	1015.93	4419.52	2956.17	2004.85	2400.97	981.29	3467.27	2935.74	1883.54	1561.89	1909.85	1159.07	1909.85	3349.13	2075.59	2976.74	1096.5	1369.04	2075.59	1508.65	1721.16	2271.4	2119.22	2537.92	1359.57	2591.27	2434.5
NFYC	0.4	529.06	412.0	379.04	1191.69	417.77	563.18	500.46	480.04	723.08	514.56	563.18	412.0	366.09	1498.22	1208.34	1359.57	1340.84	1617.0	1081.39	1467.37	1487.87	1304.15	1127.35	1340.84	854.13	947.83	1208.34	780.44	1167.14	1304.15	1407.55	1304.15	1519.15	1378.57	1757.34	638.15	1268.46	723.08	1268.46	1605.83	1096.5	1340.84	1151.06	1551.09	981.29	1250.98	915.51	1242.34	1417.35	1286.18	1208.34	1233.75	961.07	1498.22	1359.57	1685.71	1191.69	1340.84	1208.34	1388.16	1540.37	1216.75	1498.22	1498.22	1208.34	1216.75	1277.29	1066.48	1388.16	1268.46	1322.37	1304.15	1119.56	1119.56	1331.57	1135.2	1268.46	1870.53	1477.58	819.3	995.0	1313.23	1508.65
NTPCR	603.67	1073.91	387.02	603.67	1208.34	693.58	842.36	1030.12	1143.1	624.99	743.43	1008.9	813.63	400.71	1909.85	1199.98	2178.83	2075.59	1331.57	1572.76	1427.22	1073.91	1896.65	1044.52	1870.53	836.53	1059.11	3794.3	1119.56	1519.15	1369.04	2018.8	1322.37	1143.1	981.29	1350.18	1143.1	1127.35	902.89	1909.85	1832.01	1199.98	1044.52	1407.55	1427.22	1594.73	1529.73	1378.57	1583.71	1447.15	1457.23	2193.99	1216.75	748.61	1551.09	878.17	1037.29	1529.73	1407.55	1870.53	1447.15	1350.18	1111.82	1639.59	2061.24	1388.16	1721.16	1242.34	1208.34	1059.11	1617.0	1378.57	2209.26	1583.71	974.5	1340.84	1313.23	1359.57	1806.78	1378.57	1397.83	1407.55	1883.54	1781.89
OCEL1	0.43	507.46	414.87	633.73	698.41	271.48	651.58	603.67	486.75	332.14	624.99	429.54	329.84	503.95	1104.13	1639.59	866.07	872.1	1295.13	1104.13	1111.82	1199.98	1088.92	1104.13	941.27	460.44	186.4	785.88	629.35	1159.07	1073.91	860.08	1268.46	1529.73	1883.54	1175.27	361.04	1030.12	497.0	1015.93	836.53	1388.16	1508.65	947.83	921.88	1111.82	848.22	1088.92	1437.15	1883.54	915.51	967.76	1015.93	193.01	981.29	571.05	902.89	480.04	1427.22	928.3	902.89	802.41	583.07	1583.71	698.41	1304.15	1088.92	780.44	532.74	1233.75	1467.37	1350.18	1697.45	759.08	638.15	1066.48	1135.2	819.3	830.75	780.44	1628.26	708.18	738.29	1059.11
PGF	0.69	20.56	146.03	104.42	69.52	98.73	153.34	96.01	58.71	163.28	28.65	40.36	20.86	70.01	5995.9	6471.02	13399.51	7230.1	698.41	8134.41	2075.59	1295.13	4450.27	2701.35	2240.11	941.27	435.55	5255.91	1286.18	571.05	327.56	5791.62	1583.71	4671.57	3212.66	698.41	2573.36	2997.45	1183.45	11345.82	2895.31	1295.13	1819.35	5255.91	1781.89	503.95	8191.0	1378.57	6121.9	5517.27	4239.45	3928.15	3081.75	1037.29	1023.0	4512.4	3874.05	2682.69	2537.92	9215.48	1781.89	1923.14	1963.57	1051.79	2004.85	2627.46	1233.75	4869.99	2047.0	1242.34	1685.71	1073.91	5441.3	193.01	1059.11	486.75	5041.77	620.67	583.07	3515.68	2935.74	1008.9	6652.97	6745.86
PRADC1	0.13	223.41	87.03	190.34	236.21	144.01	242.88	149.12	177.53	166.73	289.02	214.27	120.1	84.04	854.13	860.08	928.3	718.08	708.18	764.36	698.41	674.59	703.28	559.28	842.36	285.03	309.83	575.03	295.11	547.75	265.87	708.18	723.08	698.41	915.51	669.92	137.14	1250.98	187.71	759.08	808.0	536.45	796.86	802.41	733.19	518.15	620.67	336.79	521.76	967.76	620.67	848.22	486.75	169.07	878.17	339.14	679.29	521.76	1233.75	764.36	599.49	571.05	376.41	1216.75	1059.11	638.15	414.87	473.41	575.03	693.58	1073.91	780.44	995.0	332.14	323.03	591.22	486.75	536.45	1081.39	463.65	981.29	432.53	669.92	974.5
PRDX2	1.07	2209.26	1159.07	2915.45	2224.63	2451.44	2537.92	2061.24	2255.7	1519.15	1857.6	2835.7	1605.83	1191.69	6516.03	8363.13	9025.81	7433.4	5711.87	7382.04	6250.56	6207.38	7911.95	5633.22	6516.03	5672.41	1819.35	6887.62	4038.61	5441.3	3928.15	7280.4	6607.01	5831.91	6516.03	7331.05	4972.34	10368.08	2004.85	7485.11	6887.62	4937.99	6471.02	6561.36	6381.92	6561.36	7280.4	5292.48	7280.4	8134.41	6121.9	7695.57	4769.75	2367.9	8901.53	4937.99	5711.87	5147.73	8305.36	7230.1	6607.01	4836.35	3690.52	9025.81	9474.59	5255.91	5555.65	5183.54	5555.65	7230.1	9344.14	6250.56	7911.95	4769.75	4038.61	5517.27	4239.45	4419.52	8421.31	6294.04	8305.36	5292.48	7537.18	6561.36
PRRG2	0.0	76.71	75.11	59.13	62.56	70.51	72.01	99.43	111.21	138.1	153.34	135.24	82.29	182.55	571.05	764.36	759.08	669.92	764.36	486.75	878.17	860.08	698.41	555.41	669.92	514.56	307.69	536.45	373.81	429.54	457.25	708.18	651.58	607.87	616.37	995.0	470.14	842.36	309.83	511.0	684.02	693.58	780.44	616.37	529.06	660.68	518.15	559.28	551.56	775.05	583.07	836.53	583.07	273.37	638.15	435.55	571.05	503.95	743.43	656.11	764.36	638.15	409.15	909.17	1001.93	503.95	583.07	529.06	703.28	703.28	1175.27	866.07	884.29	633.73	536.45	753.83	629.35	723.08	738.29	571.05	890.44	567.1	620.67	693.58
PXMP2	0.06	242.88	156.59	299.25	164.42	109.66	267.73	186.4	181.28	170.25	258.57	176.29	139.07	202.66	551.56	486.75	571.05	368.65	417.77	679.29	339.14	395.18	555.41	329.84	497.0	260.38	161.02	301.33	353.59	423.61	466.88	397.93	420.68	500.46	381.68	476.71	178.77	387.02	341.51	412.0	409.15	343.89	441.64	575.03	476.71	483.38	381.68	251.48	438.59	525.39	480.04	441.64	514.56	119.26	466.88	351.14	275.28	291.04	316.37	463.65	392.44	353.59	379.04	599.49	387.02	529.06	343.89	211.31	356.05	397.93	423.61	329.84	579.04	656.11	221.86	373.81	703.28	497.0	343.89	305.55	547.75	457.25	493.56	305.55
RAC3	0.56	51.35	17.13	59.97	50.27	31.0	74.06	132.44	34.75	45.53	73.03	12.93	32.13	19.39	403.5	242.88	217.27	267.73	258.57	309.83	255.0	318.57	251.48	90.77	361.04	90.14	186.4	264.03	353.59	389.72	339.14	435.55	521.76	291.04	406.31	325.29	172.65	244.57	178.77	258.57	483.38	323.03	417.77	438.59	309.83	559.28	283.05	591.22	363.56	181.28	559.28	309.83	273.37	43.63	351.14	253.23	223.41	175.07	423.61	249.73	361.04	348.71	152.28	567.1	221.86	420.68	343.89	341.51	105.15	249.73	624.99	486.75	301.33	244.57	206.94	669.92	260.38	470.14	309.83	229.72	603.67	126.12	299.25	334.46
RBBP8NL	0.0	2.36	2.41	0.0	4.13	0.0	2.39	8.13	0.0	0.0	0.0	0.0	0.0	0.0	187.71	170.25	201.25	89.51	78.34	130.6	44.25	112.77	66.65	57.89	98.73	52.82	3.2	248.0	33.78	25.72	33.78	214.27	132.44	154.42	191.67	146.03	18.56	85.82	4.7	127.0	137.14	22.1	110.43	151.22	149.12	58.3	146.03	115.16	242.88	92.7	108.14	84.63	56.28	2.56	67.12	138.1	206.94	48.18	141.02	99.43	72.52	143.01	13.83	112.77	127.0	56.68	48.52	116.78	24.11	96.68	100.13	124.37	173.85	59.97	14.35	90.77	50.63	23.59	59.55	82.87	105.89	87.65	146.03	224.97
SAMM50	0.26	381.68	253.23	255.0	587.13	265.87	389.72	241.19	343.89	387.02	559.28	351.14	166.73	237.86	848.22	791.35	947.83	947.83	764.36	802.41	785.88	808.0	1044.52	775.05	796.86	460.44	366.09	769.69	476.71	854.13	669.92	825.0	718.08	866.07	753.83	728.11	361.04	1051.79	381.68	909.17	902.89	718.08	896.64	791.35	1081.39	728.11	872.1	563.18	902.89	1073.91	836.53	947.83	713.11	361.04	878.17	713.11	651.58	947.83	884.29	819.3	775.05	679.29	470.14	780.44	941.27	860.08	656.11	723.08	848.22	665.29	872.1	769.69	1088.92	743.43	420.68	748.61	642.59	723.08	896.64	872.1	703.28	660.68	842.36	842.36
SLC25A10	0.0	56.68	101.54	80.01	44.25	43.94	61.68	126.12	79.45	63.89	98.73	37.85	40.93	56.68	540.19	559.28	612.11	387.02	406.31	473.41	241.19	406.31	379.04	336.79	336.79	281.09	190.34	414.87	159.9	253.23	189.02	420.68	466.88	343.89	348.71	397.93	99.43	500.46	191.67	423.61	466.88	199.85	316.37	500.46	406.31	281.09	299.25	507.46	403.5	366.09	429.54	525.39	229.72	84.04	343.89	332.14	493.56	318.57	518.15	466.88	269.6	314.17	175.07	638.15	595.34	316.37	215.77	287.01	201.25	400.71	503.95	325.29	454.09	253.23	209.84	366.09	341.51	220.32	420.68	423.61	426.57	228.13	429.54	612.11
SLC25A11	0.0	511.0	414.87	540.19	688.78	414.87	571.05	540.19	638.15	583.07	647.07	780.44	483.38	521.76	1427.22	1487.87	1936.53	1295.13	1073.91	1304.15	1191.69	1397.83	1551.09	1259.69	1359.57	854.13	500.46	1378.57	642.59	866.07	616.37	1417.35	1225.22	1268.46	1359.57	1397.83	642.59	1883.54	417.77	1561.89	1250.98	981.29	1369.04	1417.35	1397.83	896.64	1191.69	1030.12	1313.23	1628.26	1233.75	1378.57	947.83	466.88	1359.57	1023.0	1277.29	1037.29	1487.87	1322.37	1183.45	1015.93	607.87	1594.73	1487.87	1135.2	974.5	1088.92	1081.39	1233.75	1508.65	1268.46	1697.45	954.43	463.65	1159.07	988.12	866.07	1340.84	1175.27	1331.57	791.35	1639.59	1427.22
SMAD6	0.06	100.83	211.31	127.89	493.56	221.86	264.03	135.24	358.54	356.05	186.4	295.11	186.4	57.89	698.41	607.87	638.15	295.11	493.56	368.65	500.46	620.67	532.74	629.35	392.44	389.72	325.29	529.06	389.72	457.25	583.07	579.04	647.07	791.35	1119.56	299.25	309.83	525.39	303.44	521.76	842.36	660.68	642.59	587.13	327.56	454.09	318.57	215.77	460.44	463.65	476.71	211.31	423.61	397.93	591.22	314.17	507.46	139.07	947.83	336.79	748.61	353.59	316.37	708.18	480.04	323.03	555.41	271.48	323.03	555.41	571.05	447.82	1008.9	195.72	353.59	514.56	297.17	460.44	500.46	358.54	301.33	555.41	579.04	718.08
SNUPN	0.16	358.54	136.19	190.34	265.87	167.9	334.46	279.14	318.57	318.57	258.57	262.2	170.25	211.31	603.67	708.18	684.02	642.59	579.04	591.22	591.22	638.15	559.28	547.75	620.67	486.75	215.77	483.38	351.14	591.22	551.56	633.73	555.41	743.43	624.99	743.43	267.73	651.58	208.38	575.03	647.07	536.45	559.28	624.99	599.49	547.75	684.02	460.44	583.07	665.29	450.94	642.59	563.18	269.6	733.19	500.46	500.46	674.59	543.96	583.07	616.37	470.14	400.71	733.19	575.03	571.05	563.18	444.72	543.96	571.05	607.87	603.67	665.29	567.1	332.14	674.59	529.06	547.75	629.35	514.56	547.75	473.41	532.74	684.02
SPHK2	0.16	105.15	69.03	60.39	148.09	96.01	159.9	95.34	91.41	121.79	143.01	60.82	77.79	98.73	579.04	633.73	583.07	273.37	529.06	500.46	521.76	738.29	547.75	438.59	447.82	361.04	231.32	299.25	334.46	323.03	486.75	529.06	493.56	642.59	532.74	759.08	218.79	480.04	348.71	438.59	521.76	486.75	583.07	633.73	460.44	312.0	483.38	269.6	483.38	616.37	447.82	466.88	521.76	144.01	490.14	460.44	486.75	264.03	503.95	444.72	575.03	409.15	224.97	647.07	540.19	480.04	493.56	379.04	363.56	591.22	638.15	514.56	480.04	361.04	318.57	620.67	525.39	536.45	599.49	376.41	521.76	376.41	466.88	718.08
SSNA1	0.26	854.13	559.28	698.41	941.27	476.71	796.86	785.88	748.61	669.92	1008.9	961.07	693.58	1030.12	1977.24	1844.76	1832.01	1304.15	1519.15	1662.49	1467.37	1540.37	1519.15	1143.1	1407.55	638.15	802.41	1304.15	1225.22	1313.23	878.17	1709.26	1674.06	1639.59	1745.2	1594.73	642.59	1819.35	759.08	1639.59	1529.73	1208.34	1662.49	1745.2	1628.26	1322.37	1447.15	1167.14	1540.37	1977.24	1359.57	1540.37	1519.15	395.18	1806.78	1037.29	1369.04	830.75	2119.22	1662.49	1304.15	1437.15	748.61	2303.12	1870.53	1417.35	1277.29	1066.48	1208.34	1498.22	2271.4	1572.76	2075.59	1073.91	651.58	1359.57	1127.35	1159.07	1639.59	1286.18	1950.0	1388.16	1369.04	1697.45
TEX264	0.09	559.28	438.59	400.71	884.29	420.68	878.17	543.96	669.92	854.13	1104.13	738.29	438.59	595.34	2434.5	2573.36	2537.92	2400.97	2271.4	2319.15	2090.03	2075.59	2224.63	1651.0	2047.0	1583.71	1286.18	1662.49	1397.83	1832.01	1487.87	1923.14	2133.97	2384.37	2209.26	2555.58	974.5	2720.15	1216.75	2209.26	2384.37	1322.37	1806.78	2119.22	2591.27	1806.78	2591.27	1709.26	2400.97	2400.97	1806.78	3146.52	1781.89	651.58	2367.9	1628.26	2061.24	1733.13	2701.35	2240.11	2018.8	2075.59	1096.5	2645.74	2609.3	1950.0	1870.53	1745.2	1594.73	2434.5	2591.27	2335.28	2956.17	1819.35	1508.65	2119.22	1870.53	1628.26	2287.2	2018.8	2520.38	1697.45	2271.4	2335.28
TG	0.64	10.16	2.36	21.01	9.93	19.11	28.45	18.56	35.76	10.55	20.26	12.93	48.18	42.11	1282030.25	1364554.84	1393227.06	2068278.89	1452391.55	1179708.33	2247670.86	2126426.15	1751305.3	1503610.06	2375828.71	2111737.85	419990.32	1611529.43	1204496.53	1611529.43	1308968.45	1622738.51	1493223.86	1739208.14	1634025.56	1838374.44	857631.47	1997825.68	190574.09	1535204.12	1984025.69	1336472.68	1997825.68	1139523.1	1984025.69	2986448.72	1567462.05	1472666.19	2025714.3	1318073.06	1196176.45	2425749.94	1402917.72	212926.09	1929772.37	906531.99	1299926.74	992012.34	1943195.01	1622738.51	1727194.55	1336472.68	757033.75	2636147.11	2263304.65	1775752.63	2111737.85	1691649.38	1668359.93	1800541.22	3178687.03	3886391.01	1645391.11	1155430.26	1055868.42	1622738.51	1123834.93	1131651.83	2263304.65	1535204.12	2672946.37	1514068.5	1634025.56	1482909.4
THEM6	0.1	138.1	59.55	82.87	220.32	99.43	153.34	126.12	121.79	143.01	197.09	199.85	70.51	87.65	967.76	684.02	842.36	612.11	470.14	934.76	303.44	514.56	638.15	432.53	708.18	373.81	112.77	514.56	327.56	389.72	379.04	748.61	490.14	599.49	460.44	693.58	224.97	629.35	144.01	674.59	629.35	297.17	540.19	780.44	836.53	490.14	679.29	426.57	587.13	587.13	490.14	825.0	392.44	115.97	665.29	529.06	473.41	503.95	414.87	708.18	356.05	351.14	260.38	723.08	463.65	480.04	348.71	497.0	309.83	555.41	575.03	409.15	693.58	470.14	303.44	493.56	334.46	490.14	543.96	480.04	555.41	395.18	674.59	921.88
TIMMDC1	0.84	1225.22	529.06	432.53	802.41	808.0	1322.37	708.18	1066.48	1059.11	1208.34	1030.12	769.69	884.29	1977.24	2287.2	2555.58	2351.53	2032.85	2090.03	1733.13	1617.0	2104.58	2004.85	2468.49	872.1	1199.98	1832.01	1583.71	1794.29	1628.26	2271.4	1697.45	1781.89	2434.5	2018.8	884.29	1963.57	1277.29	2178.83	2075.59	1605.83	1806.78	2163.77	2075.59	1745.2	1870.53	1378.57	2018.8	2163.77	2032.85	1909.85	1519.15	1250.98	1832.01	1427.22	2148.82	1639.59	2193.99	2271.4	1561.89	1781.89	1259.69	2417.67	2209.26	1883.54	1605.83	1561.89	1662.49	1844.76	2255.7	1628.26	2271.4	1757.34	890.44	1844.76	1909.85	1417.35	1819.35	1963.57	2032.85	1498.22	2178.83	2319.15
TLL2	0.18	6.36	5.02	3.0	0.0	6.31	14.89	1.27	0.65	6.11	1.2	3.23	0.21	0.0	14.14	52.08	34.51	13.03	13.32	15.45	15.22	42.11	20.26	7.28	53.95	12.45	0.82	10.96	8.25	16.88	16.63	32.59	17.77	8.92	7.11	63.45	27.05	38.4	2.76	29.06	7.0	5.92	24.81	12.64	24.46	27.84	27.25	7.75	18.29	53.95	9.34	12.45	10.24	2.12	27.44	8.58	15.0	8.38	26.67	16.75	36.01	15.34	11.91	45.21	25.54	13.83	6.16	31.9	2.76	29.27	24.11	37.59	41.81	39.79	10.71	24.46	8.51	18.97	76.71	13.52	11.82	22.75	16.27	21.94
TSR3	0.34	483.38	295.11	567.1	660.68	358.54	470.14	669.92	688.78	476.71	651.58	642.59	348.71	444.72	1617.0	1313.23	1417.35	1313.23	1208.34	1617.0	1304.15	1417.35	1397.83	1008.9	1277.29	825.0	607.87	1359.57	967.76	1268.46	941.27	1313.23	1242.34	1340.84	1340.84	1111.82	587.13	1369.04	555.41	1519.15	1583.71	1199.98	1216.75	1651.0	1651.0	1199.98	1417.35	981.29	1304.15	1208.34	1119.56	1437.15	1143.1	660.68	1519.15	1008.9	1208.34	878.17	1447.15	1498.22	1175.27	1088.92	669.92	1674.06	1340.84	1199.98	1199.98	1008.9	995.0	1059.11	1674.06	1199.98	1594.73	934.76	896.64	1216.75	1088.92	1008.9	1259.69	1159.07	1295.13	915.51	1295.13	1529.73
TTLL12	182.55	66.65	138.1	208.38	125.24	73.54	156.59	116.78	131.51	145.02	112.77	98.73	66.65	159.9	327.56	334.46	249.73	224.97	291.04	312.0	303.44	460.44	423.61	260.38	262.2	136.19	157.68	236.21	264.03	381.68	258.57	260.38	438.59	423.61	329.84	432.53	165.57	406.31	169.07	248.0	417.77	403.5	332.14	409.15	363.56	242.88	269.6	295.11	285.03	314.17	279.14	426.57	229.72	90.77	356.05	262.2	221.86	208.38	339.14	291.04	312.0	332.14	156.59	435.55	314.17	297.17	307.69	223.41	361.04	262.2	358.54	511.0	343.89	318.57	131.51	269.6	312.0	327.56	277.2	242.88	511.0	285.03	287.01	314.17
TXN2	981.29	1104.13	607.87	934.76	1119.56	708.18	1066.48	802.41	1199.98	941.27	1081.39	1225.22	759.08	595.34	3103.19	3690.52	3372.43	2976.74	2875.3	2997.45	2739.08	2720.15	3257.52	2224.63	2335.28	2163.77	1008.9	2502.97	1936.53	2591.27	1950.0	2816.11	2287.2	3039.3	2609.3	3103.19	1551.09	3419.52	1073.91	2664.15	3081.75	2367.9	2573.36	2895.31	3146.52	2627.46	2895.31	2209.26	3060.45	3280.18	2537.92	3235.01	2777.33	896.64	3060.45	2090.03	2287.2	2400.97	2875.3	3124.78	2701.35	2400.97	1639.59	3372.43	2895.31	2720.15	2384.37	2104.58	2417.67	2758.13	3716.2	2502.97	3190.46	2351.53	2032.85	2875.3	2319.15	2701.35	2855.44	2485.67	3467.27	2148.82	2976.74	2720.15
