	TCGA.VN.A88P.01A.11R.A352.07	TCGA.V1.A9OH.01A.11R.A41O.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.XK.AAJ3.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.7783.01A.11R.2118.07	TCGA.KK.A8I4.01A.11R.A36G.07	TCGA.VP.A87J.01A.11R.A352.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.G9.A9S4.01A.11R.A41O.07	TCGA.KK.A7AV.01A.11R.A32O.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.A7NK.01A.12R.A352.07	TCGA.TP.A8TV.01A.11R.A41O.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.XJ.A9DK.01A.11R.A37L.07	TCGA.EJ.A46D.01A.21R.A32Y.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.KC.A7F6.01A.11R.A33R.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.VN.A88K.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.KK.A7B4.01A.11R.A32O.07	TCGA.EJ.7327.01A.11R.2118.07	TCGA.KK.A6E0.01A.11R.A311.07	TCGA.EJ.A65E.01A.11R.A29R.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6361.01A.21R.1965.07	TCGA.XK.AAIR.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.YL.A9WY.01A.11R.A41O.07	TCGA.KK.A8IM.01A.11R.A36G.07	TCGA.KK.A8I8.01A.11R.A36G.07	TCGA.YL.A9WI.01A.11R.A37L.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.M7.A720.01A.12R.A32O.07	TCGA.EJ.A46I.01A.12R.A26U.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.KK.A8IK.01A.11R.A36G.07	TCGA.YL.A8SO.01B.31R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.YL.A8SH.01B.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.HC.8257.01A.11R.2263.07	TCGA.G9.6499.01A.12R.1965.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.M7.A721.01A.12R.A32O.07	TCGA.HC.7738.01A.11R.2118.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.YL.A8HL.01A.11R.A36G.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.EJ.A8FN.01A.11R.A352.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.J4.A83J.01A.11R.A36G.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.J4.A83I.01A.11R.A36G.07	TCGA.KC.A4BR.01A.32R.A32Y.07	TCGA.YL.A9WK.01A.11R.A37L.07	TCGA.EJ.7788.01A.11R.2118.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.V1.A9OF.01A.11R.A41O.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.EJ.5509.01A.01R.1580.07	TCGA.XK.AAJU.01A.11R.A41O.07	TCGA.J4.AATZ.01A.11R.A41O.07	TCGA.G9.A9S7.01A.11R.A41O.07	TCGA.YL.A9WL.01A.11R.A41O.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.V1.A8MG.01A.11R.A36G.07	TCGA.HC.7209.01A.11R.2118.07	TCGA.EJ.A8FU.01A.11R.A36G.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.HC.7080.01A.11R.1965.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.G9.6336.01A.11R.1789.07	TCGA.EJ.5495.01A.01R.1580.07	TCGA.CH.5794.01A.11R.1580.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.YL.A8HK.01A.11R.A36G.07	TCGA.EJ.A8FS.01A.11R.A352.07	TCGA.G9.6370.01A.11R.1789.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.HC.8261.01A.11R.2263.07	TCGA.ZG.A9L4.01A.11R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.KK.A8IF.01A.11R.A36G.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.VP.A876.01A.11R.A352.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.KC.A7FE.01A.12R.A33R.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.KK.A7B3.01A.11R.A33R.07	TCGA.EJ.7123.01A.11R.1965.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.J4.A83K.01A.11R.A352.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7789.01A.11R.2118.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.KC.A7FA.01A.21R.A33R.07	TCGA.KK.A8I5.01A.11R.A36G.07	TCGA.CH.5741.01A.11R.1580.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.KK.A59Y.01A.11R.A26U.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.KC.A7F3.01A.21R.A33R.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.KK.A8IB.01A.11R.A36G.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.ZG.A9L2.01A.31R.A41O.07	TCGA.YL.A8HO.01A.11R.A36G.07	TCGA.EJ.7792.01A.11R.2118.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.HC.7081.01A.11R.1965.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.YL.A8HM.01A.11R.A36G.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.A65F.01A.21R.A311.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.CH.5762.01A.11R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.KK.A8IA.01A.11R.A36G.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.EJ.A7NN.01A.11R.A33R.07	TCGA.G9.6356.01A.11R.1789.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.KK.A8I6.01A.11R.A36G.07	TCGA.EJ.7125.01A.11R.1965.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.ZG.A9LS.01A.12R.A41O.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.G9.7510.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.HC.7821.01A.12R.2118.07	TCGA.EJ.7321.01A.31R.2263.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.V1.A9ZK.01A.11R.A41O.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.VP.A87K.01A.11R.A352.07	TCGA.M7.A725.01A.12R.A32O.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.CH.5761.11A.01R.1580.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.J4.A83J.11A.11R.A36G.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.139T6.1526.SM.5P9G6
FAM126A	85.82	55.1	52.45	13.03	91.41	60.82	87.03	78.34	99.43	51.71	22.26	50.98	114.36	44.57	45.53	46.18	31.0	66.65	50.98	47.5	53.57	43.32	49.56	84.63	41.81	138.1	88.88	54.33	81.14	57.08	81.14	67.59	47.5	63.0	19.39	90.77	73.54	74.58	36.01	73.03	57.08	49.56	59.13	67.12	59.13	78.89	70.51	17.77	52.45	66.65	39.79	71.5	44.25	98.73	58.71	38.67	69.03	52.82	56.68	23.76	65.72	77.25	40.36	62.56	33.54	90.14	57.89	112.77	92.7	39.22	61.68	111.99	39.22	42.41	117.6	96.01	127.89	48.52	50.63	38.4	89.51	35.76	49.21	31.9	30.78	133.36	41.81	67.59	56.28	61.68	71.5	105.89	11.55	27.64	26.67	37.05	265.87	55.89	51.71	132.44	47.84	63.89	40.93	59.55	132.44	25.91	71.5	75.11	118.43	57.49	27.44	41.52	44.89	43.02	111.99	40.07	73.54	40.93	63.89	83.45	82.29	53.95	60.82	72.52	102.25	76.17	17.77	36.53	108.9	43.94	59.13	40.36	32.13	25.91	92.7	57.89	46.5	45.21	43.63	62.56	39.22	37.59	38.95	141.02	167.9	197.09	32.13	130.6	48.52	66.65	81.14	22.75	40.64	33.54	49.56	29.48	57.08	124.37	154.42	31.67	63.89	40.07	18.7	76.17	38.67	29.27	51.71	57.08	63.89	50.63	54.33	89.51	16.63	94.01	46.5	59.97	45.53	22.92	58.71	98.73	74.06	40.64	73.54	36.27	46.84	41.52	52.45	32.59	32.82	74.06	58.71	77.25	69.03	78.34	102.97	92.7	50.27	215.77	92.7
FAT4	24.46	13.32	9.48	2.46	11.13	21.32	60.39	27.05	10.79	35.0	4.1	12.64	48.87	2.73	33.54	3.82	5.36	28.65	22.26	15.45	15.34	8.13	14.24	11.55	9.2	55.1	5.54	10.88	30.34	21.16	23.08	35.5	14.67	49.56	1.16	27.44	25.72	23.93	11.82	9.63	13.22	19.97	26.67	19.68	20.26	19.39	12.18	3.66	8.13	22.59	8.71	17.9	13.72	34.75	16.88	30.78	49.21	8.45	19.68	5.15	17.51	16.75	7.11	8.45	11.13	20.26	15.91	27.05	53.19	7.06	10.71	54.33	15.0	17.38	36.01	19.53	66.65	9.56	5.82	13.62	34.26	23.25	7.57	4.03	5.32	25.54	5.92	13.42	21.16	17.9	45.21	26.86	0.78	5.5	4.58	9.13	76.71	11.73	14.45	30.78	3.14	44.89	10.31	13.52	31.0	4.62	4.46	24.81	39.79	8.25	10.71	12.0	16.27	14.35	60.82	28.86	23.25	13.93	16.88	33.54	15.91	11.04	10.08	20.11	55.49	14.14	3.2	9.93	17.38	6.16	20.26	5.92	19.25	15.22	13.52	11.3	12.27	17.13	7.63	16.39	5.36	3.59	2.89	53.95	38.67	128.79	8.06	76.17	9.2	14.03	12.45	4.66	12.93	4.9	18.29	4.13	29.91	55.49	56.28	13.42	7.06	19.11	5.28	16.15	8.06	4.13	20.86	33.3	17.77	15.56	10.24	50.98	2.61	30.34	17.0	28.04	14.56	8.0	12.36	38.12	15.0	18.7	22.43	11.3	5.36	5.32	5.96	8.58	7.88	18.56	23.59	49.91	26.67	39.79	53.57	44.57	16.39	100.13	31.22
FBN1	323.03	341.51	132.44	44.25	236.21	368.65	521.76	473.41	194.36	269.6	73.03	218.79	616.37	30.34	197.09	89.51	126.12	251.48	202.66	205.5	136.19	125.24	201.25	202.66	187.71	775.05	106.63	119.26	381.68	205.5	476.71	191.67	164.42	373.81	21.32	242.88	860.08	395.18	211.31	137.14	239.52	231.32	248.0	157.68	343.89	248.0	244.57	69.52	242.88	297.17	194.36	181.28	173.85	353.59	332.14	291.04	303.44	96.01	244.57	74.06	287.01	152.28	151.22	141.02	119.26	190.34	173.85	293.07	309.83	139.07	127.0	463.65	105.15	283.05	507.46	447.82	633.73	145.02	87.03	130.6	371.22	169.07	123.5	63.89	201.25	155.5	116.78	124.37	255.0	208.38	543.96	336.79	39.79	75.64	111.21	125.24	866.07	242.88	166.73	454.09	66.65	318.57	106.63	187.71	579.04	93.35	116.78	379.04	293.07	143.01	249.73	260.38	351.14	159.9	441.64	273.37	305.55	325.29	165.57	406.31	154.42	102.97	271.48	358.54	441.64	181.28	54.72	242.88	379.04	172.65	258.57	104.42	144.01	185.11	193.01	241.19	153.34	177.53	148.09	142.01	170.25	68.55	68.55	830.75	587.13	836.53	100.13	854.13	102.97	153.34	191.67	63.45	128.79	114.36	260.38	51.71	279.14	406.31	454.09	115.16	175.07	146.03	102.97	223.41	201.25	105.89	246.28	366.09	139.07	150.17	143.01	356.05	35.76	743.43	248.0	412.0	181.28	77.25	173.85	713.11	172.65	301.33	291.04	127.89	151.22	170.25	89.51	94.67	74.06	139.07	142.01	275.28	223.41	305.55	373.81	262.2	126.12	656.11	297.17
FGF10	20.86	35.76	22.75	5.82	6.67	66.18	54.33	75.64	7.11	28.04	7.4	19.11	59.97	4.43	49.21	1.53	1.45	57.08	45.85	54.33	21.47	20.71	15.11	57.49	8.06	57.08	7.22	27.05	49.21	21.47	75.11	101.54	39.5	50.63	1.2	21.16	28.04	34.26	12.64	10.08	18.03	26.67	45.53	12.27	41.52	30.34	5.73	1.97	5.15	18.43	9.2	36.53	17.0	51.71	10.39	27.84	18.97	25.72	52.82	5.28	27.64	43.63	7.28	9.93	9.93	19.97	8.65	40.64	63.89	1.6	8.19	48.18	14.24	10.71	16.88	34.26	101.54	10.71	10.88	12.55	100.83	51.71	13.03	6.06	1.85	26.67	11.04	24.28	44.57	27.05	47.84	42.71	0.48	1.79	10.08	17.64	63.89	18.43	13.72	69.52	5.87	48.87	12.36	12.36	60.82	6.11	1.19	51.35	51.71	7.0	8.99	20.71	12.45	19.53	50.27	46.84	33.3	13.83	38.4	57.89	30.78	11.55	14.35	48.87	132.44	2.48	0.55	22.43	34.26	4.54	92.7	21.16	16.51	23.93	26.47	16.63	33.54	24.99	31.22	32.36	4.1	11.82	2.34	72.01	108.9	147.06	8.25	33.54	10.0	28.65	1.87	5.77	15.11	2.94	11.38	7.17	67.59	61.68	36.27	42.71	15.56	41.52	7.4	12.18	15.56	0.0	27.44	85.82	31.67	21.94	15.22	76.71	0.79	52.82	15.11	36.79	10.55	6.41	13.52	1.64	22.43	42.41	24.46	21.32	2.53	3.82	2.68	25.54	11.64	66.65	45.21	53.57	24.81	59.97	73.54	50.98	18.03	226.54	47.84
FKBP9	759.08	764.36	848.22	490.14	1277.29	1127.35	1313.23	1167.14	684.02	1340.84	543.96	915.51	1388.16	802.41	1001.93	775.05	529.06	1044.52	1096.5	967.76	769.69	764.36	830.75	819.3	1066.48	1540.37	633.73	412.0	836.53	941.27	954.43	1135.2	629.35	941.27	728.11	743.43	796.86	928.3	764.36	473.41	791.35	830.75	1066.48	1159.07	1143.1	866.07	1111.82	376.41	902.89	830.75	540.19	1059.11	1037.29	1111.82	796.86	1350.18	842.36	629.35	1322.37	1030.12	1199.98	733.19	583.07	1447.15	866.07	723.08	693.58	1096.5	1088.92	647.07	890.44	674.59	819.3	1369.04	1331.57	1081.39	954.43	1331.57	684.02	915.51	684.02	1216.75	954.43	708.18	1304.15	896.64	638.15	896.64	1111.82	1208.34	1268.46	1340.84	392.44	642.59	563.18	759.08	2163.77	954.43	967.76	1551.09	638.15	1359.57	915.51	775.05	1322.37	684.02	194.36	1030.12	1059.11	842.36	878.17	1159.07	896.64	708.18	1378.57	954.43	890.44	819.3	1073.91	1037.29	1081.39	1167.14	629.35	961.07	1059.11	612.11	651.58	599.49	890.44	1268.46	1340.84	825.0	878.17	684.02	599.49	1037.29	791.35	1008.9	616.37	995.0	567.1	733.19	251.48	1733.13	1268.46	1498.22	981.29	1639.59	934.76	909.17	275.28	536.45	775.05	571.05	1037.29	872.1	1023.0	1127.35	1295.13	759.08	769.69	988.12	854.13	1081.39	974.5	693.58	1015.93	1037.29	866.07	698.41	819.3	1268.46	813.63	1119.56	693.58	1015.93	785.88	432.53	698.41	1487.87	802.41	1208.34	884.29	848.22	1104.13	688.78	728.11	551.56	780.44	1331.57	995.0	1498.22	1096.5	1313.23	1304.15	1135.2	1104.13	1896.65	1037.29
FLRT2	41.52	54.33	28.86	8.25	42.11	96.68	92.05	56.28	31.22	84.04	13.12	53.19	101.54	3.89	74.06	5.96	10.96	109.66	89.51	52.82	47.5	33.78	15.45	59.13	25.72	171.45	13.83	75.11	82.87	74.06	97.36	114.36	47.17	96.01	6.41	58.71	33.3	85.82	21.47	25.72	59.97	46.84	85.22	44.25	57.08	69.52	22.26	4.62	36.01	98.04	21.01	81.71	75.64	77.79	76.71	87.03	71.5	28.24	61.68	16.88	63.89	65.26	14.67	11.13	41.52	48.87	24.28	88.26	50.27	28.45	37.85	115.16	50.63	40.36	82.87	86.43	104.42	26.86	13.83	36.27	128.79	72.01	10.88	16.75	10.39	60.39	22.1	26.86	65.26	31.67	113.56	92.05	1.53	7.94	43.63	50.63	125.24	32.82	47.84	121.79	15.91	109.66	60.82	31.9	70.51	18.56	15.22	72.52	92.7	41.52	14.14	40.07	39.5	44.25	133.36	78.34	55.1	56.28	40.36	94.67	64.34	28.65	36.53	95.34	113.56	13.72	4.06	55.1	54.72	15.0	43.94	10.71	32.59	33.3	50.27	26.67	36.27	46.84	36.01	76.17	14.35	25.35	4.78	202.66	163.28	312.0	42.11	98.04	19.39	69.52	12.45	12.64	43.32	11.3	67.59	18.56	81.14	143.01	75.64	47.84	24.99	55.49	14.89	48.87	34.75	12.09	42.41	117.6	53.95	50.63	34.51	58.71	2.23	121.79	85.22	81.14	58.71	16.51	36.01	87.65	36.01	90.77	36.01	36.01	26.1	7.4	12.74	29.48	45.53	57.89	59.13	88.26	98.73	126.12	90.14	78.89	46.18	208.38	80.01
FNBP1	503.95	698.41	624.99	226.54	447.82	753.83	981.29	854.13	540.19	743.43	480.04	599.49	1119.56	307.69	1008.9	368.65	343.89	633.73	785.88	612.11	532.74	583.07	457.25	656.11	547.75	872.1	414.87	358.54	738.29	808.0	836.53	896.64	647.07	769.69	246.28	603.67	961.07	723.08	490.14	476.71	567.1	902.89	1127.35	476.71	624.99	651.58	543.96	351.14	679.29	660.68	387.02	718.08	400.71	785.88	547.75	961.07	493.56	435.55	743.43	532.74	642.59	647.07	368.65	412.0	511.0	759.08	480.04	708.18	896.64	414.87	379.04	698.41	432.53	507.46	1322.37	796.86	780.44	438.59	381.68	450.94	759.08	825.0	503.95	339.14	279.14	547.75	406.31	674.59	819.3	457.25	1340.84	629.35	244.57	356.05	463.65	473.41	1295.13	525.39	753.83	961.07	353.59	872.1	454.09	497.0	587.13	339.14	327.56	674.59	591.22	486.75	366.09	466.88	587.13	583.07	981.29	764.36	693.58	780.44	540.19	684.02	775.05	450.94	583.07	1037.29	665.29	638.15	334.46	540.19	651.58	299.25	780.44	397.93	429.54	638.15	708.18	1008.9	536.45	463.65	497.0	674.59	376.41	353.59	351.14	1191.69	775.05	1286.18	551.56	775.05	368.65	579.04	551.56	343.89	587.13	525.39	1001.93	376.41	1199.98	723.08	1127.35	684.02	559.28	928.3	409.15	718.08	483.38	325.29	866.07	769.69	559.28	525.39	476.71	616.37	532.74	1151.06	587.13	759.08	511.0	723.08	470.14	728.11	616.37	813.63	866.07	647.07	540.19	551.56	420.68	420.68	518.15	518.15	860.08	974.5	780.44	866.07	995.0	1104.13	500.46	1519.15	890.44
FREM2	14.03	12.64	6.62	0.0	32.82	18.56	26.1	11.91	3.35	28.04	6.11	4.39	28.45	0.49	18.16	0.22	1.01	29.27	19.53	14.14	10.08	9.34	3.89	11.55	2.78	34.02	1.04	27.05	19.97	12.0	13.42	22.92	14.67	24.81	0.52	5.06	21.47	24.28	3.56	0.8	12.27	15.8	26.47	5.63	15.8	21.01	2.29	0.55	5.36	15.68	12.74	17.38	7.06	22.43	8.71	18.97	4.78	11.13	31.45	2.25	16.03	25.35	1.64	2.56	8.0	10.63	7.46	31.45	26.28	3.56	5.28	24.11	12.36	3.76	10.24	10.08	27.25	2.97	13.03	5.59	25.17	21.32	1.41	1.35	0.79	17.77	4.03	17.0	19.53	10.0	22.75	3.82	0.0	1.31	5.23	11.73	53.95	7.0	11.55	15.45	1.36	19.53	9.78	28.65	1.51	1.13	0.8	8.32	21.32	5.45	2.76	5.45	3.29	9.13	30.78	30.12	12.27	7.17	14.24	16.27	12.55	7.94	6.52	24.81	18.97	26.67	0.27	3.44	13.83	1.17	33.06	3.26	5.96	7.0	6.84	6.94	10.47	3.2	4.62	20.86	3.56	2.89	0.46	12.18	11.13	104.42	7.11	28.45	0.53	14.89	3.06	11.13	8.45	14.67	3.76	1.08	32.36	33.3	29.27	12.74	4.82	23.08	2.32	17.0	4.31	1.66	13.42	31.45	11.38	4.98	3.08	19.39	1.0	16.27	17.38	19.39	16.63	1.73	9.63	9.13	9.78	18.03	16.27	9.27	2.2	0.51	2.34	4.86	6.01	6.67	13.12	34.26	21.63	15.0	13.62	21.01	13.52	77.25	14.35
FRMD3	27.64	23.59	11.21	12.0	10.63	19.11	42.71	31.9	19.25	22.59	6.57	27.05	48.52	7.51	21.01	13.72	23.76	25.54	17.64	17.77	29.91	12.93	28.04	13.03	10.63	34.51	22.92	11.73	37.59	15.22	30.34	35.25	15.0	19.39	5.45	16.51	37.05	17.25	17.0	6.11	20.86	16.15	21.94	18.97	21.63	21.78	57.49	16.75	18.84	21.63	20.56	25.54	12.93	25.35	32.13	19.25	20.41	13.52	21.32	14.78	22.59	16.63	15.56	14.45	13.62	23.42	29.48	90.14	19.82	25.35	24.28	54.72	20.11	21.32	37.32	57.49	18.29	18.29	16.75	12.83	33.78	23.25	13.03	9.56	16.88	16.39	19.25	19.97	28.04	29.48	26.28	36.53	6.46	30.56	7.63	17.38	89.51	14.35	13.03	53.95	10.0	31.45	18.7	13.72	43.94	5.96	15.0	57.89	27.25	12.55	10.55	39.22	37.59	18.97	37.85	18.7	21.94	27.05	31.45	37.32	22.75	19.25	24.63	21.78	41.22	33.78	10.31	19.39	17.38	13.93	22.1	10.08	11.3	11.21	22.1	18.03	14.45	18.16	11.64	22.75	13.32	12.74	8.65	25.72	42.11	62.12	14.67	59.13	18.03	11.55	16.51	11.21	10.71	6.94	26.86	9.41	28.65	45.53	32.36	17.64	15.68	20.56	12.74	36.27	16.27	99.43	31.9	22.26	18.29	17.13	18.84	19.25	6.26	39.79	18.97	37.85	28.65	17.13	15.91	21.94	19.97	22.43	24.81	14.56	15.11	5.32	10.31	9.7	8.65	18.84	15.34	32.59	17.51	31.45	27.05	37.32	26.1	75.11	78.34
GAB2	113.56	99.43	30.56	23.59	62.56	82.87	132.44	112.77	72.01	114.36	45.21	72.52	193.01	18.97	81.14	44.89	49.91	71.0	60.82	51.35	60.82	54.72	111.21	63.45	117.6	176.29	28.45	48.18	106.63	76.71	111.99	90.77	61.25	148.09	16.63	119.26	193.01	96.01	52.08	60.39	82.29	60.39	72.52	80.01	99.43	75.64	69.03	32.36	105.15	82.29	88.88	62.56	53.57	163.28	63.0	87.03	79.45	32.36	69.03	90.77	80.01	110.43	41.81	49.56	52.82	85.22	53.57	109.66	95.34	71.5	64.34	206.94	40.07	111.99	178.77	162.14	123.5	100.83	52.08	59.97	116.78	66.18	63.89	30.34	64.34	58.3	42.41	77.25	89.51	99.43	127.89	125.24	13.32	50.98	41.22	51.71	204.07	111.99	44.89	140.04	78.34	98.04	82.87	74.58	162.14	37.59	50.27	108.14	100.13	71.0	59.55	78.34	67.12	69.03	170.25	72.01	96.01	88.26	65.26	134.3	79.45	60.39	91.41	66.65	76.71	79.45	40.93	65.72	97.36	80.57	76.17	39.5	60.39	75.11	88.88	88.88	43.63	50.27	67.59	80.57	49.56	25.17	21.94	297.17	154.42	205.5	37.59	223.41	96.01	53.57	67.59	32.36	55.89	63.45	100.13	49.91	70.01	140.04	154.42	60.39	76.71	48.18	34.75	100.83	55.1	37.05	108.9	102.97	54.72	64.8	80.57	115.16	54.72	194.36	98.04	92.7	67.12	60.39	85.22	166.73	80.57	80.57	94.01	55.49	55.1	44.89	43.63	37.85	46.18	46.5	54.72	90.14	73.54	162.14	109.66	133.36	53.19	161.02	151.22
GAS7	56.28	73.54	49.21	15.11	44.57	67.59	108.14	140.04	69.03	46.84	22.43	83.45	136.19	5.36	68.55	27.25	33.06	113.56	79.45	47.84	45.85	67.12	46.84	61.25	63.89	120.94	35.5	58.3	96.01	60.39	85.82	115.97	58.3	108.9	8.25	82.29	143.01	84.63	55.89	49.21	90.14	87.65	145.02	32.82	68.55	105.15	42.41	24.11	46.5	63.45	55.89	41.81	32.59	77.25	69.03	59.97	75.64	29.7	68.07	14.67	98.04	57.08	28.86	28.24	33.78	99.43	40.64	89.51	38.67	43.32	28.45	134.3	42.41	60.39	142.01	241.19	132.44	41.81	48.52	36.53	152.28	48.52	30.56	17.77	41.52	76.17	40.93	59.97	105.15	71.0	129.69	75.11	8.51	28.86	46.18	57.49	171.45	59.55	71.5	95.34	14.45	163.28	27.25	64.8	76.71	49.56	31.67	120.94	52.82	24.11	62.56	53.95	76.17	32.13	99.43	82.29	70.01	90.14	43.63	104.42	56.28	35.76	64.8	104.42	78.89	40.36	11.47	63.0	83.45	24.11	89.51	17.64	35.5	44.25	55.89	26.1	43.63	44.57	54.72	57.08	54.72	19.53	12.27	116.78	141.02	186.4	37.59	285.03	40.64	40.07	38.67	29.06	42.41	22.43	80.01	14.56	103.69	78.89	101.54	71.0	63.89	105.89	29.27	67.59	43.94	30.12	59.97	178.77	45.85	73.03	43.94	92.7	6.16	139.07	46.84	87.65	53.19	37.32	53.95	144.01	54.72	115.97	81.14	41.22	26.28	29.27	30.34	27.64	18.7	35.5	74.58	77.25	68.55	146.03	128.79	96.01	27.84	111.99	248.0
