	TCGA.K4.A54R.11A.11R.A26T.07	GTEX.Y9LG.0626.SM.4WWDH	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.139TT.0726.SM.5K7XW	GTEX.13O3O.0726.SM.5J1N7	GTEX.12584.1426.SM.5EGJ9	GTEX.147F4.0926.SM.5Q5EO	GTEX.11NV4.1126.SM.5HL6J	GTEX.11OF3.1126.SM.5986C	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.KC.A7FD.01A.11R.A33R.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.G9.6342.11A.02R.1965.07	GTEX.11WQK.2926.SM.5EQKT	GTEX.11NUK.2426.SM.5BC4U	GTEX.117YW.2226.SM.5N9DB
NAGA	444.72	255.0	0.0	0.44	397.93	540.19	403.5	612.11	454.09	273.37	616.37	490.14	620.67	575.03	759.08	529.06	842.36	642.59	775.05	551.56	780.44	607.87	941.27	483.38	723.08	629.35	718.08	651.58	674.59	684.02	612.11	384.34	728.11	521.76	693.58	624.99	624.99	579.04	813.63	688.78	511.0	563.18	738.29	669.92	708.18	872.1	764.36	190.34	435.55	147.06
NBAS	312.0	392.44	0.0	0.6	387.02	249.73	318.57	279.14	289.02	244.57	438.59	796.86	547.75	480.04	759.08	457.25	607.87	579.04	587.13	480.04	684.02	571.05	733.19	559.28	674.59	463.65	656.11	567.1	551.56	713.11	698.41	409.15	629.35	563.18	450.94	743.43	738.29	583.07	629.35	647.07	571.05	603.67	769.69	579.04	620.67	698.41	688.78	253.23	267.73	285.03
NEK9	521.76	466.88	0.0	0.79	693.58	483.38	379.04	679.29	262.2	248.0	656.11	698.41	723.08	656.11	780.44	660.68	753.83	633.73	738.29	1037.29	703.28	866.07	854.13	638.15	674.59	813.63	775.05	688.78	928.3	409.15	713.11	813.63	819.3	854.13	947.83	753.83	665.29	860.08	825.0	915.51	753.83	684.02	629.35	674.59	848.22	921.88	684.02	255.0	169.07	211.31
NFIX	511.0	1208.34	447.82	332.14	981.29	397.93	796.86	1216.75	351.14	748.61	2520.38	2240.11	3515.68	2701.35	3665.02	3847.29	2032.85	1844.76	3589.58	2209.26	4388.98	5441.3	3168.41	2609.3	2895.31	3491.39	4328.55	4123.49	2758.13	1697.45	3081.75	3190.46	3103.19	2682.69	2855.44	2609.3	2701.35	1745.2	1963.57	3212.66	3467.27	2004.85	2855.44	2133.97	2384.37	2451.44	2090.03	256.78	368.65	1832.01
NLRX1	75.64	1733.13	0.0	0.1	63.0	63.89	55.1	31.67	66.65	16.39	187.71	325.29	287.01	147.06	387.02	279.14	293.07	204.07	236.21	392.44	403.5	283.05	316.37	251.48	277.2	283.05	277.2	334.46	264.03	281.09	153.34	214.27	231.32	281.09	198.47	381.68	279.14	361.04	211.31	341.51	226.54	195.72	409.15	241.19	303.44	361.04	293.07	205.5	159.9	31.9
PIGV	187.71	129.69	0.0	0.0	150.17	187.71	166.73	139.07	82.29	63.0	463.65	728.11	620.67	412.0	435.55	575.03	559.28	332.14	483.38	500.46	555.41	620.67	647.07	285.03	591.22	460.44	698.41	463.65	483.38	409.15	387.02	463.65	435.55	423.61	420.68	536.45	409.15	651.58	457.25	567.1	540.19	429.54	638.15	409.15	503.95	559.28	603.67	69.03	63.0	103.69
PIP4K2B	218.79	241.19	0.0	0.39	316.37	164.42	172.65	202.66	175.07	215.77	343.89	392.44	486.75	346.29	642.59	426.57	444.72	371.22	460.44	579.04	547.75	500.46	529.06	341.51	540.19	511.0	368.65	476.71	490.14	379.04	423.61	307.69	583.07	447.82	423.61	500.46	392.44	497.0	507.46	540.19	450.94	314.17	575.03	381.68	612.11	497.0	493.56	121.79	91.41	202.66
PPP2R4	1216.75	1662.49	0.0	0.41	1191.69	764.36	825.0	1378.57	2555.58	1111.82	3768.09	5292.48	4419.52	3395.89	6164.49	4972.34	5366.37	5041.77	4903.87	3443.31	6516.03	6037.61	5672.41	4038.61	4607.24	3564.78	4298.64	3742.05	3820.7	5147.73	5555.65	3212.66	4358.66	3146.52	3639.7	5041.77	5441.3	4450.27	4038.61	5751.61	3874.05	4512.4	5292.48	4450.27	5594.3	5183.54	5219.6	3742.05	1081.39	1111.82
PPP2R5D	267.73	395.18	0.0	0.68	476.71	182.55	281.09	336.79	423.61	414.87	620.67	819.3	748.61	656.11	967.76	860.08	764.36	660.68	866.07	775.05	1096.5	934.76	848.22	738.29	830.75	713.11	813.63	738.29	728.11	759.08	693.58	660.68	988.12	642.59	660.68	941.27	728.11	759.08	902.89	974.5	733.19	718.08	1001.93	848.22	890.44	866.07	802.41	285.03	223.41	221.86
PRR12	96.68	145.02	0.0	0.49	82.29	43.02	44.89	45.85	39.5	45.85	119.26	175.07	239.52	180.02	262.2	232.94	214.27	120.1	301.33	273.37	316.37	299.25	267.73	140.04	262.2	149.12	220.32	205.5	204.07	189.02	305.55	201.25	307.69	193.01	199.85	316.37	209.84	239.52	314.17	281.09	273.37	178.77	256.78	206.94	202.66	260.38	164.42	75.11	84.63	123.5
PSPN	17.13	11.82	0.0	0.05	19.25	10.71	7.63	11.55	14.67	15.8	20.71	39.79	28.86	47.5	37.59	25.35	38.67	29.91	46.5	39.79	37.32	30.56	37.05	16.27	46.84	45.85	31.9	37.85	27.84	44.89	22.59	28.65	29.48	29.06	24.63	45.53	50.63	27.84	32.36	36.27	32.13	29.48	34.51	23.42	26.86	48.87	42.71	12.64	5.32	22.59
PYGO2	395.18	297.17	0.0	0.67	536.45	275.28	297.17	204.07	624.99	460.44	684.02	967.76	780.44	830.75	866.07	848.22	896.64	698.41	848.22	785.88	884.29	860.08	995.0	638.15	941.27	796.86	854.13	665.29	759.08	825.0	808.0	759.08	791.35	764.36	769.69	884.29	743.43	769.69	848.22	921.88	1008.9	723.08	915.51	813.63	860.08	934.76	902.89	285.03	134.3	447.82
R3HCC1	336.79	301.33	0.0	0.34	279.14	423.61	420.68	305.55	348.71	221.86	708.18	571.05	642.59	412.0	1143.1	743.43	878.17	748.61	507.46	759.08	866.07	813.63	1001.93	414.87	743.43	536.45	583.07	379.04	423.61	830.75	848.22	366.09	708.18	503.95	551.56	921.88	915.51	860.08	518.15	1015.93	698.41	713.11	854.13	961.07	954.43	1044.52	961.07	389.72	151.22	647.07
RABL5	366.09	177.53	0.0	0.06	285.03	974.5	368.65	316.37	206.94	244.57	674.59	1111.82	890.44	802.41	961.07	890.44	915.51	753.83	1111.82	785.88	1066.48	902.89	1008.9	825.0	854.13	813.63	1073.91	688.78	728.11	1015.93	866.07	579.04	1191.69	1304.15	723.08	934.76	825.0	902.89	878.17	896.64	1088.92	884.29	1183.45	1001.93	872.1	1051.79	1250.98	264.03	195.72	129.69
RNF167	2417.67	2367.9	0.0	0.77	1639.59	890.44	1923.14	1159.07	1844.76	1378.57	2720.15	4152.18	3589.58	2591.27	4481.23	2855.44	3716.2	2664.15	3955.48	2956.17	4038.61	3614.55	4512.4	2701.35	3742.05	2875.3	3589.58	3491.39	3665.02	3690.52	3564.78	3540.14	3665.02	4123.49	3257.52	3303.0	3794.3	3168.41	2915.45	4239.45	3901.01	2997.45	3589.58	4010.71	3820.7	4239.45	4419.52	981.29	769.69	1477.58
RNF26	239.52	341.51	507.46	140.04	182.55	165.57	214.27	316.37	269.6	175.07	389.72	417.77	435.55	332.14	785.88	432.53	480.04	429.54	460.44	493.56	575.03	529.06	733.19	303.44	536.45	483.38	514.56	397.93	417.77	503.95	303.44	309.83	351.14	429.54	444.72	583.07	493.56	420.68	387.02	612.11	438.59	511.0	500.46	497.0	536.45	642.59	583.07	224.97	135.24	318.57
RPAP1	167.9	241.19	0.0	0.38	72.01	88.88	84.63	102.25	64.8	49.21	273.37	356.05	327.56	351.14	417.77	356.05	309.83	329.84	323.03	329.84	267.73	493.56	414.87	262.2	412.0	397.93	341.51	297.17	309.83	346.29	403.5	320.8	351.14	248.0	363.56	454.09	406.31	309.83	318.57	363.56	358.54	305.55	356.05	371.22	339.14	334.46	307.69	180.02	50.98	104.42
SIDT2	373.81	412.0	0.0	0.55	1304.15	775.05	713.11	1233.75	1674.06	1081.39	1143.1	1721.16	1001.93	872.1	2485.67	1685.71	1963.57	2148.82	2032.85	1757.34	1697.45	1697.45	2119.22	1378.57	1175.27	1806.78	1417.35	2271.4	1487.87	1437.15	947.83	1104.13	1697.45	2224.63	1540.37	4123.49	2209.26	1044.52	1313.23	3419.52	1794.29	1572.76	2271.4	1936.53	2240.11	2855.44	2609.3	325.29	909.17	1051.79
SIRT5	251.48	118.43	0.0	0.0	138.1	159.9	96.01	106.63	55.1	57.89	199.85	260.38	241.19	128.79	275.28	205.5	242.88	190.34	209.84	287.01	237.86	231.32	251.48	253.23	255.0	193.01	316.37	199.85	279.14	253.23	198.47	358.54	231.32	232.94	275.28	273.37	244.57	253.23	242.88	309.83	214.27	191.67	232.94	251.48	343.89	297.17	316.37	45.85	127.89	47.5
SLC23A1	9.41	7.28	0.0	0.01	6.57	83.45	20.26	15.56	13.62	8.85	395.18	161.02	153.34	87.03	234.57	312.0	287.01	248.0	130.6	99.43	255.0	229.72	836.53	231.32	86.43	743.43	285.03	486.75	74.06	119.26	473.41	145.02	155.5	669.92	343.89	223.41	314.17	679.29	120.94	543.96	21.32	47.17	178.77	102.25	486.75	120.94	435.55	5.92	6.73	34.51
SLC27A1	255.0	141.02	223.41	665.29	167.9	139.07	136.19	92.05	118.43	139.07	334.46	287.01	358.54	363.56	860.08	435.55	543.96	470.14	432.53	525.39	551.56	483.38	693.58	332.14	363.56	301.33	384.34	281.09	220.32	551.56	417.77	223.41	420.68	334.46	329.84	660.68	361.04	426.57	353.59	591.22	348.71	457.25	591.22	271.48	684.02	563.18	579.04	158.79	88.88	45.85
SLC4A3	24.99	44.25	0.0	0.62	31.0	12.83	6.26	3.2	8.25	19.53	112.77	97.36	126.12	132.44	251.48	100.83	144.01	149.12	190.34	221.86	215.77	67.59	256.78	104.42	150.17	133.36	80.57	111.21	127.89	153.34	201.25	125.24	223.41	162.14	103.69	159.9	111.99	154.42	185.11	209.84	68.07	120.94	144.01	152.28	193.01	241.19	130.6	15.56	13.03	42.41
SMO	93.35	92.7	0.0	0.54	39.79	28.65	28.86	37.85	36.01	47.17	305.55	351.14	476.71	301.33	684.02	277.2	583.07	392.44	540.19	612.11	595.34	476.71	543.96	336.79	536.45	563.18	417.77	368.65	412.0	400.71	713.11	237.86	665.29	571.05	389.72	624.99	426.57	480.04	599.49	543.96	473.41	279.14	595.34	429.54	629.35	579.04	503.95	40.36	35.76	43.94
SNUPN	305.55	187.71	0.0	0.16	358.54	136.19	190.34	167.9	221.86	170.25	409.15	665.29	518.15	316.37	591.22	559.28	571.05	376.41	599.49	438.59	693.58	579.04	543.96	551.56	591.22	432.53	575.03	412.0	514.56	559.28	813.63	466.88	647.07	591.22	507.46	559.28	679.29	607.87	529.06	629.35	571.05	529.06	563.18	518.15	529.06	567.1	633.73	161.02	117.6	181.28
SNX15	291.04	301.33	0.0	0.01	307.69	220.32	275.28	239.52	327.56	281.09	361.04	511.0	497.0	363.56	571.05	470.14	529.06	285.03	466.88	457.25	441.64	470.14	595.34	423.61	429.54	332.14	518.15	275.28	397.93	518.15	595.34	316.37	441.64	406.31	483.38	493.56	500.46	305.55	514.56	563.18	457.25	400.71	406.31	536.45	507.46	540.19	503.95	127.89	151.22	264.03
SNX17	1331.57	1225.22	0.0	0.55	1044.52	974.5	934.76	1008.9	1127.35	674.59	2018.8	2555.58	2537.92	1909.85	2895.31	2018.8	2520.38	2224.63	2319.15	2335.28	2537.92	2720.15	2915.45	1896.65	2855.44	2485.67	2434.5	2148.82	2255.7	3081.75	3081.75	2163.77	2351.53	2609.3	2319.15	2319.15	2645.74	2555.58	2018.8	2816.11	2209.26	2163.77	2240.11	2520.38	2739.08	2591.27	3257.52	974.5	642.59	1096.5
SPHK2	130.6	126.12	0.0	0.16	105.15	69.03	60.39	96.01	51.71	77.79	341.51	429.54	400.71	426.57	343.89	511.0	397.93	258.57	423.61	743.43	514.56	363.56	339.14	353.59	454.09	400.71	381.68	348.71	277.2	599.49	525.39	521.76	497.0	441.64	426.57	884.29	547.75	426.57	559.28	543.96	339.14	332.14	507.46	406.31	463.65	406.31	275.28	81.14	62.56	100.13
SPTBN4	19.68	18.29	0.0	0.37	14.45	8.58	19.68	18.84	16.15	8.19	108.9	164.42	54.72	80.01	111.99	193.01	87.03	61.68	170.25	155.5	220.32	130.6	85.82	121.79	102.97	76.17	90.14	128.79	137.14	95.34	185.11	93.35	152.28	150.17	94.01	134.3	128.79	108.14	94.01	169.07	72.01	53.57	120.1	63.89	73.54	86.43	58.3	4.5	5.92	20.56
ST20	33.3	66.18	0.0	0.49	251.48	116.78	115.16	136.19	148.09	209.84	212.78	514.56	435.55	299.25	366.09	381.68	301.33	258.57	325.29	486.75	379.04	248.0	358.54	363.56	329.84	329.84	312.0	202.66	262.2	575.03	204.07	351.14	532.74	599.49	177.53	480.04	384.34	351.14	305.55	457.25	341.51	214.27	470.14	429.54	417.77	483.38	473.41	33.78	9.7	85.22
STK16	567.1	466.88	0.0	0.46	303.44	567.1	309.83	351.14	291.04	189.02	796.86	1397.83	1001.93	941.27	1159.07	1216.75	1066.48	947.83	890.44	995.0	1037.29	1175.27	1127.35	934.76	988.12	921.88	1233.75	921.88	791.35	1295.13	1037.29	890.44	1127.35	1199.98	947.83	1437.15	1331.57	1183.45	941.27	1183.45	1066.48	842.36	1225.22	1001.93	1104.13	1081.39	1191.69	279.14	466.88	490.14
STOML1	59.97	77.25	0.0	0.16	118.43	209.84	158.79	162.14	199.85	88.26	191.67	511.0	273.37	171.45	309.83	368.65	356.05	241.19	287.01	307.69	400.71	371.22	463.65	221.86	246.28	279.14	314.17	208.38	248.0	361.04	318.57	169.07	251.48	476.71	248.0	406.31	460.44	303.44	305.55	389.72	490.14	256.78	314.17	395.18	381.68	414.87	348.71	138.1	37.05	45.85
STUB1	2004.85	2163.77	0.0	0.89	1923.14	1175.27	1561.89	872.1	3372.43	1923.14	2609.3	4937.99	3257.52	2997.45	5594.3	3716.2	3540.14	3614.55	3874.05	3280.18	4704.07	3820.7	4512.4	3589.58	4388.98	3515.68	3716.2	3190.46	3515.68	5517.27	5555.65	3515.68	4210.15	4095.0	3491.39	4704.07	5255.91	3146.52	3614.55	4704.07	4152.18	3467.27	4388.98	4869.99	4181.07	4095.0	4937.99	2335.28	854.13	1639.59
SUFU	112.77	131.51	0.0	0.39	113.56	65.26	80.57	111.21	98.04	96.68	162.14	258.57	309.83	131.51	381.68	249.73	258.57	140.04	293.07	309.83	414.87	358.54	384.34	264.03	348.71	239.52	307.69	309.83	291.04	231.32	293.07	231.32	316.37	246.28	220.32	409.15	241.19	260.38	351.14	406.31	271.48	157.68	226.54	267.73	336.79	323.03	351.14	138.1	46.18	60.82
SUMF1	591.22	684.02	0.0	0.42	540.19	177.53	312.0	312.0	460.44	249.73	928.3	1208.34	1073.91	624.99	878.17	954.43	785.88	633.73	890.44	669.92	1167.14	928.3	1001.93	860.08	1044.52	988.12	1023.0	785.88	860.08	688.78	665.29	775.05	860.08	928.3	954.43	1175.27	988.12	1127.35	947.83	981.29	1135.2	921.88	1639.59	961.07	890.44	785.88	1135.2	130.6	339.14	239.52
TAB1	124.37	158.79	0.0	0.21	115.97	112.77	90.14	136.19	131.51	56.28	332.14	460.44	406.31	287.01	603.67	417.77	470.14	334.46	447.82	532.74	500.46	486.75	559.28	417.77	483.38	395.18	490.14	368.65	368.65	450.94	559.28	412.0	500.46	429.54	457.25	563.18	497.0	511.0	540.19	583.07	450.94	429.54	400.71	480.04	551.56	503.95	412.0	95.34	96.68	121.79
TADA3	1331.57	660.68	0.0	0.53	688.78	480.04	540.19	463.65	693.58	351.14	2104.58	3146.52	2133.97	2434.5	2664.15	2451.44	2224.63	2090.03	2645.74	2645.74	2976.74	3039.3	2591.27	2351.53	2609.3	2645.74	2520.38	2287.2	2335.28	3081.75	3874.05	2303.12	2573.36	2645.74	2351.53	2816.11	2627.46	1498.22	2335.28	2835.7	2400.97	1977.24	3103.19	2451.44	2720.15	2400.97	2335.28	281.09	698.41	514.56
TCTN2	115.16	37.59	105.89	246.28	169.07	303.44	186.4	154.42	112.77	100.13	234.57	435.55	325.29	291.04	493.56	503.95	483.38	429.54	599.49	181.28	441.64	693.58	450.94	79.45	293.07	309.83	723.08	503.95	376.41	283.05	371.22	264.03	423.61	620.67	368.65	616.37	305.55	277.2	258.57	575.03	287.01	384.34	323.03	429.54	403.5	406.31	463.65	35.76	35.5	24.81
THAP8	18.43	67.59	0.0	0.0	24.28	14.03	27.64	16.15	25.17	10.96	65.26	138.1	182.55	61.25	151.22	163.28	143.01	50.27	148.09	145.02	159.9	117.6	180.02	108.14	113.56	88.26	148.09	60.82	94.67	158.79	78.34	59.97	127.89	135.24	109.66	241.19	128.79	117.6	173.85	197.09	125.24	73.54	125.24	226.54	147.06	140.04	149.12	28.65	33.54	30.78
THTPA	114.36	114.36	159.9	242.88	99.43	96.01	137.14	98.73	53.19	54.72	525.39	988.12	547.75	497.0	571.05	830.75	575.03	551.56	376.41	674.59	866.07	684.02	559.28	457.25	624.99	607.87	802.41	540.19	567.1	728.11	674.59	514.56	620.67	947.83	525.39	759.08	723.08	612.11	567.1	688.78	500.46	403.5	723.08	525.39	412.0	532.74	536.45	50.63	62.12	71.0
TMEM101	356.05	368.65	0.0	0.14	244.57	190.34	251.48	197.09	287.01	181.28	718.08	1023.0	796.86	791.35	954.43	769.69	1066.48	909.17	928.3	928.3	988.12	591.22	1127.35	656.11	1096.5	674.59	909.17	547.75	909.17	836.53	1259.69	764.36	1044.52	802.41	902.89	967.76	988.12	941.27	981.29	1051.79	872.1	764.36	802.41	1044.52	1059.11	1104.13	1397.83	341.51	223.41	323.03
TMEM141	2061.24	2240.11	0.0	0.21	921.88	571.05	1143.1	559.28	836.53	371.22	6652.97	14065.74	9606.86	3982.99	13123.73	7280.4	11345.82	8078.22	10225.32	6337.83	12244.81	8421.31	13123.73	8134.41	8538.88	7180.15	9409.14	6840.04	6121.9	8718.32	14561.8	9945.68	9606.86	9279.58	6381.92	11424.74	12244.81	8658.09	6983.79	14561.8	9344.14	4972.34	14361.31	10296.45	12502.12	11664.82	12589.08	1359.57	1883.54	698.41
TMEM187	113.56	62.12	0.0	0.0	81.71	70.51	44.57	95.34	25.54	64.8	281.09	563.18	273.37	189.02	414.87	291.04	438.59	271.48	293.07	376.41	529.06	514.56	403.5	246.28	432.53	334.46	332.14	343.89	256.78	361.04	684.02	273.37	307.69	211.31	281.09	457.25	366.09	423.61	285.03	529.06	314.17	251.48	450.94	339.14	356.05	438.59	497.0	35.5	37.05	89.51
TMEM203	511.0	507.46	0.0	0.09	297.17	295.11	194.36	291.04	303.44	314.17	802.41	915.51	848.22	679.29	1066.48	796.86	1059.11	679.29	1001.93	830.75	981.29	848.22	1081.39	713.11	974.5	928.3	947.83	684.02	819.3	1081.39	1233.75	759.08	988.12	1127.35	928.3	854.13	1023.0	830.75	961.07	954.43	921.88	848.22	896.64	1008.9	981.29	1111.82	1295.13	514.56	146.03	500.46
TMEM229B	96.01	5.63	0.0	0.0	7.17	3.44	1.71	2.07	13.62	5.32	40.07	61.68	105.89	33.06	46.18	28.45	69.03	45.85	115.97	130.6	31.9	87.65	113.56	28.24	114.36	78.34	49.91	32.36	81.71	111.99	129.69	26.47	185.11	201.25	45.53	66.18	70.01	130.6	83.45	84.63	85.22	82.87	88.26	68.55	54.33	82.87	94.67	25.54	20.41	7.94
TTLL1	73.03	71.5	0.0	0.0	88.26	83.45	71.5	64.8	34.51	40.64	181.28	376.41	295.11	146.03	287.01	289.02	253.23	178.77	223.41	197.09	361.04	228.13	309.83	273.37	237.86	190.34	348.71	183.82	206.94	242.88	339.14	76.17	275.28	239.52	143.01	295.11	255.0	373.81	255.0	329.84	223.41	151.22	262.2	301.33	287.01	283.05	277.2	24.28	54.33	21.78
UBL7	638.15	591.22	0.0	0.2	583.07	450.94	514.56	403.5	514.56	343.89	1199.98	1870.53	1397.83	1350.18	1909.85	1111.82	1561.89	1268.46	1498.22	1322.37	1697.45	1583.71	1832.01	1487.87	1909.85	1127.35	1819.35	1322.37	1225.22	1977.24	1844.76	1023.0	1605.83	1259.69	1191.69	1467.37	1639.59	1233.75	1313.23	1487.87	1397.83	1397.83	1487.87	1605.83	1378.57	1733.13	1583.71	348.71	563.18	334.46
USP5	723.08	1059.11	0.0	0.4	325.29	239.52	258.57	255.0	381.68	297.17	1037.29	1540.37	1216.75	988.12	1331.57	1331.57	1135.2	1066.48	1151.06	1183.45	1508.65	1487.87	1359.57	854.13	1191.69	1199.98	1135.2	1015.93	1104.13	1340.84	1639.59	836.53	1417.35	660.68	1066.48	1159.07	1508.65	1119.56	1216.75	1447.15	1167.14	1015.93	1216.75	1151.06	1477.58	1378.57	1242.34	583.07	361.04	291.04
VPS39	397.93	728.11	0.0	0.6	316.37	447.82	341.51	368.65	291.04	176.29	743.43	813.63	785.88	497.0	878.17	825.0	684.02	764.36	808.0	780.44	698.41	1457.23	878.17	571.05	591.22	967.76	928.3	764.36	684.02	633.73	769.69	417.77	995.0	825.0	854.13	872.1	567.1	842.36	599.49	954.43	567.1	493.56	718.08	713.11	860.08	785.88	718.08	450.94	309.83	275.28
VRK3	713.11	624.99	0.0	0.52	387.02	500.46	281.09	384.34	389.72	358.54	860.08	813.63	941.27	698.41	1167.14	669.92	1199.98	1088.92	728.11	854.13	1151.06	1008.9	1051.79	684.02	769.69	890.44	1001.93	896.64	780.44	848.22	1508.65	660.68	743.43	713.11	647.07	974.5	842.36	954.43	813.63	1023.0	665.29	764.36	813.63	848.22	1088.92	995.0	981.29	532.74	791.35	395.18
WBP1	1806.78	1037.29	0.0	0.42	1143.1	1540.37	1225.22	967.76	974.5	759.08	4268.94	6699.25	5147.73	4038.61	4769.75	5183.54	5672.41	5076.84	5292.48	5366.37	6381.92	5147.73	5041.77	4607.24	5441.3	4181.07	4736.79	5791.62	3794.3	6652.97	6840.04	4095.0	4450.27	4328.55	4095.0	4328.55	6426.31	6607.01	4210.15	5633.22	5555.65	4123.49	6887.62	5329.3	4769.75	4671.57	5672.41	555.41	928.3	1225.22
WRB	255.0	215.77	0.0	0.4	529.06	500.46	295.11	281.09	140.04	262.2	473.41	651.58	559.28	417.77	587.13	507.46	808.0	389.72	842.36	633.73	684.02	397.93	688.78	457.25	713.11	612.11	551.56	679.29	764.36	559.28	688.78	693.58	759.08	878.17	483.38	567.1	660.68	281.09	665.29	583.07	555.41	334.46	764.36	555.41	543.96	836.53	684.02	171.45	206.94	353.59
ZBTB22	316.37	260.38	0.0	0.25	228.13	218.79	283.05	346.29	325.29	255.0	314.17	460.44	406.31	231.32	432.53	511.0	339.14	283.05	447.82	400.71	470.14	559.28	457.25	392.44	307.69	395.18	441.64	392.44	444.72	291.04	665.29	356.05	525.39	457.25	429.54	473.41	480.04	463.65	376.41	466.88	555.41	400.71	463.65	373.81	409.15	379.04	389.72	189.02	126.12	303.44
ZC3HC1	114.36	149.12	0.0	0.0	105.15	96.01	78.34	65.72	68.55	83.45	228.13	301.33	226.54	231.32	293.07	256.78	262.2	228.13	267.73	260.38	251.48	269.6	285.03	195.72	260.38	209.84	262.2	202.66	236.21	299.25	295.11	228.13	255.0	251.48	262.2	242.88	265.87	303.44	265.87	297.17	258.57	220.32	244.57	277.2	285.03	265.87	303.44	86.43	46.84	73.54
ZMAT5	395.18	248.0	0.0	0.08	214.27	185.11	195.72	194.36	275.28	246.28	559.28	1143.1	775.05	438.59	1030.12	567.1	921.88	669.92	769.69	579.04	813.63	796.86	967.76	651.58	738.29	708.18	872.1	529.06	603.67	981.29	1044.52	599.49	819.3	679.29	753.83	848.22	947.83	733.19	753.83	1030.12	866.07	738.29	878.17	954.43	802.41	1001.93	1037.29	167.9	201.25	316.37
ZNF358	775.05	575.03	0.0	0.67	825.0	555.41	819.3	591.22	1059.11	684.02	1242.34	1832.01	1388.16	1388.16	2434.5	1286.18	1721.16	1437.15	1540.37	1407.55	2004.85	1467.37	2319.15	1781.89	1709.26	1151.06	1628.26	1066.48	1119.56	2451.44	1397.83	941.27	1844.76	1594.73	1508.65	1857.6	1806.78	1286.18	1721.16	2193.99	1331.57	2104.58	1322.37	1583.71	1605.83	2555.58	1628.26	264.03	346.29	934.76
ZNF362	163.28	215.77	0.0	0.27	157.68	107.38	96.01	198.47	115.97	71.0	256.78	303.44	429.54	253.23	642.59	420.68	403.5	323.03	470.14	490.14	441.64	500.46	612.11	327.56	470.14	356.05	466.88	332.14	409.15	373.81	579.04	264.03	583.07	379.04	450.94	457.25	351.14	438.59	603.67	575.03	395.18	312.0	450.94	426.57	500.46	603.67	463.65	34.02	121.79	97.36
ZNF546	4.28	19.11	0.0	0.17	15.45	13.52	6.16	11.73	5.87	3.41	20.86	20.71	19.39	23.42	21.94	21.47	35.5	22.43	23.25	33.3	30.34	31.0	28.24	9.48	23.25	20.41	27.84	25.35	27.64	18.97	16.63	19.25	34.51	18.16	30.12	21.94	25.91	33.06	18.7	25.91	22.59	14.45	25.35	23.76	45.53	28.65	15.56	4.82	13.32	1.51
ZNF575	14.78	11.3	0.0	0.02	17.77	14.78	31.9	22.43	10.08	22.1	13.12	49.91	29.7	16.15	35.25	25.35	18.97	15.11	61.25	45.53	38.67	42.71	68.07	19.82	26.47	32.36	50.63	21.32	27.44	49.56	52.45	34.02	37.85	55.49	34.26	42.41	29.91	28.45	47.84	50.27	25.72	19.11	29.48	64.34	29.06	45.85	21.32	12.83	8.32	34.02
