	TCGA.GV.A3QG.01A.11R.A220.07	TCGA.BT.A2LB.11A.11R.A18C.07	TCGA.E9.A2JT.01A.22R.A18M.07	TCGA.AO.A0JC.01A.11R.A056.07	TCGA.BH.A0H5.01A.21R.A115.07	TCGA.B6.A0RT.01A.21R.A084.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.VS.A8QM.01A.11R.A37O.07	TCGA.IG.A5B8.01A.11R.A28J.31	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A893.01A.11R.A36D.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.JY.A93F.01A.21R.A37I.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A4OE.01A.11R.A260.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.VR.A8EU.01A.11R.A36D.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.ZT9X.0526.SM.5GCOP	GTEX.13111.0826.SM.5LZV3	GTEX.X4XY.1726.SM.46MVO	GTEX.14AS3.0626.SM.5QGQD	TCGA.DQ.7593.01A.11R.2232.07	TCGA.CR.7391.01A.11R.2016.07	TCGA.CV.A468.01A.11R.A266.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.CR.7393.01A.11R.2016.07	TCGA.CV.7438.11A.01R.2132.07	TCGA.CV.6943.11A.01R.1915.07	TCGA.CV.7250.11A.01R.2016.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.CV.6959.11A.01R.1915.07	TCGA.HD.8635.11A.01R.2403.07	TCGA.CV.7177.11A.01R.2016.07	TCGA.CV.7437.11A.01R.2132.07	TCGA.73.4666.01A.01R.1206.07	TCGA.MP.A4TJ.01A.51R.A262.07	GTEX.X4EO.0926.SM.3P5Z2	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.IN.8663.11A.01R.2402.13
GPR65	191.67	52.45	379.04	490.14	237.86	307.69	5.19	125.24	8.13	9.41	31.22	59.55	18.16	12.83	71.5	45.53	41.81	38.12	31.9	21.32	29.91	40.93	35.0	6.06	38.4	95.34	46.84	4.28	9.56	197.09	76.71	76.17	167.9	177.53	51.71	35.5	58.71	10.24	37.32	76.71	9.56	24.28	87.65	215.77	1487.87	11.38	75.64	19.82	16.03	8.45	18.7	8.58
GPRIN3	69.03	20.11	175.07	215.77	103.69	143.01	9.7	55.49	4.43	13.42	10.96	28.45	4.03	3.92	54.72	16.88	10.55	12.09	9.06	6.21	16.88	22.92	8.32	3.76	9.7	172.65	88.26	2.29	5.19	59.55	50.27	33.54	115.16	92.05	18.29	16.75	37.05	3.35	22.92	40.93	5.82	9.2	36.53	127.0	559.28	15.8	21.16	7.28	14.45	4.98	3.59	3.82
GPSM3	1977.24	571.05	3874.05	4836.35	2240.11	2148.82	193.01	1119.56	145.02	133.36	244.57	406.31	141.02	115.97	301.33	273.37	329.84	173.85	164.42	154.42	236.21	305.55	205.5	77.25	287.01	1030.12	500.46	79.45	74.06	1757.34	890.44	708.18	1081.39	1191.69	438.59	176.29	514.56	172.65	361.04	417.77	130.6	316.37	738.29	1594.73	4239.45	105.89	156.59	251.48	236.21	112.77	117.6	59.55
GRAP2	152.28	38.4	511.0	486.75	255.0	329.84	35.25	232.94	5.36	16.03	40.64	70.01	6.73	13.83	60.39	57.89	60.39	71.0	24.99	22.26	20.41	49.91	24.28	16.27	42.71	234.57	100.13	0.77	13.42	167.9	104.42	122.64	90.14	147.06	70.01	29.48	57.89	9.41	34.51	124.37	14.14	34.26	108.14	176.29	1651.0	27.05	101.54	21.63	33.54	12.18	5.32	15.45
HMHA1	1605.83	503.95	3146.52	3589.58	1794.29	1697.45	256.78	1295.13	255.0	307.69	406.31	500.46	185.11	271.48	363.56	381.68	470.14	435.55	295.11	197.09	438.59	348.71	271.48	218.79	395.18	819.3	842.36	169.07	166.73	1477.58	647.07	836.53	808.0	934.76	483.38	237.86	420.68	127.89	387.02	514.56	242.88	417.77	1135.2	1457.23	8305.36	279.14	218.79	205.5	376.41	146.03	156.59	115.97
HVCN1	551.56	120.94	2627.46	2758.13	693.58	511.0	25.91	262.2	31.9	19.25	83.45	172.65	23.25	19.11	92.05	35.5	65.26	53.19	94.67	50.98	61.25	70.01	60.82	29.06	118.43	197.09	115.97	15.8	35.5	909.17	185.11	162.14	172.65	285.03	100.13	40.93	132.44	18.97	98.04	49.21	21.01	67.12	195.72	373.81	563.18	26.1	27.64	52.45	38.12	26.67	12.93	41.22
ICOS	73.03	28.45	228.13	397.93	129.69	414.87	10.0	98.73	5.36	2.58	8.92	29.06	1.79	3.89	29.06	28.04	19.68	9.85	14.24	3.69	8.38	12.36	17.38	0.32	4.7	67.59	29.7	0.53	4.13	170.25	103.69	106.63	110.43	108.14	35.76	9.63	23.76	4.62	24.63	32.36	8.13	11.55	51.35	171.45	1745.2	46.84	62.12	6.62	9.2	3.14	3.38	0.39
IGFLR1	860.08	177.53	1225.22	1870.53	1208.34	1477.58	120.1	813.63	281.09	148.09	189.02	309.83	167.9	96.68	265.87	209.84	603.67	172.65	197.09	170.25	208.38	253.23	291.04	111.21	186.4	417.77	329.84	140.04	73.54	961.07	559.28	728.11	775.05	624.99	224.97	189.02	346.29	164.42	376.41	234.57	117.6	334.46	921.88	1397.83	1870.53	37.05	94.01	129.69	204.07	68.55	57.49	98.04
IKZF1	412.0	134.3	1388.16	1883.54	819.3	813.63	36.01	299.25	16.63	17.51	61.68	140.04	10.08	10.96	62.56	74.58	31.67	55.89	36.79	24.46	27.84	43.94	33.78	17.77	68.07	470.14	171.45	2.89	15.0	518.15	226.54	117.6	376.41	454.09	129.69	47.84	137.14	18.56	102.97	157.68	31.9	66.65	157.68	432.53	6037.61	7.11	56.68	27.84	41.81	17.77	3.82	14.56
IKZF3	156.59	31.45	830.75	327.56	285.03	293.07	4.21	81.14	1.01	1.66	17.51	43.94	0.68	1.89	16.03	22.59	9.13	17.0	8.13	3.92	8.32	11.38	5.23	3.0	20.71	94.67	89.51	1.13	3.76	101.54	76.71	19.68	172.65	144.01	43.32	15.34	62.12	3.92	25.35	59.97	6.26	15.8	50.98	148.09	373.81	2.76	64.34	3.82	13.03	1.55	0.92	4.03
IL10RA	743.43	283.05	1286.18	1896.65	1119.56	1407.55	67.12	559.28	149.12	38.4	198.47	334.46	59.97	52.45	281.09	241.19	206.94	128.79	100.13	92.05	153.34	202.66	163.28	53.57	211.31	579.04	389.72	22.59	40.36	679.29	432.53	426.57	836.53	902.89	208.38	127.0	269.6	41.22	193.01	232.94	51.71	108.14	511.0	1088.92	8479.89	40.36	131.51	149.12	79.45	68.07	22.92	44.57
IL16	775.05	368.65	3349.13	4123.49	1540.37	1639.59	25.91	866.07	60.82	36.53	226.54	343.89	40.64	35.25	170.25	116.78	139.07	149.12	193.01	77.79	100.83	145.02	94.67	64.34	293.07	397.93	299.25	72.01	64.34	1427.22	435.55	285.03	511.0	896.64	299.25	117.6	353.59	55.49	248.0	256.78	45.53	178.77	260.38	802.41	1870.53	106.63	37.32	107.38	76.17	58.71	33.3	45.85
IL21R	258.57	33.54	536.45	518.15	318.57	397.93	12.09	120.1	2.36	1.31	13.62	68.55	3.79	3.89	26.1	26.28	22.92	12.45	19.39	9.13	21.16	12.74	9.34	1.5	24.99	199.85	60.82	5.06	1.5	432.53	127.89	123.5	195.72	132.44	53.57	22.1	59.55	2.01	46.18	63.0	6.46	25.35	114.36	332.14	547.75	12.83	82.87	6.26	72.01	10.88	6.57	1.45
IL2RG	2875.3	698.41	5183.54	10440.2	4972.34	5329.3	518.15	1819.35	92.7	607.87	258.57	808.0	60.39	90.14	279.14	1487.87	289.02	211.31	156.59	135.24	435.55	444.72	176.29	62.56	283.05	2935.74	1066.48	209.84	281.09	7130.55	1467.37	1519.15	1709.26	1745.2	1059.11	486.75	872.1	154.42	1001.93	1111.82	147.06	397.93	1183.45	2645.74	15180.22	90.77	521.76	197.09	579.04	291.04	144.01	176.29
IL7R	1127.35	406.31	1923.14	3349.13	2537.92	1709.26	31.9	775.05	41.52	11.13	119.26	273.37	51.35	40.64	137.14	141.02	178.77	156.59	39.22	15.91	102.97	98.73	100.13	18.84	83.45	802.41	329.84	5.32	35.25	660.68	406.31	450.94	1259.69	981.29	158.79	115.16	336.79	42.41	159.9	301.33	126.12	108.9	457.25	1674.06	16157.44	50.27	283.05	78.34	19.25	35.25	39.5	9.41
IRF8	1081.39	271.48	2591.27	2303.12	1437.15	1519.15	105.89	262.2	17.77	64.34	65.72	197.09	18.97	14.89	102.97	208.38	52.08	39.5	40.36	30.78	62.12	154.42	43.32	21.63	71.0	934.76	346.29	18.43	20.56	848.22	389.72	269.6	525.39	1340.84	212.78	92.05	241.19	37.05	299.25	163.28	31.22	122.64	299.25	743.43	1135.2	88.88	94.01	87.65	139.07	17.38	10.08	31.22
ITGAL	780.44	170.25	2193.99	2701.35	1467.37	1561.89	130.6	688.78	16.88	15.91	62.56	183.82	16.15	19.68	116.78	102.25	89.51	101.54	68.07	51.35	54.72	88.26	50.63	16.03	96.68	830.75	647.07	1.85	60.82	934.76	384.34	332.14	529.06	563.18	201.25	111.21	231.32	38.67	161.02	314.17	43.94	115.97	454.09	995.0	11584.24	43.94	81.14	74.06	232.94	21.94	2.68	24.99
ITK	244.57	124.37	532.74	1159.07	620.67	543.96	17.77	206.94	7.34	6.16	29.7	70.51	4.54	14.14	48.18	73.03	24.63	31.0	17.9	10.24	14.78	29.7	15.68	7.88	31.22	251.48	148.09	0.43	7.69	226.54	101.54	120.94	195.72	147.06	45.85	47.84	93.35	8.45	52.82	82.29	15.68	22.43	161.02	397.93	3716.2	31.67	118.43	17.9	29.27	8.25	8.0	9.13
JAKMIP1	50.98	8.65	82.87	138.1	93.35	125.24	9.63	61.25	1.64	3.99	12.0	13.72	1.69	3.99	14.45	14.45	9.48	10.47	6.06	2.68	6.57	5.92	5.92	1.2	4.5	38.67	30.78	1.97	1.79	68.07	26.47	36.27	38.12	39.22	17.0	12.55	13.32	3.44	17.77	27.05	3.32	7.0	38.95	81.71	102.97	0.69	26.47	11.73	9.93	2.23	4.28	0.0
KLHL6	173.85	53.57	698.41	521.76	265.87	305.55	12.55	90.77	6.89	9.34	26.67	111.99	9.2	7.57	55.89	36.01	25.72	16.63	16.27	9.85	19.53	29.06	20.71	7.69	34.02	120.94	83.45	3.53	12.74	241.19	96.68	83.45	224.97	148.09	38.95	11.04	38.67	1.73	27.64	29.48	12.55	24.81	105.15	392.44	1015.93	0.44	7.88	14.89	13.62	6.16	1.51	5.41
KLRK1	291.04	86.43	748.61	1407.55	860.08	1250.98	140.04	341.51	18.97	10.88	53.95	73.03	9.06	14.24	85.22	131.51	61.25	59.55	43.94	24.28	35.5	50.98	19.25	15.22	47.84	381.68	108.9	0.37	35.25	271.48	194.36	368.65	142.01	231.32	112.77	59.97	92.7	32.13	122.64	87.65	33.78	43.02	309.83	454.09	1225.22	33.06	159.9	38.95	28.86	9.7	8.78	29.7
LAX1	89.51	31.0	450.94	239.52	283.05	239.52	2.25	88.88	2.05	3.0	18.84	26.86	2.46	2.71	21.32	15.8	10.24	12.64	15.68	8.78	5.68	14.67	3.63	4.28	9.78	56.68	54.33	3.99	9.13	178.77	91.41	43.32	314.17	92.05	38.67	14.14	38.67	3.5	19.97	27.64	5.19	19.53	33.3	271.48	371.22	0.44	2.16	5.59	36.01	4.46	0.0	3.41
LCK	890.44	209.84	2209.26	2816.11	1407.55	1594.73	163.28	890.44	43.02	61.25	65.72	215.77	10.63	16.03	107.38	167.9	113.56	98.73	60.82	40.64	90.77	186.4	39.22	19.53	112.77	708.18	389.72	5.11	63.89	934.76	438.59	490.14	412.0	612.11	262.2	132.44	301.33	61.68	215.77	373.81	36.53	149.12	507.46	878.17	3564.78	67.59	353.59	73.54	194.36	31.67	34.51	11.13
LCP2	1001.93	353.59	2209.26	2895.31	1870.53	1991.0	69.52	854.13	138.1	88.26	271.48	379.04	205.5	98.73	447.82	368.65	271.48	241.19	256.78	163.28	334.46	343.89	376.41	72.01	175.07	1745.2	688.78	5.92	107.38	1044.52	802.41	603.67	1407.55	1127.35	303.44	217.27	525.39	64.8	381.68	540.19	132.44	149.12	1233.75	1561.89	4575.41	73.03	220.32	204.07	187.71	69.03	48.18	47.84
LIMD2	2835.7	579.04	5112.16	8247.98	2915.45	3280.18	193.01	1628.26	176.29	130.6	249.73	1119.56	133.36	218.79	307.69	251.48	409.15	346.29	412.0	155.5	283.05	329.84	363.56	72.01	397.93	848.22	591.22	74.06	69.52	2417.67	854.13	1008.9	890.44	1088.92	490.14	143.01	426.57	52.45	297.17	384.34	80.01	256.78	813.63	2119.22	4328.55	64.34	167.9	165.57	239.52	110.43	42.41	40.93
LPXN	1023.0	264.03	2090.03	2555.58	1378.57	1467.37	29.27	555.41	392.44	127.89	144.01	323.03	92.05	63.0	224.97	190.34	218.79	183.82	128.79	105.15	153.34	242.88	150.17	70.51	178.77	669.92	334.46	46.84	43.63	1322.37	480.04	500.46	587.13	825.0	301.33	164.42	323.03	76.17	197.09	318.57	97.36	201.25	473.41	872.1	3515.68	23.93	52.82	119.26	61.25	38.12	29.48	69.03
LTA	156.59	20.41	303.44	400.71	131.51	267.73	9.78	80.01	1.83	7.57	8.25	48.52	4.03	0.0	7.0	13.12	21.16	11.91	12.18	7.75	9.7	13.42	7.17	1.69	38.67	100.83	33.78	3.38	6.36	132.44	53.19	45.85	42.71	60.82	35.25	8.71	28.86	3.23	20.86	55.89	3.53	26.1	20.56	84.63	99.43	7.51	28.45	8.25	18.03	2.05	0.48	2.81
LY9	301.33	81.71	1001.93	1467.37	638.15	642.59	65.72	269.6	0.25	2.25	13.62	38.67	1.38	0.04	26.1	20.11	22.1	14.56	6.62	6.84	6.78	16.27	4.24	4.43	31.67	107.38	92.7	9.2	3.66	435.55	106.63	127.0	193.01	201.25	85.22	36.79	88.88	27.05	60.39	64.8	9.06	52.82	108.9	305.55	825.0	2.01	17.25	23.08	38.4	5.41	2.61	0.73
MAP4K1	703.28	228.13	1991.0	2468.49	1073.91	1119.56	89.51	595.34	25.91	31.45	137.14	293.07	16.39	43.02	106.63	170.25	111.99	133.36	64.8	62.56	105.89	117.6	44.57	43.63	157.68	540.19	463.65	16.88	56.68	884.29	332.14	511.0	332.14	363.56	191.67	79.45	273.37	43.63	130.6	289.02	49.56	139.07	248.0	995.0	6079.61	49.21	81.14	24.63	77.25	23.93	25.91	85.22
MYO1G	490.14	115.97	961.07	1167.14	551.56	486.75	55.89	334.46	38.67	20.11	85.22	176.29	27.84	88.88	87.03	112.77	135.24	78.34	74.06	48.18	84.04	79.45	70.51	23.25	104.42	493.56	277.2	13.83	38.4	429.54	262.2	325.29	444.72	334.46	127.0	67.59	153.34	33.78	117.6	214.27	38.12	90.14	595.34	587.13	2004.85	65.72	175.07	63.89	110.43	21.32	23.08	16.63
NCR3	193.01	81.71	323.03	470.14	253.23	80.01	10.47	69.52	0.59	3.86	3.5	34.75	0.87	0.17	3.56	5.77	13.72	3.32	1.97	4.58	4.06	7.34	0.0	0.0	28.24	68.55	15.56	1.93	5.73	167.9	29.06	21.32	30.12	52.08	34.26	6.57	46.5	2.34	21.63	23.08	1.51	26.1	51.35	119.26	454.09	9.7	14.14	0.0	36.27	10.16	3.26	8.25
P2RY10	251.48	63.0	981.29	1030.12	287.01	423.61	8.45	127.89	1.81	1.51	14.45	49.56	0.99	1.71	22.1	29.06	5.45	10.71	8.13	5.59	3.41	11.82	3.86	2.39	28.24	104.42	95.34	0.0	4.66	279.14	123.5	53.57	201.25	256.78	82.87	27.05	64.8	13.83	61.25	57.89	8.45	32.59	164.42	348.71	1242.34	9.93	41.52	5.68	8.85	3.89	0.29	7.57
P2RY8	127.0	37.32	490.14	435.55	226.54	205.5	3.66	77.79	1.07	4.66	10.96	40.93	2.76	1.36	16.15	7.88	3.56	4.86	8.99	3.17	9.63	8.51	2.97	2.71	18.7	52.82	36.27	2.29	0.73	143.01	51.71	27.64	119.26	140.04	34.02	9.7	36.27	2.36	23.42	15.22	3.14	13.62	27.25	92.05	312.0	0.97	4.58	17.25	10.47	0.82	1.22	2.41
PDCD1	147.06	51.35	417.77	587.13	251.48	307.69	22.75	153.34	9.48	3.56	28.24	52.45	5.92	12.64	35.5	82.29	47.17	19.68	23.42	10.88	13.12	16.15	24.81	7.75	21.63	76.17	71.5	1.38	7.06	159.9	82.87	155.5	114.36	78.34	50.27	31.45	52.08	10.24	53.19	96.01	9.56	17.13	138.1	193.01	346.29	19.68	102.97	28.65	16.03	3.53	18.29	0.0
PREX1	591.22	228.13	1191.69	1225.22	1417.35	802.41	60.82	327.56	26.67	62.56	127.0	151.22	54.33	34.51	157.68	108.9	98.04	82.87	87.03	58.71	111.99	95.34	74.58	40.36	112.77	521.76	318.57	34.26	42.11	438.59	371.22	239.52	603.67	638.15	148.09	83.45	187.71	29.91	164.42	201.25	43.94	94.67	432.53	728.11	1104.13	52.08	139.07	183.82	59.13	54.33	49.56	28.65
PRKCB	387.02	128.79	1104.13	1001.93	660.68	395.18	14.03	143.01	8.38	3.76	40.07	103.69	5.06	7.75	33.06	26.47	43.02	29.91	16.39	15.91	17.38	40.64	16.75	22.59	73.54	228.13	112.77	4.78	6.21	249.73	107.38	42.71	199.85	269.6	81.71	23.59	87.65	14.35	76.17	80.01	9.93	41.22	132.44	260.38	503.95	16.75	28.65	14.67	20.11	26.1	9.2	23.76
PTPN6	2701.35	988.12	5517.27	7911.95	3190.46	2816.11	1529.73	1883.54	748.61	575.03	493.56	866.07	185.11	144.01	514.56	483.38	791.35	525.39	329.84	435.55	995.0	775.05	878.17	281.09	656.11	1721.16	1378.57	403.5	595.34	3325.99	1295.13	1508.65	1322.37	1467.37	1066.48	688.78	981.29	579.04	854.13	775.05	551.56	941.27	2090.03	2335.28	3467.27	599.49	486.75	802.41	902.89	503.95	486.75	329.84
PTPN7	503.95	156.59	1477.58	1437.15	759.08	902.89	125.24	384.34	31.22	23.25	72.01	165.57	19.39	183.82	84.04	84.04	105.89	66.18	62.56	48.52	71.5	77.79	59.55	156.59	86.43	669.92	309.83	5.06	34.75	612.11	299.25	303.44	323.03	291.04	152.28	100.13	182.55	25.91	142.01	214.27	29.7	102.97	293.07	693.58	2434.5	20.41	79.45	33.54	128.79	21.16	7.88	37.05
PTPRC	1819.35	417.77	5147.73	6561.36	2875.3	2997.45	118.43	1001.93	47.84	37.05	151.22	348.71	39.5	47.5	265.87	307.69	126.12	158.79	112.77	84.04	108.9	202.66	123.5	36.53	187.71	2502.97	921.88	15.91	63.45	1359.57	884.29	473.41	1498.22	1447.15	420.68	234.57	612.11	98.73	376.41	669.92	80.57	172.65	941.27	1883.54	6983.79	115.16	432.53	99.43	191.67	24.63	46.84	47.5
PTPRCAP	2335.28	713.11	5672.41	5329.3	2816.11	3081.75	124.37	1769.57	51.35	64.8	183.82	444.72	50.27	37.32	156.59	189.02	291.04	157.68	115.97	114.36	156.59	224.97	87.65	80.57	346.29	1628.26	896.64	97.36	59.97	1883.54	819.3	1096.5	860.08	1066.48	595.34	178.77	674.59	139.07	327.56	563.18	80.01	339.14	536.45	1487.87	5479.15	57.49	123.5	97.36	346.29	48.52	45.21	36.53
PVRIG	389.72	139.07	665.29	1008.9	441.64	470.14	37.32	242.88	2.78	7.22	27.64	94.67	1.13	5.68	26.1	38.67	31.22	17.25	19.68	14.67	8.13	29.06	11.21	17.25	43.63	140.04	113.56	22.59	20.11	244.57	98.04	239.52	92.7	228.13	58.3	32.13	100.13	8.45	40.07	59.13	7.4	26.47	123.5	217.27	753.83	1.85	14.45	4.74	10.47	6.52	1.28	4.1
PYHIN1	211.31	45.85	438.59	1151.06	351.14	529.06	25.54	137.14	15.56	6.57	15.0	48.87	3.56	9.7	39.22	50.63	18.97	22.75	14.14	15.11	7.94	21.01	8.45	2.25	15.68	145.02	50.63	0.54	9.27	217.27	67.12	101.54	73.03	77.25	47.17	28.45	30.12	7.63	35.76	36.79	7.0	17.38	129.69	348.71	698.41	15.56	20.71	5.06	18.29	0.28	3.99	3.5
RAB33A	81.14	26.67	214.27	223.41	124.37	164.42	6.21	75.64	28.86	1.06	10.39	20.71	1.36	1.31	11.3	17.0	0.0	10.88	9.41	3.96	9.41	16.27	10.71	6.78	13.83	48.18	20.56	1.11	6.26	101.54	39.79	49.91	41.22	33.3	25.91	12.45	36.01	6.94	14.14	25.54	7.17	21.01	48.87	57.49	103.69	1.39	14.35	3.96	6.46	7.69	8.71	2.48
RAC2	4298.64	1167.14	8840.04	11112.3	4512.4	4704.07	836.53	2287.2	473.41	567.1	674.59	1417.35	2163.77	633.73	571.05	583.07	860.08	551.56	708.18	414.87	764.36	1167.14	1936.53	124.37	775.05	2956.17	1286.18	53.57	289.02	3280.18	1819.35	1508.65	2739.08	2915.45	1066.48	353.59	1331.57	206.94	624.99	1088.92	848.22	620.67	2090.03	3039.3	5403.7	125.24	629.35	299.25	575.03	135.24	99.43	154.42
RASAL3	532.74	142.01	1388.16	1519.15	684.02	825.0	80.57	540.19	24.99	41.22	108.9	190.34	34.02	31.22	122.64	136.19	132.44	107.38	60.82	64.34	115.16	102.25	53.95	30.56	155.5	624.99	358.54	14.56	76.71	521.76	212.78	320.8	283.05	356.05	135.24	74.58	136.19	24.81	108.14	255.0	34.02	90.14	229.72	698.41	3257.52	58.71	180.02	53.57	171.45	11.47	16.39	24.99
RGL4	101.54	41.52	206.94	334.46	117.6	157.68	6.26	127.89	2.41	5.32	9.41	14.35	3.35	3.47	10.24	9.27	15.91	6.11	7.88	2.18	4.78	14.14	3.32	3.86	13.42	125.24	69.52	2.76	18.29	198.47	68.07	70.01	59.13	53.19	36.27	28.86	63.89	16.39	20.11	59.13	5.41	19.25	42.11	204.07	59.97	13.12	20.56	3.82	11.3	1.55	0.6	1.97
RHOH	860.08	297.17	2502.97	2645.74	1397.83	1008.9	73.54	466.88	12.27	22.75	62.56	237.86	41.22	71.0	47.17	81.71	72.01	48.87	40.64	21.47	48.18	75.64	35.76	14.56	92.05	334.46	157.68	6.16	35.5	802.41	232.94	248.0	470.14	511.0	199.85	44.89	241.19	39.5	87.65	167.9	39.5	88.88	217.27	728.11	2627.46	7.28	90.14	34.75	20.71	14.03	6.36	10.96
RUNX3	435.55	190.34	1051.79	1088.92	791.35	1030.12	38.12	514.56	60.82	142.01	76.17	205.5	28.24	16.63	76.17	237.86	109.66	155.5	713.11	43.94	159.9	104.42	169.07	20.86	81.14	620.67	379.04	17.25	29.7	890.44	329.84	275.28	514.56	723.08	341.51	108.9	232.94	29.7	173.85	307.69	60.82	130.6	183.82	395.18	1498.22	57.49	186.4	102.97	65.72	51.35	37.05	30.56
SARDH	43.63	20.56	163.28	130.6	117.6	82.29	12.36	60.82	1.06	0.56	3.72	13.42	1.6	1.83	7.11	7.11	6.16	3.23	18.29	2.71	5.5	4.54	5.96	1.89	4.06	31.9	32.36	5.36	5.92	59.13	48.87	33.06	24.63	48.52	20.26	7.4	15.11	1.87	22.75	12.74	6.41	6.89	28.24	96.01	299.25	1.43	10.16	6.31	7.46	4.06	1.3	1.95
SASH3	1023.0	307.69	3325.99	3039.3	1378.57	1605.83	75.64	759.08	42.11	31.0	140.04	353.59	38.67	29.48	161.02	126.12	180.02	124.37	114.36	81.71	135.24	127.0	98.04	32.13	232.94	764.36	409.15	4.5	42.11	1277.29	460.44	457.25	583.07	679.29	346.29	146.03	334.46	40.64	164.42	376.41	40.64	180.02	420.68	915.51	3690.52	34.26	162.14	121.79	217.27	56.68	39.22	36.01
SELL	1963.57	486.75	4481.23	8363.13	2997.45	3081.75	20.86	497.0	5.54	14.24	40.36	194.36	23.59	11.91	58.71	68.07	53.95	21.63	21.32	19.53	26.86	54.33	18.84	14.24	127.89	764.36	129.69	13.03	13.93	1199.98	536.45	249.73	854.13	1397.83	358.54	35.5	159.9	7.94	149.12	77.25	22.92	144.01	279.14	1044.52	279.14	18.7	129.69	37.59	56.28	6.11	14.78	18.43
SELPLG	915.51	325.29	1697.45	2209.26	1662.49	1662.49	133.36	674.59	67.12	47.84	151.22	264.03	97.36	41.22	164.42	251.48	181.28	106.63	98.04	75.64	152.28	251.48	117.6	33.3	115.16	1135.2	395.18	10.96	34.51	866.07	679.29	620.67	1030.12	1286.18	303.44	131.51	332.14	59.97	373.81	339.14	80.57	183.82	503.95	830.75	2573.36	69.03	297.17	211.31	156.59	89.51	112.77	24.11
SEPT6	1697.45	551.56	3589.58	5872.48	2193.99	1721.16	241.19	825.0	74.58	193.01	283.05	753.83	293.07	30.78	269.6	253.23	289.02	258.57	211.31	186.4	221.86	226.54	277.2	101.54	400.71	896.64	599.49	138.1	157.68	1350.18	656.11	693.58	1096.5	1073.91	500.46	242.88	500.46	156.59	351.14	420.68	297.17	420.68	529.06	1407.55	3639.7	66.65	218.79	303.44	197.09	198.47	67.59	171.45
SIRPG	279.14	64.8	612.11	1313.23	599.49	769.69	69.52	187.71	7.82	4.17	27.44	63.0	1.69	10.16	49.56	56.28	64.8	30.34	26.28	16.03	15.11	22.26	27.44	2.71	44.25	157.68	108.9	0.0	12.74	466.88	183.82	189.02	148.09	187.71	92.7	29.91	78.34	13.83	68.07	82.87	22.75	38.67	182.55	325.29	376.41	26.28	84.63	55.89	61.25	22.59	8.25	5.45
SIT1	400.71	127.0	1259.69	1628.26	674.59	819.3	182.55	353.59	4.74	5.54	28.24	83.45	1.62	4.28	20.86	34.75	30.56	22.1	20.26	11.21	10.79	24.81	11.38	4.21	57.08	249.73	150.17	4.39	8.92	503.95	191.67	206.94	169.07	281.09	143.01	56.68	152.28	31.0	89.51	177.53	21.32	60.39	144.01	293.07	954.43	6.78	145.02	16.39	193.01	5.5	3.5	6.73
SKAP1	361.04	126.12	836.53	2090.03	1088.92	753.83	206.94	336.79	18.56	50.63	63.45	80.57	7.17	14.67	68.55	195.72	57.49	94.67	27.05	24.63	66.18	96.01	40.07	13.62	37.32	371.22	114.36	1.01	19.25	536.45	187.71	262.2	153.34	232.94	136.19	59.13	170.25	48.52	109.66	130.6	30.78	71.0	158.79	511.0	3847.29	14.03	90.77	47.84	63.0	22.92	3.41	8.32
SLA2	178.77	55.1	318.57	414.87	265.87	426.57	14.35	132.44	11.38	17.77	16.39	35.25	6.46	8.32	18.16	100.83	29.91	21.16	13.22	9.85	16.27	21.16	11.38	7.06	18.16	102.97	64.8	8.71	16.75	178.77	85.82	131.51	194.36	167.9	50.98	36.01	64.34	16.63	48.18	83.45	18.16	23.08	144.01	138.1	409.15	6.84	81.14	23.42	22.92	4.54	8.06	18.56
SLAMF1	165.57	34.02	486.75	775.05	323.03	287.01	36.79	128.79	5.15	3.0	15.8	30.12	5.02	1.87	19.39	16.75	9.06	17.51	6.11	7.51	12.27	19.97	10.0	6.62	20.26	127.89	54.33	2.23	2.46	277.2	83.45	76.17	90.14	96.01	45.85	14.67	70.51	5.11	34.26	68.55	6.73	17.77	78.34	198.47	571.05	0.13	19.11	12.55	24.28	4.66	1.0	3.03
