	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A209.11A.42R.A157.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.AC.A2FF.11A.13R.A17B.07	TCGA.BH.A0AZ.11A.22R.A12P.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.S95S.0326.SM.4B66U	GTEX.147F4.2626.SM.5Q5CS	TCGA.CJ.5680.11A.01R.1541.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZUS.2526.SM.59872	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZAB5.0426.SM.5CVMI	GTEX.14AS3.0126.SM.5Q5F4	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QV44.0326.SM.4R1KD	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.12WSD.1426.SM.5GCN9	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.1212Z.0226.SM.59HLF	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.OXRP.0526.SM.2I3EW	GTEX.ZVP2.0826.SM.59HJ6	GTEX.R53T.1226.SM.48FCT	GTEX.QV44.1226.SM.4R1KE	GTEX.O5YW.1526.SM.3MJGL	GTEX.S7SF.0626.SM.4AD4V
PRKAR2A	575.03	559.28	629.35	507.46	417.77	684.02	412.0	587.13	518.15	158.79	198.47	151.22	162.14	318.57	187.71	232.94	202.66	110.43	193.01	289.02	189.02	204.07	123.5	279.14	226.54	112.77	197.09	136.19	178.77	460.44	656.11	656.11	414.87	521.76	791.35
RALBP1	1059.11	1208.34	1051.79	842.36	1427.22	1183.45	830.75	1857.6	1286.18	197.09	316.37	332.14	244.57	497.0	279.14	599.49	486.75	232.94	325.29	521.76	291.04	309.83	307.69	525.39	429.54	320.8	463.65	273.37	409.15	941.27	2240.11	921.88	688.78	748.61	1519.15
RAP2A	301.33	406.31	587.13	348.71	305.55	555.41	201.25	387.02	366.09	40.93	30.78	81.14	44.57	139.07	63.89	154.42	108.9	49.91	72.52	89.51	76.71	44.57	68.55	111.21	125.24	41.22	118.43	66.18	76.17	358.54	232.94	214.27	126.12	208.38	363.56
RBM27	389.72	314.17	536.45	287.01	429.54	693.58	153.34	432.53	289.02	22.26	85.82	102.25	72.01	224.97	81.14	130.6	110.43	68.55	102.25	153.34	94.67	67.59	79.45	140.04	127.0	78.89	158.79	108.14	65.72	329.84	368.65	242.88	132.44	193.01	329.84
RHBDD1	480.04	500.46	656.11	420.68	480.04	1066.48	351.14	665.29	353.59	155.5	187.71	175.07	145.02	454.09	147.06	214.27	204.07	115.97	205.5	226.54	138.1	136.19	166.73	281.09	264.03	171.45	242.88	182.55	158.79	540.19	599.49	412.0	218.79	343.89	612.11
RP13-996F3.5	15.91	6.94	10.63	5.32	7.75	6.52	16.63	6.57	4.9	0.0	0.91	1.83	1.17	1.66	0.84	1.25	2.89	0.8	1.89	2.32	1.08	2.32	3.26	1.71	2.81	1.53	5.45	2.73	1.31	2.68	5.06	13.83	2.25	12.45	8.85
RPE	728.11	813.63	764.36	830.75	825.0	1529.73	532.74	825.0	872.1	258.57	223.41	301.33	158.79	567.1	237.86	525.39	392.44	215.77	384.34	406.31	283.05	224.97	305.55	438.59	366.09	325.29	387.02	371.22	305.55	854.13	1151.06	529.06	366.09	397.93	651.58
SAV1	1447.15	1407.55	2163.77	1111.82	1697.45	2104.58	525.39	825.0	620.67	186.4	183.82	236.21	224.97	301.33	125.24	221.86	283.05	199.85	123.5	229.72	285.03	224.97	186.4	180.02	171.45	414.87	237.86	236.21	152.28	579.04	1183.45	551.56	368.65	356.05	341.51
SBSPON	275.28	262.2	161.02	547.75	373.81	2400.97	104.42	1697.45	830.75	0.97	2.23	8.25	8.65	4.46	5.68	33.78	15.0	14.03	1.11	13.03	0.54	5.32	2.56	3.56	5.23	5.54	9.7	11.04	4.39	198.47	389.72	571.05	155.5	463.65	236.21
SLC25A51	325.29	293.07	392.44	312.0	199.85	305.55	258.57	281.09	332.14	76.17	83.45	111.99	39.5	70.01	92.7	107.38	98.73	68.07	43.32	103.69	58.71	79.45	133.36	63.89	77.25	66.18	88.88	78.89	60.39	283.05	167.9	454.09	269.6	295.11	312.0
