	GTEX.SNMC.0826.SM.4DM66	TCGA.CF.A47V.01A.11R.A23W.07	TCGA.XF.AAN1.01A.31R.A42T.07	TCGA.CF.A3MH.01A.11R.A20F.07	TCGA.CF.A3MG.01A.11R.A20F.07	TCGA.E7.A7PW.01A.11R.A352.07	TCGA.FD.A6TI.01A.11R.A32O.07	TCGA.FJ.A3Z9.01A.11R.A26T.07	TCGA.XF.A8HC.01A.11R.A36F.07	TCGA.FD.A43X.01A.11R.A23W.07	TCGA.4Z.AA81.01A.11R.A39I.07	TCGA.DK.A1AG.01A.11R.A13Y.07	TCGA.DK.A1A6.01A.11R.A13Y.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.E7.A5KE.01A.11R.A28M.07	TCGA.XF.A9SL.01A.11R.A39I.07	TCGA.CF.A9FF.01A.11R.A38B.07	TCGA.CF.A9FH.01A.11R.A38B.07	TCGA.CF.A47X.01A.31R.A23W.07	TCGA.CF.A5U8.01A.11R.A28M.07	TCGA.UY.A9PF.01A.11R.A38B.07	TCGA.E7.A7DV.01A.11R.A33J.07	TCGA.XF.A9SJ.01A.11R.A39I.07	TCGA.4Z.AA7O.01A.31R.A39I.07	TCGA.E7.A5KF.01A.11R.A28M.07	TCGA.CU.A3YL.01A.11R.A22U.07	TCGA.DK.AA71.01A.31R.A39I.07	TCGA.DK.AA77.01A.11R.A39I.07	TCGA.FT.A61P.01A.11R.A30C.07	TCGA.CF.A9FL.01A.11R.A38B.07	TCGA.4Z.AA7S.01A.11R.A39I.07	TCGA.MV.A51V.01A.11R.A26T.07	TCGA.GV.A3JV.01A.11R.A220.07	TCGA.ZF.A9R4.01A.11R.A38B.07	TCGA.FD.A43N.01A.11R.A23W.07	TCGA.DK.A3IS.01A.21R.A21D.07	TCGA.E7.A3Y1.01A.11R.A22U.07	TCGA.4Z.AA7Y.01A.11R.A39I.07	TCGA.DK.A2HX.01A.12R.A18C.07	TCGA.GV.A6ZA.01A.12R.A33J.07	TCGA.XF.AAMZ.01A.11R.A42T.07	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.XF.A8HI.01A.11R.A38B.07	TCGA.XF.A8HG.01A.11R.A36F.07	GTEX.11TT1.1026.SM.5PNW7	TCGA.05.5715.01A.01R.1628.07	TCGA.44.7672.01A.11R.2066.07	TCGA.05.5429.01A.01R.1628.07	TCGA.78.7540.01A.11R.2066.07	TCGA.49.4506.01A.01R.1206.07	GTEX.132NY.1226.SM.5PNVF	GTEX.14ABY.1126.SM.5Q5F8	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.11DXZ.0726.SM.5N9C4	GTEX.12584.1426.SM.5EGJ9	GTEX.OXRN.0526.SM.2I5EN	GTEX.11PRG.0926.SM.5EGI8	GTEX.11GSP.0726.SM.5986L	GTEX.1477Z.0626.SM.5NQB7	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FHP.0726.SM.5K7YI	GTEX.13QJ3.1026.SM.5QGQU	GTEX.SN8G.0926.SM.4DM5I	GTEX.111VG.0726.SM.5GIDC	GTEX.14DAR.0226.SM.5S2PR	GTEX.X4EP.0526.SM.3P5YW	GTEX.12WSA.1026.SM.5EGHN	GTEX.13G51.0426.SM.5K7Z5	GTEX.13NYB.0626.SM.5MR47	GTEX.ZVT3.0926.SM.5GICK	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.EL.A3MZ.01A.11R.A21D.07	GTEX.ZP4G.0726.SM.4WWF2
CDH5	1159.07	412.0	231.32	82.29	69.03	66.18	114.36	43.94	84.04	112.77	38.67	143.01	90.14	72.52	120.1	571.05	341.51	117.6	127.0	91.41	256.78	82.87	206.94	171.45	57.49	429.54	161.02	146.03	202.66	197.09	175.07	371.22	193.01	80.01	316.37	150.17	273.37	178.77	287.01	103.69	154.42	131.51	215.77	28.24	172.65	332.14	336.79	84.04	381.68	150.17	4066.71	2451.44	2976.74	457.25	780.44	3212.66	915.51	4543.8	7485.11	4239.45	10368.08	6792.79	5006.93	3419.52	5517.27	1950.0	4937.99	1991.0	7537.18	9474.59	4671.57	414.87	361.04	363.56	620.67	693.58
CELF2	55.89	18.29	11.21	6.01	8.65	7.28	21.78	2.01	2.16	3.99	31.0	24.99	47.5	4.86	1.48	173.85	29.7	4.94	6.89	46.5	39.79	62.12	36.27	35.25	78.34	16.15	31.67	33.54	71.0	19.68	8.0	8.19	54.72	13.83	19.11	7.0	56.28	4.78	206.94	25.54	28.86	4.24	36.27	8.25	287.01	305.55	332.14	34.02	115.16	101.54	206.94	1340.84	409.15	297.17	693.58	1950.0	2090.03	642.59	381.68	1651.0	1008.9	967.76	483.38	285.03	595.34	1417.35	92.7	1583.71	1359.57	660.68	1529.73	139.07	189.02	173.85	170.25	1167.14
CHRD	181.28	55.49	15.0	9.34	6.67	10.31	97.36	6.26	6.41	14.78	5.23	6.57	10.31	10.55	11.3	85.22	31.67	8.32	15.45	10.31	29.27	7.69	53.57	15.91	1.19	31.22	10.47	4.03	51.71	32.13	13.83	33.78	22.59	12.55	36.53	8.19	28.45	8.06	78.34	5.82	19.11	21.16	16.75	3.2	28.86	47.5	101.54	26.1	31.22	32.82	194.36	198.47	166.73	53.57	110.43	125.24	131.51	532.74	236.21	299.25	158.79	301.33	373.81	432.53	379.04	20.71	150.17	53.57	119.26	275.28	122.64	46.84	115.97	75.11	74.58	309.83
CHST3	53.57	51.71	34.02	13.03	24.46	6.62	27.25	35.5	15.45	13.93	54.72	18.03	14.67	31.22	34.02	187.71	27.25	33.54	13.12	32.59	34.51	41.81	53.95	25.91	47.84	72.52	29.48	14.03	93.35	44.57	43.02	111.99	27.64	23.76	30.78	12.45	30.78	18.97	135.24	12.74	69.52	10.39	30.12	2.43	45.85	43.32	190.34	22.26	29.27	13.52	87.03	47.5	36.79	10.16	87.65	37.05	981.29	113.56	155.5	490.14	73.03	40.93	217.27	218.79	117.6	65.72	111.99	71.0	112.77	136.19	116.78	88.88	126.12	94.67	108.9	379.04
CNR1	15.0	10.79	2.58	10.88	0.32	27.05	51.71	2.29	0.33	5.41	0.0	2.39	0.31	0.35	0.0	20.41	6.41	0.0	2.76	3.44	3.69	0.31	0.92	3.0	2.32	2.86	1.0	27.25	0.66	3.11	3.08	15.8	2.61	1.95	1.81	2.43	56.68	5.02	2.81	0.6	12.55	3.56	9.48	0.82	49.56	10.63	21.78	3.29	21.16	4.06	34.02	3.35	85.22	31.22	194.36	44.89	31.0	5.92	8.71	84.04	5.63	8.51	29.91	102.97	4.13	253.23	10.39	155.5	11.82	12.83	24.99	36.01	56.68	23.25	14.03	41.81
CNRIP1	358.54	82.87	68.07	26.47	16.15	25.72	67.12	13.42	29.27	30.12	14.67	41.52	38.67	29.06	23.93	595.34	106.63	30.56	32.82	24.81	94.01	1242.34	111.21	47.84	12.93	113.56	30.34	23.93	147.06	94.01	51.35	85.22	60.39	26.1	90.14	38.4	69.03	39.22	239.52	28.86	47.5	41.81	56.28	16.15	163.28	151.22	224.97	133.36	103.69	85.82	521.76	406.31	334.46	353.59	155.5	624.99	603.67	1242.34	780.44	1295.13	1127.35	967.76	1111.82	1477.58	1498.22	167.9	1104.13	447.82	470.14	381.68	444.72	143.01	144.01	115.97	156.59	389.72
CNTNAP1	120.94	94.67	30.78	52.08	15.8	25.72	37.59	18.56	12.74	59.55	4.31	78.89	17.38	24.11	32.13	228.13	63.0	73.03	20.26	53.95	51.71	115.97	12.83	28.86	30.12	55.1	14.03	13.12	70.51	69.52	18.43	27.44	36.79	7.46	57.08	16.27	94.67	24.99	128.79	18.97	30.56	12.83	42.41	100.83	35.25	32.36	120.94	19.97	32.36	15.8	198.47	96.68	115.16	84.63	161.02	131.51	150.17	90.14	204.07	124.37	90.14	156.59	603.67	144.01	231.32	43.32	166.73	98.73	95.34	144.01	165.57	55.1	75.11	76.17	65.72	507.46
COPZ2	703.28	98.73	62.56	583.07	112.77	47.84	320.8	57.08	896.64	63.45	555.41	211.31	149.12	49.56	141.02	1498.22	148.09	190.34	35.25	135.24	139.07	954.43	896.64	182.55	17.13	435.55	159.9	178.77	633.73	429.54	59.55	204.07	212.78	34.26	366.09	83.45	136.19	73.54	890.44	99.43	191.67	102.97	55.1	48.18	80.01	1870.53	738.29	361.04	162.14	191.67	2664.15	1697.45	514.56	607.87	1883.54	353.59	796.86	1721.16	738.29	470.14	620.67	371.22	2032.85	3928.15	1551.09	303.44	748.61	703.28	947.83	2032.85	595.34	521.76	684.02	466.88	684.02	3349.13
CRISPLD2	1477.58	169.07	79.45	33.78	30.34	134.3	543.96	115.16	86.43	41.81	155.5	81.71	212.78	65.26	23.25	1119.56	551.56	74.58	103.69	65.26	825.0	624.99	305.55	99.43	91.41	175.07	136.19	73.03	612.11	220.32	85.82	208.38	651.58	47.17	684.02	44.25	162.14	120.1	1529.73	68.55	209.84	74.06	133.36	43.94	356.05	279.14	1081.39	271.48	183.82	201.25	1001.93	412.0	1417.35	902.89	180.02	5555.65	3018.3	361.04	2119.22	444.72	1008.9	497.0	698.41	1111.82	2816.11	813.63	2032.85	366.09	890.44	947.83	2400.97	260.38	323.03	131.51	571.05	1225.22
CRTAP	3467.27	1508.65	1991.0	1674.06	1437.15	1073.91	2935.74	830.75	1936.53	1259.69	1081.39	1844.76	1674.06	1233.75	2627.46	4836.35	1119.56	1340.84	1242.34	1447.15	1427.22	2178.83	2520.38	2163.77	2319.15	1594.73	1819.35	2178.83	3303.0	2047.0	1628.26	1477.58	2417.67	2193.99	1674.06	1857.6	1697.45	1950.0	3901.01	1963.57	1950.0	1286.18	2090.03	2417.67	1437.15	2209.26	2835.7	2720.15	1340.84	4639.29	2739.08	3060.45	3491.39	3742.05	4066.71	6561.36	5555.65	8718.32	2664.15	6164.49	2119.22	6337.83	10440.2	9215.48	4512.4	3419.52	2720.15	5791.62	3820.7	4575.41	4095.0	3419.52	3847.29	3280.18	5479.15	8078.22
CTC-786C10.1	9.93	0.0	0.0	0.0	0.0	1.38	1.62	0.0	0.0	0.92	1.23	0.91	1.45	0.0	0.0	6.01	0.0	0.0	0.0	2.18	8.0	11.47	0.0	3.0	0.0	0.0	0.0	2.14	6.21	0.0	0.0	0.0	1.62	0.0	5.28	2.71	0.0	7.28	18.03	2.89	1.85	0.0	2.23	1.19	10.39	2.07	13.72	1.97	2.07	9.56	0.38	3.66	6.84	3.79	38.4	21.47	15.34	20.11	42.41	15.56	32.82	16.51	5.06	1.89	14.45	17.64	23.93	20.41	13.62	4.46	2.29	5.15	2.27	1.14	6.41	92.7
CTSG	181.28	37.85	6.36	2.68	0.0	4.46	56.68	1.33	9.63	7.82	0.0	4.13	0.0	7.0	5.15	3794.3	37.85	2.16	11.91	0.0	73.54	1.16	43.94	14.14	0.0	3.5	0.0	12.0	258.57	47.17	47.17	67.12	31.67	0.0	14.35	9.27	21.63	6.16	206.94	32.82	145.02	54.72	0.97	0.0	66.18	119.26	66.65	25.91	29.91	2.51	486.75	208.38	190.34	392.44	183.82	6516.03	656.11	124.37	1151.06	848.22	97.36	4.13	86.43	82.29	277.2	134.3	1001.93	24.28	525.39	285.03	854.13	1.2	71.0	9.34	20.11	96.01
CYGB	2193.99	698.41	329.84	397.93	426.57	78.34	563.18	114.36	148.09	217.27	100.13	153.34	127.0	493.56	96.68	775.05	1151.06	161.02	231.32	277.2	909.17	68.55	486.75	241.19	110.43	493.56	82.29	96.01	480.04	176.29	239.52	358.54	915.51	40.07	389.72	102.97	327.56	180.02	503.95	218.79	228.13	289.02	214.27	285.03	403.5	351.14	595.34	156.59	194.36	262.2	1096.5	1519.15	1417.35	928.3	356.05	1191.69	497.0	2935.74	934.76	1104.13	679.29	1477.58	1322.37	1225.22	1674.06	447.82	995.0	860.08	571.05	1304.15	738.29	551.56	665.29	336.79	759.08	271.48
DACT3	161.02	26.1	20.41	11.64	8.65	10.31	27.84	2.97	9.13	15.34	3.72	6.26	8.32	7.06	5.23	909.17	53.19	8.0	10.0	5.32	43.63	5.73	43.02	28.04	2.61	45.85	13.32	9.78	198.47	63.89	18.03	24.46	31.45	2.63	40.93	12.64	27.64	15.11	384.34	8.38	37.05	15.45	18.43	6.73	38.12	97.36	163.28	86.43	41.52	28.04	258.57	249.73	287.01	98.04	109.66	392.44	148.09	974.5	325.29	211.31	406.31	441.64	647.07	371.22	543.96	49.21	262.2	246.28	348.71	591.22	283.05	58.3	78.89	35.5	59.13	1191.69
DCHS1	80.01	72.52	34.51	11.3	11.82	10.0	34.51	8.51	10.0	16.63	5.54	24.99	9.2	9.93	22.43	182.55	47.5	11.91	18.43	13.03	48.52	23.93	23.42	32.36	12.27	60.39	12.74	22.1	86.43	45.85	26.86	40.36	46.18	15.45	58.71	21.63	32.36	18.84	175.07	15.91	28.86	16.39	31.0	6.73	52.45	64.34	120.94	32.59	31.0	20.56	135.24	221.86	150.17	47.84	99.43	220.32	197.09	532.74	624.99	389.72	1313.23	258.57	120.1	287.01	444.72	85.82	135.24	121.79	223.41	341.51	234.57	56.28	49.56	28.24	63.0	547.75
DDR2	97.36	30.78	14.03	9.7	4.66	16.15	44.89	4.62	8.85	7.63	9.85	10.96	24.46	6.16	7.82	224.97	69.03	8.58	9.7	12.74	68.55	44.25	46.84	43.94	5.19	33.78	15.68	17.64	115.16	53.57	16.88	24.46	57.89	6.84	65.26	8.51	30.34	8.92	387.02	13.32	29.48	14.56	26.28	7.51	154.42	78.34	234.57	76.71	26.86	36.79	161.02	316.37	339.14	170.25	147.06	389.72	463.65	532.74	255.0	559.28	154.42	878.17	713.11	567.1	435.55	171.45	156.59	299.25	307.69	356.05	218.79	175.07	90.14	75.11	106.63	2061.24
DENND2A	105.15	64.8	38.67	31.9	20.11	178.77	25.91	18.16	92.05	19.25	3.72	28.45	23.93	19.68	28.86	198.47	93.35	21.32	26.28	12.74	68.07	23.59	91.41	26.1	10.88	68.07	14.67	26.28	36.53	53.57	38.12	155.5	74.06	14.78	68.55	18.29	36.01	20.56	73.03	25.35	88.26	34.51	39.22	6.31	52.45	98.73	85.82	42.71	50.27	16.03	283.05	988.12	457.25	187.71	209.84	412.0	195.72	1519.15	507.46	813.63	579.04	1151.06	1286.18	583.07	808.0	228.13	450.94	351.14	358.54	521.76	384.34	34.75	21.78	15.11	39.22	1572.76
DHH	27.84	4.7	0.65	0.67	0.0	2.39	5.68	1.3	1.2	1.5	0.32	2.63	0.58	0.33	1.14	20.86	9.63	1.22	2.39	0.62	7.57	3.35	6.16	3.63	1.14	16.75	7.06	3.0	2.48	11.73	3.35	5.36	2.86	0.33	5.59	2.39	15.22	0.0	14.67	0.0	8.45	1.91	3.76	0.79	7.75	10.55	8.58	3.89	2.41	1.99	28.04	8.92	2.71	0.95	17.25	6.89	3.14	26.28	34.02	18.03	15.34	14.35	20.11	19.82	13.72	2.34	14.24	5.77	7.46	15.56	14.24	10.0	13.12	8.65	11.73	34.26
DISP1	61.25	133.36	73.54	46.84	30.12	28.65	29.27	11.04	28.24	104.42	25.72	56.68	5.45	91.41	32.36	136.19	71.5	72.52	78.89	98.04	16.03	23.76	34.26	30.56	108.9	70.01	31.9	63.0	31.0	50.63	29.7	48.87	26.28	29.91	19.68	41.22	121.79	59.55	66.18	46.84	50.27	68.55	104.42	22.92	23.93	297.17	99.43	58.71	242.88	12.36	109.66	941.27	244.57	189.02	202.66	218.79	138.1	171.45	103.69	363.56	791.35	656.11	703.28	205.5	73.54	255.0	543.96	185.11	679.29	497.0	480.04	135.24	181.28	135.24	163.28	256.78
DPT	417.77	5.15	1.64	0.0	0.0	1.43	99.43	6.26	1.57	1.57	22.43	0.93	8.92	0.37	1.2	921.88	6.46	2.51	8.25	0.97	7.06	19.97	872.1	48.18	0.33	3.23	6.57	0.0	591.22	71.0	17.51	43.32	30.78	0.69	52.45	0.35	29.06	0.34	191.67	2.94	51.35	0.69	2.61	1.23	183.82	156.59	718.08	178.77	50.27	181.28	1259.69	1977.24	1572.76	1561.89	444.72	1487.87	4038.61	5183.54	6207.38	1508.65	2485.67	7032.37	4066.71	1457.23	4769.75	187.71	1388.16	1857.6	9606.86	11992.79	4095.0	30.78	172.65	46.18	44.89	8134.41
DST	2417.67	1883.54	961.07	1378.57	1508.65	1277.29	1572.76	6121.9	1008.9	708.18	253.23	1199.98	285.03	1662.49	567.1	1794.29	2148.82	1594.73	1697.45	1359.57	1721.16	1936.53	1111.82	1457.23	1233.75	1216.75	368.65	454.09	1936.53	1628.26	1015.93	961.07	5441.3	1397.83	486.75	450.94	1096.5	1572.76	2119.22	941.27	438.59	819.3	1369.04	890.44	1183.45	1225.22	1286.18	1008.9	3443.31	389.72	1457.23	4210.15	3614.55	890.44	1369.04	2090.03	3124.78	5831.91	4450.27	7331.05	3742.05	3794.3	7280.4	8658.09	5441.3	1733.13	2777.33	6121.9	6294.04	4607.24	2816.11	1583.71	1819.35	1757.34	1745.2	3395.89
DZIP1	217.27	42.11	40.07	5.41	48.52	147.06	24.11	12.45	13.42	43.94	8.65	8.71	18.43	15.8	48.87	232.94	51.71	87.03	19.68	61.25	26.86	10.0	35.25	27.05	3.23	136.19	95.34	14.35	57.89	74.06	19.39	35.25	60.82	7.82	75.11	62.12	26.47	34.75	105.89	49.91	90.14	77.25	47.17	5.59	50.63	48.18	127.89	49.91	36.53	24.11	201.25	277.2	164.42	115.97	96.68	175.07	114.36	195.72	139.07	262.2	102.97	154.42	303.44	239.52	624.99	33.06	199.85	110.43	108.14	111.21	82.29	77.79	57.89	33.3	57.89	329.84
ECM2	305.55	50.98	23.42	11.55	11.47	8.58	74.58	3.96	15.91	9.34	6.11	13.83	25.54	11.82	8.06	89.51	67.12	13.62	25.54	8.38	48.87	166.73	57.89	32.82	4.03	26.28	7.82	13.62	43.94	63.89	31.0	48.52	44.57	8.71	65.26	6.94	26.1	20.86	150.17	10.96	17.13	10.55	36.01	7.06	10.71	105.89	165.57	124.37	21.63	34.26	403.5	470.14	543.96	521.76	191.67	802.41	473.41	759.08	738.29	1066.48	339.14	967.76	1073.91	591.22	1059.11	167.9	193.01	323.03	988.12	466.88	567.1	94.67	133.36	114.36	138.1	1143.1
EDNRA	759.08	54.33	26.67	23.42	10.96	6.26	37.05	9.85	13.93	17.51	22.26	24.46	41.22	9.93	22.92	206.94	55.49	16.15	19.53	6.89	59.13	25.35	59.13	43.32	2.92	58.71	16.27	19.39	95.34	81.14	27.25	34.26	100.83	16.03	113.56	13.93	31.67	32.82	204.07	18.43	21.47	17.38	37.32	7.51	47.17	1081.39	204.07	144.01	61.68	64.34	346.29	693.58	708.18	232.94	353.59	287.01	493.56	1508.65	995.0	529.06	928.3	1191.69	802.41	473.41	1304.15	236.21	441.64	409.15	532.74	660.68	791.35	118.43	318.57	161.02	395.18	5329.3
EHD2	1963.57	1037.29	273.37	743.43	341.51	289.02	1769.57	172.65	176.29	379.04	872.1	642.59	571.05	638.15	480.04	2209.26	514.56	224.97	177.53	264.03	358.54	1467.37	708.18	595.34	87.03	529.06	182.55	808.0	2271.4	376.41	1259.69	563.18	3467.27	53.95	1350.18	244.57	483.38	1051.79	1508.65	142.01	409.15	395.18	379.04	476.71	603.67	1030.12	1819.35	896.64	1331.57	271.48	2163.77	3419.52	1030.12	358.54	3564.78	1832.01	3280.18	8421.31	4869.99	5751.61	1936.53	5831.91	5147.73	5006.93	2835.7	5403.7	4704.07	2682.69	5872.48	3614.55	1733.13	2018.8	1991.0	2163.77	1870.53	12943.04
EPB41L2	684.02	379.04	139.07	49.21	113.56	64.8	156.59	169.07	25.72	47.5	28.04	111.99	63.0	82.87	117.6	521.76	206.94	144.01	115.16	172.65	172.65	281.09	208.38	164.42	128.79	140.04	105.89	212.78	1127.35	159.9	62.56	209.84	312.0	231.32	116.78	201.25	96.68	157.68	435.55	195.72	103.69	60.39	251.48	112.77	1498.22	397.93	567.1	223.41	221.86	102.97	1015.93	1617.0	947.83	878.17	780.44	1832.01	1295.13	2133.97	1991.0	2502.97	1216.75	3212.66	1733.13	1159.07	2271.4	921.88	830.75	1233.75	3018.3	1883.54	2075.59	232.94	366.09	220.32	397.93	1594.73
ERG	346.29	156.59	48.52	20.86	29.27	22.59	51.35	13.42	19.97	38.12	9.78	47.17	17.64	24.81	28.86	153.34	103.69	38.4	45.85	36.01	80.57	15.8	65.26	51.71	31.22	143.01	26.86	55.1	59.13	87.65	52.82	90.77	70.51	20.56	59.13	55.49	71.5	42.11	104.42	27.25	54.72	41.81	66.65	5.96	127.89	129.69	123.5	63.45	88.88	36.27	435.55	802.41	669.92	384.34	212.78	1183.45	514.56	967.76	1457.23	819.3	4010.71	1540.37	836.53	417.77	1583.71	607.87	1096.5	791.35	1561.89	1088.92	1572.76	102.25	104.42	86.43	221.86	197.09
FAM110D	122.64	72.01	30.56	10.88	10.63	20.41	53.95	6.52	35.5	30.12	13.32	26.67	14.24	25.91	18.29	215.77	97.36	21.16	23.76	33.78	37.32	27.64	40.93	21.01	8.58	61.25	18.7	18.43	37.59	40.07	41.81	39.22	43.94	19.11	30.56	29.7	43.94	11.21	41.81	19.11	43.63	29.91	40.36	11.3	59.13	38.12	38.67	8.99	50.63	13.42	262.2	60.82	48.18	149.12	64.34	137.14	48.87	384.34	961.07	187.71	124.37	119.26	162.14	112.77	409.15	96.68	387.02	67.59	607.87	26.47	172.65	42.41	48.18	57.89	88.88	343.89
FAM65A	620.67	511.0	651.58	808.0	947.83	555.41	890.44	500.46	432.53	825.0	500.46	1015.93	392.44	669.92	444.72	825.0	928.3	441.64	860.08	780.44	490.14	941.27	444.72	708.18	325.29	688.78	414.87	555.41	1151.06	703.28	253.23	397.93	353.59	226.54	511.0	426.57	293.07	896.64	389.72	651.58	591.22	802.41	693.58	507.46	356.05	381.68	802.41	371.22	842.36	567.1	1369.04	1407.55	1183.45	1044.52	753.83	1572.76	2816.11	4298.64	5292.48	2367.9	3124.78	2591.27	2047.0	1340.84	2627.46	1745.2	1617.0	1467.37	2303.12	2351.53	2133.97	473.41	463.65	647.07	457.25	860.08
FAT4	28.04	4.39	1.6	0.68	0.6	2.07	47.17	1.97	0.93	1.83	1.23	2.97	3.44	0.97	1.46	21.78	11.91	1.23	2.07	2.81	17.38	3.41	2.97	6.62	2.29	14.03	2.61	1.83	9.27	11.04	3.38	5.41	21.01	2.27	8.06	3.92	5.54	3.53	43.94	2.03	5.19	1.95	11.3	2.36	16.88	19.68	28.45	13.32	15.45	5.36	70.51	74.58	143.01	58.3	33.54	293.07	180.02	223.41	76.71	103.69	109.66	363.56	131.51	45.53	529.06	38.4	49.56	162.14	95.34	58.71	156.59	15.68	12.83	16.75	25.35	144.01
FBXL7	96.01	38.67	16.88	9.34	3.5	5.87	29.27	5.28	6.41	10.0	4.31	13.03	17.13	5.77	10.96	187.71	40.36	8.85	13.72	6.89	37.05	11.04	45.21	24.46	4.31	35.76	13.03	12.74	63.89	29.06	17.38	31.67	32.36	6.46	49.21	22.1	22.1	16.15	124.37	8.99	22.43	21.16	20.86	4.78	35.25	92.7	100.83	26.86	36.53	22.75	157.68	318.57	265.87	113.56	122.64	343.89	166.73	503.95	397.93	246.28	277.2	769.69	327.56	208.38	571.05	73.03	59.97	237.86	423.61	115.16	309.83	78.89	76.71	64.8	98.73	2303.12
FBXO31	343.89	283.05	287.01	291.04	208.38	229.72	323.03	265.87	204.07	361.04	265.87	444.72	178.77	206.94	236.21	698.41	234.57	218.79	316.37	211.31	139.07	323.03	241.19	314.17	289.02	423.61	248.0	295.11	373.81	307.69	281.09	178.77	239.52	180.02	277.2	264.03	289.02	180.02	420.68	500.46	297.17	291.04	363.56	217.27	483.38	406.31	397.93	206.94	457.25	177.53	289.02	423.61	559.28	299.25	293.07	559.28	532.74	525.39	341.51	423.61	633.73	555.41	392.44	435.55	764.36	356.05	314.17	514.56	429.54	579.04	457.25	587.13	532.74	473.41	764.36	753.83
FERMT2	486.75	119.26	159.9	36.79	149.12	36.27	293.07	43.63	26.1	48.18	16.88	57.49	74.06	69.03	154.42	1359.57	165.57	108.14	116.78	69.52	232.94	412.0	332.14	112.77	18.16	211.31	49.91	87.65	447.82	208.38	61.68	283.05	148.09	57.49	195.72	115.16	80.01	68.55	921.88	124.37	156.59	41.22	96.01	17.38	343.89	379.04	420.68	325.29	173.85	171.45	1340.84	1757.34	708.18	376.41	429.54	1781.89	1551.09	1977.24	5403.7	1883.54	1883.54	2271.4	1909.85	1127.35	3467.27	825.0	490.14	988.12	5672.41	1605.83	1167.14	493.56	454.09	507.46	703.28	8479.89
FHL5	62.56	24.46	8.58	3.99	1.17	3.44	12.74	1.0	3.92	3.63	1.25	7.63	10.24	7.94	3.47	42.71	33.06	5.19	17.9	14.45	8.06	5.63	10.63	12.55	1.45	16.27	1.66	14.14	7.17	10.71	10.63	55.89	14.35	1.95	9.48	4.21	36.79	4.43	11.73	7.46	17.9	6.73	9.13	1.99	31.22	38.4	17.13	32.82	23.76	6.84	171.45	299.25	159.9	24.81	106.63	258.57	480.04	603.67	351.14	1277.29	101.54	426.57	718.08	723.08	287.01	145.02	72.01	148.09	358.54	159.9	108.14	21.16	34.75	33.78	23.25	151.22
FILIP1	44.89	10.79	5.41	2.01	6.01	4.13	92.7	1.33	2.73	3.03	0.93	5.59	5.68	1.3	3.47	144.01	13.83	9.41	6.52	1.27	22.92	1.99	7.4	8.92	2.01	13.52	1.97	4.86	43.02	15.34	5.19	15.45	8.32	2.27	13.42	3.03	3.72	5.59	101.54	5.77	7.63	6.41	9.48	6.26	6.67	30.12	151.22	12.83	21.47	10.96	232.94	884.29	320.8	108.14	205.5	470.14	239.52	312.0	1304.15	82.87	307.69	420.68	669.92	135.24	688.78	113.56	38.4	133.36	1225.22	215.77	273.37	17.13	23.59	19.25	36.01	791.35
FILIP1L	884.29	195.72	121.79	78.89	53.19	48.52	208.38	14.45	32.59	48.87	78.89	60.82	204.07	48.87	63.0	848.22	281.09	61.68	81.14	67.59	438.59	251.48	104.42	137.14	23.76	178.77	61.25	123.5	470.14	343.89	100.13	281.09	332.14	26.28	218.79	49.56	111.99	108.9	748.61	66.65	198.47	98.73	145.02	31.0	162.14	708.18	438.59	529.06	186.4	76.71	612.11	1437.15	728.11	314.17	802.41	389.72	299.25	4450.27	5441.3	884.29	791.35	1594.73	3540.14	1977.24	1844.76	432.53	376.41	928.3	3982.99	934.76	981.29	106.63	228.13	173.85	244.57	3443.31
FLI1	603.67	182.55	92.7	34.75	21.32	29.48	70.51	18.97	30.12	43.32	46.18	78.89	62.12	34.75	48.87	420.68	171.45	46.18	46.84	63.45	114.36	224.97	100.13	74.58	16.03	156.59	33.78	77.79	126.12	96.01	78.89	102.97	114.36	47.84	116.78	67.59	107.38	41.81	171.45	69.03	127.89	53.57	121.79	31.45	129.69	224.97	389.72	80.57	169.07	93.35	1096.5	2573.36	941.27	665.29	381.68	591.22	769.69	2555.58	1844.76	3467.27	4419.52	3124.78	708.18	435.55	1540.37	890.44	1295.13	521.76	3190.46	2855.44	1977.24	162.14	182.55	173.85	258.57	403.5
FSTL1	2075.59	1111.82	587.13	214.27	212.78	193.01	2075.59	162.14	1135.2	376.41	111.21	665.29	624.99	332.14	285.03	2609.3	769.69	358.54	412.0	348.71	1268.46	1977.24	1277.29	2434.5	205.5	1167.14	493.56	470.14	1331.57	2104.58	371.22	974.5	1208.34	688.78	1331.57	547.75	525.39	616.37	4268.94	279.14	444.72	420.68	693.58	100.83	915.51	1651.0	2319.15	1896.65	511.0	693.58	2400.97	1331.57	2555.58	1583.71	1259.69	5006.93	2520.38	1135.2	3564.78	1923.14	961.07	3212.66	3018.3	2384.37	4481.23	1350.18	1183.45	902.89	2976.74	2384.37	2664.15	1111.82	1104.13	629.35	1397.83	12076.21
