	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.AADC.01A.11R.A41C.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.CC.A8HT.01A.11R.A36F.07	TCGA.EP.A2KC.01A.11R.A213.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.13N11.0926.SM.5IJG2	GTEX.R53T.0326.SM.48FEC	TCGA.38.4632.11A.01R.1755.07	TCGA.38.4626.11A.01R.1758.07	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.QV44.0926.SM.2S1RH	GTEX.P4QR.1026.SM.2I5GP	GTEX.13FLV.0426.SM.5KLZA	GTEX.132QS.0726.SM.5IJE9	GTEX.13OW8.1726.SM.5L3GO	GTEX.144GO.0226.SM.5LUB1	TCGA.77.8007.11A.01R.2187.07	TCGA.56.8082.11A.01R.2247.07
SLC2A8	633.73	759.08	954.43	540.19	432.53	1059.11	1378.57	947.83	480.04	802.41	525.39	571.05	376.41	872.1	536.45	476.71	536.45	525.39	514.56	409.15	199.85	708.18	249.73	366.09	307.69	651.58	115.97	417.77	336.79
SLC37A4	1733.13	974.5	1119.56	1051.79	1540.37	1963.57	1519.15	2555.58	1662.49	1617.0	638.15	1369.04	954.43	921.88	1832.01	2816.11	3372.43	1477.58	470.14	412.0	426.57	591.22	323.03	161.02	368.65	318.57	167.9	414.87	195.72
SPC24	42.71	50.27	52.08	170.25	111.99	334.46	532.74	172.65	129.69	414.87	175.07	287.01	303.44	1081.39	138.1	6.31	231.32	8.65	28.65	21.47	31.45	105.89	24.99	15.91	25.35	37.05	15.11	95.34	6.16
SPC25	14.78	24.46	8.51	166.73	138.1	67.59	358.54	60.82	204.07	283.05	140.04	309.83	121.79	444.72	56.28	4.66	83.45	14.03	34.02	32.36	5.45	94.67	16.39	9.2	14.67	5.96	3.29	62.56	9.48
STMN1	2816.11	2178.83	1685.71	2335.28	1896.65	1467.37	6983.79	703.28	3039.3	5954.47	5329.3	3146.52	5255.91	6561.36	1286.18	275.28	1832.01	563.18	2104.58	2777.33	1896.65	6207.38	1159.07	2148.82	2417.67	1806.78	1417.35	3190.46	1359.57
TACC3	327.56	392.44	202.66	679.29	412.0	256.78	1477.58	275.28	571.05	1023.0	366.09	703.28	579.04	1551.09	242.88	75.64	647.07	91.41	241.19	295.11	209.84	764.36	285.03	110.43	138.1	303.44	201.25	447.82	165.57
TAF10	5147.73	4450.27	5479.15	6250.56	8538.88	4903.87	9606.86	5041.77	4575.41	4239.45	3742.05	6516.03	8658.09	5292.48	5006.93	4152.18	7382.04	2485.67	4543.8	4937.99	3564.78	6426.31	3124.78	3690.52	4210.15	3901.01	2573.36	5255.91	1977.24
TFB2M	224.97	223.41	239.52	954.43	1015.93	429.54	555.41	1008.9	915.51	651.58	1015.93	463.65	493.56	529.06	813.63	684.02	327.56	612.11	307.69	167.9	144.01	336.79	180.02	82.87	221.86	138.1	126.12	251.48	209.84
TK1	226.54	287.01	540.19	1216.75	555.41	1015.93	1819.35	299.25	603.67	1844.76	1167.14	3589.58	1059.11	1870.53	813.63	30.34	1001.93	183.82	301.33	239.52	208.38	967.76	108.14	123.5	182.55	135.24	187.71	656.11	108.9
TM7SF2	878.17	497.0	909.17	2047.0	3901.01	7230.1	3928.15	3820.7	1104.13	2384.37	2701.35	4543.8	3060.45	1617.0	3955.48	2061.24	567.1	5594.3	460.44	633.73	387.02	764.36	775.05	178.77	532.74	480.04	130.6	759.08	299.25
TOP2A	136.19	82.29	13.62	1081.39	400.71	209.84	1697.45	281.09	638.15	1359.57	1322.37	688.78	836.53	2287.2	559.28	5.68	406.31	66.18	123.5	70.01	74.58	521.76	159.9	34.75	94.01	67.12	48.87	507.46	12.45
TPX2	57.89	88.88	25.17	406.31	228.13	293.07	612.11	124.37	591.22	967.76	521.76	728.11	320.8	909.17	130.6	15.45	323.03	43.02	53.19	28.65	41.52	432.53	66.18	22.59	48.52	38.95	16.15	134.3	12.45
TROAP	46.18	34.02	9.7	607.87	301.33	438.59	1605.83	234.57	603.67	1199.98	395.18	1369.04	454.09	1427.22	146.03	8.99	297.17	19.25	74.58	65.26	17.13	275.28	48.52	7.94	35.0	18.16	12.18	194.36	13.12
TSACC	24.28	13.72	20.71	111.21	77.25	19.53	312.0	144.01	134.3	105.89	73.03	218.79	111.99	178.77	194.36	46.5	67.12	82.87	12.27	2.84	5.45	19.97	4.03	2.63	8.06	3.35	0.0	22.75	4.66
TSTA3	1529.73	1674.06	1963.57	4607.24	6164.49	4210.15	2875.3	5112.16	2664.15	2835.7	1277.29	2047.0	5791.62	2777.33	3212.66	2956.17	2319.15	802.41	1709.26	1628.26	1781.89	2739.08	728.11	954.43	1001.93	1111.82	551.56	2047.0	1044.52
TTK	14.24	12.09	4.74	132.44	38.95	59.13	165.57	69.03	147.06	209.84	205.5	327.56	108.14	320.8	52.82	1.0	60.82	7.82	25.72	9.27	7.69	73.54	48.52	2.63	14.45	9.63	3.79	45.21	3.03
TYMS	575.03	392.44	83.45	866.07	518.15	660.68	1073.91	473.41	954.43	2895.31	444.72	1628.26	836.53	679.29	366.09	97.36	1208.34	151.22	305.55	180.02	194.36	1250.98	209.84	126.12	237.86	146.03	65.26	728.11	75.11
UBE2T	155.5	104.42	110.43	860.08	470.14	255.0	723.08	283.05	470.14	1135.2	656.11	1407.55	559.28	1111.82	325.29	21.63	329.84	44.57	201.25	103.69	88.26	376.41	99.43	19.39	76.17	31.22	38.95	320.8	28.04
ZWINT	195.72	163.28	218.79	872.1	277.2	444.72	981.29	325.29	607.87	1674.06	629.35	1709.26	651.58	497.0	275.28	28.24	647.07	82.87	159.9	131.51	162.14	483.38	56.68	63.89	136.19	67.12	17.77	299.25	42.11
