	GTEX.11LCK.2026.SM.5A5MA	GTEX.XBEW.1926.SM.4SOJO	TCGA.KM.8438.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KN.8431.01A.11R.2315.07	TCGA.B0.5117.01A.01R.1420.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.DD.A4NG.01A.11R.A27V.07	TCGA.MR.A8JO.01A.12R.A36F.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.11ZUS.2526.SM.59872	GTEX.13O3O.1826.SM.5IFGW	TCGA.CD.A48A.01A.12R.A36D.31	TCGA.HU.A4G3.01A.11R.A24K.31	TCGA.HU.8238.01A.11R.2343.13	GTEX.144GM.1726.SM.5O9AS	GTEX.WFON.1126.SM.4LVMA	GTEX.RWS6.0926.SM.47JXE	GTEX.ZLV1.0826.SM.4WWEQ	GTEX.Y5V6.1326.SM.4VDTF	GTEX.V1D1.1726.SM.4JBHB	TCGA.DJ.A3VM.01A.11R.A23N.07	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.DJ.A1QG.01A.11R.A14Y.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.FY.A3NN.01A.11R.A21D.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.EM.A3SY.01A.11R.A22U.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.EM.A22J.01A.11R.A180.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.EM.A3O9.01A.11R.A220.07	TCGA.EM.A2CM.01A.11R.A180.07
MT-CO1	2247670.86	2845004.48	2805836.45	3551506.25	4282434.24	2904784.09	3383299.76	2786455.11	5420519.65	3200796.55	3526974.2	4342214.81	2216726.5	3454390.1	1877002.62	2805836.45	2392353.91	3651352.71	2493947.08	2375828.71	2279047.19	3091765.64	2654482.97	2924988.47	3995652.37	2805836.45	1825675.85	3832885.91	7202167.89	2141216.62	4885245.74	2904784.09	3676749.88	1611529.43	2511293.86	2186208.16	1108362.75	1864037.21	2263304.65	1751305.3	6956835.58	2884719.27	5308966.95	3676749.88	1171559.48	3526974.2	9307742.35	2864793.06
MTCH1	3280.18	3103.19	2777.33	1819.35	3395.89	2816.11	2645.74	4066.71	2627.46	3768.09	3280.18	3874.05	4239.45	2502.97	2133.97	1721.16	1857.6	2627.46	2720.15	2609.3	2645.74	2627.46	3103.19	2664.15	2351.53	2485.67	7382.04	9088.59	7485.11	6250.56	9344.14	11992.79	7130.55	10154.69	6164.49	12589.08	6699.25	8022.41	10154.69	7331.05	3257.52	8363.13	7230.1	16157.44	13872.08	10368.08	4575.41	6381.92
NBEA	17.0	47.84	18.03	37.85	39.5	6.62	242.88	128.79	29.06	65.72	37.85	78.89	3.06	16.75	3.23	3.38	3.96	64.8	28.86	16.75	25.54	37.05	23.93	45.53	44.57	48.52	624.99	339.14	269.6	78.89	303.44	316.37	432.53	738.29	974.5	221.86	131.51	595.34	281.09	318.57	68.07	329.84	129.69	246.28	1151.06	507.46	156.59	896.64
NHSL2	7.82	7.75	18.43	3.82	12.45	7.28	12.45	26.47	1.5	6.73	6.26	0.96	2.61	18.56	1.71	5.36	1.07	8.0	17.64	12.93	14.56	19.82	3.72	19.39	14.45	32.59	62.12	85.22	36.79	71.5	47.5	84.04	68.07	47.5	55.49	53.19	107.38	98.04	28.86	44.89	77.79	32.36	46.18	51.71	154.42	57.89	22.59	46.84
NKX2-1	0.62	15.0	0.0	0.0	0.0	0.0	0.0	0.51	0.51	0.0	0.0	0.0	0.0	1.35	2.56	0.57	1.08	1.43	0.0	0.0	8.65	3.66	0.0	2.97	3.32	14.03	6840.04	2255.7	2720.15	3742.05	3395.89	3665.02	5329.3	2520.38	5672.41	2537.92	3639.7	7180.15	3820.7	10154.69	3820.7	3589.58	1583.71	2935.74	5791.62	5711.87	2075.59	4937.99
NOC3L	126.12	135.24	79.45	46.5	55.49	76.71	70.51	157.68	108.9	99.43	116.78	141.02	128.79	122.64	17.38	90.77	265.87	132.44	180.02	197.09	147.06	113.56	60.82	102.25	87.03	102.97	318.57	256.78	183.82	291.04	176.29	255.0	283.05	373.81	299.25	195.72	583.07	187.71	218.79	217.27	150.17	141.02	223.41	231.32	381.68	209.84	101.54	277.2
NPC2	5517.27	4836.35	21768.19	15934.98	27363.16	18304.63	27938.14	6079.61	10512.82	14262.1	9279.58	15824.9	4903.87	3690.52	3039.3	1909.85	1277.29	7032.37	2997.45	5831.91	5041.77	7749.1	7180.15	5147.73	7032.37	8840.04	61571.56	30151.71	41188.81	113315.62	46339.95	53973.86	87075.75	46986.85	77934.88	32315.87	79022.82	65535.0	135693.24	97288.74	65535.0	25530.66	23169.48	23330.64	54727.32	69271.73	77396.54	61571.56
NPTXR	18.16	40.36	78.89	170.25	36.27	8.25	71.5	36.01	27.25	88.88	47.17	106.63	1.11	24.28	5.82	140.04	16.27	54.72	9.06	26.47	27.44	39.5	71.0	36.79	68.55	113.56	132.44	91.41	155.5	371.22	96.01	119.26	125.24	113.56	140.04	111.21	447.82	206.94	197.09	80.57	312.0	110.43	109.66	92.05	264.03	172.65	186.4	158.79
NTRK2	32.59	18.97	3.11	7.57	20.71	4.28	80.57	511.0	13.32	71.5	24.63	29.48	2.84	69.52	3.66	22.59	9.78	90.14	2.16	14.03	3.82	11.82	3.99	22.75	249.73	49.56	1781.89	543.96	547.75	1250.98	540.19	1233.75	1617.0	1651.0	1963.57	1208.34	1572.76	1950.0	1909.85	1519.15	1191.69	708.18	490.14	441.64	2555.58	1685.71	346.29	4481.23
OR2W3	38.95	7.94	0.44	0.96	1.87	1.3	1.93	3.96	0.49	10.71	2.23	5.73	0.58	2.97	1.13	0.0	0.0	0.95	0.0	0.0	0.0	4.82	1.97	4.54	1.89	1.95	50.27	146.03	85.22	17.25	128.79	128.79	74.06	49.91	76.17	137.14	53.57	91.41	171.45	64.8	17.9	143.01	15.91	90.77	75.64	118.43	31.0	55.49
ORAI2	90.77	144.01	102.25	126.12	132.44	88.88	133.36	229.72	195.72	507.46	285.03	341.51	36.53	123.5	33.78	19.82	21.63	194.36	249.73	132.44	90.77	92.7	51.71	82.29	80.57	211.31	775.05	406.31	264.03	633.73	420.68	954.43	872.1	698.41	525.39	490.14	511.0	1030.12	1388.16	733.19	397.93	463.65	423.61	656.11	718.08	518.15	376.41	457.25
OTOS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.53	0.0	0.0	2.73	0.0	0.0	10.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.51	536.45	1096.5	441.64	138.1	1806.78	1662.49	1508.65	543.96	441.64	2133.97	85.82	2018.8	4123.49	2915.45	98.04	1991.0	1250.98	995.0	665.29	1594.73	1051.79	518.15
PARM1	2664.15	1662.49	70.01	31.0	91.41	48.87	579.04	1151.06	1477.58	90.14	246.28	441.64	33.78	336.79	10.79	10.96	5.63	58.71	318.57	121.79	78.89	51.35	33.06	358.54	1030.12	267.73	1561.89	4869.99	2956.17	1757.34	2875.3	4481.23	1674.06	5147.73	2384.37	5255.91	2178.83	3955.48	4239.45	2104.58	796.86	3768.09	3639.7	5041.77	2682.69	3794.3	5995.9	2119.22
PBX3	125.24	187.71	463.65	525.39	224.97	536.45	444.72	291.04	46.5	139.07	366.09	166.73	253.23	236.21	226.54	204.07	30.34	599.49	137.14	140.04	246.28	223.41	307.69	244.57	429.54	409.15	8134.41	291.04	638.15	1044.52	1096.5	8191.0	5872.48	8191.0	9344.14	2682.69	1437.15	9474.59	6250.56	5555.65	947.83	974.5	536.45	1030.12	8718.32	6652.97	521.76	1369.04
PCMT1	785.88	813.63	813.63	836.53	679.29	791.35	890.44	1143.1	555.41	1044.52	854.13	902.89	470.14	1242.34	981.29	629.35	780.44	1225.22	1059.11	1015.93	684.02	713.11	769.69	764.36	1073.91	775.05	1628.26	1909.85	1259.69	1340.84	1191.69	1322.37	1388.16	1605.83	1437.15	1487.87	1457.23	1794.29	1721.16	1369.04	934.76	1023.0	1359.57	1216.75	1605.83	1397.83	1295.13	1286.18
PCSK2	26.47	49.21	0.0	0.0	2.34	0.43	0.0	17.77	0.49	0.0	0.0	0.0	0.0	0.0	10.16	4.62	2.86	7.28	0.69	2.39	16.63	21.16	13.03	7.94	23.42	54.33	14163.58	51.35	15.45	616.37	24.28	2573.36	18304.63	16727.26	34396.12	124.37	2032.85	16383.0	32540.65	22072.07	269.6	301.33	108.9	17.51	25005.23	8191.0	842.36	22535.88
PDE8B	24.81	31.45	92.7	21.01	119.26	178.77	102.25	107.38	16.39	15.68	20.11	29.06	26.47	16.27	6.84	14.67	14.03	80.01	28.45	11.3	23.42	27.84	29.48	49.21	49.91	88.26	5872.48	2319.15	1540.37	1088.92	4736.79	2104.58	4607.24	3665.02	3847.29	3257.52	1697.45	2855.44	2915.45	4450.27	536.45	2255.7	1594.73	3690.52	5441.3	2935.74	647.07	4481.23
PEBP4	9.48	12.0	181.28	18.84	185.11	221.86	9.78	74.06	10.08	13.12	20.26	12.55	2.63	7.34	358.54	43.63	65.26	8.06	3.86	4.21	110.43	134.3	141.02	147.06	246.28	19.25	1551.09	1561.89	1685.71	2209.26	4543.8	4419.52	6887.62	7537.18	2485.67	3103.19	2645.74	8191.0	7589.61	11745.96	796.86	2627.46	3018.3	1745.2	9876.98	9540.5	4937.99	4736.79
PEF1	1322.37	1313.23	1437.15	1313.23	1628.26	1059.11	1487.87	1745.2	1721.16	1685.71	1745.2	1844.76	753.83	1639.59	1551.09	1340.84	2739.08	1794.29	1066.48	1417.35	1427.22	1277.29	1268.46	1233.75	1498.22	1508.65	3901.01	4298.64	4328.55	2682.69	3491.39	3955.48	3564.78	4836.35	3168.41	4358.66	3018.3	3901.01	4512.4	3372.43	2032.85	4736.79	4268.94	5594.3	3235.01	4671.57	3349.13	3467.27
PHYHIP	31.45	42.41	3.23	1.99	2.92	1.36	3.0	140.04	3.11	12.45	18.43	16.15	5.73	19.39	12.18	17.0	3.99	43.32	17.64	19.53	16.75	19.39	9.27	17.38	28.45	43.94	368.65	116.78	186.4	438.59	75.11	103.69	135.24	95.34	147.06	29.27	325.29	228.13	129.69	295.11	403.5	43.02	358.54	12.93	295.11	283.05	242.88	547.75
PIK3CB	438.59	346.29	209.84	269.6	171.45	244.57	267.73	713.11	392.44	332.14	363.56	665.29	412.0	167.9	151.22	122.64	182.55	486.75	620.67	656.11	287.01	258.57	303.44	271.48	432.53	353.59	665.29	599.49	703.28	603.67	723.08	915.51	656.11	679.29	764.36	947.83	1015.93	743.43	633.73	543.96	329.84	698.41	473.41	988.12	1268.46	620.67	309.83	575.03
PLOD2	334.46	400.71	503.95	764.36	221.86	532.74	543.96	493.56	587.13	441.64	921.88	1639.59	2075.59	463.65	231.32	265.87	2148.82	438.59	279.14	289.02	669.92	221.86	314.17	289.02	486.75	400.71	2133.97	1242.34	1529.73	1685.71	1551.09	2796.65	2209.26	3124.78	2520.38	1216.75	3146.52	2400.97	2739.08	2451.44	1950.0	1477.58	1819.35	1572.76	6121.9	2104.58	1167.14	2434.5
PRKCH	220.32	215.77	246.28	187.71	454.09	503.95	703.28	329.84	43.02	218.79	164.42	157.68	95.34	329.84	82.29	131.51	76.17	197.09	185.11	173.85	123.5	275.28	83.45	226.54	507.46	323.03	1030.12	624.99	493.56	521.76	470.14	647.07	1216.75	1030.12	1159.07	748.61	693.58	860.08	607.87	1037.29	674.59	624.99	283.05	743.43	1167.14	988.12	579.04	743.43
PRKCQ	41.22	35.5	24.28	2.39	30.56	1.73	8.65	141.02	23.76	53.57	24.46	44.25	10.39	24.81	8.0	8.51	22.59	18.97	14.35	17.9	17.77	11.38	11.3	15.56	10.31	27.25	139.07	186.4	214.27	105.15	379.04	212.78	172.65	149.12	198.47	241.19	181.28	138.1	115.16	133.36	55.1	186.4	120.1	327.56	211.31	194.36	39.22	269.6
PRTG	2.27	3.63	43.63	4.78	0.0	11.55	22.43	26.1	1.5	9.78	14.67	23.59	0.67	7.46	0.0	0.88	0.16	12.18	6.78	2.27	7.4	11.13	4.13	14.56	7.34	8.99	74.06	47.84	27.25	42.71	35.5	81.14	62.12	55.49	97.36	74.06	86.43	76.17	36.53	78.34	27.25	37.05	42.41	61.68	96.01	53.57	30.12	77.79
RAB39B	7.94	9.93	11.82	8.51	7.88	1.3	11.47	20.71	1.5	15.11	8.0	4.74	2.58	6.62	0.48	0.53	4.74	26.47	1.91	4.66	6.21	1.35	4.94	5.23	7.88	9.85	32.36	32.59	32.36	18.43	50.63	28.65	27.84	50.63	51.71	17.64	44.25	33.06	14.35	40.36	22.75	59.13	6.78	60.39	36.01	22.43	15.45	27.05
RBBP9	96.01	86.43	104.42	91.41	77.79	98.04	109.66	480.04	316.37	255.0	297.17	336.79	603.67	209.84	166.73	217.27	98.04	186.4	205.5	293.07	215.77	195.72	130.6	175.07	204.07	253.23	497.0	239.52	256.78	420.68	327.56	351.14	624.99	674.59	896.64	563.18	785.88	909.17	642.59	633.73	444.72	356.05	244.57	293.07	902.89	665.29	180.02	397.93
RCN2	642.59	780.44	1397.83	1119.56	1304.15	1096.5	1487.87	1044.52	507.46	693.58	679.29	995.0	514.56	988.12	143.01	109.66	53.95	1151.06	896.64	764.36	470.14	723.08	842.36	728.11	890.44	981.29	2434.5	1617.0	1819.35	1594.73	1127.35	2319.15	2434.5	2645.74	2855.44	1685.71	2384.37	2816.11	2956.17	3103.19	1819.35	1529.73	1551.09	1397.83	2417.67	2303.12	1378.57	2240.11
RHOBTB2	80.57	108.9	356.05	332.14	417.77	426.57	208.38	503.95	140.04	291.04	297.17	176.29	52.82	147.06	58.3	34.26	12.74	127.89	368.65	171.45	429.54	143.01	145.02	176.29	151.22	381.68	2004.85	848.22	457.25	642.59	497.0	1167.14	2061.24	1733.13	1183.45	753.83	647.07	2875.3	1242.34	1388.16	336.79	1159.07	497.0	429.54	1208.34	1605.83	293.07	1844.76
RND2	8.06	51.35	13.42	34.75	6.62	3.92	12.55	74.58	87.03	45.85	13.52	111.99	5.11	8.65	255.0	289.02	287.01	19.82	2.16	6.73	7.06	23.76	18.16	31.22	46.84	25.54	1467.37	366.09	114.36	262.2	457.25	438.59	1104.13	457.25	1001.93	147.06	336.79	743.43	872.1	1594.73	137.14	406.31	226.54	89.51	674.59	674.59	265.87	791.35
RNF146	450.94	497.0	409.15	305.55	332.14	417.77	371.22	825.0	307.69	316.37	444.72	511.0	283.05	567.1	214.27	743.43	140.04	647.07	325.29	246.28	305.55	368.65	307.69	503.95	403.5	457.25	1617.0	1407.55	633.73	1096.5	802.41	1073.91	1350.18	1119.56	1331.57	941.27	1250.98	1896.65	909.17	1950.0	1001.93	698.41	629.35	848.22	1175.27	1119.56	848.22	1561.89
RP11-690P14.4	1.0	0.87	0.45	0.97	1.43	0.0	0.99	2.01	0.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.68	2.29	0.0	0.0	0.64	0.0	0.95	0.36	0.0	33.3	2.78	1.93	12.74	0.0	25.91	42.71	13.93	33.78	6.31	10.55	29.27	20.41	27.84	5.59	1.71	2.36	3.63	54.72	13.93	3.66	22.43
RPA2	454.09	447.82	343.89	381.68	351.14	309.83	497.0	669.92	583.07	660.68	567.1	647.07	329.84	860.08	327.56	318.57	205.5	791.35	511.0	417.77	511.0	493.56	536.45	728.11	728.11	629.35	1397.83	1127.35	928.3	1304.15	836.53	1066.48	1359.57	988.12	974.5	813.63	1350.18	1498.22	1350.18	1561.89	928.3	669.92	878.17	842.36	890.44	1044.52	660.68	1208.34
RPS6KA2	249.73	291.04	221.86	381.68	660.68	148.09	312.0	450.94	54.33	251.48	211.31	287.01	102.97	620.67	85.82	60.82	14.45	242.88	525.39	242.88	143.01	363.56	199.85	351.14	305.55	249.73	1331.57	860.08	575.03	1023.0	848.22	1529.73	1909.85	1529.73	1572.76	1127.35	1268.46	1844.76	1977.24	1331.57	733.19	1104.13	511.0	775.05	1923.14	1208.34	518.15	1001.93
RSPH6A	0.0	0.0	0.0	0.48	0.0	0.0	0.0	1.0	0.0	2.25	1.35	2.86	0.0	0.0	0.0	0.0	0.0	6.94	0.46	0.0	1.77	0.0	1.55	1.45	0.0	0.0	46.18	34.02	4.66	15.0	102.97	22.59	46.84	16.15	72.01	63.89	11.82	77.25	58.71	88.26	6.31	169.07	12.64	78.89	30.78	48.52	28.86	43.63
S100A13	2351.53	2400.97	902.89	7803.01	1709.26	738.29	3665.02	3081.75	4298.64	6840.04	7485.11	5913.33	1397.83	2367.9	1397.83	854.13	503.95	2018.8	1857.6	1794.29	934.76	1037.29	1277.29	1378.57	1721.16	1651.0	21026.65	10440.2	8658.09	22380.2	13872.08	18178.19	27938.14	17437.64	14971.21	11504.21	16727.26	19482.97	40621.74	22225.61	27174.14	9740.98	5954.47	13215.02	13033.07	20881.4	10512.82	29124.6
SASH1	169.07	158.79	164.42	84.63	115.97	204.07	189.02	339.14	212.78	140.04	121.79	197.09	85.22	193.01	42.71	53.57	20.11	107.38	111.99	87.03	75.11	169.07	108.9	161.02	258.57	148.09	460.44	500.46	353.59	395.18	629.35	759.08	555.41	665.29	595.34	733.19	599.49	775.05	490.14	320.8	353.59	563.18	301.33	738.29	703.28	417.77	226.54	764.36
SELV	0.0	0.0	0.0	0.0	0.0	2.61	0.0	0.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.03	0.0	9.93	0.0	1.77	0.0	0.0	0.0	0.0	0.0	3.66	162.14	368.65	86.43	1.95	246.28	307.69	163.28	102.97	70.01	591.22	1.89	228.13	150.17	74.58	0.0	638.15	171.45	198.47	34.75	180.02	50.63	78.89
SEP15	3124.78	2835.7	2573.36	3349.13	1477.58	2796.65	3847.29	4388.98	4239.45	3235.01	5076.84	4152.18	2956.17	3639.7	1594.73	2090.03	2287.2	3742.05	4268.94	2777.33	2075.59	2915.45	2224.63	2664.15	2895.31	2609.3	5913.33	3768.09	2895.31	8658.09	4802.93	7966.99	6516.03	5441.3	5954.47	5711.87	9344.14	5913.33	5995.9	6207.38	7695.57	5183.54	4736.79	5292.48	6983.79	6699.25	3190.46	4937.99
SFTA3	0.0	7.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.32	1.55	0.2	19.82	0.0	7.88	4.17	0.0	2.03	5.77	4.28	6.01	12329.98	7803.01	5076.84	6607.01	9215.48	5954.47	13033.07	9151.82	16727.26	4123.49	8538.88	10440.2	10014.87	18304.63	5441.3	7911.95	1208.34	3955.48	8963.45	9344.14	2645.74	13399.51
SHISA2	8.13	1.41	1.79	305.55	0.48	0.88	229.72	201.25	52.08	12.93	6.26	24.11	0.0	10.08	0.0	0.0	0.0	107.38	32.82	30.34	414.87	3.2	33.06	72.52	56.28	107.38	1183.45	76.17	44.25	264.03	163.28	974.5	1023.0	878.17	2537.92	536.45	521.76	1540.37	1437.15	1733.13	121.79	130.6	3.2	234.57	1467.37	1407.55	2.18	583.07
SKIDA1	4.17	4.17	2.23	0.0	0.95	3.03	1.93	26.67	1.99	4.03	12.45	2.39	23.93	5.32	12.27	31.9	0.92	6.46	5.96	4.82	2.14	4.7	1.89	7.94	2.43	3.2	42.71	18.84	16.75	19.11	23.08	27.05	54.72	16.63	52.82	25.54	39.22	14.45	9.78	24.63	23.08	7.94	3.11	15.0	23.93	29.48	8.13	36.27
SLC39A10	180.02	144.01	82.87	96.68	53.19	59.13	63.0	253.23	145.02	143.01	138.1	241.19	234.57	139.07	14.89	31.67	4.7	334.46	122.64	135.24	113.56	92.05	26.1	80.01	81.71	155.5	1127.35	318.57	197.09	1286.18	318.57	547.75	1508.65	703.28	860.08	698.41	1051.79	1674.06	688.78	2645.74	547.75	514.56	269.6	872.1	473.41	1119.56	204.07	896.64
SLC41A1	100.13	125.24	215.77	73.03	248.0	51.71	127.89	669.92	260.38	332.14	327.56	249.73	91.41	198.47	37.32	31.45	92.7	267.73	256.78	444.72	480.04	406.31	612.11	460.44	432.53	497.0	1378.57	796.86	1151.06	791.35	791.35	1268.46	1104.13	1447.15	1259.69	1183.45	1119.56	1208.34	1225.22	1135.2	713.11	928.3	723.08	1104.13	1073.91	1151.06	620.67	1457.23
SLFN11	121.79	165.57	167.9	26.28	52.08	71.0	82.87	212.78	23.93	115.97	80.57	77.79	39.79	218.79	28.45	16.03	18.7	167.9	136.19	128.79	88.88	63.89	66.18	157.68	186.4	141.02	414.87	283.05	195.72	297.17	341.51	521.76	454.09	291.04	281.09	358.54	295.11	339.14	256.78	320.8	323.03	189.02	281.09	450.94	713.11	381.68	177.53	195.72
SLIT1	1.83	14.67	10.31	0.0	0.0	5.68	0.0	0.51	3.53	5.45	3.17	0.0	0.61	5.96	6.89	0.0	0.07	23.59	1.89	0.0	0.49	1.91	5.02	5.59	2.18	7.4	336.79	4.82	14.78	34.75	5.92	134.3	295.11	115.97	371.22	0.0	43.94	490.14	122.64	703.28	22.26	3.03	0.0	31.45	165.57	186.4	12.27	114.36
SMARCA1	48.18	102.25	373.81	87.65	223.41	307.69	323.03	476.71	253.23	277.2	329.84	409.15	563.18	934.76	341.51	376.41	808.0	113.56	256.78	63.0	361.04	220.32	95.34	162.14	125.24	329.84	808.0	713.11	400.71	483.38	974.5	1350.18	718.08	921.88	890.44	995.0	848.22	884.29	753.83	718.08	447.82	1008.9	1268.46	947.83	1151.06	698.41	420.68	825.0
SNX1	1447.15	1216.75	1295.13	1359.57	1498.22	1359.57	1561.89	1662.49	1322.37	1733.13	1467.37	1561.89	1277.29	1487.87	1208.34	1508.65	1037.29	1191.69	1066.48	915.51	1331.57	3039.3	1697.45	2573.36	1697.45	1639.59	3690.52	1844.76	2997.45	9409.14	1529.73	5292.48	3515.68	6745.86	3820.7	3820.7	7081.29	5403.7	5183.54	3982.99	4152.18	2835.7	5517.27	4239.45	5954.47	4328.55	2104.58	4388.98
SNX25	85.82	142.01	190.34	256.78	226.54	229.72	228.13	289.02	71.0	65.26	95.34	100.13	241.19	157.68	48.52	57.49	152.28	102.25	115.97	67.12	100.83	87.03	78.34	87.65	125.24	90.77	995.0	620.67	866.07	486.75	503.95	854.13	1104.13	389.72	1447.15	473.41	638.15	1191.69	796.86	1388.16	780.44	438.59	392.44	656.11	1104.13	463.65	334.46	1477.58
SP7	0.29	0.32	0.0	0.0	0.0	0.0	0.0	0.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.79	0.0	1.14	0.0	0.0	0.0	0.0	0.0	2.92	4.94	2.05	1.07	5.23	2.25	4.74	1.01	12.09	9.34	6.89	9.56	26.1	0.0	16.51	9.2	2.05	1.0	34.26	13.62	2.14	4.24	0.0
SPATA7	96.68	151.22	146.03	129.69	147.06	120.1	166.73	289.02	94.67	169.07	108.14	204.07	157.68	124.37	39.22	88.26	33.06	262.2	137.14	141.02	70.01	167.9	151.22	110.43	107.38	167.9	307.69	334.46	262.2	206.94	318.57	264.03	241.19	275.28	314.17	264.03	281.09	341.51	287.01	346.29	241.19	242.88	199.85	234.57	346.29	275.28	265.87	384.34
SPRED1	205.5	170.25	80.01	32.36	43.63	51.71	73.54	312.0	73.54	115.97	148.09	97.36	63.89	149.12	20.86	36.01	88.88	211.31	244.57	183.82	130.6	121.79	82.29	153.34	102.25	146.03	444.72	214.27	202.66	358.54	163.28	511.0	521.76	703.28	547.75	432.53	723.08	921.88	638.15	703.28	289.02	373.81	176.29	521.76	954.43	532.74	145.02	373.81
SRL	34.02	22.26	17.64	3.82	18.97	6.89	8.13	57.49	2.97	4.46	9.78	30.56	2.61	8.99	2.23	4.39	1.41	6.52	7.34	11.91	2.86	18.29	4.35	18.84	67.12	11.47	151.22	36.53	107.38	178.77	37.59	297.17	532.74	121.79	441.64	154.42	211.31	583.07	454.09	457.25	107.38	19.53	12.74	66.65	555.41	281.09	23.59	64.34
SSBP2	249.73	400.71	59.13	169.07	77.25	40.07	111.21	500.46	108.14	293.07	420.68	180.02	108.14	205.5	25.54	50.98	4.21	480.04	121.79	126.12	116.78	389.72	195.72	409.15	460.44	454.09	902.89	373.81	403.5	679.29	665.29	567.1	878.17	759.08	1388.16	325.29	780.44	2935.74	603.67	1709.26	669.92	351.14	1023.0	423.61	890.44	860.08	620.67	1066.48
ST3GAL5	170.25	264.03	258.57	332.14	323.03	237.86	218.79	175.07	92.7	177.53	60.39	169.07	406.31	185.11	156.59	170.25	154.42	120.1	93.35	150.17	34.51	54.72	62.56	139.07	99.43	171.45	4358.66	764.36	1709.26	3665.02	395.18	1909.85	2485.67	4903.87	4210.15	1167.14	4181.07	4575.41	2287.2	4450.27	2573.36	521.76	579.04	429.54	2835.7	2319.15	620.67	5183.54
ST6GAL2	1.41	1.53	0.0	31.9	1.39	0.87	3.35	14.24	0.0	1.35	1.35	0.48	0.59	50.27	23.08	17.25	24.63	7.22	0.0	1.41	1.23	110.43	34.51	17.9	74.06	81.14	1605.83	301.33	748.61	165.57	529.06	1242.34	1044.52	981.29	1350.18	934.76	866.07	1277.29	1066.48	1977.24	211.31	339.14	58.3	301.33	1977.24	1225.22	55.1	3794.3
SV2A	26.1	43.94	4.98	1.48	8.99	7.46	12.18	35.0	9.63	182.55	57.08	19.68	5.45	32.82	3.69	4.74	2.94	33.06	17.38	25.17	12.74	21.16	8.71	25.72	23.93	59.97	476.71	269.6	316.37	95.34	215.77	258.57	438.59	277.2	525.39	52.82	198.47	507.46	353.59	339.14	171.45	256.78	46.18	122.64	525.39	376.41	68.07	432.53
TBX3	176.29	366.09	26.86	53.95	48.87	28.86	42.71	334.46	17.13	38.12	27.25	30.34	1066.48	323.03	409.15	41.52	4.58	269.6	214.27	279.14	13.42	269.6	195.72	158.79	22.43	79.45	2855.44	1757.34	2004.85	1304.15	5219.6	2104.58	2075.59	1183.45	2104.58	1806.78	2319.15	2271.4	1628.26	2287.2	718.08	2777.33	1745.2	2367.9	3639.7	2209.26	1111.82	2555.58
TENM1	3.63	5.06	0.0	0.54	4.39	2.27	1.04	27.25	24.99	4.21	13.83	8.85	1.33	8.99	2.34	57.49	15.56	5.5	2.78	2.07	0.6	2.51	1.89	3.17	2.25	9.63	656.11	7.17	6.73	151.22	9.93	121.79	638.15	279.14	366.09	8.19	253.23	409.15	145.02	780.44	84.04	11.13	6.36	21.78	511.0	264.03	51.35	486.75
TEX9	60.39	46.84	37.32	83.45	7.57	14.78	26.1	209.84	99.43	66.65	128.79	74.58	4.13	32.36	2.73	13.03	0.39	132.44	100.83	70.01	115.97	256.78	79.45	175.07	94.01	163.28	170.25	173.85	181.28	190.34	101.54	187.71	157.68	169.07	249.73	85.82	325.29	138.1	73.54	171.45	164.42	111.21	119.26	127.0	215.77	171.45	105.89	102.25
TMEM215	0.0	0.0	0.0	0.47	0.0	0.43	0.0	0.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.39	0.0	2.29	0.0	0.0	0.0	1.22	0.0	1.28	45.85	0.0	1.33	41.81	1.3	299.25	218.79	157.68	18.43	3.17	346.29	110.43	170.25	104.42	12.64	2.23	0.0	5.77	872.1	426.57	0.0	5.68
