	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.EM.A4FH.01A.11R.A250.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.EL.A3D4.01A.11R.A19O.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EL.A3T2.01A.11R.A22L.07	TCGA.EM.A3AI.01A.11R.A206.07	TCGA.EM.A1YE.01A.11R.A14Y.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.BJ.A45K.01A.11R.A23W.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.EL.A3MY.11A.12R.A21D.07	TCGA.EL.A3MW.11A.11R.A20F.07	TCGA.EL.A3GZ.11A.11R.A20F.07	TCGA.EL.A3MX.11A.11R.A21D.07	TCGA.EL.A3N3.11A.11R.A20F.07	TCGA.EL.A3ZM.11A.12R.A23N.07	TCGA.BJ.A290.11A.11R.A180.07	TCGA.EM.A1CW.11A.12R.A13Y.07	TCGA.EL.A3N2.11A.11R.A20F.07	GTEX.RM2N.0526.SM.2TF4N	GTEX.W5X1.0426.SM.3GILB	GTEX.14ABY.0926.SM.5Q5DY	GTEX.13NZA.1026.SM.5MR48	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.13OW8.0126.SM.5IJE5	GTEX.13FLV.0226.SM.5J2OF	GTEX.12ZZZ.1226.SM.59HK1	GTEX.OHPM.2626.SM.33HC5	GTEX.12WSK.0926.SM.5CVNQ	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.12ZZY.0826.SM.5EQMT	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.SJXC.0726.SM.2XCFJ	GTEX.11TTK.0826.SM.5N9EG	GTEX.139UW.0126.SM.5KM1B	GTEX.YEC3.0826.SM.4WWFP	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.PLZ4.1226.SM.2I5FE	GTEX.UJMC.0326.SM.3GAE2	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.ZYT6.0426.SM.5GID3	GTEX.111FC.1026.SM.5GZX1
DHX15	1175.27	1023.0	1233.75	651.58	1151.06	967.76	1208.34	1051.79	1023.0	1096.5	738.29	1159.07	1709.26	848.22	819.3	1096.5	1081.39	1295.13	921.88	603.67	1388.16	1437.15	1583.71	1135.2	1963.57	1388.16	1286.18	1733.13	1388.16	1832.01	2018.8	1331.57	1088.92	1457.23	1487.87	1295.13	1733.13	1216.75	1628.26	1674.06	1540.37	1295.13	1583.71	1073.91	1407.55	1651.0	1350.18	1167.14	1096.5	1487.87	1350.18	2018.8	1151.06	1844.76	1225.22	1540.37	1286.18	1529.73	1322.37	1519.15	1498.22	1477.58	1806.78	1407.55	1199.98	1417.35	1143.1	1388.16	1883.54	1594.73	1487.87	1073.91	1397.83	1191.69	1135.2
DIS3	237.86	234.57	234.57	85.82	167.9	212.78	185.11	187.71	253.23	193.01	197.09	246.28	432.53	194.36	181.28	269.6	214.27	303.44	191.67	69.52	400.71	420.68	414.87	251.48	476.71	293.07	332.14	406.31	358.54	540.19	493.56	325.29	195.72	316.37	299.25	248.0	297.17	246.28	447.82	423.61	275.28	325.29	343.89	215.77	255.0	320.8	229.72	297.17	253.23	371.22	267.73	486.75	260.38	389.72	237.86	327.56	248.0	287.01	258.57	260.38	473.41	279.14	532.74	373.81	229.72	327.56	256.78	373.81	567.1	323.03	299.25	273.37	303.44	241.19	255.0
EEA1	76.17	83.45	81.71	54.33	58.3	66.65	51.35	70.01	69.03	40.36	63.89	96.68	139.07	83.45	59.97	98.04	84.04	112.77	62.56	48.87	162.14	164.42	150.17	96.01	161.02	77.79	137.14	165.57	156.59	169.07	182.55	170.25	80.57	92.05	108.14	92.7	151.22	158.79	239.52	143.01	82.87	112.77	95.34	78.34	79.45	217.27	67.12	90.14	101.54	92.05	121.79	211.31	74.58	162.14	66.65	95.34	65.72	155.5	124.37	156.59	115.16	118.43	169.07	115.97	62.56	115.97	54.33	118.43	144.01	96.01	125.24	92.7	138.1	85.22	134.3
EPS15	532.74	476.71	518.15	409.15	447.82	476.71	343.89	450.94	450.94	376.41	483.38	587.13	624.99	325.29	303.44	547.75	412.0	575.03	414.87	287.01	647.07	651.58	567.1	514.56	836.53	381.68	612.11	665.29	698.41	698.41	616.37	708.18	454.09	503.95	497.0	500.46	480.04	599.49	708.18	642.59	409.15	460.44	432.53	460.44	450.94	638.15	460.44	486.75	540.19	497.0	447.82	813.63	500.46	713.11	406.31	713.11	403.5	559.28	371.22	521.76	521.76	521.76	599.49	497.0	420.68	511.0	480.04	660.68	525.39	466.88	551.56	567.1	587.13	463.65	555.41
EXOC5	229.72	234.57	195.72	175.07	187.71	199.85	172.65	161.02	202.66	143.01	202.66	224.97	316.37	251.48	180.02	249.73	218.79	281.09	220.32	108.14	447.82	483.38	454.09	260.38	555.41	251.48	351.14	473.41	371.22	368.65	607.87	473.41	251.48	232.94	309.83	249.73	309.83	483.38	447.82	332.14	197.09	256.78	220.32	287.01	305.55	536.45	301.33	406.31	358.54	283.05	285.03	591.22	260.38	351.14	229.72	228.13	223.41	429.54	297.17	309.83	273.37	327.56	473.41	341.51	182.55	264.03	178.77	529.06	497.0	309.83	285.03	269.6	432.53	267.73	363.56
FAM114A2	217.27	246.28	180.02	187.71	244.57	171.45	156.59	173.85	223.41	185.11	212.78	256.78	318.57	255.0	202.66	212.78	232.94	258.57	193.01	185.11	353.59	356.05	343.89	293.07	361.04	283.05	366.09	381.68	314.17	339.14	483.38	277.2	202.66	312.0	295.11	244.57	260.38	287.01	373.81	283.05	281.09	356.05	295.11	251.48	246.28	293.07	239.52	384.34	224.97	251.48	327.56	336.79	234.57	287.01	264.03	273.37	214.27	293.07	387.02	237.86	258.57	277.2	423.61	275.28	170.25	239.52	277.2	366.09	406.31	262.2	251.48	169.07	318.57	264.03	334.46
FAM91A1	332.14	368.65	353.59	218.79	277.2	251.48	269.6	289.02	353.59	153.34	244.57	336.79	525.39	242.88	295.11	363.56	366.09	371.22	281.09	176.29	473.41	490.14	444.72	255.0	536.45	329.84	356.05	480.04	429.54	575.03	551.56	384.34	248.0	363.56	423.61	329.84	518.15	371.22	500.46	540.19	351.14	358.54	379.04	242.88	356.05	426.57	291.04	356.05	301.33	353.59	403.5	559.28	214.27	591.22	293.07	432.53	289.02	420.68	403.5	373.81	420.68	457.25	511.0	417.77	237.86	341.51	242.88	353.59	563.18	454.09	444.72	267.73	429.54	301.33	279.14
FASTKD2	297.17	293.07	283.05	214.27	241.19	231.32	248.0	255.0	281.09	212.78	178.77	299.25	540.19	301.33	146.03	320.8	293.07	301.33	241.19	195.72	414.87	480.04	432.53	309.83	500.46	381.68	387.02	571.05	395.18	525.39	438.59	368.65	334.46	363.56	384.34	316.37	447.82	392.44	511.0	480.04	373.81	387.02	454.09	320.8	403.5	457.25	327.56	332.14	363.56	470.14	373.81	607.87	341.51	429.54	339.14	412.0	246.28	447.82	371.22	363.56	447.82	389.72	518.15	423.61	373.81	381.68	366.09	371.22	497.0	432.53	403.5	275.28	343.89	320.8	301.33
FBXW11	368.65	348.71	348.71	299.25	303.44	291.04	303.44	316.37	312.0	348.71	287.01	366.09	567.1	420.68	253.23	371.22	366.09	447.82	279.14	420.68	540.19	547.75	473.41	444.72	529.06	400.71	540.19	587.13	536.45	559.28	444.72	620.67	231.32	466.88	457.25	371.22	514.56	583.07	579.04	521.76	332.14	450.94	480.04	316.37	348.71	507.46	409.15	529.06	493.56	457.25	409.15	743.43	414.87	733.19	295.11	497.0	373.81	507.46	373.81	423.61	470.14	486.75	551.56	473.41	293.07	412.0	351.14	473.41	579.04	529.06	521.76	305.55	587.13	429.54	444.72
FEM1B	220.32	220.32	237.86	104.42	154.42	177.53	186.4	202.66	209.84	180.02	195.72	258.57	332.14	185.11	145.02	269.6	221.86	279.14	186.4	153.34	379.04	381.68	406.31	295.11	368.65	271.48	397.93	444.72	397.93	473.41	447.82	368.65	182.55	346.29	323.03	232.94	244.57	248.0	514.56	363.56	277.2	312.0	295.11	236.21	246.28	332.14	190.34	361.04	249.73	327.56	267.73	454.09	201.25	297.17	249.73	332.14	287.01	307.69	262.2	289.02	373.81	358.54	454.09	379.04	248.0	361.04	256.78	323.03	503.95	376.41	295.11	256.78	258.57	287.01	265.87
G2E3	63.45	97.36	68.07	39.22	67.59	66.65	46.5	52.45	76.71	35.76	47.5	73.54	149.12	77.79	55.49	77.25	66.65	87.03	74.58	32.13	137.14	177.53	158.79	98.04	177.53	98.73	140.04	193.01	144.01	387.02	305.55	153.34	70.01	129.69	134.3	85.82	128.79	84.63	197.09	180.02	115.16	89.51	140.04	88.26	126.12	133.36	94.01	132.44	100.83	135.24	126.12	202.66	76.71	163.28	82.87	141.02	89.51	149.12	102.97	125.24	146.03	140.04	182.55	171.45	98.04	148.09	65.72	139.07	255.0	129.69	154.42	80.57	96.68	94.67	66.65
GCC2	320.8	256.78	269.6	177.53	194.36	223.41	180.02	214.27	312.0	177.53	158.79	267.73	624.99	197.09	155.5	373.81	285.03	392.44	224.97	182.55	567.1	583.07	540.19	339.14	679.29	366.09	454.09	620.67	525.39	669.92	651.58	651.58	249.73	301.33	392.44	543.96	486.75	555.41	688.78	551.56	260.38	343.89	476.71	460.44	591.22	612.11	599.49	432.53	470.14	309.83	361.04	934.76	476.71	651.58	262.2	444.72	181.28	571.05	269.6	638.15	400.71	607.87	603.67	454.09	208.38	356.05	221.86	769.69	525.39	389.72	414.87	429.54	555.41	305.55	432.53
GIGYF2	529.06	420.68	412.0	346.29	356.05	417.77	325.29	395.18	447.82	373.81	384.34	555.41	808.0	336.79	277.2	507.46	460.44	571.05	395.18	279.14	660.68	693.58	647.07	591.22	733.19	518.15	647.07	708.18	785.88	1066.48	620.67	583.07	384.34	555.41	759.08	423.61	813.63	463.65	802.41	728.11	559.28	603.67	656.11	529.06	476.71	738.29	450.94	713.11	395.18	571.05	429.54	743.43	500.46	738.29	429.54	738.29	480.04	612.11	559.28	521.76	688.78	567.1	679.29	796.86	438.59	660.68	507.46	540.19	785.88	698.41	642.59	368.65	595.34	466.88	629.35
GOLT1B	381.68	438.59	316.37	279.14	327.56	269.6	332.14	283.05	366.09	253.23	356.05	353.59	493.56	420.68	353.59	371.22	327.56	371.22	403.5	346.29	444.72	547.75	493.56	361.04	599.49	497.0	450.94	567.1	454.09	647.07	551.56	466.88	547.75	429.54	454.09	525.39	591.22	400.71	583.07	571.05	514.56	366.09	514.56	303.44	438.59	460.44	463.65	371.22	323.03	463.65	521.76	616.37	441.64	769.69	381.68	466.88	444.72	567.1	579.04	476.71	532.74	738.29	559.28	466.88	444.72	384.34	285.03	486.75	633.73	493.56	518.15	381.68	723.08	334.46	299.25
HAUS6	68.07	77.79	59.13	36.27	61.68	47.17	44.89	38.95	66.65	41.22	38.12	72.52	87.03	66.65	39.5	59.55	60.82	55.1	55.1	37.05	100.83	113.56	96.01	72.52	140.04	71.5	74.58	117.6	98.04	208.38	149.12	97.36	37.85	55.49	71.0	66.18	77.79	76.17	119.26	102.25	68.07	65.72	73.54	61.25	108.14	105.15	92.05	77.79	68.07	64.8	88.88	116.78	78.34	82.29	70.01	78.34	56.28	104.42	68.07	91.41	71.0	100.83	111.21	100.13	56.68	71.0	51.35	115.16	118.43	70.51	78.34	62.56	83.45	72.52	93.35
HCFC2	147.06	119.26	105.89	91.41	97.36	92.7	95.34	84.04	114.36	98.73	83.45	123.5	258.57	105.15	108.9	154.42	121.79	156.59	115.16	59.97	215.77	242.88	246.28	167.9	197.09	156.59	180.02	228.13	187.71	262.2	277.2	191.67	187.71	178.77	202.66	194.36	267.73	186.4	205.5	299.25	206.94	164.42	199.85	120.1	153.34	273.37	149.12	127.0	133.36	182.55	127.89	332.14	114.36	316.37	140.04	211.31	147.06	223.41	146.03	159.9	205.5	262.2	246.28	214.27	146.03	159.9	142.01	139.07	334.46	191.67	186.4	126.12	226.54	123.5	145.02
HIPK1	599.49	500.46	511.0	314.17	483.38	435.55	351.14	363.56	460.44	341.51	381.68	656.11	684.02	327.56	397.93	583.07	555.41	733.19	497.0	241.19	651.58	819.3	785.88	624.99	915.51	429.54	825.0	1044.52	842.36	1073.91	651.58	1008.9	395.18	769.69	808.0	567.1	693.58	1066.48	1313.23	896.64	595.34	647.07	647.07	376.41	426.57	854.13	432.53	961.07	647.07	674.59	575.03	1477.58	525.39	1037.29	629.35	825.0	703.28	616.37	1119.56	624.99	813.63	921.88	1081.39	1191.69	563.18	785.88	503.95	525.39	1051.79	890.44	633.73	559.28	902.89	665.29	848.22
HNRNPK	7537.18	8191.0	7911.95	6121.9	6935.54	6792.79	7180.15	7032.37	7433.4	8247.98	7280.4	8078.22	10296.45	7032.37	6561.36	7642.41	6607.01	8479.89	7230.1	5633.22	8840.04	9876.98	9474.59	8247.98	11424.74	8658.09	8963.45	10733.74	8134.41	10733.74	9151.82	10368.08	6164.49	10659.59	9474.59	8901.53	10154.69	9215.48	10440.2	9876.98	9474.59	7695.57	9279.58	6079.61	7911.95	8078.22	7911.95	8191.0	7749.1	10154.69	8134.41	11035.54	6792.79	10512.82	7382.04	9474.59	8022.41	9279.58	8840.04	8305.36	10084.54	10368.08	11189.6	9876.98	6745.86	10084.54	8963.45	8134.41	10808.41	9279.58	8363.13	7803.01	8421.31	8421.31	7485.11
HSF2	133.36	214.27	149.12	109.66	133.36	147.06	122.64	125.24	139.07	104.42	103.69	130.6	195.72	140.04	55.1	167.9	128.79	156.59	120.94	96.68	199.85	232.94	218.79	199.85	204.07	163.28	187.71	289.02	239.52	242.88	279.14	202.66	128.79	148.09	156.59	169.07	234.57	153.34	269.6	307.69	143.01	159.9	217.27	127.0	162.14	224.97	133.36	164.42	133.36	214.27	186.4	239.52	143.01	231.32	156.59	209.84	221.86	181.28	175.07	181.28	183.82	224.97	229.72	236.21	178.77	194.36	171.45	178.77	269.6	217.27	191.67	197.09	169.07	183.82	157.68
HSPA14	348.71	379.04	348.71	218.79	320.8	287.01	281.09	283.05	334.46	206.94	234.57	341.51	532.74	277.2	283.05	307.69	305.55	371.22	327.56	193.01	403.5	493.56	457.25	358.54	547.75	392.44	371.22	460.44	384.34	429.54	503.95	417.77	299.25	420.68	423.61	329.84	285.03	363.56	368.65	400.71	423.61	420.68	423.61	395.18	406.31	441.64	353.59	343.89	406.31	409.15	381.68	521.76	341.51	447.82	363.56	381.68	356.05	409.15	389.72	392.44	454.09	358.54	463.65	395.18	371.22	454.09	332.14	341.51	514.56	470.14	400.71	371.22	387.02	423.61	392.44
INSIG2	312.0	420.68	279.14	307.69	392.44	289.02	264.03	361.04	387.02	251.48	346.29	358.54	460.44	339.14	314.17	327.56	305.55	336.79	318.57	343.89	543.96	521.76	417.77	429.54	423.61	379.04	426.57	607.87	463.65	555.41	703.28	587.13	356.05	403.5	403.5	457.25	543.96	493.56	551.56	647.07	392.44	381.68	395.18	438.59	435.55	718.08	429.54	432.53	511.0	384.34	503.95	708.18	403.5	633.73	343.89	423.61	358.54	547.75	435.55	409.15	348.71	500.46	486.75	490.14	536.45	503.95	351.14	571.05	591.22	450.94	339.14	376.41	473.41	323.03	389.72
IPO8	351.14	339.14	297.17	346.29	314.17	275.28	256.78	295.11	307.69	303.44	295.11	381.68	547.75	273.37	244.57	356.05	371.22	409.15	262.2	271.48	532.74	595.34	612.11	460.44	595.34	366.09	551.56	629.35	551.56	743.43	738.29	543.96	299.25	473.41	507.46	400.71	470.14	441.64	775.05	591.22	470.14	540.19	575.03	426.57	403.5	547.75	384.34	497.0	551.56	529.06	426.57	854.13	435.55	521.76	353.59	583.07	392.44	518.15	466.88	493.56	529.06	460.44	713.11	583.07	356.05	551.56	295.11	579.04	587.13	603.67	466.88	403.5	432.53	457.25	486.75
IREB2	291.04	297.17	307.69	121.79	204.07	273.37	197.09	229.72	295.11	169.07	199.85	314.17	599.49	287.01	178.77	316.37	265.87	343.89	241.19	189.02	521.76	543.96	525.39	303.44	540.19	327.56	470.14	571.05	547.75	591.22	567.1	432.53	262.2	348.71	466.88	297.17	674.59	379.04	616.37	575.03	373.81	371.22	423.61	318.57	371.22	376.41	283.05	420.68	379.04	376.41	376.41	698.41	409.15	583.07	256.78	470.14	329.84	384.34	287.01	381.68	473.41	323.03	493.56	507.46	301.33	395.18	255.0	674.59	603.67	400.71	381.68	287.01	336.79	265.87	356.05
ITCH	281.09	314.17	237.86	241.19	232.94	221.86	173.85	205.5	234.57	190.34	195.72	271.48	412.0	285.03	224.97	275.28	258.57	327.56	212.78	146.03	460.44	480.04	444.72	329.84	463.65	279.14	366.09	473.41	412.0	555.41	395.18	403.5	218.79	312.0	403.5	273.37	361.04	500.46	616.37	470.14	262.2	327.56	299.25	193.01	248.0	371.22	264.03	420.68	265.87	353.59	269.6	518.15	198.47	587.13	275.28	400.71	279.14	285.03	341.51	299.25	426.57	316.37	507.46	480.04	258.57	358.54	363.56	412.0	432.53	327.56	343.89	237.86	547.75	275.28	348.71
KDM5A	151.22	118.43	134.3	96.68	103.69	144.01	124.37	108.14	136.19	119.26	116.78	173.85	356.05	162.14	108.9	171.45	169.07	234.57	119.26	91.41	293.07	299.25	301.33	221.86	371.22	159.9	214.27	265.87	264.03	323.03	314.17	208.38	105.89	189.02	253.23	147.06	314.17	161.02	332.14	346.29	182.55	281.09	236.21	215.77	175.07	299.25	105.15	293.07	130.6	214.27	157.68	289.02	134.3	265.87	134.3	273.37	135.24	256.78	161.02	299.25	256.78	249.73	366.09	209.84	129.69	212.78	151.22	205.5	341.51	214.27	211.31	145.02	167.9	138.1	178.77
KIAA1430	287.01	329.84	271.48	180.02	178.77	242.88	223.41	211.31	256.78	180.02	162.14	299.25	620.67	186.4	217.27	361.04	223.41	400.71	221.86	166.73	529.06	591.22	529.06	384.34	567.1	348.71	493.56	599.49	571.05	759.08	629.35	954.43	269.6	457.25	457.25	409.15	309.83	785.88	896.64	591.22	358.54	460.44	384.34	341.51	303.44	521.76	366.09	483.38	435.55	460.44	301.33	1081.39	332.14	500.46	246.28	571.05	281.09	318.57	417.77	447.82	579.04	529.06	693.58	723.08	214.27	466.88	293.07	647.07	616.37	529.06	303.44	417.77	713.11	353.59	521.76
KIAA1958	40.93	21.94	32.36	20.56	20.71	27.64	15.56	21.01	32.82	21.63	25.72	27.44	41.52	19.25	17.13	44.57	26.67	35.5	21.94	13.32	60.82	47.5	45.85	38.67	63.45	24.63	45.85	50.63	75.11	56.68	41.81	41.81	24.46	26.47	44.25	34.02	46.5	29.06	65.72	64.8	29.91	46.84	28.04	23.42	35.25	57.49	27.44	43.63	40.93	28.86	36.27	58.71	33.3	68.55	24.81	36.01	28.86	42.41	28.45	55.89	35.5	46.5	42.71	63.45	26.47	37.59	24.99	75.11	34.51	35.25	30.12	36.53	69.52	29.48	20.26
KIF2A	95.34	118.43	104.42	73.03	72.52	101.54	88.88	87.65	85.82	91.41	54.72	107.38	223.41	98.04	39.79	118.43	96.01	170.25	96.68	80.57	229.72	258.57	253.23	139.07	334.46	145.02	224.97	190.34	221.86	287.01	246.28	312.0	94.01	183.82	218.79	109.66	283.05	348.71	551.56	183.82	189.02	224.97	224.97	105.89	201.25	255.0	131.51	246.28	253.23	234.57	193.01	373.81	124.37	329.84	116.78	152.28	111.21	242.88	312.0	190.34	172.65	193.01	414.87	269.6	85.82	172.65	149.12	212.78	312.0	348.71	121.79	146.03	214.27	152.28	217.27
LCORL	65.26	81.14	76.71	49.21	63.0	63.0	40.36	47.17	65.72	25.91	53.57	60.82	85.82	48.87	57.89	55.49	52.82	71.0	49.56	29.27	108.9	101.54	96.01	66.65	108.9	62.56	98.04	142.01	129.69	93.35	114.36	96.68	111.99	63.89	68.55	67.59	84.04	112.77	145.02	121.79	59.13	70.01	78.89	81.71	81.71	105.89	90.14	90.77	80.01	72.01	85.22	128.79	98.73	164.42	70.01	83.45	87.03	76.71	81.14	90.14	89.51	88.88	76.71	102.97	82.87	90.77	52.08	127.89	68.07	85.82	65.72	82.87	122.64	67.12	87.03
LEMD3	221.86	198.47	194.36	140.04	159.9	173.85	166.73	180.02	202.66	165.57	155.5	234.57	361.04	191.67	108.14	237.86	239.52	264.03	177.53	114.36	314.17	320.8	312.0	237.86	325.29	229.72	267.73	368.65	303.44	460.44	406.31	251.48	159.9	297.17	323.03	215.77	392.44	246.28	444.72	356.05	303.44	289.02	334.46	167.9	253.23	289.02	202.66	264.03	191.67	327.56	255.0	361.04	162.14	363.56	215.77	334.46	262.2	325.29	277.2	305.55	283.05	299.25	384.34	325.29	229.72	279.14	232.94	283.05	400.71	297.17	283.05	187.71	205.5	205.5	194.36
LNPEP	109.66	106.63	96.68	63.89	60.82	81.71	56.68	57.89	91.41	79.45	67.12	128.79	166.73	90.77	98.73	120.94	123.5	145.02	75.11	37.59	185.11	183.82	186.4	127.89	246.28	100.13	177.53	199.85	169.07	287.01	218.79	169.07	62.12	113.56	164.42	101.54	185.11	140.04	336.79	224.97	114.36	142.01	164.42	98.04	165.57	214.27	75.11	169.07	148.09	123.5	169.07	249.73	59.97	209.84	96.01	149.12	116.78	209.84	132.44	175.07	171.45	157.68	224.97	226.54	96.68	169.07	75.11	185.11	241.19	150.17	151.22	89.51	115.97	101.54	106.63
MAK16	130.6	187.71	125.24	108.9	126.12	103.69	139.07	111.21	182.55	147.06	120.1	148.09	239.52	142.01	148.09	164.42	127.0	146.03	141.02	85.22	170.25	178.77	231.32	191.67	214.27	159.9	190.34	228.13	220.32	214.27	285.03	186.4	191.67	195.72	190.34	165.57	149.12	133.36	218.79	187.71	175.07	157.68	201.25	131.51	182.55	194.36	158.79	194.36	169.07	204.07	217.27	246.28	140.04	218.79	171.45	171.45	175.07	171.45	208.38	141.02	199.85	151.22	269.6	170.25	150.17	161.02	149.12	165.57	211.31	180.02	158.79	138.1	181.28	150.17	171.45
MAP4K3	301.33	525.39	356.05	223.41	417.77	267.73	220.32	202.66	283.05	139.07	172.65	353.59	507.46	262.2	320.8	368.65	529.06	269.6	287.01	162.14	490.14	616.37	624.99	361.04	521.76	438.59	651.58	738.29	525.39	785.88	860.08	532.74	281.09	412.0	547.75	406.31	612.11	473.41	728.11	669.92	379.04	483.38	525.39	361.04	426.57	638.15	334.46	447.82	403.5	409.15	551.56	723.08	277.2	612.11	423.61	525.39	473.41	540.19	397.93	417.77	450.94	616.37	518.15	665.29	429.54	480.04	417.77	540.19	890.44	473.41	497.0	305.55	389.72	457.25	470.14
MAP4K5	332.14	316.37	348.71	220.32	265.87	373.81	281.09	271.48	325.29	201.25	199.85	343.89	521.76	353.59	253.23	341.51	395.18	343.89	269.6	153.34	536.45	563.18	529.06	358.54	555.41	483.38	426.57	532.74	511.0	616.37	656.11	507.46	339.14	363.56	392.44	490.14	511.0	500.46	674.59	547.75	351.14	423.61	450.94	329.84	384.34	567.1	303.44	387.02	343.89	444.72	414.87	753.83	381.68	647.07	285.03	480.04	293.07	591.22	384.34	497.0	400.71	493.56	563.18	490.14	273.37	353.59	356.05	518.15	674.59	454.09	483.38	348.71	435.55	395.18	406.31
MASTL	62.12	67.59	108.9	71.0	84.63	90.14	64.8	56.28	66.18	58.71	62.12	75.64	136.19	62.56	82.87	82.87	85.82	89.51	66.18	44.25	91.41	96.01	119.26	84.04	169.07	77.25	104.42	137.14	120.1	129.69	182.55	127.89	80.57	107.38	123.5	100.83	90.14	98.73	141.02	117.6	91.41	119.26	117.6	87.03	106.63	69.52	76.71	64.34	110.43	122.64	84.04	154.42	83.45	126.12	66.18	96.01	82.87	105.89	99.43	107.38	123.5	98.04	90.14	94.67	69.03	109.66	90.77	115.97	108.9	65.72	98.73	96.01	142.01	90.77	90.14
MED14	361.04	309.83	348.71	255.0	267.73	299.25	271.48	217.27	371.22	249.73	173.85	341.51	532.74	309.83	356.05	339.14	295.11	373.81	273.37	167.9	420.68	518.15	490.14	417.77	563.18	346.29	435.55	490.14	532.74	759.08	518.15	470.14	318.57	493.56	532.74	366.09	463.65	429.54	607.87	723.08	441.64	460.44	518.15	329.84	406.31	470.14	341.51	432.53	379.04	417.77	438.59	525.39	289.02	551.56	409.15	540.19	381.68	363.56	450.94	389.72	497.0	438.59	503.95	521.76	400.71	500.46	351.14	346.29	490.14	518.15	412.0	323.03	384.34	356.05	358.54
METTL14	198.47	217.27	182.55	141.02	136.19	163.28	140.04	141.02	194.36	152.28	158.79	211.31	329.84	159.9	175.07	229.72	177.53	211.31	162.14	111.21	303.44	320.8	323.03	273.37	336.79	262.2	336.79	384.34	325.29	429.54	318.57	406.31	170.25	291.04	285.03	244.57	316.37	275.28	381.68	323.03	224.97	316.37	297.17	291.04	316.37	356.05	273.37	318.57	299.25	341.51	248.0	444.72	267.73	224.97	197.09	327.56	244.57	323.03	305.55	255.0	320.8	283.05	435.55	279.14	205.5	334.46	297.17	258.57	334.46	314.17	323.03	197.09	220.32	234.57	291.04
MGA	111.21	112.77	89.51	52.45	72.52	82.29	70.01	67.59	87.03	72.52	64.8	129.69	193.01	87.65	91.41	120.1	121.79	149.12	89.51	40.07	194.36	198.47	223.41	145.02	206.94	101.54	182.55	248.0	195.72	236.21	301.33	180.02	53.57	153.34	152.28	86.43	197.09	145.02	231.32	177.53	118.43	193.01	150.17	136.19	122.64	209.84	106.63	232.94	103.69	131.51	140.04	202.66	90.77	143.01	112.77	195.72	82.87	209.84	180.02	137.14	150.17	182.55	229.72	205.5	92.7	163.28	101.54	157.68	226.54	150.17	144.01	78.34	118.43	133.36	182.55
MICU3	64.34	97.36	87.65	35.5	77.79	88.26	56.68	57.89	60.82	21.63	37.59	100.13	133.36	55.89	71.0	70.51	75.11	68.07	76.17	27.64	140.04	147.06	137.14	66.18	129.69	115.16	118.43	125.24	121.79	187.71	178.77	135.24	52.08	83.45	80.57	120.94	139.07	85.22	122.64	167.9	86.43	85.82	81.71	74.58	94.67	182.55	64.8	48.52	85.22	87.03	120.94	181.28	66.18	162.14	94.67	69.03	96.01	158.79	96.01	158.79	101.54	132.44	95.34	113.56	72.01	102.25	46.5	111.99	105.89	105.15	166.73	75.64	54.33	75.11	107.38
