	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.KC.A7FD.01A.11R.A33R.07	TCGA.VP.A87J.01A.11R.A352.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.J9.A52D.01A.11R.A29R.07	TCGA.KK.A8ID.01A.11R.A36G.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.EJ.8474.01A.11R.2403.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7742.01A.11R.2118.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.M7.A721.01A.12R.A32O.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.CH.5771.01A.21R.1580.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.HC.7750.01A.11R.2118.07	TCGA.J4.8200.01A.11R.A29R.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.EJ.A8FS.01A.11R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.G9.6364.01A.21R.1789.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.7123.01A.11R.1965.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.KK.A6E1.01A.11R.A311.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.CH.5741.01A.11R.1580.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.EJ.5511.01A.01R.1580.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.7740.01A.11R.2118.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7785.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7797.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07
LPHN3	22.26	7.4	1.71	8.25	4.28	3.66	10.63	1.83	1.48	2.32	11.04	5.5	9.93	6.21	17.25	11.04	24.81	11.38	14.14	4.78	11.38	17.25	11.38	1.95	18.43	1.13	21.63	21.16	24.99	10.55	0.75	6.41	2.2	2.78	5.54	19.11	4.74	3.86	6.36	23.59	11.04	6.84	3.92	9.48	7.82	8.45	0.39	7.4	9.63	1.73	3.89	4.82	14.24	27.64	1.75	33.54	1.69	8.78	5.28	13.22	8.0	7.11	9.85	3.5	6.57	14.78	0.0	0.46	1.85	16.39	3.89	10.96	2.86	1.79	6.41	18.97	1.13	1.45	1.89	39.5	29.48	5.45	6.21	1.46	6.16	0.42	1.07	11.21	17.38	10.31	9.85	13.12	2.78	6.78	4.74	0.74	4.28	31.9	0.39	4.35	6.11	27.05	3.14	7.51	0.69	4.66	3.38	11.21	7.51	27.05	22.43	37.85	20.41	28.24	29.06	29.06	22.59	26.67	58.71	20.56	12.09	44.89	40.07
LPIN1	264.03	156.59	93.35	133.36	121.79	158.79	164.42	81.14	55.49	83.45	161.02	86.43	173.85	134.3	293.07	166.73	220.32	136.19	134.3	144.01	153.34	218.79	109.66	73.54	199.85	90.14	201.25	199.85	232.94	189.02	189.02	118.43	105.89	65.72	116.78	175.07	122.64	77.79	123.5	253.23	171.45	122.64	77.25	186.4	108.14	148.09	60.82	105.15	277.2	81.71	74.06	62.12	221.86	202.66	100.83	221.86	93.35	137.14	141.02	163.28	124.37	118.43	239.52	137.14	113.56	156.59	125.24	8.78	70.51	220.32	88.88	87.65	98.04	99.43	93.35	152.28	111.99	61.68	41.52	264.03	283.05	56.68	147.06	91.41	95.34	124.37	71.0	236.21	236.21	156.59	153.34	212.78	81.14	147.06	102.97	57.89	136.19	212.78	125.24	56.28	128.79	251.48	141.02	124.37	121.79	77.25	105.89	236.21	147.06	303.44	275.28	346.29	273.37	307.69	264.03	371.22	269.6	242.88	341.51	218.79	142.01	351.14	392.44
LSM11	88.88	31.0	25.91	56.28	16.88	17.25	70.51	28.86	28.86	23.76	52.08	25.35	61.25	43.94	78.89	75.11	85.22	41.22	50.27	35.25	55.49	55.49	53.95	36.53	68.55	44.57	82.87	80.01	131.51	53.95	21.32	63.45	37.32	32.36	41.52	64.8	28.04	47.84	47.17	99.43	79.45	54.72	23.59	36.01	38.4	67.12	19.68	28.24	45.53	33.78	38.95	21.32	78.89	84.63	27.05	96.01	16.15	53.57	49.21	70.01	50.63	56.68	56.28	38.12	51.35	50.27	22.92	51.71	35.76	84.63	34.02	43.94	32.82	31.9	27.44	52.08	39.5	28.86	48.52	86.43	66.65	44.25	47.17	23.08	46.5	39.5	24.81	70.01	74.58	68.55	52.45	65.72	35.76	35.76	25.72	25.72	56.68	73.54	18.7	45.21	60.82	76.71	37.05	46.84	30.34	30.34	31.45	51.71	43.02	88.26	70.01	87.65	86.43	98.04	105.89	100.13	70.01	63.0	108.9	85.82	53.95	84.04	117.6
MAP1A	90.14	16.75	11.55	51.35	7.0	31.0	55.89	4.54	8.51	5.32	35.5	21.63	67.59	53.95	60.82	36.79	87.65	30.12	43.32	37.32	52.45	33.06	20.71	22.43	141.02	24.99	72.01	74.06	113.56	58.71	7.82	55.89	17.9	13.62	30.56	154.42	20.86	16.03	20.56	141.02	80.01	49.56	30.34	47.84	48.52	98.04	9.56	46.84	47.17	12.83	32.82	20.56	94.67	115.97	6.84	156.59	17.9	48.87	36.79	66.65	45.85	47.84	67.59	18.43	18.84	57.89	10.31	5.5	9.34	80.57	21.63	34.75	27.05	14.56	36.01	58.3	13.93	10.63	2.01	120.94	115.97	17.38	44.89	13.42	51.35	12.27	11.64	101.54	82.29	52.08	53.57	73.54	14.56	31.0	26.1	14.14	36.79	98.04	3.23	19.25	46.84	88.26	18.56	23.59	8.38	25.91	23.93	65.72	30.34	108.9	140.04	157.68	73.03	149.12	140.04	128.79	75.64	96.01	229.72	81.14	52.82	133.36	244.57
MEIS1	329.84	70.01	46.84	301.33	71.5	77.25	325.29	50.27	25.54	16.75	226.54	176.29	281.09	275.28	368.65	318.57	403.5	175.07	293.07	128.79	305.55	285.03	101.54	102.25	323.03	96.68	356.05	406.31	571.05	295.11	59.97	267.73	85.22	51.35	190.34	460.44	135.24	150.17	126.12	417.77	215.77	234.57	98.04	120.1	145.02	309.83	5.23	187.71	206.94	52.08	224.97	144.01	486.75	379.04	12.36	547.75	73.03	218.79	138.1	299.25	226.54	121.79	291.04	93.35	166.73	201.25	49.21	33.78	102.97	232.94	102.25	145.02	99.43	69.03	149.12	277.2	82.87	60.82	34.26	348.71	450.94	94.01	185.11	92.7	187.71	51.35	88.88	438.59	297.17	199.85	189.02	275.28	87.03	165.57	125.24	56.68	151.22	438.59	28.24	40.93	293.07	400.71	98.04	171.45	41.81	132.44	137.14	287.01	163.28	376.41	466.88	684.02	406.31	571.05	460.44	507.46	305.55	403.5	633.73	547.75	320.8	444.72	612.11
MFN2	1059.11	872.1	529.06	1051.79	764.36	860.08	1023.0	563.18	656.11	796.86	860.08	764.36	974.5	836.53	1030.12	759.08	1081.39	688.78	660.68	866.07	934.76	842.36	819.3	583.07	1127.35	738.29	954.43	995.0	1331.57	934.76	791.35	813.63	860.08	518.15	1008.9	1313.23	961.07	665.29	660.68	1286.18	961.07	995.0	902.89	921.88	866.07	884.29	540.19	780.44	890.44	595.34	603.67	733.19	1008.9	1191.69	819.3	1191.69	603.67	921.88	708.18	872.1	684.02	896.64	954.43	743.43	848.22	1059.11	866.07	607.87	723.08	1104.13	718.08	808.0	1044.52	624.99	688.78	785.88	884.29	579.04	753.83	1259.69	1059.11	738.29	813.63	684.02	842.36	563.18	684.02	1044.52	896.64	941.27	974.5	1044.52	669.92	743.43	830.75	738.29	934.76	1233.75	780.44	791.35	796.86	1015.93	563.18	713.11	866.07	660.68	669.92	954.43	808.0	1175.27	1359.57	1295.13	1119.56	1015.93	1388.16	1781.89	1135.2	1088.92	1529.73	1059.11	1059.11	1369.04	1427.22
MLTK	638.15	231.32	43.02	476.71	303.44	323.03	507.46	376.41	97.36	39.22	392.44	255.0	397.93	264.03	579.04	511.0	567.1	532.74	212.78	246.28	264.03	332.14	307.69	387.02	387.02	283.05	497.0	373.81	624.99	463.65	74.58	231.32	197.09	163.28	361.04	540.19	167.9	215.77	228.13	633.73	693.58	403.5	185.11	167.9	177.53	733.19	22.75	414.87	320.8	180.02	283.05	109.66	603.67	500.46	129.69	688.78	137.14	279.14	241.19	366.09	444.72	218.79	480.04	318.57	295.11	312.0	201.25	148.09	84.63	555.41	177.53	299.25	190.34	102.25	195.72	348.71	118.43	371.22	54.72	842.36	642.59	117.6	514.56	77.25	275.28	94.01	90.77	483.38	536.45	624.99	368.65	444.72	119.26	244.57	295.11	52.08	376.41	656.11	84.04	152.28	329.84	532.74	323.03	366.09	373.81	223.41	289.02	454.09	400.71	743.43	708.18	1081.39	529.06	684.02	638.15	909.17	603.67	503.95	1073.91	543.96	511.0	819.3	1151.06
MPP2	94.67	34.75	12.18	76.71	15.45	13.83	91.41	4.94	8.13	8.51	84.63	64.8	63.45	69.03	70.01	68.55	98.73	28.24	76.17	46.84	71.0	65.72	36.01	37.85	105.89	26.47	88.88	123.5	187.71	111.99	16.51	68.55	19.25	10.24	54.72	146.03	38.4	28.86	46.84	157.68	65.26	66.65	36.27	40.93	40.36	98.73	2.16	58.3	111.99	11.47	40.07	38.67	176.29	175.07	7.06	121.79	23.25	52.45	55.49	92.7	63.89	40.36	64.34	17.77	43.02	68.07	10.88	3.79	13.83	112.77	32.36	60.82	25.72	17.51	43.63	65.72	13.62	11.21	8.06	139.07	127.0	17.13	62.56	24.63	57.49	9.34	20.41	158.79	59.97	41.22	56.68	148.09	22.1	39.5	43.63	17.38	36.53	143.01	10.63	33.3	72.52	163.28	23.25	58.3	10.16	49.21	44.25	88.88	53.95	144.01	183.82	204.07	159.9	176.29	223.41	275.28	124.37	129.69	262.2	123.5	78.34	255.0	253.23
MRVI1	738.29	152.28	75.64	336.79	57.08	117.6	656.11	15.68	53.57	28.65	353.59	133.36	438.59	258.57	500.46	460.44	571.05	371.22	341.51	384.34	392.44	325.29	253.23	109.66	591.22	138.1	808.0	629.35	825.0	351.14	54.33	244.57	77.25	85.22	249.73	684.02	190.34	183.82	204.07	860.08	379.04	463.65	152.28	150.17	226.54	579.04	13.72	271.48	228.13	45.53	346.29	139.07	878.17	698.41	15.56	748.61	98.04	289.02	226.54	441.64	441.64	202.66	381.68	116.78	148.09	361.04	68.07	30.34	46.5	493.56	208.38	232.94	155.5	115.97	260.38	320.8	64.8	62.12	33.78	551.56	981.29	112.77	260.38	98.73	295.11	89.51	90.14	629.35	607.87	417.77	353.59	429.54	103.69	258.57	162.14	54.33	221.86	1015.93	19.68	84.63	441.64	595.34	115.97	226.54	66.65	140.04	151.22	738.29	260.38	723.08	896.64	1216.75	642.59	1051.79	785.88	995.0	791.35	647.07	1340.84	854.13	420.68	1001.93	1208.34
MSRB3	808.0	271.48	55.49	529.06	119.26	159.9	780.44	40.07	78.89	44.25	480.04	187.71	591.22	371.22	642.59	651.58	825.0	392.44	429.54	368.65	587.13	400.71	353.59	127.0	753.83	124.37	796.86	866.07	1008.9	486.75	73.03	376.41	110.43	119.26	299.25	848.22	279.14	218.79	341.51	1216.75	708.18	412.0	167.9	182.55	327.56	738.29	21.01	303.44	312.0	82.29	432.53	214.27	819.3	830.75	25.17	1001.93	129.69	406.31	323.03	555.41	490.14	231.32	521.76	138.1	320.8	339.14	94.67	43.63	80.57	642.59	209.84	293.07	194.36	127.89	236.21	521.76	106.63	120.1	78.89	1044.52	1023.0	117.6	312.0	128.79	400.71	100.83	111.99	785.88	607.87	493.56	343.89	651.58	124.37	241.19	202.66	73.54	289.02	1175.27	33.54	111.21	521.76	854.13	128.79	316.37	96.01	186.4	217.27	884.29	351.14	974.5	1225.22	1819.35	884.29	1286.18	1088.92	1662.49	954.43	728.11	1540.37	1030.12	693.58	1331.57	1457.23
MYOCD	158.79	49.91	1.75	138.1	33.06	15.11	112.77	1.85	5.54	4.17	115.16	37.32	80.01	81.71	121.79	109.66	209.84	34.75	77.25	51.71	87.65	78.89	41.52	18.16	170.25	16.51	128.79	117.6	249.73	175.07	11.73	72.52	20.11	7.94	74.58	143.01	32.36	23.25	43.02	269.6	70.51	67.12	34.02	49.56	69.03	175.07	1.06	54.33	72.52	10.96	41.22	24.28	264.03	265.87	2.41	239.52	9.93	53.19	32.59	155.5	62.56	85.22	108.14	31.0	22.1	95.34	6.67	2.36	8.58	163.28	40.64	50.63	39.22	7.94	50.63	58.3	7.75	10.47	6.46	229.72	182.55	9.48	78.89	20.11	91.41	12.83	15.56	202.66	109.66	70.51	84.63	163.28	24.11	49.56	37.32	8.0	77.79	190.34	1.33	13.32	70.51	255.0	15.45	38.67	7.75	49.91	50.27	135.24	84.63	267.73	379.04	271.48	211.31	277.2	332.14	281.09	148.09	141.02	435.55	158.79	96.01	248.0	381.68
MYZAP	153.34	139.07	22.59	363.56	38.67	56.28	189.02	10.24	45.85	17.64	323.03	197.09	231.32	253.23	242.88	262.2	647.07	94.01	102.97	73.03	159.9	264.03	157.68	27.64	473.41	40.07	150.17	406.31	409.15	334.46	57.49	256.78	50.63	23.76	154.42	358.54	85.82	84.04	115.16	483.38	285.03	153.34	76.17	90.14	88.26	241.19	15.11	205.5	190.34	78.89	55.1	177.53	368.65	312.0	10.08	387.02	15.8	265.87	64.34	285.03	202.66	108.14	78.89	72.01	194.36	115.16	28.65	35.5	53.19	246.28	37.85	114.36	53.19	55.49	87.03	231.32	34.75	67.12	110.43	525.39	265.87	89.51	175.07	100.83	143.01	1.13	50.27	318.57	181.28	133.36	132.44	387.02	113.56	143.01	118.43	32.36	149.12	273.37	33.06	34.02	206.94	540.19	65.72	169.07	36.01	144.01	187.71	183.82	138.1	351.14	679.29	733.19	346.29	633.73	674.59	848.22	343.89	309.83	733.19	327.56	358.54	796.86	447.82
NECAB1	36.79	26.47	5.63	22.75	4.94	5.63	63.0	2.97	2.43	2.25	46.84	13.83	32.36	35.0	30.78	28.04	49.91	13.62	25.35	22.92	24.63	24.11	13.93	7.88	37.05	5.96	44.89	36.79	66.18	46.84	2.32	18.29	7.46	6.26	19.82	41.22	11.47	10.39	32.36	44.57	33.3	17.9	8.45	11.38	23.76	51.35	1.22	29.27	31.67	7.0	19.97	13.03	61.25	72.01	3.69	82.29	4.62	17.51	14.35	31.9	25.72	8.25	14.24	12.36	25.72	25.91	6.57	1.01	7.17	52.45	8.06	11.13	9.13	5.15	15.68	28.04	5.28	6.21	5.82	101.54	38.4	6.52	23.93	11.04	16.27	4.82	8.0	46.5	40.36	16.27	21.94	48.18	8.25	15.45	13.32	3.35	15.8	34.26	1.83	4.35	25.91	58.71	7.94	18.7	2.16	16.51	21.78	47.17	45.53	72.01	54.72	134.3	48.52	105.15	113.56	98.04	68.55	27.64	92.05	71.0	43.94	68.07	88.88
NEXN	866.07	183.82	55.49	441.64	102.25	113.56	718.08	33.3	84.63	36.01	457.25	181.28	483.38	389.72	796.86	860.08	579.04	299.25	329.84	325.29	525.39	327.56	314.17	124.37	624.99	120.94	866.07	693.58	1001.93	397.93	69.52	256.78	111.99	103.69	303.44	511.0	231.32	201.25	381.68	1111.82	1208.34	297.17	111.99	150.17	206.94	967.76	20.11	221.86	271.48	45.21	500.46	166.73	915.51	764.36	25.17	511.0	92.05	246.28	258.57	444.72	521.76	169.07	483.38	105.15	283.05	285.03	101.54	34.26	47.84	514.56	201.25	299.25	125.24	113.56	232.94	444.72	81.71	93.35	65.72	1001.93	1096.5	108.9	273.37	120.1	325.29	97.36	101.54	728.11	941.27	435.55	395.18	432.53	90.14	156.59	195.72	61.68	265.87	995.0	20.26	79.45	486.75	748.61	96.01	262.2	69.52	182.55	175.07	620.67	267.73	1001.93	872.1	1313.23	775.05	1233.75	1066.48	1096.5	825.0	638.15	1733.13	1225.22	595.34	1259.69	1529.73
PALLD	3901.01	1721.16	397.93	2224.63	684.02	638.15	3372.43	275.28	6745.86	187.71	1819.35	1832.01	2720.15	1819.35	3039.3	1923.14	2682.69	1498.22	1286.18	1529.73	1709.26	1721.16	1331.57	629.35	2956.17	825.0	3540.14	2400.97	3716.2	1447.15	555.41	1369.04	825.0	486.75	1477.58	3257.52	1639.59	995.0	1378.57	4123.49	3212.66	1781.89	633.73	612.11	1437.15	3395.89	248.0	928.3	1277.29	392.44	1594.73	854.13	3467.27	2682.69	283.05	3794.3	1051.79	1651.0	1322.37	1628.26	2178.83	1286.18	2133.97	713.11	1662.49	2032.85	518.15	177.53	417.77	2351.53	836.53	1104.13	902.89	660.68	1044.52	2434.5	603.67	603.67	242.88	4123.49	4066.71	529.06	1135.2	651.58	1286.18	559.28	397.93	3124.78	3190.46	1963.57	1572.76	1977.24	688.78	1159.07	1111.82	490.14	1551.09	4152.18	241.19	791.35	2485.67	2816.11	591.22	1331.57	358.54	830.75	848.22	2739.08	1909.85	3742.05	4836.35	8363.13	3419.52	5517.27	3955.48	6471.02	3280.18	2319.15	7695.57	4481.23	2895.31	5872.48	6164.49
PGM5	1963.57	543.96	132.44	1331.57	229.72	170.25	2434.5	60.39	107.38	85.82	1225.22	571.05	2004.85	1088.92	1844.76	1304.15	2148.82	555.41	1151.06	934.76	1322.37	1081.39	567.1	212.78	1594.73	262.2	2240.11	1991.0	4450.27	1519.15	111.21	1037.29	187.71	212.78	1104.13	2104.58	738.29	647.07	1286.18	3665.02	1639.59	1175.27	414.87	629.35	693.58	2537.92	9.78	1350.18	1561.89	191.67	902.89	587.13	3280.18	3325.99	38.12	2855.44	175.07	915.51	500.46	2104.58	1277.29	759.08	1030.12	363.56	651.58	1008.9	69.03	65.72	136.19	2047.0	555.41	738.29	262.2	218.79	848.22	1733.13	98.04	232.94	96.01	2935.74	2468.49	214.27	1081.39	295.11	974.5	199.85	241.19	2875.3	1757.34	1081.39	1119.56	2367.9	267.73	521.76	563.18	176.29	713.11	3303.0	38.67	223.41	1870.53	2645.74	224.97	785.88	141.02	633.73	759.08	2032.85	1037.29	3742.05	3690.52	5441.3	3212.66	4358.66	3303.0	5403.7	2720.15	2555.58	4869.99	3212.66	1909.85	4937.99	4802.93
PGR	54.72	8.58	3.63	28.04	3.59	9.93	27.05	2.03	4.94	2.56	16.75	15.11	21.01	23.08	34.26	33.06	41.81	24.46	20.26	15.45	32.36	29.06	11.38	6.06	24.99	14.67	34.75	36.53	44.57	22.92	5.41	18.16	9.7	6.67	10.16	42.11	9.85	10.47	15.0	43.32	23.42	26.67	10.31	13.22	15.45	51.71	0.52	9.63	24.99	3.66	11.55	9.06	53.95	36.53	0.54	54.72	8.25	16.03	18.03	26.47	21.47	17.64	37.59	14.56	11.91	39.5	2.48	4.54	5.73	26.86	14.45	14.03	16.15	4.13	13.72	18.56	5.28	5.19	2.73	62.56	70.01	9.27	17.38	5.59	14.45	5.5	6.36	29.7	33.78	23.25	26.47	22.26	5.19	14.03	12.09	6.36	13.52	43.94	1.16	8.38	18.7	38.4	6.62	17.64	4.7	10.39	8.99	32.82	17.9	47.17	38.4	60.39	29.48	43.02	37.05	59.55	31.67	38.4	75.11	36.79	19.39	46.18	90.14
PIPOX	36.53	48.87	6.36	66.18	24.81	12.27	65.26	3.82	30.56	24.99	51.35	32.36	67.59	68.07	63.45	25.35	110.43	22.59	59.13	29.7	31.67	33.54	36.53	14.45	73.54	26.1	56.68	82.29	117.6	61.25	48.52	38.4	28.65	8.99	39.5	85.22	52.08	13.83	35.25	110.43	31.22	27.64	31.9	30.34	18.03	43.02	11.21	43.94	25.91	16.75	18.84	38.4	70.01	154.42	12.83	108.14	8.06	53.95	24.99	75.11	51.35	19.82	40.64	46.84	23.59	24.28	28.04	7.75	40.07	88.88	17.51	32.82	32.13	12.74	23.08	50.98	14.35	14.03	9.34	100.13	52.82	32.13	40.07	22.26	59.97	16.03	14.14	111.99	39.79	18.7	36.01	107.38	25.17	24.81	37.59	6.11	23.76	55.89	37.59	13.83	51.35	82.87	16.51	23.42	30.34	33.54	38.67	37.05	49.21	87.03	154.42	124.37	70.01	89.51	187.71	173.85	59.97	73.54	57.49	83.45	99.43	105.89	132.44
PPP1R12B	1369.04	540.19	85.22	848.22	239.52	332.14	1259.69	90.77	246.28	163.28	599.49	403.5	1001.93	575.03	1208.34	1143.1	1322.37	454.09	551.56	540.19	974.5	665.29	591.22	351.14	1286.18	339.14	1259.69	1175.27	1508.65	708.18	244.57	591.22	432.53	158.79	518.15	1551.09	466.88	417.77	438.59	1844.76	921.88	660.68	329.84	368.65	647.07	1175.27	77.25	397.93	567.1	211.31	583.07	253.23	1674.06	1378.57	144.01	1745.2	202.66	599.49	466.88	947.83	665.29	447.82	995.0	323.03	429.54	525.39	221.86	180.02	149.12	1081.39	384.34	665.29	547.75	226.54	457.25	819.3	267.73	159.9	149.12	1909.85	1605.83	237.86	567.1	244.57	669.92	246.28	195.72	1447.15	995.0	1051.79	543.96	981.29	214.27	432.53	325.29	182.55	684.02	1745.2	98.73	279.14	638.15	1378.57	309.83	540.19	269.6	285.03	371.22	1051.79	507.46	1794.29	1572.76	1896.65	1208.34	1617.0	1437.15	2720.15	1508.65	1111.82	2193.99	1605.83	748.61	1870.53	2061.24
PPP2R2B	33.78	6.21	10.63	14.89	2.48	18.7	37.85	1.95	6.67	2.43	7.82	11.21	18.97	4.28	28.24	25.35	29.91	13.72	23.08	9.78	14.78	31.67	13.62	3.92	39.79	6.94	63.45	25.72	31.9	7.94	3.82	16.27	6.78	6.31	5.96	27.84	18.29	19.39	9.13	25.54	18.97	11.38	6.67	5.92	10.31	16.03	1.5	8.78	18.29	5.96	50.63	11.47	12.09	9.13	5.41	26.67	7.11	16.63	17.51	10.47	20.86	6.84	15.8	3.63	13.22	5.36	2.94	1.81	4.39	21.16	10.0	10.63	5.32	13.32	12.27	16.51	6.67	1.64	3.17	16.27	24.11	2.92	5.59	8.92	13.72	1.62	5.68	12.55	22.59	21.63	4.43	20.86	3.59	17.51	8.99	2.2	9.41	61.25	2.32	7.57	39.22	17.9	7.88	12.18	4.39	3.38	6.01	41.81	13.42	39.22	29.91	71.5	32.82	30.12	22.26	55.89	27.84	29.7	33.54	96.01	38.95	48.87	23.76
PRICKLE2	152.28	85.82	10.88	64.34	36.79	25.17	113.56	7.69	13.32	3.89	75.11	73.54	72.01	51.35	92.7	73.54	119.26	43.32	48.52	50.98	72.01	88.26	36.27	35.76	105.15	33.78	85.22	106.63	139.07	97.36	20.41	49.91	26.1	18.16	42.11	121.79	34.75	29.7	35.76	132.44	85.82	82.87	33.06	32.13	47.17	108.9	3.2	39.22	66.18	14.45	32.36	24.99	164.42	111.99	14.67	113.56	24.28	61.68	46.18	72.52	69.03	44.57	96.01	28.65	44.57	96.68	17.64	4.58	15.91	114.36	33.3	39.22	49.56	29.91	39.79	54.33	24.63	18.97	7.34	163.28	209.84	23.42	55.89	18.56	53.57	17.25	23.08	124.37	101.54	70.51	52.08	79.45	18.97	42.71	47.84	18.03	63.89	186.4	7.11	30.56	60.82	151.22	43.94	43.32	15.34	30.56	31.45	132.44	56.68	185.11	205.5	217.27	142.01	167.9	143.01	195.72	135.24	136.19	281.09	124.37	77.79	255.0	204.07
