	TCGA.BC.A110.01A.11R.A131.07	TCGA.DD.A3A3.11A.11R.A22L.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A1EH.11A.11R.A131.07	TCGA.BC.A10Z.11A.11R.A131.07	TCGA.BC.A10T.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.1269C.0626.SM.5FQSS	GTEX.1212Z.0226.SM.59HLF	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EM.A22L.01A.11R.A180.07	TCGA.QD.A8IV.01A.11R.A39I.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.ET.A25P.01A.11R.A16R.07	TCGA.EM.A22K.01A.11R.A180.07	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.YEC3.0826.SM.4WWFP	GTEX.ZAK1.0726.SM.5HL8Q	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3
STK32A	1.58	1.69	0.72	0.0	13.22	2.43	1.6	0.0	0.82	2.34	1.04	0.0	0.39	1685.71	703.28	1023.0	1175.27	1015.93	36.01	100.13	90.77	43.02	50.27	88.26	65.26	58.3	35.5	73.54	101.54	73.54	18.43	51.35	66.65	134.3	55.89	89.51	54.33	72.52	148.09	74.06	78.89	82.29	201.25	93.35	137.14	82.29	115.16	212.78	147.06	94.01	71.0	49.91	39.79	11.3
TFE3	518.15	447.82	387.02	476.71	432.53	295.11	532.74	403.5	381.68	435.55	363.56	0.0	0.62	1685.71	1350.18	1639.59	1617.0	1508.65	848.22	1651.0	1467.37	884.29	1088.92	1001.93	728.11	1030.12	1397.83	1167.14	1119.56	947.83	836.53	764.36	921.88	896.64	1119.56	825.0	1233.75	785.88	1151.06	947.83	1233.75	1417.35	1407.55	1159.07	1350.18	1059.11	1259.69	1127.35	1233.75	1096.5	1340.84	854.13	1259.69	866.07
TG	2.1	9.7	5.54	10.31	1.38	10.79	5.68	22.26	8.32	45.85	28.45	0.0	0.64	938500.81	1123834.93	1085552.95	411347.03	1026995.62	2068278.89	2247670.86	2126426.15	2375828.71	2111737.85	1611529.43	1622738.51	1739208.14	1838374.44	1997825.68	1984025.69	1997825.68	1984025.69	1355129.16	2986448.72	1567462.05	2025714.3	2425749.94	1929772.37	1299926.74	1943195.01	1048575.0	1727194.55	2636147.11	2263304.65	1775752.63	2111737.85	1691649.38	1668359.93	1800541.22	3178687.03	3886391.01	2263304.65	1535204.12	2672946.37	1864037.21
TMEM108	12.55	3.69	1.51	1.51	1.79	2.1	4.31	3.35	2.36	29.27	8.92	0.0	0.58	301.33	173.85	438.59	775.05	638.15	27.05	181.28	183.82	109.66	137.14	16.88	29.7	224.97	518.15	123.5	158.79	195.72	99.43	61.25	37.05	50.27	106.63	82.29	166.73	40.64	122.64	17.77	356.05	301.33	116.78	147.06	177.53	23.25	194.36	309.83	260.38	209.84	180.02	25.17	171.45	49.91
TMEM87A	358.54	346.29	260.38	281.09	285.03	236.21	316.37	314.17	353.59	454.09	591.22	878.17	339.14	2573.36	2193.99	2133.97	2133.97	2193.99	1529.73	1781.89	1819.35	1369.04	1151.06	961.07	1001.93	1467.37	1639.59	1250.98	1467.37	1651.0	878.17	1008.9	1066.48	1119.56	1369.04	1583.71	1529.73	1127.35	1159.07	934.76	1781.89	1540.37	1487.87	1594.73	2178.83	1191.69	2609.3	2047.0	1662.49	2032.85	1685.71	1369.04	890.44	1183.45
TSPAN3	1794.29	1151.06	1417.35	884.29	1519.15	988.12	1340.84	1340.84	1697.45	1467.37	1477.58	3564.78	353.59	9025.81	8538.88	9344.14	7032.37	12853.63	8022.41	8840.04	6561.36	9409.14	6250.56	5329.3	5366.37	6250.56	7537.18	6250.56	6381.92	6561.36	5403.7	4972.34	5366.37	7382.04	5555.65	6561.36	7803.01	5831.91	6250.56	4123.49	7280.4	7433.4	6516.03	6121.9	7382.04	5555.65	7331.05	8658.09	9673.69	10225.32	6561.36	5517.27	6792.79	6207.38
TTC39A	67.12	6.73	32.13	27.64	45.21	9.93	58.3	51.71	38.12	17.51	5.45	0.0	0.0	387.02	353.59	400.71	316.37	303.44	58.71	232.94	346.29	147.06	75.64	106.63	137.14	309.83	381.68	277.2	339.14	226.54	114.36	91.41	144.01	97.36	118.43	212.78	368.65	123.5	199.85	30.56	232.94	244.57	217.27	262.2	236.21	94.67	262.2	303.44	312.0	351.14	277.2	107.38	341.51	114.36
UBE2A	698.41	500.46	511.0	409.15	540.19	473.41	575.03	563.18	540.19	583.07	373.81	0.0	0.95	1950.0	1259.69	1437.15	1963.57	1313.23	1199.98	1135.2	1208.34	1151.06	802.41	1096.5	860.08	753.83	802.41	896.64	836.53	1081.39	624.99	603.67	1051.79	808.0	769.69	728.11	961.07	791.35	1081.39	836.53	934.76	1359.57	1119.56	718.08	1030.12	1268.46	1259.69	1030.12	1119.56	1388.16	909.17	728.11	941.27	638.15
URB1	46.5	31.9	40.36	52.45	43.32	42.11	49.56	53.95	52.45	55.1	41.52	0.0	0.37	229.72	162.14	120.94	163.28	144.01	88.88	85.22	104.42	80.57	167.9	116.78	90.14	108.9	133.36	120.1	97.36	115.97	101.54	121.79	71.0	116.78	122.64	95.34	94.67	109.66	72.01	78.34	82.29	71.0	113.56	84.04	75.11	122.64	133.36	104.42	52.45	76.17	95.34	98.73	66.65	86.43
WDTC1	214.27	316.37	295.11	285.03	231.32	314.17	244.57	320.8	395.18	265.87	218.79	0.0	0.62	1008.9	974.5	1250.98	1023.0	1143.1	884.29	802.41	791.35	878.17	1242.34	656.11	848.22	928.3	1119.56	802.41	890.44	854.13	1059.11	921.88	890.44	909.17	1127.35	995.0	780.44	656.11	698.41	769.69	866.07	703.28	708.18	921.88	1066.48	909.17	928.3	921.88	616.37	988.12	748.61	723.08	1151.06	884.29
XPR1	73.03	46.84	40.07	48.52	64.8	49.91	55.1	62.12	75.64	72.01	32.59	0.0	0.74	802.41	511.0	480.04	842.36	769.69	281.09	314.17	567.1	262.2	201.25	144.01	142.01	256.78	320.8	242.88	281.09	215.77	118.43	133.36	100.13	173.85	231.32	137.14	312.0	205.5	248.0	172.65	297.17	287.01	275.28	208.38	205.5	199.85	503.95	607.87	264.03	466.88	199.85	208.38	151.22	105.15
ZBTB7B	423.61	356.05	417.77	417.77	473.41	403.5	277.2	358.54	466.88	444.72	414.87	0.0	0.74	1015.93	1001.93	791.35	896.64	954.43	503.95	872.1	988.12	497.0	769.69	567.1	633.73	1295.13	872.1	872.1	728.11	718.08	595.34	738.29	575.03	595.34	890.44	525.39	780.44	656.11	759.08	591.22	759.08	679.29	748.61	1096.5	974.5	854.13	896.64	753.83	660.68	802.41	728.11	599.49	995.0	698.41
ZCCHC12	0.0	0.55	0.0	0.58	0.97	0.0	0.96	0.0	0.67	0.0	0.0	0.0	0.0	3303.0	5872.48	6037.61	7130.55	3540.14	2.58	902.89	289.02	3.08	5183.54	4.28	3.0	368.65	728.11	60.39	41.22	297.17	4.94	1.39	63.89	4.78	11.04	97.36	24.28	1.83	902.89	2.43	183.82	195.72	84.63	9.41	825.0	4.62	525.39	1127.35	104.42	1733.13	50.27	8.32	120.94	3.03
ZER1	185.11	195.72	253.23	205.5	134.3	239.52	226.54	201.25	226.54	251.48	473.41	0.0	0.39	981.29	921.88	981.29	1073.91	974.5	656.11	928.3	878.17	684.02	1225.22	698.41	698.41	1159.07	981.29	830.75	1015.93	954.43	896.64	854.13	703.28	647.07	836.53	1030.12	842.36	679.29	748.61	769.69	1119.56	775.05	688.78	981.29	1159.07	825.0	995.0	866.07	866.07	1081.39	848.22	733.19	1037.29	775.05
ZNF746	111.21	121.79	111.21	113.56	98.04	82.29	124.37	102.97	98.04	94.67	93.35	0.0	0.58	327.56	248.0	273.37	277.2	239.52	173.85	187.71	217.27	121.79	232.94	108.14	166.73	218.79	241.19	218.79	195.72	181.28	170.25	181.28	161.02	136.19	228.13	153.34	182.55	176.29	164.42	127.89	199.85	217.27	171.45	199.85	198.47	146.03	202.66	215.77	215.77	211.31	170.25	180.02	173.85	198.47
