	TCGA.AO.A1KS.01A.11R.A13Q.07	TCGA.BH.A1FM.01A.11R.A13Q.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.HC.7742.01A.11R.2118.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.G9.7521.01A.11R.2263.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.G9.6342.11A.02R.1965.07
OAZ3	95.34	36.01	26.1	0.0	0.21	723.08	909.17	603.67	450.94	1073.91	457.25	728.11	529.06	363.56	1111.82	153.34	656.11	232.94	514.56	262.2	309.83	967.76	1119.56	507.46	543.96	743.43	698.41	285.03	974.5	1030.12	379.04	738.29	1250.98	961.07	1572.76	1233.75	674.59	796.86	988.12	967.76	884.29
PAAF1	555.41	497.0	476.71	0.0	0.41	743.43	642.59	507.46	587.13	679.29	409.15	595.34	679.29	647.07	507.46	438.59	651.58	483.38	540.19	728.11	669.92	612.11	651.58	595.34	599.49	651.58	571.05	567.1	708.18	656.11	287.01	567.1	638.15	629.35	651.58	688.78	616.37	674.59	674.59	679.29	500.46
PCYT2	167.9	154.42	242.88	0.0	0.0	1605.83	518.15	381.68	525.39	928.3	353.59	1286.18	1135.2	1119.56	1104.13	334.46	1119.56	514.56	693.58	825.0	616.37	1529.73	1225.22	995.0	547.75	1111.82	1259.69	854.13	1183.45	1628.26	595.34	713.11	1628.26	1467.37	1447.15	1250.98	1519.15	1447.15	1628.26	884.29	961.07
PDZD9	1.57	1.64	1.77	0.0	0.0	1.33	1.41	2.2	1.1	3.89	0.74	2.23	2.18	1.43	8.38	0.72	3.23	1.06	2.07	1.13	0.34	2.86	6.94	2.56	1.43	2.84	4.39	2.48	4.17	2.51	0.71	1.75	3.41	5.36	3.17	2.61	7.28	6.01	2.81	4.86	2.78
PEX11G	14.67	49.56	61.25	0.0	0.0	463.65	318.57	111.21	120.1	339.14	144.01	269.6	283.05	299.25	379.04	131.51	228.13	191.67	279.14	142.01	89.51	423.61	612.11	223.41	429.54	480.04	320.8	220.32	348.71	376.41	162.14	297.17	599.49	395.18	559.28	341.51	432.53	351.14	348.71	447.82	329.84
PGAP3	563.18	295.11	387.02	0.0	0.45	1135.2	575.03	358.54	629.35	825.0	483.38	723.08	529.06	567.1	1183.45	536.45	848.22	599.49	764.36	583.07	902.89	679.29	934.76	813.63	486.75	995.0	1350.18	738.29	791.35	1159.07	796.86	651.58	669.92	1295.13	698.41	995.0	848.22	1233.75	1159.07	791.35	954.43
PLXNB2	954.43	909.17	3349.13	0.0	1.2	4639.29	3467.27	2537.92	3491.39	5751.61	3325.99	4181.07	3589.58	3928.15	5517.27	1991.0	3982.99	3190.46	4268.94	2777.33	1832.01	4481.23	5594.3	4239.45	3716.2	6792.79	4066.71	3081.75	5219.6	6164.49	2133.97	5076.84	4607.24	6207.38	6250.56	5441.3	5441.3	5292.48	4802.93	5006.93	4358.66
PPAPDC1B	2032.85	2417.67	909.17	0.0	0.97	8840.04	4123.49	4543.8	2816.11	5219.6	5219.6	5633.22	3820.7	2835.7	5292.48	3395.89	4210.15	2956.17	3901.01	2855.44	2004.85	5711.87	4937.99	3515.68	6745.86	5076.84	2875.3	4419.52	5872.48	7433.4	5633.22	5954.47	5403.7	6294.04	4268.94	8479.89	5006.93	5219.6	5633.22	4512.4	6164.49
PPIL2	660.68	532.74	368.65	0.0	0.77	947.83	1023.0	698.41	454.09	1066.48	612.11	1073.91	780.44	915.51	1066.48	583.07	928.3	974.5	1081.39	669.92	902.89	1208.34	1295.13	915.51	967.76	1369.04	1183.45	603.67	1001.93	1417.35	981.29	1167.14	1397.83	1313.23	1030.12	890.44	1359.57	947.83	1023.0	1008.9	796.86
PRMT7	289.02	269.6	473.41	0.0	0.09	1304.15	748.61	785.88	713.11	830.75	915.51	1111.82	934.76	575.03	796.86	1073.91	860.08	603.67	988.12	693.58	256.78	1081.39	961.07	769.69	587.13	1628.26	1216.75	551.56	854.13	1331.57	890.44	1104.13	1023.0	1051.79	988.12	872.1	1175.27	1044.52	884.29	688.78	836.53
RBM42	387.02	379.04	579.04	0.0	0.99	1757.34	1709.26	1015.93	860.08	1794.29	813.63	1781.89	1286.18	1540.37	2090.03	748.61	1233.75	1216.75	1697.45	1066.48	1127.35	1745.2	2537.92	1519.15	1857.6	2271.4	1857.6	1572.76	1639.59	1709.26	1159.07	1467.37	2090.03	2104.58	1963.57	1225.22	2502.97	1977.24	1832.01	2335.28	1794.29
RFXANK	802.41	848.22	1081.39	0.0	0.57	2367.9	1757.34	1167.14	1295.13	2645.74	1104.13	2148.82	1477.58	2163.77	2835.7	1304.15	2209.26	1572.76	1340.84	1477.58	1030.12	1896.65	2956.17	1721.16	1551.09	3395.89	1963.57	1991.0	2417.67	2400.97	1250.98	2090.03	4575.41	2935.74	2303.12	1685.71	3039.3	2319.15	2319.15	2417.67	2609.3
ROGDI	769.69	748.61	395.18	0.0	0.39	1697.45	1407.55	848.22	518.15	1628.26	620.67	1709.26	1127.35	1225.22	1697.45	825.0	1096.5	884.29	1331.57	642.59	921.88	1519.15	1639.59	1143.1	1111.82	1977.24	2119.22	1073.91	1457.23	1806.78	848.22	1457.23	1437.15	2163.77	1572.76	1950.0	1594.73	1883.54	2133.97	1721.16	1561.89
RTN4R	35.0	12.74	10.39	0.0	0.11	34.75	55.1	48.52	25.17	67.59	32.13	51.35	23.93	34.02	87.03	15.8	45.53	23.42	41.22	15.22	23.08	118.43	94.01	57.49	68.07	56.68	31.0	31.22	78.89	71.5	42.71	23.59	44.57	96.01	70.51	73.03	67.12	115.16	125.24	87.03	80.01
SLC22A17	104.42	215.77	381.68	0.0	0.71	748.61	1340.84	603.67	591.22	1819.35	647.07	1832.01	915.51	825.0	3467.27	316.37	713.11	540.19	890.44	616.37	371.22	2287.2	2855.44	688.78	902.89	1313.23	1191.69	785.88	1963.57	1304.15	426.57	708.18	1745.2	2835.7	693.58	1794.29	2573.36	2434.5	2682.69	2976.74	1561.89
SLC45A1	10.96	14.67	24.46	0.0	0.39	77.25	164.42	87.03	70.01	234.57	114.36	81.71	64.34	113.56	140.04	25.54	90.14	52.82	75.11	55.49	68.07	92.05	205.5	148.09	80.01	127.0	103.69	133.36	148.09	72.01	67.12	75.11	121.79	131.51	102.97	96.01	112.77	120.94	145.02	262.2	99.43
SMARCB1	842.36	591.22	842.36	0.0	0.54	1674.06	1617.0	1407.55	934.76	1781.89	1143.1	1709.26	1359.57	1639.59	1733.13	802.41	1583.71	1572.76	1529.73	1407.55	1628.26	1477.58	1651.0	1508.65	1583.71	1806.78	1605.83	1340.84	1745.2	1540.37	1467.37	1709.26	1733.13	1745.2	1674.06	1427.22	1757.34	1857.6	1733.13	1551.09	1628.26
SPG7	363.56	351.14	447.82	0.0	0.95	1427.22	860.08	599.49	647.07	1151.06	579.04	1199.98	878.17	718.08	988.12	665.29	1037.29	733.19	1268.46	819.3	497.0	1340.84	1313.23	981.29	743.43	1870.53	1242.34	759.08	928.3	1388.16	616.37	1191.69	1697.45	1662.49	967.76	890.44	1794.29	1073.91	1369.04	1216.75	1250.98
SYTL1	183.82	134.3	96.68	0.0	0.77	4328.55	1757.34	872.1	1340.84	2573.36	748.61	3190.46	2758.13	1540.37	3372.43	656.11	2271.4	2133.97	3039.3	1286.18	995.0	2777.33	4298.64	2645.74	1378.57	4639.29	2701.35	2163.77	3491.39	4210.15	1662.49	3146.52	5183.54	5292.48	688.78	3168.41	5872.48	5006.93	5672.41	2816.11	2816.11
TCF25	928.3	796.86	1159.07	0.0	1.11	4038.61	3124.78	1832.01	2061.24	2915.45	1896.65	3280.18	2209.26	2384.37	2935.74	1407.55	3039.3	2367.9	3303.0	2319.15	2032.85	3349.13	3081.75	2855.44	2032.85	3639.7	3257.52	2178.83	3303.0	3847.29	1870.53	3639.7	3564.78	3443.31	2303.12	3467.27	3372.43	3325.99	3060.45	2956.17	3060.45
TCTA	251.48	603.67	563.18	0.0	0.3	1594.73	1745.2	1059.11	1073.91	1540.37	941.27	1628.26	1313.23	1388.16	1950.0	473.41	1369.04	1104.13	1340.84	1594.73	1651.0	1883.54	1896.65	1277.29	1023.0	1135.2	1519.15	1066.48	1806.78	1397.83	981.29	1572.76	1378.57	2004.85	1417.35	1388.16	1487.87	1806.78	1870.53	1909.85	1572.76
TCTN2	318.57	264.03	353.59	105.89	246.28	435.55	325.29	389.72	351.14	483.38	351.14	454.09	181.28	204.07	450.94	343.89	293.07	381.68	309.83	376.41	185.11	400.71	470.14	423.61	620.67	409.15	368.65	403.5	518.15	616.37	312.0	277.2	409.15	575.03	287.01	323.03	633.73	521.76	403.5	406.31	463.65
THNSL2	255.0	441.64	232.94	0.0	0.31	432.53	738.29	299.25	503.95	1081.39	320.8	633.73	1183.45	656.11	954.43	780.44	854.13	1001.93	400.71	769.69	860.08	718.08	921.88	1119.56	543.96	1088.92	638.15	314.17	941.27	1477.58	591.22	591.22	1242.34	1242.34	693.58	1417.35	1639.59	1304.15	854.13	1167.14	669.92
TMEM222	327.56	764.36	490.14	0.0	0.39	2104.58	1508.65	974.5	854.13	1697.45	909.17	1674.06	1388.16	1583.71	1977.24	988.12	1467.37	1143.1	1477.58	1088.92	1268.46	1991.0	2645.74	1721.16	1745.2	1697.45	1617.0	1437.15	1857.6	1806.78	1143.1	1340.84	2178.83	2287.2	1159.07	1697.45	1936.53	2018.8	2047.0	2104.58	2240.11
TRAPPC5	1023.0	1030.12	532.74	0.0	0.49	3768.09	2537.92	1487.87	1498.22	3235.01	1457.23	3060.45	2271.4	2739.08	4010.71	1487.87	3146.52	1697.45	2367.9	1909.85	1594.73	2319.15	4769.75	2351.53	3018.3	3794.3	2835.7	2224.63	3589.58	3467.27	1477.58	2855.44	5831.91	3081.75	3564.78	3303.0	4095.0	3443.31	3039.3	3491.39	3443.31
TRIM7	3.59	11.55	45.85	0.0	0.92	133.36	49.91	30.34	36.01	88.88	35.5	62.56	36.01	36.27	82.29	24.46	35.0	28.86	52.82	51.35	85.82	46.5	83.45	113.56	30.12	50.27	119.26	23.93	100.83	76.17	24.46	19.82	105.89	128.79	69.52	126.12	118.43	123.5	139.07	97.36	142.01
UBXN6	511.0	343.89	1529.73	0.0	0.93	3716.2	4268.94	2591.27	2090.03	4095.0	2520.38	3515.68	2915.45	4181.07	4769.75	2287.2	3564.78	2777.33	3146.52	2335.28	2627.46	4210.15	5255.91	3280.18	3146.52	4639.29	3955.48	3124.78	4123.49	3349.13	3103.19	3443.31	3303.0	4972.34	3982.99	3874.05	4152.18	4704.07	4639.29	4481.23	4450.27
UPF1	571.05	507.46	620.67	0.0	0.97	1447.15	1407.55	1104.13	1135.2	1508.65	967.76	1359.57	1331.57	1407.55	1487.87	1088.92	1561.89	1313.23	1769.57	1015.93	981.29	1437.15	1407.55	1340.84	1378.57	1651.0	1674.06	1096.5	1551.09	1583.71	1259.69	1540.37	1467.37	1594.73	1397.83	1295.13	1529.73	1487.87	1359.57	1551.09	1331.57
VIPR1	108.9	28.65	90.77	0.0	0.52	1119.56	703.28	656.11	941.27	954.43	603.67	1617.0	2384.37	743.43	1721.16	884.29	1819.35	723.08	1119.56	647.07	400.71	1757.34	1340.84	1295.13	967.76	1191.69	1819.35	884.29	1225.22	1359.57	842.36	981.29	1183.45	1572.76	1151.06	934.76	3395.89	1572.76	2047.0	1001.93	1191.69
VPS9D1	33.78	44.25	88.88	0.0	0.74	312.0	199.85	133.36	130.6	211.31	91.41	275.28	172.65	199.85	279.14	102.97	177.53	147.06	289.02	153.34	139.07	366.09	361.04	195.72	199.85	323.03	301.33	162.14	223.41	334.46	157.68	231.32	507.46	363.56	279.14	307.69	426.57	320.8	316.37	255.0	218.79
WDR59	273.37	271.48	228.13	0.0	0.79	363.56	299.25	376.41	312.0	301.33	343.89	441.64	361.04	273.37	325.29	341.51	356.05	441.64	473.41	295.11	187.71	511.0	414.87	332.14	234.57	603.67	536.45	318.57	392.44	543.96	297.17	438.59	543.96	543.96	285.03	412.0	688.78	514.56	466.88	373.81	305.55
WDR83	54.72	51.35	116.78	0.0	0.51	525.39	353.59	244.57	262.2	423.61	199.85	403.5	327.56	305.55	414.87	256.78	307.69	320.8	314.17	208.38	237.86	395.18	450.94	438.59	395.18	518.15	400.71	379.04	379.04	403.5	275.28	334.46	660.68	435.55	376.41	334.46	532.74	400.71	412.0	420.68	414.87
ZC3H18	244.57	262.2	289.02	0.0	0.93	500.46	460.44	351.14	371.22	536.45	289.02	514.56	336.79	395.18	493.56	371.22	447.82	353.59	599.49	366.09	312.0	559.28	447.82	392.44	376.41	486.75	368.65	289.02	432.53	476.71	384.34	444.72	536.45	490.14	392.44	457.25	555.41	525.39	490.14	591.22	406.31
ZDHHC1	149.12	62.56	169.07	0.0	0.4	371.22	258.57	229.72	172.65	316.37	234.57	392.44	379.04	246.28	559.28	325.29	221.86	176.29	244.57	176.29	193.01	447.82	647.07	327.56	379.04	500.46	423.61	309.83	351.14	420.68	126.12	329.84	483.38	547.75	215.77	395.18	595.34	547.75	551.56	518.15	371.22
