	GTEX.ZF2S.2026.SM.5E461	GTEX.11P81.1926.SM.5BC53	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.R53T.0326.SM.48FEC	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.95.7043.01A.11R.1949.07	TCGA.38.4632.11A.01R.1755.07	GTEX.ZZPU.0526.SM.5E44U	GTEX.QV44.0926.SM.2S1RH	GTEX.P4QR.1026.SM.2I5GP	GTEX.O5YV.0526.SM.2I5GE	GTEX.R55G.0826.SM.2TC5U	GTEX.ZAB5.0626.SM.5PNVB	GTEX.PWOO.0726.SM.2I3EB	GTEX.11P81.0226.SM.5HL5M	GTEX.XBED.0826.SM.47JYC	GTEX.SUCS.0626.SM.32PM5	GTEX.PLZ5.0726.SM.2I5F9	TCGA.77.8007.11A.01R.2187.07
STRIP1	620.67	575.03	285.03	312.0	258.57	197.09	135.24	140.04	193.01	152.28	234.57	224.97	133.36	158.79	79.45	93.35	231.32	67.59	119.26	177.53	209.84	473.41	215.77	297.17	454.09	447.82	457.25	483.38	320.8	733.19	232.94	575.03	343.89	595.34	669.92	348.71
SYNRG	1051.79	633.73	301.33	232.94	251.48	92.7	78.34	85.82	87.03	102.97	127.0	73.03	127.89	117.6	41.22	115.16	155.5	79.45	132.44	126.12	234.57	262.2	503.95	228.13	309.83	381.68	299.25	246.28	283.05	420.68	159.9	450.94	289.02	323.03	599.49	234.57
TADA2B	854.13	486.75	242.88	262.2	214.27	205.5	102.97	135.24	144.01	134.3	312.0	154.42	229.72	281.09	221.86	248.0	255.0	195.72	262.2	212.78	356.05	241.19	156.59	271.48	441.64	397.93	521.76	309.83	366.09	466.88	182.55	346.29	353.59	426.57	435.55	211.31
TAF15	3928.15	3303.0	2271.4	2133.97	2075.59	1551.09	1096.5	1832.01	1417.35	1709.26	2061.24	1487.87	1437.15	1794.29	1051.79	1447.15	2935.74	1651.0	1037.29	2178.83	1594.73	2255.7	4704.07	1225.22	2434.5	3325.99	2895.31	2664.15	3303.0	2351.53	3395.89	3690.52	2468.49	2555.58	4268.94	1498.22
TAF3	180.02	181.28	76.71	87.65	66.18	45.85	36.01	45.21	36.01	30.34	47.84	48.87	32.13	68.55	43.02	59.55	55.49	43.94	40.36	53.19	78.34	87.65	100.83	69.03	153.34	137.14	205.5	169.07	126.12	208.38	48.87	138.1	94.01	96.68	177.53	79.45
TAF5	91.41	107.38	28.65	36.27	39.22	42.71	53.57	38.4	39.5	31.67	28.65	41.81	20.86	25.54	21.01	33.06	45.53	43.32	41.22	38.95	56.28	47.5	55.1	34.75	62.12	72.52	75.64	58.71	52.82	74.58	47.17	70.51	29.27	44.89	99.43	38.67
TCF12	1250.98	1331.57	356.05	483.38	109.66	195.72	155.5	120.1	163.28	120.94	158.79	105.15	87.03	221.86	84.04	161.02	112.77	177.53	127.0	173.85	409.15	444.72	423.61	373.81	540.19	688.78	890.44	1015.93	500.46	796.86	242.88	733.19	320.8	366.09	967.76	466.88
TCF20	536.45	323.03	206.94	221.86	161.02	185.11	170.25	129.69	159.9	105.89	221.86	95.34	67.12	162.14	151.22	142.01	171.45	111.99	105.15	130.6	190.34	191.67	595.34	121.79	384.34	133.36	283.05	253.23	435.55	332.14	87.03	346.29	193.01	264.03	435.55	157.68
TGS1	389.72	273.37	111.21	111.99	190.34	180.02	156.59	124.37	104.42	135.24	107.38	229.72	19.39	84.04	124.37	72.01	121.79	62.56	47.5	58.71	56.28	153.34	164.42	198.47	281.09	264.03	147.06	201.25	246.28	285.03	152.28	223.41	325.29	215.77	295.11	176.29
TMEM260	334.46	397.93	150.17	131.51	63.89	100.83	82.29	102.25	112.77	91.41	144.01	40.07	57.49	134.3	71.5	87.03	126.12	125.24	115.16	120.94	127.89	172.65	132.44	117.6	143.01	136.19	187.71	229.72	176.29	279.14	151.22	180.02	164.42	218.79	242.88	145.02
TOPORS	518.15	417.77	111.99	127.89	175.07	124.37	95.34	63.89	67.59	92.05	86.43	57.89	34.02	221.86	101.54	128.79	111.99	129.69	128.79	128.79	159.9	166.73	209.84	172.65	279.14	232.94	224.97	253.23	180.02	339.14	70.51	348.71	199.85	158.79	373.81	191.67
TRAK2	665.29	679.29	232.94	423.61	128.79	113.56	108.9	96.68	120.94	98.73	147.06	81.14	72.01	189.02	85.22	99.43	224.97	144.01	102.97	143.01	265.87	314.17	281.09	414.87	587.13	444.72	974.5	693.58	808.0	808.0	167.9	486.75	500.46	444.72	743.43	387.02
TRIM4	909.17	1037.29	595.34	358.54	343.89	262.2	316.37	251.48	329.84	204.07	262.2	166.73	185.11	269.6	170.25	265.87	309.83	209.84	343.89	397.93	503.95	387.02	642.59	339.14	718.08	500.46	518.15	514.56	366.09	693.58	194.36	713.11	389.72	684.02	928.3	327.56
TRIP11	651.58	441.64	63.0	71.0	69.52	75.64	73.03	57.08	57.08	91.41	137.14	77.25	19.82	84.63	47.84	71.5	80.01	90.14	78.89	88.26	150.17	131.51	182.55	108.14	211.31	182.55	158.79	295.11	232.94	215.77	131.51	177.53	236.21	181.28	291.04	140.04
UBE2G1	1066.48	890.44	547.75	521.76	325.29	316.37	229.72	334.46	417.77	384.34	262.2	197.09	441.64	312.0	332.14	457.25	283.05	373.81	447.82	536.45	688.78	490.14	884.29	518.15	791.35	529.06	483.38	753.83	587.13	688.78	323.03	693.58	583.07	341.51	718.08	563.18
UBE4A	785.88	921.88	180.02	173.85	246.28	120.94	137.14	90.77	97.36	122.64	198.47	147.06	163.28	193.01	149.12	181.28	255.0	143.01	130.6	242.88	356.05	318.57	303.44	226.54	395.18	389.72	403.5	420.68	426.57	493.56	241.19	371.22	366.09	327.56	759.08	279.14
VPS4B	1832.01	1781.89	329.84	438.59	334.46	406.31	339.14	289.02	289.02	293.07	343.89	149.12	258.57	305.55	244.57	356.05	318.57	285.03	353.59	234.57	271.48	483.38	320.8	540.19	1143.1	733.19	547.75	693.58	981.29	1037.29	571.05	1143.1	819.3	796.86	1407.55	454.09
WDR47	323.03	336.79	115.16	98.04	50.98	37.85	27.44	29.06	22.26	23.25	36.01	27.84	19.25	35.25	23.59	33.06	35.0	13.22	16.39	20.41	32.59	120.1	87.65	106.63	221.86	170.25	249.73	215.77	167.9	269.6	92.7	229.72	158.79	148.09	400.71	108.9
WIPF2	802.41	543.96	237.86	217.27	229.72	114.36	63.45	108.14	78.34	97.36	193.01	93.35	92.7	189.02	56.28	79.45	113.56	57.49	111.99	156.59	195.72	277.2	559.28	217.27	438.59	480.04	420.68	490.14	480.04	518.15	389.72	559.28	353.59	307.69	591.22	248.0
ZBTB8A	114.36	123.5	33.78	23.59	33.54	17.9	2.46	6.21	10.96	14.89	30.78	25.72	4.28	25.72	16.39	6.31	17.51	16.15	21.32	23.93	21.32	50.27	39.22	36.53	86.43	53.95	77.25	137.14	90.14	100.83	37.59	105.89	106.63	91.41	239.52	68.55
ZC3HAV1L	139.07	91.41	21.32	29.7	38.4	0.0	1.19	0.0	3.47	1.97	5.82	5.02	0.0	3.96	11.55	2.92	2.73	3.5	0.44	5.23	6.21	20.86	31.45	9.2	33.3	13.83	32.36	39.79	16.63	66.65	19.25	40.93	22.26	9.63	61.25	16.15
ZMYM1	176.29	211.31	58.3	40.07	125.24	35.25	37.85	30.78	17.38	26.47	82.29	49.21	7.28	48.87	28.65	30.78	63.89	38.4	40.93	34.02	44.57	111.99	77.79	73.03	94.01	112.77	74.58	135.24	96.68	122.64	81.71	106.63	102.25	80.01	186.4	79.45
ZMYM4	1001.93	674.59	204.07	191.67	236.21	123.5	132.44	108.14	94.67	84.04	128.79	157.68	49.91	150.17	69.03	113.56	173.85	97.36	82.87	102.97	142.01	264.03	273.37	224.97	343.89	414.87	167.9	366.09	379.04	518.15	277.2	334.46	348.71	384.34	460.44	299.25
ZNF112	155.5	129.69	25.91	26.67	24.11	15.56	5.73	10.88	6.41	5.32	21.16	12.83	3.96	28.04	8.38	19.39	12.55	13.32	26.86	13.93	12.18	38.12	42.11	22.26	75.11	50.27	43.63	49.56	38.95	102.97	27.25	56.68	33.78	52.08	57.49	37.05
ZNF197	420.68	325.29	102.97	112.77	61.25	71.5	85.22	45.85	81.14	68.07	96.01	111.99	30.56	195.72	120.94	94.01	69.03	127.0	76.17	108.14	140.04	152.28	90.14	91.41	206.94	171.45	108.14	175.07	128.79	229.72	88.88	206.94	120.94	169.07	277.2	111.21
ZNF260	343.89	309.83	74.58	84.63	116.78	70.51	34.26	45.21	57.89	24.81	66.18	40.36	10.79	50.98	46.18	67.59	50.27	60.39	69.52	30.78	61.25	104.42	165.57	71.0	107.38	129.69	119.26	181.28	85.22	186.4	78.34	112.77	52.45	69.03	163.28	82.87
ZNF320	775.05	483.38	392.44	209.84	212.78	97.36	8.99	68.07	15.56	15.11	5.5	41.81	9.48	37.85	9.7	39.5	231.32	40.64	37.05	16.39	2.07	226.54	87.03	163.28	181.28	412.0	297.17	444.72	223.41	318.57	109.66	283.05	234.57	325.29	297.17	152.28
ZNF354C	260.38	159.9	31.67	25.72	3.56	6.52	1.46	4.78	3.53	1.87	5.73	8.85	1.64	7.34	6.62	19.39	4.5	11.47	6.06	9.93	14.03	44.57	19.53	31.22	44.57	37.59	52.45	58.3	29.7	65.72	10.55	69.52	34.51	37.85	96.68	29.7
ZNF398	231.32	156.59	75.11	90.14	64.8	66.18	75.11	71.0	49.91	34.26	81.14	52.82	46.5	80.01	34.02	47.5	42.41	45.85	56.68	50.27	70.01	99.43	96.01	68.07	110.43	128.79	100.13	132.44	137.14	211.31	44.89	115.97	118.43	104.42	201.25	71.5
ZNF41	208.38	242.88	53.19	65.72	32.13	26.28	21.47	31.0	25.72	14.35	41.81	18.43	13.52	48.87	29.91	43.63	66.18	27.84	28.04	40.64	36.27	94.67	45.21	79.45	117.6	121.79	107.38	145.02	113.56	138.1	81.14	102.97	124.37	116.78	167.9	67.59
ZNF425	155.5	103.69	30.56	29.06	14.24	7.51	34.51	8.58	16.63	11.3	14.78	3.56	8.38	12.45	3.72	12.18	7.22	7.22	14.78	8.25	16.27	28.24	26.86	23.42	38.67	28.86	11.04	34.75	30.34	39.79	26.28	43.94	18.84	37.59	39.5	12.64
ZNF426	334.46	353.59	40.36	48.52	15.34	21.78	7.69	8.58	11.13	1.85	5.45	3.53	10.31	16.63	16.75	6.36	13.62	11.04	3.72	13.83	23.25	66.18	38.12	63.45	82.29	69.03	43.63	96.68	129.69	120.94	35.76	127.89	136.19	113.56	155.5	91.41
ZNF45	435.55	353.59	59.13	72.52	113.56	49.56	28.45	35.5	31.22	26.47	59.55	32.13	18.84	30.56	88.26	77.79	51.71	90.14	34.75	42.71	66.65	132.44	138.1	77.25	220.32	140.04	54.33	148.09	161.02	187.71	112.77	187.71	136.19	209.84	246.28	102.25
ZNF490	96.01	76.17	21.16	16.88	14.14	11.3	7.46	10.39	13.93	8.19	25.35	3.29	3.5	9.06	1.81	16.75	8.06	6.01	21.32	11.38	29.27	36.79	13.22	22.59	26.47	38.12	26.47	43.63	56.28	44.57	23.08	47.17	39.79	46.84	72.52	26.28
ZNF618	397.93	229.72	117.6	162.14	117.6	63.89	78.89	63.45	54.33	65.26	112.77	47.5	44.25	9.85	17.13	19.39	45.53	22.59	22.92	42.11	17.13	64.8	155.5	37.59	99.43	148.09	115.16	163.28	94.01	232.94	82.29	156.59	64.8	63.0	161.02	49.56
ZNF619	143.01	176.29	30.78	33.06	27.44	24.28	15.34	12.74	13.52	8.19	45.53	9.06	20.71	24.11	26.28	43.63	26.86	26.67	19.82	47.17	63.45	37.32	38.4	39.22	55.49	63.89	49.21	64.34	59.97	92.7	30.34	68.07	55.89	49.91	90.77	25.91
ZNF623	426.57	279.14	87.03	119.26	105.15	166.73	108.9	83.45	77.79	78.34	81.14	130.6	26.86	88.88	39.22	63.45	76.71	39.5	34.51	69.52	87.03	133.36	170.25	71.0	143.01	208.38	173.85	229.72	133.36	392.44	94.01	204.07	132.44	149.12	248.0	85.82
ZNF660	40.64	52.45	21.47	19.53	1.01	2.23	1.11	1.53	2.18	1.04	2.07	4.24	1.22	2.46	2.16	2.63	7.51	8.19	1.33	4.5	3.96	18.29	4.1	10.24	58.3	28.65	41.52	25.35	41.52	77.25	33.54	28.45	45.53	18.43	55.1	23.59
ZNF674	77.25	88.26	14.24	19.97	30.12	23.08	27.64	28.86	31.45	14.78	29.27	18.97	13.93	31.22	10.88	32.59	12.64	47.17	28.65	29.91	25.72	32.36	40.93	29.91	36.53	33.54	29.27	38.67	32.36	66.18	20.11	51.71	42.71	33.78	67.12	37.05
ZNF70	109.66	110.43	28.86	27.84	11.55	7.0	5.87	3.35	4.78	3.66	11.91	4.98	5.82	13.93	2.51	7.88	5.68	7.34	4.82	5.28	9.27	30.78	50.63	12.55	32.13	53.19	43.94	76.71	36.27	66.65	34.26	45.85	26.47	26.86	54.33	23.42
ZNF79	183.82	128.79	70.01	75.64	49.56	28.45	80.57	66.65	40.64	51.35	63.0	38.67	47.84	54.33	32.59	20.71	53.95	30.56	36.01	49.91	62.56	77.25	100.13	67.59	78.34	108.14	66.18	78.34	69.52	94.01	44.25	91.41	78.34	117.6	86.43	49.21
ZNF835	97.36	105.89	30.12	32.59	0.0	3.44	2.23	3.35	2.32	3.17	0.46	1.3	3.79	4.78	4.39	26.47	4.31	3.99	0.0	1.99	4.35	21.63	9.13	11.13	45.53	37.05	18.84	40.93	13.22	130.6	18.16	55.89	15.0	46.18	63.89	7.51
ZNHIT6	376.41	285.03	150.17	119.26	140.04	131.51	54.72	81.71	119.26	62.12	101.54	187.71	53.57	177.53	82.87	75.11	107.38	46.84	75.11	81.71	61.68	158.79	167.9	134.3	293.07	258.57	231.32	379.04	206.94	251.48	141.02	221.86	194.36	186.4	289.02	155.5
ZSCAN12	283.05	151.22	26.47	36.01	21.63	19.68	10.47	10.24	23.59	10.16	30.12	19.25	6.57	15.8	8.45	16.75	23.59	15.45	15.0	11.73	17.9	44.57	63.0	41.22	64.34	70.51	67.59	56.28	45.85	87.65	23.76	74.58	51.71	50.98	104.42	31.67
