	TCGA.A7.A26E.01A.11R.A169.07	TCGA.AR.A24W.01A.11R.A169.07	TCGA.BH.A1EW.11B.33R.A137.07	GTEX.ZZPU.0626.SM.5E43T	GTEX.W5X1.2326.SM.3GIL6	TCGA.DD.AAVY.01A.11R.A41C.07	TCGA.DD.A1EA.01A.11R.A131.07	TCGA.ZP.A9D0.01A.11R.A37K.07	TCGA.G3.A5SL.01A.11R.A27V.07	TCGA.DD.A4NE.01A.11R.A27V.07	TCGA.DD.AAW1.01A.11R.A41C.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.G3.AAV2.01A.11R.A37K.07	TCGA.BD.A3ER.01A.11R.A213.07	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.A4NO.01A.11R.A28V.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.2Y.A9H8.01A.11R.A39D.07	TCGA.DD.AADG.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.DD.A1EE.01A.11R.A131.07	TCGA.ZS.A9CG.01A.11R.A37K.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.AAD3.01A.11R.A41C.07	TCGA.EP.A3RK.01A.11R.A22L.07	TCGA.DD.AAEK.01A.11R.A41C.07	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.KR.A7K0.01A.12R.A33R.07	TCGA.RC.A7SK.01A.11R.A352.07	TCGA.HP.A5N0.01A.11R.A28V.07	TCGA.DD.AACE.01A.11R.A41C.07	TCGA.G3.A5SI.01A.31R.A27V.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AADY.01A.11R.A41C.07	TCGA.DD.A4NV.01A.11R.A311.07	TCGA.ZS.A9CF.01A.11R.A38B.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.NI.A4U2.01A.11R.A28V.07	TCGA.CC.A7IH.01A.11R.A33J.07	TCGA.ZP.A9D1.01A.11R.A38B.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.DD.A3A8.01A.11R.A22L.07	TCGA.DD.A11D.01A.11R.A131.07	TCGA.DD.AAEH.01A.11R.A41C.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.AAEG.01A.11R.A39D.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.MI.A75H.01A.11R.A32O.07	TCGA.ZP.A9D4.01A.11R.A37K.07	TCGA.FV.A3I1.01A.11R.A22L.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.ZS.A9CE.01A.11R.A37K.07	TCGA.UB.A7MC.01A.11R.A33R.07	TCGA.2Y.A9GU.01A.11R.A38B.07	TCGA.BC.A8YO.01A.11R.A37K.07	TCGA.DD.A4NJ.01A.11R.A27V.07	TCGA.MI.A75E.01A.11R.A32O.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.YFC4.1526.SM.5IFJS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.X4EO.1126.SM.4QARQ	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.QESD.2026.SM.447BI	GTEX.1399R.1226.SM.5P9GF	GTEX.13SLX.1226.SM.5S2Q6	GTEX.Q734.0326.SM.48U15	GTEX.R53T.0326.SM.48FEC	TCGA.78.7156.01A.11R.2039.07	TCGA.78.7162.01A.21R.2066.07	TCGA.73.7498.01A.12R.2187.07	TCGA.44.7671.01A.11R.2066.07	TCGA.78.7633.01A.11R.2066.07	GTEX.ZXG5.0826.SM.5GID6	GTEX.12WSE.0826.SM.5S2VL	GTEX.111FC.1126.SM.5GZWU	GTEX.131YS.0926.SM.5IJB9	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.145MF.0726.SM.5Q5BT	GTEX.OXRK.0926.SM.2HMKP	GTEX.12BJ1.1226.SM.5LUAE	GTEX.OHPM.2626.SM.33HC5
FBXO3	669.92	1250.98	1001.93	1096.5	1857.6	334.46	591.22	642.59	591.22	674.59	470.14	373.81	366.09	473.41	381.68	381.68	595.34	420.68	285.03	429.54	466.88	603.67	511.0	255.0	269.6	287.01	476.71	299.25	454.09	392.44	301.33	559.28	476.71	547.75	447.82	529.06	769.69	624.99	503.95	215.77	147.06	825.0	320.8	343.89	381.68	432.53	555.41	237.86	463.65	420.68	271.48	348.71	414.87	371.22	301.33	575.03	514.56	397.93	275.28	525.39	483.38	473.41	447.82	579.04	490.14	387.02	409.15	371.22	915.51	507.46	540.19	387.02	358.54	511.0	559.28	281.09	500.46	551.56	529.06	480.04	470.14	486.75	529.06	866.07	629.35	665.29	1369.04	866.07	703.28	753.83	1159.07	1427.22
FRS2	981.29	728.11	2417.67	607.87	1001.93	72.52	214.27	108.9	82.87	221.86	94.67	85.22	49.21	92.7	37.85	83.45	84.04	69.52	79.45	90.77	132.44	175.07	85.82	65.26	43.94	74.58	136.19	46.84	150.17	109.66	71.5	97.36	165.57	102.97	83.45	82.29	194.36	108.9	153.34	52.08	78.89	136.19	49.56	39.22	69.52	89.51	93.35	41.22	69.03	130.6	62.56	195.72	88.26	60.82	62.12	142.01	105.89	76.71	53.19	95.34	87.03	202.66	99.43	287.01	173.85	49.21	141.02	63.89	234.57	62.56	115.16	62.56	94.67	77.25	108.14	83.45	204.07	137.14	264.03	237.86	167.9	144.01	339.14	339.14	503.95	339.14	579.04	429.54	151.22	244.57	733.19	426.57
G3BP2	2047.0	2061.24	2976.74	2119.22	2468.49	679.29	1378.57	941.27	764.36	703.28	1030.12	343.89	323.03	642.59	151.22	450.94	684.02	647.07	470.14	493.56	397.93	1378.57	642.59	325.29	260.38	361.04	819.3	476.71	785.88	420.68	748.61	283.05	825.0	529.06	366.09	336.79	567.1	819.3	656.11	620.67	521.76	587.13	212.78	262.2	384.34	785.88	802.41	441.64	620.67	796.86	363.56	684.02	497.0	444.72	395.18	620.67	616.37	420.68	366.09	529.06	320.8	780.44	620.67	1359.57	575.03	457.25	656.11	457.25	1498.22	454.09	571.05	400.71	559.28	483.38	1250.98	301.33	785.88	1369.04	1111.82	1277.29	961.07	1477.58	1151.06	1662.49	1037.29	1923.14	1883.54	1277.29	2367.9	1991.0	3665.02	1909.85
GAB1	543.96	371.22	529.06	529.06	967.76	80.01	115.16	82.29	78.34	281.09	60.82	45.21	29.48	40.64	14.67	38.95	51.71	48.87	76.17	59.97	34.26	101.54	44.25	30.34	18.97	23.93	107.38	41.81	89.51	48.18	60.39	59.13	100.83	146.03	39.79	55.49	76.71	84.04	194.36	60.82	48.52	87.03	22.43	40.36	47.17	86.43	73.54	29.48	56.68	57.49	52.08	86.43	39.22	58.71	53.95	88.88	87.03	24.11	20.41	73.03	48.52	69.03	81.14	260.38	146.03	29.06	135.24	50.98	127.89	34.26	61.68	35.76	56.28	96.01	96.68	85.22	137.14	90.14	134.3	234.57	158.79	107.38	142.01	796.86	791.35	1037.29	1583.71	1340.84	441.64	1059.11	429.54	241.19
IREB2	567.1	473.41	819.3	775.05	571.05	176.29	371.22	358.54	204.07	438.59	299.25	136.19	148.09	175.07	99.43	133.36	232.94	201.25	180.02	205.5	145.02	234.57	209.84	106.63	106.63	149.12	223.41	154.42	351.14	183.82	190.34	190.34	214.27	244.57	181.28	217.27	395.18	224.97	320.8	87.03	118.43	271.48	124.37	122.64	140.04	239.52	228.13	114.36	162.14	201.25	150.17	241.19	147.06	120.94	141.02	336.79	217.27	64.34	125.24	211.31	135.24	361.04	279.14	507.46	457.25	105.15	191.67	175.07	460.44	224.97	193.01	117.6	115.97	199.85	181.28	156.59	202.66	187.71	376.41	316.37	305.55	275.28	299.25	279.14	301.33	287.01	571.05	379.04	536.45	251.48	791.35	616.37
KAT6B	748.61	264.03	463.65	733.19	651.58	57.49	104.42	99.43	69.03	96.68	75.11	58.71	49.91	44.25	28.04	41.81	93.35	59.55	50.98	48.18	43.94	97.36	50.98	29.06	25.17	34.02	68.55	39.5	91.41	35.76	62.56	52.08	43.63	57.08	56.68	55.49	78.89	72.01	101.54	41.52	45.21	101.54	29.91	40.93	26.1	82.29	78.89	28.24	46.5	74.58	42.11	100.83	75.64	26.28	40.93	87.65	86.43	36.79	40.07	64.34	30.12	109.66	86.43	63.0	71.5	42.41	57.49	55.49	94.01	48.52	33.54	48.87	41.22	55.49	60.39	35.76	100.13	77.79	228.13	217.27	172.65	193.01	212.78	361.04	525.39	339.14	397.93	412.0	116.78	384.34	295.11	325.29
KIAA0825	84.63	100.83	76.17	37.05	112.77	5.68	27.44	5.92	5.11	7.82	6.57	7.75	2.14	3.03	3.86	2.12	5.63	3.17	3.17	4.86	3.5	11.38	13.32	2.29	2.94	3.99	9.85	3.59	8.0	6.46	5.73	7.46	8.32	13.72	5.15	2.97	12.55	13.83	9.78	4.21	2.43	7.63	3.06	6.67	3.63	10.55	12.64	1.81	2.29	12.64	1.87	5.41	4.5	4.5	8.85	8.32	5.23	2.07	4.7	6.67	16.27	10.88	3.92	13.52	10.31	2.81	10.79	8.99	7.88	8.99	8.13	8.92	2.61	1.93	10.08	7.46	7.94	10.16	33.06	20.56	14.67	24.81	16.63	59.13	81.71	92.7	100.83	52.45	101.54	51.71	32.82	50.27
KIAA1109	1350.18	928.3	1519.15	1225.22	2758.13	273.37	624.99	301.33	234.57	368.65	277.2	205.5	183.82	220.32	97.36	152.28	318.57	283.05	178.77	224.97	146.03	387.02	281.09	135.24	124.37	156.59	295.11	269.6	332.14	414.87	244.57	153.34	293.07	204.07	163.28	185.11	255.0	334.46	312.0	152.28	148.09	249.73	128.79	167.9	325.29	271.48	346.29	119.26	167.9	299.25	154.42	297.17	177.53	194.36	173.85	318.57	237.86	120.1	142.01	316.37	149.12	182.55	228.13	579.04	348.71	194.36	244.57	221.86	466.88	169.07	189.02	231.32	283.05	279.14	395.18	142.01	470.14	476.71	1259.69	563.18	860.08	698.41	915.51	974.5	1135.2	1216.75	1427.22	1073.91	490.14	866.07	902.89	1268.46
KIDINS220	775.05	665.29	902.89	1119.56	1540.37	185.11	336.79	287.01	187.71	303.44	262.2	169.07	118.43	197.09	140.04	195.72	224.97	162.14	142.01	170.25	208.38	289.02	173.85	120.94	82.87	118.43	260.38	149.12	297.17	76.71	223.41	208.38	175.07	172.65	172.65	248.0	379.04	224.97	325.29	150.17	159.9	353.59	100.83	94.01	150.17	208.38	228.13	78.34	111.21	198.47	120.94	447.82	164.42	139.07	109.66	208.38	255.0	130.6	98.04	190.34	135.24	392.44	260.38	325.29	334.46	118.43	134.3	187.71	329.84	164.42	138.1	114.36	217.27	105.89	201.25	77.79	307.69	232.94	571.05	532.74	529.06	490.14	579.04	1051.79	1051.79	902.89	1259.69	1119.56	825.0	1127.35	836.53	753.83
KMT2A	392.44	500.46	514.56	674.59	612.11	80.57	211.31	79.45	69.52	87.65	98.73	58.71	28.45	61.25	44.57	59.97	78.34	68.07	73.54	92.7	80.01	136.19	84.63	38.95	48.87	34.75	76.71	58.71	136.19	46.18	72.52	76.17	139.07	133.36	28.65	63.0	82.29	181.28	163.28	34.02	52.45	112.77	35.25	43.32	66.18	104.42	89.51	50.98	54.33	96.01	63.89	153.34	59.13	39.22	42.71	150.17	149.12	59.55	40.36	88.88	67.59	153.34	92.05	256.78	155.5	60.82	102.97	60.39	71.5	34.26	46.18	49.21	57.49	94.01	80.01	58.71	120.1	112.77	242.88	220.32	299.25	197.09	181.28	281.09	343.89	332.14	395.18	293.07	483.38	373.81	607.87	379.04
LIN54	183.82	124.37	217.27	181.28	205.5	59.13	111.21	72.52	58.3	133.36	80.57	62.56	26.28	53.95	31.9	52.08	74.58	56.68	59.13	63.89	42.41	100.83	54.72	46.84	34.51	38.12	55.89	67.12	82.87	65.72	51.71	36.79	43.02	66.65	52.08	31.45	83.45	120.1	135.24	45.53	48.18	103.69	19.82	37.05	52.08	74.58	102.25	37.32	45.85	60.82	59.55	57.08	58.71	43.02	62.12	87.03	67.59	48.18	38.95	70.51	54.72	118.43	66.18	163.28	84.63	43.63	52.45	75.64	127.0	46.84	59.13	66.18	66.18	47.5	65.72	57.89	45.53	82.29	100.83	98.73	80.01	94.67	89.51	146.03	161.02	148.09	151.22	147.06	71.0	82.29	155.5	234.57
LRBA	2739.08	981.29	1498.22	813.63	909.17	246.28	379.04	156.59	191.67	361.04	256.78	218.79	133.36	303.44	140.04	206.94	242.88	191.67	201.25	325.29	258.57	277.2	253.23	147.06	221.86	223.41	409.15	178.77	279.14	186.4	108.9	242.88	271.48	218.79	183.82	248.0	277.2	329.84	379.04	76.17	241.19	212.78	181.28	185.11	262.2	211.31	450.94	162.14	189.02	409.15	220.32	171.45	334.46	267.73	182.55	379.04	334.46	148.09	212.78	293.07	336.79	120.1	450.94	361.04	395.18	229.72	189.02	159.9	536.45	277.2	309.83	323.03	229.72	312.0	303.44	193.01	297.17	366.09	934.76	947.83	909.17	896.64	813.63	312.0	466.88	480.04	808.0	500.46	2255.7	890.44	759.08	780.44
LYSMD3	363.56	480.04	514.56	371.22	802.41	189.02	454.09	224.97	228.13	287.01	287.01	209.84	143.01	197.09	166.73	157.68	316.37	158.79	95.34	173.85	126.12	258.57	229.72	125.24	117.6	186.4	194.36	195.72	237.86	312.0	190.34	130.6	226.54	215.77	242.88	140.04	463.65	389.72	373.81	127.89	180.02	417.77	88.88	277.2	187.71	271.48	412.0	122.64	61.25	228.13	194.36	346.29	201.25	111.21	183.82	205.5	193.01	74.58	110.43	249.73	199.85	262.2	309.83	289.02	336.79	102.97	204.07	309.83	395.18	234.57	161.02	363.56	172.65	232.94	142.01	218.79	251.48	327.56	291.04	265.87	206.94	223.41	287.01	647.07	490.14	463.65	373.81	536.45	283.05	1199.98	633.73	579.04
MFAP3	1111.82	674.59	830.75	470.14	854.13	155.5	281.09	180.02	135.24	226.54	201.25	181.28	87.03	186.4	128.79	127.0	172.65	146.03	131.51	224.97	137.14	249.73	173.85	107.38	94.01	109.66	193.01	140.04	285.03	139.07	164.42	115.97	187.71	199.85	163.28	158.79	237.86	205.5	236.21	115.97	107.38	366.09	113.56	127.89	157.68	176.29	244.57	100.13	155.5	264.03	127.89	256.78	153.34	110.43	104.42	241.19	175.07	126.12	133.36	177.53	157.68	229.72	178.77	307.69	271.48	116.78	122.64	129.69	275.28	134.3	149.12	124.37	128.79	96.68	166.73	154.42	248.0	291.04	246.28	334.46	236.21	339.14	392.44	414.87	234.57	183.82	289.02	316.37	232.94	447.82	361.04	426.57
MKL2	981.29	743.43	954.43	1037.29	728.11	40.93	148.09	88.26	62.12	120.94	89.51	76.71	36.01	58.3	39.5	37.32	64.8	42.41	33.54	73.03	18.29	100.13	103.69	27.84	27.84	26.86	69.52	28.24	98.04	40.36	50.98	41.22	104.42	112.77	52.45	55.49	81.14	126.12	82.29	29.91	45.53	74.06	21.16	22.1	37.32	77.79	90.14	28.65	33.54	98.04	24.63	131.51	38.12	24.63	18.84	109.66	79.45	45.21	16.63	61.68	66.18	85.22	77.79	218.79	120.1	43.94	73.54	24.28	89.51	45.53	35.5	14.89	36.53	25.91	56.68	55.49	54.33	129.69	371.22	189.02	361.04	287.01	255.0	314.17	246.28	297.17	387.02	279.14	351.14	258.57	633.73	476.71
MTX3	241.19	195.72	260.38	214.27	332.14	29.27	95.34	50.98	18.97	59.97	34.02	14.78	6.46	16.03	9.27	12.93	32.59	14.03	10.55	11.73	22.75	79.45	20.26	5.59	8.19	7.94	53.95	7.06	50.98	22.1	19.68	12.0	31.67	35.25	13.72	20.71	91.41	49.21	36.79	9.93	12.55	50.98	12.27	9.48	10.0	23.76	43.02	5.41	7.82	44.25	4.66	52.45	28.45	10.16	2.1	44.25	29.91	5.68	7.17	33.3	15.56	60.39	20.41	147.06	55.1	9.93	24.28	16.51	53.19	15.11	27.05	12.83	23.42	13.22	27.84	12.27	37.32	66.65	70.01	50.27	76.71	61.25	100.83	87.65	75.11	55.89	100.13	101.54	87.65	60.82	318.57	130.6
MYO9A	336.79	409.15	483.38	591.22	733.19	27.25	78.34	20.41	29.91	41.52	71.0	18.43	19.11	22.26	14.78	15.45	24.81	23.93	14.67	30.34	13.72	50.98	36.01	9.78	23.42	10.88	32.82	34.51	41.52	14.35	25.54	28.65	29.48	40.36	6.01	13.62	19.11	67.12	32.59	23.93	14.03	47.84	8.58	29.27	33.78	40.64	33.54	25.72	22.43	32.82	9.7	41.81	14.35	13.12	19.97	43.02	22.26	9.78	18.84	30.78	14.35	59.55	22.26	58.71	34.51	14.03	32.82	23.59	29.7	17.64	8.92	14.78	26.86	30.56	40.93	16.27	27.05	28.45	122.64	190.34	137.14	110.43	144.01	447.82	281.09	299.25	463.65	400.71	221.86	497.0	466.88	387.02
NEK1	283.05	159.9	231.32	228.13	353.59	56.68	89.51	84.63	40.93	111.21	44.57	36.01	28.24	36.53	20.56	23.93	49.21	43.32	25.54	43.02	12.55	82.29	48.52	21.32	29.48	31.0	66.65	42.11	55.49	44.25	47.5	26.86	51.71	44.57	26.47	23.42	49.56	66.18	84.63	27.44	29.06	43.63	21.47	24.63	29.91	42.41	58.71	25.35	31.22	51.71	53.95	44.57	33.06	42.41	30.12	58.3	63.0	20.41	43.02	48.87	29.06	27.25	52.82	112.77	87.03	39.22	47.84	42.11	79.45	23.59	46.18	43.02	36.53	49.91	78.89	44.25	81.71	62.12	96.01	94.67	60.82	76.17	72.01	181.28	221.86	180.02	303.44	218.79	277.2	152.28	260.38	303.44
NFAT5	249.73	327.56	406.31	417.77	555.41	39.5	71.5	76.17	32.13	53.95	54.33	37.32	15.56	51.71	5.02	32.82	40.36	31.9	24.28	35.0	37.85	66.65	22.92	16.15	5.41	16.03	32.82	22.1	87.65	29.7	67.59	38.95	39.79	44.25	9.78	22.59	82.29	53.57	89.51	18.43	44.57	101.54	9.2	11.82	25.17	55.49	58.3	6.11	20.56	43.94	11.55	99.43	28.24	16.88	16.75	80.57	63.0	13.93	7.46	48.87	17.9	134.3	83.45	82.29	87.65	16.15	34.26	32.36	158.79	29.27	19.39	24.63	82.29	40.64	45.21	32.13	83.45	64.8	158.79	127.0	173.85	77.25	99.43	262.2	258.57	237.86	356.05	285.03	223.41	205.5	444.72	381.68
NUMB	1135.2	1030.12	928.3	1225.22	1639.59	536.45	748.61	915.51	599.49	974.5	688.78	551.56	473.41	674.59	414.87	381.68	447.82	547.75	583.07	616.37	633.73	791.35	507.46	387.02	303.44	457.25	708.18	361.04	769.69	514.56	543.96	511.0	624.99	518.15	497.0	547.75	1008.9	679.29	1477.58	395.18	521.76	540.19	406.31	379.04	409.15	713.11	743.43	363.56	536.45	642.59	514.56	616.37	389.72	575.03	406.31	954.43	698.41	444.72	438.59	587.13	426.57	587.13	769.69	1183.45	791.35	567.1	638.15	620.67	769.69	420.68	420.68	511.0	624.99	547.75	753.83	624.99	718.08	728.11	1529.73	1051.79	1008.9	708.18	1143.1	1498.22	1896.65	2240.11	2485.67	2240.11	1350.18	1088.92	1066.48	1151.06
OSBPL8	384.34	860.08	769.69	703.28	2935.74	108.14	224.97	157.68	127.0	191.67	127.0	123.5	58.71	115.16	66.18	96.68	101.54	91.41	102.97	90.14	96.68	143.01	101.54	78.34	57.49	75.64	145.02	91.41	231.32	128.79	111.21	114.36	127.89	136.19	130.6	89.51	224.97	151.22	143.01	66.18	85.22	258.57	49.56	53.19	96.68	183.82	148.09	52.45	84.04	147.06	94.01	211.31	67.12	48.87	86.43	155.5	142.01	66.18	66.65	104.42	133.36	234.57	87.03	285.03	262.2	61.25	152.28	98.73	297.17	165.57	83.45	116.78	84.04	127.89	140.04	102.97	234.57	193.01	277.2	341.51	255.0	265.87	287.01	450.94	403.5	363.56	518.15	363.56	511.0	400.71	825.0	435.55
PAQR3	201.25	318.57	435.55	417.77	521.76	57.89	316.37	100.13	59.97	94.01	72.52	78.34	26.1	112.77	57.08	59.55	135.24	58.3	80.57	162.14	43.02	133.36	97.36	67.59	71.5	76.17	176.29	85.22	151.22	107.38	73.54	51.71	125.24	89.51	42.71	46.18	178.77	143.01	447.82	40.93	81.14	127.89	45.85	85.82	264.03	45.21	209.84	38.4	32.13	236.21	55.89	98.04	54.72	31.22	55.49	218.79	128.79	115.16	88.26	144.01	114.36	120.94	84.63	316.37	115.16	97.36	83.45	55.1	157.68	105.15	108.14	44.25	66.65	38.4	111.21	48.87	76.17	228.13	72.52	154.42	148.09	180.02	220.32	273.37	599.49	571.05	316.37	221.86	289.02	193.01	339.14	237.86
PARP11	463.65	187.71	363.56	218.79	536.45	36.27	100.13	31.67	27.84	68.07	69.52	60.39	51.71	65.72	16.03	37.05	31.67	28.86	28.04	27.64	43.02	70.51	42.71	31.67	18.29	43.02	61.25	52.45	69.52	42.11	55.49	18.16	60.82	60.82	30.78	19.82	51.71	23.59	45.21	13.12	34.02	33.54	21.94	12.64	36.79	57.89	42.11	35.25	35.76	46.84	19.11	40.64	14.45	25.17	63.45	52.08	64.8	40.36	40.36	35.0	42.71	73.03	33.78	113.56	55.1	48.18	38.95	21.78	130.6	34.02	34.51	39.79	61.68	15.8	57.89	39.22	84.04	111.99	64.8	131.51	102.97	77.25	84.04	226.54	205.5	170.25	497.0	283.05	88.88	205.5	214.27	332.14
PARP4	595.34	563.18	860.08	1159.07	543.96	432.53	808.0	612.11	339.14	450.94	503.95	293.07	320.8	231.32	237.86	551.56	493.56	358.54	173.85	373.81	384.34	718.08	287.01	312.0	112.77	336.79	507.46	285.03	403.5	241.19	316.37	441.64	297.17	497.0	312.0	620.67	343.89	381.68	400.71	297.17	366.09	507.46	320.8	279.14	332.14	264.03	656.11	226.54	329.84	366.09	297.17	476.71	325.29	218.79	237.86	389.72	438.59	242.88	307.69	409.15	327.56	669.92	473.41	529.06	339.14	341.51	283.05	211.31	500.46	260.38	244.57	199.85	353.59	183.82	543.96	251.48	698.41	595.34	928.3	656.11	713.11	1073.91	775.05	511.0	476.71	392.44	775.05	612.11	988.12	1477.58	651.58	1551.09
PCNX	303.44	318.57	567.1	444.72	579.04	90.77	283.05	229.72	98.73	223.41	197.09	132.44	191.67	197.09	92.7	101.54	205.5	201.25	189.02	99.43	202.66	251.48	126.12	170.25	167.9	150.17	167.9	92.7	232.94	100.83	234.57	110.43	198.47	94.67	178.77	172.65	253.23	212.78	183.82	94.67	144.01	94.67	123.5	95.34	149.12	164.42	262.2	139.07	129.69	164.42	144.01	255.0	186.4	228.13	164.42	167.9	201.25	155.5	115.16	116.78	130.6	138.1	293.07	363.56	175.07	178.77	180.02	121.79	178.77	78.89	170.25	234.57	130.6	220.32	190.34	115.97	264.03	237.86	205.5	226.54	234.57	139.07	163.28	228.13	271.48	224.97	191.67	242.88	371.22	264.03	358.54	232.94
PDS5B	780.44	647.07	651.58	624.99	1183.45	170.25	226.54	163.28	232.94	307.69	279.14	95.34	177.53	159.9	81.71	172.65	128.79	180.02	149.12	218.79	169.07	206.94	178.77	92.7	53.57	119.26	185.11	96.68	176.29	99.43	151.22	138.1	193.01	218.79	242.88	152.28	201.25	217.27	232.94	125.24	111.99	131.51	104.42	111.99	158.79	215.77	224.97	74.58	146.03	172.65	108.14	275.28	108.9	67.59	100.13	212.78	118.43	81.14	105.15	162.14	53.57	248.0	262.2	215.77	198.47	121.79	204.07	90.77	329.84	59.13	61.68	88.88	130.6	131.51	148.09	117.6	177.53	267.73	351.14	358.54	262.2	242.88	264.03	486.75	251.48	368.65	688.78	316.37	361.04	559.28	813.63	575.03
PGGT1B	698.41	688.78	587.13	503.95	780.44	185.11	336.79	173.85	128.79	215.77	142.01	155.5	103.69	150.17	117.6	152.28	185.11	155.5	110.43	164.42	124.37	139.07	134.3	111.21	155.5	138.1	175.07	126.12	231.32	131.51	152.28	127.89	149.12	156.59	148.09	147.06	242.88	214.27	228.13	72.01	114.36	198.47	122.64	137.14	147.06	94.67	229.72	107.38	57.49	228.13	106.63	163.28	228.13	99.43	105.15	260.38	170.25	55.49	115.97	134.3	215.77	204.07	152.28	241.19	199.85	120.1	218.79	156.59	363.56	167.9	154.42	248.0	103.69	117.6	171.45	175.07	202.66	178.77	283.05	273.37	242.88	307.69	293.07	438.59	277.2	366.09	373.81	363.56	226.54	368.65	363.56	295.11
PIK3C2A	466.88	633.73	954.43	647.07	1143.1	115.97	258.57	164.42	119.26	371.22	173.85	162.14	80.57	167.9	71.0	95.34	193.01	109.66	94.67	105.89	86.43	218.79	134.3	86.43	54.33	78.89	158.79	115.16	156.59	109.66	113.56	93.35	153.34	172.65	139.07	120.1	287.01	312.0	159.9	46.5	90.77	255.0	54.33	54.33	158.79	151.22	279.14	62.12	93.35	191.67	78.89	189.02	93.35	58.71	90.77	159.9	202.66	104.42	53.57	135.24	100.13	220.32	193.01	283.05	273.37	79.45	81.14	84.04	403.5	120.1	84.04	67.12	71.0	94.01	86.43	75.64	111.99	205.5	327.56	307.69	269.6	246.28	279.14	525.39	583.07	466.88	429.54	301.33	334.46	417.77	954.43	884.29
PIK3CA	457.25	507.46	679.29	836.53	723.08	118.43	198.47	89.51	111.21	148.09	121.79	107.38	55.49	102.97	40.93	64.8	111.21	93.35	74.58	82.29	102.25	131.51	138.1	37.32	36.79	54.33	121.79	85.22	147.06	117.6	65.72	83.45	105.89	120.1	96.01	79.45	166.73	129.69	220.32	60.82	59.13	140.04	45.85	70.51	82.29	134.3	162.14	47.5	64.34	131.51	58.71	239.52	68.55	51.71	53.19	119.26	142.01	51.35	42.71	86.43	52.08	289.02	73.03	229.72	162.14	82.87	90.77	108.9	241.19	116.78	108.14	68.55	87.03	78.34	118.43	72.52	172.65	221.86	221.86	244.57	181.28	187.71	197.09	441.64	346.29	265.87	339.14	325.29	199.85	728.11	334.46	309.83
PIKFYVE	231.32	201.25	348.71	312.0	329.84	58.3	143.01	81.71	69.52	214.27	98.04	60.82	51.71	64.34	50.27	51.71	81.71	46.18	69.52	63.45	59.55	107.38	66.18	35.0	42.41	46.5	92.05	61.25	149.12	114.36	56.68	52.45	84.04	69.52	80.01	55.1	149.12	117.6	91.41	27.84	44.57	105.15	30.56	42.41	65.26	98.73	101.54	35.25	43.94	66.18	48.52	171.45	44.57	39.79	38.67	94.67	80.01	46.5	31.9	87.65	71.5	118.43	55.89	159.9	112.77	34.26	61.25	53.95	131.51	58.3	54.72	34.75	48.18	38.12	75.11	73.54	78.89	82.29	108.14	120.94	145.02	85.22	132.44	124.37	138.1	144.01	201.25	167.9	148.09	165.57	291.04	293.07
PJA2	2178.83	2434.5	2367.9	2004.85	5594.3	961.07	1487.87	981.29	693.58	1073.91	708.18	571.05	412.0	490.14	361.04	525.39	896.64	551.56	387.02	708.18	547.75	967.76	620.67	303.44	381.68	447.82	836.53	381.68	1088.92	454.09	473.41	723.08	802.41	748.61	693.58	567.1	1427.22	1119.56	1037.29	320.8	651.58	1242.34	454.09	679.29	647.07	753.83	872.1	289.02	229.72	1104.13	460.44	728.11	665.29	463.65	438.59	860.08	723.08	224.97	320.8	753.83	748.61	842.36	1001.93	934.76	830.75	358.54	563.18	813.63	2075.59	559.28	587.13	728.11	633.73	423.61	915.51	603.67	1167.14	947.83	1313.23	1111.82	791.35	1175.27	1540.37	2520.38	1605.83	1662.49	2720.15	1923.14	1388.16	1883.54	4123.49	2335.28
