	GTEX.13OVI.1126.SM.5KLZF	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.PX3G.0826.SM.48TZS	GTEX.ZYT6.0626.SM.5E45V	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QESD.2026.SM.447BI	GTEX.12WSD.1426.SM.5GCN9	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.1399T.0826.SM.5IFES	TCGA.EL.A3GR.01A.21R.A206.07	TCGA.EL.A3GZ.01A.11R.A20F.07	TCGA.EL.A3GY.01A.21R.A206.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.EM.A3O7.01A.11R.A220.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.ET.A3DR.01A.11R.A19O.07	TCGA.IM.A3ED.01A.11R.A206.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.FK.A3SB.01A.11R.A22L.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.ET.A3DP.01A.11R.A21D.07	TCGA.DJ.A3UU.01A.11R.A22L.07
TCP11L2	265.87	47.84	38.67	49.21	24.99	35.76	82.29	52.45	77.25	51.35	92.05	20.41	40.36	78.34	305.55	161.02	120.1	253.23	92.05	217.27	121.79	267.73	287.01	161.02	162.14	239.52	148.09
TF	22.26	1364554.84	2786455.11	3406832.48	2825352.59	1739208.14	1.271475112E7	2279047.19	2617937.91	4165330.83	8273118.55	3007221.12	2232145.06	2375828.71	8.38	4.31	4.9	9.93	11.47	13.22	17.13	7.63	8.19	8.58	10.88	6.36	23.76
TLCD2	51.71	8.32	21.01	57.49	13.83	10.63	53.57	9.13	7.51	48.18	35.5	20.56	5.5	12.45	34.75	24.46	54.33	20.71	32.59	40.07	29.91	34.75	63.89	44.89	22.75	60.39	42.41
TMEM131	591.22	133.36	128.79	163.28	108.9	182.55	273.37	161.02	316.37	248.0	281.09	129.69	246.28	281.09	476.71	356.05	397.93	420.68	316.37	417.77	339.14	532.74	511.0	457.25	307.69	435.55	400.71
TRAPPC10	753.83	166.73	246.28	127.0	249.73	143.01	202.66	159.9	191.67	142.01	117.6	152.28	172.65	223.41	423.61	271.48	356.05	363.56	325.29	371.22	361.04	441.64	409.15	447.82	264.03	435.55	389.72
TRIM25	507.46	267.73	265.87	116.78	109.66	147.06	122.64	138.1	148.09	145.02	115.97	642.59	218.79	231.32	343.89	265.87	336.79	323.03	299.25	325.29	291.04	511.0	525.39	255.0	264.03	414.87	346.29
TRIM56	486.75	105.89	71.5	88.88	45.85	37.85	161.02	40.07	38.95	171.45	129.69	125.24	53.95	98.73	361.04	132.44	248.0	177.53	132.44	237.86	191.67	239.52	295.11	171.45	136.19	285.03	201.25
TRIP12	2351.53	466.88	551.56	356.05	371.22	307.69	836.53	490.14	563.18	743.43	775.05	435.55	371.22	497.0	1697.45	1008.9	1437.15	1233.75	902.89	1540.37	1111.82	1651.0	1806.78	1199.98	842.36	1594.73	1135.2
TTC33	607.87	167.9	102.97	102.97	140.04	135.24	143.01	142.01	103.69	96.01	123.5	96.01	112.77	170.25	318.57	190.34	217.27	234.57	156.59	241.19	264.03	291.04	248.0	212.78	159.9	269.6	195.72
UBIAD1	305.55	199.85	130.6	169.07	141.02	163.28	223.41	158.79	209.84	201.25	171.45	205.5	149.12	201.25	215.77	180.02	189.02	189.02	183.82	183.82	209.84	217.27	183.82	185.11	187.71	194.36	166.73
UBR1	295.11	63.0	163.28	31.67	35.25	49.56	96.68	129.69	72.01	60.82	82.87	45.21	69.03	78.89	275.28	150.17	189.02	191.67	147.06	186.4	190.34	248.0	226.54	175.07	125.24	202.66	195.72
ULK2	287.01	47.5	53.19	60.82	78.34	109.66	129.69	26.1	45.85	180.02	148.09	18.7	50.63	36.53	223.41	161.02	221.86	124.37	153.34	191.67	242.88	187.71	221.86	156.59	145.02	244.57	190.34
USP4	866.07	316.37	277.2	371.22	262.2	275.28	412.0	208.38	435.55	358.54	323.03	264.03	507.46	476.71	1183.45	954.43	1096.5	1183.45	1037.29	1111.82	896.64	1304.15	1447.15	1030.12	1023.0	1096.5	1175.27
USP54	460.44	17.13	44.25	24.81	55.49	9.27	47.17	65.72	45.85	59.97	34.02	10.47	18.29	71.0	2075.59	921.88	1111.82	1350.18	830.75	1369.04	1697.45	1844.76	1427.22	1322.37	769.69	1806.78	1651.0
VEZT	961.07	234.57	220.32	395.18	226.54	223.41	769.69	366.09	466.88	507.46	571.05	295.11	341.51	435.55	1508.65	1167.14	974.5	1208.34	941.27	1088.92	1167.14	1427.22	1242.34	1340.84	981.29	1295.13	1208.34
VWA5A	1159.07	64.34	85.82	199.85	24.99	89.51	297.17	68.07	44.57	346.29	105.15	121.79	105.15	348.71	551.56	466.88	693.58	309.83	441.64	559.28	480.04	536.45	540.19	444.72	373.81	708.18	483.38
WDR37	320.8	121.79	57.89	63.45	78.89	108.14	59.13	101.54	71.5	71.0	78.34	85.82	64.34	109.66	190.34	146.03	189.02	221.86	220.32	180.02	177.53	246.28	251.48	176.29	181.28	197.09	202.66
WHSC1	400.71	67.12	59.13	153.34	63.0	60.39	101.54	100.83	105.15	109.66	105.15	69.03	129.69	139.07	379.04	387.02	420.68	397.93	332.14	454.09	327.56	426.57	511.0	447.82	314.17	450.94	397.93
WWC2	813.63	253.23	167.9	112.77	150.17	116.78	293.07	134.3	209.84	256.78	316.37	120.1	211.31	236.21	738.29	262.2	325.29	536.45	314.17	412.0	293.07	432.53	555.41	547.75	218.79	559.28	423.61
ZBTB5	223.41	133.36	114.36	77.25	122.64	78.34	61.25	81.71	85.22	63.89	78.34	169.07	140.04	143.01	193.01	128.79	139.07	175.07	141.02	182.55	246.28	204.07	170.25	128.79	132.44	212.78	164.42
ZC3H12C	169.07	31.22	37.32	64.34	33.3	29.91	91.41	55.49	53.19	55.1	58.71	43.63	42.11	87.03	157.68	43.02	127.89	78.89	57.08	75.64	122.64	118.43	88.26	64.8	45.21	105.15	51.35
ZFX	490.14	115.97	94.67	157.68	65.26	70.01	152.28	88.26	307.69	69.03	133.36	205.5	162.14	145.02	353.59	217.27	241.19	229.72	194.36	281.09	251.48	307.69	316.37	177.53	183.82	217.27	194.36
ZFYVE20	267.73	113.56	76.17	106.63	89.51	88.88	95.34	69.03	64.34	122.64	71.5	52.08	80.01	92.05	476.71	271.48	356.05	447.82	267.73	361.04	381.68	429.54	490.14	281.09	293.07	454.09	368.65
ZMYND8	503.95	275.28	61.25	117.6	63.89	87.65	93.35	95.34	215.77	108.9	95.34	96.01	140.04	157.68	397.93	381.68	332.14	441.64	314.17	406.31	303.44	567.1	500.46	423.61	358.54	595.34	373.81
ZNF304	242.88	85.22	50.98	32.13	60.82	34.26	45.85	62.12	41.81	48.18	52.08	24.99	74.58	63.89	110.43	120.94	122.64	137.14	113.56	157.68	94.01	202.66	189.02	129.69	121.79	158.79	124.37
ZNF557	51.71	29.48	23.76	22.59	23.76	17.13	30.12	28.04	20.11	32.36	48.52	21.47	25.72	29.91	53.95	42.71	46.5	50.98	34.02	55.1	43.63	74.06	59.13	37.85	42.71	52.08	47.84
ZNF597	84.63	15.0	12.09	14.67	28.04	15.22	35.76	15.68	5.41	40.93	22.26	11.21	11.82	16.27	88.88	54.33	64.34	63.0	47.84	57.08	51.71	104.42	78.89	59.55	48.18	105.89	53.95
ZNF629	291.04	33.3	17.9	61.68	38.67	28.04	48.52	18.97	14.67	46.84	56.28	26.86	13.62	35.5	117.6	119.26	124.37	120.94	108.14	121.79	136.19	169.07	157.68	127.0	111.99	147.06	116.78
ZNF655	1295.13	860.08	389.72	361.04	521.76	633.73	320.8	426.57	490.14	232.94	961.07	473.41	454.09	995.0	934.76	708.18	703.28	802.41	748.61	825.0	848.22	921.88	921.88	642.59	603.67	941.27	808.0
ZNF713	37.59	6.41	18.97	8.71	9.06	3.03	23.42	11.13	10.08	11.55	11.64	5.82	36.27	28.04	80.57	47.84	38.4	30.12	23.25	47.5	64.34	55.1	52.08	41.52	42.41	62.12	35.76
ZNF778	109.66	22.59	23.76	36.01	21.47	33.54	36.53	17.13	15.91	15.22	36.53	18.7	21.32	29.91	116.78	59.97	73.03	88.26	73.03	98.73	73.54	193.01	198.47	106.63	60.39	150.17	87.03
ZNFX1	633.73	68.55	211.31	226.54	108.9	82.29	246.28	152.28	110.43	209.84	193.01	1037.29	116.78	180.02	486.75	373.81	409.15	466.88	327.56	473.41	389.72	547.75	547.75	397.93	397.93	514.56	460.44
ZZEF1	454.09	83.45	76.17	142.01	82.87	69.52	103.69	129.69	136.19	82.87	182.55	42.11	86.43	98.04	373.81	251.48	318.57	341.51	271.48	301.33	229.72	389.72	426.57	277.2	231.32	409.15	351.14
