	TCGA.K4.A4AC.01A.21R.A26T.07	TCGA.DK.A2I6.01A.12R.A18C.07	TCGA.ZF.AA4W.01A.12R.A38B.07	TCGA.A2.A0D2.01A.21R.A034.07	TCGA.EK.A3GJ.01A.21R.A213.07	TCGA.CC.A3M9.01A.11R.A213.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.33.4566.01A.01R.1443.07	TCGA.33.4589.01A.01R.1443.07	TCGA.52.7810.01A.11R.2125.07	TCGA.NC.A5HK.01A.11R.A26W.07	GTEX.14ABY.0926.SM.5Q5DY	GTEX.13NZA.1026.SM.5MR48	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.11TTK.0826.SM.5N9EG	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	TCGA.BG.A3PP.01A.11R.A22K.07	TCGA.ND.A4WA.01A.12R.A28V.07	TCGA.NF.A4X2.01A.11R.A28V.07
SLC26A5	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.83	2.89	8.65	3.72	8.06	10.79	5.15	11.47	10.88	7.57	29.48	7.22	7.94	13.83	7.75	5.63	6.57	4.9	19.82	11.47	4.94	8.25	10.08	12.83	2.46	5.87	7.88	13.42	13.32	12.93	9.78	3.32	18.29	0.96	9.85	8.65	11.3	10.0	1.55	8.32	0.48
SLC30A2	0.64	0.34	0.66	1.55	0.79	1.48	0.0	0.07	0.0	1.28	0.39	1.64	118.43	175.07	463.65	878.17	529.06	127.0	825.0	842.36	356.05	1037.29	125.24	909.17	214.27	197.09	74.58	132.44	223.41	463.65	117.6	571.05	212.78	713.11	55.49	808.0	209.84	241.19	371.22	603.67	988.12	988.12	2537.92	426.57	660.68	684.02	473.41	83.45	2.07	0.95	2.41
SLC41A1	256.78	239.52	312.0	514.56	152.28	371.22	0.0	0.51	417.77	40.07	273.37	336.79	1104.13	909.17	1242.34	1216.75	928.3	1081.39	988.12	1167.14	1135.2	1143.1	1044.52	1135.2	733.19	764.36	934.76	1044.52	759.08	1051.79	902.89	547.75	842.36	1369.04	1081.39	988.12	981.29	1259.69	1304.15	1605.83	1685.71	1044.52	1295.13	961.07	1313.23	947.83	902.89	1001.93	234.57	423.61	432.53
SNURF	0.0	0.0	0.0	10.39	0.0	1.57	0.0	0.0	2.66	0.0	1.22	0.52	24.63	15.22	35.76	20.11	56.68	78.34	35.76	6.84	0.0	23.59	7.06	25.17	30.78	16.27	24.81	31.22	24.46	22.59	17.9	30.78	26.86	27.05	21.94	20.41	6.16	33.78	32.82	25.72	44.89	23.59	42.41	10.16	29.27	29.91	14.03	40.36	0.73	15.11	0.0
SREK1	221.86	239.52	281.09	371.22	575.03	409.15	414.87	122.64	336.79	139.07	223.41	595.34	1037.29	591.22	1242.34	1529.73	872.1	954.43	1268.46	1225.22	1583.71	1331.57	1216.75	1583.71	1001.93	1159.07	1127.35	954.43	819.3	1199.98	703.28	1111.82	753.83	1572.76	1073.91	909.17	1508.65	1407.55	1313.23	1407.55	1651.0	733.19	1477.58	764.36	1991.0	713.11	551.56	1350.18	426.57	503.95	348.71
TBCEL	52.82	34.02	67.59	40.64	28.65	64.34	0.0	0.29	50.27	37.59	37.05	88.26	229.72	128.79	228.13	256.78	182.55	248.0	234.57	244.57	223.41	202.66	217.27	253.23	195.72	199.85	198.47	218.79	212.78	229.72	170.25	172.65	229.72	295.11	185.11	194.36	173.85	293.07	301.33	384.34	239.52	197.09	271.48	165.57	293.07	183.82	157.68	223.41	91.41	148.09	79.45
TG	30.78	47.17	3.72	7.17	8.19	24.46	0.0	0.64	164.42	6.01	271.48	31.22	2068278.89	1085552.95	2247670.86	2126426.15	1751305.3	2375828.71	1739208.14	1634025.56	1838374.44	1997825.68	1984025.69	1997825.68	1984025.69	2986448.72	1567462.05	2025714.3	2425749.94	1929772.37	1327240.99	1943195.01	1622738.51	1727194.55	1589343.01	2636147.11	2263304.65	1775752.63	2111737.85	1668359.93	1800541.22	3178687.03	3886391.01	1645391.11	2263304.65	2672946.37	1567462.05	1864037.21	8.78	40.07	46.5
TMEM243	420.68	476.71	198.47	314.17	432.53	567.1	0.0	0.57	325.29	638.15	283.05	679.29	2240.11	1781.89	2758.13	1883.54	1697.45	2047.0	1111.82	2303.12	1529.73	1427.22	1378.57	2224.63	1304.15	1350.18	1277.29	1745.2	1551.09	1721.16	1697.45	2777.33	1605.83	1674.06	2796.65	3212.66	4704.07	1331.57	1806.78	2384.37	2287.2	2148.82	2061.24	2090.03	2434.5	1857.6	2090.03	1870.53	435.55	698.41	334.46
WWC2	46.5	46.84	51.71	143.01	47.5	128.79	77.25	64.34	38.67	13.62	36.53	68.07	395.18	185.11	426.57	444.72	423.61	384.34	417.77	412.0	476.71	220.32	466.88	529.06	246.28	223.41	271.48	358.54	221.86	429.54	214.27	271.48	255.0	612.11	177.53	295.11	363.56	521.76	466.88	521.76	679.29	325.29	303.44	262.2	684.02	232.94	178.77	299.25	56.68	95.34	113.56
ZNF804B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	228.13	11.04	103.69	332.14	144.01	47.5	97.36	87.65	98.73	103.69	316.37	193.01	38.12	25.35	73.03	130.6	31.22	256.78	10.24	93.35	46.18	241.19	52.82	17.51	89.51	43.94	189.02	111.21	199.85	46.5	198.47	40.93	281.09	29.27	5.77	89.51	0.0	0.0	0.0
